"poly","ring","x","y"
"o_1",1,27811,13686
"o_1",1,27761,13661
"o_1",1,27745,13609
"o_1",1,27636,13524
"o_1",1,27613,13461
"o_1",1,27556,13404
"o_1",1,27537,13372
"o_1",1,27546,13332
"o_1",1,27501,13294
"o_1",1,27496,13279
"o_1",1,27499,13275
"o_1",1,27492,13266
"o_1",1,27490,13257
"o_1",1,27517,13252
"o_1",1,27527,13252
"o_1",1,27548,13250
"o_1",1,27557,13251
"o_1",1,27561,13253
"o_1",1,27584,13254
"o_1",1,27610,13256
"o_1",1,27643,13243
"o_1",1,27627,13240
"o_1",1,27597,13253
"o_1",1,27568,13253
"o_1",1,27554,13250
"o_1",1,27547,13249
"o_1",1,27515,13252
"o_1",1,27499,13254
"o_1",1,27487,13258
"o_1",1,27398,13177
"o_1",1,27382,13133
"o_1",1,27379,13127
"o_1",1,27312,13023
"o_1",1,27309,13019
"o_1",1,27306,13017
"o_1",1,27291,13003
"o_1",1,27282,12983
"o_1",1,27274,12970
"o_1",1,27270,12973
"o_1",1,27290,13002
"o_1",1,27293,13006
"o_1",1,27296,13009
"o_1",1,27311,13022
"o_1",1,27332,13062
"o_1",1,27355,13092
"o_1",1,27354,13104
"o_1",1,27364,13105
"o_1",1,27382,13134
"o_1",1,27398,13177
"o_1",1,27444,13245
"o_1",1,27468,13264
"o_1",1,27446,13290
"o_1",1,27241,13374
"o_1",1,27233,13356
"o_1",1,27173,13379
"o_1",1,27166,13418
"o_1",1,27155,13437
"o_1",1,27133,13446
"o_1",1,27128,13446
"o_1",1,27114,13443
"o_1",1,27109,13443
"o_1",1,27102,13443
"o_1",1,27101,13440
"o_1",1,27091,13443
"o_1",1,27062,13431
"o_1",1,27016,13460
"o_1",1,27004,13415
"o_1",1,27059,13386
"o_1",1,27089,13356
"o_1",1,26992,13383
"o_1",1,26969,13331
"o_1",1,26977,13304
"o_1",1,26981,13280
"o_1",1,26992,13247
"o_1",1,26975,13257
"o_1",1,26969,13237
"o_1",1,26969,13232
"o_1",1,26971,13220
"o_1",1,26969,13186
"o_1",1,26975,13191
"o_1",1,26960,13124
"o_1",1,26945,13104
"o_1",1,26910,12952
"o_1",1,26877,12913
"o_1",1,26870,12916
"o_1",1,26912,12962
"o_1",1,26920,13063
"o_1",1,26960,13130
"o_1",1,26932,13158
"o_1",1,26969,13197
"o_1",1,26970,13219
"o_1",1,26968,13232
"o_1",1,26968,13237
"o_1",1,26969,13240
"o_1",1,26977,13264
"o_1",1,26978,13301
"o_1",1,26969,13331
"o_1",1,26983,13385
"o_1",1,27014,13474
"o_1",1,26983,13481
"o_1",1,26983,13469
"o_1",1,26952,13458
"o_1",1,26946,13472
"o_1",1,26968,13471
"o_1",1,26969,13486
"o_1",1,26934,13496
"o_1",1,26906,13506
"o_1",1,26895,13507
"o_1",1,26853,13501
"o_1",1,26847,13502
"o_1",1,26830,13505
"o_1",1,26828,13506
"o_1",1,26823,13510
"o_1",1,26804,13526
"o_1",1,26801,13528
"o_1",1,26798,13533
"o_1",1,26796,13535
"o_1",1,26788,13539
"o_1",1,26786,13540
"o_1",1,26784,13543
"o_1",1,26780,13547
"o_1",1,26775,13550
"o_1",1,26764,13554
"o_1",1,26761,13555
"o_1",1,26759,13557
"o_1",1,26751,13564
"o_1",1,26750,13566
"o_1",1,26740,13567
"o_1",1,26737,13568
"o_1",1,26720,13571
"o_1",1,26712,13573
"o_1",1,26682,13592
"o_1",1,26645,13606
"o_1",1,26631,13607
"o_1",1,26618,13612
"o_1",1,26615,13612
"o_1",1,26602,13611
"o_1",1,26590,13611
"o_1",1,26587,13612
"o_1",1,26585,13613
"o_1",1,26584,13614
"o_1",1,26582,13616
"o_1",1,26574,13627
"o_1",1,26555,13640
"o_1",1,26497,13660
"o_1",1,26503,13666
"o_1",1,26533,13653
"o_1",1,26535,13660
"o_1",1,26533,13668
"o_1",1,26517,13665
"o_1",1,26506,13710
"o_1",1,26414,13703
"o_1",1,26423,13664
"o_1",1,26417,13684
"o_1",1,26401,13703
"o_1",1,26448,13764
"o_1",1,26480,13860
"o_1",1,26541,13916
"o_1",1,26597,14029
"o_1",1,26587,14059
"o_1",1,26612,14202
"o_1",1,26616,14202
"o_1",1,26639,14245
"o_1",1,26705,14207
"o_1",1,26747,14147
"o_1",1,26721,14098
"o_1",1,26725,14050
"o_1",1,26676,13996
"o_1",1,26653,13943
"o_1",1,26650,13858
"o_1",1,26581,13707
"o_1",1,26603,13709
"o_1",1,26611,13698
"o_1",1,26613,13687
"o_1",1,26623,13694
"o_1",1,26639,13709
"o_1",1,26649,13715
"o_1",1,26712,13746
"o_1",1,26838,13826
"o_1",1,26853,13835
"o_1",1,26856,13837
"o_1",1,26869,13842
"o_1",1,26876,13846
"o_1",1,26877,13860
"o_1",1,26880,13854
"o_1",1,26901,13867
"o_1",1,26914,13870
"o_1",1,26935,13888
"o_1",1,26949,13894
"o_1",1,27016,13935
"o_1",1,27032,13955
"o_1",1,27099,13984
"o_1",1,27117,14009
"o_1",1,27130,14008
"o_1",1,27135,14017
"o_1",1,27146,14016
"o_1",1,27175,14030
"o_1",1,27193,14052
"o_1",1,27179,14079
"o_1",1,27104,14073
"o_1",1,27110,14107
"o_1",1,27146,14125
"o_1",1,27150,14121
"o_1",1,27175,14092
"o_1",1,27192,14057
"o_1",1,27233,14108
"o_1",1,27260,14131
"o_1",1,27323,14168
"o_1",1,27397,14218
"o_1",1,27429,14237
"o_1",1,27437,14250
"o_1",1,27578,14304
"o_1",1,27604,14367
"o_1",1,27616,14406
"o_1",1,27608,14409
"o_1",1,27601,14416
"o_1",1,27599,14426
"o_1",1,27606,14442
"o_1",1,27604,14442
"o_1",1,27591,14458
"o_1",1,27636,14500
"o_1",1,27601,14649
