"st","x","y"
"20",21521,12161
"20",21116,12058
"20",21214,12118
"20",19741,13893
"20",21567,11995
"20",19544,13331
"20",16968,11820
"20",21052,12067
"20",21111,12087
"20",19300,12444
"20",19918,11998
"20",20196,12364
"20",19430,13286
"20",19746,13665
"20",17537,13161
"20",21488,12049
"20",21354,12205
"20",21463,12451
"20",21548,12071
"20",20094,11626
"20",20104,11882
"20",19225,12768
"20",19437,13330
"20",21079,13783
"20",21564,12015
"20",21279,12262
"20",21577,12130
"20",21506,12079
"20",19629,13261
"20",19630,13265
"20",21317,12055
"20",19526,12945
"20",19523,13372
"20",19585,13314
"20",19462,13306
"20",20987,13591
"20",21338,11752
"20",20752,11999
"20",19714,11671
"20",19796,11824
"20",19800,11829
"20",19368,12206
"20",21550,11914
"20",21539,11916
"20",19170,12112
"20",20781,11999
"20",19354,12229
"20",16805,13826
"20",19009,13016
"20",16809,13825
"20",21541,13554
"20",20738,12258
"20",16814,13851
"20",19688,13031
"20",20133,11841
"20",18100,12113
"20",21573,12154
"20",21556,12041
"20",16613,13549
"20",21554,11996
"20",17526,13160
"20",18079,12098
"20",19516,13273
"20",19984,11954
"20",21106,12070
"20",21084,12109
"20",16882,12940
"20",21488,12118
"20",21339,11783
"20",21099,12096
"20",20105,11868
"20",21450,12162
"20",19538,13247
"20",21412,12135
"20",21488,12121
"20",21448,12187
"20",21455,12135
"20",19522,12955
"20",20999,13073
"20",21563,12010
"20",21416,12078
"20",19531,13213
"20",19660,13287
"20",19486,13360
"20",21541,12063
"20",19374,13317
"20",21471,12026
"20",21103,12063
"20",20836,13934
"20",21528,12052
"20",19442,13330
"20",19536,13285
"20",19518,13198
"20",19530,12941
"20",20941,13311
"20",19593,13422
"20",20953,13319
"20",21480,12148
"20",21463,11901
"20",20782,11982
"20",21516,11967
"20",21507,11894
"20",20818,11943
"20",21462,11926
"20",19352,12211
"20",19089,12909
"20",21407,11907
"20",20722,12014
"20",19358,12171
"20",21540,11964
"20",19341,12244
"20",19667,12408
"20",20751,12050
"20",19417,11876
"20",19093,12895
"20",20721,12416
"20",19125,12934
"20",18337,12607
"20",19179,13184
"20",21522,13168
"20",20087,11835
"20",20093,11847
"20",20786,13569
"20",19823,13306
"20",20132,11829
"20",21536,13556
"20",19010,13803
"20",21126,12060
"20",19333,11440
"20",18076,12108
"20",21438,12177
"20",21456,12174
"20",21489,12091
"20",18348,12352
"20",20469,12389
"20",19624,13378
"20",19551,13320
"20",21126,12085
"20",16883,12930
"20",21263,11898
"20",19576,13351
"20",21456,12061
"20",21323,11704
"20",19623,13293
"20",19593,13223
"20",20734,12824
"20",21415,12109
"20",20995,13073
"20",19616,13326
"20",19616,13325
"20",19543,12971
"20",21125,12094
"20",21543,12021
"20",21538,12180
"20",21411,12109
"20",21443,12155
"20",19611,13314
"20",16500,13697
"20",17311,11329
"20",21527,12026
"20",21478,12138
"20",16514,13296
