state_postal,county_fips,county_name,votes_dem,votes_gop,total_votes,level
AK,02000,Alaska,140026,184458,338177,county
AZ,04013,Maricopa,980016,1051531,2053945,county
AZ,04019,Pima,292450,214669,513176,county
AZ,04021,Pinal,80656,126926,209552,county
AZ,04025,Yavapai,48717,99346,149402,county
AZ,04015,Mohave,24081,85683,110450,county
AZ,04005,Coconino,41504,27576,70067,county
AZ,04027,Yuma,26823,40745,68195,county
AZ,04003,Cochise,22296,35936,58923,county
AZ,04017,Navajo,20754,29480,50706,county
AZ,04001,Apache,18872,12795,32019,county
AZ,04007,Gila,8504,18901,27648,county
AZ,04023,Santa Cruz,11265,7699,19121,county
AZ,04009,Graham,3867,11177,15183,county
AZ,04012,La Paz,2101,5470,7624,county
AZ,04011,Greenlee,954,2308,3308,county
AR,05119,Pulaski,92038,57977,153924,county
AR,05007,Benton,45231,79907,128595,county
AR,05143,Washington,43779,50243,97158,county
AR,05125,Saline,16609,39736,57609,county
AR,05045,Faulkner,17752,35357,54465,county
AR,05131,Sebastian,13652,30719,45452,county
AR,05051,Garland,13015,28359,42327,county
AR,05031,Craighead,11210,25152,37242,county
AR,05145,White,5641,24514,30837,county
AR,05085,Lonoke,6790,23225,30620,county
AR,05115,Pope,5487,18118,24191,county
AR,05033,Crawford,4753,18615,23834,county
AR,05069,Jefferson,12802,8468,21608,county
AR,05005,Baxter,4341,16253,20954,county
AR,05009,Boone,2854,13968,17112,county
AR,05055,Greene,2935,12617,15820,county
AR,05091,Miller,3769,11842,15803,county
AR,05139,Union,5019,10196,15448,county
AR,05035,Crittenden,7362,7028,14681,county
AR,05063,Independence,2689,11023,14011,county
AR,05023,Cleburne,1941,10595,12739,county
AR,05059,Hot Spring,2818,9226,12283,county
AR,05015,Carroll,3812,7470,11538,county
AR,05093,Mississippi,3574,6963,10717,county
AR,05071,Johnson,2107,6766,9059,county
AR,05103,Ouachita,3412,5056,8626,county
AR,05029,Conway,2449,5893,8541,county
AR,05113,Polk,1145,6987,8288,county
AR,05083,Logan,1464,6567,8205,county
AR,05053,Grant,1192,6755,8078,county
AR,05027,Columbia,2466,5367,7940,county
AR,05089,Marion,1501,6230,7851,county
AR,05019,Clark,2959,4526,7657,county
AR,05141,Van Buren,1437,6023,7621,county
AR,05087,Madison,1491,5885,7501,county
AR,05135,Sharp,1316,5978,7437,county
AR,05111,Poinsett,1235,5731,7079,county
AR,05003,Ashley,1774,5145,7030,county
AR,05047,Franklin,1232,5582,6971,county
AR,05121,Randolph,1138,5367,6636,county
AR,05037,Cross,1642,4753,6534,county
AR,05149,Yell,1213,5147,6477,county
AR,05043,Drew,2050,4203,6365,county
AR,05057,Hempstead,1776,4193,6089,county
AR,05137,Stone,1089,4808,6030,county
AR,05123,Saint Francis,2953,2909,5979,county
AR,05065,Izard,949,4854,5925,county
AR,05075,Lawrence,965,4608,5692,county
AR,05001,Arkansas,1503,3951,5547,county
AR,05049,Fulton,906,4040,5043,county
AR,05021,Clay,907,3968,4967,county
AR,05107,Phillips,2754,2098,4938,county
AR,05081,Little River,1084,3744,4899,county
AR,05067,Jackson,1183,3509,4775,county
AR,05133,Sevier,862,3772,4714,county
AR,05105,Perry,923,3559,4584,county
AR,05061,Howard,1158,3246,4473,county
AR,05109,Pike,560,3746,4358,county
AR,05129,Searcy,511,3305,3869,county
AR,05101,Newton,644,3063,3770,county
AR,05097,Montgomery,645,2987,3707,county
AR,05041,Desha,1638,1805,3505,county
AR,05017,Chicot,1796,1658,3490,county
AR,05127,Scott,425,2913,3384,county
AR,05025,Cleveland,524,2804,3374,county
AR,05079,Lincoln,813,2502,3372,county
AR,05011,Bradley,961,2213,3209,county
AR,05117,Prairie,524,2628,3200,county
AR,05099,Nevada,849,2002,2907,county
AR,05077,Lee,1270,1181,2520,county
AR,05095,Monroe,1002,1385,2433,county
AR,05073,Lafayette,698,1589,2325,county
AR,05039,Dallas,798,1482,2324,county
AR,05147,Woodruff,760,1513,2318,county
AR,05013,Calhoun,379,1674,2092,county
CA,06037,Los Angeles,2417109,1189862,3728427,county
CA,06073,San Diego,841372,593270,1477786,county
CA,06059,Orange,691731,654815,1390965,county
CA,06065,Riverside,451782,463677,940405,county
CA,06071,San Bernardino,362114,378416,761714,county
CA,06085,Santa Clara,510744,210924,750433,county
CA,06001,Alameda,499551,140789,669800,county
CA,06067,Sacramento,381564,252140,656626,county
CA,06013,Contra Costa,356008,155308,528904,county
CA,06075,San Francisco,323719,62594,402964,county
CA,06111,Ventura,217424,158901,387595,county
CA,06081,San Mateo,242957,76616,330510,county
CA,06019,Fresno,151628,165924,325994,county
CA,06029,Kern,108241,167879,283246,county
CA,06077,San Joaquin,126647,128996,263671,county
CA,06097,Sonoma,179600,63426,251426,county
CA,06061,Placer,103958,123941,234809,county
CA,06099,Stanislaus,85347,106986,197472,county
CA,06095,Solano,113997,70345,189834,county
CA,06083,Santa Barbara,114149,64870,184715,county
CA,06079,San Luis Obispo,81314,64932,150766,county
CA,06053,Monterey,93060,49226,146718,county
CA,06041,Marin,116152,24054,144113,county
CA,06107,Tulare,53221,81854,138271,county
CA,06087,Santa Cruz,100998,27978,134135,county
CA,06017,El Dorado,47703,61109,111890,county
CA,06007,Butte,44228,47179,94523,county
CA,06113,Yolo,61405,27844,92589,county
CA,06089,Shasta,27130,59539,88900,county
CA,06047,Merced,40190,43955,86392,county
CA,06055,Napa,43212,20357,65549,county
CA,06023,Humboldt,39800,21559,64228,county
CA,06057,Nevada,33784,26177,62132,county
CA,06039,Madera,20981,32344,54624,county
CA,06025,Imperial,26083,26546,54025,county
CA,06031,Kings,15519,25074,41501,county
CA,06101,Sutter,13016,25372,39336,county
CA,06045,Mendocino,24049,13528,39216,county
CA,06115,Yuba,10725,18491,30070,county
CA,06109,Tuolumne,10909,17210,28810,county
CA,06069,San Benito,15179,11702,27649,county
CA,06033,Lake,12794,13161,26759,county
CA,06103,Tehama,7415,18503,26532,county
CA,06009,Calaveras,9181,16625,26479,county
CA,06005,Amador,7783,14018,22402,county
CA,06093,Siskiyou,8329,12461,21489,county
CA,06035,Lassen,2478,8619,11371,county
CA,06015,Del Norte,4266,5999,10564,county
CA,06021,Glenn,3260,6904,10442,county
CA,06063,Plumas,4020,5725,10067,county
CA,06043,Mariposa,3622,5625,9509,county
CA,06027,Inyo,4201,4468,8951,county
CA,06011,Colusa,2431,4414,7021,county
CA,06051,Mono,3522,2294,6064,county
CA,06105,Trinity,2449,2979,5645,county
CA,06049,Modoc,1008,2884,4016,county
CA,06091,Sierra,641,1066,1754,county
CA,06003,Alpine,479,243,738,county
CO,08041,El Paso,166597,203933,380813,county
CO,08031,Denver,278634,74765,363076,county
CO,08059,Jefferson,210875,140505,361504,county
CO,08005,Arapahoe,190725,125311,325451,county
CO,08035,Douglas,110408,127451,243758,county
CO,08001,Adams,124056,103024,233336,county
CO,08069,Larimer,129376,89680,225482,county
CO,08013,Boulder,150149,40758,196150,county
CO,08123,Weld,68752,106469,179854,county
CO,08077,Mesa,33573,55839,91600,county
CO,08101,Pueblo,39328,43688,85107,county
CO,08014,Broomfield,29426,16071,46817,county
CO,08067,La Plata,20677,14024,35681,county
CO,08045,Garfield,15128,14493,30372,county
CO,08037,Eagle,16943,10148,27798,county
CO,08085,Montrose,8354,16704,25617,county
CO,08043,Fremont,7526,17313,25467,county
CO,08039,Elbert,4768,15209,20417,county
CO,08029,Delta,6030,12948,19476,county
CO,08117,Summit,11762,5244,17542,county
CO,08107,Routt,10208,5676,16335,county
CO,08119,Teller,5065,10856,16326,county
CO,08083,Montezuma,5793,8972,15136,county
CO,08015,Chaffee,7992,6034,14416,county
CO,08087,Morgan,3291,9830,13458,county
CO,08093,Park,4841,6828,12044,county
CO,08097,Pitkin,7932,2992,11167,county
CO,08051,Gunnison,6887,3689,10939,county
CO,08075,Logan,2098,7855,10162,county
CO,08049,Grand,4743,4822,9883,county
CO,08007,Archuleta,3904,5218,9355,county
CO,08089,Otero,3164,5520,8925,county
CO,08071,Las Animas,3276,4328,7792,county
CO,08003,Alamosa,3244,4057,7519,county
CO,08081,Moffat,1167,5358,6671,county
CO,08105,Rio Grande,2306,3743,6194,county
CO,08019,Clear Creek,3464,2452,6101,county
CO,08099,Prowers,1227,3833,5144,county
CO,08113,San Miguel,3529,1154,4804,county
CO,08125,Yuma,758,3807,4663,county
CO,08055,Huerfano,1965,2346,4438,county
CO,08047,Gilpin,2254,1729,4129,county
CO,08021,Conejos,1627,2358,4104,county
CO,08091,Ouray,2442,1573,4098,county
CO,08065,Lake,2199,1557,3911,county
CO,08027,Custer,1188,2583,3867,county
CO,08063,Kit Carson,556,3083,3698,county
CO,08103,Rio Blanco,637,2988,3690,county
CO,08109,Saguache,1704,1577,3400,county
CO,08121,Washington,329,2436,2806,county
CO,08073,Lincoln,432,2090,2571,county
CO,08095,Phillips,412,1888,2354,county
CO,08011,Bent,645,1496,2189,county
CO,08023,Costilla,1155,850,2080,county
CO,08009,Baca,275,1686,2004,county
CO,08025,Crowley,422,1231,1706,county
CO,08033,Dolores,325,1076,1419,county
CO,08115,Sedgwick,283,1048,1358,county
CO,08017,Cheyenne,108,930,1055,county
CO,08061,Kiowa,102,744,863,county
CO,08057,Jackson,173,634,834,county
CO,08079,Mineral,317,417,753,county
CO,08053,Hinsdale,257,332,606,county
CO,08111,San Juan,376,188,588,county
CT,09110,Capitol,285105,181038,474268,county
CT,09190,Western Connecticut,181194,122302,308300,county
CT,09170,South Central Connecticut,156248,103087,264854,county
CT,09140,Naugatuck Valley,99237,115290,217520,county
CT,09120,Greater Bridgeport,83461,51519,137015,county
CT,09180,Southeastern Connecticut,76146,58392,136954,county
CT,09130,Lower Connecticut River Valley,58360,44318,104480,county
CT,09160,Northwest Hills,31137,31944,64076,county
CT,09150,Northeastern Connecticut,21165,29028,50962,county
DE,10003,New Castle,180700,90868,275917,county
DE,10005,Sussex,64836,81025,147639,county
DE,10001,Kent,44222,42458,88141,county
FL,12086,Miami-Dade,480355,605590,1094093,county
FL,12011,Broward,507328,358952,874526,county
FL,12099,Palm Beach,372512,366836,745697,county
FL,12057,Hillsborough,321455,342017,671981,county
FL,12095,Orange,340807,258279,607191,county
FL,12103,Pinellas,242452,269472,517058,county
FL,12031,Duval,229365,236285,471268,county
FL,12071,Lee,139240,250661,392519,county
FL,12009,Brevard,141233,216533,361449,county
FL,12105,Polk,136879,209044,348922,county
FL,12101,Pasco,117450,197779,318463,county
FL,12127,Volusia,120132,187691,310495,county
FL,12115,Sarasota,112668,163219,277857,county
FL,12117,Seminole,120717,129735,253720,county
FL,12081,Manatee,86674,140486,228856,county
FL,12069,Lake,84546,140500,226781,county
FL,12021,Collier,71720,143267,216363,county
FL,12083,Marion,72436,140173,214101,county
FL,12109,St. Johns,66862,128759,197452,county
FL,12111,St. Lucie,83517,100293,185131,county
FL,12097,Osceola,84205,86713,172776,county
FL,12033,Escambia,64601,96407,162754,county
FL,12073,Leon,94520,60397,156800,county
FL,12001,Alachua,81578,52939,136548,county
FL,12019,Clay,37926,87711,126806,county
FL,12015,Charlotte,40450,82480,123674,county
FL,12091,Okaloosa,32074,80309,113634,county
FL,12113,Santa Rosa,27035,84314,112424,county
FL,12053,Hernando,34431,75446,110687,county
FL,12119,Sumter,32551,72134,105217,county
FL,12061,Indian River,35654,62737,99015,county
FL,12085,Martin,33539,64121,98291,county
FL,12017,Citrus,26276,71356,98233,county
FL,12005,Bay,25201,71497,97775,county
FL,12035,Flagler,28431,51014,79963,county
FL,12089,Nassau,17143,47945,65621,county
FL,12055,Highlands,15227,36382,51905,county
FL,12131,Walton,10287,38970,49601,county
FL,12087,Monroe,17933,26064,44327,county
FL,12107,Putnam,9354,26700,36272,county
FL,12023,Columbia,8250,25108,33592,county
FL,12075,Levy,5994,18245,24377,county
FL,12063,Jackson,5892,16074,22098,county
FL,12121,Suwannee,4217,17561,21891,county
FL,12039,Gadsden,14203,7495,21868,county
FL,12129,Wakulla,5441,14246,19856,county
FL,12093,Okeechobee,3671,12315,16058,county
FL,12003,Baker,1982,12926,14977,county
FL,12007,Bradford,2946,10920,13932,county
FL,12051,Hendry,4096,9253,13460,county
FL,12133,Washington,2140,10370,12584,county
FL,12027,DeSoto,3525,8888,12488,county
FL,12041,Gilchrist,1662,8931,10686,county
FL,12123,Taylor,1991,7954,9997,county
FL,12079,Madison,3231,5874,9156,county
FL,12059,Holmes,882,8193,9116,county
FL,12045,Gulf,1970,6684,8697,county
FL,12065,Jefferson,3429,5011,8502,county
FL,12029,Dixie,1183,6920,8148,county
FL,12049,Hardee,1751,6336,8143,county
FL,12037,Franklin,1870,4831,6758,county
FL,12013,Calhoun,1021,5367,6428,county
FL,12125,Union,971,5224,6231,county
FL,12047,Hamilton,1727,3964,5733,county
FL,12043,Glades,1222,4034,5279,county
FL,12067,Lafayette,441,3296,3756,county
FL,12077,Liberty,566,2898,3490,county
GA,13121,Fulton,384752,144655,535238,county
GA,13135,Gwinnett,242507,173041,420681,county
GA,13067,Cobb,228404,168679,401369,county
GA,13089,DeKalb,299630,62622,366008,county
GA,13057,Cherokee,48838,112142,162281,county
GA,13051,Chatham,82758,57336,141109,county
GA,13117,Forsyth,45509,91281,138249,county
GA,13151,Henry,83253,44982,129034,county
GA,13063,Clayton,94203,16877,111729,county
GA,13139,Hall,28347,72991,101973,county
GA,13223,Paulding,35802,58769,95196,county
GA,13073,Columbia,31624,53657,85920,county
GA,13077,Coweta,28111,57204,85916,county
GA,13245,Richmond,56657,26472,83578,county
GA,13153,Houston,35907,45090,81514,county
GA,13215,Muscogee,49413,30616,80491,county
GA,13113,Fayette,35822,38177,74633,county
GA,13097,Douglas,46240,23996,70721,county
GA,13021,Bibb,42172,26658,69181,county
GA,13045,Carroll,17634,42536,60494,county
GA,13217,Newton,33839,24893,59051,county
GA,13297,Walton,15605,42407,58376,county
GA,13015,Bartow,13942,43271,57547,county
GA,13059,Clarke,36297,16049,52887,county
GA,13185,Lowndes,19487,28081,47795,county
GA,13157,Jackson,10472,36497,47243,county
GA,13247,Rockdale,33165,11711,45160,county
GA,13115,Floyd,12862,31631,44738,county
GA,13013,Barrow,12949,30730,43934,county
GA,13127,Glynn,16144,27558,43912,county
GA,13313,Whitfield,10953,28655,39828,county
GA,13103,Effingham,9144,26943,36244,county
GA,13047,Catoosa,7704,27150,35038,county
GA,13095,Dougherty,23831,9904,33850,county
GA,13255,Spalding,13679,19184,33038,county
GA,13031,Bulloch,11514,20985,32657,county
GA,13295,Walker,6436,25462,32086,county
GA,13285,Troup,11757,19392,31304,county
GA,13129,Gordon,4982,22495,27606,county
GA,13219,Oconee,8620,18424,27287,county
GA,13039,Camden,8405,17819,26393,county
GA,13029,Bryan,7779,16738,24651,county
GA,13175,Laurens,7820,15460,23352,county
GA,13137,Habersham,4036,19142,23280,county
GA,13179,Liberty,13459,9441,23028,county
GA,13145,Harris,5976,16283,22353,county
GA,13275,Thomas,8347,13670,22080,county
GA,13227,Pickens,3522,17281,20915,county
GA,13085,Dawson,3350,16115,19561,county
GA,13233,Polk,3749,15352,19171,county
GA,13009,Baldwin,9159,9574,18825,county
GA,13123,Gilmer,3413,14976,18481,county
GA,13291,Union,3309,14477,17880,county
GA,13187,Lumpkin,3356,14339,17808,county
GA,13207,Monroe,4689,12954,17704,county
GA,13177,Lee,4957,12655,17683,county
GA,13213,Murray,2459,14965,17468,county
GA,13277,Tift,5438,11496,16989,county
GA,13311,White,2609,14136,16825,county
GA,13195,Madison,3753,12951,16787,county
GA,13071,Colquitt,4114,12451,16611,county
GA,13143,Haralson,2065,14239,16364,county
GA,13111,Fannin,2807,13232,16096,county
GA,13169,Jones,4959,11079,16092,county
GA,13069,Coffee,4295,11388,15715,county
GA,13299,Ware,4068,10279,14392,county
GA,13147,Hart,3210,11064,14331,county
GA,13293,Upson,4098,9528,13662,county
GA,13305,Wayne,2708,10811,13561,county
GA,13225,Peach,6293,7104,13454,county
GA,13211,Morgan,3533,9589,13181,county
GA,13257,Stephens,2404,10632,13099,county
GA,13035,Butts,3544,9424,13019,county
GA,13237,Putnam,3696,9136,12877,county
GA,13133,Greene,4514,8215,12786,county
GA,13231,Pike,1648,10864,12549,county
GA,13119,Franklin,1647,10459,12140,county
GA,13261,Sumter,6136,5869,12049,county
GA,13199,Meriwether,4373,7375,11788,county
GA,13087,Decatur,4372,7140,11549,county
GA,13033,Burke,4994,6027,11070,county
GA,13279,Toombs,2674,8208,10912,county
GA,13131,Grady,3290,7385,10718,county
GA,13055,Chattooga,1896,8769,10706,county
GA,13189,McDuffie,3937,6562,10537,county
GA,13011,Banks,1136,9358,10519,county
GA,13241,Rabun,2222,8151,10423,county
GA,13171,Lamar,2795,7575,10412,county
GA,13229,Pierce,1089,8655,9761,county
GA,13107,Emanuel,2673,6919,9619,county
GA,13105,Elbert,2700,6860,9589,county
GA,13303,Washington,4643,4824,9493,county
GA,13321,Worth,2300,6991,9309,county
GA,13159,Jasper,1881,7203,9118,county
GA,13205,Mitchell,3701,5150,8877,county
GA,13281,Towns,1649,7155,8838,county
GA,13221,Oglethorpe,2515,6255,8822,county
GA,13267,Tattnall,1967,6515,8512,county
GA,13025,Brantley,736,7744,8500,county
GA,13091,Dodge,2081,6249,8350,county
GA,13001,Appling,1560,6761,8334,county
GA,13083,Dade,1343,6804,8200,county
GA,13081,Crisp,2993,5099,8116,county
GA,13019,Berrien,1209,6841,8068,county
GA,13163,Jefferson,3674,3765,7463,county
GA,13191,McIntosh,2628,4747,7408,county
GA,13075,Cook,1956,5374,7357,county
GA,13027,Brooks,2629,4560,7210,county
GA,13183,Long,2476,4557,7056,county
GA,13251,Screven,2581,4325,6920,county
GA,13017,Ben Hill,2199,4281,6501,county
GA,13079,Crawford,1582,4742,6340,county
GA,13149,Heard,859,5335,6210,county
GA,13023,Bleckley,1339,4685,6044,county
GA,13161,Jeff Davis,924,4935,5872,county
GA,13317,Wilkes,2112,2971,5098,county
GA,13181,Lincoln,1351,3559,4931,county
GA,13319,Wilkinson,2012,2888,4908,county
GA,13099,Early,2158,2718,4879,county
GA,13005,Bacon,645,4186,4839,county
GA,13193,Macon,2755,1916,4686,county
GA,13049,Charlton,1007,3607,4628,county
GA,13043,Candler,1196,3366,4568,county
GA,13289,Twiggs,1895,2549,4456,county
GA,13155,Irwin,986,3340,4342,county
GA,13273,Terrell,2253,2075,4341,county
GA,13235,Pulaski,1281,3036,4336,county
GA,13109,Evans,1214,3011,4244,county
GA,13141,Hancock,2864,1364,4240,county
GA,13271,Telfair,1274,2930,4214,county
GA,13093,Dooly,1921,2243,4177,county
GA,13253,Seminole,1191,2811,4007,county
GA,13167,Johnson,1066,2913,3984,county
GA,13269,Taylor,1366,2600,3982,county
GA,13209,Montgomery,927,3033,3973,county
GA,13287,Turner,1365,2457,3833,county
GA,13173,Lanier,995,2726,3736,county
GA,13197,Marion,1253,2348,3621,county
GA,13165,Jenkins,1179,2217,3409,county
GA,13263,Talbot,1888,1483,3379,county
GA,13315,Wilcox,847,2493,3347,county
GA,13283,Treutlen,864,2250,3121,county
GA,13003,Atkinson,700,2350,3057,county
GA,13243,Randolph,1601,1373,2990,county
GA,13065,Clinch,702,2201,2908,county
GA,13201,Miller,670,2045,2724,county
GA,13301,Warren,1354,1232,2592,county
GA,13249,Schley,453,1970,2428,county
GA,13309,Wheeler,622,1648,2276,county
GA,13037,Calhoun,1153,900,2056,county
GA,13259,Stewart,1177,847,2028,county
GA,13053,Chattahoochee,703,982,1694,county
GA,13125,Glascock,133,1534,1670,county
GA,13007,Baker,590,883,1476,county
GA,13061,Clay,771,663,1442,county
GA,13101,Echols,127,1307,1438,county
GA,13307,Webster,544,790,1336,county
GA,13239,Quitman,480,656,1140,county
GA,13265,Taliaferro,507,375,884,county
HI,15003,Honolulu,204301,130489,340921,county
HI,15001,Hawaii,52163,28748,82823,county
HI,15009,Maui,38905,22621,62893,county
HI,15007,Kauai,17675,11803,30064,county
ID,16001,Ada,116116,143759,267340,county
ID,16027,Canyon,25669,72755,101001,county
ID,16055,Kootenai,22113,72059,96340,county
ID,16019,Bonneville,14458,40053,56419,county
ID,16005,Bannock,14306,24329,39971,county
ID,16083,Twin Falls,9064,27304,37373,county
ID,16017,Bonner,7650,21352,29698,county
ID,16011,Bingham,3878,16188,20643,county
ID,16057,Latah,9039,10669,20440,county
ID,16069,Nez Perce,5928,13707,20132,county
ID,16065,Madison,2767,13925,17358,county
ID,16051,Jefferson,1891,13481,15819,county
ID,16013,Blaine,8424,4281,13087,county
ID,16075,Payette,2064,9458,11760,county
ID,16039,Elmore,2611,7791,10672,county
ID,16045,Gem,1699,8707,10620,county
ID,16049,Idaho County,1460,8148,9858,county
ID,16031,Cassia,1359,7959,9557,county
ID,16067,Minidoka,1373,6401,7947,county
ID,16053,Jerome,1742,6012,7945,county
ID,16085,Valley,2869,4214,7240,county
ID,16041,Franklin,703,6279,7184,county
ID,16021,Boundary,1145,5794,7110,county
ID,16043,Fremont,954,5645,6803,county
ID,16081,Teton,3463,3005,6698,county
ID,16079,Shoshone,1472,4500,6130,county
ID,16047,Gooding,1100,4676,5918,county
ID,16087,Washington,1010,4429,5553,county
ID,16009,Benewah,935,4094,5144,county
ID,16073,Owyhee,756,4101,4950,county
ID,16015,Boise,1065,3727,4910,county
ID,16059,Lemhi,1038,3716,4873,county
ID,16035,Clearwater,774,3550,4418,county
ID,16029,Caribou,445,2906,3456,county
ID,16007,Bear Lake,346,2908,3325,county
ID,16077,Power,785,2146,3019,county
ID,16003,Adams,577,2037,2679,county
ID,16037,Custer,586,1998,2650,county
ID,16071,Oneida,253,2119,2457,county
ID,16063,Lincoln,392,1466,1917,county
ID,16061,Lewis,305,1503,1843,county
ID,16023,Butte,185,1268,1494,county
ID,16025,Camas,153,547,728,county
ID,16033,Clark,50,280,333,county
IL,17031,Cook,1447821,583852,2056800,county
IL,17043,DuPage,251164,191243,449660,county
IL,17197,Will,162874,157672,324971,county
IL,17097,Lake,184642,120402,309323,county
IL,17089,Kane,120077,99260,222364,county
IL,17111,McHenry,75370,83933,161699,county
IL,17119,Madison,56341,73925,132599,county
IL,17201,Winnebago,59942,59257,121048,county
IL,17163,St. Clair,63433,54021,119655,county
IL,17167,Sangamon,46074,50979,98845,county
IL,17019,Champaign,54314,32965,88627,county
IL,17113,McLean,44495,40290,86168,county
IL,17143,Peoria,40564,36896,78731,county
IL,17179,Tazewell,24325,42451,67966,county
IL,17093,Kendall,32977,31970,65970,county
IL,17161,Rock Island,34126,28061,63267,county
IL,17099,LaSalle,21029,30717,52432,county
IL,17091,Kankakee,18399,28285,47515,county
IL,17037,DeKalb,23648,22716,47186,county
IL,17115,Macon,18009,26562,45224,county
IL,17199,Williamson,9890,22686,32998,county
IL,17001,Adams,8111,23161,31744,county
IL,17183,Vermilion,9254,19777,29509,county
IL,17063,Grundy,9143,16997,26539,county
IL,17195,Whiteside,11012,14898,26429,county
IL,17141,Ogle,8883,16450,25749,county
IL,17073,Henry,9226,15359,25062,county
IL,17007,Boone,10159,13673,24216,county
IL,17117,Macoupin,6892,16065,23403,county
IL,17077,Jackson,11394,10614,22331,county
IL,17095,Knox,9838,11917,22175,county
IL,17029,Coles,7495,13606,21469,county
IL,17203,Woodford,5958,14837,21113,county
IL,17177,Stephenson,8278,12347,20965,county
IL,17133,Monroe,6473,14055,20889,county
IL,17027,Clinton,4447,14407,19215,county
IL,17049,Effingham,3617,15124,19062,county
IL,17055,Franklin,4257,13200,17685,county
IL,17121,Marion,4116,12409,16756,county
IL,17081,Jefferson,4240,12189,16639,county
IL,17105,Livingston,4311,11970,16538,county
IL,17057,Fulton,5980,9827,16137,county
IL,17103,Lee,6105,9680,16091,county
IL,17011,Bureau,5900,9784,15992,county
IL,17021,Christian,4026,11278,15534,county
IL,17137,Morgan,4848,9607,14649,county
IL,17157,Randolph,3461,10624,14332,county
IL,17075,Iroquois,2747,10376,13307,county
IL,17135,Montgomery,3573,9378,13187,county
IL,17107,Logan,3543,8757,12555,county
IL,17085,JoDaviess,5051,7136,12385,county
IL,17109,McDonough,4736,6987,11940,county
IL,17083,Jersey,2816,8684,11691,county
IL,17173,Shelby,2240,9267,11664,county
IL,17165,Saline,2634,7830,10602,county
IL,17051,Fayette,1632,7847,9601,county
IL,17147,Piatt,3204,6104,9496,county
IL,17145,Perry,2146,6949,9241,county
IL,17067,Hancock,2183,6708,9058,county
IL,17033,Crawford,2048,6727,8927,county
IL,17041,Douglas,2198,6076,8404,county
IL,17131,Mercer,2950,5215,8345,county
IL,17191,Wayne,1155,7019,8267,county
IL,17181,Union,2285,5837,8224,county
IL,17023,Clark,1927,6130,8203,county
IL,17005,Bond,2117,5692,7981,county
IL,17045,Edgar,1816,5955,7906,county
