"year","county","dem","rep","oth","total"
2016,"ANSON",5851,4511,112,10474
2016,"ASHE",4304,8834,288,13426
2016,"AVERY",1978,6023,188,8189
2016,"BEAUFORT",8855,14610,322,23787
2016,"BERTIE",5504,3700,60,9264
2016,"BLADEN",7263,8312,189,15764
2016,"BRUNSWICK",25285,40726,1574,67585
2016,"BUNCOMBE",81877,51874,4294,138045
2016,"BURKE",13372,24466,876,38714
2016,"CABARRUS",37918,52530,2441,92889
2016,"CALDWELL",10055,25173,927,36155
2016,"CAMDEN",1361,3410,132,4903
2016,"CARTERET",10687,26095,790,37572
2016,"CASWELL",5035,5762,156,10953
2016,"CATAWBA",23766,46269,1815,71850
2016,"CHATHAM",22097,17052,719,39868
2016,"CHEROKEE",3712,9717,438,13867
2016,"CHOWAN",2990,4079,72,7141
2016,"CLAY",1690,4029,156,5875
2016,"CLEVELAND",16114,27548,740,44402
2016,"COLUMBUS",9316,13740,311,23367
2016,"CRAVEN",17814,27926,896,46636
2016,"CUMBERLAND",70449,52762,2909,126120
2016,"CURRITUCK",3156,8851,365,12372
2016,"DARE",8086,10702,517,19305
2016,"DAVIDSON",21945,50860,1676,74481
2016,"DAVIE",6438,14721,508,21667
2016,"DUPLIN",8180,12269,224,20673
2016,"DURHAM",122137,30720,2622,155479
2016,"EDGECOMBE",16162,8389,215,24766
2016,"FORSYTH",99689,73589,3991,177269
2016,"FRANKLIN",13849,15900,590,30339
2016,"GASTON",33708,60006,2146,95860
2016,"GATES",2338,2875,78,5291
2016,"GRAHAM",1144,2760,130,4034
2016,"GRANVILLE",13528,13308,450,27286
2016,"GREENE",3602,4383,67,8052
2016,"GUILFORD",155692,94467,5409,255568
2016,"HALIFAX",16021,8830,191,25042
2016,"HARNETT",17666,27122,1041,45829
2016,"HAYWOOD",12864,16625,961,30450
2016,"HENDERSON",22459,33599,1597,57655
2016,"HERTFORD",6681,3243,75,9999
2016,"HOKE",9688,7799,490,17977
2016,"HYDE",1011,1257,25,2293
2016,"IREDELL",28585,50923,2419,81927
2016,"JACKSON",9205,8782,597,18584
2016,"JOHNSTON",31182,52921,1567,85670
2016,"JONES",2050,2998,60,5108
2016,"LEE",11369,13017,544,24930
2016,"LENOIR",12458,13882,280,26620
2016,"LINCOLN",11331,27558,959,39848
2016,"MACON",6279,10715,525,17519
2016,"MADISON",4796,6049,318,11163
2016,"MARTIN",5783,6015,88,11886
2016,"MCDOWELL",6022,13049,572,19643
2016,"MECKLENBURG",297129,160501,11975,469605
2016,"MITCHELL",1998,5822,199,8019
2016,"MONTGOMERY",4658,6656,175,11489
2016,"MOORE",17794,29688,991,48473
2016,"NASH",24646,22486,506,47638
2016,"NEW HANOVER",56370,51105,3234,110709
2016,"NORTHAMPTON",6101,3617,69,9787
2016,"ONSLOW",17994,36688,1658,56340
2016,"ORANGE",61344,19153,1492,81989
2016,"PAMLICO",2466,4261,103,6830
2016,"PASQUOTANK",8774,8071,335,17180
2016,"PENDER",10187,16622,684,27493
2016,"PERQUIMANS",2356,4160,76,6592
2016,"PERSON",8400,10770,303,19473
2016,"PITT",41916,36705,1323,79944
2016,"POLK",4302,6225,251,10778
2016,"RANDOLPH",16374,46370,1460,64204
2016,"RICHMOND",8948,9844,311,19103
2016,"ROBESON",18536,21305,382,40223
2016,"ROCKINGHAM",16334,24831,850,42015
2016,"ROWAN",21631,40812,1630,64073
2016,"RUTHERFORD",9512,19672,728,29912
2016,"SAMPSON",10566,14935,265,25766
2016,"SCOTLAND",7351,6091,189,13631
2016,"STANLY",8163,21054,601,29818
2016,"STOKES",6177,15726,564,22467
2016,"SURRY",9624,21714,613,31951
2016,"SWAIN",2662,3096,268,6026
2016,"TRANSYLVANIA",7598,9549,529,17676
2016,"TYRRELL",704,990,28,1722
2016,"UNION",35921,66739,2388,105048
2016,"VANCE",12267,7381,201,19849
2016,"WAKE",315555,199356,11664,526575
2016,"WARREN",6469,3218,102,9789
2016,"WASHINGTON",3386,2665,53,6104
2016,"WATAUGA",15650,13073,1029,29752
2016,"WAYNE",21859,27821,680,50360
2016,"WILKES",8280,22246,622,31148
2016,"WILSON",20471,17161,391,38023
2016,"YADKIN",4033,13192,356,17581
2016,"YANCEY",3931,5845,230,10006
2020,"ALAMANCE",41979,42918,1038,85935
2020,"ALEXANDER",4980,14980,227,20187
2020,"ALLEGHANY",1929,4085,70,6084
2020,"ANSON",6116,4977,113,11206
2020,"ASHE",4967,10622,188,15777
2020,"AVERY",2407,6894,116,9417
2020,"BEAUFORT",10291,15710,231,26232
2020,"BERTIE",6080,3654,54,9788
2020,"BLADEN",7784,9096,153,17033
2020,"BRUNSWICK",36818,51703,1260,89781
2020,"BUNCOMBE",99395,58153,2894,160442
2020,"BURKE",15028,28898,533,44459
2020,"CABARRUS",54665,59682,1990,116337
2020,"CALDWELL",11926,30234,513,42673
2020,"CAMDEN",1600,4200,113,5913
2020,"CARTERET",13293,28689,542,42524
2020,"CASWELL",5285,6634,101,12020
2020,"CATAWBA",28267,53802,1179,83248
2020,"CHATHAM",28128,19937,479,48544
2020,"CHEROKEE",3772,12349,230,16351
2020,"CHOWAN",3399,4308,58,7765
2020,"CLAY",1761,4994,103,6858
2020,"CLEVELAND",18549,32031,544,51124
2020,"COLUMBUS",10309,15713,223,26245
2020,"CRAVEN",22436,29614,806,52856
2020,"CUMBERLAND",88278,55197,3018,146493
2020,"CURRITUCK",4382,11293,350,16025
2020,"DARE",10485,13151,384,24020
2020,"DAVIDSON",26598,60771,1061,88430
2020,"DAVIE",7904,17104,270,25278
2020,"DUPLIN",9164,13295,181,22640
2020,"DURHAM",147110,29989,2496,179595
2020,"EDGECOMBE",16786,8487,176,25449
2020,"FORSYTH",118663,78475,3186,200324
2020,"FRANKLIN",17427,19400,518,37345
2020,"GASTON",44074,69158,1687,114919
2020,"GATES",2679,3163,91,5933
2020,"GRAHAM",1104,3489,51,4644
2020,"GRANVILLE",15756,15411,381,31548
2020,"GREENE",3991,4678,66,8735
2020,"GUILFORD",180160,97973,4459,282592
2020,"HALIFAX",16098,9403,197,25698
2020,"HARNETT",23987,33049,1046,58082
2020,"HAYWOOD",14779,21185,495,36459
2020,"HENDERSON",29144,38028,1018,68190
2020,"HERTFORD",7212,3282,74,10568
2020,"HOKE",12597,8475,456,21528
2020,"HYDE",1111,1351,21,2483
2020,"IREDELL",36375,63962,1660,101997
2020,"JACKSON",10406,10519,421,21346
2020,"JOHNSTON",45165,64310,1599,111074
2020,"JONES",2333,3128,51,5512
2020,"LEE",13522,14937,402,28861
2020,"LENOIR",14208,13906,234,28348
2020,"LINCOLN",14730,34711,667,50108
2020,"MACON",7062,13333,289,20684
2020,"MADISON",5489,7352,210,13051
2020,"MARTIN",6277,6154,82,12513
2020,"MCDOWELL",6851,15761,288,22900
2020,"MECKLENBURG",382726,171123,10584,564433
2020,"MITCHELL",2090,6827,84,9001
2020,"MONTGOMERY",5069,7622,135,12826
2020,"MOORE",22974,34311,842,58127
2020,"NASH",27692,24062,440,52194
2020,"NEW HANOVER",69554,59305,2417,131276
2020,"NORTHAMPTON",6313,3689,82,10084
2020,"ONSLOW",25653,43838,1987,71478
2020,"ORANGE",65042,18810,963,84815
2020,"PAMLICO",2881,4672,73,7626
2020,"PASQUOTANK",10061,9449,301,19811
2020,"PENDER",12599,20854,552,34005
2020,"PERQUIMANS",2637,4756,78,7471
2020,"PERSON",9301,12296,212,21809
2020,"PITT",48995,37210,1183,87388
2020,"POLK",4863,7280,156,12299
2020,"RANDOLPH",18929,53176,808,72913
2020,"RICHMOND",9622,10740,269,20631
2020,"ROBESON",22281,23888,421,46590
2020,"ROCKINGHAM",18197,28891,564,47652
2020,"ROWAN",25473,46676,1070,73219
2020,"RUTHERFORD",10469,23437,370,34276
2020,"SAMPSON",11890,16404,244,28538
2020,"SCOTLAND",7671,6821,155,14647
2020,"STANLY",9413,24022,381,33816
2020,"STOKES",6567,18849,265,25681
2020,"SURRY",10872,25366,361,36599
2020,"SWAIN",3043,3847,139,7029
2020,"TRANSYLVANIA",9226,10800,299,20325
2020,"TYRRELL",811,975,16,1802
2020,"UNION",51306,77305,1860,130471
2020,"VANCE",13160,7608,182,20950
2020,"WAKE",410386,209183,10104,629673
2020,"WARREN",6716,3497,82,10295
2020,"WASHINGTON",3531,2623,37,6191
2020,"WATAUGA",17642,13790,608,32040
2020,"WAYNE",25589,29056,671,55316
2020,"WILKES",9537,25469,344,35350
2020,"WILSON",22014,18305,366,40685
2020,"YADKIN",4777,14910,213,19900
2020,"YANCEY",4147,7105,122,11374
2024,"ALAMANCE",47118,36979,4248,88345
2024,"ALEXANDER",5435,13930,982,20347
2024,"ALLEGHANY",2193,3830,304,6327
2024,"ANSON",5708,4681,370,10759
2024,"ASHE",5646,9359,774,15779
2024,"AVERY",2715,6123,389,9227
2024,"BEAUFORT",10871,14044,1136,26051
2024,"BERTIE",5436,3382,211,9029
2024,"BLADEN",7460,8446,601,16507
2024,"BRUNSWICK",51335,48250,7100,106685
2024,"BUNCOMBE",106611,44373,6671,157655
2024,"BURKE",16274,26602,2153,45029
2024,"CABARRUS",61562,49500,6674,117736
2024,"CALDWELL",12932,27563,2241,42736
2024,"CAMDEN",1597,4365,219,6181
2024,"CARTERET",16808,25069,2811,44688
2024,"CASWELL",5100,6279,446,11825
2024,"CATAWBA",32574,48704,4345,85623
2024,"CHATHAM",32244,16888,2204,51336
2024,"CHEROKEE",4089,12884,615,17588
2024,"CHOWAN",3144,4086,213,7443
2024,"CLAY",2070,5281,246,7597
2024,"CLEVELAND",19733,28350,2446,50529
2024,"COLUMBUS",9920,14970,941,25831
2024,"CRAVEN",25705,26307,2970,54982
2024,"CUMBERLAND",83637,47014,7259,137910
2024,"CURRITUCK",4836,12153,756,17745
2024,"DARE",11031,12717,1029,24777
2024,"DAVIDSON",32421,54241,5389,92051
2024,"DAVIE",9373,15393,1607,26373
2024,"DUPLIN",8905,12634,859,22398
2024,"DURHAM",150555,22541,6071,179167
2024,"EDGECOMBE",15715,7675,685,24075
2024,"FORSYTH",127551,62320,10235,200106
2024,"FRANKLIN",21001,18958,2118,42077
2024,"GASTON",51428,58194,6865,116487
2024,"GATES",2334,3252,170,5756
2024,"GRAHAM",1143,3321,189,4653
2024,"GRANVILLE",16296,13886,1414,31596
2024,"GREENE",3839,4229,242,8310
2024,"GUILFORD",187564,78462,13409,279435
2024,"HALIFAX",14952,8155,580,23687
2024,"HARNETT",27621,31552,3505,62678
2024,"HAYWOOD",17204,18155,1910,37269
2024,"HENDERSON",34261,31303,3445,69009
2024,"HERTFORD",6153,3239,236,9628
2024,"HOKE",12710,8335,1250,22295
2024,"HYDE",1050,1247,82,2379
2024,"IREDELL",44662,57376,6321,108359
2024,"JACKSON",11309,9141,1149,21599
2024,"JOHNSTON",57605,57757,6789,122151
2024,"JONES",2217,2928,235,5380
2024,"LEE",14455,13363,1614,29432
2024,"LENOIR",13889,12080,964,26933
2024,"LINCOLN",19084,32188,3225,54497
2024,"MACON",8286,12026,1080,21392
2024,"MADISON",6207,6533,644,13384
2024,"MARTIN",6023,5441,344,11808
2024,"MCDOWELL",7513,14724,1006,23243
2024,"MECKLENBURG",408882,131361,29174,569417
2024,"MITCHELL",2346,5961,302,8609
2024,"MONTGOMERY",4966,7417,566,12949
2024,"MOORE",26199,30304,3605,60108
2024,"NASH",28454,21317,1720,51491
2024,"NEW HANOVER",80834,46537,8145,135516
2024,"NORTHAMPTON",5549,3277,255,9081
2024,"ONSLOW",30722,42689,5786,79197
2024,"ORANGE",69068,14524,2874,86466
2024,"PAMLICO",3193,4309,359,7861
2024,"PASQUOTANK",9724,9720,628,20072
2024,"PENDER",15485,20077,2415,37977
2024,"PERQUIMANS",2436,4967,197,7600
2024,"PERSON",9639,10852,853,21344
2024,"PITT",50853,31268,3467,85588
2024,"POLK",5509,6736,608,12853
2024,"RANDOLPH",21907,48450,3894,74251
2024,"RICHMOND",8594,10083,719,19396
2024,"ROBESON",18752,24804,1707,45263
2024,"ROCKINGHAM",19133,27050,2415,48598
2024,"ROWAN",28431,40845,4312,73588
2024,"RUTHERFORD",11175,21017,1625,33817
2024,"SAMPSON",11211,15341,995,27547
2024,"SCOTLAND",7123,6730,439,14292
2024,"STANLY",11231,22765,1973,35969
2024,"STOKES",7746,17413,1487,26646
2024,"SURRY",12301,22620,1835,36756
2024,"SWAIN",3053,3442,337,6832
2024,"TRANSYLVANIA",10483,9024,925,20432
2024,"TYRRELL",761,892,47,1700
2024,"UNION",59608,69031,7689,136328
2024,"VANCE",12041,7103,574,19718
2024,"WAKE",448870,157912,36010,642792
2024,"WARREN",6412,3223,303,9938
2024,"WASHINGTON",3312,2378,163,5853
2024,"WATAUGA",19021,11697,1667,32385
2024,"WAYNE",25194,26254,2160,53608
2024,"WILKES",9909,23853,1682,35444
2024,"WILSON",22157,15792,1357,39306
2024,"YADKIN",5619,13287,1065,19971
2024,"YANCEY",4483,6209,422,11114
