"item","value","count"
"dem_lgb",6,3
"dem_lgb",7,8
"dem_lgb",8,8
"dem_lgb",9,3
"dem_lgb",10,136
"dem_lgb",11,3
"dem_lgb",12,12
"dem_lgb",13,3
"dem_lgb",14,1
"dem_lgb",15,54
"dem_lgb",16,1
"dem_lgb",17,0
"dem_lgb",18,3
"dem_lgb",19,0
"dem_lgb",20,92
"dem_lgb",21,0
"dem_lgb",22,1
"dem_lgb",23,1
"dem_lgb",24,0
"dem_lgb",25,90
"dem_lgb",26,1
"dem_lgb",27,1
"dem_lgb",28,0
"dem_lgb",29,0
"dem_lgb",30,54
"dem_lgb",31,1
"dem_lgb",32,0
"dem_lgb",33,1
"dem_lgb",34,0
"dem_lgb",35,18
"dem_lgb",36,0
"dem_lgb",37,1
"dem_lgb",38,0
"dem_lgb",39,0
"dem_lgb",40,37
"dem_lgb",41,0
"dem_lgb",42,0
"dem_lgb",43,1
"dem_lgb",44,0
"dem_lgb",45,6
"dem_lgb",46,0
"dem_lgb",47,0
"dem_lgb",48,0
"dem_lgb",49,0
"dem_lgb",50,59
"dem_lgb",51,0
"dem_lgb",52,0
"dem_lgb",53,0
"dem_lgb",54,0
"dem_lgb",55,0
"dem_lgb",56,0
"dem_lgb",57,0
"dem_lgb",58,0
"dem_lgb",59,0
"dem_lgb",60,24
"dem_lgb",61,0
"dem_lgb",62,0
"dem_lgb",63,0
"dem_lgb",64,0
"dem_lgb",65,7
"dem_lgb",66,0
"dem_lgb",67,1
"dem_lgb",68,0
"dem_lgb",69,1
"dem_lgb",70,26
"dem_lgb",71,0
"dem_lgb",72,0
"dem_lgb",73,0
"dem_lgb",74,0
"dem_lgb",75,29
"dem_lgb",76,0
"dem_lgb",77,0
"dem_lgb",78,0
"dem_lgb",79,1
"dem_lgb",80,32
"dem_lgb",81,0
"dem_lgb",82,0
"dem_lgb",83,0
"dem_lgb",84,0
"dem_lgb",85,12
"dem_lgb",86,0
"dem_lgb",87,0
"dem_lgb",88,0
"dem_lgb",89,1
"dem_lgb",90,32
"dem_lgb",91,1
"dem_lgb",92,0
"dem_lgb",93,0
"dem_lgb",94,0
"dem_lgb",95,13
"dem_lgb",96,0
"dem_lgb",97,1
"dem_lgb",98,4
"dem_lgb",99,4
"dem_lgb",100,26
"rep_evang",0,58
"rep_evang",1,5
"rep_evang",2,9
"rep_evang",3,1
"rep_evang",4,2
"rep_evang",5,26
"rep_evang",6,1
"rep_evang",7,0
"rep_evang",8,1
"rep_evang",9,1
"rep_evang",10,67
"rep_evang",11,0
"rep_evang",12,0
"rep_evang",13,0
"rep_evang",14,0
"rep_evang",15,28
"rep_evang",16,0
"rep_evang",17,0
"rep_evang",18,0
"rep_evang",19,1
"rep_evang",20,85
"rep_evang",21,2
"rep_evang",22,0
"rep_evang",23,0
"rep_evang",24,1
"rep_evang",25,94
"rep_evang",26,1
"rep_evang",27,0
"rep_evang",28,0
"rep_evang",29,0
"rep_evang",30,63
"rep_evang",31,0
"rep_evang",32,1
"rep_evang",33,5
"rep_evang",34,1
"rep_evang",35,21
"rep_evang",36,0
"rep_evang",37,1
"rep_evang",38,1
"rep_evang",39,1
"rep_evang",40,50
"rep_evang",41,0
"rep_evang",42,0
"rep_evang",43,1
"rep_evang",44,0
"rep_evang",45,21
"rep_evang",46,0
"rep_evang",47,1
"rep_evang",48,1
"rep_evang",49,0
"rep_evang",50,89
"rep_evang",51,2
"rep_evang",52,0
"rep_evang",53,0
"rep_evang",54,0
"rep_evang",55,14
"rep_evang",56,0
"rep_evang",57,0
"rep_evang",58,0
"rep_evang",59,0
"rep_evang",60,64
"rep_evang",61,0
"rep_evang",62,0
"rep_evang",63,1
"rep_evang",64,0
"rep_evang",65,30
"rep_evang",66,1
"rep_evang",67,0
"rep_evang",68,1
"rep_evang",69,0
"rep_evang",70,48
"rep_evang",71,0
"rep_evang",72,1
"rep_evang",73,2
"rep_evang",74,0
"rep_evang",75,47
"rep_evang",76,0
"rep_evang",77,0
"rep_evang",78,2
"rep_evang",79,2
"rep_evang",80,45
"rep_evang",81,0
"rep_evang",82,0
"rep_evang",83,0
"rep_evang",84,0
"rep_evang",85,11
"rep_evang",86,0
"rep_evang",87,1
"rep_evang",88,1
"rep_evang",89,0
"rep_evang",90,47
"rep_evang",91,0
"rep_evang",92,1
"rep_evang",93,0
"rep_evang",94,0
"rep_evang",95,12
"rep_evang",96,1
"rep_evang",97,0
"rep_evang",98,1
"rep_evang",99,4
"rep_evang",100,21
"rep_rich",0,48
"rep_rich",1,16
"rep_rich",2,18
"rep_rich",3,5
"rep_rich",4,3
"rep_rich",5,55
"rep_rich",6,2
"rep_rich",7,0
"rep_rich",8,3
"rep_rich",9,0
"rep_rich",10,106
"rep_rich",11,1
"rep_rich",12,8
"rep_rich",13,1
"rep_rich",14,0
"rep_rich",15,32
"rep_rich",16,0
"rep_rich",17,1
"rep_rich",18,0
"rep_rich",19,0
"rep_rich",20,81
"rep_rich",21,3
"rep_rich",22,1
"rep_rich",23,1
"rep_rich",24,3
"rep_rich",25,89
"rep_rich",26,0
"rep_rich",27,1
"rep_rich",28,4
"rep_rich",29,0
"rep_rich",30,57
"rep_rich",31,0
"rep_rich",32,0
"rep_rich",33,3
"rep_rich",34,0
"rep_rich",35,20
"rep_rich",36,1
"rep_rich",37,0
"rep_rich",38,2
"rep_rich",39,0
"rep_rich",40,49
"rep_rich",41,0
"rep_rich",42,0
"rep_rich",43,2
"rep_rich",44,1
"rep_rich",45,14
"rep_rich",46,0
"rep_rich",47,2
"rep_rich",48,0
"rep_rich",49,1
"rep_rich",50,85
"rep_rich",51,1
"rep_rich",52,0
"rep_rich",53,0
"rep_rich",54,0
"rep_rich",55,10
"rep_rich",56,0
"rep_rich",57,2
"rep_rich",58,0
"rep_rich",59,0
"rep_rich",60,45
"rep_rich",61,1
"rep_rich",62,0
"rep_rich",63,0
"rep_rich",64,0
"rep_rich",65,21
"rep_rich",66,0
"rep_rich",67,2
"rep_rich",68,0
"rep_rich",69,0
"rep_rich",70,27
"rep_rich",71,0
"rep_rich",72,1
"rep_rich",73,0
"rep_rich",74,0
"rep_rich",75,38
"rep_rich",76,0
"rep_rich",77,0
"rep_rich",78,1
"rep_rich",79,0
"rep_rich",80,28
"rep_rich",81,1
"rep_rich",82,0
"rep_rich",83,0
"rep_rich",84,0
"rep_rich",85,15
"rep_rich",86,0
"rep_rich",87,0
"rep_rich",88,0
"rep_rich",89,2
"rep_rich",90,28
"rep_rich",91,0
"rep_rich",92,0
"rep_rich",93,0
"rep_rich",94,0
"rep_rich",95,7
"rep_rich",96,1
"rep_rich",97,0
"rep_rich",98,0
"rep_rich",99,5
"rep_rich",100,45
"rep_old",0,44
"rep_old",1,5
"rep_old",2,4
"rep_old",3,2
"rep_old",4,1
"rep_old",5,16
"rep_old",6,1
"rep_old",7,2
"rep_old",8,0
"rep_old",9,1
"rep_old",10,58
"rep_old",11,0
"rep_old",12,3
"rep_old",13,0
"rep_old",14,2
"rep_old",15,38
"rep_old",16,1
"rep_old",17,2
"rep_old",18,4
"rep_old",19,1
"rep_old",20,82
"rep_old",21,0
"rep_old",22,2
"rep_old",23,2
"rep_old",24,1
"rep_old",25,85
"rep_old",26,1
"rep_old",27,0
"rep_old",28,1
"rep_old",29,1
"rep_old",30,77
"rep_old",31,1
"rep_old",32,1
"rep_old",33,1
"rep_old",34,1
"rep_old",35,42
"rep_old",36,2
"rep_old",37,0
"rep_old",38,1
"rep_old",39,2
"rep_old",40,80
"rep_old",41,0
"rep_old",42,2
"rep_old",43,2
"rep_old",44,1
"rep_old",45,32
"rep_old",46,0
"rep_old",47,1
"rep_old",48,2
"rep_old",49,0
"rep_old",50,120
"rep_old",51,1
"rep_old",52,1
"rep_old",53,1
"rep_old",54,0
"rep_old",55,19
"rep_old",56,1
"rep_old",57,0
"rep_old",58,1
"rep_old",59,2
"rep_old",60,82
"rep_old",61,0
"rep_old",62,2
"rep_old",63,1
"rep_old",64,0
"rep_old",65,32
"rep_old",66,0
"rep_old",67,1
"rep_old",68,2
"rep_old",69,0
"rep_old",70,40
"rep_old",71,0
"rep_old",72,0
"rep_old",73,0
"rep_old",74,0
"rep_old",75,27
"rep_old",76,0
"rep_old",77,0
"rep_old",78,1
"rep_old",79,2
"rep_old",80,24
"rep_old",81,0
"rep_old",82,0
"rep_old",83,0
"rep_old",84,0
"rep_old",85,6
"rep_old",86,0
"rep_old",87,0
"rep_old",88,0
"rep_old",89,0
"rep_old",90,10
"rep_old",91,0
"rep_old",92,0
"rep_old",93,0
"rep_old",94,0
"rep_old",95,3
"rep_old",96,0
"rep_old",97,0
"rep_old",98,0
"rep_old",99,1
"rep_old",100,12
"rep_south",0,51
"rep_south",1,9
"rep_south",2,1
"rep_south",3,1
"rep_south",4,2
"rep_south",5,20
"rep_south",6,0
"rep_south",7,1
"rep_south",8,3
"rep_south",9,0
"rep_south",10,51
"rep_south",11,0
"rep_south",12,4
"rep_south",13,1
"rep_south",14,0
"rep_south",15,18
"rep_south",16,0
"rep_south",17,0
"rep_south",18,1
"rep_south",19,2
"rep_south",20,79
"rep_south",21,1
"rep_south",22,0
"rep_south",23,2
"rep_south",24,1
"rep_south",25,107
"rep_south",26,1
"rep_south",27,0
"rep_south",28,0
"rep_south",29,3
"rep_south",30,80
"rep_south",31,0
"rep_south",32,1
"rep_south",33,2
"rep_south",34,0
"rep_south",35,38
"rep_south",36,3
"rep_south",37,0
"rep_south",38,2
"rep_south",39,5
"rep_south",40,75
"rep_south",41,1
"rep_south",42,1
"rep_south",43,0
"rep_south",44,0
"rep_south",45,26
"rep_south",46,0
"rep_south",47,2
"rep_south",48,2
"rep_south",49,0
"rep_south",50,106
"rep_south",51,1
"rep_south",52,0
"rep_south",53,2
"rep_south",54,0
"rep_south",55,22
"rep_south",56,1
"rep_south",57,0
"rep_south",58,2
"rep_south",59,1
"rep_south",60,69
"rep_south",61,0
"rep_south",62,3
"rep_south",63,0
"rep_south",64,1
"rep_south",65,37
"rep_south",66,1
"rep_south",67,3
"rep_south",68,0
"rep_south",69,1
"rep_south",70,34
"rep_south",71,0
"rep_south",72,0
"rep_south",73,0
"rep_south",74,0
"rep_south",75,36
"rep_south",76,0
"rep_south",77,0
"rep_south",78,0
"rep_south",79,0
"rep_south",80,28
"rep_south",81,0
"rep_south",82,0
"rep_south",83,0
"rep_south",84,0
"rep_south",85,15
"rep_south",86,0
"rep_south",87,0
"rep_south",88,0
"rep_south",89,0
"rep_south",90,18
"rep_south",91,0
"rep_south",92,2
"rep_south",93,0
"rep_south",94,0
"rep_south",95,1
"rep_south",96,0
"rep_south",97,0
"rep_south",98,0
"rep_south",99,1
"rep_south",100,17
"ALL",0,457
"ALL",1,82
"ALL",2,70
"ALL",3,31
"ALL",4,19
"ALL",5,334
"ALL",6,15
"ALL",7,20
"ALL",8,25
"ALL",9,10
"ALL",10,700
"ALL",11,8
"ALL",12,36
"ALL",13,11
"ALL",14,9
"ALL",15,304
"ALL",16,6
"ALL",17,8
"ALL",18,15
"ALL",19,8
"ALL",20,682
"ALL",21,6
"ALL",22,11
"ALL",23,11
"ALL",24,9
"ALL",25,748
"ALL",26,10
"ALL",27,5
"ALL",28,8
"ALL",29,4
"ALL",30,545
"ALL",31,2
"ALL",32,5
"ALL",33,16
"ALL",34,3
"ALL",35,198
"ALL",36,7
"ALL",37,2
"ALL",38,11
"ALL",39,10
"ALL",40,468
"ALL",41,1
"ALL",42,4
"ALL",43,8
"ALL",44,4
"ALL",45,158
"ALL",46,2
"ALL",47,7
"ALL",48,8
"ALL",49,3
"ALL",50,712
"ALL",51,6
"ALL",52,1
"ALL",53,3
"ALL",54,0
"ALL",55,89
"ALL",56,6
"ALL",57,2
"ALL",58,3
"ALL",59,4
"ALL",60,404
"ALL",61,1
"ALL",62,5
"ALL",63,2
"ALL",64,2
"ALL",65,177
"ALL",66,2
"ALL",67,10
"ALL",68,4
"ALL",69,3
"ALL",70,249
"ALL",71,0
"ALL",72,4
"ALL",73,2
"ALL",74,1
"ALL",75,263
"ALL",76,1
"ALL",77,1
"ALL",78,7
"ALL",79,5
"ALL",80,246
"ALL",81,1
"ALL",82,0
"ALL",83,0
"ALL",84,1
"ALL",85,96
"ALL",86,0
"ALL",87,1
"ALL",88,1
"ALL",89,4
"ALL",90,242
"ALL",91,1
"ALL",92,6
"ALL",93,1
"ALL",94,0
"ALL",95,74
"ALL",96,3
"ALL",97,7
"ALL",98,11
"ALL",99,30
"ALL",100,181
