"division","part","x","y"
"New England",1,976.1,144.9
"New England",1,976.3,145.6
"New England",1,976.1,146.2
"New England",1,977.1,147.2
"New England",1,977,148.3
"New England",1,976.6,149.2
"New England",1,976.5,150.7
"New England",1,976.8,150.9
"New England",1,976.8,151.8
"New England",1,977.4,152.1
"New England",1,977.6,151.7
"New England",1,977.5,151
"New England",1,977.7,150.6
"New England",1,978.7,150.4
"New England",1,979.2,151.3
"New England",1,979.7,151.6
"New England",1,980.1,152.4
"New England",1,981.5,158.6
"New England",1,982.5,163.8
"New England",1,983.5,168.4
"New England",1,983.5,169.2
"New England",1,984,170.4
"New England",1,984.2,170.4
"New England",1,984.1,176.2
"New England",1,983.8,186.6
"New England",1,984.4,187.3
"New England",1,984.6,188.5
"New England",1,985.6,194.1
"New England",1,986.2,197.4
"New England",1,987.5,204.9
"New England",1,989.1,206.6
"New England",1,985.5,210.2
"New England",1,987.3,211.9
"New England",1,987.4,212.5
"New England",1,987.5,212.1
"New England",1,988.1,211.6
"New England",1,988.8,211.6
"New England",1,989.2,210.9
"New England",1,989.8,210.4
"New England",1,990.8,210
"New England",1,991,210.1
"New England",1,991.6,209.7
"New England",1,992,209
"New England",1,991.6,208.6
"New England",1,992.3,208.3
"New England",1,992.9,207.7
"New England",1,993.4,207.8
"New England",1,994.2,206.7
"New England",1,994.6,206.4
"New England",1,995.5,206.6
"New England",1,995.8,205.9
"New England",1,996.5,204.8
"New England",1,997.1,204.8
"New England",1,997.8,203.5
"New England",1,998.3,203.1
"New England",1,998.5,202.2
"New England",1,999,203.4
"New England",1,999.7,202.9
"New England",1,1000.2,202.9
"New England",1,1001.2,202.3
"New England",1,1002.4,202.5
"New England",1,1002.6,201.9
"New England",1,1003.5,201.6
"New England",1,1004.4,201.5
"New England",1,1004.9,201.8
"New England",1,1006.3,200.7
"New England",1,1007.2,200.5
"New England",1,1007.5,200.8
"New England",1,1008.6,200.1
"New England",1,1009.5,199.8
"New England",1,1009.6,199.4
"New England",1,1010.4,199.2
"New England",1,1010.7,198.5
"New England",1,1011.6,198.8
"New England",1,1012,198.8
"New England",1,1012.3,198.2
"New England",1,1013.4,198
"New England",1,1014.3,197.6
"New England",1,1014.6,197.1
"New England",1,1015.6,196.9
"New England",1,1016.2,197.2
"New England",1,1016.6,197.1
"New England",1,1017.6,196.6
"New England",1,1018.5,196.3
"New England",1,1019.9,195.2
"New England",1,1021.5,194.4
"New England",1,1022.3,194.3
"New England",1,1022.5,193.3
"New England",1,1022.4,192.8
"New England",1,1022.7,192.4
"New England",1,1022.7,191.7
"New England",1,1022.4,190.3
"New England",1,1021.6,189.4
"New England",1,1022.3,189
"New England",1,1021.8,187.3
"New England",1,1021.1,187.4
"New England",1,1020.9,186.9
"New England",1,1021.9,186.7
"New England",1,1022.2,185.9
"New England",1,1021.8,185.7
"New England",1,1021.3,184.5
"New England",1,1021.8,184.5
"New England",1,1022.1,185.1
"New England",1,1022.6,185.6
"New England",1,1023,185.5
"New England",1,1023.5,185.9
"New England",1,1023.4,186.6
"New England",1,1024,187.3
"New England",1,1024.4,186.9
"New England",1,1024.6,186.3
"New England",1,1024.3,185.8
"New England",1,1024.6,185.4
"New England",1,1025.3,186.1
"New England",1,1025.2,186.5
"New England",1,1024.3,187.6
"New England",1,1024.4,188.7
"New England",1,1023.9,190.8
"New England",1,1024.2,191.1
"New England",1,1023.8,191.7
"New England",1,1024.3,191.9
"New England",1,1024.8,191.6
"New England",1,1024.8,190.9
"New England",1,1025.6,190.3
"New England",1,1025.4,189.4
"New England",1,1024.9,187.5
"New England",1,1025.2,187.3
"New England",1,1025.5,187.8
"New England",1,1025.8,189.1
"New England",1,1026.5,190.4
"New England",1,1026.7,191
"New England",1,1027.6,189.8
"New England",1,1028.2,189.4
"New England",1,1029.1,189.4
"New England",1,1029.8,188.8
"New England",1,1030.5,187.9
"New England",1,1030.1,187.1
"New England",1,1030.1,186.4
"New England",1,1031.1,185.7
"New England",1,1031.5,186.5
"New England",1,1031.8,186.3
"New England",1,1031.4,185.6
"New England",1,1032.1,185.5
"New England",1,1031.9,184.7
"New England",1,1032.5,184.7
"New England",1,1032.6,183.6
"New England",1,1033.3,183.5
"New England",1,1032.9,182.8
"New England",1,1033,182.5
"New England",1,1034.7,182.6
"New England",1,1034.4,183.3
"New England",1,1034.8,183.9
"New England",1,1034.7,184.4
"New England",1,1035.2,185.6
"New England",1,1035.2,186.6
"New England",1,1034,188
"New England",1,1033.3,189.2
"New England",1,1032.8,189.4
"New England",1,1031.6,190.7
"New England",1,1032.4,190.3
"New England",1,1032.9,189.7
"New England",1,1033.6,189.4
"New England",1,1034.3,188.3
"New England",1,1035.4,187.2
"New England",1,1035.6,186.6
"New England",1,1036.8,186.1
"New England",1,1037.9,185.7
"New England",1,1038.3,185.1
"New England",1,1038.5,184.2
"New England",1,1039.6,183.6
"New England",1,1040,183
"New England",1,1041.6,182.8
"New England",1,1042.4,182.1
"New England",1,1043.2,181.8
"New England",1,1044,181.2
"New England",1,1045.2,180.7
"New England",1,1046,180.9
"New England",1,1046.1,182.7
"New England",1,1046,183.4
"New England",1,1046.3,183.6
"New England",1,1046.5,182.6
"New England",1,1046.4,181.4
"New England",1,1046.5,180.9
"New England",1,1046.6,179.8
"New England",1,1045.7,177.2
"New England",1,1044.5,175
"New England",1,1043.9,174.2
"New England",1,1042.7,172.9
"New England",1,1042.1,172.5
"New England",1,1041,172.1
"New England",1,1039.7,172.1
"New England",1,1039.1,172.4
"New England",1,1038.9,172.8
"New England",1,1039.9,173.1
"New England",1,1040.5,172.4
"New England",1,1041.3,172.6
"New England",1,1041.9,173.3
"New England",1,1042.2,173.8
"New England",1,1042.7,175.8
"New England",1,1042.9,175.1
"New England",1,1043.3,174.9
"New England",1,1044,176
"New England",1,1044.5,177.5
"New England",1,1044.3,178.1
"New England",1,1042.9,179.2
"New England",1,1041.8,179.7
"New England",1,1041.1,180.3
"New England",1,1040.8,180.9
"New England",1,1040.2,180.6
"New England",1,1038.7,180.8
"New England",1,1037,180.8
"New England",1,1036,180.3
"New England",1,1035.5,179.9
"New England",1,1035.4,178.8
"New England",1,1035.1,178.1
"New England",1,1034.5,177.3
"New England",1,1033.9,177
"New England",1,1033.4,177.4
"New England",1,1032.5,177.1
"New England",1,1031.7,176.7
"New England",1,1031.4,176.3
"New England",1,1032.1,176
"New England",1,1031.9,175.4
"New England",1,1032.3,175
"New England",1,1032.1,174.1
"New England",1,1031.6,173.7
"New England",1,1030.3,172.6
"New England",1,1030,171.7
"New England",1,1028.9,171
"New England",1,1027.4,170.9
"New England",1,1026.7,170.2
"New England",1,1025.8,170.6
"New England",1,1025.6,171.2
"New England",1,1025.1,171.6
"New England",1,1024.8,171.3
"New England",1,1024.9,170.7
"New England",1,1024.3,170.4
"New England",1,1024.6,169.5
"New England",1,1025.3,169.5
"New England",1,1024.2,168.4
"New England",1,1024.3,168
"New England",1,1024.8,167.2
"New England",1,1025,167.8
"New England",1,1025.5,167.8
"New England",1,1025,166.9
"New England",1,1025.5,166.7
"New England",1,1025.7,166.3
"New England",1,1026.3,165.5
"New England",1,1025.6,165.2
"New England",1,1025.4,164.7
"New England",1,1026.1,164.4
"New England",1,1026.4,164
"New England",1,1028.1,163.2
"New England",1,1028.3,162.8
"New England",1,1028.8,162.9
"New England",1,1029.1,161.7
"New England",1,1029.5,161.3
"New England",1,1029.3,160.9
"New England",1,1028.8,160.8
"New England",1,1028.3,160.4
"New England",1,1027.7,161.4
"New England",1,1027,161.4
"New England",1,1026.1,160.6
"New England",1,1025,159
"New England",1,1024.3,157
"New England",1,1024.2,156.2
"New England",1,1024.5,154.1
"New England",1,1025,152.2
"New England",2,1023.8,187.8
"New England",2,1023.3,187.5
"New England",2,1022.8,186.9
"New England",2,1022.5,187.2
"New England",2,1023,187.7
"New England",2,1023.4,187.8
"New England",2,1023.4,188.5
"New England",2,1023.8,188.7
"New England",2,1023.8,187.8
"New England",3,1037.4,190.8
"New England",3,1039.9,190.1
"New England",3,1039.7,189
"New England",3,1039.3,188.6
"New England",3,1039.1,189.4
"New England",3,1037.9,189
"New England",3,1037.3,187.9
"New England",3,1036.5,187.8
"New England",3,1035.3,189.1
"New England",3,1034.5,191.5
"New England",3,1033.4,191.8
"New England",3,1034.2,192.5
"New England",3,1034.8,192.2
"New England",3,1035.6,191.5
"New England",3,1037.4,190.8
"New England",4,1022.9,190.4
"New England",4,1023.2,190.8
"New England",4,1023,191.2
"New England",4,1023.1,191.9
"New England",4,1023.7,191.2
"New England",4,1023.2,189.5
"New England",4,1022.8,189.3
"New England",4,1022.9,190.4
"New England",5,1021.3,199.2
"New England",5,1021.3,199.7
"New England",5,1021.7,200
"New England",5,1022.4,199.7
"New England",5,1021.9,198.7
"New England",5,1021.6,198.6
"New England",5,1021.3,199.2
"New England",6,1052.1,112
"New England",6,1052.2,112.9
"New England",6,1052.2,113.2
"New England",6,1053.2,113.2
"New England",6,1052.4,111.9
"New England",6,1052.1,112
"New England",7,1055.7,115.8
"New England",7,1056.3,116
"New England",7,1056.5,115.2
"New England",7,1056.3,115.1
"New England",7,1055.7,115.8
"New England",8,1046.7,114.1
"New England",8,1046.3,113.6
"New England",8,1045.9,113.9
"New England",8,1045.9,115
"New England",8,1046.1,115.6
"New England",8,1045.7,117.1
"New England",8,1046.3,117.7
"New England",8,1046.6,117.1
"New England",8,1046.7,115.6
"New England",8,1046.4,114.9
"New England",8,1046.7,114.1
"New England",9,1055.1,115.9
