"uid","part","x","y"
"AK",13,128.6,685.8
"AK",14,127.7,684.7
"AK",14,127.6,684.8
"AK",14,127.5,685.3
"AK",14,127.7,685.4
"AK",14,127.5,685.7
"AK",14,127.7,686
"AK",14,128,686.1
"AK",14,128.3,685.9
"AK",14,128.2,685.5
"AK",14,128.6,685.4
"AK",14,128.5,685.2
"AK",14,128.6,685
"AK",14,128.5,684.9
"AK",14,128.4,684.7
"AK",14,128,684.5
"AK",14,127.8,684.5
"AK",14,127.7,684.7
"AK",15,126.8,686.6
"AK",15,127,686.8
"AK",15,126.9,687
"AK",15,127,687.2
"AK",15,127.2,686.9
"AK",15,127.4,687.1
"AK",15,127.5,686.8
"AK",15,127.9,687.2
"AK",15,127.9,686.9
"AK",15,128.3,686.7
"AK",15,128.2,686.3
"AK",15,127.8,686.3
"AK",15,127.6,686.3
"AK",15,127.7,686.5
"AK",15,127.6,686.6
"AK",15,127.4,686.5
"AK",15,127.3,686.2
"AK",15,127,686.2
"AK",15,126.8,686.6
"AK",16,122.6,686.8
"AK",16,122.6,687
"AK",16,122.8,687.2
"AK",16,123.4,686.6
"AK",16,123.5,686.7
"AK",16,123.5,686.9
"AK",16,123.4,687
"AK",16,123.5,687.3
"AK",16,123.8,687.2
"AK",16,124.1,686.9
"AK",16,124.3,687
"AK",16,124.4,687.2
"AK",16,124.8,687
"AK",16,125.1,687
"AK",16,125.2,686.9
"AK",16,125.4,687
"AK",16,125.7,686.9
"AK",16,126,687.1
"AK",16,126.3,687.1
"AK",16,126.5,686.8
"AK",16,126.6,686.6
"AK",16,126.7,686.1
"AK",16,126.1,686
"AK",16,125.5,686
"AK",16,125.2,685.9
"AK",16,125,685.7
"AK",16,125.2,685.3
"AK",16,125.6,685.3
"AK",16,125.7,684.8
"AK",16,125.5,684.6
"AK",16,125.1,684.9
"AK",16,124.9,684.6
"AK",16,124.6,684.6
"AK",16,124.3,684.8
"AK",16,124.4,685.4
"AK",16,124.1,685.7
"AK",16,123.8,685.6
"AK",16,123.5,685.5
"AK",16,123.4,685.7
"AK",16,123.5,685.9
"AK",16,123.5,686.2
"AK",16,123.3,686.4
"AK",16,123.1,686.4
"AK",16,122.7,686.6
"AK",16,122.6,686.8
"AK",17,121.1,683.8
"AK",17,121.1,684
"AK",17,121.3,684
"AK",17,121.4,683.8
"AK",17,121.1,683.8
"AK",18,119.4,684.9
"AK",18,119.4,685.3
"AK",18,119.5,685.4
"AK",18,119.7,685.1
"AK",18,119.8,685.1
"AK",18,120,685.2
"AK",18,120.4,685.3
"AK",18,120.7,685.3
"AK",18,121,685.3
"AK",18,121.2,685.6
"AK",18,121.2,685.8
"AK",18,121.4,685.9
"AK",18,122.1,685.9
"AK",18,122.2,685.8
"AK",18,122.4,685.1
"AK",18,122.5,685
"AK",18,122.8,684.9
"AK",18,123.1,684.6
"AK",18,122.9,684.2
"AK",18,122.6,684.1
"AK",18,122.4,684.2
"AK",18,122.2,684.8
"AK",18,122,685
"AK",18,121.6,685.1
"AK",18,120.7,685
"AK",18,120.3,685.1
"AK",18,120.1,685.1
"AK",18,119.8,684.8
"AK",18,119.4,684.9
"AK",19,117.4,682.7
"AK",19,117.4,682.9
"AK",19,117.8,683.5
"AK",19,118,683.8
"AK",19,118.3,683.9
"AK",19,118.3,684.2
"AK",19,118.2,684.4
"AK",19,117.8,684.4
"AK",19,117.4,684.3
"AK",19,117.3,684.4
"AK",19,117.5,684.6
"AK",19,117.7,685
"AK",19,118,684.9
"AK",19,118,685.3
"AK",19,118.1,685.4
"AK",19,118.1,684.9
"AK",19,118.4,684.7
"AK",19,118.6,684.9
"AK",19,118.8,684.7
"AK",19,118.8,684.5
"AK",19,119.1,684.3
"AK",19,119.2,684.1
"AK",19,119.5,684.1
"AK",19,120,684.2
"AK",19,120.2,684
"AK",19,119.8,683.9
"AK",19,119.6,684
"AK",19,119.3,683.7
"AK",19,119,683.8
"AK",19,119,683.5
"AK",19,118.8,683.4
"AK",19,118.9,683.2
"AK",19,118.8,682.9
"AK",19,118.5,682.8
"AK",19,118,682.5
"AK",19,117.6,682.5
"AK",19,117.4,682.7
"AK",20,114.4,683.9
"AK",20,114.4,684.1
"AK",20,114.8,684.3
"AK",20,114.9,684.2
"AK",20,114.6,684
"AK",20,114.4,683.9
"AK",21,113.4,683.8
"AK",21,113.5,684.1
"AK",21,113.9,684.3
"AK",21,113.9,684.1
"AK",21,113.4,683.8
"AK",22,114,682.1
"AK",22,114,682.2
"AK",22,114.2,682.6
"AK",22,114.5,682.6
"AK",22,114.7,682.5
"AK",22,114.7,682.2
"AK",22,114.4,681.9
"AK",22,114.2,681.9
"AK",22,114,682.1
"AK",23,112.2,685
"AK",23,112,685.6
"AK",23,112.2,685.5
"AK",23,112.5,685.5
"AK",23,112.5,685.2
"AK",23,112.4,684.9
"AK",23,112.2,685
"AK",24,111.2,685.5
"AK",24,111.1,685.5
"AK",24,111.1,685.9
"AK",24,111.2,686
"AK",24,111.4,685.9
"AK",24,111.5,685.6
"AK",24,111.5,685.5
"AK",24,111.2,685.5
"AK",25,106.8,677.5
"AK",25,106.6,677.8
"AK",25,106.7,678.2
"AK",25,107.1,678.6
"AK",25,107.3,678.7
"AK",25,107.8,678.6
"AK",25,108.1,678.3
"AK",25,108.1,678.2
"AK",25,107.8,677.6
"AK",25,107.5,677.5
"AK",25,107.3,677.5
"AK",25,107,677.6
"AK",25,106.8,677.5
"AK",26,101.6,678.4
"AK",26,101.6,678.5
"AK",26,101.9,678.9
"AK",26,102.2,679.2
"AK",26,102.5,679.3
"AK",26,102.9,679.8
"AK",26,103,680.2
"AK",26,103.1,680.6
"AK",26,103.6,681.5
"AK",26,103.8,681.8
"AK",26,104.3,681.9
"AK",26,104.4,682
"AK",26,104.7,682.1
"AK",26,104.8,682.1
"AK",26,104.5,681.7
"AK",26,103.9,681.4
"AK",26,103.8,681.3
"AK",26,103.8,680.8
"AK",26,103.5,680.7
"AK",26,103.3,680.3
"AK",26,103.1,679.8
"AK",26,102.9,679.4
"AK",26,102.9,679.1
"AK",26,102.5,678.8
"AK",26,102.2,678.6
"AK",26,101.8,678.3
"AK",26,101.6,678.4
"AK",27,101.9,675.4
"AK",27,101.9,675.8
"AK",27,101.9,676.2
"AK",27,102.1,676.2
"AK",27,102.5,676
"AK",27,102.4,675.7
"AK",27,102.1,675.4
"AK",27,101.9,675.4
"AK",28,100.4,676.1
"AK",28,100.6,676.7
"AK",28,100.9,676.9
"AK",28,100.8,676.5
"AK",28,100.7,676.3
"AK",28,100.4,676.1
"AK",29,100.5,674.3
"AK",29,100.4,674.6
"AK",29,100.5,674.7
"AK",29,100.8,674.7
"AK",29,100.9,674.5
"AK",29,100.6,674.2
"AK",29,100.5,674.3
"AK",30,95.8,673.4
"AK",30,95.9,673.7
"AK",30,96.1,674
"AK",30,96.3,674.1
"AK",30,96.3,673.9
"AK",30,96.5,673.7
"AK",30,96.9,673.6
"AK",30,97.6,674.1
"AK",30,97.8,674.1
"AK",30,97.9,673.9
"AK",30,97.6,673.7
"AK",30,97.7,673.5
"AK",30,98.1,673.4
"AK",30,98.4,673.1
"AK",30,98.6,673.1
"AK",30,98.7,673
"AK",30,98.7,672.8
"AK",30,98.5,672.5
"AK",30,98.3,672.5
"AK",30,97.7,673
"AK",30,97.5,673.3
"AK",30,97.4,673.4
"AK",30,97.1,673.3
"AK",30,96.7,673.2
"AK",30,96.3,673.5
"AK",30,96.2,673.4
"AK",30,95.8,673.4
"AK",31,91.4,667
"AK",31,91.4,667.4
"AK",31,91.6,667.4
"AK",31,91.8,667.3
"AK",31,91.6,667.1
"AK",31,91.4,667
"AK",32,84.6,660.2
"AK",32,84.6,660.4
"AK",32,84.9,660.7
"AK",32,84.9,660.5
"AK",32,84.8,660.2
"AK",32,84.6,660.2
"AK",33,80.2,661
"AK",33,80.3,661.1
"AK",33,80.6,661.4
"AK",33,80.8,661.5
"AK",33,81.1,661.5
"AK",33,81.2,661.5
"AK",33,81.2,661.8
"AK",33,81.3,662
"AK",33,81.6,662.2
"AK",33,81.8,661.7
"AK",33,81.8,661.5
"AK",33,82,661.3
"AK",33,82.3,661.2
"AK",33,82.4,661.2
"AK",33,82,661
"AK",33,81.8,660.9
"AK",33,81.5,661
"AK",33,81.3,660.9
"AK",33,81.1,661.1
"AK",33,80.9,661
"AK",33,80.8,660.8
"AK",33,80.4,660.8
"AK",33,80.2,661
"AK",34,78.3,655
"AK",34,78.2,655.2
"AK",34,78.4,655.3
"AK",34,78.8,655.4
"AK",34,79,655.5
"AK",34,79.4,656.1
"AK",34,79.4,656.2
"AK",34,79.2,656.5
"AK",34,79.2,656.9
"AK",34,79.6,657.3
"AK",34,80.1,657.3
"AK",34,80.6,657.7
"AK",34,80.8,657.7
"AK",34,81.2,657.4
"AK",34,81.4,657.4
"AK",34,81.6,657.8
"AK",34,82.1,658
"AK",34,82.2,657.9
"AK",34,81.9,657
"AK",34,81.8,656.8
"AK",34,81.6,656.8
"AK",34,81.5,656.4
"AK",34,81.4,656.1
"AK",34,79.8,655.1
"AK",34,79.3,654.9
"AK",34,78.3,655
"AK",35,344.3,660.4
"AK",35,344.4,660.6
"AK",35,344.6,660.7
"AK",35,344.6,660.3
"AK",35,344.4,660.2
"AK",35,344.3,660.4
"AK",36,343.6,661.9
"AK",36,343.7,662
"AK",36,343.8,662.1
"AK",36,344.5,662.4
"AK",36,344.9,662.2
"AK",36,345,661.7
"AK",36,344.8,661.7
"AK",36,344.5,661.2
"AK",36,343.9,661.6
"AK",36,343.6,661.9
"AK",37,343,662.1
"AK",37,343.2,662.2
"AK",37,343.5,661.9
"AK",37,343.5,661.7
"AK",37,343.3,661.5
"AK",37,343,662.1
"AK",38,342.7,661.5
"AK",38,342.9,661.6
"AK",38,343.2,661.3
"AK",38,343.5,661.4
"AK",38,343.9,661.2
"AK",38,344,661
"AK",38,343.9,660.8
"AK",38,343.6,660.1
"AK",38,343.7,660
"AK",38,343.3,659.7
"AK",38,343,659.7
"AK",38,342.8,659.5
"AK",38,342.4,659.4
"AK",38,342.3,659.5
"AK",38,342.3,659.8
"AK",38,342.5,660.3
"AK",38,342.8,660.5
"AK",38,342.8,660.6
"AK",38,342.7,660.7
"AK",38,342.8,661
"AK",38,342.8,661.3
"AK",38,342.7,661.5
"AK",39,340.8,659.3
"AK",39,341,659.8
"AK",39,341.1,659.9
"AK",39,341.4,660.5
"AK",39,341.7,660.7
"AK",39,342,660.9
"AK",39,341.9,660.3
"AK",39,342,660.1
"AK",39,341.8,659.6
"AK",39,341.9,659.4
"AK",39,341.8,659.2
"AK",39,341.5,659.1
"AK",39,340.9,658.8
"AK",39,340.7,658.8
"AK",39,340.8,659.3
"AK",40,335.1,651.3
"AK",40,335.2,651.1
"AK",40,335,650.9
"AK",40,335.1,651.3
"AK",41,335.1,652.4
"AK",41,335.1,652.5
"AK",41,335.4,652.4
"AK",41,335.7,652.1
"AK",41,335.7,651.9
"AK",41,335.3,651.8
"AK",41,335.2,651.8
"AK",41,335,652.2
"AK",41,335.1,652.4
"AK",42,334.4,651.7
"AK",42,334.7,651.9
"AK",42,334.8,651.8
"AK",42,334.7,651.5
"AK",42,334.8,651.3
"AK",42,334.5,651.4
"AK",42,334.4,651.7
"AK",43,333.4,654.2
"AK",43,333.6,654.4
"AK",43,333.7,654.7
"AK",43,333.9,654.7
"AK",43,334.3,655
"AK",43,334.5,654.9
"AK",43,334.3,654.7
"AK",43,334.2,654.4
"AK",43,333.9,654.1
"AK",43,333.4,653.8
"AK",43,333.4,654.2
"AK",44,332.9,653.3
"AK",44,333.1,653.5
"AK",44,333.6,653.6
"AK",44,333.7,653.7
"AK",44,334.1,653.9
"AK",44,334.2,653.9
"AK",44,334.5,653.6
"AK",44,334.7,653.5
"AK",44,334.9,653.3
"AK",44,334.9,653.1
"AK",44,334.6,652.8
"AK",44,334.7,652.5
"AK",44,334.8,652.3
"AK",44,334.7,652.2
"AK",44,334.4,652
"AK",44,334.1,652
"AK",44,333.8,652.3
"AK",44,333.5,652.2
"AK",44,333.3,652.3
"AK",44,333,652.6
"AK",44,333,653.1
"AK",44,332.9,653.3
"AK",45,334.2,660.9
"AK",45,334.3,661.1
"AK",45,334.5,661
"AK",45,334.6,660.8
"AK",45,334.5,660.6
"AK",45,334.3,660.7
"AK",45,334.2,660.9
"AK",46,334.5,665.6
"AK",46,334.8,666.3
"AK",46,335.1,666.4
"AK",46,334.9,666.1
"AK",46,334.8,665.8
"AK",46,334.6,665.6
"AK",46,334.5,665.6
"AK",47,332.2,659.8
"AK",47,332.4,660.1
"AK",47,332.6,659.5
"AK",47,332.6,659.3
"AK",47,332.2,659.2
"AK",47,332.3,659.6
"AK",47,332.2,659.8
"AK",48,332,661.3
"AK",48,332.2,661.2
"AK",48,332.8,661.4
"AK",48,332.9,661.6
"AK",48,333,661.9
"AK",48,332.8,662.4
"AK",48,333.2,662.8
"AK",48,333.4,662.8
"AK",48,333.3,662.4
"AK",48,333.3,662.1
"AK",48,333.5,661.6
"AK",48,333.8,661.4
"AK",48,333.8,661.1
"AK",48,333.5,661.2
"AK",48,333.5,661.1
"AK",48,333.6,660.8
"AK",48,333.7,660.7
"AK",48,333.9,660.8
"AK",48,334.1,660.4
"AK",48,334.1,660
"AK",48,333.7,659.8
"AK",48,333.4,659.9
"AK",48,333.3,660
"AK",48,333.3,660.5
"AK",48,333,660.4
"AK",48,333,660.7
"AK",48,332.8,661.1
"AK",48,332.6,661
"AK",48,332.6,660.9
"AK",48,332.8,660.7
"AK",48,332.7,660.4
"AK",48,332.6,660.4
"AK",48,332,660.5
"AK",48,332,660.7
"AK",48,332,661.3
"AK",49,330.6,657.4
"AK",49,330.8,657.7
"AK",49,331.2,657.8
"AK",49,331.5,657.5
"AK",49,331.8,656.9
"AK",49,331.9,656.5
"AK",49,332,656.6
"AK",49,332.1,657.1
"AK",49,332.2,657.3
"AK",49,332.1,657.6
"AK",49,332.3,657.7
"AK",49,332.5,657.5
"AK",49,332.8,657.5
"AK",49,333,657.7
"AK",49,333.2,657.8
"AK",49,333.1,658
"AK",49,332.8,658.2
"AK",49,332.1,658
"AK",49,331.7,658.3
"AK",49,331.6,658.7
"AK",49,332,659
"AK",49,332.3,659.1
"AK",49,332.6,659.1
"AK",49,332.7,659
"AK",49,332.7,658.8
"AK",49,332.5,658.6
"AK",49,332.6,658.5
"AK",49,333,658.6
"AK",49,333,658.8
"AK",49,333.1,658.9
"AK",49,333.2,659.1
"AK",49,333,659.2
"AK",49,333.1,659.4
"AK",49,333.4,659.5
"AK",49,333.9,659.6
"AK",49,334.1,659.7
"AK",49,334.4,659.5
"AK",49,334.5,659.9
"AK",49,334.7,660.1
"AK",49,334.6,660.2
"AK",49,335.3,660.7
"AK",49,335.1,661.1
"AK",49,334.8,661.1
"AK",49,334.6,661.3
"AK",49,334.6,661.6
"AK",49,334.9,661.7
"AK",49,334.9,661.9
"AK",49,334.7,661.9
"AK",49,334.5,661.7
"AK",49,334.3,661.6
"AK",49,334.1,661.7
"AK",49,333.9,661.9
"AK",49,333.9,662.4
"AK",49,334,662.5
"AK",49,334.2,662.8
"AK",49,334.4,662.6
"AK",49,334.7,662.7
"AK",49,335.1,662.3
"AK",49,335.2,662.7
"AK",49,335.4,663
"AK",49,335.7,663.2
"AK",49,335.4,663.4
"AK",49,335.7,663.8
"AK",49,335.9,663.8
"AK",49,336,664
"AK",49,336.1,664.4
"AK",49,336.3,664.5
"AK",49,336.9,665
"AK",49,337.5,665.4
"AK",49,337.7,665.4
"AK",49,337.9,665.5
"AK",49,338.1,666
"AK",49,338.6,666
"AK",49,338.9,665.9
"AK",49,339,665.8
"AK",49,338.3,664.8
"AK",49,338.4,664.8
"AK",49,338.8,665.2
"AK",49,339,665.2
"AK",49,339,665
"AK",49,338.9,664.8
"AK",49,338.7,664.2
"AK",49,338.5,664
"AK",49,338.1,663.9
"AK",49,337.8,664
"AK",49,337.7,664.1
"AK",49,337.9,664.5
"AK",49,337.8,664.6
"AK",49,337.5,664.4
"AK",49,337.3,664.3
"AK",49,336.8,663.6
"AK",49,336.6,663.5
"AK",49,336.6,663.3
"AK",49,336.3,662.8
"AK",49,335.9,662.5
"AK",49,335.5,662
"AK",49,335.6,661.9
"AK",49,335.9,661.9
"AK",49,336.1,662.2
"AK",49,336.2,662.1
"AK",49,336.5,662.1
"AK",49,336.7,662.3
"AK",49,337,662.6
"AK",49,336.9,663
"AK",49,336.8,663.1
"AK",49,337,663.3
"AK",49,337.3,663.4
"AK",49,337.8,663.5
"AK",49,338,663.2
"AK",49,338,663
"AK",49,337.6,662.4
"AK",49,338,662.1
"AK",49,337.9,661.8
"AK",49,338,661.7
"AK",49,338.2,661.9
"AK",49,338.1,662.3
"AK",49,338.1,662.7
"AK",49,338.2,662.7
"AK",49,338.3,662.4
"AK",49,338.4,662.3
"AK",49,338.5,662.4
"AK",49,338.6,663.2
"AK",49,338.5,663.4
"AK",49,338.6,663.5
"AK",49,338.9,663.7
"AK",49,339.3,663.8
"AK",49,339.6,663.8
"AK",49,340,664
"AK",49,340.1,664.3
"AK",49,339.6,664.3
"AK",49,339.5,664.8
"AK",49,339.6,664.8
"AK",49,339.8,664.6
"AK",49,340.1,664.6
"AK",49,340.2,664.8
"AK",49,340.4,664.8
"AK",49,340.6,665
"AK",49,340.8,664.8
"AK",49,341.4,664.9
"AK",49,341.9,664.7
"AK",49,341.9,664.4
"AK",49,342,663.9
"AK",49,341.8,663.5
"AK",49,341.7,663.4
"AK",49,341.2,662.1
"AK",49,340.9,662.1
"AK",49,340.6,662.6
"AK",49,340.4,662.7
