"plan","unit","part","x","y"
"fewest",1,1,1060.3,1243.1
"fewest",1,1,1060.1,1243.1
"fewest",1,1,1060.2,1242.8
"fewest",1,1,1059.9,1242.7
"fewest",1,1,1060,1242.3
"fewest",1,1,1059.9,1242.2
"fewest",1,1,1059.8,1242.3
"fewest",1,1,1059.7,1242.3
"fewest",1,1,1059.9,1242.2
"fewest",1,1,1059.9,1242.1
"fewest",1,1,1059.7,1242
"fewest",1,1,1059.7,1241.5
"fewest",1,1,1059.5,1241.5
"fewest",1,1,1059.5,1241.7
"fewest",1,1,1059.3,1241.7
"fewest",1,1,1059.1,1241.5
"fewest",1,1,1059.6,1241
"fewest",1,1,1059.2,1241
"fewest",1,1,1059.2,1240.9
"fewest",1,1,1059.1,1240.9
"fewest",1,1,1059.3,1240.5
"fewest",1,1,1059.3,1240.2
"fewest",1,1,1059.2,1240
"fewest",1,1,1058.9,1239.8
"fewest",1,1,1059,1239.8
"fewest",1,1,1058.8,1239.8
"fewest",1,1,1059.3,1239
"fewest",1,1,1059.2,1239
"fewest",1,1,1058.9,1239.4
"fewest",1,1,1058.9,1239.3
"fewest",1,1,1059,1238.9
"fewest",1,1,1058.7,1238.8
"fewest",1,1,1058.5,1238.9
"fewest",1,1,1058.5,1238.8
"fewest",1,1,1058.4,1238.8
"fewest",1,1,1058.4,1238.6
"fewest",1,1,1058.3,1238.5
"fewest",1,1,1058.6,1238.3
"fewest",1,1,1058.3,1238.2
"fewest",1,1,1058.4,1237.7
"fewest",1,1,1058.2,1237.7
"fewest",1,1,1058.3,1237.5
"fewest",1,1,1058.1,1237.5
"fewest",1,1,1058.2,1237.1
"fewest",1,1,1058.1,1237
"fewest",1,1,1058.3,1236.1
"fewest",1,1,1058.1,1235.9
"fewest",1,1,1058.3,1235.9
"fewest",1,1,1058.4,1234.9
"fewest",1,1,1058.5,1234.9
"fewest",1,1,1057.7,1233.9
"fewest",1,1,1057.5,1234.1
"fewest",1,1,1057.3,1234
"fewest",1,1,1057.3,1234.1
"fewest",1,1,1057.1,1234.1
"fewest",1,1,1057.2,1233.9
"fewest",1,1,1056.8,1233.9
"fewest",1,1,1056.8,1233.3
"fewest",1,1,1056.7,1233.2
"fewest",1,1,1056.9,1233.1
"fewest",1,1,1056.5,1232.2
"fewest",1,1,1056.5,1231
"fewest",1,1,1056.4,1231.1
"fewest",1,1,1056.1,1231.1
"fewest",1,1,1056.1,1231
"fewest",1,1,1056.4,1230.8
"fewest",1,1,1056.3,1230.7
"fewest",1,1,1056.3,1230.5
"fewest",1,1,1055.6,1230.4
"fewest",1,1,1055.9,1230.2
"fewest",1,1,1055.9,1230
"fewest",1,1,1055.6,1230
"fewest",1,1,1055.4,1230.2
"fewest",1,1,1055.3,1230
"fewest",1,1,1055.7,1229.9
"fewest",1,1,1055.7,1229.7
"fewest",1,1,1055.8,1229.5
"fewest",1,1,1055.5,1229.5
"fewest",1,1,1055.5,1228.9
"fewest",1,1,1055.1,1229
"fewest",1,1,1055.3,1228.7
"fewest",1,1,1055.4,1228.5
"fewest",1,1,1055,1228.3
"fewest",1,1,1055.1,1228.2
"fewest",1,1,1055.1,1228.1
"fewest",1,1,1054.7,1228
"fewest",1,1,1055,1227.9
"fewest",1,1,1054.9,1227.8
"fewest",1,1,1054.9,1227.7
"fewest",1,1,1055,1227.8
"fewest",1,1,1055,1227.7
"fewest",1,1,1055,1227.5
"fewest",1,1,1054.9,1227.4
"fewest",1,1,1055.1,1227.3
"fewest",1,1,1054.8,1227.3
"fewest",1,1,1054.9,1227.1
"fewest",1,1,1054.7,1226.9
"fewest",1,1,1054.9,1226.8
"fewest",1,1,1054.6,1226.7
"fewest",1,1,1054.1,1226.6
"fewest",1,1,1054.1,1226.2
"fewest",1,1,1051.9,1225.2
"fewest",1,1,1051.8,1225.6
"fewest",1,1,1052,1225.6
"fewest",1,14,1060.3,1250.3
"fewest",1,14,1060.6,1250.3
"fewest",1,14,1060.6,1250.5
"fewest",1,14,1060.4,1250.4
"fewest",1,14,1060.3,1250.3
"fewest",1,16,1057.2,1234.8
"fewest",1,16,1057.3,1234.5
"fewest",1,16,1057,1234.5
"fewest",1,16,1057.1,1234.1
"fewest",1,16,1057.4,1234.2
"fewest",1,16,1057.4,1234.3
"fewest",1,16,1057.6,1234.3
"fewest",1,16,1057.5,1234.4
"fewest",1,16,1057.9,1234.5
"fewest",1,16,1057.9,1234.9
"fewest",1,16,1057.2,1234.8
"fewest",1,18,1052.1,1226.4
"fewest",1,18,1052,1226.2
"fewest",1,18,1052.1,1226.2
"fewest",1,18,1052.1,1226.4
"fewest",1,20,1055.1,1228.7
