"family","angle","n_majority","n_majority_bvap","min_share","max_share","spread","max_dev_pct","units_contig","largest_piece_pct"
"split",86,2,2,13.275,88.479,75.204,0.089,3,96.96
"split",87,2,2,13.226,88.425,75.199,0.329,2,98.43
"split",88,2,2,13.311,88.289,74.978,0.053,3,99.7
"split",89,2,2,13.303,88.206,74.903,0.085,3,99.85
"split",90,2,2,13.309,88.143,74.833,0.064,2,99.79
"split",91,2,2,13.287,88.08,74.793,0.238,3,99.67
"split",92,2,2,13.229,87.969,74.739,0.078,2,99.67
"split",93,2,2,13.155,87.757,74.602,0.206,2,99.69
"split",94,2,2,13.138,87.894,74.756,0.097,1,99.74
"split",95,2,2,13.086,87.87,74.784,0.156,3,99.81
"split",96,2,2,12.977,87.9,74.924,0.106,2,99.83
"split",97,2,2,12.968,88.355,75.387,0.038,2,99.83
"split",98,2,2,12.922,88.539,75.617,0.038,3,99.88
"split",99,2,2,12.894,88.659,75.764,0.241,2,99.75
"split",100,2,2,12.853,88.847,75.994,0.144,2,99.89
"split",101,2,2,12.834,89.059,76.224,0.103,3,99.85
"split",102,2,2,12.83,89.412,76.582,0.092,2,99.66
"split",103,2,2,12.868,89.555,76.687,0.024,2,99.64
"split",104,2,2,12.861,89.623,76.762,0.111,1,99.7
"split",105,2,2,12.837,89.719,76.882,0.039,2,99.85
"split",106,2,2,12.837,90.016,77.179,0.194,3,99.83
"split",107,2,2,12.83,90.243,77.413,0.224,1,99.87
"split",108,2,2,12.833,90.32,77.487,0.205,2,99.92
"split",109,2,2,12.802,90.333,77.531,0.063,1,99.78
"split",110,2,2,12.805,90.392,77.587,0.235,0,99.75
"split",111,2,2,12.783,90.352,77.569,0.256,0,99.57
"split",112,2,2,12.746,90.669,77.923,0.079,1,99.8
"split",113,2,2,12.712,90.891,78.178,0.233,1,99.88
"split",114,2,2,12.659,91.017,78.358,0.127,2,99.8
"split",115,2,2,12.545,91.092,78.547,0.092,1,99.56
"split",116,2,2,12.489,91.169,78.68,0.027,1,99.5
"split",117,2,2,12.431,91.366,78.935,0.278,1,99.81
"split",118,2,2,12.313,91.409,79.096,0.181,1,99.78
"split",119,2,2,12.286,91.425,79.139,0.132,1,99.82
"split",120,2,2,11.997,91.462,79.464,0.54,0,99.84
"split",121,2,2,11.986,91.633,79.648,0.105,2,99.81
"split",122,2,2,11.934,91.624,79.69,0.091,2,99.93
"split",123,2,2,11.923,91.668,79.745,0.251,2,99.76
"split",124,2,2,11.866,91.744,79.878,0.259,2,99.86
"split",125,2,2,11.869,91.71,79.841,0.065,2,99.66
"split",126,2,2,11.869,91.635,79.766,0.049,1,99.61
"split",127,2,2,11.812,91.556,79.743,0.095,3,99.57
"split",128,2,2,11.819,91.396,79.576,0.081,2,99.13
"split",129,2,2,11.806,91.381,79.575,0.151,1,98.84
"split",130,2,2,11.773,91.155,79.381,0.188,2,98.69
"split",131,2,2,11.784,90.801,79.017,0.194,1,98.14
"split",132,2,2,11.78,90.688,78.908,0.074,1,98.22
"split",133,2,2,11.77,90.431,78.662,0.386,1,98.17
"split",134,2,2,11.762,90.238,78.475,0.135,2,97.72
"split",135,2,2,11.754,90.119,78.365,0.13,2,97.1
"split",136,2,2,11.758,90.017,78.259,0.367,0,96.9
"split",137,2,2,11.754,89.485,77.732,0.111,1,96.87
"split",138,2,2,11.759,89.546,77.787,0.385,1,95.87
"split",139,2,2,11.767,89.433,77.667,0.325,1,94.81
"split",140,2,2,11.746,89.309,77.563,0.094,1,94.76
"split",141,2,2,11.735,88.862,77.127,0.118,0,94.64
"split",142,2,2,11.777,88.63,76.853,0.154,1,93.94
"split",143,2,2,11.786,88.414,76.628,0.278,0,93.69
"split",144,2,2,11.764,88.111,76.347,0.165,1,93.31
"split",145,3,2,11.715,87.409,75.693,0.104,1,93.37
"split",146,3,3,11.745,86.426,74.681,0.193,1,92.4
"split",147,3,3,11.773,84.831,73.057,0.039,2,90.17
"split",148,3,3,11.692,83.299,71.607,0.058,1,87.53
"split",149,3,3,11.592,82.307,70.716,0.095,1,83.63
"split",150,3,3,11.69,81.087,69.397,0.06,0,80.34
"split",151,3,3,11.676,80.471,68.795,0.232,1,80.04
"split",152,3,2,11.602,79.473,67.871,0.091,0,77.19
"split",153,3,2,11.874,78.261,66.387,0.412,0,73.08
"split",154,3,2,12.203,75.749,63.546,0.109,1,68.43
"split",155,3,2,12.372,73.341,60.969,0.442,0,62.73
"split",156,4,3,12.407,70.758,58.351,0.136,0,57.69
"split",157,4,3,12.642,69.228,56.585,0.094,1,52.52
"split",158,3,3,12.568,68.331,55.763,0.076,0,50.92
"split",159,4,4,12.647,65.721,53.074,0.148,1,57.17
"split",160,4,4,13.369,65.339,51.97,0.042,0,63.65
"split",161,4,4,14.023,67.301,53.278,0.061,0,67.39
"split",162,4,4,14.418,70.792,56.374,0.097,1,71.03
"split",163,4,4,14.031,72.99,58.959,0.338,0,75.54
"split",164,4,4,13.429,74.867,61.437,0.304,0,78.69
"split",165,4,3,13.22,77.073,63.852,0.12,0,83.65
"split",166,3,2,13.127,78.947,65.82,0.028,1,88.2
"split",167,2,2,13.202,81.209,68.007,0.147,0,93.96
"split",168,2,2,13.596,82.979,69.383,0.128,0,97.18
"split",169,2,2,13.648,84.36,70.712,0.398,0,96.52
"split",170,2,2,13.475,85.167,71.692,0.288,2,86.12
"split",171,2,2,13.519,86.465,72.946,0.062,1,87.73
"split",172,2,2,13.528,88.055,74.527,0.244,0,88.68
"split",173,2,2,13.26,88.654,75.393,0.089,0,85.39
"split",174,2,2,13.122,88.918,75.796,0.175,1,81.5
"split",175,2,2,13.231,89.466,76.235,0.125,0,78.71
"split",176,2,2,13.283,89.932,76.649,0.047,1,76.12
"split",177,2,2,12.983,89.902,76.919,0.322,0,73.94
"split",178,2,2,12.889,89.909,77.02,0.024,1,70.74
"split",179,2,2,12.738,89.822,77.084,0.191,0,67.29
