"family","angle","unit","pop","black","share","bvap"
"strip",34,4,177913,33195,18.658,18.138
"strip",34,5,177681,26999,15.195,15.411
"strip",34,6,177784,21104,11.871,11.35
"strip",35,1,177766,159288,89.605,88.91
"strip",35,2,177698,151598,85.312,84.833
"strip",35,3,177862,85437,48.036,45.904
"strip",35,4,177714,33180,18.67,18.155
"strip",35,5,177804,27010,15.191,15.418
"strip",35,6,177866,21111,11.869,11.341
"strip",36,1,177829,159325,89.594,88.897
"strip",36,2,177845,151794,85.352,84.883
"strip",36,3,177643,85220,47.973,45.795
"strip",36,4,177720,33137,18.646,18.127
"strip",36,5,177807,27037,15.206,15.441
"strip",36,6,177866,21111,11.869,11.341
"strip",37,1,177836,159302,89.578,88.874
"strip",37,2,177708,151982,85.523,85.051
"strip",37,3,177902,85461,48.038,45.882
"strip",37,4,177553,33025,18.6,18.066
"strip",37,5,177827,26842,15.094,15.319
"strip",37,6,177884,21012,11.812,11.285
"strip",38,1,177867,159309,89.566,88.871
"strip",38,2,177713,152194,85.64,85.147
"strip",38,3,177795,85051,47.837,45.704
"strip",38,4,177902,33059,18.583,18.044
"strip",38,5,177504,26981,15.2,15.425
"strip",38,6,177929,21030,11.819,11.296
"strip",39,1,177714,159133,89.544,88.851
"strip",39,2,177864,152498,85.739,85.248
"strip",39,3,177729,85400,48.051,45.877
"strip",39,4,177861,33104,18.612,18.066
"strip",39,5,177673,26490,14.909,15.16
"strip",39,6,177869,20999,11.806,11.288
"strip",40,1,177795,159179,89.53,88.829
"strip",40,2,177747,152510,85.802,85.313
"strip",40,3,177790,85410,48.04,45.891
"strip",40,4,178244,33209,18.631,18.078
"strip",40,5,177679,26424,14.872,15.119
"strip",40,6,177455,20892,11.773,11.26
"strip",41,1,177629,159006,89.516,88.81
"strip",41,2,177954,152906,85.924,85.448
"strip",41,3,177741,85365,48.028,45.841
"strip",41,4,177475,33125,18.665,18.104
"strip",41,5,177860,26240,14.753,15.061
"strip",41,6,178051,20982,11.784,11.277
"strip",42,1,177601,158992,89.522,88.818
"strip",42,2,177938,152929,85.945,85.457
"strip",42,3,177855,85555,48.104,45.876
"strip",42,4,177953,33177,18.644,18.093
"strip",42,5,177591,26032,14.658,14.971
"strip",42,6,177772,20939,11.779,11.267
"strip",43,1,177803,159185,89.529,88.823
"strip",43,2,177748,152878,86.008,85.512
"strip",43,3,177935,85509,48.056,45.754
"strip",43,4,177749,33192,18.674,18.108
"strip",43,5,177866,25956,14.593,14.933
"strip",43,6,177609,20904,11.77,11.265
"strip",44,1,177562,158943,89.514,88.806
"strip",44,2,178072,153351,86.117,85.622
"strip",44,3,177940,85356,47.969,45.673
"strip",44,4,177584,33167,18.677,18.112
"strip",44,5,177527,25867,14.571,14.912
"strip",44,6,178025,20940,11.762,11.255
"strip",45,1,177707,159066,89.51,88.799
"strip",45,2,177873,153282,86.175,85.687
"strip",45,3,177683,85156,47.926,45.618
"strip",45,4,177960,33207,18.66,18.079
"strip",45,5,177559,26000,14.643,15.001
"strip",45,6,177928,20913,11.754,11.261
"strip",46,1,177836,159177,89.508,88.801
"strip",46,2,177765,153174,86.167,85.667
"strip",46,3,177792,85238,47.943,45.618
"strip",46,4,177661,33327,18.759,18.171
"strip",46,5,177884,25806,14.507,14.875
"strip",46,6,177772,20902,11.758,11.27
"strip",47,1,177804,159131,89.498,88.796
"strip",47,2,177763,153213,86.189,85.681
"strip",47,3,177839,85459,48.054,45.658
"strip",47,4,177787,33337,18.751,18.161
"strip",47,5,177736,25584,14.394,14.801
"strip",47,6,177781,20900,11.756,11.271
"strip",48,1,177419,158754,89.48,88.779
"strip",48,2,178156,153594,86.213,85.689
"strip",48,3,177780,85615,48.158,45.718
"strip",48,4,177751,33330,18.751,18.156
"strip",48,5,177828,25427,14.299,14.735
"strip",48,6,177776,20904,11.759,11.276
"strip",49,1,177816,159146,89.5,88.798
"strip",49,2,177795,153293,86.219,85.672
"strip",49,3,177641,85749,48.271,45.848
"strip",49,4,178157,33344,18.716,18.12
"strip",49,5,177911,25219,14.175,14.659
"strip",49,6,177390,20873,11.767,11.285
"strip",50,1,177781,159084,89.483,88.771
"strip",50,2,177799,153159,86.142,85.64
"strip",50,3,177702,86079,48.44,45.863
"strip",50,4,177703,33328,18.755,18.158
"strip",50,5,177783,25073,14.103,14.597
"strip",50,6,177942,20901,11.746,11.264
"strip",51,1,177700,158971,89.46,88.745
"strip",51,2,177861,153240,86.157,85.663
"strip",51,3,177793,86139,48.449,45.842
"strip",51,4,177823,33365,18.763,18.165
"strip",51,5,177703,25043,14.093,14.585
"strip",51,6,177830,20866,11.734,11.25
"strip",52,1,178062,159310,89.469,88.753
"strip",52,2,177486,152878,86.135,85.643
"strip",52,3,177798,86061,48.404,45.772
"strip",52,4,177886,33357,18.752,18.157
"strip",52,5,177723,25149,14.151,14.652
"strip",52,6,177755,20869,11.74,11.253
"strip",53,1,177884,159106,89.444,88.722
"strip",53,2,177679,153126,86.181,85.694
"strip",53,3,177784,85861,48.295,45.626
"strip",53,4,177547,33248,18.726,18.125
"strip",53,5,178054,25434,14.284,14.803
"strip",53,6,177762,20849,11.729,11.244
"strip",54,1,177688,158909,89.431,88.713
"strip",54,2,177885,153308,86.184,85.694
"strip",54,3,177843,85902,48.302,45.628
"strip",54,4,177616,33233,18.711,18.113
"strip",54,5,177506,25402,14.311,14.825
"strip",54,6,178172,20870,11.713,11.232
"strip",55,1,177640,158859,89.427,88.707
"strip",55,2,177931,153370,86.196,85.711
"strip",55,3,177772,85738,48.229,45.541
"strip",55,4,178113,33271,18.68,18.09
"strip",55,5,177579,25554,14.39,14.913
"strip",55,6,177675,20832,11.725,11.241
"strip",56,1,177621,158843,89.428,88.706
"strip",56,2,178049,153472,86.196,85.708
"strip",56,3,177980,85725,48.166,45.453
"strip",56,4,177642,33231,18.707,18.119
"strip",56,5,177475,25470,14.351,14.86
"strip",56,6,177943,20883,11.736,11.255
"strip",57,1,177785,158950,89.406,88.681
"strip",57,2,177842,153280,86.189,85.694
"strip",57,3,177702,85559,48.147,45.446
"strip",57,4,177955,33218,18.667,18.085
"strip",57,5,177796,25721,14.467,14.961
"strip",57,6,177630,20896,11.764,11.277
"strip",58,1,177876,159022,89.4,88.683
"strip",58,2,178014,153477,86.216,85.69
"strip",58,3,177520,85194,47.991,45.379
"strip",58,4,177799,33101,18.617,18.034
"strip",58,5,177839,25931,14.581,15.071
"strip",58,6,177662,20899,11.763,11.277
"strip",59,1,177951,159122,89.419,88.696
"strip",59,2,177597,153048,86.177,85.665
"strip",59,3,177781,85447,48.063,45.425
"strip",59,4,177666,33152,18.66,18.092
"strip",59,5,177928,25985,14.604,15.096
"strip",59,6,177787,20870,11.739,11.25
"strip",60,1,177746,158908,89.402,88.68
"strip",60,2,178548,153409,85.92,85.339
"strip",60,3,177079,85067,48.039,45.306
"strip",60,4,177378,33144,18.686,18.109
"strip",60,5,177884,26218,14.739,15.253
"strip",60,6,178075,20878,11.724,11.242
"strip",61,1,177792,158949,89.402,88.679
"strip",61,2,177773,152716,85.905,85.322
"strip",61,3,177917,85767,48.206,45.433
"strip",61,4,177570,33152,18.67,18.087
"strip",61,5,177775,26170,14.721,15.252
"strip",61,6,177883,20870,11.732,11.255
"strip",62,1,177731,158885,89.396,88.675
"strip",62,2,178059,152956,85.902,85.295
"strip",62,3,177705,85587,48.162,45.435
"strip",62,4,177831,33123,18.626,18.048
"strip",62,5,177618,26150,14.723,15.258
"strip",62,6,177766,20923,11.77,11.287
"strip",63,1,177792,158921,89.386,88.668
"strip",63,2,177773,152560,85.817,85.199
"strip",63,3,177796,85686,48.193,45.432
"strip",63,4,177797,33121,18.629,18.052
"strip",63,5,177752,26411,14.858,15.413
"strip",63,6,177800,20925,11.769,11.284
"strip",64,1,177781,158905,89.382,88.665
"strip",64,2,177498,152151,85.72,85.09
"strip",64,3,178482,85904,48.13,45.324
