"kind","x","y"
"not Black",1082.13,1286.54
"not Black",1061.68,1259.72
"not Black",1061.89,1272.41
"not Black",1064.43,1265.11
"not Black",1074.76,1288.73
"Black",1056.01,1256.79
"not Black",1068.75,1286.38
"Black",1055.33,1254.74
"Black",1062.96,1244.74
"not Black",1058.45,1258.67
"not Black",1064.95,1300.49
"Black",1065.83,1253.71
"not Black",1065.37,1255.76
"not Black",1066.59,1285.71
"not Black",1069.55,1290.94
"Black",1048.29,1233.71
"Black",1069.57,1247.07
"not Black",1066.58,1273.4
"not Black",1067.06,1262.5
"not Black",1063.31,1256.88
"Black",1064.18,1255.71
"Black",1065.71,1255.83
"Black",1061.41,1229.96
"not Black",1059.75,1285.45
"not Black",1060.86,1270.89
"Black",1063.4,1276.97
"not Black",1065.11,1280.01
"not Black",1069.3,1284.12
"Black",1041.77,1236.03
"Black",1054.85,1253.76
"Black",1058.98,1256.29
"Black",1052.69,1249.12
"Black",1054.13,1248.91
"Black",1069.89,1292.11
"Black",1051.46,1232.32
"Black",1047.87,1243.36
"not Black",1031.34,1221.47
"Black",1051.13,1230.52
"not Black",1061.95,1256
"Black",1063.08,1243.08
"Black",1061.01,1286.68
"not Black",1066.2,1288.7
"Black",1052.57,1236.92
"not Black",1073.95,1285.34
"not Black",1062.52,1255.37
"not Black",1059.99,1261.74
"not Black",1066.89,1271.37
"not Black",1066.27,1280.5
"Black",1058.17,1256.78
"not Black",1065.04,1263.51
"not Black",1064.24,1285.44
"Black",1044.88,1242.86
"not Black",1060.51,1286.57
"Black",1066.12,1243.63
"Black",1054.24,1253.93
"Black",1056.71,1242.34
"not Black",1064.1,1288.85
"Black",1066.11,1258.74
"not Black",1066.6,1264.71
"Black",1072.54,1292.13
"not Black",1064.73,1242.7
"not Black",1065.39,1269.68
"Black",1061.87,1255.33
"Black",1061.82,1254.66
"not Black",1063.1,1265.49
"not Black",1077.55,1288.52
"not Black",1065.57,1271.59
"Black",1056.19,1252.87
"not Black",1067.15,1263.76
"not Black",1054.1,1239.05
"Black",1057.21,1255.89
"Black",1045.33,1240.91
"Black",1057.95,1254.81
"not Black",1065.33,1292.22
"Black",1066.67,1254.59
"not Black",1065.26,1277.47
"Black",1054.35,1238.5
"not Black",1073.53,1284.42
"not Black",1061.2,1272.47
"Black",1077.78,1291.43
"Black",1058.26,1245.05
"Black",1058.82,1239.49
"Black",1057.27,1238.41
"not Black",1065.26,1242.07
"not Black",1067.27,1299.78
"not Black",1064.16,1290.62
"Black",1056.25,1252.25
"not Black",1065.68,1255.11
"not Black",1065.76,1253.85
"Black",1057.39,1234.81
"not Black",1075.81,1287.73
"not Black",1065.31,1255.06
"Black",1050.58,1237.39
"Black",1058.46,1244.52
"Black",1057.85,1242.82
"not Black",1043.56,1232.62
"not Black",1072.03,1280.92
"not Black",1068.37,1290.78
"Black",1054.97,1228.17
"not Black",1064.55,1270.31
"Black",1060.56,1237.19
"not Black",1066.12,1263.69
"not Black",1065.51,1256.96
"Black",1064.23,1242.47
"Black",1061.4,1251.29
"not Black",1061.69,1282.36
"not Black",1064.43,1273.57
"not Black",1065.28,1268.11
"Black",1049.17,1231.6
"not Black",1067.19,1259.42
"not Black",1073.93,1286.81
"not Black",1054.29,1234.99
"Black",1052.72,1243.88
"Black",1060.38,1247.96
"Black",1056.93,1234.12
"not Black",1067.23,1255.85
"not Black",1074.65,1281.06
"Black",1069.71,1242.06
"not Black",1071.83,1281.42
