"grouping","within","from","to","est","ang0","ang1"
"division",FALSE,"Puerto Rico","West North Central",3020,6.210401,6.213755
"division",FALSE,"Puerto Rico","South Atlantic",13860,6.213755,6.229146
"division",FALSE,"Puerto Rico","East South Central",1927,6.229146,6.231286
"division",FALSE,"Puerto Rico","West South Central",4432,6.231286,6.236208
"division",FALSE,"Puerto Rico","Mountain",161,6.236208,6.236386
"division",FALSE,"Puerto Rico","Pacific",1620,6.236386,6.238185
"region",TRUE,"Northeast","Northeast",484491,0,0.408319
"region",TRUE,"Northeast","Midwest",110766,0.408319,0.50167
"region",TRUE,"Northeast","South",517042,0.50167,0.937422
"region",TRUE,"Northeast","West",151917,0.937422,1.065455
"region",TRUE,"Northeast","Puerto Rico",7868,1.065455,1.072086
"region",TRUE,"Midwest","Northeast",98365,1.117086,1.199986
"region",TRUE,"Midwest","Midwest",509285,1.199986,1.6292
"region",TRUE,"Midwest","South",483332,1.6292,2.036542
"region",TRUE,"Midwest","West",232974,2.036542,2.232888
"region",TRUE,"Midwest","Puerto Rico",2392,2.232888,2.234904
"region",TRUE,"South","Northeast",316495,2.279904,2.546639
"region",TRUE,"South","Midwest",406225,2.546639,2.888997
"region",TRUE,"South","South",1563151,2.888997,4.206388
"region",TRUE,"South","West",450321,4.206388,4.585909
"region",TRUE,"South","Puerto Rico",11348,4.585909,4.595473
"region",TRUE,"West","Northeast",144447,4.640473,4.76221
"region",TRUE,"West","Midwest",247152,4.76221,4.970504
"region",TRUE,"West","South",592064,4.970504,5.469483
"region",TRUE,"West","West",821460,5.469483,6.161793
"region",TRUE,"West","Puerto Rico",848,6.161793,6.162507
"region",TRUE,"Puerto Rico","Northeast",8700,6.207507,6.214839
"region",TRUE,"Puerto Rico","Midwest",5701,6.214839,6.219644
"region",TRUE,"Puerto Rico","South",20219,6.219644,6.236684
"region",TRUE,"Puerto Rico","West",1781,6.236684,6.238185
"region",FALSE,"Northeast","Midwest",110766,0,0.176128
"region",FALSE,"Northeast","South",517042,0.176128,0.998273
"region",FALSE,"Northeast","West",151917,0.998273,1.239835
"region",FALSE,"Northeast","Puerto Rico",7868,1.239835,1.252346
"region",FALSE,"Midwest","Northeast",98365,1.297346,1.453755
"region",FALSE,"Midwest","South",483332,1.453755,2.222298
"region",FALSE,"Midwest","West",232974,2.222298,2.592748
"region",FALSE,"Midwest","Puerto Rico",2392,2.592748,2.596552
"region",FALSE,"South","Northeast",316495,2.641552,3.144808
"region",FALSE,"South","Midwest",406225,3.144808,3.790744
"region",FALSE,"South","West",450321,3.790744,4.506796
"region",FALSE,"South","Puerto Rico",11348,4.506796,4.52484
"region",FALSE,"West","Northeast",144447,4.56984,4.799525
"region",FALSE,"West","Midwest",247152,4.799525,5.192519
"region",FALSE,"West","South",592064,5.192519,6.133956
"region",FALSE,"West","Puerto Rico",848,6.133956,6.135304
"region",FALSE,"Puerto Rico","Northeast",8700,6.180304,6.194138
"region",FALSE,"Puerto Rico","Midwest",5701,6.194138,6.203203
"region",FALSE,"Puerto Rico","South",20219,6.203203,6.235353
"region",FALSE,"Puerto Rico","West",1781,6.235353,6.238185
