"GEOID20","white","black","hispanic","asian","aian"
"131530201083022",0,0,0,0,0
"131530201083023",23,1,1,0,0
"131530201083024",42,26,13,2,0
"131530201083025",0,0,0,0,0
"131530201083026",38,23,1,2,0
"131530201083027",40,9,9,0,0
"131530201083028",51,28,9,0,0
"131530201083029",89,33,8,1,0
"131530201083030",58,30,5,2,0
"131530201083031",36,21,1,0,0
"131530201083032",1,11,6,0,0
"131530201083033",11,0,4,0,0
"131530201084000",112,50,3,0,0
"131530201084001",35,11,5,0,0
"131530201084002",16,6,1,0,1
"131530201084003",38,7,8,0,0
"131530201084004",176,51,16,1,5
"131530201084005",59,45,0,2,0
"131530201084006",31,1,1,3,0
"131530201084007",21,13,4,0,0
"131530201084008",21,3,2,0,3
"131530201084009",48,17,4,0,0
"131530201084010",27,6,7,0,0
"131530201084011",63,30,1,0,0
"131530201084012",20,0,7,0,0
"131530201084013",93,80,28,0,1
"131530201084014",30,10,2,3,0
"131530201084015",16,1,1,0,0
"131530201084016",37,2,4,2,0
"131530201084017",0,0,0,0,0
"131530201101000",0,0,0,0,0
"131530201101001",0,0,0,0,0
"131530201101002",66,103,9,0,1
"131530201101003",0,0,0,0,0
"131530201101004",36,189,8,1,1
"131530201101005",0,0,0,0,0
"131530201101006",0,0,0,0,0
"131530201101007",11,52,0,3,1
"131530201101008",13,111,1,0,0
"131530201101009",52,197,4,4,0
"131530201101010",13,25,3,3,0
"131530201101011",0,37,2,3,0
"131530201101012",38,60,5,0,0
"131530201101013",20,38,9,0,5
"131530201101014",17,59,15,0,2
"131530201102000",7,33,0,0,0
"131530201102001",0,0,0,0,0
"131530201102002",25,9,35,1,0
"131530201102003",198,445,7,3,7
"131530201102004",37,153,8,0,0
"131530201102005",0,0,0,0,0
"131530201111000",32,58,44,5,0
"131530201111001",0,27,41,0,0
"131530201111002",5,16,23,0,0
"131530201111003",9,13,34,0,0
"131530201111004",13,13,58,2,0
"131530201111005",19,19,22,4,0
"131530201111006",0,2,12,0,0
"131530201111007",39,72,4,4,0
"131530201111008",46,47,3,0,0
"131530201111009",55,38,10,4,0
"131530201111010",22,15,8,0,0
"131530201111011",53,66,13,0,0
"131530201111012",65,31,10,0,0
"131530201111013",186,136,21,0,0
"131530201111014",16,7,10,0,0
"131530201111015",19,4,11,0,0
"131530201111016",20,2,8,2,0
"131530201111017",18,2,10,0,0
"131530201111018",22,2,1,1,5
"131530201111019",14,21,7,0,0
"131530201111020",31,24,0,1,0
"131530201111021",22,100,1,4,0
"131530201111022",11,22,3,0,0
"131530201111023",9,27,7,0,0
"131530201111024",7,86,84,3,0
"131530201111025",1,27,4,4,0
"131530201111026",34,81,12,0,0
"131530201111027",7,14,1,0,0
"131530201111028",23,21,10,1,0
"131530201111029",0,0,0,0,0
"131530201111030",19,21,5,0,0
"131530201111031",7,55,4,0,0
"131530201111032",17,22,7,0,0
"131530201112000",2,0,0,1,0
"131530201112001",121,104,10,4,0
"131530201112002",16,29,6,0,0
"131530201112003",30,13,3,0,0
"131530201112004",98,31,3,6,1
"131530201112005",21,12,6,0,0
"131530201112006",1,0,3,0,0
"131530201112007",136,250,9,0,0
"131530201112008",61,23,6,2,0
"131530201112009",46,26,1,1,0
"131530201112010",21,9,0,2,0
"131530201112011",31,78,4,0,0
"131530201112012",31,14,3,3,0
"131530201112013",98,47,1,0,0
"131530201112014",19,15,2,4,0
"131530201112015",29,39,3,0,0
"131530201112016",36,20,2,0,0
"131530201121000",0,0,0,0,0
"131530201121001",12,2,1,0,0
"131530201121002",0,0,0,0,0
"131530201121003",0,0,0,0,0
"131530201121004",32,120,16,0,0
"131530201121005",6,18,8,0,1
"131530201121006",10,23,4,0,1
"131530201121007",9,12,0,0,0
"131530201121008",7,0,1,0,0
"131530201121009",7,0,0,0,0
"131530201121010",0,0,0,0,0
"131530201121011",3,2,2,0,0
"131530201121012",24,11,3,0,0
"131530201121013",84,80,5,9,0
"131530201121014",29,26,2,4,1
"131530201121015",14,18,4,0,0
"131530201121016",20,22,0,0,0
"131530201121017",0,0,0,0,0
"131530201121018",110,1,0,0,0
"131530201121019",16,10,1,0,0
"131530201121020",1,5,1,5,0
"131530201121021",24,16,0,0,0
"131530201121022",37,6,1,0,0
"131530201121023",0,5,0,0,0
"131530201121024",68,5,9,1,0
"131530201121025",24,7,5,0,0
"131530201121026",2,7,7,2,0
"131530201121027",0,0,0,0,0
"131530201121028",0,0,0,0,0
"131530201122000",0,0,0,0,0
"131530201122001",0,0,0,0,0
"131530201122002",0,0,0,0,0
"131530201122003",0,0,0,0,0
"131530201122004",0,0,0,0,0
"131530201122005",23,36,6,6,0
"131530201122006",18,69,10,7,0
"131530201122007",16,0,3,4,0
"131530201122008",210,273,43,51,0
"131530201122009",20,8,2,4,0
"131530201122010",24,4,4,2,0
"131530201122011",191,165,27,42,0
"131530201122012",2,18,5,4,0
"131530201122013",18,4,3,0,0
"131530201122014",0,0,0,0,0
"131530201122015",29,18,2,9,0
"131530201122016",4,3,1,0,0
"131530201122017",182,159,19,46,4
"131530201122018",0,0,0,0,0
"131530201122019",99,75,1,27,0
"131530201122020",0,0,0,0,0
"131530201122021",0,0,0,0,0
"131530201123000",286,175,13,109,6
"131530201123001",7,16,5,20,0
"131530201123002",7,11,5,3,0
"131530201123003",15,13,13,0,1
"131530201123004",100,18,0,11,0
"131530201123005",10,13,0,2,0
"131530201123006",7,0,1,5,0
"131530201123007",56,22,1,30,0
"131530201123008",40,16,3,0,0
"131530201123009",46,17,9,24,0
"131530201123010",191,106,22,40,0
"131530201123011",1,3,3,1,0
"131530201123012",13,9,3,4,0
"131530201123013",12,12,3,5,0
"131530201123014",263,60,11,13,7
"131530201123015",48,22,12,3,0
"131530201131000",0,0,0,0,0
"131530201131001",56,17,8,2,0
"131530201131002",4,5,1,0,0
"131530201131003",14,31,4,5,0
"131530201131004",17,64,10,0,0
"131530201131005",420,486,83,14,0
"131530201131006",48,57,21,5,0
"131530201131007",13,5,2,0,0
"131530201131008",7,24,1,0,0
"131530201131009",20,10,8,2,0
"131530201131010",0,0,0,0,0
"131530201131011",15,75,4,9,0
"131530201131012",37,44,14,0,0
"131530201131013",10,18,7,2,0
"131530201131014",17,41,5,0,0
"131530201131015",69,110,3,5,0
"131530201131016",0,0,0,0,0
"131530201131017",39,54,7,0,0
"131530201131018",1,38,4,0,0
"131530201131019",0,0,0,0,0
"131530201131020",0,0,0,0,0
"131530201131021",4,11,0,0,0
"131530201132000",178,36,6,0,0
"131530201132001",40,22,7,0,0
"131530201132002",270,55,56,0,0
"131530201132003",18,7,7,0,1
"131530201132004",33,1,12,0,0
"131530201132005",11,16,13,2,0
"131530201132006",31,11,11,0,0
"131530201132007",23,36,10,0,0
"131530201132008",62,13,16,0,0
"131530201132009",40,11,24,0,0
"131530201132010",58,12,15,0,2
"131530201132011",58,13,3,6,0
"131530201132012",74,18,1,7,0
"131530201132013",41,23,12,0,0
"131530201133000",0,0,0,0,0
"131530201133001",0,0,0,0,0
"131530201133002",383,317,44,7,1
"131530201133003",0,22,3,6,0
"131530201133004",1,27,7,0,0
"131530201133005",10,26,7,0,2
"131530201133006",0,0,0,0,0
"131530201133007",8,38,0,0,0
"131530201133008",7,36,0,0,0
"131530201133009",9,12,9,2,0
"131530201133010",3,28,2,2,0
"131530201133011",73,19,0,0,0
"131530201133012",30,42,7,0,0
"131530201133013",12,15,7,0,0
"131530201133014",52,7,10,1,0
"131530201133015",5,16,11,0,0
"131530201133016",91,16,7,0,0
"131530201133017",43,6,5,0,0
"131530201133018",11,0,1,0,0
"131530201133019",17,2,3,1,0
"131530201133020",20,22,3,0,0
"131530201133021",19,10,6,0,0
"131530202001000",17,16,5,1,1
"131530202001001",35,53,4,0,0
"131530202001002",23,46,1,1,0
"131530202001003",85,223,9,2,0
"131530202001004",33,56,5,0,0
"131530202001005",14,20,5,0,0
"131530202001006",22,8,0,0,0
"131530202001007",34,57,5,3,0
"131530202001008",17,18,3,0,0
"131530202001009",16,10,8,0,0
"131530202001010",27,13,1,0,0
"131530202001011",14,13,20,0,0
"131530202001012",24,29,1,1,0
"131530202001013",19,7,4,0,1
"131530202001014",25,4,0,0,0
"131530202001015",21,42,4,0,0
"131530202001016",20,3,2,0,0
"131530202001017",20,24,10,0,0
"131530202001018",24,13,1,0,0
"131530202001019",21,29,9,3,0
"131530202001020",11,23,6,1,0
"131530202001021",19,64,1,0,0
"131530202001022",15,23,3,6,0
"131530202001023",0,23,5,0,1
"131530202001024",38,2,0,1,0
"131530202001025",27,23,1,2,0
"131530202001026",9,18,0,0,3
"131530202001027",26,21,4,0,0
"131530202001028",18,4,4,1,0
"131530202001029",7,4,8,0,1
"131530202001030",8,14,3,0,0
"131530202002000",3,76,1,0,0
"131530202002001",28,26,1,0,0
"131530202002002",48,41,3,0,0
"131530202002003",0,0,1,0,0
"131530202002004",28,7,1,0,1
"131530202002005",6,9,0,0,0
"131530202002006",34,9,4,10,0
"131530202002007",29,2,1,1,0
"131530202002008",42,14,10,0,2
"131530202002009",20,28,6,0,0
"131530202002010",20,18,0,0,0
"131530202002011",17,27,0,0,0
"131530202002012",18,106,5,2,1
"131530202002013",4,34,1,0,0
"131530202002014",13,13,5,3,0
"131530202003000",6,3,1,1,0
"131530202003001",103,124,44,0,0
"131530202003002",179,241,41,17,6
"131530202003003",13,21,12,7,0
"131530202003004",12,24,1,2,0
"131530202003005",40,36,1,2,0
"131530202003006",40,43,2,0,0
"131530202003007",27,4,10,0,0
"131530202003008",20,27,4,0,0
"131530202003009",52,81,4,0,0
"131530202003010",18,58,2,1,0
"131530202003011",5,22,2,2,0
"131530202003012",29,21,5,9,0
"131530202004000",19,45,7,0,0
"131530202004001",1,0,3,3,0
"131530202004002",7,2,0,0,0
"131530202004003",0,0,0,0,0
"131530202004004",25,6,3,3,0
"131530202004005",5,20,6,0,0
"131530202004006",20,11,3,0,0
"131530202004007",13,13,3,0,0
"131530202004008",19,30,0,2,0
"131530202004009",2,1,7,0,0
"131530202004010",87,85,4,0,0
"131530202004011",19,11,5,1,0
"131530202004012",18,0,3,4,0
"131530202004013",21,25,3,0,0
"131530202004014",18,12,1,0,0
"131530202004015",22,3,0,0,0
"131530202004016",76,45,7,13,0
"131530202004017",18,4,0,3,0
"131530202004018",35,9,2,0,0
"131530202004019",14,24,31,0,0
"131530202004020",15,0,0,0,0
"131530202004021",24,21,4,0,0
"131530202004022",0,0,0,0,0
"131530202004023",12,6,2,0,0
"131530202004024",0,0,0,0,0
"131530202004025",2,8,4,0,0
"131530202004026",0,0,0,0,0
"131530202004027",0,0,0,0,0
"131530202004028",0,0,0,0,0
"131530202004029",0,0,0,0,0
"131530202004030",0,0,0,0,0
"131530202004031",0,0,0,0,0
"131530202004032",0,0,0,0,0
"131530202004033",5,0,1,0,0
"131530202004034",18,2,1,0,0
"131530202004035",11,5,2,0,0
"131530202004036",7,3,10,0,0
"131530202004037",12,2,5,0,0
"131530202004038",15,0,1,0,0
"131530202004039",11,8,3,0,0
"131530202004040",19,10,6,0,0
"131530202004041",7,9,2,7,0
"131530202004042",0,0,0,0,0
"131530203011000",0,0,0,0,0
"131530203011001",0,0,0,0,0
"131530203011002",0,0,0,0,0
"131530203011003",0,0,4,0,0
"131530203011004",0,0,0,0,0
"131530203011005",0,0,0,0,0
"131530203011006",0,2,3,0,0
"131530203011007",1,2,2,0,0
"131530203011008",0,2,0,0,0
"131530203011009",2,11,3,3,0
"131530203011010",4,1,3,0,0
"131530203011011",22,186,8,1,0
"131530203011012",0,0,6,0,0
"131530203011013",4,6,6,0,0
"131530203011014",9,29,5,0,2
"131530203011015",6,4,2,0,0
"131530203011016",8,8,2,0,1
"131530203011017",0,0,0,0,0
"131530203012000",30,296,8,0,0
"131530203013000",0,0,0,0,0
"131530203013001",0,0,0,0,0
"131530203013002",0,0,0,0,0
"131530203013003",0,0,0,0,0
"131530203013004",0,0,0,0,0
"131530203013005",0,0,0,0,0
"131530203013006",2,0,1,0,0
"131530203013007",5,23,3,4,0
"131530203013008",0,0,0,0,0
"131530203013009",12,11,7,0,0
"131530203013010",0,0,0,0,0
"131530203013011",0,19,0,0,0
"131530203013012",0,1,4,0,0
"131530203013013",0,1,1,0,2
"131530203013014",0,0,0,0,0
"131530203013015",2,147,14,3,0
"131530203013016",25,158,9,2,0
"131530203013017",0,4,0,0,0
"131530203013018",2,27,0,0,0
"131530203013019",0,0,0,0,0
"131530203013020",3,4,6,0,0
"131530203013021",10,111,0,0,0
"131530203013022",3,22,0,2,0
"131530203013023",10,124,2,0,1
"131530203013024",2,41,0,0,1
"131530203013025",5,4,1,0,0
"131530203013026",0,0,1,0,0
"131530203013027",0,34,1,0,0
"131530203021000",48,256,4,2,0
"131530203021001",7,150,28,10,0
"131530203021002",18,119,3,4,1
"131530203021003",15,41,2,0,0
"131530203021004",16,61,8,0,0
"131530203021005",14,80,6,0,0
"131530203021006",4,43,7,4,0
"131530203021007",7,38,6,2,0
"131530203021008",5,32,2,0,0
"131530203021009",11,67,4,0,0
"131530203021010",8,62,5,2,2
"131530203021011",7,5,0,0,0
"131530203022000",0,0,0,0,0
"131530203022001",11,36,7,0,0
"131530203022002",10,0,1,0,0
"131530203022003",11,46,3,0,0
"131530203022004",25,61,12,0,0
"131530203022005",9,15,0,0,0
"131530203022006",43,113,27,0,0
"131530203022007",4,17,12,0,0
"131530203022008",12,19,0,1,1
"131530203022009",8,97,14,0,0
"131530203022010",7,25,3,0,0
"131530203022011",10,12,10,0,0
"131530203022012",9,53,10,0,0
"131530203022013",9,32,2,1,0
"131530203022014",21,46,7,0,0
"131530203022015",11,60,4,0,0
"131530203022016",2,30,4,0,0
"131530203022017",2,38,3,1,0
"131530203022018",8,13,1,0,1
"131530203022019",9,46,11,0,0
"131530203022020",52,106,9,0,0
"131530203022021",11,20,5,0,0
"131530203022022",0,0,0,0,0
"131530203022023",38,50,10,0,0
"131530203022024",19,41,7,0,0
"131530203023000",0,0,0,0,0
"131530203023001",6,53,2,1,1
"131530203023002",5,55,0,0,0
"131530203023003",10,19,5,0,0
"131530203023004",26,26,7,0,2
"131530203023005",11,99,12,0,0
"131530203023006",6,60,1,0,0
"131530203023007",9,14,18,0,0
"131530203023008",4,33,1,0,0
"131530203023009",12,32,16,0,0
"131530203023010",12,50,10,3,0
"131530203023011",1,37,8,0,0
"131530203023012",16,54,4,0,0
"131530203024000",5,41,5,0,0
"131530203024001",15,59,7,0,0
"131530203024002",10,40,4,0,0
"131530203024003",3,27,3,0,0
"131530203024004",4,55,8,0,0
"131530203024005",7,57,4,3,0
"131530203024006",17,96,9,2,0
"131530203024007",11,40,8,3,1
"131530203024008",13,54,7,5,0
"131530203024009",7,54,0,1,0
"131530203024010",14,72,7,0,0
"131530203024011",10,72,10,0,0
"131530203024012",10,36,0,0,0
"131530203024013",0,0,0,0,0
"131530203024014",5,21,1,0,0
"131530203024015",29,59,1,3,0
"131530203024016",11,45,9,0,0
"131530203024017",11,33,9,0,1
"131530203024018",8,23,8,0,0
"131530204001000",16,20,5,0,0
"131530204001001",13,13,6,0,0
"131530204001002",9,49,16,0,0
"131530204001003",22,44,12,1,0
"131530204001004",12,15,0,3,0
"131530204001005",16,37,4,0,0
"131530204001006",25,46,9,0,0
"131530204001007",0,2,0,0,0
"131530204001008",22,27,15,0,0
"131530204001009",37,30,1,0,0
"131530204001010",31,48,8,0,0
"131530204001011",1,5,2,0,0
"131530204001012",0,0,0,0,0
"131530204001013",0,0,0,0,0
"131530204001014",0,0,0,0,0
"131530204001015",4,4,1,1,0
"131530204001016",1,22,6,0,0
"131530204001017",2,7,0,0,0
"131530204001018",0,0,0,0,0
"131530204001019",0,0,0,0,0
"131530204001020",4,6,0,0,0
"131530204001021",0,0,0,0,0
"131530204001022",19,10,5,0,0
"131530204001023",0,2,4,0,0
"131530204001024",0,0,0,0,0
"131530204001025",0,0,0,0,0
"131530204001026",0,0,0,0,0
"131530204001027",13,1,24,0,0
"131530204001028",16,3,2,0,0
"131530204001029",10,6,0,0,0
"131530204001030",0,6,0,0,0
"131530204001031",0,6,3,0,0
"131530204001032",0,0,0,0,0
"131530204001033",1,5,9,0,0
"131530204001034",0,5,4,0,0
"131530204001035",0,0,0,0,0
"131530204001036",0,0,0,0,0
"131530204001037",1,7,0,0,0
"131530204001038",0,0,0,0,0
"131530204001039",7,3,1,0,0
"131530204001040",2,13,0,1,0
"131530204001041",0,0,0,0,0
"131530204001042",0,0,0,0,0
"131530204001043",0,0,0,0,0
"131530204001044",0,0,0,0,0
"131530204001045",11,24,2,0,0
"131530204001046",11,8,1,1,0
"131530204001047",0,11,3,0,0
"131530204001048",5,12,2,0,0
"131530204001049",0,0,0,0,0
"131530204001050",14,14,11,0,0
"131530204001051",31,69,7,0,0
"131530204001052",38,44,13,0,0
"131530204001053",0,0,0,0,0
"131530204001054",0,0,0,0,0
"131530204001055",18,5,1,1,0
"131530204001056",18,37,13,2,0
"131530204001057",8,11,2,0,0
"131530204001058",16,40,4,1,0
"131530204001059",42,28,10,0,0
"131530204002000",0,0,0,0,0
"131530204002001",0,0,0,0,0
"131530204002002",0,0,0,0,0
"131530204002003",0,0,0,0,0
"131530204002004",12,57,9,1,0
"131530204002005",3,71,2,1,0
"131530204002006",0,0,0,0,0
"131530204002007",1,77,4,0,0
"131530204002008",3,34,0,0,0
"131530204002009",4,56,4,0,0
"131530204002010",0,24,3,0,0
"131530204002011",0,24,3,0,0
"131530204002012",5,27,2,0,0
"131530204002013",0,2,5,0,0
"131530204002014",1,7,3,0,0
"131530204002015",1,13,0,0,0
"131530204002016",1,32,2,0,0
"131530204002017",6,17,15,1,0
"131530204002018",0,0,0,0,0
"131530204002019",0,0,0,0,0
"131530204002020",0,0,0,0,0
"131530204002021",0,0,0,0,0
"131530204002022",2,2,3,0,0
"131530204002023",12,2,0,0,0
"131530204002024",21,32,7,0,0
"131530204002025",13,6,7,0,1
"131530204002026",1,12,0,0,0
"131530204002027",3,19,6,0,0
"131530204002028",18,3,10,0,0
"131530204002029",0,0,0,0,0
"131530204002030",0,0,0,0,0
"131530204002031",9,10,1,0,0
"131530204002032",5,4,1,0,0
"131530204002033",6,8,3,0,0
"131530204002034",0,0,0,0,0
"131530204002035",2,34,5,0,0
"131530204003000",29,29,1,0,0
"131530204003001",7,119,32,0,1
"131530204003002",3,26,4,0,0
"131530204003003",5,55,11,0,0
"131530204003004",6,91,6,0,0
"131530204003005",6,74,9,0,0
"131530204003006",22,28,1,0,0
"131530204003007",5,63,0,0,0
"131530204003008",8,43,8,0,0
"131530204003009",1,40,4,0,0
"131530204003010",4,54,4,0,0
"131530206001000",0,0,0,0,0
"131530206001001",0,0,0,0,0
"131530206001002",0,0,0,0,0
"131530206001003",35,13,0,0,0
"131530206001004",0,0,0,0,0
"131530206001005",78,36,18,4,0
"131530206001006",0,0,0,0,0
"131530206001007",26,1,6,0,0
"131530206001008",0,0,0,0,0
"131530206001009",0,0,0,0,0
"131530206001010",0,0,0,0,0
"131530206001011",0,0,0,0,0
"131530206001012",0,0,0,0,0
"131530206001013",0,0,0,0,0
"131530206001014",0,0,0,0,0
"131530206001015",0,0,0,0,0
"131530206001016",0,0,0,0,0
"131530206001017",0,0,0,0,0
"131530206001018",0,0,0,0,0
"131530206001019",0,0,0,0,0
"131530206001020",0,0,0,0,0
"131530206001021",0,0,0,0,0
"131530206001022",0,0,0,0,0
"131530206001023",0,0,0,0,0
"131530206001024",66,25,21,6,0
"131530206001025",0,0,0,0,0
"131530206001026",0,0,0,0,0
"131530206001027",0,0,0,0,0
"131530206001028",0,0,0,0,0
"131530206001029",0,0,0,0,0
"131530206001030",0,0,0,0,0
"131530206001031",0,0,0,0,0
"131530206001032",0,0,0,0,0
"131530206001033",0,0,0,0,0
"131530206001034",0,0,0,0,0
"131530206001035",0,0,0,0,0
"131530206001036",0,0,0,0,0
"131530206001037",0,0,0,0,0
"131530206001038",0,0,0,0,0
"131530206001039",0,0,0,0,0
"131530206001040",0,0,0,0,0
"131530206001041",2,8,7,0,0
"131530206001042",0,0,0,0,0
"131530206001043",0,0,0,0,0
"131530206001044",0,0,0,0,0
"131530206001045",83,45,35,5,6
"131530206001046",0,0,0,0,0
"131530206001047",0,0,0,0,0
"131530206001048",0,0,0,0,0
"131530206001049",0,0,0,0,0
"131530206001050",0,0,0,0,0
"131530206001051",0,0,0,0,0
"131530206001052",22,4,3,0,0
"131530206001053",0,0,0,0,0
"131530206001054",0,0,0,0,0
"131530206001055",5,0,4,3,0
"131530206001056",17,7,9,2,0
"131530206001057",28,3,7,0,0
"131530206001058",5,4,9,0,0
"131530206001059",0,0,0,0,0
"131530206001060",0,0,0,0,0
"131530206001061",0,0,0,0,0
"131530206001062",0,0,0,0,0
"131530206001063",0,0,0,0,0
"131530206001064",0,0,0,0,0
"131530206001065",19,4,5,0,0
"131530206001066",33,8,5,0,0
"131530206001067",59,27,1,0,0
"131530206001068",0,0,0,0,0
"131530206001069",0,0,0,0,0
"131530206001070",7,6,2,0,0
"131530206001071",0,7,1,0,0
"131530206001072",0,0,0,0,0
"131530206001073",0,0,0,0,0
"131530206001074",14,9,4,0,0
"131530206001075",0,0,0,0,0
"131530206001076",0,0,0,0,0
"131530206001077",0,0,0,0,0
"131530206001078",21,5,9,0,0
"131530206002000",0,0,0,0,0
"131530206002001",0,0,0,0,0
"131530206002002",0,0,0,0,0
"131530206002003",0,0,0,0,0
"131530206002004",0,0,0,0,0
"131530206002005",0,0,0,0,0
"131530206002006",0,0,0,0,0
"131530206002007",0,0,0,0,0
"131530206002008",0,0,0,0,0
"131530206002009",0,0,0,0,0
"131530206002010",0,0,0,0,0
"131530206002011",0,0,0,0,0
"131530206002012",0,0,0,0,0
"131530206002013",0,0,0,0,0
"131530206002014",0,0,0,0,0
"131530206002015",0,0,0,0,0
