"state","chamber","member","party","x","instagram","bluesky"
"NC","House","Adams, Alma","D","31.1K","13,186","12,402"
"NC","House","Davis, Donald","D","6,150","4,599","—"
"NC","House","Edwards, Charles (Chuck)","R","handle wrong","3,768","—"
"NC","House","Foushee, Valerie","D","6,263","5,545","11,258"
"NC","House","Foxx, Virginia","R","52.3K","10,550","—"
"NC","House","Harrigan, Pat","R","21.6K","6,758","—"
"NC","House","Harris, Mark","R","25.5K","2,177","—"
"NC","House","Hudson, Richard","R","32.5K","no handle","—"
"NC","House","Knott, Brad","R","5,152","2,458","—"
"NC","House","McDowell, Addison","R","6,305","1,186","—"
"NC","House","Moore, Tim","R","33.1K","10,005","—"
"NC","House","Murphy, Gregory","R","32K","3,300","—"
"NC","House","Ross, Deborah","D","13.9K","25,217","14,708"
"NC","House","Rouzer, David","R","21.3K","4,636","—"
"ND","Senate","Cramer, Kevin","R","53.4K","handle wrong","—"
"ND","Senate","Hoeven, John","R","120.6K","11,059","—"
"ND","House","Fedorchak, Julie","R","4,956","3,087","—"
"NE","Senate","Fischer, Deb","R","111.6K","7,064","—"
"NE","Senate","Ricketts, Pete","R","12.2K","4,220","—"
"NE","House","Bacon, Don","R","95.7K","8,770","—"
"NE","House","Flood, Mike","R","14.4K","no handle","—"
"NE","House","Smith, Adrian","R","21.6K","1,677","—"
"NH","Senate","Hassan, Margaret","D","148.6K","25,985","11,439"
"NH","Senate","Shaheen, Jeanne","D","130.4K","18,263","13,619"
"NH","House","Goodlander, Maggie","D","7,700","31,796","8,297"
"NH","House","Pappas, Chris","D","17.9K","no handle","—"
"NJ","Senate","Booker, Cory","D","225.8K","2,893,659","247,927"
"NJ","Senate","Kim, Andy","D","no handle","183,355","34,596"
"NJ","House","Conaway, Herbert","D","1,756","no handle","—"
"NJ","House","Gottheimer, Josh","D","35.1K","11,121","—"
"NJ","House","Kean, Thomas","R","9,993","3,918","—"
"NJ","House","McIver, LaMonica","D","13.4K","31,368","—"
"NJ","House","Mejia, Analilia","D","no handle","no handle","—"
"NJ","House","Menendez, Robert","D","8,992","19,645","26,514"
"NJ","House","Norcross, Donald","D","13.9K","handle wrong","30,435"
"NJ","House","Pallone, Frank","D","60.5K","8,416","862"
"NJ","House","Pou, Nellie","D","1,101","17,059","—"
"NJ","House","Smith, Christopher","R","no handle","8,850","—"
"NJ","House","Van Drew, Jefferson","R","32.8K","11,209","—"
"NJ","House","Watson Coleman, Bonnie","D","47.4K","52,189","—"
"NM","Senate","Heinrich, Martin","D","13.1K","68,090","52,795"
"NM","Senate","Luján, Ben","D","49.1K","58,821","17,517"
"NM","House","Leger Fernandez, Teresa","D","24.5K","57,955","—"
"NM","House","Stansbury, Melanie","D","115.4K","no handle","—"
"NM","House","Vasquez, Gabriel (Gabe)","D","9,142","13,534","—"
"NV","Senate","Cortez Masto, Catherine","D","77.7K","30,786","4,954"
"NV","Senate","Rosen, Jacky","D","59.6K","handle wrong","8,695"
"NV","House","Amodei, Mark","R","18.8K","3,234","—"
"NV","House","Horsford, Steven","D","29.2K","48,114","—"
"NV","House","Lee, Susie","D","37.6K","8,189","7,770"
"NV","House","Titus, Dina","D","52.7K","10,629","4,363"
"NY","Senate","Gillibrand, Kirsten","D","36.4K","27,308","—"
"NY","Senate","Schumer, Charles","D","3.6M","464,359","103,943"
"NY","House","Clarke, Yvette","D","76K","handle wrong","—"
"NY","House","Espaillat, Adriano","D","39.2K","handle wrong","—"
"NY","House","Garbarino, Andrew","R","14K","no handle","—"
"NY","House","Gillen, Laura","D","5,576","2,477","—"
"NY","House","Goldman, Dan","D","100.7K","116,570","—"
"NY","House","Jeffries, Hakeem","D","1M","828,264","—"
"NY","House","Kennedy, Timothy","D","13.4K","4,713","—"
"NY","House","LaLota, Nicolas","R","11.5K","4,705","—"
"NY","House","Langworthy, Nicholas","R","12.4K","3,925","—"
"NY","House","Latimer, George","D","2,158","3,751","—"
"NY","House","Lawler, Michael","R","39.2K","15,664","—"
"NY","House","Malliotakis, Nicole","R","handle wrong","no handle","—"
"NY","House","Mannion, John","D","3,764","3,750","—"
"NY","House","Meeks, Gregory","D","55.9K","10,444","20,244"
"NY","House","Meng, Grace","D","49K","no handle","10,577"
"NY","House","Morelle, Joseph","D","16.7K","no handle","2,295"
"NY","House","Nadler, Jerrold","D","407.6K","no handle","24,381"
