"district","state","cd","dem_share","pres_party","house_rep","house_rep_party","baseline","actual","as_expected"
"CA-21","CA",21,51.94,"democrat","Jim Costa","democrat","democrat","democrat",TRUE
"CA-22","CA",22,47.01,"republican","David G. Valadao","republican","republican","republican",TRUE
"CA-23","CA",23,41.34,"republican","Jay Obernolte","republican","republican","republican",TRUE
"CA-24","CA",24,62.92,"democrat","Salud O. Carbajal","democrat","democrat","democrat",TRUE
"CA-25","CA",25,51.27,"democrat","Raul Ruiz","democrat","democrat","democrat",TRUE
"CA-26","CA",26,56.77,"democrat","Julia Brownley","democrat","democrat","democrat",TRUE
"CA-27","CA",27,52,"democrat","George Whitesides","democrat","democrat","democrat",TRUE
"CA-28","CA",28,63.93,"democrat","Judy Chu","democrat","democrat","democrat",TRUE
"CA-29","CA",29,67.96,"democrat","Luz Maria Rivas","democrat","democrat","democrat",TRUE
"CA-30","CA",30,71.26,"democrat","Laura Friedman","democrat","democrat","democrat",TRUE
"CA-31","CA",31,58.72,"democrat","Gil Cisneros","democrat","democrat","democrat",TRUE
"CA-32","CA",32,66.15,"democrat","Brad Sherman","democrat","democrat","democrat",TRUE
"CA-33","CA",33,54.5,"democrat","Pete Aguilar","democrat","democrat","democrat",TRUE
"CA-34","CA",34,76.52,"democrat","Jimmy Gomez","democrat","democrat","democrat",TRUE
"CA-35","CA",35,55.3,"democrat","Norma J. Torres","democrat","democrat","democrat",TRUE
"CA-36","CA",36,70.22,"democrat","Ted Lieu","democrat","democrat","democrat",TRUE
"CA-37","CA",37,81.15,"democrat","Sydney Kamlager-Dove","democrat","democrat","democrat",TRUE
"CA-38","CA",38,58.3,"democrat","Linda T. Sánchez","democrat","democrat","democrat",TRUE
"CA-39","CA",39,55,"democrat","Mark Takano","democrat","democrat","democrat",TRUE
"CA-40","CA",40,48.8,"republican","Young Kim","republican","republican","republican",TRUE
"CA-41","CA",41,46.96,"republican","Ken Calvert","republican","republican","republican",TRUE
"CA-42","CA",42,66.8,"democrat","Robert Garcia","democrat","democrat","democrat",TRUE
"CA-43","CA",43,75.3,"democrat","Maxine Waters","democrat","democrat","democrat",TRUE
"CA-44","CA",44,67.46,"democrat","Nanette Diaz Barragán","democrat","democrat","democrat",TRUE
"CA-45","CA",45,50.79,"democrat","Derek Tran","democrat","democrat","democrat",TRUE
"CA-46","CA",46,59.14,"democrat","J. Luis Correa","democrat","democrat","democrat",TRUE
"CA-47","CA",47,52.16,"democrat","Dave Min","democrat","democrat","democrat",TRUE
"CA-48","CA",48,42.15,"republican","Darrell Issa","republican","republican","republican",TRUE
"CA-49","CA",49,53.99,"democrat","Mike Levin","democrat","democrat","democrat",TRUE
"CA-50","CA",50,65.29,"democrat","Scott H. Peters","democrat","democrat","democrat",TRUE
"CA-51","CA",51,62.12,"democrat","Sara Jacobs","democrat","democrat","democrat",TRUE
"CA-52","CA",52,60.88,"democrat","Juan Vargas","democrat","democrat","democrat",TRUE
"CO-01","CO",1,78.81,"democrat","Diana Degette","democrat","democrat","democrat",TRUE
"CO-02","CO",2,70.46,"democrat","Joe Neguse","democrat","democrat","democrat",TRUE
"CO-03","CO",3,45.01,"republican","Jeff Hurd","republican","republican","republican",TRUE
"CO-04","CO",4,40.64,"republican","Lauren Boebert","republican","republican","republican",TRUE
"CO-05","CO",5,45.33,"republican","Jeff Crank","republican","republican","republican",TRUE
"CO-06","CO",6,60.18,"democrat","Jason Crow","democrat","democrat","democrat",TRUE
"CO-07","CO",7,57.71,"democrat","Brittany Pettersen","democrat","democrat","democrat",TRUE
"CO-08","CO",8,49.06,"republican","Gabe Evans","republican","republican","republican",TRUE
"CT-01","CT",1,61.64,"democrat","John B. Larson","democrat","democrat","democrat",TRUE
"CT-02","CT",2,53.93,"democrat","Joe Courtney","democrat","democrat","democrat",TRUE
"CT-03","CT",3,57.17,"democrat","Rosa L. Delauro","democrat","democrat","democrat",TRUE
"CT-04","CT",4,61.87,"democrat","James A. Himes","democrat","democrat","democrat",TRUE
"CT-05","CT",5,52.84,"democrat","Jahana Hayes","democrat","democrat","democrat",TRUE
"DE-00","DE",0,57.48,"democrat","Sarah Mcbride","democrat","democrat","democrat",TRUE
"FL-01","FL",1,31.2,"republican","Matt Gaetz","republican","republican","republican",TRUE
"FL-02","FL",2,40.88,"republican","Neal P. Dunn","republican","republican","republican",TRUE
"FL-03","FL",3,39.34,"republican","Kat Cammack","republican","republican","republican",TRUE
"FL-04","FL",4,44.01,"republican","Aaron Bean","republican","republican","republican",TRUE
"FL-05","FL",5,39.16,"republican","John H. Rutherford","republican","republican","republican",TRUE
"FL-06","FL",6,34.84,"republican","Michael Waltz","republican","republican","republican",TRUE
"FL-07","FL",7,43.66,"republican","Cory Mills","republican","republican","republican",TRUE
"FL-08","FL",8,38.71,"republican","Mike Haridopolos","republican","republican","republican",TRUE
"FL-09","FL",9,51.78,"democrat","Darren Soto","democrat","democrat","democrat",TRUE
"FL-10","FL",10,61.51,"democrat","Maxwell Frost","democrat","democrat","democrat",TRUE
"FL-11","FL",11,41.79,"republican","Daniel Webster","republican","republican","republican",TRUE
"FL-12","FL",12,32.56,"republican","Gus M. Bilirakis","republican","republican","republican",TRUE
"FL-13","FL",13,44.01,"republican","Anna Paulina Luna","republican","republican","republican",TRUE
"FL-14","FL",14,53.88,"democrat","Kathy Castor","democrat","democrat","democrat",TRUE
"FL-15","FL",15,44.32,"republican","Laurel M. Lee","republican","republican","republican",TRUE
"FL-16","FL",16,42.16,"republican","Vern Buchanan","republican","republican","republican",TRUE
"FL-17","FL",17,37.95,"republican","W. Gregory Steube","republican","republican","republican",TRUE
"FL-18","FL",18,35.17,"republican","Scott Franklin","republican","republican","republican",TRUE
"FL-19","FL",19,35.31,"republican","Byron Donalds","republican","republican","republican",TRUE
"FL-20","FL",20,70.08,"democrat","Sheila Cherfilus-Mccormick","democrat","democrat","democrat",TRUE
"FL-21","FL",21,41.66,"republican","Brian J. Mast","republican","republican","republican",TRUE
"FL-22","FL",22,52.81,"democrat","Lois Frankel","democrat","democrat","democrat",TRUE
"FL-23","FL",23,50.95,"democrat","Jared Moskowitz","democrat","democrat","democrat",TRUE
"FL-24","FL",24,65.16,"democrat","Frederica S. Wilson","democrat","democrat","democrat",TRUE
"FL-25","FL",25,52.68,"democrat","Debbie Wasserman Schultz","democrat","democrat","democrat",TRUE
"FL-26","FL",26,32.4,"republican","Mario Diaz-Balart","republican","republican","republican",TRUE
"FL-27","FL",27,42.61,"republican","Maria Elvira Salazar","republican","republican","republican",TRUE
"FL-28","FL",28,37.2,"republican","Carlos A. Gimenez","republican","republican","republican",TRUE
"GA-01","GA",1,42.14,"republican","Earl L. \""Buddy\"" Carter","republican","republican","republican",TRUE
"GA-02","GA",2,53.75,"democrat","Sanford D. Bishop, Jr.","democrat","democrat","democrat",TRUE
"GA-03","GA",3,34.44,"republican","Brian Jack","republican","republican","republican",TRUE
"GA-04","GA",4,76.38,"democrat","Henry C. \""Hank\"" Johnson, Jr.","democrat","democrat","democrat",TRUE
"GA-05","GA",5,86.4,"democrat","Nikema Williams","democrat","democrat","democrat",TRUE
"GA-06","GA",6,75.18,"democrat","Lucy Mcbath","democrat","democrat","democrat",TRUE
"GA-07","GA",7,39.32,"republican","Richard Mccormick","republican","republican","republican",TRUE
"GA-08","GA",8,34.31,"republican","Austin Scott","republican","republican","republican",TRUE
"GA-09","GA",9,32.43,"republican","Andrew S. Clyde","republican","republican","republican",TRUE
"GA-10","GA",10,39.02,"republican","Mike Collins","republican","republican","republican",TRUE
"GA-11","GA",11,38.03,"republican","Barry Loudermilk","republican","republican","republican",TRUE
"GA-12","GA",12,42.95,"republican","Rick W. Allen","republican","republican","republican",TRUE
"GA-13","GA",13,71.39,"democrat","David Scott","democrat","democrat","democrat",TRUE
"GA-14","GA",14,31.22,"republican","Marjorie Taylor Greene","republican","republican","republican",TRUE
"HI-01","HI",1,62.58,"democrat","Ed Case","democrat","democrat","democrat",TRUE
"HI-02","HI",2,61.03,"democrat","Jill N. Tokuda","democrat","democrat","democrat",TRUE
"IA-01","IA",1,45.71,"republican","Mariannette Miller-Meeks","republican","republican","republican",TRUE
"IA-02","IA",2,44.94,"republican","Ashley Hinson","republican","republican","republican",TRUE
"IA-03","IA",3,47.77,"republican","Zachary Nunn","republican","republican","republican",TRUE
"IA-04","IA",4,34.05,"republican","Randy Feenstra","republican","republican","republican",TRUE
"ID-01","ID",1,26.9,"republican","Russ Fulcher","republican","republican","republican",TRUE
"ID-02","ID",2,36.22,"republican","Michael K. Simpson","republican","republican","republican",TRUE
"IL-01","IL",1,66.21,"democrat","Jonathan L. Jackson","democrat","democrat","democrat",TRUE
"IL-02","IL",2,66.8,"democrat","Robin L. Kelly","democrat","democrat","democrat",TRUE
"IL-03","IL",3,65.87,"democrat","Delia C. Ramirez","democrat","democrat","democrat",TRUE
"IL-04","IL",4,64.39,"democrat","Jesús G. \""Chuy\"" García","democrat","democrat","democrat",TRUE
"IL-05","IL",5,68.84,"democrat","Mike Quigley","democrat","democrat","democrat",TRUE
"IL-06","IL",6,52.81,"democrat","Sean Casten","democrat","democrat","democrat",TRUE
"IL-07","IL",7,83.12,"democrat","Danny K. Davis","democrat","democrat","democrat",TRUE
"IL-08","IL",8,53.53,"democrat","Raja Krishnamoorthi","democrat","democrat","democrat",TRUE
"IL-09","IL",9,68.47,"democrat","Janice D. Schakowsky","democrat","democrat","democrat",TRUE
"IL-10","IL",10,61.16,"democrat","Bradley Scott Schneider","democrat","democrat","democrat",TRUE
"IL-11","IL",11,55.78,"democrat","Bill Foster","democrat","democrat","democrat",TRUE
"IL-12","IL",12,27.93,"republican","Mike Bost","republican","republican","republican",TRUE
"IL-13","IL",13,55.41,"democrat","Nikki Budzinski","democrat","democrat","democrat",TRUE
"IL-14","IL",14,52.64,"democrat","Lauren Underwood","democrat","democrat","democrat",TRUE
"IL-15","IL",15,29.73,"republican","Mary E. Miller","republican","republican","republican",TRUE
"IL-16","IL",16,38.44,"republican","Darin Lahood","republican","republican","republican",TRUE
"IL-17","IL",17,52.45,"democrat","Eric Sorensen","democrat","democrat","democrat",TRUE
"IN-01","IN",1,50.17,"democrat","Frank J. Mrvan","democrat","democrat","democrat",TRUE
"IN-02","IN",2,36.54,"republican","Rudy Yakym Iii","republican","republican","republican",TRUE
"IN-03","IN",3,34.18,"republican","Marlin A. Stutzman","republican","republican","republican",TRUE
"IN-04","IN",4,35.12,"republican","James R. Baird","republican","republican","republican",TRUE
"IN-05","IN",5,41.44,"republican","Victoria Spartz","republican","republican","republican",TRUE
"IN-06","IN",6,33.45,"republican","Jefferson Shreve","republican","republican","republican",TRUE
"IN-07","IN",7,71.08,"democrat","André Carson","democrat","democrat","democrat",TRUE
"IN-08","IN",8,31.75,"republican","Mark Messmer","republican","republican","republican",TRUE
"IN-09","IN",9,34.81,"republican","Erin Houchin","republican","republican","republican",TRUE
"KS-01","KS",1,34.07,"republican","Tracey Mann","republican","republican","republican",TRUE
"KS-02","KS",2,39.97,"republican","Derek Schmidt","republican","republican","republican",TRUE
"KS-03","KS",3,52.09,"democrat","Sharice Davids","democrat","democrat","democrat",TRUE
"KS-04","KS",4,38.15,"republican","Ron Estes","republican","republican","republican",TRUE
"KY-01","KY",1,26.05,"republican","James Comer","republican","republican","republican",TRUE
"KY-02","KY",2,29.04,"republican","Brett Guthrie","republican","republican","republican",TRUE
"KY-03","KY",3,59.63,"democrat","Morgan Mcgarvey","democrat","democrat","democrat",TRUE
"KY-04","KY",4,31.92,"republican","Thomas Massie","republican","republican","republican",TRUE
"KY-05","KY",5,17.67,"republican","Harold Rogers","republican","republican","republican",TRUE
"KY-06","KY",6,42.34,"republican","Andy Barr","republican","republican","republican",TRUE
"LA-01","LA",1,30.56,"republican","Steve Scalise","republican","republican","republican",TRUE
"LA-02","LA",2,65.99,"democrat","Troy A. Carter","democrat","democrat","democrat",TRUE
"LA-03","LA",3,27.18,"republican","Clay Higgins","republican","republican","republican",TRUE
"LA-04","LA",4,23.51,"republican","Mike Johnson","republican","republican","republican",TRUE
"LA-05","LA",5,31.53,"republican","Julia Letlow","republican","republican","republican",TRUE
"LA-06","LA",6,57.54,"democrat","Cleo Fields","democrat","democrat","democrat",TRUE
"MA-01","MA",1,57.06,"democrat","Richard E. Neal","democrat","democrat","democrat",TRUE
"MA-02","MA",2,62.14,"democrat","James P. Mcgovern","democrat","democrat","democrat",TRUE
"MA-03","MA",3,59.67,"democrat","Lori Trahan","democrat","democrat","democrat",TRUE
"MA-04","MA",4,60.06,"democrat","Jake Auchincloss","democrat","democrat","democrat",TRUE
"MA-05","MA",5,73.18,"democrat","Katherine M. Clark","democrat","democrat","democrat",TRUE
"MA-06","MA",6,60.55,"democrat","Seth Moulton","democrat","democrat","democrat",TRUE
"MA-07","MA",7,82.61,"democrat","Ayanna Pressley","democrat","democrat","democrat",TRUE
"MA-08","MA",8,63.49,"democrat","Stephen F. Lynch","democrat","democrat","democrat",TRUE
"MA-09","MA",9,55.47,"democrat","William R. Keating","democrat","democrat","democrat",TRUE
"MD-01","MD",1,41.34,"republican","Andy Harris","republican","republican","republican",TRUE
"MD-02","MD",2,59.47,"democrat","John \""Johnny O\"" Olszewski, Jr.","democrat","democrat","democrat",TRUE
"MD-03","MD",3,62.24,"democrat","Sarah Elfreth","democrat","democrat","democrat",TRUE
"MD-04","MD",4,87.84,"democrat","Glenn Ivey","democrat","democrat","democrat",TRUE
"MD-05","MD",5,67.03,"democrat","Steny H. Hoyer","democrat","democrat","democrat",TRUE
"MD-06","MD",6,52.97,"democrat","April Mcclain Delaney","democrat","democrat","democrat",TRUE
"MD-07","MD",7,80.25,"democrat","Kweisi Mfume","democrat","democrat","democrat",TRUE
"MD-08","MD",8,79.03,"democrat","Jamie Raskin","democrat","democrat","democrat",TRUE
"ME-01","ME",1,61.16,"democrat","Chellie Pingree","democrat","democrat","democrat",TRUE
"MI-01","MI",1,39.22,"republican","Jack Bergman","republican","republican","republican",TRUE
"MI-02","MI",2,34.83,"republican","John R. Moolenaar","republican","republican","republican",TRUE
"MI-03","MI",3,54,"democrat","Hillary J. Scholten","democrat","democrat","democrat",TRUE
"MI-04","MI",4,47.11,"republican","Bill Huizenga","republican","republican","republican",TRUE
"MI-05","MI",5,36.23,"republican","Tim Walberg","republican","republican","republican",TRUE
"MI-06","MI",6,61.95,"democrat","Debbie Dingell","democrat","democrat","democrat",TRUE
"MI-07","MI",7,49.34,"republican","Tom Barrett","republican","republican","republican",TRUE
"MI-08","MI",8,48.99,"republican","Kristen Mcdonald Rivet","democrat","republican","democrat",FALSE
"MI-09","MI",9,33.62,"republican","Lisa C. Mcclain","republican","republican","republican",TRUE
"MI-10","MI",10,46.66,"republican","John James","republican","republican","republican",TRUE
"MI-11","MI",11,58.21,"democrat","Haley M. Stevens","democrat","democrat","democrat",TRUE
"MI-12","MI",12,69.74,"democrat","Rashida Tlaib","democrat","democrat","democrat",TRUE
"MI-13","MI",13,71.23,"democrat","Shri Thanedar","democrat","democrat","democrat",TRUE
"MN-01","MN",1,43.89,"republican","Brad Finstad","republican","republican","republican",TRUE
"MN-02","MN",2,52.97,"democrat","Angie Craig","democrat","democrat","democrat",TRUE
"MN-03","MN",3,60.86,"democrat","Kelly Morrison","democrat","democrat","democrat",TRUE
"MN-04","MN",4,68.24,"democrat","Betty Mccollum","democrat","democrat","democrat",TRUE
"MN-05","MN",5,81.77,"democrat","Ilhan Omar","democrat","democrat","democrat",TRUE
"MN-06","MN",6,39.97,"republican","Tom Emmer","republican","republican","republican",TRUE
"MN-07","MN",7,31.45,"republican","Michelle Fischbach","republican","republican","republican",TRUE
"MN-08","MN",8,42.74,"republican","Pete Stauber","republican","republican","republican",TRUE
"MO-01","MO",1,79.09,"democrat","Wesley Bell","democrat","democrat","democrat",TRUE
"MO-02","MO",2,45.98,"republican","Ann Wagner","republican","republican","republican",TRUE
"MO-03","MO",3,36.41,"republican","Bob Onder","republican","republican","republican",TRUE
"MO-04","MO",4,28.58,"republican","Mark Alford","republican","republican","republican",TRUE
"MO-05","MO",5,61.79,"democrat","Emanuel Cleaver","democrat","democrat","democrat",TRUE
"MO-06","MO",6,30.33,"republican","Sam Graves","republican","republican","republican",TRUE
"MO-07","MO",7,28.44,"republican","Eric Burlison","republican","republican","republican",TRUE
"MO-08","MO",8,22.74,"republican","Jason Smith","republican","republican","republican",TRUE
"MS-01","MS",1,31.24,"republican","Trent Kelly","republican","republican","republican",TRUE
"MS-02","MS",2,60.3,"democrat","Bennie G. Thompson","democrat","democrat","democrat",TRUE
"MS-03","MS",3,35.13,"republican","Michael Guest","republican","republican","republican",TRUE
"MS-04","MS",4,28.5,"republican","Mike Ezell","republican","republican","republican",TRUE
"MT-01","MT",1,44.04,"republican","Ryan K. Zinke","republican","republican","republican",TRUE
"MT-02","MT",2,34.74,"republican","Troy Downing","republican","republican","republican",TRUE
"NC-01","NC",1,48.44,"republican","Donald G. Davis","democrat","republican","democrat",FALSE
"NC-02","NC",2,67.47,"democrat","Deborah K. Ross","democrat","democrat","democrat",TRUE
"NC-03","NC",3,38.97,"republican","Gregory F. Murphy","republican","republican","republican",TRUE
"NC-04","NC",4,73.02,"democrat","Valerie P. Foushee","democrat","democrat","democrat",TRUE
"NC-05","NC",5,40.97,"republican","Virginia Foxx","republican","republican","republican",TRUE
"NC-06","NC",6,41.43,"republican","Addison Mcdowell","republican","republican","republican",TRUE
"NC-07","NC",7,43.02,"republican","David Rouzer","republican","republican","republican",TRUE
"NC-08","NC",8,40.09,"republican","Mark Harris","republican","republican","republican",TRUE
"NC-09","NC",9,42.04,"republican","Richard Hudson","republican","republican","republican",TRUE
"NC-10","NC",10,41.05,"republican","Pat Harrigan","republican","republican","republican",TRUE
"NC-11","NC",11,45.2,"republican","Chuck Edwards","republican","republican","republican",TRUE
"NC-12","NC",12,73.54,"democrat","Alma S. Adams","democrat","democrat","democrat",TRUE
"NC-13","NC",13,41.49,"republican","Brad Knott","republican","republican","republican",TRUE
"NC-14","NC",14,42.36,"republican","Tim Moore","republican","republican","republican",TRUE
"ND-00","ND",0,31.31,"republican","Julie Fedorchak","republican","republican","republican",TRUE
"NE-01","NE",1,43.38,"republican","Mike Flood","republican","republican","republican",TRUE
"NE-02","NE",2,52.34,"democrat","Don Bacon","republican","democrat","republican",FALSE
"NE-03","NE",3,22.78,"republican","Adrian Smith","republican","republican","republican",TRUE
"NH-01","NH",1,51.01,"democrat","Chris Pappas","democrat","democrat","democrat",TRUE
"NH-02","NH",2,51.82,"democrat","Maggie Goodlander","democrat","democrat","democrat",TRUE
"NJ-01","NJ",1,59.51,"democrat","Donald Norcross","democrat","democrat","democrat",TRUE
"NJ-02","NJ",2,43.63,"republican","Jefferson Van Drew","republican","republican","republican",TRUE
"NJ-03","NJ",3,54.25,"democrat","Herb Conaway","democrat","democrat","democrat",TRUE
"NJ-04","NJ",4,34.74,"republican","Christopher H. Smith","republican","republican","republican",TRUE
"NJ-05","NJ",5,50.77,"democrat","Josh Gottheimer","democrat","democrat","democrat",TRUE
"NJ-06","NJ",6,53.29,"democrat","Frank Pallone, Jr.","democrat","democrat","democrat",TRUE
"NJ-07","NJ",7,49.4,"republican","Thomas H. Kean, Jr.","republican","republican","republican",TRUE
"NJ-08","NJ",8,62.4,"democrat","Robert Menendez","democrat","democrat","democrat",TRUE
"NJ-09","NJ",9,49.41,"republican","Nellie Pou","democrat","republican","democrat",FALSE
"NJ-10","NJ",10,75.83,"democrat","Lamonica Mciver","democrat","democrat","democrat",TRUE
"NJ-11","NJ",11,54.45,"democrat","Mikie Sherrill","democrat","democrat","democrat",TRUE
"NJ-12","NJ",12,62.27,"democrat","Bonnie Watson Coleman","democrat","democrat","democrat",TRUE
"NM-01","NM",1,56.52,"democrat","Melanie A. Stansbury","democrat","democrat","democrat",TRUE
"NM-02","NM",2,49.03,"republican","Gabe Vasquez","democrat","republican","democrat",FALSE
"NM-03","NM",3,52.46,"democrat","Teresa Leger Fernandez","democrat","democrat","democrat",TRUE
"NV-01","NV",1,51.15,"democrat","Dina Titus","democrat","democrat","democrat",TRUE
"NV-02","NV",2,42.84,"republican","Mark E. Amodei","republican","republican","republican",TRUE
"NV-03","NV",3,49.62,"republican","Susie Lee","democrat","republican","democrat",FALSE
"NV-04","NV",4,51.44,"democrat","Steven Horsford","democrat","democrat","democrat",TRUE
"NY-01","NY",1,44.91,"republican","Nick Lalota","republican","republican","republican",TRUE
"NY-02","NY",2,42.96,"republican","Andrew R. Garbarino","republican","republican","republican",TRUE
"NY-03","NY",3,47.33,"republican","Thomas R. Suozzi","democrat","republican","democrat",FALSE
"NY-04","NY",4,50.38,"democrat","Laura A. Gillen","democrat","democrat","democrat",TRUE
"NY-05","NY",5,71.21,"democrat","Gregory W. Meeks","democrat","democrat","democrat",TRUE
"NY-06","NY",6,53.26,"democrat","Grace Meng","democrat","democrat","democrat",TRUE
"NY-07","NY",7,73.58,"democrat","Nydia M. Velázquez","democrat","democrat","democrat",TRUE
"NY-08","NY",8,72.45,"democrat","Hakeem S. Jeffries","democrat","democrat","democrat",TRUE
"NY-09","NY",9,70.64,"democrat","Yvette D. Clarke","democrat","democrat","democrat",TRUE
"NY-10","NY",10,81.03,"democrat","Daniel S. Goldman","democrat","democrat","democrat",TRUE
"NY-11","NY",11,37.59,"republican","Nicole Malliotakis","republican","republican","republican",TRUE
"NY-12","NY",12,82.45,"democrat","Jerrold Nadler","democrat","democrat","democrat",TRUE
"NY-13","NY",13,80.06,"democrat","Adriano Espaillat","democrat","democrat","democrat",TRUE
"NY-14","NY",14,66.15,"democrat","Alexandria Ocasio-Cortez","democrat","democrat","democrat",TRUE
"NY-15","NY",15,74.41,"democrat","Ritchie Torres","democrat","democrat","democrat",TRUE
"NY-16","NY",16,66.66,"democrat","George S. Latimer","democrat","democrat","democrat",TRUE
"NY-17","NY",17,50.28,"democrat","Michael Lawler","republican","democrat","republican",FALSE
"NY-18","NY",18,51.2,"democrat","Patrick Ryan","democrat","democrat","democrat",TRUE
"NY-19","NY",19,50.37,"democrat","Josh Riley","democrat","democrat","democrat",TRUE
"NY-20","NY",20,57.17,"democrat","Paul Tonko","democrat","democrat","democrat",TRUE
"NY-22","NY",22,53.85,"democrat","John W. Mannion","democrat","democrat","democrat",TRUE
"NY-23","NY",23,39.4,"republican","Nicholas A. Langworthy","republican","republican","republican",TRUE
"NY-24","NY",24,38.37,"republican","Claudia Tenney","republican","republican","republican",TRUE
"NY-25","NY",25,59.33,"democrat","Joseph D. Morelle","democrat","democrat","democrat",TRUE
"NY-26","NY",26,59.68,"democrat","Timothy M. Kennedy","democrat","democrat","democrat",TRUE
"OH-01","OH",1,53.2,"democrat","Greg Landsman","democrat","democrat","democrat",TRUE
"OH-02","OH",2,26.03,"republican","David J. Taylor","republican","republican","republican",TRUE
"OH-03","OH",3,70.33,"democrat","Joyce Beatty","democrat","democrat","democrat",TRUE
"OH-04","OH",4,31.46,"republican","Jim Jordan","republican","republican","republican",TRUE
"OH-05","OH",5,35.23,"republican","Robert E. Latta","republican","republican","republican",TRUE
"OH-06","OH",6,33.04,"republican","Michael A. Rulli","republican","republican","republican",TRUE
"OH-07","OH",7,44.63,"republican","Max L. Miller","republican","republican","republican",TRUE
"OH-08","OH",8,38.05,"republican","Warren Davidson","republican","republican","republican",TRUE
"OH-09","OH",9,46.61,"republican","Marcy Kaptur","democrat","republican","democrat",FALSE
"OH-10","OH",10,47.11,"republican","Michael R. Turner","republican","republican","republican",TRUE
"OH-11","OH",11,77.73,"democrat","Shontel M. Brown","democrat","democrat","democrat",TRUE
"OH-12","OH",12,33.49,"republican","Troy Balderson","republican","republican","republican",TRUE
"OH-13","OH",13,50.03,"democrat","Emilia Strong Sykes","democrat","democrat","democrat",TRUE
"OH-14","OH",14,40.96,"republican","David P. Joyce","republican","republican","republican",TRUE
"OH-15","OH",15,45.35,"republican","Mike Carey","republican","republican","republican",TRUE
"OK-01","OK",1,39,"republican","Kevin Hern","republican","republican","republican",TRUE
