"fips","county","state","y1960","y1964","y1968","y1972","y1976","y1980","y1984","y1988","y1992","y1996","y2000","y2004","y2008","y2012","y2016","y2020","y2024"
"01039","COVINGTON","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01041","CRENSHAW","AL","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"01043","CULLMAN","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01045","DALE","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01047","DALLAS","AL","R","R","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01049","DE KALB","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01051","ELMORE","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01053","ESCAMBIA","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01055","ETOWAH","AL","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"01057","FAYETTE","AL","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"01059","FRANKLIN","AL","R","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"01061","GENEVA","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01063","GREENE","AL","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01065","HALE","AL","D","R","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01067","HENRY","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01069","HOUSTON","AL","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"01071","JACKSON","AL","D","D","D","R","D","D","D","D","D","D","D","R","R","R","R","R","R"
"01073","JEFFERSON","AL","R","R","D","R","R","R","R","R","R","R","R","R","D","D","D","D","D"
"01075","LAMAR","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01077","LAUDERDALE","AL","D","D","D","R","D","D","R","R","D","R","R","R","R","R","R","R","R"
"01079","LAWRENCE","AL","D","R","D","R","D","D","D","D","D","D","D","R","R","R","R","R","R"
"01081","LEE","AL","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"01083","LIMESTONE","AL","D","D","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01085","LOWNDES","AL","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01087","MACON","AL","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01089","MADISON","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01091","MARENGO","AL","D","R","D","R","D","D","R","D","D","D","D","R","D","D","D","D","R"
"01093","MARION","AL","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"01095","MARSHALL","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01097","MOBILE","AL","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"01099","MONROE","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01101","MONTGOMERY","AL","R","R","D","R","R","R","R","R","R","D","D","D","D","D","D","D","D"
"01103","MORGAN","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01105","PERRY","AL","D","R","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01107","PICKENS","AL","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"01109","PIKE","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01111","RANDOLPH","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01113","RUSSELL","AL","D","R","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01115","ST CLAIR","AL","R","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01117","SHELBY","AL","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"01119","SUMTER","AL","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01121","TALLADEGA","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01123","TALLAPOOSA","AL","D","R","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"01125","TUSCALOOSA","AL","D","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"01127","WALKER","AL","D","R","D","R","D","D","R","D","D","D","R","R","R","R","R","R","R"
"01129","WASHINGTON","AL","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"01131","WILCOX","AL","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"01133","WINSTON","AL","R","R","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"04001","APACHE","AZ","R","D","R","R","D","R","D","D","D","D","D","D","D","D","D","D","D"
"04003","COCHISE","AZ","R","D","R","R","R","R","R","R","D","R","R","R","R","R","R","R","R"
"04005","COCONINO","AZ","R","R","R","R","R","R","R","R","D","D","D","D","D","D","D","D","D"
"04007","GILA","AZ","D","D","D","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"04009","GRAHAM","AZ","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"04011","GREENLEE","AZ","D","D","D","D","D","D","D","D","D","D","R","R","R","R","R","R","R"
"04013","MARICOPA","AZ","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","D","R"
"04015","MOHAVE","AZ","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"04017","NAVAJO","AZ","R","R","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"04019","PIMA","AZ","R","D","R","R","R","R","R","R","D","D","D","D","D","D","D","D","D"
"04021","PINAL","AZ","D","D","D","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"04023","SANTA CRUZ","AZ","D","D","R","R","R","R","R","R","D","D","D","D","D","D","D","D","D"
"04025","YAVAPAI","AZ","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"04027","YUMA","AZ","D","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"05001","ARKANSAS","AR","D","R","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05003","ASHLEY","AR","D","R","D","R","D","D","R","D","D","D","D","R","R","R","R","R","R"
"05005","BAXTER","AR","R","D","R","R","R","R","R","R","D","R","R","R","R","R","R","R","R"
"05007","BENTON","AR","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"05009","BOONE","AR","R","D","R","R","D","R","R","R","D","R","R","R","R","R","R","R","R"
"05011","BRADLEY","AR","D","D","D","R","D","D","R","D","D","D","D","D","R","R","R","R","R"
"05013","CALHOUN","AR","D","D","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05015","CARROLL","AR","R","R","R","R","D","R","R","R","D","R","R","R","R","R","R","R","R"
"05017","CHICOT","AR","D","D","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D"
"05019","CLARK","AR","D","D","D","R","D","D","D","D","D","D","D","D","R","R","R","R","R"
"05021","CLAY","AR","R","D","R","R","D","D","R","D","D","D","D","D","R","R","R","R","R"
"05023","CLEBURNE","AR","D","D","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05025","CLEVELAND","AR","D","D","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05027","COLUMBIA","AR","D","R","D","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05029","CONWAY","AR","D","D","D","R","D","D","R","D","D","D","R","R","R","R","R","R","R"
"05031","CRAIGHEAD","AR","R","D","R","R","D","R","R","R","D","D","D","R","R","R","R","R","R"
"05033","CRAWFORD","AR","R","D","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"05035","CRITTENDEN","AR","D","D","D","R","D","D","R","R","D","D","D","D","D","D","D","D","D"
"05037","CROSS","AR","D","D","D","R","D","D","R","R","D","D","D","R","R","R","R","R","R"
"05039","DALLAS","AR","D","D","D","R","D","D","R","D","D","D","D","R","R","R","R","R","R"
"05041","DESHA","AR","D","D","D","R","D","D","D","D","D","D","D","D","D","D","D","D","R"
"05043","DREW","AR","D","R","D","R","D","D","R","R","D","D","D","R","R","R","R","R","R"
"05045","FAULKNER","AR","D","D","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05047","FRANKLIN","AR","D","D","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05049","FULTON","AR","R","D","R","R","D","R","R","D","D","D","R","R","R","R","R","R","R"
"05051","GARLAND","AR","R","D","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05053","GRANT","AR","D","D","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05055","GREENE","AR","D","D","R","R","D","D","R","R","D","D","D","R","R","R","R","R","R"
"05057","HEMPSTEAD","AR","D","D","D","R","D","D","R","R","D","D","D","D","R","R","R","R","R"
"05059","HOT SPRING","AR","D","D","D","R","D","D","D","D","D","D","D","R","R","R","R","R","R"
"05061","HOWARD","AR","D","R","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05063","INDEPENDENCE","AR","R","D","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05065","IZARD","AR","D","D","D","R","D","D","R","R","D","D","D","R","R","R","R","R","R"
"05067","JACKSON","AR","D","D","D","R","D","D","D","D","D","D","D","D","R","R","R","R","R"
"05069","JEFFERSON","AR","D","D","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D"
"05071","JOHNSON","AR","D","D","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05073","LAFAYETTE","AR","D","D","D","R","D","D","R","D","D","D","D","R","R","R","R","R","R"
"05075","LAWRENCE","AR","D","D","R","R","D","D","R","R","D","D","D","D","R","R","R","R","R"
"05077","LEE","AR","D","D","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D"
"05079","LINCOLN","AR","D","D","D","R","D","D","D","D","D","D","D","D","R","R","R","R","R"
"05081","LITTLE RIVER","AR","D","D","D","R","D","D","R","D","D","D","D","D","R","R","R","R","R"
"05083","LOGAN","AR","D","D","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05085","LONOKE","AR","D","D","D","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05087","MADISON","AR","R","D","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05089","MARION","AR","R","D","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05091","MILLER","AR","D","D","D","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05093","MISSISSIPPI","AR","D","D","D","R","D","D","R","R","D","D","D","D","R","R","R","R","R"
"05095","MONROE","AR","D","D","D","R","D","D","R","D","D","D","D","D","R","R","R","R","R"
"05097","MONTGOMERY","AR","R","D","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05099","NEVADA","AR","D","D","D","R","D","D","R","D","D","D","D","R","R","R","R","R","R"
"05101","NEWTON","AR","R","D","R","R","D","R","R","R","D","R","R","R","R","R","R","R","R"
"05103","OUACHITA","AR","D","D","D","R","D","D","R","R","D","D","D","R","R","R","R","R","R"
"05105","PERRY","AR","D","D","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05107","PHILLIPS","AR","D","D","D","R","D","D","D","D","D","D","D","D","D","D","D","D","D"
"05109","PIKE","AR","R","D","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05111","POINSETT","AR","D","D","R","R","D","D","R","D","D","D","D","D","R","R","R","R","R"
"05113","POLK","AR","R","D","R","R","D","R","R","R","D","R","R","R","R","R","R","R","R"
"05115","POPE","AR","D","D","R","R","D","R","R","R","R","D","R","R","R","R","R","R","R"
"05117","PRAIRIE","AR","D","D","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05119","PULASKI","AR","D","D","D","R","D","D","R","R","D","D","D","D","D","D","D","D","D"
"05121","RANDOLPH","AR","R","D","D","R","D","D","R","D","D","D","D","D","R","R","R","R","R"
"05123","ST FRANCIS","AR","D","D","D","R","D","D","R","D","D","D","D","D","D","D","D","D","D"
"05125","SALINE","AR","D","D","D","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05127","SCOTT","AR","R","D","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05129","SEARCY","AR","R","R","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"05131","SEBASTIAN","AR","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"05133","SEVIER","AR","D","D","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05135","SHARP","AR","R","D","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05137","STONE","AR","R","D","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05139","UNION","AR","D","R","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05141","VAN BUREN","AR","D","D","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05143","WASHINGTON","AR","R","D","R","R","D","R","R","R","D","D","R","R","R","R","R","R","R"
"05145","WHITE","AR","D","D","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"05147","WOODRUFF","AR","D","D","D","R","D","D","D","D","D","D","D","D","D","D","R","R","R"
"05149","YELL","AR","D","D","R","R","D","D","R","R","D","D","R","R","R","R","R","R","R"
"06001","ALAMEDA","CA","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"06003","ALPINE","CA","R","R","R","R","R","R","R","R","R","R","R","D","D","D","D","D","D"
"06005","AMADOR","CA","D","D","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"06007","BUTTE","CA","R","D","R","R","R","R","R","R","D","R","R","R","D","R","R","D","R"
"06009","CALAVERAS","CA","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"06011","COLUSA","CA","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"06013","CONTRA COSTA","CA","D","D","D","R","R","R","R","D","D","D","D","D","D","D","D","D","D"
"06015","DEL NORTE","CA","D","D","R","R","D","R","R","R","D","R","R","R","R","R","R","R","R"
"06017","EL DORADO","CA","D","D","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"06019","FRESNO","CA","D","D","D","R","D","R","R","R","D","R","R","R","D","D","D","D","R"
"06021","GLENN","CA","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"06023","HUMBOLDT","CA","D","D","R","R","D","R","R","D","D","D","D","D","D","D","D","D","D"
"06025","IMPERIAL","CA","R","D","R","R","R","R","R","R","D","D","D","D","D","D","D","D","R"
"06027","INYO","CA","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","D","R"
"06029","KERN","CA","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"06031","KINGS","CA","D","D","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"06033","LAKE","CA","R","D","R","R","D","R","R","D","D","D","D","D","D","D","D","D","R"
"06035","LASSEN","CA","D","D","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"06037","LOS ANGELES","CA","D","D","R","R","D","R","R","D","D","D","D","D","D","D","D","D","D"
"06039","MADERA","CA","D","D","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"06041","MARIN","CA","R","D","R","R","R","R","D","D","D","D","D","D","D","D","D","D","D"
"06043","MARIPOSA","CA","R","D","R","R","D","R","R","R","D","R","R","R","R","R","R","R","R"
"06045","MENDOCINO","CA","D","D","R","R","D","R","R","D","D","D","D","D","D","D","D","D","D"
"06047","MERCED","CA","D","D","D","R","D","R","R","R","D","D","R","R","D","D","D","D","R"
"06049","MODOC","CA","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"06051","MONO","CA","R","R","R","R","R","R","R","R","R","R","R","D","D","D","D","D","D"
"06053","MONTEREY","CA","R","D","R","R","R","R","R","R","D","D","D","D","D","D","D","D","D"
"06055","NAPA","CA","R","D","D","R","R","R","R","R","D","D","D","D","D","D","D","D","D"
"06057","NEVADA","CA","R","D","R","R","R","R","R","R","R","R","R","R","D","R","D","D","D"
"06059","ORANGE","CA","R","R","R","R","R","R","R","R","R","R","R","R","R","R","D","D","D"
"06061","PLACER","CA","D","D","D","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"06063","PLUMAS","CA","D","D","D","D","D","R","R","R","D","R","R","R","R","R","R","R","R"
"06065","RIVERSIDE","CA","R","D","R","R","R","R","R","R","D","R","R","R","D","D","D","D","R"
"06067","SACRAMENTO","CA","D","D","D","R","D","R","R","R","D","D","D","D","D","D","D","D","D"
"06069","SAN BENITO","CA","R","D","R","R","R","R","R","R","D","D","D","D","D","D","D","D","D"
"06071","SAN BERNARDINO","CA","R","D","R","R","R","R","R","R","D","D","R","R","D","D","D","D","R"
"06073","SAN DIEGO","CA","R","R","R","R","R","R","R","R","D","R","R","R","D","D","D","D","D"
"06075","SAN FRANCISCO","CA","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"06077","SAN JOAQUIN","CA","R","D","R","R","R","R","R","R","D","D","R","R","D","D","D","D","R"
"06079","SAN LUIS OBISPO","CA","R","D","R","R","R","R","R","R","D","R","R","R","D","D","D","D","D"
"06081","SAN MATEO","CA","R","D","D","R","R","R","R","D","D","D","D","D","D","D","D","D","D"
"06083","SANTA BARBARA","CA","R","D","R","R","R","R","R","R","D","D","D","D","D","D","D","D","D"
"06085","SANTA CLARA","CA","R","D","D","R","R","R","R","D","D","D","D","D","D","D","D","D","D"
"06087","SANTA CRUZ","CA","R","D","R","R","D","R","D","D","D","D","D","D","D","D","D","D","D"
"06089","SHASTA","CA","D","D","D","D","D","R","R","R","R","R","R","R","R","R","R","R","R"
"06091","SIERRA","CA","D","D","D","D","D","R","R","R","R","R","R","R","R","R","R","R","R"
"06093","SISKIYOU","CA","D","D","R","R","R","R","R","R","D","R","R","R","R","R","R","R","R"
"06095","SOLANO","CA","D","D","D","R","D","R","R","D","D","D","D","D","D","D","D","D","D"
"06097","SONOMA","CA","R","D","R","R","R","R","R","D","D","D","D","D","D","D","D","D","D"
"06099","STANISLAUS","CA","D","D","D","R","D","R","R","R","D","D","R","R","D","D","D","D","R"
"06101","SUTTER","CA","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"06103","TEHAMA","CA","R","D","R","R","D","R","R","R","D","R","R","R","R","R","R","R","R"
"06105","TRINITY","CA","D","D","D","R","D","R","R","R","D","R","R","R","D","R","R","R","R"
"06107","TULARE","CA","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"06109","TUOLUMNE","CA","D","D","R","R","D","R","R","R","D","R","R","R","R","R","R","R","R"
"06111","VENTURA","CA","D","D","R","R","R","R","R","R","D","D","R","R","D","D","D","D","D"
"06113","YOLO","CA","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"06115","YUBA","CA","R","D","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"08001","ADAMS","CO","D","D","D","R","D","R","R","D","D","D","D","D","D","D","D","D","D"
"08003","ALAMOSA","CO","R","D","R","R","R","R","R","R","D","D","R","R","D","D","D","R","R"
"08005","ARAPAHOE","CO","R","D","R","R","R","R","R","R","R","R","R","R","D","D","D","D","D"
"08007","ARCHULETA","CO","D","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08009","BACA","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08011","BENT","CO","R","D","R","R","D","R","R","D","D","D","R","R","R","R","R","R","R"
"08013","BOULDER","CO","R","D","R","R","R","R","R","D","D","D","D","D","D","D","D","D","D"
"08015","CHAFFEE","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","D","R","D","D"
"08017","CHEYENNE","CO","R","D","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"08019","CLEAR CREEK","CO","R","D","R","R","R","R","R","R","D","D","R","D","D","D","D","D","D"
"08021","CONEJOS","CO","D","D","D","R","D","R","R","D","D","D","R","D","D","D","R","R","R"
"08023","COSTILLA","CO","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
"08025","CROWLEY","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08027","CUSTER","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08029","DELTA","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08031","DENVER","CO","D","D","D","R","D","R","D","D","D","D","D","D","D","D","D","D","D"
"08033","DOLORES","CO","R","D","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"08035","DOUGLAS","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08037","EAGLE","CO","R","D","R","R","R","R","R","R","D","D","R","D","D","D","D","D","D"
"08039","ELBERT","CO","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08041","EL PASO","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08043","FREMONT","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08045","GARFIELD","CO","R","D","R","R","R","R","R","R","D","R","R","R","R","R","R","D","D"
"08047","GILPIN","CO","R","D","R","R","D","R","R","D","D","D","D","D","D","D","D","D","D"
"08049","GRAND","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08051","GUNNISON","CO","R","D","R","R","R","R","R","R","D","D","R","D","D","D","D","D","D"
"08053","HINSDALE","CO","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08055","HUERFANO","CO","D","D","D","R","D","D","D","D","D","D","D","R","D","D","R","R","R"
"08057","JACKSON","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08059","JEFFERSON","CO","R","D","R","R","R","R","R","R","R","R","R","R","D","D","D","D","D"
"08061","KIOWA","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08063","KIT CARSON","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08065","LAKE","CO","D","D","D","R","R","R","R","D","D","D","D","D","D","D","D","D","D"
"08067","LA PLATA","CO","R","D","R","R","R","R","R","R","D","R","R","D","D","D","D","D","D"
"08069","LARIMER","CO","R","D","R","R","R","R","R","R","D","R","R","R","D","D","D","D","D"
"08071","LAS ANIMAS","CO","D","D","D","R","D","D","D","D","D","D","D","D","D","D","R","R","R"
"08073","LINCOLN","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08075","LOGAN","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08077","MESA","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08079","MINERAL","CO","D","D","D","R","R","R","R","R","D","D","R","R","R","R","R","R","R"
"08081","MOFFAT","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08083","MONTEZUMA","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08085","MONTROSE","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08087","MORGAN","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08089","OTERO","CO","R","D","R","R","R","R","R","R","D","D","R","R","R","R","R","R","R"
"08091","OURAY","CO","R","D","R","R","R","R","R","R","R","R","R","R","D","D","D","D","D"
"08093","PARK","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08095","PHILLIPS","CO","R","D","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"08097","PITKIN","CO","R","D","R","D","R","R","R","D","D","D","D","D","D","D","D","D","D"
"08099","PROWERS","CO","R","D","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"08101","PUEBLO","CO","D","D","D","R","D","D","D","D","D","D","D","D","D","D","R","D","R"
"08103","RIO BLANCO","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08105","RIO GRANDE","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08107","ROUTT","CO","R","D","R","R","R","R","R","R","D","D","R","D","D","D","D","D","D"
"08109","SAGUACHE","CO","D","D","R","R","R","R","R","D","D","D","D","D","D","D","D","D","D"
"08111","SAN JUAN","CO","D","D","R","R","R","R","R","R","D","R","R","D","D","D","D","D","D"
"08113","SAN MIGUEL","CO","D","D","R","R","D","R","R","D","D","D","D","D","D","D","D","D","D"
"08115","SEDGWICK","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08117","SUMMIT","CO","R","D","R","R","R","R","R","R","D","D","D","D","D","D","D","D","D"
"08119","TELLER","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08121","WASHINGTON","CO","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08123","WELD","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"08125","YUMA","CO","R","D","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"10001","KENT","DE","D","D","R","R","D","R","R","R","R","D","R","R","D","D","R","D","D"
"10003","NEW CASTLE","DE","D","D","R","R","D","R","R","R","D","D","D","D","D","D","D","D","D"
"10005","SUSSEX","DE","R","D","R","R","D","R","R","R","R","D","R","R","R","R","R","R","R"
"12001","ALACHUA","FL","R","D","D","R","D","D","R","R","D","D","D","D","D","D","D","D","D"
"12003","BAKER","FL","D","D","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
"12005","BAY","FL","D","R","R","R","D","R","R","R","R","R","R","R","R","R","R","R","R"
"12007","BRADFORD","FL","D","D","D","R","D","D","R","R","R","R","R","R","R","R","R","R","R"
