year,state,state_num,district,stcd,dem_votes,rep_votes,n_dem,n_rep,dv,uncontested,top_two,la_primary,runoff_mixed
2004,Indiana,14,3,1403,76232,171389,1,1,30.79,0,0,0,0
2004,Indiana,14,4,1404,77574,190445,1,1,28.94,0,0,0,0
2004,Indiana,14,5,1405,82637,228718,1,1,26.54,0,0,0,0
2004,Indiana,14,6,1406,85123,182529,1,1,31.8,0,0,0,0
2004,Indiana,14,7,1407,121303,97491,1,1,55.44,0,0,0,0
2004,Indiana,14,8,1408,121522,145576,1,1,45.5,0,0,0,0
2004,Indiana,14,9,1409,140772,142197,1,1,49.75,0,0,0,0
2004,Iowa,15,1,1501,125490,159993,1,1,43.96,0,0,0,0
2004,Iowa,15,2,1502,117405,176684,1,1,39.92,0,0,0,0
2004,Iowa,15,3,1503,168007,136099,1,1,55.25,0,0,0,0
2004,Iowa,15,4,1504,116121,181294,1,1,39.04,0,0,0,0
2004,Iowa,15,5,1505,97597,168583,1,1,36.67,0,0,0,0
2004,Kansas,16,1,1601,0,239776,0,1,,1,0,0,0
2004,Kansas,16,2,1602,121532,165325,1,1,42.37,0,0,0,0
2004,Kansas,16,3,1603,184050,145542,1,1,55.84,0,0,0,0
2004,Kansas,16,4,1604,81388,173151,1,1,31.97,0,0,0,0
2004,Kentucky,17,1,1701,85229,175972,1,1,32.63,0,0,0,0
2004,Kentucky,17,2,1702,87585,185394,1,1,32.08,0,0,0,0
2004,Kentucky,17,3,1703,124040,197736,1,1,38.55,0,0,0,0
2004,Kentucky,17,4,1704,129876,160982,1,1,44.65,0,0,0,0
2004,Kentucky,17,5,1705,0,177579,0,1,,1,0,0,0
2004,Kentucky,17,6,1706,175355,119716,1,1,59.43,0,0,0,0
2004,Louisiana,18,1,1801,54214,233683,4,2,18.83,0,0,1,0
2004,Louisiana,18,2,1802,173510,46097,1,1,79.01,0,0,1,0
2004,Louisiana,18,3,1803,57611,57042,1,1,50.25,0,0,1,0
2004,Louisiana,18,4,1804,0,0,0,0,,1,0,1,0
2004,Louisiana,18,5,1805,58591,179466,1,2,24.61,0,0,1,0
2004,Louisiana,18,6,1806,72763,189106,2,1,27.79,0,0,1,0
2004,Louisiana,18,7,1807,61493,75039,1,1,45.04,0,0,1,0
2004,Maine,19,1,1901,219077,147663,1,1,59.74,0,0,0,0
2004,Maine,19,2,1902,199303,135547,1,1,59.52,0,0,0,0
2004,Maryland,20,1,2001,77872,245149,1,1,24.11,0,0,0,0
2004,Maryland,20,2,2002,164751,75812,1,1,68.49,0,0,0,0
2004,Maryland,20,3,2003,182066,97008,1,1,65.24,0,0,0,0
2004,Maryland,20,4,2004,196809,52907,1,1,78.81,0,0,0,0
2004,Maryland,20,5,2005,204867,87189,1,1,70.15,0,0,0,0
2004,Maryland,20,6,2006,90108,206076,1,1,30.42,0,0,0,0
2004,Maryland,20,7,2007,179189,60102,1,1,74.88,0,0,0,0
2004,Maryland,20,8,2008,215129,71989,1,1,74.93,0,0,0,0
