"lines","pres_year","district","state_abb","cd","stcd","dem_pct","rep_pct","dpres"
"2012-2021",2008,"GA-13","GA",13,1013,67.1,32.3,67.51
"2012-2021",2008,"GA-14","GA",14,1014,27.8,71,28.14
"2012-2021",2008,"HI-01","HI",1,1101,70.3,28.3,71.3
"2012-2021",2008,"HI-02","HI",2,1102,73.4,24.9,74.67
"2012-2021",2008,"ID-01","ID",1,1201,35.1,62.5,35.96
"2012-2021",2008,"ID-02","ID",2,1202,37.1,60.5,38.01
"2012-2021",2008,"IL-01","IL",1,1301,80.8,18.5,81.37
"2012-2021",2008,"IL-02","IL",2,1302,81.1,18.2,81.67
"2012-2021",2008,"IL-03","IL",3,1303,58.3,40.4,59.07
"2012-2021",2008,"IL-04","IL",4,1304,80.5,18.2,81.56
"2012-2021",2008,"IL-05","IL",5,1305,69.9,28.8,70.82
"2012-2021",2008,"IL-06","IL",6,1306,51.3,47.3,52.03
"2012-2021",2008,"IL-07","IL",7,1307,89.4,9.9,90.03
"2012-2021",2008,"IL-08","IL",8,1308,61.5,37.1,62.37
"2012-2021",2008,"IL-09","IL",9,1309,68.6,30.3,69.36
"2012-2021",2008,"IL-10","IL",10,1310,63,35.9,63.7
"2012-2021",2008,"IL-11","IL",11,1311,61.3,37.5,62.04
"2012-2021",2008,"IL-12","IL",12,1312,54.7,43.6,55.65
"2012-2021",2008,"IL-13","IL",13,1313,54.6,43.6,55.6
"2012-2021",2008,"IL-14","IL",14,1314,50.7,48,51.37
"2012-2021",2008,"IL-15","IL",15,1315,42.8,55.4,43.58
"2012-2021",2008,"IL-16","IL",16,1316,50,48.2,50.92
"2012-2021",2008,"IL-17","IL",17,1317,60,38.5,60.91
"2012-2021",2008,"IL-18","IL",18,1318,44.1,54.4,44.77
"2012-2021",2008,"IN-01","IN",1,1401,63.3,35.8,63.87
"2012-2021",2008,"IN-02","IN",2,1402,49.6,49.3,50.15
"2012-2021",2008,"IN-03","IN",3,1403,43,56,43.43
"2012-2021",2008,"IN-04","IN",4,1404,44.6,54.2,45.14
"2012-2021",2008,"IN-05","IN",5,1405,46.6,52.6,46.98
"2012-2021",2008,"IN-06","IN",6,1406,43.6,55,44.22
"2012-2021",2008,"IN-07","IN",7,1407,66.3,32.8,66.9
"2012-2021",2008,"IN-08","IN",8,1408,48.1,50.6,48.73
"2012-2021",2008,"IN-09","IN",9,1409,46.2,52.7,46.71
"2012-2021",2008,"IA-01","IA",1,1501,58.5,40.4,59.15
"2012-2021",2008,"IA-02","IA",2,1502,57.1,41.6,57.85
"2012-2021",2008,"IA-03","IA",3,1503,52.4,46.3,53.09
"2012-2021",2008,"IA-04","IA",4,1504,48.5,50.2,49.14
"2012-2021",2008,"KS-01","KS",1,1601,31,67.2,31.57
"2012-2021",2008,"KS-02","KS",2,1602,45.3,52.8,46.18
"2012-2021",2008,"KS-03","KS",3,1603,48.8,49.9,49.44
"2012-2021",2008,"KS-04","KS",4,1604,39.5,58.6,40.27
"2012-2021",2008,"KY-01","KY",1,1701,36.9,61.6,37.46
"2012-2021",2008,"KY-02","KY",2,1702,37.2,61.5,37.69
"2012-2021",2008,"KY-03","KY",3,1703,56.2,42.8,56.77
"2012-2021",2008,"KY-04","KY",4,1704,37,61.5,37.56
"2012-2021",2008,"KY-05","KY",5,1705,31.6,66.6,32.18
"2012-2021",2008,"KY-06","KY",6,1706,44.8,53.7,45.48
"2012-2021",2008,"LA-01","LA",1,1801,25.3,72.7,25.82
"2012-2021",2008,"LA-02","LA",2,1802,73.4,25.4,74.29
"2012-2021",2008,"LA-03","LA",3,1803,34.1,64.2,34.69
"2012-2021",2008,"LA-04","LA",4,1804,39.9,58.9,40.38
"2012-2021",2008,"LA-05","LA",5,1805,36.7,62,37.18
"2012-2021",2008,"LA-06","LA",6,1806,30.9,67.5,31.4
"2012-2021",2008,"ME-01","ME",1,1901,60.7,37.5,61.81
"2012-2021",2008,"ME-02","ME",2,1902,54.6,43.4,55.71
"2012-2021",2008,"MD-01","MD",1,2001,38.4,59.6,39.18
"2012-2021",2008,"MD-02","MD",2,2002,60.6,37.5,61.77
"2012-2021",2008,"MD-03","MD",3,2003,60.1,38,61.26
"2012-2021",2008,"MD-04","MD",4,2004,77.3,21.8,78
"2012-2021",2008,"MD-05","MD",5,2005,65.1,33.6,65.96
"2012-2021",2008,"MD-06","MD",6,2006,56.3,42,57.27
"2012-2021",2008,"MD-07","MD",7,2007,76.2,22.4,77.28
"2012-2021",2008,"MD-08","MD",8,2008,62.8,35.6,63.82
"2012-2021",2008,"MA-01","MA",1,2101,64.1,33.7,65.54
"2012-2021",2008,"MA-02","MA",2,2102,60.4,37.5,61.7
"2012-2021",2008,"MA-03","MA",3,2103,58.8,39.4,59.88
"2012-2021",2008,"MA-04","MA",4,2104,60.4,37.9,61.44
"2012-2021",2008,"MA-05","MA",5,2105,66.2,32.1,67.34
"2012-2021",2008,"MA-06","MA",6,2106,56.9,41.4,57.88
"2012-2021",2008,"MA-07","MA",7,2107,81.9,16.7,83.06
"2012-2021",2008,"MA-08","MA",8,2108,57.9,40.5,58.84
"2012-2021",2008,"MA-09","MA",9,2109,57.8,40.6,58.74
"2012-2021",2008,"MI-01","MI",1,2201,49.7,48.4,50.66
"2012-2021",2008,"MI-02","MI",2,2202,48,50.3,48.83
"2012-2021",2008,"MI-03","MI",3,2203,49.7,48.6,50.56
"2012-2021",2008,"MI-04","MI",4,2204,49.6,48.6,50.51
"2012-2021",2008,"MI-05","MI",5,2205,63,35.3,64.09
"2012-2021",2008,"MI-06","MI",6,2206,53.1,45.2,54.02
"2012-2021",2008,"MI-07","MI",7,2207,50.8,47.4,51.73
"2012-2021",2008,"MI-08","MI",8,2208,52,46.4,52.85
"2012-2021",2008,"MI-09","MI",9,2209,58.1,40.1,59.16
"2012-2021",2008,"MI-10","MI",10,2210,48,50,48.98
"2012-2021",2008,"MI-11","MI",11,2211,50.2,48.3,50.96
"2012-2021",2008,"MI-12","MI",12,2212,66.9,31.4,68.06
"2012-2021",2008,"MI-13","MI",13,2213,84.8,14.2,85.66
"2012-2021",2008,"MI-14","MI",14,2214,82.2,17.1,82.78
"2012-2021",2008,"MN-01","MN",1,2301,50.8,46.7,52.1
"2012-2021",2008,"MN-02","MN",2,2302,50.5,47.6,51.48
"2012-2021",2008,"MN-03","MN",3,2303,51,47.4,51.83
"2012-2021",2008,"MN-04","MN",4,2304,62.6,35.5,63.81
"2012-2021",2008,"MN-05","MN",5,2305,73.4,24.5,74.97
"2012-2021",2008,"MN-06","MN",6,2306,43.2,54.7,44.13
"2012-2021",2008,"MN-07","MN",7,2307,47.1,50.4,48.31
"2012-2021",2008,"MN-08","MN",8,2308,53.1,44.5,54.41
"2012-2021",2008,"MS-01","MS",1,2401,36.6,62.4,36.97
"2012-2021",2008,"MS-02","MS",2,2402,64.2,35.2,64.59
"2012-2021",2008,"MS-03","MS",3,2403,38.4,60.8,38.71
"2012-2021",2008,"MS-04","MS",4,2404,31.1,67.9,31.41
"2012-2021",2008,"MO-01","MO",1,2501,80.3,18.6,81.19
"2012-2021",2008,"MO-02","MO",2,2502,46.4,52.6,46.87
"2012-2021",2008,"MO-03","MO",3,2503,42.8,55.8,43.41
"2012-2021",2008,"MO-04","MO",4,2504,41.9,56.5,42.58
"2012-2021",2008,"MO-05","MO",5,2505,62,36.8,62.75
"2012-2021",2008,"MO-06","MO",6,2506,43.1,55.3,43.8
"2012-2021",2008,"MO-07","MO",7,2507,35.3,63.1,35.87
"2012-2021",2008,"MO-08","MO",8,2508,38.3,60,38.96
"2012-2021",2008,"MT-AL","MT",1,2601,47.3,49.5,48.86
"2012-2021",2008,"NE-01","NE",1,2701,44.2,54.3,44.87
"2012-2021",2008,"NE-02","NE",2,2702,50,48.8,50.61
"2012-2021",2008,"NE-03","NE",3,2703,31.1,67.1,31.67
"2012-2021",2008,"NV-01","NV",1,2801,64.5,33,66.15
"2012-2021",2008,"NV-02","NV",2,2802,49.4,48.2,50.61
"2012-2021",2008,"NV-03","NV",3,2803,53.5,44.6,54.54
"2012-2021",2008,"NV-04","NV",4,2804,56.4,41.4,57.67
"2012-2021",2008,"NH-01","NH",1,2901,52.8,46.4,53.23
"2012-2021",2008,"NH-02","NH",2,2902,56,43.1,56.51
"2012-2021",2008,"NJ-01","NJ",1,3001,64.7,34.2,65.42
"2012-2021",2008,"NJ-02","NJ",2,3002,53.2,45.5,53.9
"2012-2021",2008,"NJ-03","NJ",3,3003,51.1,47.7,51.72
"2012-2021",2008,"NJ-04","NJ",4,3004,45.3,53.6,45.8
"2012-2021",2008,"NJ-05","NJ",5,3005,48.5,50.5,48.99
"2012-2021",2008,"NJ-06","NJ",6,3006,58.4,40.5,59.05
"2012-2021",2008,"NJ-07","NJ",7,3007,47.2,51.6,47.77
"2012-2021",2008,"NJ-08","NJ",8,3008,73.2,26,73.79
"2012-2021",2008,"NJ-09","NJ",9,3009,64,35.2,64.52
"2012-2021",2008,"NJ-10","NJ",10,3010,84.9,14.6,85.33
"2012-2021",2008,"NJ-11","NJ",11,3011,47,52.1,47.43
"2012-2021",2008,"NJ-12","NJ",12,3012,65.7,33.3,66.36
"2012-2021",2008,"NM-01","NM",1,3101,59.7,39,60.49
"2012-2021",2008,"NM-02","NM",2,3102,48.4,50.2,49.09
"2012-2021",2008,"NM-03","NM",3,3103,61.2,37.5,62.01
"2012-2021",2008,"NY-01","NY",1,3201,51,48,51.52
"2012-2021",2008,"NY-02","NY",2,3202,51,48,51.52
"2012-2021",2008,"NY-03","NY",3,3203,54,46,54
"2012-2021",2008,"NY-04","NY",4,3204,55,44,55.56
"2012-2021",2008,"NY-05","NY",5,3205,86,14,86
"2012-2021",2008,"NY-06","NY",6,3206,63,36,63.64
"2012-2021",2008,"NY-07","NY",7,3207,84,15,84.85
"2012-2021",2008,"NY-08","NY",8,3208,86,14,86
"2012-2021",2008,"NY-09","NY",9,3209,84,15,84.85
"2012-2021",2008,"NY-10","NY",10,3210,76,23,76.77
"2012-2021",2008,"NY-11","NY",11,3211,48,51,48.48
"2012-2021",2008,"NY-12","NY",12,3212,80,19,80.81
"2012-2021",2008,"NY-13","NY",13,3213,93,6,93.94
"2012-2021",2008,"NY-14","NY",14,3214,76,23,76.77
"2012-2021",2008,"NY-15","NY",15,3215,95,5,95
"2012-2021",2008,"NY-16","NY",16,3216,73,26,73.74
"2012-2021",2008,"NY-17","NY",17,3217,58,41,58.59
"2012-2021",2008,"NY-18","NY",18,3218,52,47,52.53
"2012-2021",2008,"NY-19","NY",19,3219,53,45,54.08
"2012-2021",2008,"NY-20","NY",20,3220,58,40,59.18
"2012-2021",2008,"NY-21","NY",21,3221,52,47,52.53
"2012-2021",2008,"NY-22","NY",22,3222,49,49,50
"2012-2021",2008,"NY-23","NY",23,3223,50,49,50.51
"2012-2021",2008,"NY-24","NY",24,3224,56,42,57.14
"2012-2021",2008,"NY-25","NY",25,3225,59,40,59.6
"2012-2021",2008,"NY-26","NY",26,3226,63,35,64.29
"2012-2021",2008,"NY-27","NY",27,3227,44,54,44.9
"2012-2021",2008,"NC-01","NC",1,3301,56.6,43.1,56.77
"2012-2021",2008,"NC-02","NC",2,3302,58.7,40.7,59.05
"2012-2021",2008,"NC-03","NC",3,3303,42.5,57,42.71
"2012-2021",2008,"NC-04","NC",4,3304,64.6,34.8,64.99
"2012-2021",2008,"NC-05","NC",5,3305,37.6,61.6,37.9
"2012-2021",2008,"NC-06","NC",6,3306,59.7,39.8,60
"2012-2021",2008,"NC-07","NC",7,3307,43.7,55.8,43.92
"2012-2021",2008,"NC-08","NC",8,3308,48,51.5,48.24
"2012-2021",2008,"NC-09","NC",9,3309,45.8,53.7,46.03
"2012-2021",2008,"NC-10","NC",10,3310,36.9,62.3,37.2
"2012-2021",2008,"NC-11","NC",11,3311,45.8,53.4,46.17
"2012-2021",2008,"NC-12","NC",12,3312,67,32.5,67.34
"2012-2021",2008,"NC-13","NC",13,3313,37,62.2,37.3
"2012-2021",2008,"ND-AL","ND",1,3401,44.6,53.3,45.56
"2012-2021",2008,"OH-01","OH",1,3501,47.2,51.8,47.68
"2012-2021",2008,"OH-02","OH",2,3502,44.3,54.2,44.97
"2012-2021",2008,"OH-03","OH",3,3503,67.4,31.3,68.29
"2012-2021",2008,"OH-04","OH",4,3504,43.7,54.4,44.55
"2012-2021",2008,"OH-05","OH",5,3505,46,52.2,46.84
"2012-2021",2008,"OH-06","OH",6,3506,44.7,53.1,45.71
"2012-2021",2008,"OH-07","OH",7,3507,46.9,50.9,47.96
"2012-2021",2008,"OH-08","OH",8,3508,38.1,60.3,38.72
"2012-2021",2008,"OH-09","OH",9,3509,66.8,31.6,67.89
"2012-2021",2008,"OH-10","OH",10,3510,49.3,49.3,50
"2012-2021",2008,"OH-11","OH",11,3511,82,17.2,82.66
"2012-2021",2008,"OH-12","OH",12,3512,44.8,53.7,45.48
"2012-2021",2008,"OH-13","OH",13,3513,62.3,35.8,63.51
"2012-2021",2008,"OH-14","OH",14,3514,49.1,49.4,49.85
"2012-2021",2008,"OH-15","OH",15,3515,46.1,52.2,46.9
"2012-2021",2008,"OH-16","OH",16,3516,47.2,51.3,47.92
"2012-2021",2008,"OK-01","OK",1,3601,35.8,64.2,35.8
"2012-2021",2008,"OK-02","OK",2,3602,34.3,65.7,34.3
"2012-2021",2008,"OK-03","OK",3,3603,27.1,72.9,27.1
"2012-2021",2008,"OK-04","OK",4,3604,33.9,66.1,33.9
"2012-2021",2008,"OK-05","OK",5,3605,40.8,59.2,40.8
"2012-2021",2008,"OR-01","OR",1,3701,59.6,37.7,61.25
"2012-2021",2008,"OR-02","OR",2,3702,43.3,53.8,44.59
"2012-2021",2008,"OR-03","OR",3,3703,72.9,24.3,75
"2012-2021",2008,"OR-04","OR",4,3704,54.2,42.7,55.93
"2012-2021",2008,"OR-05","OR",5,3705,53,44.2,54.53
"2012-2021",2008,"RI-01","RI",1,3901,66.6,31.8,67.68
"2012-2021",2008,"RI-02","RI",2,3902,59.9,38.3,61
"2012-2021",2008,"SC-01","SC",1,4001,42.7,56.1,43.22
"2012-2021",2008,"SC-02","SC",2,4002,39.4,59.5,39.84
"2012-2021",2008,"SC-03","SC",3,4003,35.1,63.5,35.6
"2012-2021",2008,"SC-04","SC",4,4004,37.7,60.6,38.35
"2012-2021",2008,"SC-05","SC",5,4005,43.8,55,44.33
"2012-2021",2008,"SC-06","SC",6,4006,70.1,28.9,70.81
"2012-2021",2008,"SC-07","SC",7,4007,45.3,53.6,45.8
"2012-2021",2008,"SD-AL","SD",1,4101,44.7,53.2,45.66
"2012-2021",2008,"TN-01","TN",1,4201,28.6,69.9,29.04
"2012-2021",2008,"TN-02","TN",2,4202,34.5,64,35.03
"2012-2021",2008,"TN-03","TN",3,4203,37.3,61.3,37.83
"2012-2021",2008,"TN-04","TN",4,4204,35.8,62.6,36.38
"2012-2021",2008,"TN-05","TN",5,4205,57.5,41.3,58.2
"2012-2021",2008,"TN-06","TN",6,4206,33.5,64.9,34.04
"2012-2021",2008,"TN-07","TN",7,4207,36.3,62.4,36.78
"2012-2021",2008,"TN-08","TN",8,4208,34.9,64.1,35.25
"2012-2021",2008,"TN-09","TN",9,4209,77,22.5,77.39
"2012-2021",2008,"TX-01","TX",1,4301,30,69,30.3
"2012-2021",2008,"TX-02","TX",2,4302,37,62,37.37
"2012-2021",2008,"TX-03","TX",3,4303,37,61,37.76
"2012-2021",2008,"TX-04","TX",4,4304,29,70,29.29
"2012-2021",2008,"TX-05","TX",5,4305,37,62,37.37
"2012-2021",2008,"TX-06","TX",6,4306,42,57,42.42
"2012-2021",2008,"TX-07","TX",7,4307,40,59,40.4
"2012-2021",2008,"TX-08","TX",8,4308,26,73,26.26
"2012-2021",2008,"TX-09","TX",9,4309,76,23,76.77
"2012-2021",2008,"TX-10","TX",10,4310,43,56,43.43
"2012-2021",2008,"TX-11","TX",11,4311,23,76,23.23
"2012-2021",2008,"TX-12","TX",12,4312,35,64,35.35
"2012-2021",2008,"TX-13","TX",13,4313,22,77,22.22
"2012-2021",2008,"TX-14","TX",14,4314,42,57,42.42
"2012-2021",2008,"TX-15","TX",15,4315,57,42,57.58
"2012-2021",2008,"TX-16","TX",16,4316,64,35,64.65
"2012-2021",2008,"TX-17","TX",17,4317,41,58,41.41
"2012-2021",2008,"TX-18","TX",18,4318,77,23,77
"2012-2021",2008,"TX-19","TX",19,4319,28,71,28.28
"2012-2021",2008,"TX-20","TX",20,4320,58,41,58.59
"2012-2021",2008,"TX-21","TX",21,4321,42,56,42.86
"2012-2021",2008,"TX-22","TX",22,4322,39,60,39.39
"2012-2021",2008,"TX-23","TX",23,4323,50,49,50.51
"2012-2021",2008,"TX-24","TX",24,4324,41,58,41.41
"2012-2021",2008,"TX-25","TX",25,4325,43,56,43.43
"2012-2021",2008,"TX-26","TX",26,4326,35,64,35.35
"2012-2021",2008,"TX-27","TX",27,4327,40,59,40.4
"2012-2021",2008,"TX-28","TX",28,4328,58,41,58.59
"2012-2021",2008,"TX-29","TX",29,4329,62,37,62.63
"2012-2021",2008,"TX-30","TX",30,4330,78,21,78.79
"2012-2021",2008,"TX-31","TX",31,4331,43,56,43.43
"2012-2021",2008,"TX-32","TX",32,4332,44,55,44.44
"2012-2021",2008,"TX-33","TX",33,4333,69,31,69
"2012-2021",2008,"TX-34","TX",34,4334,60,39,60.61
"2012-2021",2008,"TX-35","TX",35,4335,63,35,64.29
"2012-2021",2008,"TX-36","TX",36,4336,30,69,30.3
"2012-2021",2008,"UT-01","UT",1,4401,29.4,67.7,30.28
"2012-2021",2008,"UT-02","UT",2,4402,38.4,58.5,39.63
"2012-2021",2008,"UT-03","UT",3,4403,29.5,67.5,30.41
"2012-2021",2008,"UT-04","UT",4,4404,40.9,56.1,42.16
"2012-2021",2008,"VT-AL","VT",1,4501,67.8,30.6,68.9
"2012-2021",2008,"WA-01","WA",1,4701,56.3,41.9,57.33
"2012-2021",2008,"WA-02","WA",2,4702,60.5,37.6,61.67
"2012-2021",2008,"WA-03","WA",3,4703,50.9,47.1,51.94
"2012-2021",2008,"WA-04","WA",4,4704,39.2,58.9,39.96
"2012-2021",2008,"WA-05","WA",5,4705,46.3,51.2,47.49
"2012-2021",2008,"WA-06","WA",6,4706,57,40.9,58.22
"2012-2021",2008,"WA-07","WA",7,4707,80.4,18,81.71
"2012-2021",2008,"WA-08","WA",8,4708,51.5,46.8,52.39
"2012-2021",2008,"WA-09","WA",9,4709,68.6,29.9,69.64
"2012-2021",2008,"WA-10","WA",10,4710,57.2,41,58.25
"2012-2021",2008,"WV-01","WV",1,4801,41.5,56.7,42.26
"2012-2021",2008,"WV-02","WV",2,4802,43.9,54.7,44.52
"2012-2021",2008,"WV-03","WV",3,4803,42.3,55.7,43.16
"2012-2021",2008,"WI-01","WI",1,4901,50.8,48.1,51.37
"2012-2021",2008,"WI-02","WI",2,4902,70.1,28.6,71.02
"2012-2021",2008,"WI-03","WI",3,4903,59.4,39.1,60.3
"2012-2021",2008,"WI-04","WI",4,4904,74.4,24.6,75.15
"2012-2021",2008,"WI-05","WI",5,4905,41.8,57.2,42.22
"2012-2021",2008,"WI-06","WI",6,4906,49.4,49.3,50.05
"2012-2021",2008,"WI-07","WI",7,4907,53.2,45.3,54.01
"2012-2021",2008,"WI-08","WI",8,4908,53.7,45,54.41
"2012-2021",2008,"WY-AL","WY",1,5001,32.7,65.2,33.4
"2012-2021",2012,"AL-01","AL",1,101,37.4,61.8,37.7
"2012-2021",2012,"AL-02","AL",2,102,36.4,62.9,36.66
"2012-2021",2012,"AL-03","AL",3,103,36.8,62.3,37.13
"2012-2021",2012,"AL-04","AL",4,104,24,74.8,24.29
"2012-2021",2012,"AL-05","AL",5,105,34.9,63.9,35.32
"2012-2021",2012,"AL-06","AL",6,106,24.7,74.3,24.95
"2012-2021",2012,"AL-07","AL",7,107,72.4,27.1,72.76
"2012-2021",2012,"AK-AL","AK",1,201,41.2,55.3,42.69
"2012-2021",2012,"AZ-01","AZ",1,301,47.9,50.4,48.73
"2012-2021",2012,"AZ-02","AZ",2,302,48.4,49.9,49.24
"2012-2021",2012,"AZ-03","AZ",3,303,61.4,36.9,62.46
"2012-2021",2012,"AZ-04","AZ",4,304,31,67.2,31.57
"2012-2021",2012,"AZ-05","AZ",5,305,34.6,63.8,35.16
"2012-2021",2012,"AZ-06","AZ",6,306,38.8,59.5,39.47
"2012-2021",2012,"AZ-07","AZ",7,307,71.7,26.5,73.01
"2012-2021",2012,"AZ-08","AZ",8,308,36.9,61.7,37.42
"2012-2021",2012,"AZ-09","AZ",9,309,51.1,46.6,52.3
"2012-2021",2012,"AR-01","AR",1,401,36.3,61,37.31
"2012-2021",2012,"AR-02","AR",2,402,42.9,54.7,43.95
"2012-2021",2012,"AR-03","AR",3,403,31.6,65.5,32.54
"2012-2021",2012,"AR-04","AR",4,404,35.9,61.8,36.75
"2012-2021",2012,"CA-01","CA",1,501,40.3,56.6,41.59
"2012-2021",2012,"CA-02","CA",2,502,69,27,71.88
"2012-2021",2012,"CA-03","CA",3,503,54.3,43.1,55.75
"2012-2021",2012,"CA-04","CA",4,504,39.5,57.9,40.55
"2012-2021",2012,"CA-05","CA",5,505,69.7,27.5,71.71
"2012-2021",2012,"CA-06","CA",6,506,69.1,28.3,70.94
"2012-2021",2012,"CA-07","CA",7,507,50.8,46.8,52.05
"2012-2021",2012,"CA-08","CA",8,508,41.7,55.6,42.86
"2012-2021",2012,"CA-09","CA",9,509,57.8,40.1,59.04
"2012-2021",2012,"CA-10","CA",10,510,50.6,47,51.84
"2012-2021",2012,"CA-11","CA",11,511,67.6,30,69.26
"2012-2021",2012,"CA-12","CA",12,512,84.1,12.5,87.06
"2012-2021",2012,"CA-13","CA",13,513,87.5,9,90.67
"2012-2021",2012,"CA-14","CA",14,514,74.2,23.6,75.87
"2012-2021",2012,"CA-15","CA",15,515,68,29.8,69.53
"2012-2021",2012,"CA-16","CA",16,516,58.6,39.4,59.8
"2012-2021",2012,"CA-17","CA",17,517,71.9,25.5,73.82
"2012-2021",2012,"CA-18","CA",18,518,68.2,28.9,70.24
"2012-2021",2012,"CA-19","CA",19,519,71.2,26.5,72.88
"2012-2021",2012,"CA-20","CA",20,520,70.9,26.2,73.02
"2012-2021",2012,"CA-21","CA",21,521,54.6,43.5,55.66
"2012-2021",2012,"CA-22","CA",22,522,41.6,56.6,42.36
"2012-2021",2012,"CA-23","CA",23,523,36.1,61.5,36.99
"2012-2021",2012,"CA-24","CA",24,524,54.1,43.1,55.66
"2012-2021",2012,"CA-25","CA",25,525,47.9,49.7,49.08
"2012-2021",2012,"CA-26","CA",26,526,54,43.7,55.27
"2012-2021",2012,"CA-27","CA",27,527,62.6,35,64.14
"2012-2021",2012,"CA-28","CA",28,528,70.3,26.5,72.62
"2012-2021",2012,"CA-29","CA",29,529,77,20.5,78.97
"2012-2021",2012,"CA-30","CA",30,530,65.3,32.1,67.04
"2012-2021",2012,"CA-31","CA",31,531,57.2,40.6,58.49
"2012-2021",2012,"CA-32","CA",32,532,65.2,32.5,66.73
"2012-2021",2012,"CA-33","CA",33,533,60.6,36.8,62.22
"2012-2021",2012,"CA-34","CA",34,534,83,14.1,85.48
"2012-2021",2012,"CA-35","CA",35,535,67.4,30.6,68.78
"2012-2021",2012,"CA-36","CA",36,536,50.7,47.5,51.63
"2012-2021",2012,"CA-37","CA",37,537,84.9,12.7,86.99
"2012-2021",2012,"CA-38","CA",38,538,64.9,33,66.29
"2012-2021",2012,"CA-39","CA",39,539,47.1,50.8,48.11
"2012-2021",2012,"CA-40","CA",40,540,81.5,16.5,83.16
"2012-2021",2012,"CA-41","CA",41,541,61.5,36.3,62.88
"2012-2021",2012,"CA-42","CA",42,542,41.4,56.5,42.29
"2012-2021",2012,"CA-43","CA",43,543,78,20,79.59
"2012-2021",2012,"CA-44","CA",44,544,84.7,13.6,86.16
"2012-2021",2012,"CA-45","CA",45,545,43,54.8,43.97
"2012-2021",2012,"CA-46","CA",46,546,61.4,36.2,62.91
"2012-2021",2012,"CA-47","CA",47,547,60,37.5,61.54
"2012-2021",2012,"CA-48","CA",48,548,43,54.7,44.01
"2012-2021",2012,"CA-49","CA",49,549,45.7,52.2,46.68
"2012-2021",2012,"CA-50","CA",50,550,37.6,60.4,38.37
"2012-2021",2012,"CA-51","CA",51,551,69.4,28.9,70.6
"2012-2021",2012,"CA-52","CA",52,552,52.1,45.7,53.27
