"GEOID20","pop","district_2022","district_2026"
"120860106211040",35,28,28
"120860011041001",0,24,24
"120860065011000",65,27,27
"121050142033017",5,18,18
"121050127021051",0,18,18
"121050149052008",44,18,18
"121050148022089",0,18,18
"121050140051022",0,18,18
"120830012041012",57,6,6
"120610506082028",31,8,9
"120710401223021",8,19,17
"120710003033013",87,17,17
"120990063011012",37,22,23
"120570005002025",50,15,12
"120350602143008",46,6,6
"121079502012168",0,6,6
"120570135052001",84,14,15
"120570048002025",23,14,14
"120570048003005",35,14,14
"120570140122014",112,16,14
"120910211012018",6,1,1
"120759704001169",0,3,3
"120759702003088",5,3,3
"120860089112019",65,27,27
"120860093141000",216,26,26
"120860104001027",47,28,28
"120970426032006",51,9,9
"120570041002007",22,14,12
"120860026002016",121,26,24
"120860074021029",58,27,27
"120860010062019",85,24,24
"120860010063011",0,24,24
"120860011023006",31,24,24
"120860083131007",123,27,27
"120860087023022",51,27,27
"120860075031003",61,27,27
"120860079022004",148,27,27
"120860112061014",39,28,28
"120860200023000",493,28,28
"120860200011002",101,28,28
"121319506111046",9,2,2
"121319502021019",7,2,2
"121319506061043",4,1,1
"120459603023095",6,2,2
"120310150023000",279,5,5
"120310101043048",17,4,4
"120310160011014",52,5,5
"121150027231020",30,17,17
"121150027432026",45,17,17
"121150027431038",43,17,17
"121150002004010",39,17,17
"120860085021032",105,27,27
"120860114072010",0,28,28
"120860114052027",46,28,28
"120610503042008",13,8,9
"120610502011007",26,8,9
"120610504011007",0,8,9
"120610502012092",0,8,9
"120570017005007",67,14,15
"121050140013006",14,18,18
"121050121321011",48,15,18
"121050131021043",36,18,18
"121050134003015",86,18,18
"121050135001001",0,18,18
"121050164003021",0,18,18
"121050131021068",10,18,18
"121319505022125",0,1,1
"121319505012092",0,1,1
"121319504002039",52,2,2
"120860022011013",42,24,24
"120869807001040",0,28,28
"120860090101084",0,26,26
"120860011024008",0,24,24
"120860006101011",35,26,26
"120860023001003",28,24,24
"120174505022034",0,12,15
"120174504021044",12,12,15
"120174507061108",0,12,15
"120174503081041",3,12,15
"120174503101152",0,12,15
"120174511032002",11,12,15
"120174505021019",23,12,15
"120174503071059",7,12,15
"120090684002016",32,8,8
"120210102102035",0,19,19
"120379701011091",12,2,2
"120379703022022",3,2,2
"120350601061046",140,6,6
"120350602072075",18,6,6
"121079511003005",0,6,6
"121079502012161",2,6,6
"121079502012127",0,6,6
"120231105004017",18,3,3
"120231102024042",0,3,3
"121150014022013",91,17,16
"121150017033015",24,17,17
"121150001022025",9,17,17
"121150027342061",25,17,17
"120710701011032",7,19,19
"120710101102047",11,19,19
"120710402071021",40,17,19
"120710403121032",0,19,19
"120710019221000",274,19,19
"120710010012046",0,19,17
"120710019101018",12,19,19
"120710012033026",0,19,17
"120710402073012",8,17,19
"120710403161039",36,17,19
"120710402113004",5,17,19
"120730015003003",47,2,2
"120570121073040",0,15,14
"120570112053005",35,15,12
"120570112031002",33,15,12
"120570016002008",0,14,12
"120570101051018",7,15,14
"120570021002006",10,14,12
"120860115004017",32,28,28
"120860068012018",15,27,27
"120860078071005",98,27,27
"120860088062015",60,27,27
"120860107083019",45,28,28
"120860091021003",9,26,26
"120860090103061",25,26,26
"120860060032025",0,27,27
"121079508003007",6,6,6
"121079508004042",21,6,6
"121079508001002",81,6,6
"121079502013130",1,6,6
"120379703021022",40,2,2
"120350602062238",23,6,6
"121079512001034",0,6,6
"121079502013026",7,6,6
"120379702001210",0,2,2
"120379701011059",1,2,2
"120350602073012",51,6,6
"120830010121287",3,3,3
"120830010131004",60,3,3
"120830007062032",47,6,6
"120830011021026",33,6,6
"120830027053011",75,3,3
"120830026101051",12,3,3
"120830026091005",52,3,3
"120830010112059",0,3,3
"120559617012006",19,18,9
"120559607002033",13,18,9
"120559615004085",9,18,9
"120559607001029",0,18,9
"120090685011004",60,8,8
"120090642011043",14,8,8
"120090601031043",5,8,8
"120090601053036",0,8,8
"120090621084006",104,8,8
"120090621082014",110,8,8
"120090663011033",11,8,8
"120090651234009",208,8,8
"120090713412043",50,8,8
"120090604002000",9,8,8
"120090652371003",33,8,8
"120090713492020",38,8,8
"120090713451032",32,8,8
"120090601041002",0,8,8
"120090602011038",0,8,8
"120090628004031",0,8,8
"120090631082011",19,8,8
"120559616021155",0,18,9
"120459603011220",7,2,2
"120459602003047",2,2,2
"120459602003022",0,2,2
"120990080011018",0,20,22
"121050138023012",34,18,18
"121050138024044",96,18,18
"121050133001025",19,18,18
"121050133001032",34,18,18
"120174507061079",12,12,15
"120174513001021",22,12,15
"120174503071036",10,12,15
"120174507062010",89,12,15
"120174507053013",72,12,15
"120174504021032",0,12,15
"120174514003018",150,12,15
"120990070123009",0,23,25
"120860047014024",60,26,26
"120869805001069",0,26,26
"120860106131007",117,27,27
"120710102061049",0,19,19
"120710506031008",56,19,19
"120710401172008",0,19,19
"120710403161018",44,17,19
"121150027213048",18,17,17
"121150013042021",110,17,17
"121150004013012",32,17,17
"121150026022013",22,17,17
"121150011021030",46,17,17
"121150027292013",0,17,17
"121150027432037",39,17,17
"121150027381042",0,17,17
"120090652022012",48,8,8
"120090641021000",0,8,8
"120090651231027",30,8,8
"120090685012002",357,8,8
"120970409041060",29,9,9
"121150017021018",129,17,17
"121150012061018",23,17,17
"121150017021014",25,17,17
"121150027442129",4,17,16
"120310166051006",0,5,5
"120310173001040",0,4,4
"120310021022032",0,4,4
"120419502021026",50,3,3
"120110414001003",17,20,20
"120150305071068",23,17,17
"120150103021022",24,17,17
"120860078061025",45,27,27
"120860086033013",274,27,27
"120860086011005",27,27,27
"120860153002007",95,28,28
"120860142002004",239,28,28
"120860056001011",162,27,27
"120860061062023",41,27,27
"120860142003002",57,28,28
"120860056001035",0,27,27
"120210106011019",20,19,19
"120210112132008",0,26,19
"120210111031021",7,26,22
"120210105082008",10,26,19
"120210111072012",0,26,22
"120210003012011",4,19,19
"120210101122004",25,19,19
"120210111131061",0,26,22
"120210111131129",0,26,22
"120910201011022",0,1,1
"120860054062014",207,27,27
"120350602132004",63,6,6
"121150014042014",11,17,16
"121150014032003",33,17,16
"121150023052038",4,17,17
"121150023052015",16,17,17
"121150027322020",46,17,17
"120570114171008",124,15,12
"120570065011012",28,14,14
"120570003012017",27,15,12
"120570029002025",7,14,12
"120570026002032",0,14,14
"120570133111013",0,16,14
"120570123032005",224,15,14
"120570057004024",15,14,14
"120860061031019",38,27,27
"120860058031004",44,27,27
"121150027472053",8,17,17
"121150015103005",40,17,17
"121150006021020",16,17,17
"120570141212005",34,14,14
"120570133192002",83,16,14
"120910205004053",24,1,1
"120910204003005",46,1,1
"120850017032008",62,21,21
"120850015002007",10,21,21
"120850015002019",11,21,21
"120850001002008",0,21,21
"120860089082014",88,27,27
"121150025051022",73,17,17
"121050109001042",0,15,18
"121050103003009",18,18,18
"121050119121012",119,18,18
"121050141292015",25,18,18
"121050121261020",25,15,18
"121050126011006",18,18,18
"121050151011031",31,18,18
"121050141312029",6,18,18
"121050104012011",19,18,18
"120310101043062",0,4,4
"120310124002033",55,4,4
"120010022094027",19,3,3
"120010022022000",128,3,3
"120010022102019",18,3,3
"120570065013012",67,14,14
"120570008002010",60,14,15
"120430001001032",18,18,9
"121150025082010",44,17,17
"120559614011063",45,18,9
"120559604012194",9,18,9
"120759707003027",12,3,3
"121199106013008",14,11,11
"121199112043038",21,11,11
"121199105002012",9,11,11
"121199117043016",25,11,11
"121199112022029",16,11,11
"121199112042000",153,11,11
"121199103002021",16,11,11
"121199103001001",1,11,11
"121199101001021",22,11,11
"120150204021174",0,17,17
"120150301021050",12,17,17
"120150301011034",6,17,17
"120610508071047",47,8,9
"121319505011044",14,2,2
"121319502012068",11,2,2
"120190301031026",67,4,4
"120610508082079",60,8,9
"120610505062004",0,8,9
"120610505062023",6,8,9
"120610506083025",27,8,9
"120610507022015",57,8,9
"120610509082035",27,8,9
"120610509031046",17,8,9
"120860100123020",96,24,24
"120860100261000",0,24,24
"120860060042007",74,27,27
"120860110033017",29,28,28
"120860110112008",0,28,28
"120860054052011",122,27,27
"120570127013010",137,15,14
"121050147011050",21,18,18
"121050147012010",10,18,18
"120459601021069",56,2,2
"120459601021081",18,2,2
"120459602003028",9,2,2
"120710007003007",0,19,17
"121150006021032",20,17,17
"121150017041017",171,17,17
"121150003003009",52,17,17
"121150025071016",28,17,17
"121150011011021",45,17,17
"120210112083041",0,26,22
"120210101023002",0,19,19
"120990016003021",69,20,23
"120990062031000",105,22,23
"120990005131017",12,21,21
"120990077161005",95,23,25
"120990059302001",85,22,23
"120990076231013",60,23,25
"120990014042022",195,20,23
"120990009042010",124,21,21
"120990077322003",87,23,22
"120990035132023",79,22,23
"120990002212043",0,21,21
"120990077591016",9,22,22
"120559617022039",7,18,9
"120559617022037",0,18,9
"120860103021023",0,28,28
"120869805001063",0,26,26
"120860005052035",0,24,24
"120860074021003",28,27,27
"120860001341008",0,24,25
"120860199021007",45,28,28
"120860187003010",29,28,28
"120860004182027",54,24,24
"120860004054003",66,24,24
"120860006033033",54,26,26
"120860083083021",50,27,27
"120860003101001",35,24,24
"120860100162000",145,26,26
"120990078181007",0,20,21
"120990002132009",15,21,21
"120990042071005",56,22,23
"120990078303003",17,21,21
"120990078212025",27,21,22
"120990008033004",72,21,21
"120990037002009",0,22,23
"120990077711008",26,22,22
"120990002221004",25,21,21
"120010020022181",0,3,3
"120010019083005",16,3,3
"120010010003009",50,3,3
"120010018033027",36,3,3
"120010018192029",25,3,3
"120010022223032",18,3,3
"120010022223034",9,3,3
"120010018192031",14,3,3
"120190312012012",82,4,4
"120190302054008",157,4,4
"120190302054006",65,4,4
"120190302072002",49,4,4
"120190308011020",52,4,4
"120190309032016",41,4,4
"120231107004018",5,3,3
"120231106043022",0,3,3
"120860160001013",29,28,28
"120860155022015",75,28,28
"120860067154012",0,27,27
"120860179012003",85,28,28
"120860089112022",60,27,27
"120860089063001",89,27,27
"120860016031003",54,26,26
"120860100191017",68,24,24
"120860112031000",0,28,28
"120860197002012",67,28,28
"120860100122012",0,24,24
"120860083092021",39,27,27
"120860077071007",22,27,27
"120860144002007",58,28,28
"120860090511021",88,27,27
"120860075031022",34,27,27
"120150204021249",0,17,17
"120150204021205",5,17,17
"120150204012184",8,17,17
"120150202031008",24,17,17
"120150208001001",29,17,17
"120150205013041",13,17,17
"120150209002074",18,17,17
"120150304022041",6,17,17
"120150305071025",13,17,17
"120150305011020",10,17,17
"120150201013005",32,17,17
"120150103022146",0,17,17
"120150103021013",5,17,17
"120150103011038",0,17,17
"121050119092006",45,15,18
"121050129002004",27,18,18
"121050129004041",18,18,18
"121050124071069",0,18,18
"121050119111006",149,15,18
"121050141232021",26,18,18
"121050125081007",16,18,18
"120350602161000",74,6,6
"120860087021024",44,27,27
"120570073002006",0,14,14
"120570058005007",55,14,14
"120570064002007",45,14,14
"120570045001032",0,14,14
"120570048005020",31,14,14
"120570061011015",40,14,14
"120860147023005",28,28,28
"120860050041010",77,26,24
"120860017022009",28,24,24
"121030251061011",0,13,16
"121030274041026",34,13,13
"121030268164034",10,13,13
"121259602021055",5,3,3
"120710506032018",29,19,19
"120710205023000",0,17,17
"121150005012003",227,17,17
"121150027161014",0,17,16
"121150027381035",4,17,17
"121150027442121",11,17,16
"121150027402020",25,17,17
"121150004011020",51,17,17
"121150027483006",67,17,16
"120090713352010",22,8,8
"120090625003009",0,8,8
"120090651234013",129,8,8
"120090652392038",38,8,8
"120090642023032",35,8,8
"120090630001008",0,8,8
"120090713443006",68,8,8
"120090713482106",0,8,8
"120090693001003",0,8,8
"120090631091002",29,8,8
"120090625004003",35,8,8
"120090631051003",0,8,8
"121150023062005",26,17,17
"121150026042008",24,17,17
"121150015091002",59,17,17
"121150026051038",17,17,17
"121150001023051",11,17,17
"121150027342034",240,17,17
"121150027162004",116,17,17
"121150027462352",0,17,17
"121150004061029",54,17,17
"121150027462429",0,17,16
"121150027381102",16,17,17
"121150027421011",28,17,17
"121150027412004",0,17,16
"121150027412007",0,17,16
"121150018042036",39,17,17
"120830005021013",0,6,6
"120830008073006",77,6,6
"120830027052045",41,3,3
"120830011021014",16,6,6
"120830026081021",0,3,3
"120830009015018",28,6,6
"120910207012038",25,1,1
"120910226003016",115,1,1
"120499704013039",0,18,16
"121030262001011",106,13,13
"121030272062028",47,13,13
"121030245071020",6,13,13
"121030254141008",32,13,13
"121030273163007",31,13,13
"121030268041049",4,13,13
"121030268041076",3,13,13
"121030277043004",26,13,13
"121030225013002",204,13,16
"120090713481171",17,8,8
"120090629003010",62,8,8
"120850011082025",47,21,21
"120850006102004",23,21,21
"120850012001019",0,21,21
"120850017011008",12,21,21
"120850015002039",14,21,21
"120850017021063",0,21,21
"120419502031018",0,3,3
"121150027251018",46,17,16
"121150027471032",11,17,17
"120990002022020",0,21,21
"120990002021011",0,21,21
"120990057022015",583,22,23
"120990078461027",57,21,21
"120990040121006",58,22,23
"120990077681001",0,23,25
"120990077521010",263,22,22
"120990080021003",32,20,22
"120990048202001",61,22,23
"120990078472027",30,21,21
"120990078475010",23,21,21
"120990011014003",47,20,21
"120990079192039",42,21,21
"120990079181010",34,21,21
"120990078212005",26,21,22
"120990077052004",156,22,22
"120990052032033",29,22,23
"120990077783041",71,22,22
"120990078491004",0,20,22
"120990077211032",46,22,22
"121130108021227",17,1,1
"121130108084005",56,1,1
"121130107101076",3,1,1
"121130108021276",0,1,1
"121130103021032",83,1,1
"121130101004041",0,1,1
"121130108131005",24,1,1
"121130103021011",68,1,1
"121130105051015",22,1,1
"120210109071010",28,19,22
"120559606021001",26,18,9
"120559605011029",0,18,9
"120559605011027",0,18,9
"120610509081069",20,8,9
"120610508092017",37,8,9
"120830026101078",14,3,3
"120830006062023",10,6,6
"120830010051044",9,3,3
"120830010132073",25,3,3
"120830026051017",32,3,3
"120610508081029",0,8,9
"120610508113006",55,8,9
"120610502012079",14,8,9
"120090651264000",903,8,8
"121150020123008",44,17,17
"121150026031007",14,17,17
"121150026042012",7,17,17
"120990010043006",359,21,21
"120090631023016",342,8,8
"120090667002005",62,8,8
"120090713463086",17,8,8
"120150304011044",0,17,17
"120150203031009",59,17,17
"120150103021014",147,17,17
"120150305012183",22,17,17
"120150305071004",15,17,17
"120990079181047",39,21,21
"120990004101012",21,21,21
"120990067001010",10,22,23
"120990077782008",253,22,22
"120990082031034",8,20,22
"120990083022005",30,20,22
"120990082031047",0,20,22
"120990066072003",33,22,23
"120990059552006",59,22,23
"121079503002043",0,6,6
"121079503001021",7,6,6
"120190303052008",63,4,4
"120190303052001",48,4,4
"120860094011012",77,24,24
"120860019043019",67,24,24
"120860017013000",0,24,24
"120860019014003",86,24,24
"120860019041008",53,24,24
"120860069011016",190,27,27
"120860097032028",49,24,25
"120860025014004",0,26,24
"120860174022007",1069,28,28
"120310146034000",301,5,5
"120310014011013",61,4,4
"120310102021047",8,4,4
"120610501022006",35,8,9
"120610503051020",0,8,9
"120610503062007",237,8,9
"120610508114000",404,8,9
"120830010081007",26,3,3
"120830007051036",38,6,6
"120830006042018",7,6,6
"120910203061086",4,1,1
"120910220012011",50,1,1
"121079502022087",0,6,6
"121079510001030",0,6,6
"120350602191001",87,6,6
"120350602132021",212,6,6
"120350601031015",0,6,6
"120350603023008",17,6,6
"120350603023022",31,6,6
"120710502063008",48,19,19
"120830005013015",7,6,6
"120830008061017",12,6,6
"120830004022061",1,6,6
"120850004001005",93,21,21
"120850002001017",49,21,21
"120759706002004",23,3,3
"120070001005029",17,3,3
"120070001004019",0,3,3
"120090661042006",42,8,8
"120090661042031",47,8,8
"120090713521014",53,8,8
"120090621132000",71,8,8
"120090712011046",4,8,8
"120090686011030",3,8,8
"120910203032053",19,1,1
"120910202001115",4,1,1
"120559610001039",0,18,9
"120570008001035",65,14,12
"120570113041027",77,15,12
"120570139231018",105,16,14
"120570102101019",99,15,15
"120570029001019",25,14,12
"120570139133004",17,16,14
"120010022011040",0,3,3
"120010018162012",91,3,3
"120010003023006",25,3,3
"120010010003014",43,3,3
"121319503061044",57,1,1
"121319501041024",16,1,1
"121319501041043",0,1,1
"121319502011086",0,2,2
"121319501022049",53,2,2
"121319503032000",20,1,1
"121319506092010",12,1,1
"120632108002069",0,2,2
"120632107001004",129,2,2
"120632103012056",29,2,2
"120632107001020",32,2,2
"121050128032040",12,18,18
"121050160011011",63,18,16
"121050118321008",32,18,18
"121050164001005",13,15,18
"121050118322064",22,18,18
"121050138024032",35,18,18
"121050116042001",0,18,18
"121050156002047",2,18,9
"120610502021035",24,8,9
"120610505052004",580,8,9
"120910203061040",0,1,1
"120910233062028",21,1,1
"120910212005045",22,1,1
"120499701012002",11,18,16
"120499703011004",21,18,16
"120499701022007",57,18,16
"120499702011006",63,18,16
"121030208006016",22,13,16
"121030228011006",0,13,16
"121030228012015",44,13,16
"120970438023036",67,9,9
"120970423002025",46,9,9
"120970427021003",64,9,9
"120970433042023",87,9,9
"120970423003018",167,9,9
"120970416004045",0,9,9
"120970418002039",0,9,9
"120970408101050",13,9,9
"120970438012195",17,9,9
"120970408112043",69,9,18
"120759704001101",1,3,3
"120759703041018",60,3,3
"120759702002035",6,3,3
"120570042001015",3,14,12
"120570110131004",47,15,15
