"YEAR","STATE","STATE_ABV","TOTAL_BALLOTS_COUNTED","VOTE_FOR_HIGHEST_OFFICE","VAP","NONCITIZEN_PCT","INELIGIBLE_PRISON","INELIGIBLE_PROBATION","INELIGIBLE_PAROLE","INELIGIBLE_FELONS_TOTAL","ELIGIBLE_OVERSEAS","VEP","VEP_TURNOUT_RATE","VAP_TURNOUT_RATE","rate_vap_hi","rate_vep_hi","rate_vap_tb","rate_vep_tb","gap_hi","gap_tb","presidential","vep_recon","vep_recon_pct_err","pub_vep_err","pub_vap_err","inelig_pct"
1980,"New York","NY",6359218,6201959,12932357,6.8,21815,0,19652,41467,NA,12011490,52.94,49.17,47.9569,51.6336,49.1729,52.9428,3.67664,3.76987,TRUE,12011490,-0.0000022978,0.00279061,0.00292339,7.12064
1980,"North Carolina","NC",NA,1855833,4272156,0.7,15513,36467,6496,40243,NA,4202008,NA,NA,43.4402,44.1654,NA,NA,0.725187,NA,TRUE,4202008,-0.00000218943,NA,NA,1.64198
1980,"North Dakota","ND",314525,301545,465447,0.6,253,0,0,253,NA,462401,68.02,67.57,64.7861,65.2129,67.5748,68.02,0.426769,0.445139,TRUE,462401,0.0000687715,-0.0000346453,0.00482592,0.654425
1980,"Ohio","OH",4378937,4283603,7732705,1.1,13489,0,0,13489,NA,7634156,57.36,56.63,55.3959,56.111,56.6288,57.3598,0.715104,0.731019,TRUE,7634156,0.00000320926,-0.000194934,-0.00121357,1.27444
1980,"Oklahoma","OK",1172303,1149708,2201257,1.1,4796,14360,2232,14208,NA,2162835,54.2,53.26,52.2296,53.1575,53.2561,54.2021,0.927841,0.946075,TRUE,2162835,0.00000799876,0.00214672,-0.00392858,1.74546
1980,"Oregon","OR",1209691,1181516,1925651,2.2,3177,0,0,3177,NA,1880110,64.34,62.82,61.3567,62.8429,62.8198,64.3415,1.48621,1.52165,TRUE,1880110,-0.0000171267,0.0015013,-0.000153621,2.36497
1980,"Pennsylvania","PA",NA,4561501,8774885,1.2,8171,0,0,8171,NA,8661415,NA,NA,51.9836,52.6646,NA,NA,0.681018,NA,TRUE,8661415,0.00000438727,NA,NA,1.29312
1980,"Rhode Island","RI",423349,416072,709692,4.3,813,5501,257,3821,NA,675354,62.69,59.65,58.6271,61.608,59.6525,62.6855,2.98086,3.033,TRUE,675354,0.0000361292,-0.00450469,0.00249714,4.83844
1980,"South Carolina","SC",922397,894071,2212354,0.6,7862,20589,3124,21281,NA,2177799,42.35,41.69,40.4127,41.0539,41.693,42.3546,0.641225,0.66154,TRUE,2177799,-0.00000569382,0.00455154,0.00301115,1.56191
1980,"South Dakota","SD",NA,327703,486893,0.4,635,0,0,635,NA,484310,NA,NA,67.3049,67.6639,NA,NA,0.358961,NA,TRUE,484310,0.0000883731,NA,NA,0.530507
1980,"Tennessee","TN",NA,1617616,3318036,0.5,7022,9130,3097,14684,NA,3286762,NA,NA,48.7522,49.2161,NA,NA,0.463884,NA,TRUE,3286762,-0.00000547651,NA,NA,0.942546
1980,"Texas","TX",NA,4541636,10120613,4.3,29892,131996,17235,113125,NA,9572302,NA,NA,44.8751,47.4456,NA,NA,2.57049,NA,TRUE,9572302,-0.0000037504,NA,NA,5.41776
1980,"Utah","UT",609691,604222,934767,2.1,0,0,0,0,NA,915137,66.62,65.22,64.6388,66.0253,65.2238,66.6229,1.38652,1.39907,TRUE,915137,-0.0000116922,0.00292094,0.00384723,2.09999
1980,"Vermont","VT",215500,213299,369147,1.6,0,0,0,0,NA,363241,59.33,58.38,57.7816,58.7211,58.3778,59.327,0.939481,0.949175,TRUE,363241,-0.0000969054,-0.00299672,-0.0021722,1.5999
1980,"Virginia","VA",NA,1866032,3927383,2,8920,11463,4783,19435,NA,3829400,NA,NA,47.5134,48.7291,NA,NA,1.21573,NA,TRUE,3829400,0.00000887868,NA,NA,2.49487
1980,"Washington","WA",1772904,1742394,3037193,2.9,4399,12527,14669,25332,NA,2923782,60.64,58.37,57.3686,59.5938,58.3731,60.6374,2.22528,2.26424,TRUE,2923782,0.0000137835,-0.00264742,0.00310964,3.73407
1980,"West Virginia","WV",742150,737715,1396595,0.5,1257,2650,475,3057,NA,1386555,53.52,53.14,52.8224,53.2049,53.14,53.5247,0.382485,0.384785,TRUE,1386555,0.00000180303,0.00474298,-0.0000417444,0.718891
1980,"Wisconsin","WI",NA,2273221,3371087,1,3980,19088,2639,16163,NA,3321213,NA,NA,67.4329,68.4455,NA,NA,1.01263,NA,TRUE,3321213,0.00000391423,NA,NA,1.47946
1980,"Wyoming","WY",181004,176713,330784,0.9,534,940,154,1158,NA,326649,55.41,54.72,53.4225,54.0987,54.7197,55.4124,0.676267,0.692688,TRUE,326649,-0.0000171438,0.00238455,-0.000303763,1.25006
1982,"Alabama","AL",NA,1128725,2813033,0.5,9233,14229,2266,18614,NA,2780354,NA,NA,40.1248,40.5964,NA,NA,0.471609,NA,FALSE,2780354,-0.0000059345,NA,NA,1.1617
1982,"Alaska","AK",199458,194885,316787,2.2,1322,1816,101,2331,NA,307487,64.87,62.96,61.5193,63.3799,62.9628,64.8671,1.86066,1.90432,FALSE,307487,-0.000102118,-0.00286741,0.00281097,2.93573
1982,"Arizona","AZ",742923,726364,2112246,3.8,6069,14949,1527,15071,NA,2016910,36.83,35.17,34.3882,36.0137,35.1722,36.8347,1.62547,1.66253,FALSE,2016910,-0.0000172541,0.00471251,0.00218165,4.51349
1982,"Arkansas","AR",NA,789351,1656707,0.5,3922,3384,3061,8675,NA,1639748,NA,NA,47.6458,48.1386,NA,NA,0.492774,NA,FALSE,1639748,0.000028358,NA,NA,1.02366
1982,"California","CA",8064314,7876698,18448245,12.1,34640,0,18913,53553,NA,16162454,49.9,43.71,42.6962,48.7345,43.7132,49.8954,6.03835,6.18218,FALSE,16162454,0.00000219645,-0.00464376,0.00317705,12.3903
1982,"Colorado","CO",1037774,956021,2248839,2.1,3042,0,1202,4244,NA,2197369,47.23,46.15,42.5118,43.5075,46.1471,47.228,0.995773,1.08093,FALSE,2197369,0.0000173389,-0.00197412,-0.00289921,2.28874
1982,"Connecticut","CT",1112428,1084156,2369975,4,5156,33061,1311,22998,NA,2252178,49.39,46.94,45.7455,48.1381,46.9384,49.3934,2.39265,2.45505,FALSE,2252178,0,0.0034316,-0.00161457,4.97039
1982,"Delaware","DE",195726,190960,441374,1.4,2068,4626,621,5002,NA,430193,45.5,44.34,43.2649,44.3894,44.3447,45.4973,1.12448,1.15255,FALSE,430193,-0.0000548591,-0.00274644,0.0047054,2.53323
1982,"District of Columbia","DC",NA,117623,500492,5.1,4081,0,0,4081,NA,470886,NA,NA,23.5015,24.9791,NA,NA,1.47761,NA,FALSE,470886,-0.0000195376,NA,NA,5.91538
1982,"Florida","FL",NA,2688566,8139171,6.3,27830,57074,5974,62341,NA,7564062,NA,NA,33.0324,35.5439,NA,NA,2.51151,NA,FALSE,7564062,0.00000300103,NA,NA,7.06594
1982,"Georgia","GA",NA,1169041,4047788,1.1,14405,78097,4897,58351,NA,3944911,NA,NA,28.881,29.6342,NA,NA,0.75317,NA,FALSE,3944911,0.00000841591,NA,NA,2.54156
1982,"Hawaii","HI",325459,311853,724189,7.1,1461,0,0,1461,NA,671311,48.48,44.94,43.0624,46.4543,44.9412,48.4811,3.39195,3.53994,FALSE,671311,-0.0000624152,0.00110637,0.00116867,7.30169
1982,"Idaho","ID",332237,326522,662251,1.6,1044,0,0,1044,NA,650611,51.07,50.17,49.3049,50.187,50.1678,51.0654,0.882107,0.897546,FALSE,650611,-0.00000245923,-0.00461684,-0.00216333,1.75764
1982,"Illinois","IL",3856875,3673681,8284606,4.4,14293,0,0,14293,NA,7905790,48.79,46.55,44.3435,46.4682,46.5547,48.7854,2.12477,2.23073,FALSE,7905790,0.00000425005,-0.00455288,0.00471847,4.57253
1982,"Indiana","IN",1834225,1817287,3921907,0.9,8790,0,0,8790,NA,3877820,47.3,46.77,46.3368,46.8636,46.7687,47.3004,0.526804,0.531714,FALSE,3877820,-0.00000420339,0.000416213,-0.00129794,1.12412
1982,"Iowa","IA",1050495,1038229,2094031,0.8,2829,10625,1050,9192,NA,2068087,50.8,50.17,49.5804,50.2024,50.1662,50.7955,0.621983,0.629331,FALSE,2068087,-0.0000119918,-0.00450639,-0.00383723,1.23895
1982,"Kansas","KS",NA,763263,1761238,1.2,3078,0,0,3078,NA,1737025,NA,NA,43.3367,43.9408,NA,NA,0.604086,NA,FALSE,1737025,0.00000829004,NA,NA,1.37477
1982,"Kentucky","KY",NA,700322,2642810,0.5,4031,14516,3430,14719,NA,2614877,NA,NA,26.4991,26.7822,NA,NA,0.283073,NA,FALSE,2614877,-0.00000191214,NA,NA,1.05694
1982,"Louisiana","LA",NA,NA,3029834,1.2,10930,0,0,10930,NA,2982546,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2982546,-0.000000268227,NA,NA,1.56075
1982,"Maine","ME",NA,460295,828907,1.3,0,0,0,0,NA,818131,NA,NA,55.5304,56.2618,NA,NA,0.731417,NA,FALSE,818131,0.000025546,NA,NA,1.30003
1982,"Maryland","MD",1190011,1139149,3174995,3,11617,52603,6024,43943,NA,3035802,39.2,37.48,35.8788,37.5238,37.4807,39.1992,1.64506,1.71851,FALSE,3035802,0.00000494103,-0.000770274,0.000720442,4.38404
1982,"Massachusetts","MA",2103780,2050769,4375262,4.4,0,0,0,0,NA,4182750,50.3,48.08,46.8719,49.0292,48.0835,50.2966,2.15729,2.21305,FALSE,4182750,0.0000112844,-0.00342478,0.00352048,4.40001
1982,"Michigan","MI",3135928,3040008,6498711,1.9,14913,0,0,14913,NA,6360322,49.3,48.25,46.7786,47.7964,48.2546,49.3045,1.01782,1.04993,FALSE,6360322,0.00000771973,0.00454779,0.00461542,2.12948
1982,"Minnesota","MN",1834737,1804675,2993256,1.1,2081,24320,1479,15720,NA,2944610,62.31,61.3,60.2914,61.2874,61.2957,62.3083,0.996035,1.01263,FALSE,2944610,0.00000624871,-0.00168073,-0.00430728,1.62519
1982,"Mississippi","MS",NA,645026,1762406,0.4,5484,6304,2914,11550,NA,1743806,NA,NA,36.5992,36.9896,NA,NA,0.390379,NA,FALSE,1743806,0.000021562,NA,NA,1.05538
1982,"Missouri","MO",NA,1543521,3615526,0.7,7445,21637,2556,20820,NA,3569397,NA,NA,42.6915,43.2432,NA,NA,0.551722,NA,FALSE,3569397,0.00000890907,NA,NA,1.27586
1982,"Montana","MT",328082,321062,574592,0.7,914,0,0,914,NA,569656,57.59,57.1,55.8765,56.3607,57.0983,57.593,0.484163,0.494749,FALSE,569656,-0.0000252784,0.0030035,-0.00174593,0.859044
1982,"Nebraska","NE",559422,547902,1145316,0.8,1739,9964,309,7030,NA,1129123,49.54,48.84,47.8385,48.5246,48.8443,49.5448,0.686062,0.700487,FALSE,1129123,0.0000418024,0.00482373,0.00433641,1.41385
1982,"Nevada","NV",242578,240394,655823,4.4,2753,4733,1065,6185,NA,620782,39.08,36.99,36.6553,38.7244,36.9883,39.0762,2.06907,2.08786,FALSE,620782,-0.0000341505,-0.00380256,-0.00166626,5.34306
1982,"New Hampshire","NH",289057,282588,698424,1.7,445,0,0,445,NA,686106,42.13,41.39,40.4608,41.1872,41.387,42.1301,0.726413,0.743042,FALSE,686106,-0.000030316,0.0000790257,-0.0029629,1.76369
1982,"New Jersey","NJ",2286925,2193945,5563627,5.4,8191,38186,10514,37798,NA,5225393,43.77,41.1,39.4337,41.9862,41.1049,43.7656,2.5525,2.66068,FALSE,5225393,0.0000027175,-0.00439232,0.00493029,6.07938
1982,"New Mexico","NM",417945,407466,949133,2.6,1718,3854,1206,4851,NA,919605,45.45,44.03,42.9303,44.3088,44.0344,45.4483,1.37847,1.41392,FALSE,919605,-0.000049804,-0.00168252,0.00439771,3.11105
1982,"New York","NY",5437367,5254891,13150573,7.5,27945,0,21062,49007,NA,12115273,44.88,41.35,39.9594,43.3741,41.347,44.8803,3.4147,3.53327,FALSE,12115273,0.000000206351,0.000268072,-0.00300318,7.87266
1982,"North Carolina","NC",NA,1321080,4427095,0.8,16569,44274,6910,45616,NA,4346062,NA,NA,29.8408,30.3972,NA,NA,0.556386,NA,FALSE,4346062,0.00000552224,NA,NA,1.83039
1982,"North Dakota","ND",272876,262465,480367,0.7,322,0,0,322,NA,476682,57.24,56.81,54.6384,55.0608,56.8057,57.2449,0.422384,0.439138,FALSE,476682,0.0000904167,0.00487184,-0.00426605,0.767122
1982,"Ohio","OH",3551995,3395463,7793022,1.1,17317,0,0,17317,NA,7689982,46.19,45.58,43.5706,44.1544,45.5792,46.1899,0.583813,0.610727,FALSE,7689982,-0.00000314695,-0.0000999456,-0.000826734,1.32221
1982,"Oklahoma","OK",901488,883130,2346265,1.2,6500,14749,1858,15733,NA,2302377,39.15,38.42,37.6398,38.3573,38.4223,39.1547,0.717492,0.732407,FALSE,2302377,-0.00000781801,0.00466494,0.00225836,1.87055
1982,"Oregon","OR",1063913,1042009,1946116,2.4,3900,0,0,3900,NA,1895509,56.13,54.67,53.543,54.9725,54.6685,56.1281,1.42951,1.45956,FALSE,1895509,0.0000113954,-0.00190987,-0.00147048,2.60041
1982,"Pennsylvania","PA",NA,3683985,8869173,1.2,10508,0,0,10508,NA,8752235,NA,NA,41.537,42.0919,NA,NA,0.554972,NA,FALSE,8752235,-0.00000086835,NA,NA,1.31848
1982,"Rhode Island","RI",370928,342779,723060,4.6,1037,6501,327,4615,NA,685184,54.14,51.3,47.4067,50.0273,51.2998,54.1355,2.62058,2.83578,FALSE,685184,0.0000350271,-0.00446852,-0.000246176,5.23829
1982,"South Carolina","SC",688300,671625,2297223,0.7,9137,16981,3175,20803,NA,2260339,30.45,29.96,29.2364,29.7135,29.9623,30.4512,0.477077,0.488921,FALSE,2260339,0.0000194219,0.00118453,0.00226313,1.60559
1982,"South Dakota","SD",NA,278562,492367,0.4,791,0,0,791,NA,489607,NA,NA,56.5761,56.895,NA,NA,0.318929,NA,FALSE,489607,-0.0000955869,NA,NA,0.560557
1982,"Tennessee","TN",NA,1259785,3393233,0.6,7869,10101,3303,16223,NA,3356651,NA,NA,37.1264,37.531,NA,NA,0.404617,NA,FALSE,3356651,-0.0000118571,NA,NA,1.07809
1982,"Texas","TX",NA,3191091,10910762,4.9,36149,177270,26274,151058,NA,10225077,NA,NA,29.2472,31.2085,NA,NA,1.96129,NA,FALSE,10225077,-0.0000033056,NA,NA,6.28448
1982,"Utah","UT",537207,530802,984073,2.2,0,0,0,0,NA,962423,55.82,54.59,53.9393,55.1527,54.5902,55.8182,1.21338,1.22802,FALSE,962423,0.0000409383,-0.00182026,0.000157438,2.20004
1982,"Vermont","VT",172084,169251,379067,1.6,0,0,0,0,NA,373002,46.13,45.4,44.6494,45.3754,45.3967,46.1349,0.725997,0.738149,FALSE,373002,-0.0000193028,0.00487327,-0.00327594,1.59998
1982,"Virginia","VA",NA,1415622,4076585,2.3,10079,14813,6487,23973,NA,3958851,NA,NA,34.7257,35.7584,NA,NA,1.03272,NA,FALSE,3958851,-0.0000114932,NA,NA,2.88805
1982,"Washington","WA",1404831,1368476,3138109,3.1,6264,60142,3047,39382,NA,3001446,46.81,44.77,43.6083,45.5939,44.7668,46.8051,1.98559,2.03834,FALSE,3001446,-0.0000126272,-0.00486008,-0.00319936,4.35495
1982,"West Virginia","WV",NA,565314,1409116,0.4,1547,2711,610,3513,NA,1399967,NA,NA,40.1183,40.3805,NA,NA,0.26218,NA,FALSE,1399967,-0.0000331436,NA,NA,0.649272
1982,"Wisconsin","WI",NA,1580344,3426394,1,4714,19603,3125,17641,NA,3374489,NA,NA,46.1227,46.8321,NA,NA,0.70944,NA,FALSE,3374489,0.00000177805,NA,NA,1.51486
1982,"Wyoming","WY",172065,168555,349060,0.9,702,1303,244,1598,NA,344320,49.97,49.29,48.2883,48.953,49.2938,49.9724,0.664749,0.678592,FALSE,344320,0.000133597,0.00240939,0.00381768,1.35793
1984,"Alabama","AL",NA,1441713,2867180,0.5,10482,16338,2194,20845,NA,2831999,NA,NA,50.2833,50.908,NA,NA,0.624653,NA,TRUE,2831999,0.00000353107,NA,NA,1.22702
1984,"Alaska","AK",213173,207605,354410,2.3,1967,2064,147,3146,NA,343113,62.13,60.15,58.5776,60.5063,60.1487,62.1291,1.92867,1.9804,TRUE,343113,-0.000125323,-0.000905503,-0.00130216,3.18755
1984,"Arizona","AZ",1051339,1025897,2263826,4.2,7845,16687,1660,17849,NA,2150896,48.88,46.44,45.317,47.6963,46.4408,48.8791,2.37931,2.43831,TRUE,2150896,0.0000143196,-0.000881716,0.000804196,4.98846
1984,"Arkansas","AR",NA,884406,1689480,0.5,4482,8238,3463,12064,NA,1668969,NA,NA,52.3478,52.9912,NA,NA,0.643335,NA,TRUE,1668969,-0.0000239669,NA,NA,1.21404
1984,"California","CA",9796375,9505423,19270739,13.4,43197,0,30645,73842,NA,16614618,58.96,50.84,49.3257,57.2112,50.8355,58.9624,7.88552,8.12689,TRUE,16614618,-0.000000156489,0.00238481,-0.00450791,13.7832
1984,"Colorado","CO",1343437,1295380,2325829,2.3,3231,0,1709,4940,NA,2267395,59.25,57.76,55.6954,57.1308,57.7616,59.2502,1.43535,1.4886,TRUE,2267395,-0.00000295493,0.000240915,0.00164112,2.51239
1984,"Connecticut","CT",1490946,1466900,2431057,4.1,5718,46681,868,29927,NA,2301457,64.78,61.33,60.34,63.7379,61.3291,64.7827,3.39788,3.45358,TRUE,2301457,-0.0000146429,0.0027007,-0.000874439,5.33101
1984,"Delaware","DE",258182,254572,455312,1.5,2202,6373,830,6219,NA,442263,58.38,56.7,55.9116,57.5612,56.7044,58.3775,1.64967,1.67307,TRUE,442263,0.0000723551,-0.00251873,0.00441368,2.86595
1984,"District of Columbia","DC",219193,211288,505550,5.8,4521,0,0,4521,NA,471707,46.47,43.36,41.7937,44.7922,43.3573,46.468,2.99852,3.11071,TRUE,471707,0.0000211996,-0.00195946,-0.0026664,6.69429
1984,"Florida","FL",NA,4180051,8656427,6.8,26914,118318,5661,91734,NA,7976056,NA,NA,48.2884,52.4075,NA,NA,4.11908,NA,TRUE,7976056,-0.000000451351,NA,NA,7.85972
1984,"Georgia","GA",NA,1776120,4243165,1.3,15404,90057,7246,67679,NA,4120325,NA,NA,41.8584,43.1063,NA,NA,1.24793,NA,TRUE,4120325,-0.00000351914,NA,NA,2.89501
1984,"Hawaii","HI",349253,335846,750909,7.3,1965,0,0,1965,NA,694128,50.32,46.51,44.7253,48.3839,46.5107,50.3154,3.65861,3.80466,TRUE,694128,-0.0000514314,-0.0046403,0.000695703,7.56164
1984,"Idaho","ID",421935,411144,675772,1.7,1253,0,0,1253,NA,663031,63.64,62.44,60.8406,62.0098,62.4375,63.6373,1.16913,1.19982,TRUE,663031,-0.000018702,-0.00270401,-0.00252109,1.8854
1984,"Illinois","IL",4969352,4819088,8327065,4.7,17114,0,0,17114,NA,7918579,62.76,59.68,57.8726,60.858,59.6771,62.7556,2.9854,3.07849,TRUE,7918579,-0.000000694569,-0.00439701,-0.00288688,4.90552
1984,"Indiana","IN",2268493,2233069,3960870,0.9,9328,0,0,9328,NA,3915894,57.93,57.27,56.3782,57.0258,57.2726,57.9304,0.647532,0.657804,TRUE,3915894,0.00000434128,0.000398525,0.00259415,1.13551
1984,"Iowa","IA",1339886,1319805,2084995,0.8,2836,11924,1662,10460,NA,2057855,65.11,64.26,63.3002,64.135,64.2633,65.1108,0.834833,0.847536,TRUE,2057855,0.00000194377,0.000807127,0.00327161,1.30168
1984,"Kansas","KS",NA,1021991,1779487,1.3,4244,0,0,4244,NA,1752110,NA,NA,57.4318,58.3292,NA,NA,0.897381,NA,TRUE,1752110,-0.0000188915,NA,NA,1.53848
1984,"Kentucky","KY",NA,1369345,2672424,0.5,4820,15004,3567,15889,NA,2643173,NA,NA,51.2398,51.8069,NA,NA,0.567052,NA,TRUE,2643173,-0.00000454,NA,NA,1.09455
1984,"Louisiana","LA",NA,1706822,3072074,1.3,13659,0,0,13659,NA,3018478,NA,NA,55.5593,56.5458,NA,NA,0.986509,NA,TRUE,3018478,0.00000125891,NA,NA,1.74462
