"n","p","pmine","pairs","certain"
308,1,0.56926,47278,FALSE
309,1,0.57044,47586,FALSE
310,1,0.571617,47895,FALSE
311,1,0.57279,48205,FALSE
312,1,0.573961,48516,FALSE
313,1,0.575128,48828,FALSE
314,1,0.576292,49141,FALSE
315,1,0.577453,49455,FALSE
316,1,0.578611,49770,FALSE
317,1,0.579765,50086,FALSE
318,1,0.580916,50403,FALSE
319,1,0.582065,50721,FALSE
320,1,0.58321,51040,FALSE
321,1,0.584352,51360,FALSE
322,1,0.58549,51681,FALSE
323,1,0.586626,52003,FALSE
324,1,0.587759,52326,FALSE
325,1,0.588888,52650,FALSE
326,1,0.590014,52975,FALSE
327,1,0.591138,53301,FALSE
328,1,0.592258,53628,FALSE
329,1,0.593375,53956,FALSE
330,1,0.594489,54285,FALSE
331,1,0.5956,54615,FALSE
332,1,0.596708,54946,FALSE
333,1,0.597813,55278,FALSE
334,1,0.598915,55611,FALSE
335,1,0.600013,55945,FALSE
336,1,0.601109,56280,FALSE
337,1,0.602202,56616,FALSE
338,1,0.603292,56953,FALSE
339,1,0.604379,57291,FALSE
340,1,0.605463,57630,FALSE
341,1,0.606544,57970,FALSE
342,1,0.607622,58311,FALSE
343,1,0.608697,58653,FALSE
344,1,0.609769,58996,FALSE
345,1,0.610838,59340,FALSE
346,1,0.611904,59685,FALSE
347,1,0.612967,60031,FALSE
348,1,0.614028,60378,FALSE
349,1,0.615085,60726,FALSE
350,1,0.61614,61075,FALSE
351,1,0.617191,61425,FALSE
352,1,0.61824,61776,FALSE
353,1,0.619286,62128,FALSE
354,1,0.620329,62481,FALSE
355,1,0.621369,62835,FALSE
356,1,0.622407,63190,FALSE
357,1,0.623441,63546,FALSE
358,1,0.624473,63903,FALSE
359,1,0.625502,64261,FALSE
360,1,0.626528,64620,FALSE
361,1,0.627551,64980,FALSE
362,1,0.628571,65341,FALSE
363,1,0.629589,65703,FALSE
364,1,0.630604,66066,FALSE
365,1,0.631616,66430,FALSE
366,1,0.632625,66795,TRUE
