"scf","d1","zctas","pop","x","y","state","in_frame"
"241","2",40,226324,1396.9,1677.4,"VA",1
"242","2",44,180416,1196.5,1615.3,"VA",1
"243","2",40,147055,1308.4,1634.5,"VA",1
"244","2",43,146312,1444.6,1791.4,"VA",1
"245","2",56,382232,1469.2,1697.8,"VA",1
"246","2",25,63107,1249.3,1664.5,"VA",1
"247","2",17,58479,1299.1,1693.9,"WV",1
"248","2",55,34619,1252.4,1703,"WV",1
"249","2",35,49357,1349.9,1753.7,"WV",1
"250","2",50,61278,1245.1,1794,"WV",1
"251","2",52,69651,1232,1794,"WV",1
"252","2",40,55143,1233.4,1835.4,"WV",1
"253","2",14,111481,1237.7,1797,"WV",1
"254","2",24,199701,1528.7,1967.4,"WV",1
"255","2",40,137864,1194.5,1789.4,"WV",1
"256","2",43,46018,1211.3,1725.3,"WV",1
"257","2",6,71644,1172.7,1789.2,"WV",1
"258","2",44,81878,1283.9,1743.8,"WV",1
"259","2",37,43325,1301.3,1746.6,"WV",1
"260","2",24,125098,1292.3,2011,"WV",1
"261","2",33,126810,1242.8,1900.8,"WV",1
"262","2",52,80756,1364.1,1871.3,"WV",1
"263","2",31,85274,1330.5,1912.3,"WV",1
"264","2",29,54322,1330.7,1910.3,"WV",1
"265","2",37,186785,1355.6,1954.3,"WV",1
"266","2",28,29730,1306.5,1813.6,"WV",1
"267","2",23,52782,1450.7,1949.1,"WV",1
"268","2",24,31397,1449.1,1900.5,"WV",1
"270","2",34,292123,1380.4,1575.7,"NC",1
"271","2",9,272203,1397.7,1564.1,"NC",1
"272","2",44,621548,1441.3,1559,"NC",1
"273","2",36,404727,1461.9,1549.2,"NC",1
"274","2",11,334723,1437.1,1569.8,"NC",1
"275","2",72,1296827,1546.4,1557.3,"NC",1
"276","2",17,559915,1546.2,1560.4,"NC",1
"277","2",9,306633,1519.8,1573.6,"NC",1
"278","2",83,518315,1640.7,1579.4,"NC",1
"279","2",58,195742,1744.2,1639.6,"NC",1
"280","2",49,773479,1352.6,1474.9,"NC",1
"281","2",43,656540,1366.2,1468.4,"NC",1
"282","2",29,955169,1364.8,1459.2,"NC",1
"283","2",77,836202,1531,1464.7,"NC",1
"284","2",55,526766,1631.5,1398.1,"NC",1
"285","2",62,507107,1683.1,1491.6,"NC",1
"286","2",79,635132,1306.9,1531.6,"NC",1
"287","2",75,570020,1196,1465,"NC",1
"288","2",5,136395,1203.5,1477.2,"NC",1
"289","2",6,39847,1084.3,1406.7,"NC",1
"290","2",49,462912,1369.3,1325.8,"SC",1
"291","2",47,356474,1388.7,1312.1,"SC",1
"292","2",13,344350,1368.9,1329.3,"SC",1
"293","2",45,431511,1269.9,1410.4,"SC",1
"294","2",57,865517,1475.7,1221.1,"SC",1
"295","2",57,702152,1524.5,1345.5,"SC",1
"296","2",65,1068111,1225.3,1383.1,"SC",1
"297","2",25,426193,1354.4,1426.3,"SC",1
"298","2",35,224472,1307.6,1259.8,"SC",1
"299","2",31,236733,1414.8,1145.6,"SC",1
"300","3",62,2514378,1082.2,1272.7,"GA",1
"301","3",57,1327905,1027.5,1274.7,"GA",1
"302","3",56,1133210,1066.5,1214.2,"GA",1
"303","3",40,1043682,1064.3,1257.2,"GA",1
"304","3",43,230790,1300.4,1131.8,"GA",1
"305","3",63,716672,1108,1329.3,"GA",1
"306","3",44,430829,1154.5,1283.7,"GA",1
"307","3",32,371739,989.4,1356.7,"GA",1
"308","3",22,221032,1267.7,1242.9,"GA",1
"309","3",7,206032,1284.9,1247.5,"GA",1
"310","3",84,543111,1164.5,1139.7,"GA",1
"312","3",10,167808,1143.9,1160.5,"GA",1
"313","3",24,238927,1366.5,1097.1,"GA",1
"314","3",12,260224,1391.9,1104.7,"GA",1
"315","3",47,344043,1320.1,1010.2,"GA",1
"316","3",31,199600,1209.1,955.2,"GA",1
"317","3",52,365019,1141,1003.4,"GA",1
"318","3",27,89240,1044.6,1119.9,"GA",1
"319","3",7,200022,1031.9,1106.8,"GA",1
"320","3",46,707910,1351.7,885.1,"FL",1
"321","3",45,654028,1420.3,793.4,"FL",1
"322","3",37,1056445,1376,905.3,"FL",1
"323","3",43,442411,1123.3,885.3,"FL",1
"324","3",43,360015,989.8,869.7,"FL",1
"325","3",41,732220,860.7,869.3,"FL",1
"326","3",43,391394,1308.8,822.7,"FL",1
"327","3",44,1066223,1430.2,742.3,"FL",1
"328","3",34,1066412,1432.3,714.5,"FL",1
"329","3",34,694637,1508.4,676.2,"FL",1
"330","3",51,1789891,1577.8,450.5,"FL",1
"331","3",63,2030960,1583.7,433.4,"FL",1
"333","3",28,846439,1582.8,474.5,"FL",1
"334","3",57,1606670,1581.6,527.2,"FL",1
"335","3",44,889338,1347.9,646.7,"FL",1
"336","3",27,814472,1331,644.8,"FL",1
"337","3",39,765025,1308.4,623.5,"FL",1
"338","3",52,822151,1402.3,648.4,"FL",1
"339","3",49,892745,1410,505.9,"FL",1
"341","3",24,436283,1437.4,459.4,"FL",1
"342","3",48,886639,1345.9,569.4,"FL",1
"344","3",34,488927,1335.8,759.7,"FL",1
"346","3",33,733564,1311,671.7,"FL",1
"347","3",32,860200,1413.3,702.3,"FL",1
"349","3",22,503104,1546.7,595.7,"FL",1
"350","3",57,469618,853.3,1203.4,"AL",1
"351","3",42,344867,865,1205.4,"AL",1
"352","3",31,508432,849.9,1199.3,"AL",1
"354","3",34,252337,776.5,1158.4,"AL",1
"355","3",41,152447,769.5,1245.3,"AL",1
"356","3",37,391148,789.8,1327.9,"AL",1
"357","3",32,270589,857.8,1341.2,"AL",1
"358","3",11,210198,853.6,1337.7,"AL",1
"359","3",39,288780,913.3,1287.5,"AL",1
"360","3",57,299652,920.9,1070.1,"AL",1
"361","3",16,208767,912.5,1077.3,"AL",1
"362","3",28,183147,943.9,1224,"AL",1
"363","3",34,245862,988.1,965.4,"AL",1
"364","3",32,102146,864.3,957.7,"AL",1
"365","3",60,409266,771.9,877.1,"AL",1
"366","3",21,280818,746.8,874.6,"AL",1
"367","3",44,102073,810.3,1072.1,"AL",1
"368","3",27,286473,994.2,1112.9,"AL",1
"369","3",13,17596,727.1,1037.5,"AL",1
"370","3",64,1082167,815.2,1500.1,"TN",1
"371","3",47,759518,842.8,1480.2,"TN",1
"372","3",23,486862,819.8,1493.1,"TN",1
"373","3",77,610385,965.4,1412.1,"TN",1
"374","3",16,209822,970.8,1387.6,"TN",1
"376","3",33,420863,1206.8,1570.3,"TN",1
"377","3",48,356509,1082,1513.9,"TN",1
"378","3",58,547948,1089.3,1509.2,"TN",1
"379","3",19,434474,1070.1,1502,"TN",1
"380","3",50,432134,576.1,1389.6,"TN",1
"381","3",31,722592,548.3,1357.5,"TN",1
"382","3",28,112719,649.3,1498.4,"TN",1
"383","3",61,289313,662.6,1423.1,"TN",1
"384","3",34,190999,789.4,1410.2,"TN",1
"385","3",47,247168,948.9,1507.4,"TN",1
"386","3",53,423920,564.3,1310.6,"MS",1
"387","3",40,104688,477.3,1176.2,"MS",1
"388","3",41,258952,669.9,1283.5,"MS",1
"389","3",37,104225,561.3,1204.7,"MS",1
"390","3",36,283745,557.8,1056.1,"MS",1
"391","3",43,284221,528.4,1036.7,"MS",1
"392","3",17,219597,543.8,1043.4,"MS",1
"393","3",40,196050,670.3,1066.1,"MS",1
"394","3",36,378971,634.4,930.3,"MS",1
"395","3",28,410568,672.8,845,"MS",1
"396","3",26,128105,521.5,930.9,"MS",1
"397","3",30,168148,673.5,1187.1,"MS",1
"398","3",31,107770,1081,961.8,"GA",1
"400","4",49,273850,920.3,1728.9,"KY",1
"401","4",31,151757,871.7,1697.6,"KY",1
"402","4",34,772772,893.2,1733.1,"KY",1
"403","4",40,357159,1011.8,1729.2,"KY",1
"404","4",25,193336,1009.1,1680.6,"KY",1
"405","4",16,323443,999.6,1725.7,"KY",1
"406","4",1,52133,962.9,1745.6,"KY",1
"407","4",11,111325,1043.8,1612.1,"KY",1
"408","4",37,31995,1123,1612,"KY",1
"409","4",30,62382,1078.7,1609.5,"KY",1
"410","4",53,522059,984.5,1823.7,"KY",1
"411","4",27,133219,1130.4,1787.9,"KY",1
"412","4",29,48211,1154.1,1731.2,"KY",1
"413","4",19,32817,1093.2,1686.8,"KY",1
"414","4",6,23807,1114.2,1719.9,"KY",1
"415","4",38,61468,1184.3,1687.1,"KY",1
"416","4",34,36244,1156.6,1693.1,"KY",1
"417","4",33,39889,1120.5,1655.2,"KY",1
"418","4",33,26653,1151.4,1654.4,"KY",1
"420","4",48,222547,658.9,1564.1,"KY",1
"421","4",28,242324,858.3,1586.9,"KY",1
"422","4",30,155789,773.2,1572.3,"KY",1
"423","4",40,176507,778.7,1655.2,"KY",1
"424","4",28,130890,733.3,1640.3,"KY",1
"425","4",14,80473,998.8,1626.2,"KY",1
"426","4",12,62661,983.4,1589.5,"KY",1
"427","4",34,187480,895.6,1649.3,"KY",1
"430","4",62,899716,1102.2,1977.9,"OH",1
"431","4",46,445004,1105.9,1937.5,"OH",1
"432","4",30,847765,1097.7,1962,"OH",1
"433","4",40,181202,1060.7,2019.1,"OH",1
"434","4",43,161356,1049.3,2117.9,"OH",1
"435","4",53,305323,992.1,2119.8,"OH",1
"436","4",17,328632,1023.8,2140.5,"OH",1
"437","4",56,188209,1200.4,1964.8,"OH",1
"438","4",17,65572,1186.7,2003.6,"OH",1
"439","4",55,167923,1277.2,2024,"OH",1
"440","4",57,866589,1189.3,2147.3,"OH",1
"441","4",48,1199632,1183.5,2138.6,"OH",1
"442","4",44,575046,1197.4,2106.1,"OH",1
"443","4",18,264004,1201.4,2098.5,"OH",1
"444","4",52,334871,1264.6,2113.2,"OH",1
"445","4",13,154836,1272.2,2109.5,"OH",1
"446","4",72,456775,1208.2,2061.7,"OH",1
"447","4",14,191573,1216.8,2074.3,"OH",1
"448","4",56,330782,1102.6,2083.5,"OH",1
"449","4",7,93279,1123.7,2050.6,"OH",1
"450","4",33,635769,983.5,1881.2,"OH",1
"451","4",48,350446,1022.7,1857.7,"OH",1
"452","4",46,818955,982.8,1854.1,"OH",1
"453","4",77,500250,995.2,1938.6,"OH",1
"454","4",30,486235,1002.3,1920.3,"OH",1
"455","4",6,100018,1029.1,1947.2,"OH",1
"456","4",64,334305,1127.7,1846.5,"OH",1
"457","4",47,149453,1205.2,1902.9,"OH",1
"458","4",82,365921,989.3,2038.5,"OH",1
"460","4",44,603288,841.3,1937.2,"IN",1
"461","4",62,582130,831.5,1890,"IN",1
"462","4",38,986025,835.5,1907.1,"IN",1
"463","4",45,687743,725.6,2089.3,"IN",1
"464","4",9,124862,716.5,2093.2,"IN",1
"465","4",48,493172,825.2,2103.8,"IN",1
"466","4",11,147931,802.1,2115.6,"IN",1
"467","4",62,338251,897.1,2071.6,"IN",1
"468","4",16,330151,903.3,2061.5,"IN",1
"469","4",62,304425,833,2004.4,"IN",1
"470","4",29,117550,936.8,1847.6,"IN",1
"471","4",45,307281,874.2,1752.6,"IN",1
"472","4",33,217502,875.6,1829.3,"IN",1
"473","4",59,310621,909.6,1945.5,"IN",1
"474","4",43,261524,805.9,1821.3,"IN",1
"475","4",52,164169,771.3,1751.6,"IN",1
"476","4",26,128947,741.2,1704.7,"IN",1
"477","4",9,183242,733.7,1695.1,"IN",1
"478","4",49,182342,738.5,1859.3,"IN",1
"479","4",65,314372,759,1970.8,"IN",1
"480","4",69,1171359,1060.4,2252.4,"MI",1
"481","4",70,1638092,1024.1,2207.4,"MI",1
"482","4",39,855742,1051.2,2226.3,"MI",1
"483","4",51,1029419,1033.1,2249.4,"MI",1
"484","4",59,461606,1008.4,2294.8,"MI",1
"485","4",10,166590,994.6,2289.4,"MI",1
"486","4",51,391724,941.8,2359.6,"MI",1
"487","4",50,202818,987.2,2368,"MI",1
"488","4",79,642187,925.2,2269.8,"MI",1
"489","4",7,161419,928.1,2247.1,"MI",1
"490","4",79,752981,850.9,2183.1,"MI",1
"491","4",20,108171,794.9,2137.3,"MI",1
"492","4",58,348410,955.8,2181.9,"MI",1
"493","4",42,353477,843.3,2281.8,"MI",1
"494","4",50,600667,800.8,2273.8,"MI",1
"495","4",14,434060,838.2,2261.5,"MI",1
"496","4",67,277984,824.1,2441.5,"MI",1
"497","4",66,224413,900.1,2547,"MI",1
"498","4",65,177431,669.8,2596.8,"MI",1
"499","4",46,78756,546.6,2667.5,"MI",1
"500","5",63,266638,189.4,2087.8,"IA",1
"501","5",69,191617,214.1,2079.9,"IA",1
"502","5",64,244425,195.7,2069,"IA",1
"503","5",17,305837,194.5,2068.5,"IA",1
"504","5",55,102140,217.8,2243.5,"IA",1
"505","5",74,121468,130.8,2187,"IA",1
"506","5",68,169599,290.8,2186.6,"IA",1
"507","5",4,76874,301,2169,"IA",1
"508","5",28,31837,124.5,2000.5,"IA",1
"510","5",55,88313,1,2184.5,"IA",1
"511","5",8,89446,-30.8,2168,"IA",1
"512","5",20,46686,-6.5,2248.7,"IA",1
"513","5",23,47002,72.5,2255.5,"IA",1
"514","5",32,46978,75.6,2122.2,"IA",1
"515","5",54,147157,25.4,2033,"IA",1
"516","5",20,22642,58.4,1970.9,"IA",1
"520","5",44,145906,421.3,2175.5,"IA",1
"521","5",32,57349,345.2,2254.7,"IA",1
"522","5",47,179927,362.5,2094.4,"IA",1
"523","5",53,172984,355.4,2107.3,"IA",1
"524","5",6,145125,356,2116.5,"IA",1
"525","5",50,110255,296.3,2005.6,"IA",1
"526","5",34,101989,389.1,1987.4,"IA",1
"527","5",44,174654,439.5,2081.6,"IA",1
"528","5",6,104187,446.2,2074,"IA",1
"530","5",75,661962,631.1,2289.8,"WI",1
"531","5",55,697740,637.9,2225.6,"WI",1
"532","5",30,805414,650.4,2256.1,"WI",1
"534","5",5,128061,664.3,2222.5,"WI",1
"535","5",81,584416,538.4,2234.3,"WI",1
"537","5",14,308529,534.7,2249,"WI",1
"538","5",21,59929,432.5,2217,"WI",1
"539","5",48,204054,525.9,2306.9,"WI",1
"540","5",24,158345,270.8,2454.1,"WI",1
"541","5",54,266935,617.3,2433.4,"WI",1
"542","5",27,131357,664.8,2408.5,"WI",1
"543","5",7,187864,632.3,2418.6,"WI",1
"544","5",77,391455,490.5,2439.5,"WI",1
"545","5",45,92425,492.3,2555.6,"WI",1
"546","5",53,256071,399.8,2334.1,"WI",1
"547","5",49,273772,352.6,2437,"WI",1
"548","5",62,184910,328.4,2567.4,"WI",1
"549","5",56,500483,589.5,2372.8,"WI",1
"550","5",69,717213,232.4,2440.1,"MN",1
"551","5",32,825004,229.1,2443.6,"MN",1
"553","5",86,1054753,188,2450.6,"MN",1
"554","5",51,1141314,212.1,2448.5,"MN",1
"556","5",13,16415,361.6,2732.8,"MN",1
"557","5",69,167715,244.3,2691.5,"MN",1
"558","5",11,118413,296.5,2656.5,"MN",1
"559","5",71,346486,291.3,2335.6,"MN",1
"560","5",71,268839,163.3,2348.2,"MN",1
"561","5",66,90605,29.2,2318.3,"MN",1
"562","5",74,143899,39.7,2444.8,"MN",1
"563","5",70,323577,119.2,2524.5,"MN",1
"564","5",39,151024,119.8,2617.6,"MN",1
"565","5",71,181359,-14.1,2640.3,"MN",1
"566","5",48,91757,109.8,2745.8,"MN",1
"567","5",40,68658,-24.3,2804.1,"MN",1
"570","5",69,189277,-75.9,2276.5,"SD",1
"571","5",9,199599,-59.3,2282.4,"SD",1
"572","5",56,73347,-85.6,2447.3,"SD",1
"573","5",60,83087,-185.7,2319.2,"SD",1
"574","5",49,60620,-207.6,2494.7,"SD",1
"575","5",43,52132,-356.4,2333.6,"SD",1
"576","5",32,20310,-400.2,2501.1,"SD",1
"577","5",57,206436,-581.3,2367.8,"SD",1
"580","5",60,95026,-86.6,2638.5,"ND",1
"581","5",4,128195,-63.6,2651.4,"ND",1
"582","5",58,101624,-98.9,2780.3,"ND",1
"583","5",50,46724,-257.7,2823.4,"ND",1
"584","5",62,46899,-218.4,2651.7,"ND",1
"585","5",45,158269,-370.9,2659.4,"ND",1
"586","5",31,50814,-524.1,2668.3,"ND",1
"587","5",63,97778,-412.4,2818.1,"ND",1
"588","5",15,53114,-568.7,2818.8,"ND",1
"590","5",72,87410,-1005.2,2593,"MT",1
"591","5",4,143646,-971.2,2594.2,"MT",1
"592","5",41,38250,-686.8,2820.2,"MT",1
"593","5",30,34379,-728.3,2648.8,"MT",1
"594","5",61,133271,-1158.6,2832.8,"MT",1
