"date","city","county","state","postal","lat","long","fips","candidate","event_type","notes"
2024-09-25,"Mint Hill","Mecklenburg","North Carolina","NC",35.1772167,-80.6936886,"37119","Trump","Campaign","Trump event"
2024-09-25,"Traverse City","Grand Traverse","Michigan","MI",44.748911,-85.646207,"26055","Vance","Campaign","Vance rally"
2024-09-27,"Douglas","Cochise","Arizona","AZ",31.4017372,-109.6282452,"04003","Harris","Campaign","Harris visit to U.S.-Mexico border"
2024-09-27,"Walker","Kent","Michigan","MI",42.9708694,-85.8072953,"26081","Trump","Campaign","Trump event"
2024-09-27,"Warren","Macomb","Michigan","MI",42.4927979,-83.0682988,"26099","Trump","Campaign","Trump town hall"
2024-09-28,"Prairie du Chien","Crawford","Wisconsin","WI",43.0461814,-91.210145,"55023","Trump","Campaign","Trump remarks"
2024-09-28,"Newtown","Bucks","Pennsylvania","PA",40.2294174,-74.9421847,"42017","Vance","Campaign","Vance rally"
2024-09-28,"Monroeville","Allegheny","Pennsylvania","PA",40.4243146,-79.8029538,"42003","Vance","Campaign","Vance town hall"
2024-09-29,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Harris","Campaign","Harris event"
2024-09-29,"Erie","Erie","Pennsylvania","PA",42.1153771,-80.1121465,"42049","Trump","Campaign","Trump rally"
2024-10-01,"Waunakee","Dane","Wisconsin","WI",43.1830079,-89.4500249,"55025","Trump","Campaign","Trump event"
2024-10-01,"Milwaukee","Milwaukee","Wisconsin","WI",43.0642,-87.9673,"55079","Trump","Campaign","Trump event"
2024-10-02,"Harrisburg","Dauphin","Pennsylvania","PA",40.2745727,-76.8994227,"42043","Walz","Campaign","Bus tour stop"
2024-10-02,"York","York","Pennsylvania","PA",39.9669437,-76.751489,"42133","Walz","Campaign","Bus tour stop"
2024-10-02,"Reading","Berks","Pennsylvania","PA",40.3337602,-75.9665859,"42011","Walz","Campaign","Bus tour stop"
2024-10-02,"Auburn Hills","Oakland","Michigan","MI",42.664726,-83.3103683,"26125","Vance","Campaign","Vance event"
2024-10-02,"Marne","Ottawa","Michigan","MI",43.0400744,-85.8381344,"26139","Vance","Campaign","Vance event"
2024-10-03,"Ripon","Fond du Lac","Wisconsin","WI",43.8402581,-88.8640509,"55039","Harris","Campaign","Harris event"
2024-10-03,"Saginaw","Saginaw","Michigan","MI",43.4199,-83.9501,"26145","Trump","Campaign","Trump rally"
2024-10-04,"Redford","Wayne","Michigan","MI",42.4233583,-83.2989044,"26163","Harris","Campaign","Harris event (visits firefighters)"
2024-10-04,"Flint","Genesee","Michigan","MI",43.0124563,-83.7789869,"26049","Harris","Campaign","Harris event"
2024-10-04,"Fayetteville","Cumberland","North Carolina","NC",35.0901356,-79.0381627,"37051","Trump","Campaign","Trump town hall"
2024-10-04,"Lindale","Floyd","Georgia","GA",34.1942516,-85.202726,"13115","Vance","Campaign","Vance immigration event"
2024-10-05,"Butler","Butler","Pennsylvania","PA",40.8635399,-79.9055362,"42019","Trump","Campaign","Campaign rally at same site where July shooting happened"
2024-10-06,"Juneau","Dodge","Wisconsin","WI",43.4010931,-88.7249695,"55027","Trump","Campaign","Trump rally"
2024-10-08,"Reno","Washoe","Nevada","NV",39.5497,-119.8483,"32031","Walz","Campaign","Walz rally "
2024-10-08,"Detroit","Wayne","Michigan","MI",42.3266374,-83.0503179,"26163","Vance","Campaign","Vance event"
2024-10-09,"Chandler","Maricopa","Arizona","AZ",33.2827,-111.8517,"04013","Walz","Campaign","Walz veterans and military families event "
2024-10-09,"Phoenix","Maricopa","Arizona","AZ",33.5722,-112.0891,"04013","Walz","Campaign","Walz  event with tribal leaders"
2024-10-09,"Tucson","Pima","Arizona","AZ",32.1558028,-111.0489548,"04019","Walz","Campaign","Walz rally "
2024-10-09,"Scranton","Lackawanna","Pennsylvania","PA",41.4044,-75.6649,"42069","Trump","Campaign","Trump event"
2024-10-09,"Reading","Berks","Pennsylvania","PA",40.3337602,-75.9665859,"42011","Trump","Campaign","Trump event"
2024-10-10,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Harris","Campaign","Harris Univision town hall"
2024-10-10,"Detroit","Wayne","Michigan","MI",42.3266374,-83.0503179,"26163","Trump","Campaign","Trump speaks to Detroit Economic Club"
2024-10-10,"Greensboro","Guilford","North Carolina","NC",36.1002311,-79.9159503,"37081","Vance","Campaign","Vance town hall"
2024-10-10,"Chandler","Maricopa","Arizona","AZ",33.2827,-111.8517,"04013","Harris","Campaign","Harris campaign rally at Rawhide Western Town & Event Center"
2024-10-11,"Aurora","Arapahoe","Colorado","CO",39.6889822,-104.8519828,"08005","Trump","Campaign","Trump event in Aurora"
