"series","rank","value","who"
"surnames",103685,185,"OGUNLADE"
"surnames",107647,176,"DUMENIGO"
"surnames",111760,168,"MIREAU"
"surnames",116030,160,"NARDOZZA"
"surnames",120464,152,"KROPA"
"surnames",125067,145,"WITSKEN"
"surnames",129845,137,"DOMSKI"
"surnames",134806,130,"DORSAINT"
"surnames",139957,123,"DOCCHIO"
"surnames",145305,116,"HELLMUND"
"surnames",150857,109,"TOMOOKA"
"surnames",156621,92,"DREWNO"
"counties",1,10014009,"Los Angeles, California"
"counties",2,5275541,"Cook, Illinois"
"counties",3,4731145,"Harris, Texas"
"counties",4,4420568,"Maricopa, Arizona"
"counties",5,3298634,"San Diego, California"
"counties",6,3186989,"Orange, California"
"counties",7,2736074,"Kings, New York"
"counties",8,2701767,"Miami-Dade, Florida"
"counties",9,2613539,"Dallas, Texas"
"counties",10,2418185,"Riverside, California"
"counties",11,2405464,"Queens, New York"
"counties",12,2269675,"King, Washington"
"counties",13,2265461,"Clark, Nevada"
"counties",14,2181654,"San Bernardino, California"
"counties",15,2110640,"Tarrant, Texas"
"counties",16,2009324,"Bexar, Texas"
"counties",17,1944375,"Broward, Florida"
"counties",18,1936259,"Santa Clara, California"
"counties",19,1793561,"Wayne, Michigan"
"counties",20,1694251,"New York, New York"
"counties",21,1682353,"Alameda, California"
"counties",22,1632002,"Middlesex, Massachusetts"
"counties",23,1603797,"Philadelphia, Pennsylvania"
"counties",24,1585055,"Sacramento, California"
"counties",25,1525920,"Suffolk, New York"
"counties",26,1492191,"Palm Beach, Florida"
"counties",27,1472654,"Bronx, New York"
"counties",28,1459762,"Hillsborough, Florida"
"counties",29,1429908,"Orange, Florida"
"counties",30,1395774,"Nassau, New York"
"counties",31,1323807,"Franklin, Ohio"
"counties",32,1290188,"Travis, Texas"
"counties",33,1281565,"Hennepin, Minnesota"
"counties",34,1274395,"Oakland, Michigan"
"counties",35,1264817,"Cuyahoga, Ohio"
"counties",36,1250578,"Allegheny, Pennsylvania"
"counties",37,1185238,"Salt Lake, Utah"
"counties",38,1165927,"Contra Costa, California"
"counties",39,1150309,"Fairfax, Virginia"
"counties",40,1129410,"Wake, North Carolina"
"counties",41,1115482,"Mecklenburg, North Carolina"
"counties",42,1066710,"Fulton, Georgia"
