"SUMLVL","LEVEL","S203_GEOID","ST","CNTY","NAMELSAD","LANGUAGE","VACIT","MVACIT","VACLEP","MVACLEP","ILLIT","MILLIT","LEPPCT","MLEPPCT","ILLRAT","MILLRAT","FLAG10","FLAG5","FLAG_EDU","FLAG_AIAN","FLAG_ANRC","FLAG_COV"
"050","County","0500000US02185","02","185","North Slope Borough","Total Population",6964,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02185","02","185","North Slope Borough","Inupiat alone or in combination",2882,915,319,112,16,9,4.6,1.6,5,2.7,0,0,1,1,1,1
"050","County","0500000US02188","02","188","Northwest Arctic Borough","Total Population",4945,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02188","02","188","Northwest Arctic Borough","Inupiat alone or in combination",3837,1214,190,64,16,11,3.8,1.3,8.4,5.1,0,0,1,1,0,1
"050","County","0500000US02290","02","290","Yukon-Koyukuk Census Area","Total Population",3851,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US02290","02","290","Yukon-Koyukuk Census Area","Inupiat alone or in combination",53,21,2,1,0,0,0.1,0,0,7.6,0,0,0,0,1,1
"050","County","0500000US04001","04","001","Apache County","Total Population",51470,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04001","04","001","Apache County","Navajo alone or in combination",36370,218,9537,213,1495,93,18.5,0.4,15.7,0.9,0,1,1,1,0,1
"050","County","0500000US04001","04","001","Apache County","Pueblo alone or in combination",107,32,3,1,0,0,0,0,0,1.5,0,0,0,1,0,1
"050","County","0500000US04005","04","005","Coconino County","Total Population",108600,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04005","04","005","Coconino County","Hopi alone or in combination",2013,300,156,58,4,2,0.1,0.1,2.6,1.1,0,0,1,1,0,1
"050","County","0500000US04005","04","005","Coconino County","Navajo alone or in combination",23110,425,3428,156,771,75,3.2,0.1,22.5,1.9,0,0,1,1,0,1
"050","County","0500000US04005","04","005","Coconino County","Paiute alone or in combination",54,25,1,1,0,0,0,0,0,5.6,0,0,0,1,0,1
"050","County","0500000US04007","04","007","Gila County","Total Population",41950,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04007","04","007","Gila County","Apache alone or in combination",4913,184,559,85,29,15,1.3,0.2,5.2,2.6,0,0,1,1,0,1
"050","County","0500000US04009","04","009","Graham County","Total Population",27020,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04009","04","009","Graham County","Apache alone or in combination",2965,107,252,45,6,3,0.9,0.2,2.4,1,0,0,1,1,0,1
"050","County","0500000US04013","04","013","Maricopa County","Total Population",2934000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04013","04","013","Maricopa County","Hispanic",644800,1778,81890,1162,10040,421,2.8,0,12.3,0.5,1,0,1,0,0,1
"050","County","0500000US04015","04","015","Mohave County","Total Population",165700,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04015","04","015","Mohave County","Paiute alone or in combination",144,31,13,19,2,2,0,0,15.4,5.6,0,0,1,1,0,1
"050","County","0500000US04017","04","017","Navajo County","Total Population",78210,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04017","04","017","Navajo County","Hopi alone or in combination",5113,275,815,101,19,8,1,0.1,2.3,1.1,0,0,1,1,0,1
"050","County","0500000US04017","04","017","Navajo County","Navajo alone or in combination",19930,362,4554,164,848,68,5.8,0.2,18.6,1.3,0,1,1,1,0,1
"050","County","0500000US04019","04","019","Pima County","Total Population",746500,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04019","04","019","Pima County","Hispanic",222300,800,27240,639,2491,207,3.6,0.1,9.1,0.7,1,0,1,0,0,1
"050","County","0500000US04021","04","021","Pinal County","Total Population",312500,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04021","04","021","Pinal County","Apache alone or in combination",587,233,12,6,1,1,0,0,8.3,1.7,0,0,1,1,0,1
"050","County","0500000US04023","04","023","Santa Cruz County","Total Population",27520,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04023","04","023","Santa Cruz County","Hispanic",20990,291,6031,290,542,89,21.9,1.1,9,1.4,0,1,1,0,0,1
"050","County","0500000US04027","04","027","Yuma County","Total Population",127400,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US04027","04","027","Yuma County","Hispanic",66360,578,15310,484,1996,185,12,0.4,13,1.1,1,1,1,0,0,1
"050","County","0500000US06001","06","001","Alameda County","Total Population",1084000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06001","06","001","Alameda County","Hispanic",183000,910,29330,604,3479,230,2.7,0.1,11.9,0.7,1,0,1,0,0,1
"050","County","0500000US06001","06","001","Alameda County","Chinese (including Taiwanese) alone or in combination",126300,1540,50270,871,4593,242,4.6,0.1,9.1,0.5,1,0,1,0,0,1
"050","County","0500000US06001","06","001","Alameda County","Filipino alone or in combination",71190,1562,11290,439,402,71,1,0,3.6,0.6,1,0,1,0,0,1
"050","County","0500000US06001","06","001","Alameda County","Vietnamese alone or in combination",27630,1094,12380,576,1420,148,1.1,0.1,11.5,1.1,1,0,1,0,0,1
"050","County","0500000US06011","06","011","Colusa County","Total Population",12370,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06011","06","011","Colusa County","Hispanic",5244,163,1438,127,312,56,11.6,1,21.7,3.5,0,1,1,0,0,1
"050","County","0500000US06013","06","013","Contra Costa County","Total Population",761000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06013","06","013","Contra Costa County","Hispanic",137300,906,25780,638,3018,235,3.4,0.1,11.7,0.9,1,0,1,0,0,1
"050","County","0500000US06013","06","013","Contra Costa County","Chinese (including Taiwanese) alone or in combination",39630,982,11360,437,781,105,1.5,0.1,6.9,0.9,1,0,1,0,0,1
"050","County","0500000US06019","06","019","Fresno County","Total Population",588900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06019","06","019","Fresno County","Hispanic",249000,1039,38130,741,6640,324,6.5,0.1,17.4,0.8,1,1,1,0,0,1
"050","County","0500000US06021","06","021","Glenn County","Total Population",17300,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06021","06","021","Glenn County","Hispanic",4762,169,971,110,264,53,5.6,0.6,27.2,4.7,0,1,1,0,0,1
"050","County","0500000US06025","06","025","Imperial County","Total Population",103900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06025","06","025","Imperial County","Hispanic",81100,556,26760,578,3620,234,25.8,0.6,13.5,0.8,1,1,1,0,0,1
"050","County","0500000US06029","06","029","Kern County","Total Population",521900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06029","06","029","Kern County","Hispanic",211600,1089,37760,761,5877,315,7.2,0.1,15.6,0.8,1,1,1,0,0,1
"050","County","0500000US06031","06","031","Kings County","Total Population",93190,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06031","06","031","Kings County","Hispanic",39970,376,9773,319,1312,126,10.5,0.3,13.4,1.2,0,1,1,0,0,1
"050","County","0500000US06037","06","037","Los Angeles County","Total Population",6319000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06037","06","037","Los Angeles County","Hispanic",2452000,3268,554700,2489,98100,1138,8.8,0,17.7,0.2,1,1,1,0,0,1
"050","County","0500000US06037","06","037","Los Angeles County","Cambodian alone or in combination",25970,865,11130,470,4518,264,0.2,0,40.6,1.7,1,0,1,0,0,1
"050","County","0500000US06037","06","037","Los Angeles County","Chinese (including Taiwanese) alone or in combination",328000,2382,141500,1421,17350,464,2.2,0,12.3,0.3,1,0,1,0,0,1
"050","County","0500000US06037","06","037","Los Angeles County","Filipino alone or in combination",266500,2617,49680,838,1999,155,0.8,0,4,0.3,1,0,1,0,0,1
"050","County","0500000US06037","06","037","Los Angeles County","Korean alone or in combination",136800,1876,61860,1087,1917,158,1,0,3.1,0.3,1,0,1,0,0,1
"050","County","0500000US06037","06","037","Los Angeles County","Vietnamese alone or in combination",81200,1528,40240,891,7306,304,0.6,0,18.2,0.6,1,0,1,0,0,1
"050","County","0500000US06039","06","039","Madera County","Total Population",91910,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06039","06","039","Madera County","Hispanic",38710,490,6770,331,1163,136,7.4,0.4,17.2,1.8,0,1,1,0,0,1
"050","County","0500000US06047","06","047","Merced County","Total Population",150200,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06047","06","047","Merced County","Hispanic",69140,627,14190,450,2557,201,9.4,0.3,18,1.3,1,1,1,0,0,1
"050","County","0500000US06053","06","053","Monterey County","Total Population",231900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06053","06","053","Monterey County","Hispanic",88750,807,16450,481,3024,213,7.1,0.2,18.4,1.2,1,1,1,0,0,1
"050","County","0500000US06055","06","055","Napa County","Total Population",95560,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06055","06","055","Napa County","Hispanic",20860,335,5749,265,1005,115,6,0.3,17.5,1.8,0,1,1,0,0,1
"050","County","0500000US06059","06","059","Orange County","Total Population",2060000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06059","06","059","Orange County","Hispanic",507900,1599,88030,1121,13800,457,4.3,0.1,15.7,0.5,1,0,1,0,0,1
"050","County","0500000US06059","06","059","Orange County","Chinese (including Taiwanese) alone or in combination",83530,1630,25480,701,1444,143,1.2,0,5.7,0.5,1,0,1,0,0,1
"050","County","0500000US06059","06","059","Orange County","Korean alone or in combination",55450,1180,22590,653,616,94,1.1,0,2.7,0.4,1,0,1,0,0,1
"050","County","0500000US06059","06","059","Orange County","Vietnamese alone or in combination",155400,2151,84640,1359,9403,363,4.1,0.1,11.1,0.4,1,0,1,0,0,1
"050","County","0500000US06065","06","065","Riverside County","Total Population",1556000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06065","06","065","Riverside County","Hispanic",611500,1567,122300,1320,16210,516,7.9,0.1,13.3,0.4,1,1,1,0,0,1
"050","County","0500000US06067","06","067","Sacramento County","Total Population",1042000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06067","06","067","Sacramento County","Hispanic",186300,806,23230,577,3095,221,2.2,0.1,13.3,0.9,1,0,1,0,0,1
"050","County","0500000US06067","06","067","Sacramento County","Chinese (including Taiwanese) alone or in combination",38890,959,15310,523,2956,203,1.5,0.1,19.3,1.2,1,0,1,0,0,1
"050","County","0500000US06067","06","067","Sacramento County","Vietnamese alone or in combination",21100,879,10670,513,1820,169,1,0,17.1,1.3,1,0,1,0,0,1
"050","County","0500000US06069","06","069","San Benito County","Total Population",38330,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06069","06","069","San Benito County","Hispanic",19080,258,3048,197,618,89,8,0.5,20.3,2.7,0,1,1,0,0,1
"050","County","0500000US06071","06","071","San Bernardino County","Total Population",1364000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06071","06","071","San Bernardino County","Hispanic",614700,1512,96890,1233,12520,460,7.1,0.1,12.9,0.4,1,1,1,0,0,1
"050","County","0500000US06073","06","073","San Diego County","Total Population",2266000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06073","06","073","San Diego County","Hispanic",588300,1607,103400,1241,14540,484,4.6,0.1,14.1,0.4,1,0,1,0,0,1
"050","County","0500000US06073","06","073","San Diego County","Chinese (including Taiwanese) alone or in combination",49490,1149,13020,484,1386,148,0.6,0,10.6,1.1,1,0,1,0,0,1
"050","County","0500000US06073","06","073","San Diego County","Filipino alone or in combination",135700,1808,22980,625,1199,135,1,0,5.2,0.6,1,0,1,0,0,1
"050","County","0500000US06073","06","073","San Diego County","Vietnamese alone or in combination",39970,1098,19290,658,2731,208,0.9,0,14.2,1,1,0,1,0,0,1
"050","County","0500000US06075","06","075","San Francisco County","Total Population",652400,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06075","06","075","San Francisco County","Hispanic",78580,584,12770,449,1578,158,2,0.1,12.4,1.2,1,0,1,0,0,1
"050","County","0500000US06075","06","075","San Francisco County","Chinese (including Taiwanese) alone or in combination",148200,1653,70290,1083,11500,421,10.8,0.2,16.4,0.5,1,1,1,0,0,1
"050","County","0500000US06077","06","077","San Joaquin County","Total Population",459000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06077","06","077","San Joaquin County","Hispanic",145000,772,22990,552,3830,239,5,0.1,16.7,1,1,1,1,0,0,1
"050","County","0500000US06081","06","081","San Mateo County","Total Population",501500,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06081","06","081","San Mateo County","Hispanic",89380,736,18650,535,2547,202,3.7,0.1,13.7,1,1,0,1,0,0,1
"050","County","0500000US06081","06","081","San Mateo County","Chinese (including Taiwanese) alone or in combination",66360,1034,20390,527,1784,154,4.1,0.1,8.8,0.7,1,0,1,0,0,1
"050","County","0500000US06081","06","081","San Mateo County","Filipino alone or in combination",55710,1055,11170,416,293,62,2.2,0.1,2.6,0.5,1,0,1,0,0,1
"050","County","0500000US06083","06","083","Santa Barbara County","Total Population",281900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06083","06","083","Santa Barbara County","Hispanic",85090,749,15300,475,2758,211,5.4,0.2,18,1.2,1,1,1,0,0,1
"050","County","0500000US06085","06","085","Santa Clara County","Total Population",1175000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06085","06","085","Santa Clara County","Hispanic",243200,1021,38770,743,5575,296,3.3,0.1,14.4,0.7,1,0,1,0,0,1
"050","County","0500000US06085","06","085","Santa Clara County","Chinese (including Taiwanese) alone or in combination",124300,1626,42630,814,2940,189,3.6,0.1,6.9,0.4,1,0,1,0,0,1
"050","County","0500000US06085","06","085","Santa Clara County","Filipino alone or in combination",73220,1813,14770,529,736,96,1.3,0,5,0.6,1,0,1,0,0,1
"050","County","0500000US06085","06","085","Santa Clara County","Vietnamese alone or in combination",100700,1729,57530,1136,6172,284,4.9,0.1,10.7,0.4,1,0,1,0,0,1
"050","County","0500000US06097","06","097","Sonoma County","Total Population",357300,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06097","06","097","Sonoma County","Hispanic",58250,629,12300,445,2160,199,3.4,0.1,17.6,1.5,1,0,1,0,0,1
"050","County","0500000US06099","06","099","Stanislaus County","Total Population",339400,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06099","06","099","Stanislaus County","Hispanic",119000,772,21050,563,3321,230,6.2,0.2,15.8,1,1,1,1,0,0,1
"050","County","0500000US06107","06","107","Tulare County","Total Population",256900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06107","06","107","Tulare County","Hispanic",131300,817,36290,688,4520,259,14.1,0.3,12.5,0.7,1,1,1,0,0,1
"050","County","0500000US06111","06","111","Ventura County","Total Population",563200,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US06111","06","111","Ventura County","Hispanic",180600,880,35370,688,5131,276,6.3,0.1,14.5,0.7,1,1,1,0,0,1
"050","County","0500000US08001","08","001","Adams County","Total Population",323000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US08001","08","001","Adams County","Hispanic",94110,728,10340,429,1111,139,3.2,0.1,10.7,1.3,1,0,1,0,0,1
"050","County","0500000US08003","08","003","Alamosa County","Total Population",11370,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US08003","08","003","Alamosa County","Hispanic",4588,94,654,84,43,14,5.8,0.7,6.6,2,0,1,1,0,0,1
"050","County","0500000US08021","08","021","Conejos County","Total Population",5900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US08021","08","021","Conejos County","Hispanic",3178,20,304,38,10,4,5.2,0.6,3.3,1.3,0,1,1,0,0,1
"050","County","0500000US08023","08","023","Costilla County","Total Population",2861,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US08023","08","023","Costilla County","Hispanic",1601,38,295,41,21,7,10.3,1.4,7.1,2.3,0,1,1,0,0,1
"050","County","0500000US08031","08","031","Denver County","Total Population",505900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US08031","08","031","Denver County","Hispanic",103600,756,12280,487,1509,167,2.4,0.1,12.3,1.3,1,0,1,0,0,1
"050","County","0500000US08067","08","067","La Plata County","Total Population",44420,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US08067","08","067","La Plata County","Ute alone or in combination",822,85,22,21,1,1,0,0,4.5,3.5,0,0,1,1,0,1
"050","County","0500000US08083","08","083","Montezuma County","Total Population",19950,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US08083","08","083","Montezuma County","Ute alone or in combination",890,118,76,27,5,3,0.4,0.1,6.6,3.6,0,0,1,1,0,1
"050","County","0500000US08109","08","109","Saguache County","Total Population",4779,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US08109","08","109","Saguache County","Hispanic",1442,40,251,38,16,6,5.3,0.8,6.4,2.2,0,1,1,0,0,1
"050","County","0500000US12011","12","011","Broward County","Total Population",1277000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12011","12","011","Broward County","Hispanic",327400,1302,93800,1204,5287,327,7.3,0.1,5.6,0.3,1,1,1,0,0,1
"050","County","0500000US12021","12","021","Collier County","Total Population",259900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12021","12","021","Collier County","Hispanic",40760,663,12210,499,1052,151,4.7,0.2,8.6,1.2,1,0,1,0,0,1
"050","County","0500000US12027","12","027","DeSoto County","Total Population",25900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12027","12","027","DeSoto County","Hispanic",5079,204,1670,162,177,52,6.4,0.6,10.6,2.9,0,1,1,0,0,1
"050","County","0500000US12043","12","043","Glades County","Total Population",10440,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12043","12","043","Glades County","Seminole alone or in combination",270,31,13,11,2,2,0.1,0.1,15.4,4,0,0,1,1,0,1
"050","County","0500000US12049","12","049","Hardee County","Total Population",18390,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12049","12","049","Hardee County","Hispanic",6133,140,1763,145,198,48,9.6,0.8,11.2,2.6,0,1,1,0,0,1
"050","County","0500000US12051","12","051","Hendry County","Total Population",22900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12051","12","051","Hendry County","Hispanic",8801,309,2480,216,333,81,10.8,1,13.4,3.1,0,1,1,0,0,1
"050","County","0500000US12057","12","057","Hillsborough County","Total Population",989700,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12057","12","057","Hillsborough County","Hispanic",225100,1005,56940,911,4168,277,5.8,0.1,7.3,0.5,1,1,1,0,0,1
"050","County","0500000US12071","12","071","Lee County","Total Population",548200,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12071","12","071","Lee County","Hispanic",74480,724,21170,602,1564,179,3.9,0.1,7.4,0.8,1,0,1,0,0,1
"050","County","0500000US12086","12","086","Miami-Dade County","Total Population",1592000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12086","12","086","Miami-Dade County","Hispanic",1029000,2430,406300,2341,29820,746,25.5,0.2,7.3,0.2,1,1,1,0,0,1
"050","County","0500000US12095","12","095","Orange County","Total Population",922700,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12095","12","095","Orange County","Hispanic",255700,1044,72320,1133,4337,320,7.8,0.1,6,0.4,1,1,1,0,0,1
"050","County","0500000US12097","12","097","Osceola County","Total Population",234000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12097","12","097","Osceola County","Hispanic",117400,723,38530,918,1808,223,16.5,0.4,4.7,0.6,1,1,1,0,0,1
"050","County","0500000US12099","12","099","Palm Beach County","Total Population",1027000,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12099","12","099","Palm Beach County","Hispanic",159500,1009,43810,813,3959,270,4.3,0.1,9,0.6,1,0,1,0,0,1
"050","County","0500000US12103","12","103","Pinellas County","Total Population",762400,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12103","12","103","Pinellas County","Hispanic",54800,431,10580,395,625,97,1.4,0.1,5.9,0.9,1,0,1,0,0,1
"050","County","0500000US12105","12","105","Polk County","Total Population",499700,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12105","12","105","Polk County","Hispanic",85390,573,23040,611,1924,195,4.6,0.1,8.4,0.8,1,0,1,0,0,1
"050","County","0500000US12117","12","117","Seminole County","Total Population",341500,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US12117","12","117","Seminole County","Hispanic",64200,402,12110,456,647,107,3.5,0.1,5.3,0.9,1,0,1,0,0,1
"050","County","0500000US13135","13","135","Gwinnett County","Total Population",548900,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US13135","13","135","Gwinnett County","Hispanic",55620,886,14250,570,1191,164,2.6,0.1,8.4,1.1,1,0,1,0,0,1
"050","County","0500000US15003","15","003","Honolulu County","Total Population",705800,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"050","County","0500000US15003","15","003","Honolulu County","Chinese (including Taiwanese) alone or in combination",109600,1599,13450,406,1679,135,1.9,0.1,12.5,0.9,1,0,1,0,0,1
"050","County","0500000US15003","15","003","Honolulu County","Filipino alone or in combination",156200,1869,27900,625,1946,151,4,0.1,7,0.5,1,0,1,0,0,1
