"fips","county","state","total","one_race","white","black","aian","asian","nhpi","other_race","two_or_more","hispanic","not_hispanic","nh_white","nh_black","nh_aian","nh_asian","nh_nhpi","nh_other","nh_two","gq_total","gq_correctional","gq_juvenile","gq_nursing","gq_college","gq_military"
"36053","Madison County","New York",68016,64297,61504,1120,466,679,11,517,3719,1673,66343,60965,1071,435,664,11,187,3010,4956,80,10,315,4316,0
"36055","Monroe County","New York",759443,705359,521127,118879,2094,32630,270,30359,54084,72745,686698,506153,112710,1320,32294,181,2958,31082,27647,1108,279,5116,15686,0
"36057","Montgomery County","New York",49532,45079,40209,1267,159,489,20,2935,4453,7312,42220,38237,987,83,479,9,210,2215,1221,95,14,591,0,0
"36059","Nassau County","New York",1395774,1278463,817196,153274,6219,164201,435,137138,117311,256425,1139349,779454,147216,1714,163165,292,11780,35728,21725,577,165,6895,7171,35
"36061","New York County","New York",1694251,1518810,847604,229361,9969,221995,1795,208086,175441,402640,1291611,793294,199592,1895,219624,882,13335,62989,77535,2273,119,4698,36507,0
"36063","Niagara County","New York",212666,200302,175821,16740,2428,2459,47,2807,12364,7818,204848,173691,16206,2294,2439,45,737,9436,3900,278,29,1321,1354,0
"36065","Oneida County","New York",232125,218604,185042,16184,692,10626,93,5967,13521,15191,216934,180984,14989,508,10522,72,729,9130,11995,3981,164,2489,3957,0
"36067","Onondaga County","New York",476516,443829,353232,56947,3364,20235,138,9913,32687,26572,449944,347290,54410,2940,20119,106,1955,23124,19871,576,95,4438,12011,0
"36069","Ontario County","New York",112458,105861,98880,2662,265,1383,24,2647,6597,6113,106345,97397,2439,197,1374,23,418,4497,4002,99,15,764,2106,0
"36071","Orange County","New York",401310,360810,248085,45543,2949,12025,185,52023,40500,89744,311566,231848,41341,754,11665,104,12012,13842,13732,1883,163,1145,4450,1250
"36073","Orleans County","New York",40343,37906,34643,1951,223,154,13,922,2437,2087,38256,34037,1840,177,154,12,141,1895,2134,1493,0,176,0,0
"36075","Oswego County","New York",117525,111261,107264,1584,508,871,31,1003,6264,3616,113909,105710,1370,457,870,19,302,5181,4703,88,0,536,3816,0
"36077","Otsego County","New York",58524,55396,52403,1286,121,827,11,748,3128,2392,56132,51490,1189,109,813,7,180,2344,5799,0,14,286,4578,0
"36079","Putnam County","New York",97668,88221,75406,2828,425,2225,25,7312,9447,17760,79908,71942,2425,80,2146,12,561,2742,2329,56,38,308,606,0
"36081","Queens County","New York",2405464,2162100,621475,403077,30513,660631,1718,444686,243364,667861,1737603,549358,381375,9576,656583,1110,55489,84112,35097,400,232,11329,4187,0
"36083","Rensselaer County","New York",161130,149004,126828,12872,441,5776,25,3062,12126,9482,151648,124600,11800,310,5711,17,706,8504,6942,296,284,1246,4395,0
"36085","Richmond County","New York",495747,456927,295519,52039,3599,59279,234,46257,38820,96960,398787,277981,46835,624,58753,135,3141,11318,7335,0,63,2458,1071,62
"36087","Rockland County","New York",338329,311029,214890,35542,1716,20685,110,38086,27300,66451,271878,206113,33775,390,20413,42,3445,7700,6485,252,46,1650,1652,0
"36091","Saratoga County","New York",235509,220928,206278,4047,438,7494,68,2603,14581,8667,226842,203781,3752,301,7444,60,833,10671,3961,125,33,584,2104,0
"36093","Schenectady County","New York",158061,142902,107493,17322,1125,8354,145,8463,15159,12505,145556,104878,15943,930,8281,130,4469,10925,4603,138,41,1303,1945,0
"36095","Schoharie County","New York",29714,28018,27112,305,83,211,3,304,1696,1075,28639,26658,277,68,210,3,123,1300,1195,0,0,0,1076,0
"36097","Schuyler County","New York",17898,17103,16750,101,50,108,1,93,795,329,17569,16618,91,38,108,1,43,670,259,1,0,119,0,0
"36099","Seneca County","New York",33814,32039,29737,1414,162,269,3,454,1775,1367,32447,29273,1263,151,268,3,80,1409,2129,1626,0,248,77,0
"36089","St. Lawrence County","New York",108505,103942,97530,3074,1194,1105,34,1005,4563,2832,105673,96556,2788,1143,1089,19,298,3780,10862,1951,31,751,7386,0
"36101","Steuben County","New York",93584,88966,84953,1469,234,1633,12,665,4618,1718,91866,84338,1416,203,1616,12,301,3980,1469,107,37,684,169,0
"36103","Suffolk County","New York",1525920,1378708,1022846,114294,9188,65779,427,166174,147212,332959,1192961,967330,107268,3102,65019,241,9479,40522,29782,598,304,8860,10241,24
"36105","Sullivan County","New York",78624,71066,56040,6814,418,1597,29,6168,7558,14007,64617,52691,6069,174,1569,10,602,3502,4461,2092,162,350,568,0
"36107","Tioga County","New York",48455,45880,44557,452,75,379,18,399,2575,1117,47338,44195,434,62,370,12,158,2107,635,191,0,253,0,0
"36109","Tompkins County","New York",105740,97041,78657,4597,353,10532,47,2855,8699,7077,98663,76737,4274,248,10487,35,622,6260,14467,49,134,647,13084,0
"36111","Ulster County","New York",181851,165933,141728,11063,829,3860,63,8390,15918,21119,160732,136695,10152,306,3778,45,1218,8538,11402,2601,105,1185,2674,0
"36113","Warren County","New York",65737,62131,59911,799,170,753,1,497,3606,1752,63985,59299,736,139,729,0,189,2893,1084,68,0,291,274,0
"36115","Washington County","New York",61302,58103,55162,1715,174,326,23,703,3199,1761,59541,54605,1563,149,319,22,143,2740,3030,2193,0,555,0,0
"36117","Wayne County","New York",91283,85470,80476,2562,263,487,15,1667,5813,4514,86769,79230,2397,171,473,13,272,4213,1210,88,16,517,0,0
"36119","Westchester County","New York",1004457,894667,533150,141094,7466,65707,339,146911,109790,269334,735123,497684,131010,1017,64907,150,8651,31704,24428,2603,709,6442,8866,0
"36121","Wyoming County","New York",40531,38961,36046,1999,98,218,6,594,1570,1490,39041,35579,1852,83,217,6,77,1227,3619,3075,0,207,0,0
"36123","Yates County","New York",24774,23827,23264,161,49,93,10,250,947,674,24100,23049,145,28,93,8,77,700,1309,62,0,145,796,0
"42001","Adams County","Pennsylvania",103852,98221,91460,1559,340,975,37,3850,5631,7790,96062,89945,1473,147,952,33,333,3179,3523,248,49,606,2353,0
"42003","Allegheny County","Pennsylvania",1250578,1184872,946321,163678,1909,58541,357,14066,65706,34325,1216253,938252,161554,1305,58318,304,6064,50456,34557,2151,185,8485,19266,22
"42005","Armstrong County","Pennsylvania",65558,63397,62513,445,66,160,14,199,2161,490,65068,62320,438,57,147,14,120,1972,673,127,0,359,0,0
"42007","Beaver County","Pennsylvania",168215,158856,144954,11168,243,1028,59,1404,9359,3611,164604,143881,11069,195,1022,53,613,7771,2858,78,34,1138,717,0
"42009","Bedford County","Pennsylvania",47577,46163,45569,192,78,153,4,167,1414,519,47058,45381,181,66,153,0,50,1227,320,48,0,186,0,0
"42011","Berks County","Pennsylvania",428849,390204,309107,21992,2252,6413,170,50270,38645,99550,329299,291258,18087,450,6225,61,1551,11667,12380,859,288,2468,6205,0
"42013","Blair County","Pennsylvania",122822,117986,113618,2533,164,878,13,780,4836,1708,121114,113016,2463,134,868,12,367,4254,4117,272,21,1462,1504,0
