"fips","x","y","r","winner"
"48089",1170,1057,4.6,"R"
"46073",1104,370,1.5,"R"
"54105",1728,569,2.3,"R"
"35011",868,820,1.4,"R"
"20059",1196,646,5.2,"R"
"38065",1020,223,1.5,"R"
"19159",1255,529,2.4,"R"
"17117",1404,586,7,"R"
"17123",1422,517,3.6,"R"
"19179",1319,513,5.5,"R"
"19187",1256,453,5.9,"R"
"19003",1239,515,2.1,"R"
"17155",1434,499,2.6,"R"
"17159",1481,615,4,"R"
"19019",1334,438,4.8,"R"
"17189",1426,629,4,"R"
"19033",1287,418,7,"R"
"20169",1133,623,7,"R"
"21187",1603,609,3.4,"R"
"04015",515,725,15.3,"R"
"46015",1087,386,2.2,"R"
"16009",532,150,3.3,"R"
"48195",991,735,2.1,"R"
"19117",1289,513,3.1,"R"
"47007",1596,745,3.6,"R"
"17103",1422,470,5.8,"R"
"16047",552,362,3.5,"R"
"38051",1080,273,1.7,"R"
"33007",2010,234,6,"R"
"42105",1819,413,4.4,"R"
"38095",1091,156,1.5,"R"
"26073",1544,357,8.1,"R"
"35041",904,835,3.7,"R"
"31167",1151,473,2.5,"R"
"39079",1678,588,5.5,"R"
"38003",1126,242,3.3,"R"
"38039",1121,211,1.6,"R"
"42113",1868,420,2.8,"R"
"20001",1220,663,3.4,"R"
"48087",1029,803,1.6,"R"
"48093",1090,944,3.7,"R"
"48107",986,861,2,"R"
"19063",1238,404,3.2,"R"
"19067",1303,417,4,"R"
"37069",1863,674,9.5,"R"
"17041",1472,563,4.2,"R"
"20111",1184,636,5.3,"R"
"26065",1569,384,17.6,"D"
"26075",1579,429,13.3,"R"
"26081",1491,367,28,"D"
"21175",1663,632,3.4,"R"
"55055",1400,394,10.3,"R"
"27039",1299,372,5.1,"R"
"26127",1537,369,5.6,"R"
"17031",1602,421,65.9,"D"
"17049",1462,599,6.3,"R"
"17047",1483,628,2.6,"R"
"21023",1621,594,3,"R"
"27041",1201,275,7.3,"R"
"40073",1115,751,3.8,"R"
"46003",1106,387,1.7,"R"
"46125",1153,406,3.1,"R"
"46005",1116,356,3.8,"R"
"48003",930,919,3.6,"R"
"47021",1499,723,6.6,"R"
"48013",1099,1096,6.3,"R"
"42017",1857,477,29.2,"R"
"42025",1897,458,8.7,"R"
"46059",1092,355,1.9,"R"
"46077",1143,357,2.4,"R"
"46087",1146,390,2.5,"R"
"46097",1138,373,1.6,"R"
"49021",560,607,7.6,"R"
"56035",714,396,3.2,"R"
"55069",1400,303,6,"R"
"30037",765,233,1,"R"
"45061",1796,798,4,"D"
"48047",1100,1180,2.3,"D"
"55107",1359,298,4.2,"R"
"56027",903,399,1.6,"R"
"51065",1844,604,5.9,"R"
"51043",1839,553,4.5,"R"
"27101",1201,374,3.2,"R"
"48053",1092,991,7.7,"R"
"27117",1184,374,3.2,"R"
"27133",1184,390,3.4,"R"
"51111",1865,654,3.5,"R"
"27147",1286,372,6.6,"R"
"29051",1330,635,9.2,"R"
"01057",1511,845,4.2,"R"
"20029",1133,590,2.9,"R"
"17017",1399,559,3.3,"R"
"47033",1454,751,3.5,"R"
"13247",1687,864,9.8,"D"
"31045",947,431,2.9,"R"
"16063",574,361,2,"R"
"16067",594,365,4.1,"R"
"17025",1466,611,3.8,"R"
"29221",1366,663,4.7,"R"
"42083",1803,415,6.5,"R"
"29121",1316,570,4.1,"R"
"27161",1265,375,4.7,"R"
"42093",1875,449,4.6,"R"
"26143",1575,338,5.8,"R"
"29011",1254,682,3.6,"R"
"38017",1153,237,13.7,"R"
"31119",1137,476,5.8,"R"
"38031",1100,211,1.9,"R"
"31135",993,517,1.7,"R"
"06091",323,474,1.9,"R"
"19047",1214,467,3.7,"R"
"17095",1387,509,6.8,"R"
"17099",1436,516,10.5,"R"
"08063",954,587,2.8,"R"
"39109",1616,542,11.2,"R"
"48283",1085,1131,2.2,"R"
"12093",1818,1133,5.8,"R"
"16037",583,306,2.4,"R"
"08095",967,530,2.2,"R"
"19113",1345,456,16.1,"D"
"19137",1223,519,3.3,"R"
"13061",1631,935,1.8,"D"
"39139",1667,484,11.1,"R"
"13091",1701,900,4.2,"R"
"19153",1279,486,23.2,"D"
"48445",944,879,2.7,"R"
"48447",1067,885,1.4,"R"
"17035",1472,587,3.5,"R"
"39159",1634,510,8.9,"R"
"13171",1656,862,4.7,"R"
"39011",1600,511,7.4,"R"
"13207",1666,861,6.1,"R"
"39063",1617,490,9,"R"
"48501",925,878,2.3,"R"
"13159",1671,852,4.4,"R"
"13257",1689,796,5.3,"R"
"19035",1206,435,3.6,"R"
"05025",1341,851,2.7,"R"
"19017",1319,428,5.5,"R"
"41055",383,203,1.5,"R"
"13175",1710,890,7.1,"R"
"13167",1718,874,2.9,"R"
"41065",359,201,5.2,"R"
"05123",1395,799,3.5,"D"
"27113",1191,182,3.9,"R"
"27125",1190,192,2.1,"R"
"39115",1699,549,3.8,"R"
"28019",1456,870,2.9,"R"
"29079",1280,559,3.1,"R"
"19075",1304,449,3.9,"R"
"48219",946,859,4.1,"R"
"48397",1181,879,11.5,"R"
"48413",1010,991,1.5,"R"
"40107",1183,780,2.9,"R"
"27149",1193,296,3.3,"R"
"31005",993,484,0.8,"R"
"29039",1272,673,3.9,"R"
"48437",972,817,2.2,"R"
"31049",970,503,1.5,"R"
"48345",1007,840,1.2,"R"
"06065",448,763,44.3,"R"
"13149",1629,867,3.6,"R"
"31007",923,482,0.9,"R"
"38069",1064,175,2,"R"
"37033",1825,677,5.1,"R"
"31057",990,550,1.4,"R"
"48189",967,838,4.4,"R"
"38083",1053,207,1.3,"R"
"05061",1272,845,3.1,"R"
"29175",1319,587,4.8,"R"
"51570",1886,629,4.4,"R"
"29177",1262,594,5,"R"
"51620",1902,645,2.9,"D"
"20013",1208,572,3,"R"
"51678",1798,618,2.5,"D"
"51730",1883,638,5.3,"D"
"19001",1246,501,2.9,"R"
"18073",1517,524,5.8,"R"
"12027",1788,1123,5.2,"R"
"01021",1555,890,6.5,"R"
"40037",1173,774,8.1,"R"
"48269",1027,863,0.5,"R"
"37169",1786,675,7.6,"R"
"40019",1140,841,6.4,"R"
"40063",1182,802,3.1,"R"
"40099",1150,827,3.5,"R"
"40061",1226,790,3.2,"R"
"01105",1536,900,3.1,"D"
"01075",1500,844,3.8,"R"
"05043",1360,862,3.7,"R"
"28043",1433,852,4.6,"R"
"29025",1275,579,3.2,"R"
"30021",906,205,3.1,"R"
"48209",1069,1025,16.3,"D"
"48235",993,971,1.4,"R"
"48021",1153,1052,9.2,"R"
"53067",306,104,18.4,"D"
"28067",1466,951,7.7,"R"
"28069",1483,896,3,"D"
"32027",405,451,2.2,"R"
"32029",357,484,2.5,"R"
"36103",2017,485,40.3,"R"
"47141",1589,719,8.6,"R"
"27057",1228,230,5.3,"R"
"38089",977,234,5.6,"R"
"20159",1112,639,2.9,"R"
"41021",399,205,1.5,"R"
"26035",1569,348,6,"R"
"26051",1587,345,5.7,"R"
"38049",1046,174,2.4,"R"
"17187",1380,518,3.9,"R"
"20105",1113,608,1.8,"R"
"13021",1685,862,12.1,"D"
"55039",1445,364,11.1,"R"
"18015",1499,509,4.4,"R"
"20141",1093,590,1.9,"R"
"20163",1073,590,2.3,"R"
"20167",1092,610,2.6,"R"
"38019",1115,146,2,"R"
"18069",1563,514,6.1,"R"
"20087",1217,597,4.6,"R"
"19031",1362,479,4.7,"R"
"18067",1561,500,9,"R"
"38047",1079,257,1.5,"R"
"18159",1543,532,4.1,"R"
"40021",1231,759,6.1,"R"
"46085",1063,381,1.7,"R"
"55077",1410,364,4.5,"R"
"20089",1113,572,1.8,"R"
"20101",1029,632,1.3,"R"
"46029",1153,325,5.3,"R"
"27087",1199,218,2.1,"R"
"20179",1032,591,1.7,"R"
"22007",1393,1042,4.7,"R"
"22029",1365,969,4.1,"R"
"29015",1293,646,4.8,"R"
"05141",1323,770,4,"R"
"48031",1083,1011,4.2,"R"
"48267",1039,1006,2.3,"R"
"29067",1323,707,3.9,"R"
"08011",934,655,2.1,"R"
"48115",958,901,2.7,"R"
"30029",620,119,11.5,"R"
"48301",891,940,0.5,"R"
"51800",1907,657,10.6,"D"
"29203",1366,696,2.9,"R"
"48415",999,903,3.5,"R"
"48431",992,943,1.2,"R"
"08073",932,605,2.3,"R"
"48169",985,882,1.8,"R"
"48417",1060,906,1.9,"R"
"48433",1026,884,1.2,"R"
"40051",1117,798,7.3,"R"
"40017",1098,778,12.4,"R"
"48449",1233,885,4.7,"R"
"31071",1088,472,1.5,"R"
"48223",1216,888,6,"R"
"36007",1885,368,13.9,"D"
"26023",1567,446,6.7,"R"
"27045",1324,393,5.1,"R"
"39161",1592,501,5.6,"R"
"13075",1697,948,4,"R"
"13249",1654,896,2.3,"R"
"17139",1459,569,3.7,"R"
"19169",1281,453,10.2,"D"
"28115",1461,826,5.5,"R"
"29057",1272,682,3,"R"
"21061",1549,680,3.6,"R"
"46039",1170,341,2.2,"R"
"29229",1324,690,4.4,"R"
"48059",1059,927,3.9,"R"
"51595",1886,654,2.2,"D"
"31183",1105,468,1,"R"
"26069",1607,319,5.8,"R"
"30001",631,270,3.5,"R"
"51119",1908,598,3.8,"R"
"05129",1318,757,2.9,"R"
"18149",1533,485,4.7,"R"
"19123",1311,499,4.8,"R"
"20063",1030,612,1.7,"R"
"28131",1472,986,4.1,"R"
"31159",1141,517,4.4,"R"
"39065",1627,498,5.2,"R"
"40015",1104,794,4.5,"R"
"51600",1866,557,5.3,"D"
"51630",1871,581,5.3,"D"
"51063",1769,662,4.5,"R"
"06083",220,707,19.6,"D"
"13055",1594,806,4.8,"R"
"46119",1054,339,1.4,"R"
"01103",1528,819,10.6,"R"
"19051",1320,526,2.9,"R"
"08121",938,552,2.4,"R"
"46102",969,403,2.5,"D"
"13079",1662,891,3.7,"R"
"19041",1222,418,4.2,"R"
"27111",1202,257,8.8,"R"
"27131",1272,387,8.7,"R"
"31097",1183,545,2.1,"R"
"39125",1594,492,4.4,"R"
"48075",1030,824,2.2,"R"
"18093",1549,620,6.7,"R"
"19103",1341,485,13.5,"D"
"17129",1406,557,3.7,"R"
"28065",1439,954,3.4,"D"
"20195",1052,613,1.8,"R"
"37077",1843,651,8.2,"R"
"29075",1250,551,2.6,"R"
"48303",966,860,16.3,"R"
"51750",1761,660,3.7,"D"
"30079",887,224,1.2,"R"
"54047",1723,649,3.4,"R"
"12007",1747,997,5.4,"R"
"12005",1613,1003,14.4,"R"
"28031",1449,949,4.3,"R"
"05111",1396,769,3.9,"R"
"41009",309,164,8,"R"
"13083",1589,785,4.2,"R"
"13201",1645,955,2.4,"R"
"13287",1685,924,2.9,"R"
"28061",1466,931,4.1,"R"
"46045",1086,306,2.1,"R"
"28039",1481,988,4.9,"R"
"06071",423,683,39.8,"R"
"31179",1155,461,2.9,"R"
"38045",1110,258,2.1,"R"
"19073",1250,461,3.2,"R"
"20125",1202,702,5.1,"R"
"20191",1139,705,4.7,"R"
"48127",1013,1116,2.7,"D"
"21221",1483,693,3.9,"R"
"17051",1444,617,4.5,"R"
"48129",1008,798,1.9,"R"
"46111",1122,371,1.6,"R"
"46115",1114,325,2.6,"R"
"46079",1155,374,3.5,"R"
"48023",1067,867,1.9,"R"
"46069",1076,347,1.2,"R"
"48251",1112,939,13.1,"R"
"48173",973,943,1.2,"R"
"48435",1009,1009,1.7,"R"
"51820",1813,598,4.9,"R"
"38043",1071,232,1.7,"R"
"20065",1052,592,1.6,"R"
"31085",1013,535,1,"R"
"01007",1544,892,4.4,"R"
"26017",1616,334,11.4,"R"
"42057",1809,512,4.2,"R"
"01013",1564,935,4.2,"R"
"17007",1432,450,7.1,"R"
"18079",1582,586,5,"R"
"21109",1642,661,3.5,"R"
"28155",1455,858,3.3,"R"
"20115",1153,638,3.5,"R"
"40049",1138,822,4.8,"R"
"48399",1034,945,2.9,"R"
"48135",932,940,9.5,"R"
"55087",1445,319,15.4,"R"
"20201",1154,572,2.4,"R"
"49033",661,447,1.7,"R"
"17101",1491,610,3.6,"R"
"32009",401,582,1,"R"
"13057",1605,764,18.6,"R"
"13173",1711,952,2.8,"R"
"17121",1456,620,5.9,"R"
"26155",1608,381,9.3,"R"
"28107",1430,824,5.5,"R"
"31073",1057,535,1.5,"R"
"39133",1725,442,13.3,"R"
"41001",475,260,4.5,"R"
"48257",1219,917,12.1,"R"
"51670",1884,621,4.4,"D"
"37065",1896,692,7.2,"D"
"48237",1093,906,3,"R"
"31009",1054,471,0.8,"R"
"13143",1609,844,5.9,"R"
"20189",995,692,2,"R"
"12059",1603,974,4.4,"R"
"13211",1673,832,5.3,"R"
"18075",1576,523,4.1,"R"
"20097",1071,676,1.5,"R"
"26067",1592,388,8.5,"R"
"29109",1267,700,6.2,"R"
"31175",1088,488,2.2,"R"
"31101",993,504,3,"R"
"39041",1657,521,16.8,"R"
"47083",1494,731,2.8,"R"
"51790",1810,589,5.3,"D"
"46107",1061,321,1.7,"R"
"08053",776,644,1.1,"R"
"13281",1656,788,4.3,"R"
"46105",979,292,1.8,"R"
"13031",1755,883,8.3,"R"
"18055",1504,597,5.6,"R"
"20123",1113,590,2.6,"R"
"29053",1307,620,4.3,"R"
"21215",1589,638,4.9,"R"
"39067",1732,509,3.9,"R"
"48335",998,923,2.3,"R"
"55135",1415,328,8,"R"
"48145",1157,973,3.7,"R"
"48069",952,815,2.1,"R"
"17019",1464,542,13.7,"D"
"19147",1238,418,3.2,"R"
"19011",1325,462,5.5,"R"
"47111",1575,704,4.7,"R"
"37151",1808,717,12.7,"R"
"38015",1047,231,10.4,"R"
"16021",555,84,3.9,"R"
"21049",1614,631,6.1,"R"
"38063",1123,188,1.9,"R"
"27093",1239,331,5.4,"R"
"55085",1406,289,7.2,"R"
"12041",1714,1020,4.8,"R"
"30033",836,196,1.3,"R"
"37003",1767,712,6.6,"R"
"30049",666,179,9.3,"R"
"48363",1100,911,5.3,"R"
"05059",1300,831,5.1,"R"
"05065",1347,747,3.5,"R"
"51530",1803,618,2.4,"R"
"20023",987,568,1.7,"R"
"19029",1235,498,3.9,"R"
"40039",1079,767,4.6,"R"
"40127",1215,831,3.2,"R"
"54043",1705,619,3.9,"R"
"28053",1407,884,2.7,"D"
"13017",1704,921,3.7,"R"
"13071",1683,951,6,"R"
"51580",1784,616,2.3,"R"
"13155",1700,927,3,"R"
"38027",1100,197,1.6,"R"
"19197",1271,432,3.5,"R"
"01005",1615,925,4.6,"R"
"19009",1231,482,2.6,"R"
"20051",1072,613,5.3,"R"
"20165",1072,632,1.8,"R"
"18009",1571,520,3.3,"R"
"19087",1350,514,4.5,"R"
"19015",1262,463,5.7,"R"
"49043",669,479,7.4,"D"
"06057",340,471,11.3,"D"
"20171",1013,631,2.1,"R"
"08003",832,661,4,"R"
"46049",1088,323,1.5,"R"
"28037",1397,962,2.9,"R"
"01059",1502,820,5.1,"R"
"13069",1718,924,5.8,"R"
"48293",1158,981,4.4,"R"
"55035",1360,337,11.5,"D"
"17023",1489,593,4.2,"R"
"40097",1226,739,6,"R"
"20033",1071,695,1.4,"R"
"48265",1049,1039,7.7,"R"
"51735",1920,612,4.1,"R"
"40137",1121,831,6.3,"R"
"08061",945,628,1.3,"R"
"48159",1225,885,3.4,"R"
"36023",1864,367,6.9,"R"
"51113",1855,569,4.2,"R"
"28105",1471,866,6.2,"R"
"28161",1436,840,3.5,"R"
"29085",1293,658,3.3,"R"
"56007",816,460,3.7,"R"
"31003",1121,456,2.7,"R"
"56015",903,443,3.6,"R"
"30097",736,263,2.2,"R"
"30107",743,225,1.5,"R"
"13129",1625,802,7.7,"R"
"18095",1562,532,10.8,"R"
"31091",1014,468,1,"R"
"26137",1571,302,5.8,"R"
"29135",1320,627,3.9,"R"
"23029",2128,187,6.2,"R"
"27105",1201,390,4.2,"R"
"12081",1775,1147,22,"R"
"13035",1671,872,5.3,"R"
"39141",1665,587,8.4,"R"
"48393",1010,757,1.1,"R"
"13119",1678,819,5.1,"R"
"48503",1085,901,4.2,"R"
"40043",1079,754,2.2,"R"
"40055",1058,802,2,"R"
"22049",1330,926,3.9,"R"
"48143",1095,931,6.2,"R"
"19007",1304,527,3.7,"R"
"48079",927,853,1.4,"R"
"48233",990,756,4.2,"R"
"27151",1203,312,3.3,"R"
"20199",983,611,1.3,"R"
"19183",1343,503,4.9,"R"
"17053",1478,509,3.7,"R"
"48153",987,839,2.1,"R"
"42037",1887,445,8.3,"R"
"53023",496,185,1.7,"R"
"13277",1692,936,6,"R"
"19037",1319,419,3.6,"R"
"31087",1013,547,1.7,"R"
"35019",859,794,2,"D"
"28003",1476,794,5.7,"R"
"19157",1314,484,4.6,"R"
"31013",947,448,3.2,"R"
"28111",1477,969,3.4,"R"
"56005",871,348,6.2,"R"
"19143",1206,404,2.6,"R"
"51610",1860,549,4.3,"D"
"12049",1779,1121,4.2,"R"
"17191",1473,632,4.2,"R"
"48319",1063,997,2.3,"R"
"19185",1287,528,2.6,"R"
"28125",1396,896,1.9,"D"
"35028",803,738,5,"D"
"20131",1192,572,3.4,"R"
"17107",1426,553,5.1,"R"
"29065",1359,671,3.9,"R"
"20107",1236,655,3.3,"R"
"48369",931,814,2.3,"R"
"29137",1337,586,3,"R"
"48133",1085,935,4.2,"R"
"47153",1584,752,4.1,"R"
"46037",1140,307,2.5,"R"
"46027",1159,425,3.4,"D"
"17063",1456,530,7.5,"R"
"56029",743,320,5.9,"R"
"55131",1466,378,13.9,"R"
"20057",1049,675,4.2,"R"
"29125",1335,653,3.2,"R"
"31123",948,474,2.3,"R"
"20041",1151,615,4.4,"R"
"48311",1093,1112,1,"R"
"48381",967,796,11.9,"R"
"39033",1653,488,6.6,"R"
"48011",987,797,1.5,"R"
"05037",1391,781,3.7,"R"
"27165",1240,375,3.2,"R"
"31029",990,531,2,"R"
"48193",1107,953,3.1,"R"
"48205",943,750,2.1,"R"
"18121",1489,565,3.7,"R"
"24001",1825,514,8.2,"R"
"13003",1718,941,2.6,"R"
"19131",1302,403,3.5,"R"
"37145",1829,656,6.8,"R"
"26001",1606,310,4,"R"
"20053",1112,627,2.4,"R"
"13197",1655,901,2.8,"R"
"29017",1415,681,3.6,"R"
"08005",926,577,26,"D"
"40083",1140,740,7.1,"R"
"40005",1194,829,3.5,"R"
"29049",1247,588,4.9,"R"
"05051",1303,816,9.4,"R"
"19101",1336,512,4.2,"R"
"28099",1464,898,4.8,"R"
"48353",1018,925,3.3,"R"
"47047",1456,791,7.1,"R"
"17079",1477,600,3.4,"R"
"48305",965,880,2.3,"R"
"20099",1219,702,4.1,"R"
"27159",1226,256,4.1,"R"
"18033",1575,468,6.4,"R"
"13065",1726,956,2.5,"R"
"29103",1330,555,2,"R"
"31093",1104,505,2.7,"R"
"17033",1486,600,4.3,"R"
"27119",1171,195,5.7,"R"
"17109",1382,537,5,"R"
"48327",1039,995,1.5,"R"
"20035",1162,699,5.3,"R"
"21113",1604,651,7.5,"R"
"17027",1431,620,6.4,"R"
"38087",949,251,0.9,"R"
"18143",1580,619,4.6,"R"
"23003",2084,130,8.7,"R"
"26113",1559,340,4.4,"R"
"54017",1742,560,2.5,"R"
"28041",1487,965,3.5,"R"
"18007",1495,525,2.9,"R"
"48255",1116,1087,3.3,"R"
"20133",1218,681,3.8,"R"
"48101",1027,843,1.2,"R"
"47169",1555,712,3,"R"
"35005",867,868,6.8,"R"
"12067",1705,1002,2.8,"R"
"29225",1313,687,6.5,"R"
"38007",956,225,1.2,"R"
"48495",911,940,2,"R"
"31089",1097,440,3.4,"R"
"48243",863,980,1.6,"R"
"20205",1202,683,2.8,"R"
"20193",1010,590,2.8,"R"
"39027",1642,576,6.6,"R"
"55097",1406,343,9.5,"D"
"18179",1576,514,5.4,"R"
"27083",1198,357,5.2,"R"
"49037",685,636,3.6,"R"
"17145",1434,656,4.4,"R"
"20071",980,631,1.1,"R"
"45009",1774,839,3.5,"D"
"55078",1430,310,1.8,"D"
"20139",1193,637,4.1,"R"
"46061",1132,390,2.1,"R"
"08007",782,669,4.4,"R"
"29081",1264,548,2.9,"R"
"27137",1307,202,15.8,"D"
"17135",1434,582,5.3,"R"
"21087",1586,675,3.5,"R"
"05099",1298,865,2.5,"R"
"18169",1553,511,5.4,"R"
"27153",1229,278,5.4,"R"
"20055",1021,649,4.8,"R"
"18161",1592,556,2.7,"R"
"01017",1611,877,5.5,"R"
"13195",1661,802,6,"R"
"40105",1207,717,3.1,"R"
"48429",1096,918,2.8,"R"
"40009",1052,787,4,"R"
"29169",1332,667,5.7,"R"
"50015",1968,251,5.5,"D"
"27019",1237,348,12,"R"
"28103",1484,878,3.1,"D"
"12035",1797,1008,13,"R"
"31137",1071,538,3.2,"R"
"16059",602,276,3.2,"R"
"19175",1255,515,3.6,"R"
"19023",1303,431,4.1,"R"
"17073",1397,498,7.3,"R"
"39069",1602,486,5.6,"R"
"19081",1270,417,3.5,"R"
"27067",1229,309,7,"R"
"42023",1812,436,2.2,"R"
"29001",1314,554,4.7,"R"
"42047",1806,431,6,"R"
"20093",997,651,1.7,"R"
"26039",1573,320,4.2,"R"
"17105",1452,517,5.9,"R"
"19125",1302,505,6.4,"R"
"13237",1678,845,5.2,"R"
"13133",1682,836,5.2,"R"
"13301",1707,842,2.4,"D"
"38073",1139,259,2.4,"R"
"29219",1353,619,6.5,"R"
"36035",1920,329,7.2,"R"
"49013",679,515,4.3,"R"
"48027",1109,973,16.6,"R"
"17171",1391,575,2.3,"R"
"31039",1163,473,3.1,"R"
"20095",1112,677,2.9,"R"
"55019",1376,331,5.7,"R"
"48033",979,902,0.9,"R"
"48313",1206,998,3.4,"R"
"19055",1352,436,4.6,"R"
"29061",1277,564,2.9,"R"
"06085",220,648,39.3,"D"
"08085",745,609,7.3,"R"
"01087",1598,905,4.1,"D"
"01095",1563,826,9.3,"R"
"51067",1781,660,8.1,"R"
"47173",1649,691,4.3,"R"
"26087",1645,350,10.8,"R"
"20157",1133,572,2.3,"R"
"48151",1019,904,2,"R"
"21103",1600,602,4.1,"R"
"48063",1234,895,3.3,"R"
"27109",1343,391,13.8,"D"
"31095",1152,556,2.8,"R"
"31069",972,481,1.5,"R"
"45011",1771,846,4.6,"R"
"28023",1483,929,4,"R"
"46047",936,400,3,"R"
"48171",1074,1004,5.9,"R"
"19091",1254,432,3.3,"R"
"29007",1328,592,4.7,"R"
"40025",949,713,1.4,"R"
"20143",1133,603,2.5,"R"
