"fips","gcol","grow","gx","gy","winner"
"41065",46,32,352,198,"R"
"05123",140,86,1386,792,"D"
"27113",122,30,1188,176,"R"
"27125",122,31,1188,187,"R"
"39115",168,63,1694,539,"R"
"28019",146,93,1452,869,"R"
"29079",130,64,1276,550,"R"
"19075",132,54,1298,440,"R"
"48219",100,92,946,858,"R"
"48397",121,95,1177,891,"R"
"48413",105,104,1001,990,"R"
"40107",121,84,1177,770,"R"
"27149",122,40,1188,286,"R"
"31005",104,58,990,484,"R"
"29039",129,75,1265,671,"R"
"48437",102,88,968,814,"R"
"31049",102,59,968,495,"R"
"48345",105,90,1001,836,"R"
"06065",52,84,418,770,"R"
"13149",161,91,1617,847,"R"
"31007",97,57,913,473,"R"
"38069",110,29,1056,165,"R"
"37033",179,75,1815,671,"R"
"31057",104,64,990,550,"R"
"48189",101,90,957,836,"R"
"38083",109,32,1045,198,"R"
"05061",129,90,1265,836,"R"
"29175",133,67,1309,583,"R"
"51570",183,70,1859,616,"R"
"29177",129,68,1265,594,"R"
"51620",186,73,1892,649,"D"
"20013",123,66,1199,572,"R"
"51678",177,70,1793,616,"D"
"51730",183,71,1859,627,"D"
"19001",127,59,1243,495,"R"
"18073",150,59,1496,495,"R"
"12027",176,116,1782,1122,"R"
"01021",155,94,1551,880,"R"
"40037",121,83,1177,759,"R"
"48269",107,92,1023,858,"R"
"37169",176,76,1782,682,"R"
"40019",118,90,1144,836,"R"
"40063",121,86,1177,792,"R"
"40099",118,89,1144,825,"R"
"40061",125,85,1221,781,"R"
"01105",153,95,1529,891,"D"
"01075",150,90,1496,836,"R"
"05043",137,92,1353,858,"R"
"28043",144,91,1430,847,"R"
"29025",129,66,1265,572,"R"
"30021",96,32,902,198,"R"
"48209",114,107,1100,1023,"D"
"48235",104,102,990,968,"R"
"48021",117,107,1133,1023,"R"
"53067",44,24,330,110,"D"
"28067",147,100,1463,946,"R"
"28069",148,95,1474,891,"D"
"32027",50,55,396,451,"R"
"32029",46,58,352,484,"R"
"36103",196,52,2002,418,"R"
"47141",158,79,1584,715,"R"
"27057",125,34,1221,220,"R"
"38089",102,35,968,231,"R"
"20159",115,72,1111,638,"R"
"41021",50,32,396,198,"R"
"26035",156,46,1562,352,"R"
"26051",158,46,1584,352,"R"
"38049",109,29,1045,165,"R"
"17187",139,60,1375,506,"R"
"20105",115,69,1111,605,"R"
"13021",166,93,1672,869,"D"
"55039",145,48,1441,374,"R"
"18015",152,61,1518,517,"R"
"20141",113,67,1089,583,"R"
"20163",111,67,1067,583,"R"
"20167",113,69,1089,605,"R"
"38019",115,27,1111,143,"R"
"18069",156,60,1562,506,"R"
"20087",124,68,1210,594,"R"
"19031",137,57,1353,473,"R"
"18067",154,61,1540,517,"R"
"38047",112,37,1078,253,"R"
"18159",154,62,1540,528,"R"
"40021",125,83,1221,759,"R"
"46085",110,48,1056,374,"R"
"55077",142,48,1408,374,"R"
"20089",115,66,1111,572,"R"
"20101",107,71,1023,627,"R"
"46029",118,43,1144,319,"R"
"27087",123,33,1199,209,"R"
"20179",107,67,1023,583,"R"
"22007",140,108,1386,1034,"R"
"22029",138,102,1364,968,"R"
"29015",131,72,1287,638,"R"
"05141",134,84,1320,770,"R"
"48031",113,107,1089,1023,"R"
"48267",108,105,1034,1001,"R"
"29067",134,78,1320,704,"R"
"08011",98,73,924,649,"R"
"48115",101,95,957,891,"R"
"30029",70,24,616,110,"R"
"48301",95,99,891,935,"R"
"51800",187,71,1903,627,"D"
"29203",138,77,1364,693,"R"
"48415",104,96,990,902,"R"
"48431",104,99,990,935,"R"
"08073",97,68,913,594,"R"
"48169",103,94,979,880,"R"
"48417",110,96,1056,902,"R"
"48433",107,94,1023,880,"R"
"40051",115,86,1111,792,"R"
"40017",115,84,1111,770,"R"
"48449",126,94,1232,880,"R"
"31071",112,56,1078,462,"R"
"48223",123,95,1199,891,"R"
"36007",185,49,1881,385,"D"
"26023",157,55,1573,451,"R"
"27045",134,49,1320,385,"R"
"39161",159,59,1595,495,"R"
"13075",168,100,1694,946,"R"
"13249",164,96,1650,902,"R"
"17139",146,65,1452,561,"R"
"19169",130,56,1276,462,"D"
"28115",146,89,1452,825,"R"
"29057",129,76,1265,682,"R"
"21061",155,75,1551,671,"R"
"46039",120,45,1166,341,"R"
"29229",134,76,1320,682,"R"
"48059",110,98,1056,924,"R"
"51595",184,72,1870,638,"D"
"31183",114,56,1100,462,"R"
"26069",160,44,1606,330,"R"
"30001",71,38,627,264,"R"
"51119",188,68,1914,594,"R"
"05129",133,82,1309,748,"R"
"18149",152,58,1518,484,"R"
"19123",133,59,1309,495,"R"
"20063",107,69,1023,605,"R"
"28131",147,103,1463,979,"R"
"31159",118,61,1144,517,"R"
"39065",162,59,1628,495,"R"
"40015",114,85,1100,781,"R"
"51600",182,65,1848,561,"D"
"51630",183,66,1859,572,"D"
"51063",175,74,1771,660,"R"
