"rank","cum_land","cum_votes","cum_counties","winner"
376,27.5757,0.6406,12.0939,"R"
377,27.7432,0.6493,12.1261,"R"
378,27.8435,0.6545,12.1583,"R"
379,27.9263,0.6587,12.1904,"R"
380,28.1246,0.6691,12.2226,"D"
381,28.1685,0.6714,12.2547,"D"
382,28.1999,0.673,12.2869,"R"
383,28.2537,0.6759,12.3191,"R"
384,28.3188,0.6793,12.3512,"R"
385,28.3941,0.6833,12.3834,"R"
386,28.4414,0.6858,12.4156,"R"
387,28.5508,0.6916,12.4477,"R"
388,28.5887,0.6937,12.4799,"R"
389,28.6195,0.6953,12.5121,"R"
390,28.639,0.6964,12.5442,"R"
391,28.6684,0.6979,12.5764,"R"
392,28.7119,0.7003,12.6086,"R"
393,28.7356,0.7016,12.6407,"R"
394,28.7956,0.7048,12.6729,"R"
395,28.8304,0.7067,12.705,"R"
396,28.8605,0.7084,12.7372,"R"
397,29.2394,0.7293,12.7694,"D"
398,29.2692,0.7309,12.8015,"R"
399,29.2908,0.7321,12.8337,"R"
400,29.3415,0.7349,12.8659,"R"
401,29.4348,0.7401,12.898,"R"
402,29.465,0.7418,12.9302,"R"
403,29.4945,0.7435,12.9624,"R"
404,29.5221,0.745,12.9945,"R"
405,29.5665,0.7475,13.0267,"R"
406,29.5908,0.7489,13.0589,"R"
407,29.609,0.75,13.091,"R"
408,29.6282,0.7511,13.1232,"R"
409,29.6585,0.7528,13.1554,"R"
410,29.6855,0.7544,13.1875,"R"
411,29.7024,0.7554,13.2197,"R"
412,29.7315,0.7571,13.2518,"R"
413,29.8097,0.7617,13.284,"R"
414,29.9135,0.7678,13.3162,"R"
415,29.9435,0.7696,13.3483,"R"
416,29.9629,0.7707,13.3805,"R"
417,29.9823,0.7719,13.4127,"R"
418,30.008,0.7734,13.4448,"R"
419,30.0634,0.7768,13.477,"R"
420,30.107,0.7794,13.5092,"R"
421,30.1341,0.7811,13.5413,"R"
422,30.1487,0.782,13.5735,"R"
423,30.183,0.7841,13.6057,"R"
424,30.3053,0.7917,13.6378,"R"
425,30.366,0.7955,13.67,"R"
426,30.5013,0.804,13.7022,"D"
427,30.5726,0.8085,13.7343,"D"
428,30.5913,0.8097,13.7665,"R"
429,30.6149,0.8112,13.7986,"R"
430,30.652,0.8135,13.8308,"R"
431,30.8084,0.8234,13.863,"R"
432,30.8394,0.8254,13.8951,"R"
433,30.949,0.8324,13.9273,"D"
434,30.9703,0.8337,13.9595,"R"
435,31.0007,0.8357,13.9916,"R"
436,31.0367,0.838,14.0238,"R"
437,31.0795,0.8407,14.056,"R"
438,31.1076,0.8425,14.0881,"R"
439,31.3201,0.8563,14.1203,"R"
440,31.3673,0.8593,14.1525,"R"
441,31.4003,0.8615,14.1846,"R"
442,31.4246,0.8631,14.2168,"R"
443,31.4489,0.8646,14.249,"R"
444,31.4722,0.8662,14.2811,"R"
445,31.5085,0.8685,14.3133,"R"
446,31.6125,0.8754,14.3454,"R"
447,31.6559,0.8783,14.3776,"R"
448,31.6701,0.8792,14.4098,"R"
449,31.6927,0.8807,14.4419,"R"
450,31.7166,0.8823,14.4741,"R"
451,31.7478,0.8844,14.5063,"R"
452,31.8171,0.8891,14.5384,"R"
453,31.9687,0.8994,14.5706,"R"
454,31.9891,0.9007,14.6028,"R"
455,32.0396,0.9042,14.6349,"R"
456,32.0651,0.9059,14.6671,"R"
457,32.1991,0.9151,14.6993,"D"
458,32.2622,0.9194,14.7314,"R"
459,32.2792,0.9206,14.7636,"R"
460,32.3068,0.9225,14.7958,"R"
461,32.3391,0.9248,14.8279,"R"
462,32.5628,0.9404,14.8601,"R"
463,32.7681,0.9548,14.8922,"R"
464,32.7892,0.9563,14.9244,"R"
465,32.876,0.9625,14.9566,"R"
466,32.9195,0.9656,14.9887,"D"
467,32.9335,0.9666,15.0209,"R"
468,32.9589,0.9684,15.0531,"R"
469,32.9888,0.9705,15.0852,"R"
470,33.0184,0.9726,15.1174,"R"
471,33.0556,0.9753,15.1496,"R"
472,33.6854,1.0209,15.1817,"D"
473,33.7156,1.0231,15.2139,"R"
474,33.7648,1.0267,15.2461,"R"
475,33.8053,1.0297,15.2782,"R"
476,33.8326,1.0317,15.3104,"R"
477,33.9951,1.0435,15.3426,"R"
478,34.017,1.0452,15.3747,"R"
479,34.0332,1.0464,15.4069,"R"
480,34.0859,1.0502,15.439,"R"
481,34.1101,1.052,15.4712,"R"
482,34.1247,1.0531,15.5034,"R"
483,34.3029,1.0663,15.5355,"R"
484,34.3223,1.0678,15.5677,"R"
485,34.4087,1.0742,15.5999,"R"
486,34.4387,1.0765,15.632,"R"
487,34.4576,1.0779,15.6642,"R"
488,34.4932,1.0805,15.6964,"R"
489,34.5236,1.0828,15.7285,"R"
490,34.5435,1.0843,15.7607,"R"
491,34.5629,1.0858,15.7929,"R"
492,34.5843,1.0874,15.825,"R"
493,34.6247,1.0905,15.8572,"R"
494,34.6606,1.0932,15.8894,"R"
495,34.6813,1.0948,15.9215,"R"
496,34.6967,1.096,15.9537,"R"
497,34.7172,1.0976,15.9858,"R"
498,34.7407,1.0994,16.018,"R"
499,34.7782,1.1023,16.0502,"R"
500,34.8043,1.1043,16.0823,"R"
501,34.8383,1.1069,16.1145,"R"
502,34.8673,1.1092,16.1467,"R"
503,34.8865,1.1107,16.1788,"R"
504,34.9373,1.1146,16.211,"R"
505,34.9687,1.1171,16.2432,"R"
506,35.1133,1.1285,16.2753,"R"
507,35.2081,1.136,16.3075,"R"
508,35.2227,1.1372,16.3397,"D"
509,35.2545,1.1397,16.3718,"R"
510,35.2889,1.1424,16.404,"R"
511,35.3092,1.144,16.4362,"D"
512,35.3336,1.146,16.4683,"R"
513,35.3426,1.1467,16.5005,"R"
514,35.3575,1.1479,16.5326,"R"
515,35.3972,1.1511,16.5648,"R"
516,35.5146,1.1605,16.597,"R"
517,35.5429,1.1628,16.6291,"R"
518,35.5732,1.1653,16.6613,"R"
519,35.624,1.1695,16.6935,"R"
520,35.6945,1.1754,16.7256,"R"
521,35.7174,1.1773,16.7578,"D"
522,35.7735,1.182,16.79,"R"
523,35.8088,1.1849,16.8221,"R"
524,35.8203,1.1859,16.8543,"R"
525,35.8383,1.1874,16.8865,"R"
526,35.8784,1.1908,16.9186,"R"
527,35.9167,1.194,16.9508,"R"
528,35.9315,1.1953,16.983,"R"
529,35.9569,1.1974,17.0151,"R"
530,35.9801,1.1994,17.0473,"R"
531,35.9922,1.2004,17.0794,"D"
532,36.0077,1.2018,17.1116,"D"
533,36.0383,1.2044,17.1438,"D"
534,36.0515,1.2056,17.1759,"R"
535,36.1267,1.2121,17.2081,"R"
536,36.1504,1.2141,17.2403,"R"
537,36.1787,1.2166,17.2724,"R"
538,36.2079,1.2192,17.3046,"R"
539,36.2357,1.2216,17.3368,"R"
540,36.2632,1.224,17.3689,"R"
541,36.2996,1.2273,17.4011,"R"
542,36.3061,1.2278,17.4333,"D"
543,36.339,1.2308,17.4654,"R"
544,36.3729,1.2338,17.4976,"R"
545,36.3904,1.2354,17.5298,"R"
546,36.4212,1.2381,17.5619,"R"
547,36.5276,1.2477,17.5941,"R"
548,36.7121,1.2642,17.6262,"D"
549,36.733,1.2661,17.6584,"R"
550,36.7477,1.2674,17.6906,"R"
551,36.7765,1.27,17.7227,"R"
552,36.8016,1.2723,17.7549,"R"
553,36.8307,1.2749,17.7871,"R"
554,36.8571,1.2773,17.8192,"R"
555,37.0953,1.2992,17.8514,"R"
556,37.1222,1.3016,17.8836,"R"
557,37.156,1.3048,17.9157,"R"
558,37.1864,1.3076,17.9479,"R"
559,37.3349,1.3214,17.9801,"R"
560,37.3496,1.3228,18.0122,"R"
561,37.4388,1.3312,18.0444,"D"
562,37.4624,1.3334,18.0766,"R"
563,37.4798,1.335,18.1087,"R"
564,37.4978,1.3367,18.1409,"R"
565,37.5315,1.3399,18.173,"R"
566,37.5876,1.3452,18.2052,"R"
567,37.7832,1.3638,18.2374,"R"
568,37.8051,1.3659,18.2695,"R"
569,37.8403,1.3692,18.3017,"R"
570,37.8627,1.3714,18.3339,"R"
571,37.8846,1.3735,18.366,"R"
572,37.9032,1.3752,18.3982,"R"
573,37.9226,1.3771,18.4304,"R"
574,37.9369,1.3785,18.4625,"R"
575,37.955,1.3802,18.4947,"R"
576,37.9893,1.3836,18.5269,"R"
577,38.0459,1.3891,18.559,"R"
578,38.3825,1.4223,18.5912,"R"
579,38.3981,1.4238,18.6234,"R"
580,38.4231,1.4263,18.6555,"R"
581,38.449,1.4289,18.6877,"R"
582,38.4684,1.4308,18.7198,"R"
583,38.4879,1.4328,18.752,"R"
584,38.5504,1.4391,18.7842,"R"
585,38.5734,1.4415,18.8163,"R"
586,38.5925,1.4434,18.8485,"R"
587,38.6933,1.4537,18.8807,"R"
588,38.919,1.4769,18.9128,"R"
589,38.9434,1.4794,18.945,"R"
590,38.9717,1.4823,18.9772,"R"
591,38.9976,1.485,19.0093,"D"
592,39.0718,1.4927,19.0415,"R"
593,39.0975,1.4954,19.0737,"R"
594,39.1162,1.4973,19.1058,"R"
595,39.1295,1.4987,19.138,"R"
596,39.2101,1.5071,19.1702,"R"
597,39.2346,1.5097,19.2023,"R"
598,39.2651,1.5129,19.2345,"R"
599,39.2793,1.5144,19.2666,"D"
600,39.3162,1.5183,19.2988,"R"
601,39.3416,1.521,19.331,"R"
602,39.4038,1.5275,19.3631,"R"
603,39.4253,1.5298,19.3953,"D"
604,39.4679,1.5343,19.4275,"R"
605,39.4928,1.537,19.4596,"R"
606,39.5357,1.5416,19.4918,"R"
607,39.5693,1.5452,19.524,"R"
608,39.5862,1.547,19.5561,"R"
609,39.5996,1.5484,19.5883,"R"
610,39.6349,1.5522,19.6205,"R"
611,39.7762,1.5675,19.6526,"R"
612,39.807,1.5709,19.6848,"R"
613,39.8273,1.5731,19.717,"R"
614,39.8515,1.5757,19.7491,"R"
615,39.8759,1.5784,19.7813,"R"
616,39.9245,1.5837,19.8134,"R"
617,39.9416,1.5856,19.8456,"R"
618,40.0063,1.5927,19.8778,"R"
619,40.0679,1.5995,19.9099,"R"
620,40.0806,1.6009,19.9421,"R"
621,40.1112,1.6042,19.9743,"R"
622,40.1421,1.6077,20.0064,"R"
623,40.1615,1.6098,20.0386,"R"
624,40.1887,1.6128,20.0708,"R"
625,40.2067,1.6148,20.1029,"R"
626,40.2292,1.6174,20.1351,"R"
627,40.2417,1.6188,20.1673,"R"
628,40.2747,1.6225,20.1994,"R"
629,40.4357,1.6406,20.2316,"R"
630,40.637,1.6633,20.2638,"R"
631,40.679,1.668,20.2959,"R"
632,40.7057,1.6711,20.3281,"R"
633,40.7211,1.6728,20.3602,"D"
634,40.7517,1.6763,20.3924,"D"
635,40.7694,1.6783,20.4246,"R"
636,40.7876,1.6804,20.4567,"R"
637,40.8176,1.6839,20.4889,"D"
638,40.8481,1.6874,20.5211,"R"
639,40.8745,1.6904,20.5532,"R"
640,40.9219,1.6959,20.5854,"R"
641,40.9408,1.6981,20.6176,"R"
642,40.9797,1.7026,20.6497,"R"
643,41.0192,1.7072,20.6819,"R"
644,41.0352,1.7091,20.7141,"R"
645,41.0528,1.7111,20.7462,"R"
646,41.085,1.7149,20.7784,"R"
647,41.1476,1.7223,20.8106,"R"
648,41.1795,1.7261,20.8427,"R"
649,41.2035,1.7289,20.8749,"R"
650,41.223,1.7313,20.907,"R"
651,41.2546,1.735,20.9392,"R"
652,41.2691,1.7368,20.9714,"R"
653,41.2884,1.7391,21.0035,"R"
654,41.3127,1.742,21.0357,"D"
655,41.4934,1.7638,21.0679,"R"
656,41.5127,1.7661,21.1,"R"
657,41.5346,1.7688,21.1322,"D"
658,41.5564,1.7715,21.1644,"R"
659,41.6064,1.7776,21.1965,"R"
660,41.659,1.784,21.2287,"R"
661,41.6761,1.7861,21.2609,"R"
662,41.6865,1.7873,21.293,"R"
663,41.7171,1.7911,21.3252,"R"
664,41.7364,1.7934,21.3573,"R"
665,41.754,1.7956,21.3895,"D"
666,41.7725,1.7979,21.4217,"R"
667,41.7937,1.8005,21.4538,"D"
668,41.879,1.811,21.486,"R"
669,41.9658,1.8217,21.5182,"R"
670,41.9893,1.8247,21.5503,"D"
671,42.0102,1.8273,21.5825,"R"
672,42.0173,1.8281,21.6147,"R"
673,42.0425,1.8313,21.6468,"R"
