"fips","name","state","votes_dem","votes_gop","votes_tot","two","winner","margin","aland_km2","density","pop","cx","cy","gcol","grow","gx","gy","r","grid_shift_km"
"31163","Sherman","Nebraska",328,1344,1687,1672,"R",60.7656,1465.61,1.14082,2959,1088,505,112,59,1078,495,1.89154,15.0362
"13213","Murray","Georgia",2459,14965,17468,17424,"R",71.7746,892.236,19.5285,39973,1624,784,161,85,1617,781,6.10622,6.88842
"16049","Idaho","Idaho",1460,8148,9858,9608,"R",69.6087,21956.6,0.43759,16541,557,225,64,34,550,220,4.53435,3.73577
"28093","Marshall","Mississippi",6888,7977,14983,14865,"R",7.32593,1829.03,8.12727,33752,1442,806,145,87,1441,803,5.64002,12.1628
"38009","Bottineau","North Dakota",735,2628,3422,3363,"R",56.289,4322.32,0.778054,6379,1041,143,108,27,1034,143,2.68264,13.4695
"08065","Lake","Colorado",2199,1557,3911,3756,"D",-17.0927,976.216,3.84751,7436,819,581,88,66,814,572,2.83505,8.35344
"17199","Williamson","Illinois",9890,22686,32998,32576,"R",39.2805,1088.34,29.9318,67153,1454,662,146,74,1452,660,8.34924,11.6948
"19127","Marshall","Iowa",7134,9815,17217,16949,"R",15.818,1482.78,11.4306,40105,1297,466,131,56,1287,462,6.02241,11.2073
"19065","Fayette","Iowa",3334,6325,9817,9659,"R",30.9659,1892.81,5.103,19509,1336,430,135,53,1331,429,4.54637,10.6976
"26077","Kalamazoo","Michigan",84501,58671,145646,143172,"D",-18.0412,1455.47,98.3685,261670,1555,435,155,53,1551,429,17.5036,3.73577
"29123","Madison","Missouri",986,4721,5753,5707,"R",65.4459,1280.45,4.45702,12626,1402,676,141,75,1397,671,3.49464,1.67069
"31111","Lincoln","Nebraska",3586,12674,16464,16260,"R",55.8918,6641.13,2.44838,34676,1025,510,107,60,1023,506,5.89873,8.99693
"20187","Stanton","Kansas",115,537,664,652,"R",64.7239,1762.1,0.370012,2084,979,675,103,75,979,671,1.1812,13.4695
"39023","Clark","Ohio",21847,40403,62835,62250,"R",29.8088,1025.32,60.7126,136001,1629,539,162,63,1628,539,11.5417,16.7902
"45023","Chester","South Carolina",6353,9030,15556,15383,"R",17.4023,1504.43,10.2251,32294,1760,771,174,84,1760,770,5.73745,16.7902
"48463","Uvalde","Texas",3218,6482,9769,9700,"R",33.6495,4019.46,2.41326,24564,1038,1064,108,110,1034,1056,4.556,6.88842
"28079","Leake","Mississippi",3182,5143,8380,8325,"R",23.5556,1509.7,5.51435,21275,1448,899,145,95,1441,891,4.22076,6.88842
"38041","Hettinger","North Dakota",192,1089,1294,1281,"R",70.0234,2932.49,0.436831,2489,981,252,103,36,979,242,1.65567,13.4695
"51685","Manassas Park","Virginia",3506,2314,5967,5820,"D",-20.4811,7.85755,740.689,17219,1865,557,183,64,1859,550,3.52907,3.73577
"13125","Glascock","Georgia",133,1534,1670,1667,"R",84.0432,372.299,4.47758,2884,1715,848,169,91,1705,847,1.88871,15.0362
"30051","Liberty","Montana",214,752,988,966,"R",55.6936,3703.65,0.260824,1959,720,129,79,25,715,121,1.43776,6.02375
"29510","St. Louis","Missouri",94458,19342,116082,113800,"D",-66.007,159.853,711.903,301578,1403,623,141,70,1397,616,15.6052,3.73577
"08001","Adams","Colorado",124056,103024,233336,227080,"D",-9.26193,3021.98,75.1429,519572,900,558,95,64,891,550,22.0439,10.1624
"12111","St. Lucie","Florida",83517,100293,185131,183810,"R",9.12682,1481.15,124.1,329226,1844,1108,181,114,1837,1100,19.8327,6.88842
"53033","King","Washington",832606,252193,1122881,1084799,"D",-53.5042,5479.63,197.97,2269675,375,101,48,23,374,99,48.1807,13.4695
"13113","Fayette","Georgia",35822,38177,74633,73999,"R",3.18248,504.257,146.749,119194,1641,849,163,91,1639,847,12.5838,11.6948
"18065","Henry","Indiana",5208,15033,20592,20241,"R",48.5401,1014.96,19.9427,48914,1572,544,156,63,1562,539,6.58134,10.6976
"20047","Edwards","Kansas",213,1042,1269,1255,"R",66.0558,1610.7,0.779165,2907,1071,663,111,74,1067,660,1.63878,6.88842
"17045","Edgar","Illinois",1816,5955,7906,7771,"R",53.2621,1614.4,4.81355,16866,1489,564,149,65,1485,561,4.0779,6.88842
"28101","Newton","Mississippi",2603,6641,9323,9244,"R",43.6824,1496.42,6.17742,21291,1465,914,147,97,1463,913,4.44763,13.4695
"20069","Gray","Kansas",324,1837,2193,2161,"R",70.0139,2250.36,0.960292,5653,1029,673,107,75,1023,671,2.15043,8.35344
"38081","Sargent","North Dakota",663,1325,2024,1988,"R",33.2998,2223.46,0.894101,3862,1139,274,117,38,1133,264,2.06256,10.6976
"39073","Hocking","Ohio",3704,9679,13489,13383,"R",44.6462,1091.29,12.2635,28050,1680,553,166,64,1672,550,5.35149,8.35344
"48207","Haskell","Texas",313,1918,2246,2231,"R",71.9408,2339.1,0.953784,5416,1046,884,109,94,1045,880,2.18498,11.2073
"48081","Coke","Texas",179,1623,1814,1802,"R",80.1332,2361.15,0.763186,3285,1012,944,106,99,1012,935,1.9637,15.403
"48125","Dickens","Texas",146,844,993,990,"R",70.5051,2335.45,0.4239,1770,1006,862,105,92,1001,858,1.45551,3.73577
"48089","Colorado","Texas",2108,7824,9994,9932,"R",57.5513,2487.14,3.99334,20557,1171,1056,120,110,1166,1056,4.61017,13.0485
"46073","Jerauld","South Dakota",276,708,999,984,"R",43.9024,1362.68,0.722108,1663,1104,370,114,47,1100,363,1.45109,5.01206
