"cid","name","office","party","total","against","committees"
"H2PA17079","CARTWRIGHT, MATT","H","DEMOCRATIC PARTY",2453436.58,1592840.35,14
"H8CA34266","GOMEZ, JIMMY","H","DEMOCRATIC PARTY",2387647.02,0,4
"H8CA39240","KIM, YOUNG","H","REPUBLICAN PARTY",2353381.02,0,5
"H6FL01119","GAETZ, MATT","H","REPUBLICAN PARTY",2341508.3,2151218.3,3
"H2CO05216","WILLIAMS, DAVID","H","REPUBLICAN PARTY",2320739.36,2320739.36,4
"H4MI08218","MCDONALD RIVET, KRISTEN","H","DEMOCRATIC PARTY",2293151.68,1211964.18,10
"H8MI13185","WATERS, MARY","H","DEMOCRATIC PARTY",2268731.96,2268731.96,1
"H4IN08249","MESSMER, MARK MR.","H","REPUBLICAN PARTY",2241221.99,77685,6
"H4AZ08140","TOMA, BEN","H","REPUBLICAN PARTY",2226904.53,26429.26,5
"H4OR03192","DEXTER, MAXINE","H","DEMOCRATIC PARTY",2214490,1500,2
"H6NV03139","ROSEN, JACKY","S","DEMOCRATIC PARTY",2191939.03,6420,7
"H2CT05222","LOGAN, GEORGE","H","REPUBLICAN PARTY",2047321.65,1425781.21,6
"H4NJ07107","ALTMAN, SUSAN","H","DEMOCRATIC PARTY",2035904.81,194313.64,12
"S8FL00273","SCOTT, RICK","S","REPUBLICAN PARTY",2006516.88,556000,12
"H4NC08066","HARRIS, MARK","H","REPUBLICAN PARTY",2005122.3,2005122.3,2
"H2WI03130","COOKE, REBECCA","H","DEMOCRATIC PARTY",2004899.65,592000,5
"H2WA04165","SESSLER, JERROD","H","REPUBLICAN PARTY",1979127,1959651.98,6
"H4CA16247","DIXON, PETER","H","DEMOCRATIC PARTY",1967036.5,0,1
"H8SC04250","TIMMONS, WILLIAM R","H","REPUBLICAN PARTY",1938396.66,0,3
"H2IA02111","BOHANNAN, CHRISTINA","H","DEMOCRATIC PARTY",1937330.23,1185981.9,10
"H8AL02171","MOORE, FELIX BARRY","H","REPUBLICAN PARTY",1936806.59,1660854.73,5
"S4WV00324","MOONEY, ALEXANDER","S","REPUBLICAN PARTY",1927816.81,706336.87,6
"S4MA00358","DEATON, JOHN","S","REPUBLICAN PARTY",1703292.79,0,1
"H4CA16239","LOW, EVAN","H","DEMOCRATIC PARTY",1682866.89,485100.1,8
"H0VA07133","MCGUIRE, JOHN","H","",1679793.13,0,1
"H4NC06052","WALKER, BRADLEY MARK MR.","H","REPUBLICAN PARTY",1653311.17,1205710.01,2
"S4NM00183","DOMENICI, NELLA","S","REPUBLICAN PARTY",1606308.44,1575786.17,3
"H4FL13200","FOX, WHITNEY","H","DEMOCRATIC PARTY",1580854.17,658843.36,3
"H2NY01190","LALOTA, NICK","H","REPUBLICAN PARTY",1543105.68,1415275.68,3
"H0TX35015","GONZALES, ERNEST","H","REPUBLICAN PARTY",1527265.83,86369.33,11
"H4TX12065","GOLDMAN, CRAIG","H","REPUBLICAN PARTY",1508978.82,44388.44,7
"H4VA02060","COTTER SMASAL, MISSY","H","DEMOCRATIC PARTY",1484499.03,592000,9
"H6MN02131","CRAIG, ANGELA","H","DEMOCRATIC PARTY",1483623.01,5247.46,10
"H4TX32089","JOHNSON, JULIE","H","DEMOCRATIC PARTY",1482988.92,0,6
"H8CA10126","HARDER, JOSH","H","DEMOCRATIC PARTY",1460468.7,1377746.02,3
"S8MO00160","HAWLEY, JOSHUA","S","REPUBLICAN PARTY",1428492.54,379164.6,5
"H4CO03357","HURD, JEFFREY","H","REPUBLICAN PARTY",1427802.13,98635.8,8
"H4ND00053","BECKER, RICK","H","REPUBLICAN PARTY",1417539.46,1115922.5,8
"H4VA07200","HAMILTON, CAMERON","H","REPUBLICAN PARTY",1401718.49,0,3
"H4VA10253","HELMER, DANIEL","H","",1364447.62,0,1
"H4AK00156","DAHLSTROM, NANCY","H","REPUBLICAN PARTY",1338250.09,587175.09,2
"H2NJ08232","MENENDEZ, ROBERT","H","DEMOCRATIC PARTY",1329259.64,458086.25,8
"H4IN03158","DAVIS, WENDY","H","REPUBLICAN PARTY",1237389.3,372803.95,2
"H4AZ08124","MASTERS, BLAKE","H","REPUBLICAN PARTY",1223666.57,257682.57,4
"P40011678","BIDEN, JOSEPH JR","P","DEMOCRATIC PARTY",1201000,1201000,1
"H6CA48245","BAUGH, SCOTT","H","REPUBLICAN PARTY",1187600.85,663832.92,7
"H4AZ08108","HAMADEH, ABRAHAM","H","REPUBLICAN PARTY",1166189.65,592669,5
"H4NH02399","GOODLANDER, MAGGIE","H","DEMOCRATIC PARTY",1166142.82,101435.66,5
"H4WA04104","NEWHOUSE, DAN","H","REPUBLICAN PARTY",1153448.53,192987.96,10
"P40011850","HUTCHINSON, W. ASA","P","REPUBLICAN PARTY",1142133.67,1875,2
"H8OR02161","MCLEOD-SKINNER, JAMIE","H","DEMOCRATIC PARTY",1124850,574890,4
"H4WV02205","MOORE, RILEY","H","REPUBLICAN PARTY",1104714.01,0,6
"H4CA47119","WEISS, JOANNA","H","DEMOCRATIC PARTY",1096240.59,0,5
"H8CA45148","MIN, DAVID","H","",1083435.27,0,1
"H2IL17147","SORENSEN, ERIC","H","DEMOCRATIC PARTY",1027467.43,86790.6,6
"H4TN05137","JOHNSTON, COURTNEY","H","REPUBLICAN PARTY",1012542.77,69902.17,4
"H2MI13204","THANEDAR, SHRI","H","DEMOCRATIC PARTY",1010142,0,1
"S6WY00068","BARRASSO, JOHN A","S","REPUBLICAN PARTY",1007627.5,0,4
"H4WI03169","COOKE, REBECCA","H","DEMOCRATIC PARTY",1006832.47,0,5
"H0WI08117","ROTH, ROGER","H","",1006031.39,0,1
"S2NM00088","HEINRICH, MARTIN","S","DEMOCRATIC PARTY",997225.48,948433.08,6
"H8WI01156","STEIL, BRYAN","H","REPUBLICAN PARTY",983933.36,119807.4,7
"H8CT08245","HAYES, JAHANA","H","",982187.36,982187.36,1
"H4NV03167","JOHNSON, DREW","H","REPUBLICAN PARTY",959073.83,741226.13,7
"H2NC05157","HINES, ROBERT","H","REPUBLICAN PARTY",953904.1,919172.07,3
"P40015430","FULKERSON, HEATH","P","INDEPENDENT",950000,0,1
"H4FL01213","DIMMOCK, AARON","H","REPUBLICAN PARTY",939215.85,0,1
"H4PA07118","MACKENZIE, RYAN","H","",936807.56,115681.92,2
"H4ND00061","FEDORCHAK, JULIE","H","REPUBLICAN PARTY",888241.34,582007.28,8
"H2KY04121","MASSIE, THOMAS H.","H","REPUBLICAN PARTY",881302.61,319783.3,3
"H0AL01055","CARL, JERRY LEE, JR","H","REPUBLICAN PARTY",877985.54,877985.54,3
"H4NC13140","DAUGHTRY, KELLY","H","REPUBLICAN PARTY",867952.63,678085.7,2
"H2PA18200","LEE, SUMMER","H","DEMOCRATIC PARTY",852184.55,0,11
"H4RI01174","MATOS, SABINA","H","DEMOCRATIC PARTY",821508.87,0,4
"H4PA17166","MERCURI, ROBERT","H","REPUBLICAN PARTY",806303.44,473048.87,4
"H2NC13243","HARRIGAN, PAT","H","REPUBLICAN PARTY",788108.6,0,4
"H4CA20181","FONG, VINCE","H","REPUBLICAN PARTY",779375.97,0,2
"S4NJ00466","KIM, ANDY","S","DEMOCRATIC PARTY",758294.51,324788.84,8
"H4NC01129","VON CANON, FRED","H","REPUBLICAN PARTY",757843.94,757843.94,2
"H8CT05245","HAYES, JAHANA","H","DEMOCRATIC PARTY",757420.23,77465.6,8
"P40014011","HURD, WILLIAM","P","REPUBLICAN PARTY",755197.72,0,1
"H4NJ03197","CONAWAY, HERB","H","",749104.75,0,5
"H6NV04020","LEE, SUSIE","H","DEMOCRATIC PARTY",740737.55,164661.72,10
"H4MT02098","DOWNING, TROY","H","REPUBLICAN PARTY",728668.02,0,3
"H4IN08108","HOSTETTLER, JOHN NATHAN","H","",715142.17,0,2
"H8MN05239","OMAR, ILHAN","H","DEMOCRATIC-FARMER-LABOR",703600.38,74939.92,9
"H4MN02177","TEIRAB, JOE","H","REPUBLICAN PARTY",700269.31,665251.17,2
"H4WI08119","WIED, TONY","H","REPUBLICAN PARTY",698784.39,693192.98,3
"H2SC04147","BURNS, MARK","H","REPUBLICAN PARTY",695330.01,498080.01,3
"H4VA10279","SUBRAMANYAM, SUHAS","H","DEMOCRATIC PARTY",691556.33,0,3
"H4AZ01202","CHERNY, ANDREI","H","DEMOCRATIC PARTY",682821.13,0,2
"S4MI00694","AMASH, JUSTIN","S","REPUBLICAN PARTY",681801.05,0,2
"P20003984","STEIN, JILL","P","GREEN PARTY",680309.07,12166.5,2
"S0TN00169","HAGERTY, BILL","S","REPUBLICAN PARTY",667500,0,1
"H4MI08259","DRAVES, MARY","H","UNKNOWN",665690,0,1
"H2MT02092","TRANEL, MONICA","H","DEMOCRATIC PARTY",647559.46,189500,5
"H2CO08079","KIRKMEYER, BARBARA","H","REPUBLICAN PARTY",635332.03,635332.03,1
"H2IL13153","BUDZINSKI, NIKKI","H","DEMOCRATIC PARTY",635284,0,4
"H4RI01216","REGUNBERG, AARON","H","DEMOCRATIC PARTY",632140.08,81000,5
"H6CO05142","CRANK, JEFF","H","REPUBLICAN PARTY",621130.47,6240,3
"H4NC08090","BRADFORD, JOHN R III","H","REPUBLICAN PARTY",612889.55,82050,2
"H2PA18259","PATEL, BHAVINI","H","DEMOCRATIC PARTY",612074.34,0,1
"H8NV03200","LEE, SUSIE","H","",605034.29,1065.72,3
"H6AK00268","HEIKES, GERALD L","H","REPUBLICAN PARTY",601476.81,601476.81,1
"H2CO03351","FRISCH, ADAM","H","DEMOCRATIC PARTY",598457.41,3875,4
"S0GA00559","WARNOCK, RAPHAEL","S","DEMOCRATIC PARTY",598239.15,0,6
"H4CA34083","KIM, DAVID","H","DEMOCRATIC PARTY",592413.64,592413.64,2
"H4IL17101","MCGRAW, JOE","H","REPUBLICAN PARTY",579942.27,170000,3
"H4UT02387","JENKINS, COLBY","H","REPUBLICAN PARTY",574036.91,0,4
"S4AZ00188","LAMB, MARK","S","REPUBLICAN PARTY",571270,0,2
"H4NC13116","KNOTT, BRAD","H","REPUBLICAN PARTY",566410.85,365380.5,3
"H2AZ01354","CRANE, ELI","H","REPUBLICAN PARTY",561865.21,0,8
"H4NH02332","VAN OSTERN, KEVIN","H","DEMOCRATIC PARTY",557992.2,455149.08,2
"H4MI03268","HUDSON, PAUL","H","REPUBLICAN PARTY",534448.62,85000,2
"H4NC14015","MOORE, TIM","H","REPUBLICAN PARTY",534028,0,2
"H0CO03165","BOEBERT, LAUREN","H","REPUBLICAN PARTY",531017.93,317929.62,5
"S2ND00115","BECKER, RICK","H","INDEPENDENT",515310,0,1
"H2OR06124","ERICKSON, MIKE","H","REPUBLICAN PARTY",509235.62,509235.62,1
"H4NJ07149","BHALLA, RAVI","H","DEMOCRATIC PARTY",507765.66,507765.66,2
"H8NV03036","TITUS, DINA","H","DEMOCRATIC PARTY",505211.21,1065.72,5
"H0IL07167","COLLINS, KINA","H","DEMOCRATIC PARTY",494453.18,494453.18,1
"H4OH02206","KIDD, LARRY","H","REPUBLICAN PARTY",479383.59,1383.59,2
"H4CO03407","HANKS, RON","H","REPUBLICAN PARTY",476848.32,475935.32,2
"H4OH01109","SONZA, ORLANDO","H","REPUBLICAN PARTY",470682.97,0,3
"H2OR04095","HOYLE, VALERIE","H","DEMOCRATIC PARTY",470062.97,452447.8,3
"S4VA00312","PARKINSON, SCOTT THOMAS","S","REPUBLICAN PARTY",468834.5,0,1
"H4MT01090","HAYES, DENNIS","H","LIBERTARIAN PARTY",453687.2,0,2
"S8MS00196","WICKER, ROGER","S","REPUBLICAN PARTY",450050,21910,3
"H2CA03157","KILEY, KEVIN","H","REPUBLICAN PARTY",448571.38,20000,4
"H4DE00045","MCBRIDE, SARAH","H","DEMOCRATIC PARTY",432573.59,0,2
"H4OH09185","PRUSS, TOM","H","LIBERTARIAN PARTY",423263.12,0,1
"H4MD06225","VOGEL, JOSEPH","H","DEMOCRATIC PARTY",422897.47,0,2
"H4FL25030","EDDY, CHRISTOPHER","H","REPUBLICAN PARTY",420150.37,0,1
"H4KS02164","SCHMIDT, DEREK","H","REPUBLICAN PARTY",416026.11,56183.71,4
"H4KS03212","REDDY, PRASANTH DR.","H","REPUBLICAN PARTY",411799.8,322140.4,3
"S2MA00170","WARREN, ELIZABETH","S","DEMOCRATIC PARTY",407982.62,407982.62,1
"H0NY15160","TORRES, RITCHIE","H","DEMOCRATIC PARTY",400365.9,0,3
"H4SC01313","BIGGS, SHERI","H","REPUBLICAN PARTY",398249.71,3972.38,3
"H4FL08168","HARIDOPOLOS, MIKE","H","UNKNOWN",396425.44,0,2
"H0IN03198","STUTZMAN, MARLIN A","H","REPUBLICAN PARTY",393226,0,1
"H4IN03232","SMITH, TIM","H","REPUBLICAN PARTY",392867.63,392867.63,1
"S8TN00337","BLACKBURN, MARSHA","S","REPUBLICAN PARTY",390569.2,0,2
"H2TN05446","OGLES, ANDY","H","REPUBLICAN PARTY",387577,0,5
"H8CA49058","LEVIN, MIKE","H","DEMOCRATIC PARTY",385745.65,142369.57,4
"H2PA17103","DELUZIO, CHRISTOPHER","H","DEMOCRATIC PARTY",383226.67,52337.26,15
"H4WA08139","GOERS, CARMEN","H","REPUBLICAN PARTY",375000,375000,2
"H4OH09151","MAJEWSKI, JR","H","REPUBLICAN PARTY",373365,373365,1
"H4IN05179","GOODRICH, CHARLES","H","REPUBLICAN PARTY",372468.32,47500,3
"H4OR05353","FEINTECH, SONJA","H","LIBERTARIAN PARTY",371340.31,0,2
"H4VA10204","FILLER-CORN, EILEEN","H","DEMOCRATIC PARTY",371282.72,187282.72,4
