"sid","name","total","against","pct_against","candidates"
"C00418897","VoteVets",13848411.21,6141648.7,44.3,22
"C00528554","RJC Victory Fund",13344390.75,12018049.72,90.1,16
"C00821439","American Values 2024",13168914.81,0,0,2
"C00707844","EDF Action Votes",12554191.73,10571213.22,84.2,26
"C00053553","NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND",12381044.88,4079099.99,32.9,114
"C00488742","National Association of Realtors Congressional Fund",11750451.66,0,0,9
"C00811166","The Sentinel Action Fund",11273304.79,2985732.27,26.5,12
"C00871368","Project 218",11065022.74,0,0,16
"C90011156","Working America",10902252.03,1595461.62,14.6,65
"C00004036","SEIU COPE (Service Employees International Union Committee On Political Education)",10614327.77,1878655.87,17.7,38
"C00857011","FIGHT RIGHT INC",10553442,10127832.33,96,3
"C00825091","Vote Alaska Before Party",10100649.18,10100649.18,100,4
"C00832691","Standing Strong PAC",10039363,9869363,98.3,2
"C00490375","National Nurses United for Patient Protection",9931109.8,0,0,12
"C00864926","AMERICA LEADS ACTION INC.",9750711.89,8958614.53,91.9,16
"C00540443","Giffords PAC",9623630.81,9388301.14,97.6,8
"C00688655","EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND)",9428677.71,5474826.21,58.1,25
"C00754051","WORKERS VOTE",9367527.36,940736.03,10,12
"C90018904","The Conservative Caucus dba Americans for Constitutional Liberty",8832163.23,329487.23,3.7,8
"C00606962","WORKING FAMILIES PARTY PAC",8655425.23,841516.71,9.7,31
"C00489856","ESAFund",8544882.93,7390038.24,86.5,5
"C00837427","PROJECT RESCUE AMERICA",8531652.32,8531652.32,100,1
"C00657866","Protect Freedom Political Action Committee",8294040.28,1313270,15.8,30
"C00530766","Women Speak Out PAC",8270434.58,6283867.01,76,11
"C00748475","CONSERVATIVE OUTSIDER PAC INC",8244160.17,2645179.24,32.1,5
"C00756569","Worker Power PAC",8072470.73,0,0,8
"C00544387","American Principles Project PAC",8027233.93,1869701.93,23.3,12
"C00841593","TELL IT LIKE IT IS PAC",7927900.58,2945187.05,37.1,2
"C00790923","BUCKEYE LEADERSHIP FUND",7664535.5,6462159.65,84.3,3
"C00668905","American Patriots PAC",7535769.2,4243614.64,56.3,5
"C00881805","SAG PAC INC.",7346958.03,7095581.03,96.6,3
"C00835967","CONSERVATIVES FOR AMERICAN EXCELLENCE INC.",7330603.74,5517775.9,75.3,18
"C00786830","WelcomePAC",6872554.79,1446780.72,21.1,13
"C00769232","JEFFERSON RISING",6694347.74,5725847.74,85.5,10
"C00869073","Power to the Polls Federal Fund",6689791.42,2950134.53,44.1,5
"C00859355","Battleground New York",6645033.82,202224.56,3,10
"C00833749","AMERICAN EXCEPTIONALISM PAC",6554190.89,0,0,1
"C00847145","STATE ACTION FUND PAC INC.",6343970.11,3517143.79,55.4,3
"C00883827","Civic Truth Action",6224326.48,0,0,2
"C00725820","The Lincoln Project",5992690.98,5347463.8,89.2,3
"C00801803","SOS AMERICA PAC",5941886.77,0,0,1
"C00483883","RETIRED AMERICANS PAC",5741048.15,4096028.21,71.3,10
"C00835041","Forward Blue PAC",5640592.88,833550,14.8,17
"C00698936","WFW ACTION FUND INC",5635018.73,1842083.85,32.7,14
"C00365536","CHC BOLD PAC",5586700.01,2323445.24,41.6,15
"C00633248","314 Action Fund",5528165.37,2505139.49,45.3,10
"C00448696","SENATE CONSERVATIVES FUND",5508605.23,0,0,16
"C00845685","Leadership for Ohio Fund",5477980.7,2229013.12,40.7,2
"C00855064","CONSERVATIVE VALUES FOR UTAH",5342129.42,353009.27,6.6,2
"C00030718","National Association of Realtors Political Action Committee",5339555.27,0,0,79
"C00753277","Black Voters Matter Action PAC",5228328.68,0,0,10
"C00831404","WITH HONOR FUND II, INC.",5221653.55,0,0,23
"C00860155","Montana Outdoor Values Action Fund",5050587.5,0,0,1
"C00733352","Americans 4 Security PAC",4944225.6,4938353.6,99.9,3
"C00882555","FUTURE COALITION PAC",4806118.9,1984759.09,41.3,2
"C90022328","NATIONAL INTEREST ACTION INC",4765675.9,2333915.6,49,5
"C00718353","MILLIONS OF MICHIGANIANS",4662300.59,1852510.74,39.7,4
"C00890335","STRATEGIC MAJORITY PAC",4556977.5,4556977.5,100,8
"C00888172","MAHA ALLIANCE",4540195.1,2077542.5,45.8,4
"C00701888","Unite the Country",4474497.24,205000,4.6,3
"C00740225","NRDC Action Votes",4404837.76,4404837.76,100,12
"C00815928","READY FOR RON",4345000,3335000,76.8,2
"C00882381","PEOPLE POWER PENNSYLVANIA",4317833.74,2174726.63,50.4,3
"C00011114","American Federation of State County & Municipal Employees PEOPLE",4307622.5,1207436.81,28,18
"C90022518","Ohio Works",4247968.95,1736189.59,40.9,2
"C00844282","PIVOTPAC",4213145.07,273415.18,6.5,2
"C00710848","DMFI PAC",4150217.61,1157123.89,27.9,49
"C00666388","Duty and Country",4032811.36,3193055,79.2,2
"C00550970","Equality PAC",3998694.54,179566.01,4.5,14
"C00804823","Mainstream Democrats PAC",3879980.67,1756987.95,45.3,12
"C00882050","TOGETHER FOR NEVADA'S FUTURE PAC",3844644,0,0,1
"C00872085","SOUTH CAROLINA PATRIOTS PAC",3815643,3307831.95,86.7,2
"C00662221","HOUSE FREEDOM ACTION",3766889.73,2089306.94,55.5,27
"C00808121","BIG RED LEADERSHIP PAC",3678246,1668478,45.4,2
"C00341396","MoveOn.org Political Action",3638429.66,632980.63,17.4,24
"C90022633","Campaign for a Family Friendly Economy",3582513.42,894303.42,25,2
"C00695528","America's Future Majority Fund",3570281.18,0,0,1
"C00625533","New American Jobs Fund",3546930.18,0,0,3
"C00692319","Voter Protection Project",3510428.71,1630991.25,46.5,16
"C00630665","Justice Democrats PAC",3505629.24,1046618.45,29.9,5
"C00504530","Congressional Leadership Fund",3422858.3,2992998.47,87.4,17
"C00772152","ELECT PRINCIPLED VETERANS FUND (EPV FUND)",3334317.33,0,0,13
"C90011172","AFSCME WORKING FAMILIES FUND",3329054.99,1669604.11,50.2,30
"C00863084","GOOD FIGHT",3325728,431387.88,13,4
"C00881474","FLORIDA PATRIOTS PAC",3090434.15,2151218.3,69.6,2
"C00832485","SHOW-ME STRONG PAC",3018691.38,3018691.38,100,1
"C00747121","RED SENATE",2921037.86,1934626.69,66.2,20
"C00865725","NEIGHBORS FOR RESULTS",2906348.26,485100.1,16.7,2
"C00738674","Reproductive Freedom For All Freedom Fund",2873866.02,1135606.88,39.5,21
"C00876391","THE IMPACT FUND",2852545.41,54571.24,1.9,6
"C00580068","Progressive Turnout Project",2841593.34,20556,0.7,2
"C00508440","Human Rights Campaign Equality Votes PAC",2771076.43,101139.93,3.6,24
"C00489799","Planned Parenthood Votes",2752632.49,1371110.1,49.8,28
"C00882399","ANTI-PSYCHOPATH PAC INC.",2711792.19,2711792.19,100,1
"C00877787","SAVE OUR COUNTRY",2650000,0,0,4
"C00547349","NextGen Climate Action Committee",2645825.22,0,0,1
"C00523621","United We Can",2642964.37,106751.55,4,9
"C00887141","NY Common Ground",2590502.6,0,0,7
"C00612820","Community Change Voters",2586442.7,101731.09,3.9,13
"C00559906","Americas PAC",2579984.5,2112984.5,81.9,3
"C00854893","NEBRASKA RAILROADERS FOR PUBLIC SAFETY",2472692.56,311453.74,12.6,3
"C00752048","Laborers' International Union of North America Political Fund",2442169.12,630682.66,25.8,2
"C00495861","Priorities USA Action",2331853.09,147613.12,6.3,10
"C00882266","BLUE WAVE ACTION D/B/A BWA",2321272.22,2268731.96,97.7,2
"C00746107","PROGRESSNOW AZ - FEDERAL",2240083.17,1144451.41,51.1,5
"C00840702","Pro-Choice Women",2227995.52,2227995.52,100,6
"C00544551","Heartland Resurgence",2186933.03,2163716.53,98.9,3
"C00779595","RSLC PAC",2118924.52,1200465.88,56.7,4
"C00875856","COMMONWEALTH UNITY FUND",2111275.41,407982.62,19.3,2
"C00883520","TURNOUT FOR AMERICA",2109156.45,1054578.22,50,2
"C90016627","Worker Power",2085299.04,0,0,4
"C90019316","Defending Democracy Together",2066655.92,1209390.38,58.5,2
"C00745745","IN UNION USA",2061874.95,872577.14,42.3,12
"C90021155","National Women's Law Center Action Fund",2004585.93,0,0,5
"C90017997","Black Progressive Action Coalition",1982480,0,0,2
"C00864272","Next Generation Veteran Fund",1967036.5,0,0,1
"C00864363","Pro-Choice Majority 2024",1953916,1723916,88.2,8
"C00835942","DEFEND OHIO VALUES PAC",1947061.8,19670.4,1,2
"C00858381","Independents Moving the Needle",1897240.14,0,0,1
"C00887968","EVANGELICALS FOR AMERICA PAC",1871000,0,0,1
"C00889931","BADGER VALUES",1803417.09,668558.9,37.1,3
"C00634774","COMMON SENSE FOR AMERICA PAC",1801895.62,0,0,9
"C00864348","INTEGRITY LEADERSHIP FUND",1781682.66,1722331.92,96.7,5
"C90022542","CLIMATE EMERGENCY ADVOCATES",1752800.12,0,0,10
"C00885707","Mainstream Colorado Fund",1749931.3,389000,22.2,2
"C00631549","Forward Majority Action",1739615,0,0,1
"C00762666","DEMOCRATIC MAJORITY ACTION (DMA PAC)",1717397.41,0,0,1
"C00826263","Hispanic Leadership Alliance",1713434.72,1267398.84,74,5
"C00685693","CASA In Action PAC",1709225.1,167526.38,9.8,17
"C00857177","GRANITE FOR AMERICA",1666389.71,0,0,1
"C00771477","MAKE AMERICA GREAT AGAIN ACTION INC",1619957.69,1619957.69,100,1
"C00854299","BOLD America",1614289,1292561.13,80.1,8
"C00648808","Veterans For Responsible Leadership",1611469.75,962767.75,59.7,4
"C00794396","SCHOOL FREEDOM FUND",1596941.38,1416772.4,88.7,3
"C00869321","VICTORY PAC",1596435.35,13940,0.9,4
"C00874156","MISSOURI CONSERVATIVES FOR CONGRESS PAC",1567970.97,442844.65,28.2,2
"C00684969","JDCA PAC",1556499.31,181830,11.7,23
"C00865055","Secure NYS PAC",1484640.5,1449640.5,97.6,2
"C90019472","Montana Rural Voters (WORC)",1451931.15,232743.82,16,2
"C00760124","NATIONAL VICTORY ACTION FUND",1427500,0,0,8
"C00624817","EARN INTERNATIONAL UNION OF OPERATING ENGINEERS",1426021.91,0,0,5
"C90022849","OUR COMMUNITY FIRST ACTION INC",1407280.2,0,0,1
"C00573261","End Citizens United",1404523.63,855317,60.9,12
"C00885947","Voters of These 50 States of America",1400000,0,0,1
"C00891135","SAVE WESTERN CULTURE",1381757.09,949768.81,68.7,27
"C00847236","Duty First Nevada PAC",1318618.82,0,0,1
"C00574749","CONSERVATIVES FOR EFFECTIVE GOVERNMENT",1318294.55,47500,3.6,2
"C00734657","Truth And Justice Fund Company",1301955.78,888852.76,68.3,2
"C00817122","GOA VICTORY FUND",1291388.81,0,0,18
"C00552851","HOUSE FREEDOM FUND",1251575.1,0,0,11
"C00608943","CLEARPATH ACTION FUND, INC.",1248128.61,16662.2,1.3,12
"C00770149","Shield PAC",1225000,0,0,7
"C90010620","VoteVets.org Action Fund",1211761.59,46368,3.8,3
"C00634261","DEFEND US PAC",1201000,1201000,100,1
"C00873877","Solidarity Victory PAC",1165353.67,0,0,4
"C00824292","American Leadership PAC",1146458.42,77685,6.8,5
"C00757419","SD PAC",1141500,757000,66.3,5
"C00831552","AMERICA STRONG AND FREE ACTION INC.",1140258.67,0,0,1
"C00879973","Democracy 2025",1133000,0,0,1
"C00891259","ZIONESS PAC",1089807.92,0,0,1
"C00524181","SENATE CONSERVATIVES ACTION",1089277.58,0,0,12
"C00839159","TEAM WEST VIRGINIA",1074488.11,129348.22,12,3
"C00568931","MI Planned Parenthood Votes",1069885.84,342800.42,32,6
"C00493262","MONTANA HUNTERS AND ANGLERS LEADERSHIP FUND",1063619.18,480957.5,45.2,2
"C00012476","UA Union Plumbers & Pipefitters Vote! PAC (United Association of Journeymen and Apprentices of the Plumbing & Pipefitting Industry of the United States and Canada)",1062960,0,0,1
"C00514125","The American Foundations Committee",1059990.64,1059990.64,100,2
"C00750182","OPPORTUNITY MATTERS FUND, INC.",1047773.7,0,0,1
"C00787945","BLUEWAVEAMERICA",1034604.52,53850,5.2,22
"C00808998","democracyFIRST PAC",1031928.44,1031928.44,100,3
"C00874503","SPEAK FREE OR DIE PAC",1028979.89,753192.98,73.2,3
"C00866269","CENTRAL VALLEY VALUES PAC",1027426.51,270350.54,26.3,3
"C00853713","WON'T PAC DOWN",1025000,0,0,1
"C00855213","SOUTH ALABAMA CONSERVATIVES PAC",1008234,1008234,100,1
"C00877191","Common Sense New York",1007751.23,0,0,3
"C00872655","ACLU VOTER EDUCATION FUND",1003478.37,1003478.37,100,1
"C00519363","NATIONAL HORIZON",1000000,1000000,100,1
"C00489815","NEA Advocacy Fund",994564.05,0,0,11
"C90015140","AFT Solidarity",990596.88,456186.63,46.1,10
"C00866368","CONSERVATIVE VOTERS ALLIANCE",986389.87,741319.5,75.2,4
"C00568444","CENTER FORWARD COMMITTEE",973690,0,0,10
"C00832980","ARIZONA'S BOLD ERA PAC (ABE PAC)",971108.48,284111.83,29.3,5
"C00850719","UnitedTech Governance Coalition for National Politics and Legislation",950000,0,0,1
"C00875039","HIGH PLAINS PAC",947440,0,0,1
"C00531624","LOCAL VOICES",946899.02,0,0,1
"C00884817","TEAMSTERS AGAINST TRUMP SUPER PAC",946181.33,275202.52,29.1,2
"C00875526","MAKE DC LISTEN PAC",945915.08,800417.08,84.6,2
"C00689745","MAKE THE ROAD ACTION INDEPENDENT EXPENDITURE COMMITTEE",945766.94,0,0,8
"C00887182","Planned Parenthood Votes North Carolina (FEC)",942418.03,888637.19,94.3,2
"C00878611","Conservatives With Character, Inc.",937447.6,0,0,1
"C90018367","MOMSRISING TOGETHER",933605.98,1000,0.1,14
"C00862094","GREAT OPPORTUNITY PAC, INC.",930000,465000,50,12
"C00852244","POLE POSITION PAC",925812.22,455000,49.1,2
"C90022500","Working New Jersey",912668.18,76050,8.3,5
"C00890087","DEFEND OUR CONSTITUTION PAC",910000,910000,100,1
"C00761064","API PA Votes",905666.38,47001.4,5.2,7
"C00532630","OUR AMERICAN CENTURY",905250,571000,63.1,4
"C00853770","A STRONG INNOVATION ECONOMY REQUIRES STRONG IP PROTECTION",890361.14,0,0,5
"C00343459","American College of Radiology Association PAC",888833.42,0,0,4
"C00868679","AMERICANS FOR CONTRACEPTION VICTORY FUND",887778.54,443889.27,50,4
"C00855924","CONSERVATIVE AMERICANS PAC",882921.09,706336.87,80,2
"C00890053","FUTURE PENNSYLVANIA PAC",874021.79,316666.81,36.2,9
"C00681825","LAW ENFORCEMENT FOR A SAFER AMERICA PAC",869000,349000,40.2,9
"C90021593","Rebuild USA",865721.11,830513.78,95.9,2
"C90017211","PARENTSTOGETHER ACTION",851353.06,0,0,1
"C00785121","AFFORDABLE ENERGY FUND PAC",849999.75,849999.75,100,1
"C00872150","ROCKY MOUNTAIN VALUES PAC",846216.47,846216.47,100,3
"C00000422","AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE",835000,0,0,2
"C00883207","NATIONAL INTEREST PAC",831894.7,351914.7,42.3,2
"C90019589","ALLIANCE FOR YOUTH ACTION",823217.45,0,0,3
"C00873679","Together for Progress 2024",818984.88,508435,62.1,21
"C90022864","Democratic Majority for Israel",803100,700400,87.2,2
"C00494021","CATHOLICVOTE.ORG CANDIDATE FUND",803000,524100,65.3,2
"C00878520","Moms for Safe Neighborhoods, Inc.",794215.2,794215.2,100,1
"C00647966","RURAL FREEDOM NETWORK",791550.46,0,0,3
"C00173153","American Association of Nurse Anesthetists Separate Segregated Fund (CRNA-PAC)",790000,0,0,5
"C00860148","WEST MICHIGAN FOR CHANGE",788746.59,339297.97,43,3
"C90023011","Keep Florida Clean Inc",787671.8,787671.8,100,1
"C90018300","MID-ATLANTIC LABORERS POLITICAL EDUCATION FUND",768336,0,0,2
"C00872119","VIRGINIANS FOR FREEDOM",761764.67,685889.67,90,2
"C00886093","For Michigan Action Fund",758604.98,0,0,2
"C00825885","PATRIOTS FOR A BRIGHTER AMERICA",757566,72800,9.6,40
"C00693531","FUTURE LEADERS FUND",755197.72,0,0,1
"C90011826","VOCES DE LA FRONTERA ACTION",753795.1,0,0,6
"C00885400","1959 PAC",751075,0,0,1
"C90022120","STAND UP AMERICA INC.",741377.84,179257.68,24.2,3
"C00859660","New Democrat Majority",736302.86,398248.08,54.1,8
"C90022716","Rally NC",722268.75,0,0,2
"C90022575","FAIR FUTURE NC",704234.04,704234.04,100,1
"C90016437","NATIONAL ASSOCIATION OF HOME BUILDERS",700000,0,0,2
"C00523241","SPECIAL OPERATIONS FOR AMERICA",698533,0,0,18
"C90022310","UNITED FOR DEMOCRACY",696939.06,663679.06,95.2,2
"C00756940","Texas Organizing Project PAC",694259.63,0,0,3
"C00833566","Constitutional Conservatives Fund",682936.83,92000,13.5,6
"C00513176","Congressional Progressive Caucus PAC",672896.65,0,0,3
"C00453704","EMGAGE FEDERAL POLITICAL ACTION COMMITTEE",667193.37,427218.25,64,6
"C00738039","Mijente PAC",661159.97,658000,99.5,2
"C00785899","Equality Project PAC",660577.9,0,0,5
"C00804633","RIGHT ARIZONA",656138,328069,50,2
"C00883322","The L & C Coalition",651691,110000,16.9,7
"C00880906","UNITED 2024",649577.69,324788.84,50,2
"C90022229","BRIGHTER FUTURE ALLIANCE",643384.6,639964.4,99.5,2
"C00540898","Tea Party Patriots Citizens Fund",635176.82,0,0,2
"C00620021","Common Defense Action Fund",632428.61,107981,17.1,6
"C00685297","Elect Democratic Women",629931.04,350000,55.6,3
"C00856427","SCREAMING EAGLE PAC INC.",622350,622350,100,1
"C00703082","ARTISTS UNITED FOR CHANGE",621210,621210,100,1
"C00747097","JUST THE TRUTH POLITICAL ACTION COMMITTEE",621000,617875,99.5,2
"C00790089","THE MODERATE PAC, INC.",612074.34,0,0,1
"C00750224","Concerned Americans For America",610002.33,0,0,1
"C00688580","TERM LIMITS ACTION",596941,596941,100,2
"C00684258","UnidosUS Action PAC",596137.62,0,0,5
"C00881482","1889 PAC",590572,295286,50,2
"C00736637","Committee To Protect Health Care PAC",584144.59,294341.66,50.4,2
"C00844530","Rolling Sea Action Fund",575903.45,50000,8.7,8
"C00800995","DEMOCRATIC MESSAGING PROJECT",572575.99,0,0,5
"C90009317","CENTER FOR VOTER INFORMATION (CVI)",572366.16,572366.16,100,1
"C00780841","PRINCIPLED VETERANS FUND (PV FUND)",572011.45,0,0,3
"C00838169","REPUBLICAN LEADERSHIP FUND INC",568725,113745,20,2
"C00879965","DRIVING FORCE ACTION",566300,566300,100,1
"C00890657","OLD LINE PAC",563696.24,0,0,1
"C90022369","American Encore",550000,0,0,1
"C00878041","Health Equity Now",549960,0,0,1
"C00868026","America's First Freedoms, Inc.",541881.5,0,0,1
"C00854869","OVRSITE PAC",536210.1,46210.1,8.6,2
"C00732172","SAVE AMERICA FUND",530142.75,0,0,3
"C00632398","Let America Vote PAC",525994,0,0,7
"C00863472","EDW Action Fund",525000,150000,28.6,2
"C00887851","WE DECIDE",524250,524250,100,7
"C00883561","College Republicans of America",523502.61,0,0,1
"C00826073","PROTECT WEST VIRGINIA VALUES PAC",523450,0,0,1
"C00758011","VOTAR ES PODER PAC",509429.46,72646,14.3,8
"C00737411","The Governing Majority Fund",508872.7,500855.76,98.4,4
"C00887703","STICKER PAC",504176.07,0,0,1
"C00867861","TAKE BACK YOUR LIBERTY",500744.53,0,0,1
"C00699801","VETERANS AID PAC",495264.27,0,0,3
"C00872127","LOWCOUNTRY CONSERVATIVES",495244.11,0,0,1
"C00739565","JERSEY REAL",491598.76,208398.86,42.4,5
"C00878652","MWSA INC.",491326.34,327550.89,66.7,3
"C00876094","Unity First PAC",490000,490000,100,2
"C00868604","Montanans for Public Lands",483694.83,0,0,1
"C00822536","Healthcare for Action PAC",479769,0,0,4
"C00681478","First for America",478000,0,0,1
"C90022484","Alliance for Better Minnesota State PAC",476119.82,0,0,2
"C00701805","AWAKE CAROLINA",474538.41,26937.25,5.7,2
"C00528448","UAW EDUCATION FUND",472073.97,0,0,1
"C00827253","Democratic Power, Inc.",469509.22,440083.04,93.7,4
"C00838268","Virginia Now",468834.5,0,0,1
"C00720649","Reform Leaders PAC",465420,0,0,2
"C00887992","BATTLE BORN PROGRESS - FEDERAL",461571.43,138471.43,30,2
"C00886804","FRECKA PAC",460700,0,0,1
"C00891077","Let's Get It Done PAC",459035.17,459035.17,100,1
"C90022427","Progress North Carolina Action",455975.81,2325,0.5,3
"C00870311","Listen to Us",455256.46,455256.46,100,2
"C00757294","Independent Alaska",453651.28,0,0,1
"C00885137","Speak Up PAC",451452,0,0,1
"C00739771","UNITE TO WIN",447994.81,0,0,1
"C00846428","United for Common Sense",442275.37,22125,5,2
"C00752089","ARIZONA REPUBLICANS WHO BELIEVE IN TREATING OTHERS WITH RESPECT",435176.81,0,0,1
"C00488486","Communications Workers of America - Working Voices",434610.95,1315,0.3,4
"C00787432","ALL FOR OUR COUNTRY",427769.4,213884.7,50,4
"C00754192","Orange County PAC",425511.81,0,0,1
"C00857631","RIGHT TEXAS",421766.05,0,0,1
"C00833228","PROJECT 72 WI PAC",421000,421000,100,1
"C00865923","BUILDING A STRONG AMERICA",419271.78,0,0,6
"C00891275","PROGRESSIVE CENTURY PROJECT",418577,418577,100,2
"C00504522","HUDSON FOR CONGRESS",413923,0,0,1
"C00007922","Laborers' International Union of North America (LIUNA) PAC",413809.77,0,0,1
"C00890392","Building America",413676,0,0,1
"C90018227","ANIMAL WELLNESS ACTION",411405.43,169703.77,41.2,12
"C00733915","Michigan Peoples Choice",411247.69,0,0,4
"C00812495","Fund the Future",410000,0,0,1
"C90022252","60 Plus",405745.04,1298.73,0.3,2
"C90022351","IBEW Educational Fund",399107.54,0,0,2
"C00879379","PENINSULA NEIGHBORS PAC",398874.8,0,0,1
"C00350991","NEW YORK STATE COMMITTEE OF THE WORKING FAMILIES PARTY",394701.69,0,0,2
"C00880070","ARAB AMERICANS FOR A BETTER AMERICA",393500,342250,87,4
"C00875450","CENTER FORWARD INITIATIVE INC",391272.8,0,0,6
"C00754754","Ruralvote.org",387837.24,0,0,3
"C00874115","STOP MAGA PAC",384442.9,311343.59,81,2
"C90019563","National Security Action",383500,0,0,1
"C00855379","America's Promise",382086.25,382086.25,100,1
"C00746628","Future Progress",380000,330000,86.8,2
"C00855809","Patriots Prevail PAC",379164.6,379164.6,100,1
"C00870766","OHIO TRUTH PAC",373365,373365,100,1
"C00884239","WOMEN4US, INC.",373142.64,0,0,1
"C00074450","Republican Party of Wisconsin",372564.16,8644.1,2.3,6
"C00562777","LATINO VICTORY FUND",367256.23,0,0,10
"C00886002","SUNSHINE PAC",358067,0,0,1
"C00025254","Minnesota Democratic-Farmer-Labor Party",355976.66,0,0,4
"C00544767","The Committee To Defeat The President",350497,290200,82.8,2
"C90018177","The Wilderness Society Action Fund",350008.65,0,0,1
"C00889246","ROOSEVELT SOCIETY ACTION",348537.34,76952.76,22.1,2
"C00887778","MOVING MONTANA FORWARD",344633.33,161015,46.7,2
"C00879221","Crush MAGA PAC",340000,340000,100,1
"C00773390","SUPPORT AMERICA'S POLICE PAC",337610.63,0,0,6
"C00760801","THE TURNOUT PROJECT",336525.11,8165.66,2.4,8
"C00885913","GenBlue PAC",333500,0,0,1
"C90022559","1199 SEIU New York State Political Action Fund",332431.75,36088.24,10.9,13
"C00865246","Fighting for Californians",327100.52,0,0,1
"C00763870","CAREER EDUCATION PAC",326918.62,0,0,4
"C00828608","Hardworking Americans Inc.",323688.45,183588.45,56.7,6
"C90022898","Independent Veterans of America",322601.32,0,0,1
"C90018045","United We Dream Action",311402.98,186780.48,60,3
"C00685552","Medicare For All",310009.96,0,0,4
"C90009994","National Wildlife Federation Action Fund",309805,0,0,2
"C00827030","Cedar Key Progress",306800,238900,77.9,2
"C00851410","Protect Liberty PAC",306666,0,0,6
"C00766659","November Coalition",305698.36,0,0,4
"C00540203","Defending Main Street SuperPAC Inc.",305626.5,0,0,2
"C00836916","Team Kennedy",305100.78,0,0,1
"C00890665","MI PODER PAC",305000,0,0,2
"C00752378","Our Future United",302675,0,0,1
"C90022872","In Union USA Action",300995.02,150497.51,50,6
"C00868612","LOUISIANA FAMILIES FIRST PAC",300000,0,0,1
"C00878678","FIGHT FOR FLORIDA PAC",296427.94,0,0,1
"C00891325","OAKLAND CORPS PAC",294516.02,147258.01,50,2
"C00113241","National Apartment Association Political Action Committee",293686,0,0,3
"C00807321","PROJECT DEMOCRACY",292009,153200,52.5,3
"C00874750","GEN-DEMOCRACY",290791.6,0,0,2
"C00739557","Asian American Advocacy Fund PAC",287213.41,0,0,1
"C00704593","Blue Battleground Project",286500,0,0,3
"C00509893","NATIONAL RIGHT TO LIFE VICTORY FUND",286375.62,0,0,57
