"sid","cid","side","amount"
"C00519363","H8NY22177","O",1000000
"C00835959","H2IA03119","S",999283.5
"C90017997","P00009423","S",991240
"C90017997","S4MD00327","S",991240
"C00448696","S2TX00312","S",987385.35
"C00075820","H8CT08245","O",982187.36
"C00486845","H2IA03119","O",980984.79
"C00835967","H4TX26149","O",978005.79
"C00835959","H6MN02131","S",973501
"C00698936","H2IA02111","O",972500
"C00687103","P80001571","O",972033.24
"C00687103","P80000722","O",972033.23
"C00738674","P80000722","S",970197.88
"C00490375","S4MD00327","S",968566.36
"C00488742","H6TX15162","S",966989
"C00886614","H0WI03175","O",963988.46
"C00648808","P80001571","O",962767.75
"C00848440","H4TX32089","S",961800
"C00486845","H4CA45170","S",959705.64
"C00869073","S2WI00219","S",957548.52
"C00528554","H4IN08249","S",954925
"C00489799","P80001571","O",954728.3
"C00871368","H2AZ02311","S",953895
"C00871368","H4AZ01194","S",953895
"C00850719","P40015430","S",950000
"C00053553","S6OH00163","O",949380.07
"C00875039","S6WY00068","S",947440
"C00531624","P00009423","S",946899.02
"C00630665","H0NY16143","S",945973.1
"C90016627","P80000722","S",945019.61
"C00754051","P80001571","O",940736.03
"C00881474","H4FL01213","S",939215.85
"C00878611","H4TN05137","S",937447.6
"C00831404","H8ME02185","S",934848.8
"C00688655","H0CA25105","O",931501.46
"C90016627","H4AZ07043","S",930742.65
"C00540443","H6NE02125","O",929846.42
"C00786830","H4FL13200","S",922010.81
"C00779595","P80001571","S",918458.64
"C00075820","H6NY03247","O",917193.76
"C00495028","H2AZ02311","S",916274.49
"C00710848","H4NY16087","S",910681.56
"C00844613","S2OH00477","O",910528.53
"C00890087","S2PA00661","O",910000
"C00448696","S8MO00160","S",908872.05
"C00550970","H4WA06117","S",908463.24
"C00804823","H4MO01134","S",905055.22
"C00886614","H2IA03119","O",902205.62
"C00835959","H6NY03247","S",902176
"C00707844","H6NV03139","S",901597.33
"C90022633","P80001571","O",894303.42
"C00835967","H2NC05157","O",892234.82
"C00848440","H4VA07234","S",889852
"C00662221","H4PA10104","O",889537.33
"C00734657","S4MT00183","O",888852.76
"C00887182","P80001571","O",888637.19
"C00571588","P80001571","S",886772.48
"C00530766","S4AZ00139","O",886743.74
"C00701888","P80000722","S",879097.07
"C00687103","S2NV00308","S",877713.06
"C00530766","S4OH00192","S",876574.59
"C00831404","H6NE02125","S",870345.9
"C00418897","H4NY18117","O",869012.42
"C00448696","S8FL00273","S",867415.31
"C00687103","H2VA07170","S",865576
"C00698936","H4IN03158","S",864585.35
"C00844613","H4AZ01194","O",864444.33
"C90019316","P40010977","S",857265.54
"C00870592","S4WI00256","S",853485.38
"C00744920","S2WI00219","S",851545
"C90017211","P00009423","S",851353.06
"C00707844","H2MI10150","O",851336.82
"C00785121","P00009423","O",849999.75
"C00890335","H2AZ02311","O",845500
"C00666388","S6OH00163","S",839756.36
"C00859355","H4NY22085","S",835674.33
"C00418897","P00009423","S",835446.17
"C00835967","H2CO05216","O",835259.48
"C90021593","P80001571","O",830513.78
"C00540443","H2NY17162","O",829995.69
"C00707844","H4CO08034","O",829854.02
"C00831404","H8IA02043","S",827311
"C00811166","S2PA00661","S",826520.64
"C00486845","H4OH09169","O",826427.83
"C00486845","S4OH00192","O",825499.97
"C00687103","H8IA02043","S",824070.11
"C00606962","H4NJ07107","S",822815.52
"C00687103","H4PA07118","S",821125.64
"C00687103","H2CA13131","S",820119.51
"C00625533","H2OH13264","S",818252.04
"C00835959","H2IL17147","S",817169
"C00473918","H4CA47119","S",813534.28
"C00835959","H0TX15124","S",813215
"C00769232","S8NV00156","O",810500
"C00004036","H6NV03139","S",802334.75
"C00875526","H4MO03239","O",800417.08
"C00687103","H2MI07123","S",799281.35
"C00657866","S4UT00217","S",794364.25
"C00769232","S2NM00088","O",794300
"C00878520","S4AZ00139","O",794215.2
"C00787945","P00009423","S",792385.18
"C00488742","H8PA15229","S",789777
"C00657866","H0VA05160","S",788378.26
"C90023011","P80000722","O",787671.8
"C00669259","P80000722","S",779125.21
"C00495028","H4MI08218","S",774988.77
"C00835041","S6OH00163","S",771905.4
"C00606962","H4NY16087","O",769035
"C00746107","P00009423","S",767706.03
"C00486845","H2CO08020","S",766624.28
"C00747121","S2TX00312","S",766420.57
"C00835959","H8WI01156","S",764206.1
"C00684969","P00009423","S",763640.91
"C00687103","H4AZ06045","S",762671.45
"C90022328","H4MO03221","O",762329.86
"C00473918","S4MI00595","O",762307.5
"C00844613","P80001571","S",762238.85
"C00794396","S6MT00162","O",761486.86
"C00876482","P40011793","S",759904.12
"C00657866","H2WA03100","S",757837.68
