"id","kind","name","total","pct_against","degree","office","party","x","y"
"H4AZ06045","candidate","SCHWEIKERT, DAVID",14527497.36,94.1,2,"H","REPUBLICAN PARTY",349.4,542
"H4CA27111","candidate","WHITESIDES, GEORGE",6945546.21,35.1,3,"H","DEMOCRATIC PARTY",382.6,349.9
"H4CA45170","candidate","TRAN, DEREK",5502002.04,7.6,1,"H","DEMOCRATIC PARTY",345.2,452.6
"H4CA47085","candidate","MIN, DAVE",12289252.98,65.9,4,"H","DEMOCRATIC PARTY",409.2,306.3
"H4CA49149","candidate","GUNDERSON, MATT",2648310.79,99.8,1,"H","REPUBLICAN PARTY",350.2,574.2
"H4CO03357","candidate","HURD, JEFFREY",1427802.13,6.9,1,"H","REPUBLICAN PARTY",614.3,385.3
"H4CO08034","candidate","EVANS, TIMOTHY",13359393.45,89.4,3,"H","REPUBLICAN PARTY",505.4,401.2
"H4GA03126","candidate","JACK, BRIAN",2620882.29,4.1,1,"H","REPUBLICAN PARTY",788,179.6
"H4IN08264","candidate","HOSTETTLER, JOHN",3078699.46,100,1,"H","",303.2,122.9
"H4MD03156","candidate","ELFRETH, SARAH",4396845.79,0,1,"H","DEMOCRATIC PARTY",272.1,129.1
"H4ME02291","candidate","THERIAULT, AUSTIN LEO",14964876.33,96.1,2,"H","REPUBLICAN PARTY",404,551.2
"H4MI07210","candidate","HERTEL, CURTIS",3604173.28,71.6,1,"H","DEMOCRATIC PARTY",213.6,277
"H4MI08218","candidate","MCDONALD RIVET, KRISTEN",2293151.68,52.9,1,"H","DEMOCRATIC PARTY",182.4,275.9
"H4MO01134","candidate","BELL, WESLEY",5633751.2,11.6,1,"H","DEMOCRATIC PARTY",267.1,164.1
"H4MT01041","candidate","ZINKE, RYAN",5489140.34,97,1,"H","REPUBLICAN PARTY",349.7,488.2
"H4NC01137","candidate","BUCKHOUT, LAURIE",15286384.51,97.5,2,"H","REPUBLICAN PARTY",374.4,550.6
"H4NY03283","candidate","PILIP, MAZI",11394133.52,94.6,2,"H","REPUBLICAN PARTY",326,502.1
"H4NY04158","candidate","GILLEN, LAURA",7303021.71,29,2,"H","",376.2,288.6
"H4NY16087","candidate","LATIMER, GEORGE",6939596,19.4,1,"H","DEMOCRATIC PARTY",315.2,94.6
"H4NY18117","candidate","ESPOSITO, ALISON",3638916.26,82.6,1,"H","REPUBLICAN PARTY",317.6,551.8
"H4NY22085","candidate","MANNION, JOHN",5229397.67,26.8,1,"H","DEMOCRATIC PARTY",243.2,251.9
"H4OH09169","candidate","MERRIN, DEREK",9960295.74,93.6,2,"H","REPUBLICAN PARTY",302.6,496.8
