"from_2020","to_2024","weight","pop"
"APPLING|1B","APPLING|1B",1,1856
"CARROLL|WEST CARROLLTON","CARROLL|UWG",0.000696,6
"CARROLL|WHITESBURG","CARROLL|WHITESBURG",1,2854
"CATOOSA|BLACKSTOCK","CATOOSA|BLACKSTOCK",1,3230
"CATOOSA|BOYNTON","CATOOSA|BOYNTON",1,8274
"CATOOSA|CATOOSA KEITH","CATOOSA|CATOOSA KEITH",1,3847
"CATOOSA|CHAMBERS","CATOOSA|CHAMBERS",1,3452
"CATOOSA|FT OGLETHORPE","CATOOSA|FT OGLETHORPE",1,6518
"CATOOSA|GRAYSVILLE","CATOOSA|GRAYSVILLE",1,6661
"CATOOSA|LAKEVIEW","CATOOSA|LAKEVIEW",1,5964
"CATOOSA|POPLAR SPRINGS","CATOOSA|POPLAR SPRINGS",1,5823
"CATOOSA|RINGGOLD","CATOOSA|RINGGOLD",1,10685
"CATOOSA|WESTSIDE","CATOOSA|WESTSIDE",1,9197
"CATOOSA|WOODSTATION","CATOOSA|WOODSTATION",1,4221
"CHARLTON|AMERICAN LEGION","CHARLTON|FOLKSTON",1,1046
"CHARLTON|FOLKSTON","CHARLTON|FOLKSTON",0.996462,5915
"CHARLTON|FOLKSTON","CHARLTON|HOMELAND",0.003538,21
"CHARLTON|FOLKSTON FIRE","CHARLTON|FOLKSTON",0.940208,1085
"CHARLTON|FOLKSTON FIRE","CHARLTON|HOMELAND",0.059792,69
"CHARLTON|GA BEND","CHARLTON|GA BEND",1,1121
"CHARLTON|HOMELAND","CHARLTON|HOMELAND",0.849085,1114
"CHARLTON|HOMELAND","CHARLTON|FOLKSTON",0.150915,198
"CHARLTON|RACEPOND","CHARLTON|RACEPOND",1,373
"CHARLTON|ST. GEORGE","CHARLTON|ST. GEORGE",1,1116
"CHARLTON|WINOKUR","CHARLTON|WINOKUR",1,460
"CHATHAM|ALDERSGATE YOUTH CENTER","CHATHAM|NEW GENERATIONS CATHEDRAL",1,2804
"CHATHAM|BAMBOO FARMS","CHATHAM|COASTAL GA BOTANICAL GARDENS",1,8354
"CHATHAM|BARTLETT MIDDLE SCHOOL","CHATHAM|IMMANUEL BAPTIST CHURCH",1,1559
"CHATHAM|BEACH HIGH SCHOOL","CHATHAM|BEACH HIGH SCHOOL",1,4030
"CHATHAM|BIBLE BAPTIST CHURCH","CHATHAM|BIBLE BAPTIST CHURCH",1,4357
"CHATHAM|BLACKSHEAR COMMUNITY CENTER","CHATHAM|RIVER POINTE",1,2760
"CHATHAM|BLOOMINGDALE COMMUNITY CENTER","CHATHAM|BLOOMINGDALE COMMUNITY CENTER",1,4854
"CHATHAM|BUTLER ELEMENTARY SC","CHATHAM|BUTLER ELEMENTARY SC",1,1577
"CHATHAM|BUTLER PRESBYTERIAN CHURCH ED BLDG","CHATHAM|BUTLER PRESBYTERIAN CHURCH ED BLDG",1,1765
"CHATHAM|CARVER HEIGHTS COMM","CHATHAM|CARVER HEIGHTS COMM",1,2173
"CHATHAM|CENTRAL CHURCH OF CHRIST","CHATHAM|CENTRAL CHURCH OF CHRIST",1,2434
"CHATHAM|CHRIST COMMUNITY CHURCH AT MORNINGSIDE","CHATHAM|CHRIST COMMUNITY CHURCH AT MORNINGSIDE",1,3822
"CHATHAM|CHRIST MEMORIAL BAPTIST CHURCH","CHATHAM|CHRIST MEMORIAL BAPTIST CHURCH",1,3679
"CHATHAM|CIVIC CENTER","CHATHAM|RALPH MARK GILBERT CIVIL RIGHTS MUSEUM",1,5355
"CHATHAM|COASTAL CATHEDRAL","CHATHAM|COASTAL CATHEDRAL",0.805026,8650
"CHATHAM|COASTAL CATHEDRAL","CHATHAM|POOLER RECREATION CENTER GYMNASIUM",0.194974,2095
"CHATHAM|COKESBURY METHODIST CHURCH","CHATHAM|THE CONNEXION CHURCH",1,847
"CHATHAM|COMPASSION CHRISTIAN CHURCH","CHATHAM|ST. LUKE UNITED METHODIST CHURCH",1,2236
"CHATHAM|COURTYARD BY MARRIOTT","CHATHAM|GEORGIA TECH, SAVANNAH CAMPUS",0.372252,4572
"CHATHAM|COURTYARD BY MARRIOTT","CHATHAM|SAVANNAH FIRE STATION #14",0.303534,3728
"CHATHAM|COURTYARD BY MARRIOTT","CHATHAM|SAVANNAH FIRST SEVENTH DAY ADVENTIST CHURCH",0.289204,3552
"CHATHAM|COURTYARD BY MARRIOTT","CHATHAM|LAKE SHORE COMMUNITY CENTER",0.035011,430
"CHATHAM|CRUSADER COMMUNITY CENTER","CHATHAM|CRUSADER COMMUNITY CENTER",1,3627
"CHATHAM|ELI WHITNEY COMPLEX","CHATHAM|ELI WHITNEY COMPLEX",1,2459
"CHATHAM|FELLOWSHIP OF LOVE COMMUNITY CHURCH","CHATHAM|FELLOWSHIP OF LOVE COMMUNITY CHURCH",0.790972,3084
"CHATHAM|FELLOWSHIP OF LOVE COMMUNITY CHURCH","CHATHAM|HOLY SPIRIT LUTHERAN CHURCH",0.209028,815
"CHATHAM|FERGUSON AVE BAPTIST","CHATHAM|FERGUSON AVE BAPTIST",1,4443
"CHATHAM|FIRST AFRICAN BAPTIST CHURCH","CHATHAM|FIRST AFRICAN BAPTIST CHURCH",1,1996
"CHATHAM|FIRST BAPTIST CH GARDEN CITY","CHATHAM|COOPER CENTER",1,2562
"CHATHAM|FIRST BAPTIST CHURCH OF THE ISLAND","CHATHAM|FIRST BAPTIST CHURCH OF THE ISLAND",1,2675
"CHATHAM|FIRST PRESBYTERIAN CHURCH","CHATHAM|FIRST PRESBYTERIAN CHURCH",1,3792
"CHATHAM|FRANK MURRAY COMMUNITY CENTER","CHATHAM|ISLANDS HIGH SCHOOL ANNEX",1,3320
"CHATHAM|GARDEN CITY SENIOR CENTER","CHATHAM|FIRST BAPTIST CHURCH OF GARDEN CITY",1,2457
"CHATHAM|GRACE UNITED METHODIST CHURCH","CHATHAM|GRACE UNITED METHODIST CHURCH",1,2461
"CHATHAM|GUARD HOUSE COMM CTR","CHATHAM|BURKE DAY PUBLIC SAFETY BLDG",1,1727
"CHATHAM|HELLENIC CENTER","CHATHAM|HELLENIC CENTER",1,2807
"CHATHAM|HOLY SPIRIT LUTHERAN CHURCH","CHATHAM|HOLY SPIRIT LUTHERAN CHURCH",1,2381
"CHATHAM|IMMANUEL BAPTIST CHURCH","CHATHAM|IMMANUEL BAPTIST CHURCH",1,1147
"CHATHAM|ISLANDS CHRISTIAN CH","CHATHAM|ISLANDS CHRISTIAN CH",1,3993
"CHATHAM|ISLE OF HOPE BAPTIST","CHATHAM|ISLE OF HOPE BAPTIST",1,2314
"CHATHAM|J E A","CHATHAM|J E A",1,2979
"CHATHAM|JENKINS HIGH SCHOOL","CHATHAM|THE CONNEXION CHURCH",1,1528
"CHATHAM|LAKE SHORE COMMUNITY CENTER","CHATHAM|LAKE SHORE COMMUNITY CENTER",1,4386
"CHATHAM|LARGO-TIBET ELEMENTA","CHATHAM|LARGO-TIBET ELEMENTA",1,4599
"CHATHAM|LIBERTY CITY COMMUNITY CENTER","CHATHAM|LIBERTY CITY COMMUNITY CENTER",1,2962
"CHATHAM|LIGHTHOUSE BAPTIST CHURCH","CHATHAM|LIGHTHOUSE BAPTIST CHURCH",1,2858
"CHATHAM|MIGHTY EIGHTH MUSEUM","CHATHAM|MIGHTY 8TH MUSEUM",1,4860
"CHATHAM|MOSES JACKSON CENTER","CHATHAM|MOSES JACKSON CENTER",1,1695
"CHATHAM|NEW COV 7 DAY ADV CH","CHATHAM|NEW COV 7 DAY ADV CH",1,2879
"CHATHAM|OGLETHORPE CHARTER ACADEMY","CHATHAM|OGLETHORPE CHARTER ACADEMY",1,3070
"CHATHAM|OLD COURTHOUSE","CHATHAM|RALPH MARK GILBERT CIVIL RIGHTS MUSEUM",1,882
"CHATHAM|PB EDWARDS GYMNASIUM","CHATHAM|PB EDWARDS GYMNASIUM",1,2072
"CHATHAM|POOLER CITY HALL","CHATHAM|1ST BAPTIST CHURCH OF POOLER",0.990006,5250
"CHATHAM|POOLER CITY HALL","CHATHAM|ROTHWELL BAPTIST CHURCH",0.009994,53
"CHATHAM|POOLER RECREATION CENTER GYMNASIUM","CHATHAM|POOLER RECREATION CENTER GYMNASIUM",0.547397,5330
"CHATHAM|POOLER RECREATION CENTER GYMNASIUM","CHATHAM|WEST CHATHAM BAPTIST CHURCH",0.452603,4407
"CHATHAM|PROGRESSIVE REC CTR","CHATHAM|PROGRESSIVE REC CTR",1,6390
"CHATHAM|RESURRECTION OF OUR LORD CATHOLIC CHURCH","CHATHAM|RESURRECTION OF OUR LORD CATHOLIC CHURCH",1,2104
"CHATHAM|RICE CREEK SCHOOL","CHATHAM|RICE CREEK SCHOOL",1,4058
"CHATHAM|ROTHWELL BAPTIST CHURCH","CHATHAM|ROTHWELL BAPTIST CHURCH",1,5502
"CHATHAM|SAINT FRANCIS EPISCOPAL CHURCH","CHATHAM|SAINT FRANCIS EPISCOPAL CHURCH",1,2950
"CHATHAM|SALVATION ARMY","CHATHAM|SALVATION ARMY",1,4201
