county,precincts,Donald J. Trump,Kamala D. Harris,Chase Oliver,Jill Stein,Claudia De la Cruz,Cornel West,total,dem_two_party_pct
McIntosh,5,4747,2628,25,8,0,0,7408,35.63
Meriwether,14,7375,4373,28,12,0,0,11788,37.22
Miller,1,2045,670,5,4,0,0,2724,24.68
Mitchell,11,5150,3701,18,8,0,0,8877,41.81
Monroe,14,12954,4689,41,20,0,0,17704,26.58
Montgomery,3,3033,927,9,4,0,0,3973,23.41
Morgan,5,9589,3533,49,10,0,0,13181,26.92
Murray,7,14965,2459,29,15,0,0,17468,14.11
Muscogee,25,30616,49413,255,207,0,0,80491,61.74
Newton,19,24893,33839,190,129,0,0,59051,57.62
Oconee,8,18424,8620,164,79,0,0,27287,31.87
Oglethorpe,3,6255,2515,26,26,0,0,8822,28.68
Paulding,21,58769,35802,402,223,0,0,95196,37.86
Peach,7,7104,6293,39,18,0,0,13454,46.97
Pickens,12,17281,3522,84,28,0,0,20915,16.93
Pierce,8,8655,1089,15,2,0,0,9761,11.18
Pike,8,10864,1648,29,8,0,0,12549,13.17
Polk,7,15352,3749,47,23,0,0,19171,19.63
Pulaski,1,3036,1281,14,5,0,0,4336,29.67
Putnam,5,9136,3696,33,12,0,0,12877,28.8
Quitman,2,656,480,4,0,0,0,1140,42.25
Rabun,1,8151,2222,35,15,0,0,10423,21.42
Randolph,6,1373,1601,12,4,0,0,2990,53.83
Richmond,68,26472,56657,275,174,0,0,83578,68.16
Rockdale,16,11711,33165,149,135,0,0,45160,73.9
Schley,1,1970,453,3,2,0,0,2428,18.7
Screven,7,4325,2581,11,3,0,0,6920,37.37
Seminole,5,2811,1191,3,2,0,0,4007,29.76
Spalding,17,19184,13679,115,60,0,0,33038,41.62
Stephens,1,10632,2404,47,16,0,0,13099,18.44
Stewart,4,847,1177,3,1,0,0,2028,58.15
Sumter,11,5869,6136,28,16,0,0,12049,51.11
Talbot,7,1483,1888,5,3,0,0,3379,56.01
Taliaferro,2,375,507,1,1,0,0,884,57.48
Tattnall,8,6515,1967,19,11,0,0,8512,23.19
Taylor,3,2600,1366,9,7,0,0,3982,34.44
Telfair,6,2930,1274,7,3,0,0,4214,30.3
Terrell,6,2075,2253,7,6,0,0,4341,52.06
Thomas,20,13670,8347,37,26,0,0,22080,37.91
Tift,12,11496,5438,35,20,0,0,16989,32.11
Toombs,5,8208,2674,18,12,0,0,10912,24.57
Towns,2,7155,1649,27,7,0,0,8838,18.73
Treutlen,2,2250,864,2,5,0,0,3121,27.75
Troup,13,19392,11757,102,53,0,0,31304,37.74
Turner,3,2457,1365,10,1,0,0,3833,35.71
Twiggs,5,2549,1895,7,5,0,0,4456,42.64
Union,11,14477,3309,68,26,0,0,17880,18.6
Upson,4,9528,4098,25,11,0,0,13662,30.07
Walker,11,25462,6436,132,56,0,0,32086,20.18
Walton,19,42407,15605,249,115,0,0,58376,26.9
Ware,13,10279,4068,24,21,0,0,14392,28.35
Warren,1,1232,1354,5,1,0,0,2592,52.36
Washington,8,4824,4643,17,9,0,0,9493,49.04
Wayne,12,10811,2708,23,19,0,0,13561,20.03
Webster,1,790,544,1,1,0,0,1336,40.78
Wheeler,2,1648,622,5,1,0,0,2276,27.4
White,10,14136,2609,60,20,0,0,16825,15.58
Whitfield,23,28655,10953,128,92,0,0,39828,27.65
Wilcox,6,2493,847,6,1,0,0,3347,25.36
Wilkes,7,2971,2112,8,7,0,0,5098,41.55
Wilkinson,9,2888,2012,4,4,0,0,4908,41.06
Worth,12,6991,2300,9,9,0,0,9309,24.76
