county,precinct,registered,ballots_cast,Joseph R. Biden,Donald J. Trump,Jo Jorgensen,total,dem_two_party_pct
Bulloch,Sinkhole,488,361,60,298,2,360,16.76
Bulloch,Statesboro,6312,4059,2074,1907,59,4040,52.1
Bulloch,Stilson,2137,1443,236,1193,11,1440,16.52
Burke,Alexander,389,276,113,158,1,272,41.7
Burke,Blakeney,681,407,237,165,1,403,58.96
Burke,Four Points,2558,1615,503,1086,10,1599,31.66
Burke,Girard,733,478,242,232,3,477,51.05
Burke,Gough,434,311,189,116,2,307,61.97
Burke,Greenscut,1036,688,271,412,4,687,39.68
Burke,Keysville,476,265,141,119,3,263,54.23
Burke,Midville,492,307,181,122,2,305,59.74
Burke,Munnerlyn,299,199,81,116,2,199,41.12
Burke,North Waynesboro,2949,1794,1296,482,9,1787,72.89
Burke,Sardis,1049,658,257,392,4,653,39.6
Burke,Scotts Crossroads,294,193,128,63,0,191,67.02
Burke,South Waynesboro,3290,2328,1007,1281,26,2314,44.01
Burke,St Clair,442,317,143,173,0,316,45.25
Burke,Telfair,1121,707,315,378,6,699,45.45
Burke,Vidette,313,215,105,105,2,212,50.0
Butts,Butts County Admin Bldg,17154,11827,3274,8406,91,11771,28.03
Calhoun,Arlington,684,473,348,121,2,471,74.2
Calhoun,Edison,523,310,243,64,1,308,79.15
Calhoun,Edison-Arlington,594,398,234,161,1,396,59.24
Calhoun,Leary,721,525,291,227,5,523,56.18
Calhoun,Morgan,662,498,144,350,2,496,29.15
Camden,Browntown,698,473,74,384,14,472,16.16
Camden,East Kingsland,6866,4550,1604,2825,100,4529,36.22
Camden,Harrietts Bluff,1834,1404,299,1075,25,1399,21.76
Camden,Kingsland,2274,1282,485,763,29,1277,38.86
Camden,Mush Bluff,2816,2004,639,1308,44,1991,32.82
Camden,North Kingsland,2599,1601,804,747,38,1589,51.84
Camden,North St Marys,2095,982,387,555,36,978,41.08
Camden,South St Marys,2139,1582,546,1013,21,1580,35.02
Camden,St Marys,3218,2138,845,1222,61,2128,40.88
Camden,Tarboro,979,691,192,490,7,689,28.15
Camden,Waverly,1530,1245,347,886,9,1242,28.14
Camden,West Kingsland,2782,1894,497,1355,39,1891,26.84
Camden,West St Marys,3147,2538,708,1786,33,2527,28.39
Camden,Woodbine,1973,1400,540,842,14,1396,39.07
Candler,Jack Strickland Comm Center,6300,4444,1269,3133,29,4431,28.83
Carroll,Bethany,4779,2709,1066,1585,50,2701,40.21
Carroll,Bonner,3736,2407,1035,1327,36,2398,43.82
Carroll,Bowdon,3289,2005,493,1483,19,1995,24.95
Carroll,Bowdon Junction,1547,973,227,738,6,971,23.52
Carroll,Burson Center,1466,985,337,638,9,984,34.56
Carroll,Burwell,1564,1091,188,886,11,1085,17.5
Carroll,Center Point,1775,1366,163,1188,10,1361,12.07
Carroll,Clem,3695,2760,617,2095,33,2745,22.75
Carroll,County Admin Bldg,2620,1789,739,994,42,1775,42.64
Carroll,Fairfield,3867,2969,782,2151,26,2959,26.66
Carroll,Hulett,2408,1745,309,1401,30,1740,18.07
Carroll,Kansas,1165,863,68,787,6,861,7.95
Carroll,Lakeshore Rec Center,1671,1049,440,590,15,1045,42.72
Carroll,Mt Zion,2641,1766,293,1452,15,1760,16.79
Carroll,Oak Grove,1668,1123,254,847,19,1120,23.07
Carroll,Old Camp Church,2297,1683,437,1216,24,1677,26.44
Carroll,Roopville,3200,2233,334,1865,29,2228,15.19
Carroll,Sandhill,4459,2860,765,2053,33,2851,27.15
Carroll,Tabernacle Church,1628,1148,407,708,25,1140,36.5
Carroll,Temple City,3700,2347,774,1527,32,2333,33.64
Carroll,Temple County,4354,2702,506,2154,38,2698,19.02
Carroll,Tyus,1920,1368,188,1168,9,1365,13.86
Carroll,University of W GA,2164,1297,596,667,25,1288,47.19
Carroll,V R County North,5472,3447,1030,2358,51,3439,30.4
Carroll,V R County South,2942,1932,417,1490,19,1926,21.87
Carroll,Villa Rica City,7250,4315,2140,2067,84,4291,50.87
Carroll,West Carrollton,4380,2286,1429,802,46,2277,64.05
Carroll,Whitesburg,2190,1471,204,1239,18,1461,14.14
Catoosa,Blackstock,1952,1320,208,1088,19,1315,16.05
Catoosa,Boynton,6027,4590,996,3501,70,4567,22.15
Catoosa,Catoosa Keith,2611,1906,329,1532,39,1900,17.68
Catoosa,Chambers,2552,2036,351,1641,34,2026,17.62
Catoosa,Ft Oglethorpe,4054,2740,701,1989,33,2723,26.06
Catoosa,Graysville,4501,3164,658,2439,51,3148,21.25
Catoosa,Lakeview,3572,2183,485,1654,36,2175,22.67
Catoosa,Poplar Springs,4191,3067,582,2433,43,3058,19.3
Catoosa,Ringgold,7414,5524,1327,4080,82,5489,24.54
Catoosa,Westside,5895,3942,902,2958,57,3917,23.37
Catoosa,Woodstation,2946,2284,393,1852,30,2275,17.51
Charlton,American Legion,748,595,54,535,6,595,9.17
Charlton,Folkston,2420,1585,844,711,22,1577,54.28
Charlton,Folkston Fire,767,554,60,486,8,554,10.99
Charlton,GA Bend,509,355,21,332,2,355,5.95
Charlton,Homeland,864,605,64,538,3,605,10.63
Charlton,Racepond,266,215,20,194,1,215,9.35
Charlton,St George,661,442,22,418,1,441,5.0
Charlton,Winokur,317,225,18,205,1,224,8.07
Chatham,1-01C First Presbyterian Church,3187,2594,1597,952,32,2581,62.65
Chatham,1-05C JEA Building,2106,1589,949,595,32,1576,61.46
Chatham,1-06C Central Church of Christ,2035,1601,704,854,29,1587,45.19
Chatham,1-08C Grace United Methodist Church,1667,1231,587,628,10,1225,48.31
Chatham,1-09C Immanuel Baptist Church,739,451,265,181,5,451,59.42
Chatham,1-10C St Thomas Episcopal Church,1101,949,300,626,17,943,32.4
Chatham,1-12C Isle of Hope Baptist,1909,1657,544,1080,16,1640,33.5
Chatham,1-13C The Sanctuary,1396,1022,414,589,14,1017,41.28
Chatham,1-14C Compassion Christian Church,1718,1298,488,785,19,1292,38.33
Chatham,1-16C Ferguson Ave Baptist,2905,2126,589,1497,24,2110,28.24
Chatham,1-17C Islands Christian Church,3136,2576,860,1666,35,2561,34.05
Chatham,2-02C Blackshear Community Center,1714,897,713,161,21,895,81.58
Chatham,2-03C W W Law Center,1609,850,707,115,25,847,86.01
Chatham,2-04C Fellowship of Love Church,3178,1811,1647,129,23,1799,92.74
Chatham,2-05C Holy Spirit Lutheran Church,2079,1286,1123,135,22,1280,89.27
Chatham,2-06C Eli Whitney Complex,759,407,335,65,7,407,83.75
Chatham,2-07C Christ Community Church,2808,1601,1347,220,22,1589,85.96
Chatham,2-09C Salvation Army,3342,2038,1742,256,27,2025,87.19
Chatham,2-11C Stillwell Towers,1900,1020,839,163,12,1014,83.73
Chatham,2-12C Williams Court Apts,1683,976,823,123,26,972,87.0
Chatham,3-01C Old Courthouse,458,304,176,122,4,302,59.06
Chatham,3-02C Temple Mickve Israel,1598,1145,709,410,13,1132,63.36
Chatham,3-03C Savannah High School,1185,613,537,64,8,609,89.35
Chatham,3-04C First African Baptist Church,1558,875,798,63,10,871,92.68
Chatham,3-05C Aldersgate Youth Center,2107,1212,884,300,21,1205,74.66
Chatham,3-08C Jenkins High School,1210,796,565,217,10,792,72.25
Chatham,3-09C Cokesbury Methodist,664,536,222,296,12,530,42.86
Chatham,3-10C Bible Baptist Church,2640,1616,1369,220,20,1609,86.15
Chatham,3-11C Southside Baptist Church,1481,883,707,162,12,881,81.36
Chatham,3-12C Thunderbolt Muni Complex,1678,1184,629,528,18,1175,54.36
Chatham,3-13C New Cov 7 Day Adv Ch,2303,1390,845,525,14,1384,61.68
Chatham,3-14C Oglethorpe Charter Academy,2381,1546,1186,344,6,1536,77.52
Chatham,3-15C Eli Whitney Complex,816,653,361,278,8,647,56.49
Chatham,4-02C Frank Murray Comm Center,2472,1719,647,1044,26,1717,38.26
Chatham,4-04C Lighthouse Baptist Church,2470,1865,608,1222,23,1853,33.22
Chatham,4-05C St Francis Episcopal Church,2244,1770,601,1125,36,1762,34.82
Chatham,4-06C First Baptist of the Island,2252,1798,531,1226,28,1785,30.22
Chatham,4-07C Wilmington Island UMC,3370,2516,907,1568,28,2503,36.65
Chatham,4-08C Wilmington Island Pres Church,2678,2220,669,1497,35,2201,30.89
Chatham,4-10C Guard House Comm Ctr,1469,1170,471,674,17,1162,41.14
Chatham,4-11C Tybee Island School Cafe,1640,1279,489,772,10,1271,38.78
Chatham,4-12C St Peters Episcopal,2294,2004,618,1353,16,1987,31.35
Chatham,4-13C Skidaway Island Pres Church,2469,2155,739,1375,19,2133,34.96
Chatham,4-14C Skidaway Island Baptist,1744,1527,554,948,9,1511,36.88
Chatham,4-15C Skidaway Island State Park,0,1599,572,992,11,1575,36.57
Chatham,5-01C Bartlett Middle School,1063,625,456,155,10,621,74.63
Chatham,5-02C Senior Citizens Center,783,412,350,51,10,411,87.28
Chatham,5-03C Butler Presbyterian Church,1078,581,550,22,5,577,96.15
Chatham,5-05C Liberty City Comm Ctr,2574,1668,1593,54,9,1656,96.72
Chatham,5-06C Seed Church,2598,1281,1054,197,23,1274,84.25
Chatham,5-07C Station 1,1856,1079,791,261,16,1068,75.19
Chatham,5-08C Savannah Primitive BC,1848,1141,817,304,16,1137,72.88
Chatham,5-10C Tatumville Community Center,3507,2052,1910,102,26,2038,94.93
Chatham,5-11C Largo-Tibet Elementary,3019,1762,1332,398,22,1752,76.99
Chatham,6-01C White Bluff Presbyterian,1919,1196,754,402,24,1180,65.22
Chatham,6-02C Windsor Forest Baptist,2290,1810,771,996,32,1799,43.63
Chatham,6-03C Crusader Comm Center,2736,1977,1170,772,25,1967,60.25
Chatham,6-05C Windsor Hall,1993,1269,790,436,32,1258,64.44
Chatham,6-06C The Light Church,1543,940,474,442,18,934,51.75
Chatham,6-08C Christ Memorial Baptist Church,2194,1265,912,334,16,1262,73.19
Chatham,6-09C Trinity Lutheran Church,3319,2293,1261,977,35,2273,56.34
Chatham,6-10C Station 3,4184,2999,1557,1367,60,2984,53.25
Chatham,6-11C Bamboo Farms,5149,3151,2091,994,50,3135,67.78
Chatham,7-01C Garden City Senior Ctr,1542,918,408,496,10,914,45.13
Chatham,7-03C PB Edwards Gym,1290,772,244,510,14,768,32.36
Chatham,7-04C Lake Shore Comm Ctr,3067,1937,1464,441,22,1927,76.85
Chatham,7-05C Woodlawn Baptist Church,1305,755,433,311,9,753,58.2
Chatham,7-06C Pooler City Hall,3555,2172,1087,1030,38,2155,51.35
Chatham,7-07C Rothwell Baptist Church,3932,2663,1036,1581,36,2653,39.59
Chatham,7-08C Bloomingdale Comm Ctr,2733,1777,366,1387,19,1772,20.88
Chatham,7-09C Savannah Holy C of G,2823,1719,979,705,26,1710,58.14
Chatham,7-10C Progressive Rec Center,4288,2622,1652,900,58,2610,64.73
Chatham,7-11C Seventh Day Adv Church,6469,4077,2508,1464,84,4056,63.14
Chatham,7-12C Pooler Church,3334,2356,1369,933,49,2351,59.47
Chatham,7-13C Southside Fire Trng Ctr,2513,2103,775,1289,27,2091,37.55
Chatham,7-14C Coastal Cathedral,7572,5092,3374,1629,70,5073,67.44
Chatham,7-15C Rice Creek School,2564,1554,974,546,30,1550,64.08
Chatham,7-16C Pooler Recreation Center Gymnasium,3701,2719,1231,1437,38,2706,46.14
Chatham,8-01C Civic Center,850,337,267,64,6,337,80.66
Chatham,8-02C Hellenic Center,1709,1025,827,172,19,1018,82.78
Chatham,8-03C Silk Hope Baptist Church,831,475,164,304,5,473,35.04
Chatham,8-05C W Broad St YMCA,1543,691,639,36,12,687,94.67
Chatham,8-06C Tompkins Rec Center,1055,543,509,26,7,542,95.14
Chatham,8-07C Woodville-Tompkins TI,630,341,320,17,1,338,94.96
Chatham,8-08C Resur of Our Lord Church,1704,912,867,36,7,910,96.01
Chatham,8-09C Moses Jackson Center,1362,712,672,23,11,706,96.69
Chatham,8-10C Carver Heights Comm Ctr,1784,1017,989,14,7,1010,98.6
Chatham,8-11C Butler Elementary,1386,964,938,17,6,961,98.22
Chatham,8-12C Beach High School,1310,660,526,114,12,652,82.19
Chatham,8-13C Savannah Christian,1022,419,140,268,9,417,34.31
Chatham,8-15C Garden City Rec Center,1622,828,745,78,0,823,90.52
Chatham,8-16C Royal Cinemas and IMAX,3087,2194,1151,1000,36,2187,53.51
Chattahoochee,Activity Center,0,1594,667,880,35,1582,43.12
Chattooga,Alpine,872,670,109,551,3,663,16.52
Chattooga,Cloudland,378,300,70,225,3,298,23.73
Chattooga,Coldwater,248,197,62,131,2,195,32.12
Chattooga,Dirtseller,186,132,19,113,0,132,14.39
Chattooga,Dirttown,897,722,114,598,8,720,16.01
Chattooga,Haywood,169,116,15,100,1,116,13.04
Chattooga,Lyerly,934,669,108,537,21,666,16.74
Chattooga,Pennville,588,361,51,305,3,359,14.33
Chattooga,Seminole,138,106,10,94,2,106,9.62
Chattooga,Subligna,489,385,37,348,0,385,9.61
Chattooga,Summerville,5155,3556,845,2643,49,3537,24.23
Chattooga,Teloga,593,463,46,412,2,460,10.04
Chattooga,Trion,3496,2427,368,2007,38,2413,15.49
Cherokee,Air Acres,3050,2521,943,1512,47,2502,38.41
Cherokee,Arnold Mill,4884,3991,1099,2796,72,3967,28.22
Cherokee,Avery,3592,2935,580,2302,39,2921,20.12
Cherokee,Ball Ground,4065,3099,489,2549,52,3090,16.1
Cherokee,Bascomb,4115,3209,981,2158,57,3196,31.25
Cherokee,Bells,5906,4183,1816,2262,88,4166,44.53
Cherokee,Booth,3899,3135,1009,2049,57,3115,33.0
Cherokee,Bradshaw,4491,3712,958,2674,61,3693,26.38
Cherokee,Bridgemill,5113,4194,1123,2996,52,4171,27.26
Cherokee,Canton,8213,5798,1894,3814,70,5778,33.18
Cherokee,Carmel,4581,3109,1316,1723,52,3091,43.3
Cherokee,Clayton,4906,3740,790,2864,74,3728,21.62
Cherokee,Conns Creek,895,686,64,616,6,686,9.41
Cherokee,Deer Run,3035,2386,836,1488,45,2369,35.97
Cherokee,Dixie,5733,4026,1607,2313,88,4008,40.99
Cherokee,Freehome,5790,4715,1016,3596,78,4690,22.03
Cherokee,Hickory Flat,7334,5946,1813,4012,91,5916,31.12
Cherokee,Hightower,3483,2795,438,2308,42,2788,15.95
Cherokee,Hillside,3155,2576,735,1799,31,2565,29.01
Cherokee,Holly Springs,3262,2231,579,1579,60,2218,26.83
Cherokee,Kellogg,5482,3738,1268,2380,79,3727,34.76
Cherokee,Liberty,8350,6026,1996,3870,128,5994,34.03
Cherokee,Little River,7480,6023,2310,3584,93,5987,39.19
Cherokee,Macedonia,4853,3983,889,3016,48,3953,22.77
Cherokee,Mountain Road,3078,2463,653,1755,46,2454,27.12
Cherokee,Neese,7642,5617,2179,3295,104,5578,39.81
Cherokee,Oak Grove,3749,2669,770,1847,43,2660,29.42
Cherokee,R M Moore,3468,2623,332,2237,47,2616,12.92
Cherokee,R T Jones,2525,1567,513,1021,28,1562,33.44
Cherokee,Rosecreek,3748,2968,922,1971,60,2953,31.87
Cherokee,Salacoa,727,530,69,454,5,528,13.19
Cherokee,Sixes,3101,2545,708,1787,38,2533,28.38
Cherokee,Sutallee,2540,2054,324,1696,24,2044,16.04
Cherokee,Teasley,7981,6120,1663,4326,98,6087,27.77
Cherokee,Toonigh,6641,5138,1599,3429,85,5113,31.8
Cherokee,Union Hill,4207,3468,712,2693,48,3453,20.91
Cherokee,Univeter,5434,4107,863,3167,58,4088,21.41
Cherokee,Victoria,3132,2329,599,1677,44,2320,26.32
Cherokee,Waleska,2875,2262,524,1709,20,2253,23.47
Cherokee,Wildcat,3215,2417,613,1756,40,2409,25.88
Cherokee,Woodlands,3456,2696,1078,1553,53,2684,40.97
Cherokee,Woodstock,7345,5209,2124,2954,98,5176,41.83
Clarke,1A,3017,1959,1202,714,28,1944,62.73
Clarke,1B,3645,2549,1689,807,38,2534,67.67
Clarke,1C,2242,1854,1244,561,32,1837,68.92
Clarke,1D,2830,2328,1464,811,33,2308,64.35
Clarke,2A,4341,2368,1864,460,31,2355,80.21
Clarke,2B,5136,2717,2334,327,36,2697,87.71
Clarke,3A,2938,1525,1309,178,23,1510,88.03
Clarke,3B,4122,2320,1842,430,36,2308,81.07
Clarke,4A,2072,1333,967,319,29,1315,75.19
Clarke,4B,4096,2794,1972,735,60,2767,72.85
Clarke,5A,3007,2378,1654,665,33,2352,71.32
Clarke,5B,3030,2181,1538,600,25,2163,71.94
Clarke,5C,2053,1616,1422,157,19,1598,90.06
Clarke,5D,3087,1904,1427,430,36,1893,76.84
Clarke,6A,3780,2721,1453,1211,40,2704,54.54
Clarke,6B,3865,2752,1760,921,47,2728,65.65
Clarke,6C,3129,2310,1367,882,43,2292,60.78
Clarke,6D,1701,1319,979,311,19,1309,75.89
Clarke,7A,2968,2199,1374,782,29,2185,63.73
Clarke,7B,3166,2239,1397,773,47,2217,64.38
Clarke,7C,2733,2078,1344,665,42,2051,66.9
Clarke,8A,3319,2202,1543,601,43,2187,71.97
Clarke,8B,2317,1576,1098,431,20,1549,71.81
Clarke,8C,3910,2551,1805,675,50,2530,72.78
Clay,Bluffton,383,272,91,173,4,268,34.47
Clay,Court House,390,254,199,53,0,252,78.97
Clay,Days Cross Road,461,350,150,200,0,350,42.86
Clay,Old Head Start,453,312,179,130,1,310,57.93
Clay,Zetto,366,256,171,81,2,254,67.86
Clayton,Ellenwood 1,3020,2184,2038,120,14,2172,94.44
Clayton,Ellenwood 2,3273,2335,2135,168,21,2324,92.71
Clayton,Forest Park 1,3566,1583,1227,314,24,1565,79.62
Clayton,Forest Park 2,2821,1487,1195,271,18,1484,81.51
Clayton,Forest Park 3,2845,1368,1069,275,14,1358,79.54
Clayton,Forest Park 4,1783,1023,655,347,16,1018,65.37
Clayton,Forest Park 5,3924,1914,1507,383,13,1903,79.74
Clayton,Forest Park 6,1463,841,519,303,9,831,63.14
Clayton,Jonesboro 1,3244,1996,1793,169,24,1986,91.39
Clayton,Jonesboro 10,3398,1635,1397,209,24,1630,86.99
Clayton,Jonesboro 11,3863,2621,2059,524,21,2604,79.71
Clayton,Jonesboro 12,3067,1738,1575,142,14,1731,91.73
Clayton,Jonesboro 13,2140,1452,1219,216,9,1444,84.95
Clayton,Jonesboro 14,4116,3016,2149,829,29,3007,72.16
Clayton,Jonesboro 15,2872,1322,1154,144,16,1314,88.91
Clayton,Jonesboro 16,2560,1366,1133,203,21,1357,84.81
Clayton,Jonesboro 17,3359,1730,1560,150,14,1724,91.23
Clayton,Jonesboro 18,3301,1900,1621,253,12,1886,86.5
Clayton,Jonesboro 19,3299,1897,1678,181,23,1882,90.26
Clayton,Jonesboro 2,4345,2587,2385,155,25,2565,93.9
Clayton,Jonesboro 3,4107,2671,2178,460,16,2654,82.56
Clayton,Jonesboro 4,2574,1202,974,208,15,1197,82.4
Clayton,Jonesboro 5,2064,1348,1023,306,13,1342,76.98
Clayton,Jonesboro 6,2574,2014,1101,874,23,1998,55.75
Clayton,Jonesboro 7,3174,2026,1618,379,17,2014,81.02
Clayton,Jonesboro 8,3947,1963,1761,178,14,1953,90.82
Clayton,Jonesboro 9,1759,795,622,154,12,788,80.15
