"county","candidate","original","recount","change","pct_change"
"Wayne","Joseph R. Biden",2687,2688,1,0.037
"Webster","Joseph R. Biden",639,640,1,0.156
"Wilcox","Donald J. Trump",2403,2402,-1,-0.042
"Wilcox","Joseph R. Biden",862,861,-1,-0.116
"Wilkinson","Donald J. Trump",2664,2665,1,0.038
"Wilkinson","Joseph R. Biden",2075,2074,-1,-0.048
"Atkinson","Donald J. Trump",2300,2300,0,0
"Atkinson","Joseph R. Biden",825,825,0,0
"Bacon","Joseph R. Biden",625,625,0,0
"Baker","Donald J. Trump",897,897,0,0
"Baker","Joseph R. Biden",652,652,0,0
"Baldwin","Donald J. Trump",8903,8903,0,0
"Baldwin","Joseph R. Biden",9140,9140,0,0
"Banks","Donald J. Trump",7795,7795,0,0
"Banks","Joseph R. Biden",932,932,0,0
"Barrow","Donald J. Trump",26804,26804,0,0
"Barrow","Joseph R. Biden",10453,10453,0,0
"Berrien","Donald J. Trump",6419,6419,0,0
"Berrien","Joseph R. Biden",1269,1269,0,0
"Burke","Donald J. Trump",5400,5400,0,0
"Butts","Donald J. Trump",8406,8406,0,0
"Butts","Joseph R. Biden",3274,3274,0,0
"Calhoun","Donald J. Trump",923,923,0,0
"Camden","Joseph R. Biden",7967,7967,0,0
"Candler","Donald J. Trump",3133,3133,0,0
"Candler","Joseph R. Biden",1269,1269,0,0
"Carroll","Donald J. Trump",37476,37476,0,0
"Catoosa","Donald J. Trump",25167,25167,0,0
"Catoosa","Joseph R. Biden",6932,6932,0,0
"Charlton","Donald J. Trump",3419,3419,0,0
"Chattahoochee","Donald J. Trump",880,880,0,0
"Chattahoochee","Joseph R. Biden",667,667,0,0
"Chattooga","Donald J. Trump",8064,8064,0,0
"Chattooga","Joseph R. Biden",1854,1854,0,0
"Clay","Donald J. Trump",637,637,0,0
"Clinch","Donald J. Trump",2105,2105,0,0
"Coffee","Donald J. Trump",10578,10578,0,0
"Coffee","Joseph R. Biden",4511,4511,0,0
"Colquitt","Donald J. Trump",11777,11777,0,0
"Columbia","Donald J. Trump",50013,50013,0,0
"Cook","Donald J. Trump",4900,4900,0,0
"Cook","Joseph R. Biden",2059,2059,0,0
"Coweta","Donald J. Trump",51501,51501,0,0
"Coweta","Joseph R. Biden",24210,24210,0,0
"Crawford","Donald J. Trump",4428,4428,0,0
"Crawford","Joseph R. Biden",1615,1615,0,0
"Dade","Donald J. Trump",6066,6066,0,0
"Dade","Joseph R. Biden",1261,1261,0,0
"Dawson","Donald J. Trump",13398,13398,0,0
"Dawson","Joseph R. Biden",2486,2486,0,0
"Dodge","Donald J. Trump",5843,5843,0,0
"Dooly","Donald J. Trump",2159,2159,0,0
"Dooly","Joseph R. Biden",1911,1911,0,0
"Echols","Donald J. Trump",1256,1256,0,0
"Echols","Joseph R. Biden",167,167,0,0
"Elbert","Donald J. Trump",6226,6226,0,0
"Elbert","Joseph R. Biden",2879,2879,0,0
"Evans","Donald J. Trump",2888,2888,0,0
"Evans","Joseph R. Biden",1324,1324,0,0
"Fannin","Donald J. Trump",12169,12169,0,0
"Franklin","Donald J. Trump",9069,9069,0,0
"Franklin","Joseph R. Biden",1593,1593,0,0
"Gilmer","Donald J. Trump",13429,13429,0,0
"Gilmer","Joseph R. Biden",2932,2932,0,0
"Glascock","Joseph R. Biden",155,155,0,0
"Gordon","Donald J. Trump",19405,19405,0,0
"Gordon","Joseph R. Biden",4384,4384,0,0
"Grady","Donald J. Trump",7034,7034,0,0
"Grady","Joseph R. Biden",3619,3619,0,0
"Habersham","Donald J. Trump",16637,16637,0,0
"Harris","Donald J. Trump",14319,14319,0,0
"Harris","Joseph R. Biden",5457,5457,0,0
"Hart","Joseph R. Biden",3157,3157,0,0
"Heard","Joseph R. Biden",824,824,0,0
"Irwin","Donald J. Trump",3134,3134,0,0
"Irwin","Joseph R. Biden",1008,1008,0,0
"Jackson","Joseph R. Biden",7642,7642,0,0
"Jasper","Donald J. Trump",5822,5822,0,0
"Jasper","Joseph R. Biden",1761,1761,0,0
"Jeff Davis","Donald J. Trump",4695,4695,0,0
"Jeff Davis","Joseph R. Biden",1028,1028,0,0
"Jefferson","Donald J. Trump",3537,3537,0,0
"Jenkins","Donald J. Trump",2161,2161,0,0
"Jenkins","Joseph R. Biden",1266,1266,0,0
"Johnson","Donald J. Trump",2850,2850,0,0
"Johnson","Joseph R. Biden",1222,1222,0,0
"Lanier","Donald J. Trump",2509,2509,0,0
"Lanier","Joseph R. Biden",1019,1019,0,0
"Laurens","Donald J. Trump",14493,14493,0,0
"Lee","Donald J. Trump",12007,12007,0,0
"Lee","Joseph R. Biden",4558,4558,0,0
"Liberty","Donald J. Trump",7959,7959,0,0
"Lumpkin","Donald J. Trump",12163,12163,0,0
"Lumpkin","Joseph R. Biden",3126,3126,0,0
"Macon","Donald J. Trump",1783,1783,0,0
"Madison","Donald J. Trump",11326,11326,0,0
"Madison","Joseph R. Biden",3411,3411,0,0
"Marion","Donald J. Trump",2275,2275,0,0
"McDuffie","Donald J. Trump",6169,6169,0,0
"McDuffie","Joseph R. Biden",4168,4168,0,0
"McIntosh","Donald J. Trump",4016,4016,0,0
"McIntosh","Joseph R. Biden",2612,2612,0,0
"Meriwether","Donald J. Trump",6524,6524,0,0
"Meriwether","Joseph R. Biden",4287,4287,0,0
"Miller","Donald J. Trump",2066,2066,0,0
"Mitchell","Donald J. Trump",4935,4935,0,0
"Montgomery","Donald J. Trump",2960,2960,0,0
"Newton","Donald J. Trump",23869,23869,0,0
"Oconee","Donald J. Trump",16595,16595,0,0
"Oconee","Joseph R. Biden",8162,8162,0,0
"Pierce","Joseph R. Biden",1100,1100,0,0
"Pike","Donald J. Trump",9127,9127,0,0
"Pike","Joseph R. Biden",1505,1505,0,0
"Putnam","Donald J. Trump",8291,8291,0,0
"Putnam","Joseph R. Biden",3448,3448,0,0
"Quitman","Donald J. Trump",604,604,0,0
"Quitman","Joseph R. Biden",497,497,0,0
"Rabun","Donald J. Trump",7474,7474,0,0
"Rabun","Joseph R. Biden",1984,1984,0,0
"Randolph","Joseph R. Biden",1671,1671,0,0
"Schley","Donald J. Trump",1800,1800,0,0
"Schley","Joseph R. Biden",462,462,0,0
"Screven","Joseph R. Biden",2661,2661,0,0
"Stewart","Donald J. Trump",801,801,0,0
"Stewart","Joseph R. Biden",1182,1182,0,0
"Talbot","Donald J. Trump",1392,1392,0,0
"Talbot","Joseph R. Biden",2114,2114,0,0
"Taliaferro","Donald J. Trump",360,360,0,0
"Taliaferro","Joseph R. Biden",561,561,0,0
"Telfair","Donald J. Trump",2825,2825,0,0
"Terrell","Donald J. Trump",2004,2004,0,0
"Terrell","Joseph R. Biden",2376,2376,0,0
"Thomas","Joseph R. Biden",8708,8708,0,0
"Tift","Donald J. Trump",10784,10784,0,0
"Towns","Donald J. Trump",6384,6384,0,0
"Towns","Joseph R. Biden",1550,1550,0,0
"Treutlen","Donald J. Trump",2101,2101,0,0
"Treutlen","Joseph R. Biden",952,952,0,0
"Turner","Donald J. Trump",2349,2349,0,0
"Twiggs","Donald J. Trump",2370,2370,0,0
"Twiggs","Joseph R. Biden",2044,2044,0,0
"Warren","Donald J. Trump",1166,1166,0,0
"Wayne","Donald J. Trump",9987,9987,0,0
"Webster","Donald J. Trump",748,748,0,0
"Wheeler","Donald J. Trump",1583,1583,0,0
"Wheeler","Joseph R. Biden",689,689,0,0
"White","Donald J. Trump",12222,12222,0,0
"White","Joseph R. Biden",2411,2411,0,0
"Wilkes","Donald J. Trump",2823,2823,0,0
"Wilkes","Joseph R. Biden",2160,2160,0,0
"Worth","Donald J. Trump",6830,6830,0,0
"Worth","Joseph R. Biden",2395,2395,0,0
