"county","precincts","Joseph R. Biden","Donald J. Trump","Jo Jorgensen","total","dem_two_party_pct"
"Richmond",68,59124,26781,1111,87016,68.82
"Rockdale",16,31244,13012,430,44686,70.6
"Schley",1,462,1800,13,2275,20.42
"Screven",12,2661,3916,51,6628,40.46
"Seminole",5,1254,2611,19,3884,32.45
"Spalding",18,11784,18057,275,30116,39.49
"Stephens",1,2385,9368,132,11885,20.29
"Stewart",4,1182,801,7,1990,59.61
"Sumter",11,6318,5732,100,12150,52.43
"Talbot",7,2114,1392,16,3522,60.3
"Taliaferro",2,561,360,7,928,60.91
"Tattnall",8,2061,6053,69,8183,25.4
"Taylor",3,1387,2418,34,3839,36.45
"Telfair",6,1487,2825,21,4333,34.49
"Terrell",6,2376,2004,36,4416,54.25
"Thomas",20,8708,12954,191,21853,40.2
"Tift",12,5322,10784,177,16283,33.04
"Toombs",5,2939,7872,103,10914,27.19
"Towns",3,1550,6384,45,7979,19.54
"Treutlen",2,952,2101,24,3077,31.18
"Troup",14,11578,18143,328,30049,38.96
"Turner",3,1410,2349,33,3792,37.51
"Twiggs",5,2044,2370,30,4444,46.31
"Union",11,2801,12651,108,15560,18.13
"Upson",4,4201,8608,96,12905,32.8
"Walker",11,5769,23174,411,29354,19.93
"Walton",21,12682,37842,571,51095,25.1
"Ware",12,4211,9865,116,14192,29.92
"Warren",1,1469,1166,16,2651,55.75
"Washington",8,4730,4663,66,9459,50.36
"Wayne",12,2687,9987,104,12778,21.2
"Webster",1,639,748,3,1390,46.07
"Wheeler",2,689,1583,13,2285,30.33
"White",11,2411,12222,183,14816,16.48
"Whitfield",23,10670,25636,440,36746,29.39
"Wilcox",6,862,2403,16,3281,26.4
"Wilkes",7,2160,2823,46,5029,43.35
"Wilkinson",9,2075,2664,31,4770,43.79
"Worth",15,2395,6830,60,9285,25.96
