"to_2024","TRUMP20","BIDEN20","JORGENSON2","PURDUE20","OSSOFF20","HAZEL20","LOEFFLER20","COLLINS20","WARNOCK20","REG20","VOTED20"
"BARTOW|TAYLORSVILLE",1861,206,25,1830,209,40,1088,599,143,2920,2101
"BARTOW|WHITE",1658,282,32,1635,278,43,944,571,193,2844,1981
"BARTOW|WOODLAND",1032,330,22,1018,323,35,601,329,196,2079,1391
"BARTOW|ZENA DRIVE",2438,1322,64,2354,1286,116,1249,861,777,7022,3834
"BEN HILL|EAST",4110,2392,58,4077,2284,116,1780,1880,1308,10811,6594
"BERRIEN|ALAPAHA",622,206,5,614,197,12,342,222,143,1181,841
"BERRIEN|ENIGMA",636,86,6,617,87,9,328,240,55,1196,730
"BERRIEN|NASHVILLE",3393,694,25,3345,636,77,1770,1322,342,6606,4122
"BERRIEN|RAY CITY",1062,216,12,1028,211,44,538,389,114,2171,1296
"BERRIEN|WEST BERRIEN",706,67,7,682,73,18,340,308,47,1061,781
"BIBB|EAST MACON 1",47,929,11,47,891,28,19,15,678,2281,991
"BIBB|EAST MACON 2",157,2169,27,173,2101,45,79,46,1618,4134,2369
"BIBB|EAST MACON 3",570,1563,23,570,1493,55,287,233,1127,3769,2166
"BIBB|EAST MACON 4",95,1309,9,99,1264,17,48,27,998,2368,1417
"BIBB|EAST MACON 5",379,1264,16,368,1232,38,175,149,967,2644,1664
"BIBB|GODFREY 1",327,2990,29,351,2871,73,165,95,2045,6941,3361
"BIBB|GODFREY 2",98,795,8,95,756,32,46,26,533,2343,905
"BIBB|GODFREY 3",175,1543,8,177,1480,40,94,49,1065,3504,1740
"BIBB|GODFREY 4",139,826,7,141,781,21,76,47,532,2497,977
"BIBB|GODFREY 5",306,2331,30,320,2252,61,156,122,1577,5084,2682
"BIBB|HAZZARD 1",232,1675,21,230,1634,33,124,71,1173,3664,1943
"BIBB|HAZZARD 2",1215,1606,34,1191,1580,58,654,438,1077,4476,2865
"BIBB|HAZZARD 3",1204,3284,31,1181,3217,74,613,474,2341,7594,4542
"BIBB|HAZZARD 4",2043,1565,36,2028,1526,63,1096,851,1117,4887,3668
"BIBB|HOWARD 1",1747,1003,21,1797,921,31,1024,692,713,3658,2789
"BIBB|HOWARD 2",1708,915,34,1714,885,33,963,667,636,3551,2671
"BIBB|HOWARD 3",2416,2238,55,2450,2137,77,1434,845,1531,7146,4734
"BIBB|HOWARD 4",577,625,22,584,608,32,294,261,414,1809,1240
"BIBB|HOWARD 5",535,917,14,532,868,42,288,191,607,2503,1475
"BIBB|HOWARD 6",877,735,18,883,705,25,495,335,495,2379,1634
"BIBB|HOWARD 7",1421,851,31,1434,826,41,779,581,628,3015,2331
"BIBB|RUTLAND 1",2558,1783,28,2510,1759,58,1370,1007,1356,5899,4387
"BIBB|RUTLAND 2",1591,864,26,1547,855,60,879,609,645,3579,2485
"BIBB|VINEVILLE 1",669,1507,37,683,1437,65,370,245,1064,4107,2237
"BIBB|VINEVILLE 2",292,941,21,307,901,27,148,120,695,2291,1265
"BIBB|VINEVILLE 3",153,1600,19,159,1534,42,69,53,1139,3346,1775
"BIBB|VINEVILLE 4",283,2042,23,307,1956,61,151,95,1444,4439,2365
"BIBB|VINEVILLE 5",913,818,30,927,783,40,538,336,580,2495,1776
"BIBB|VINEVILLE 6",937,1180,39,969,1088,73,575,339,836,3328,2179
"BIBB|WARRIOR 1",1298,674,16,1293,657,23,696,526,526,2676,1989
"BIBB|WARRIOR 2",1565,873,23,1520,878,44,846,625,700,3317,2463
"BLECKLEY|1",4328,1311,67,4281,1249,114,2133,1927,876,8009,5730
"BRANTLEY|HOBOKEN",2210,164,17,2158,163,27,700,1139,46,3392,2382
"BRANTLEY|NAHUNTA",2522,268,17,2463,249,43,942,1057,88,4188,2795
"BRANTLEY|WAYNESVILLE",2259,267,22,2191,276,46,768,932,102,4282,2548
"BROOKS|BARWICK",181,67,0,177,65,3,82,81,27,354,246
"BROOKS|BRIGGS",1148,315,15,1121,314,26,556,432,122,2394,1482
"BROOKS|DIXIE",363,395,4,367,374,12,139,176,151,1085,761
"BROOKS|MORVEN",925,399,10,922,371,23,466,359,161,2001,1330
"BROOKS|NANKIN",421,86,2,408,85,6,169,182,30,761,508
"BROOKS|PAVO",314,122,2,308,114,8,134,136,49,620,439
"BROOKS|QUITMAN",908,1406,17,947,1284,41,407,384,484,4217,2338
"BRYAN|DANIEL SIDING",1210,434,29,1190,407,66,699,407,284,2456,1656
"BRYAN|DEVAUL HENDERSON PARK GYM",1385,882,54,1353,873,76,731,474,504,3816,2306
"BRYAN|FIRST BAPTIST CHURCH",1490,1140,53,1454,1109,87,816,460,634,4740,2669
"BRYAN|HARN COMMUNITY CENTER",1111,567,32,1089,547,48,616,348,323,2766,1723
"BRYAN|LANIER",613,167,9,599,168,17,328,204,104,1329,799
"BRYAN|NEW BEGINNINGS",2016,1111,57,1995,1074,84,1106,697,646,4567,3158
"BRYAN|OLIVE BRANCH BAPTIST CHURCH",2129,528,29,2079,526,60,1119,748,320,4211,2703
"BRYAN|SPIRIT OF PEACE LUTHERAN CHURCH",2214,1022,43,2235,953,82,1304,744,601,4702,3284
"BRYAN|TIMBER TRAIL",419,314,17,412,303,24,230,132,163,1314,744
"BRYAN|WETLANDS CENTER",1655,574,35,1659,535,55,1000,560,360,3136,2241
"BULLOCH|BAY",987,203,12,968,202,24,495,413,127,1657,1208
"BULLOCH|BLITCH",1128,398,12,1127,389,19,542,530,268,2001,1550
"BULLOCH|BROOKLET",1880,565,35,1851,563,52,908,774,353,3516,2495
"BULLOCH|CHURCH",1736,1987,63,1758,1895,97,836,778,1185,6282,3805
"BULLOCH|EMIT",1620,757,49,1608,715,75,799,684,470,3553,2424
"BULLOCH|FAIR",2557,1704,75,2550,1651,99,1243,1141,1022,6826,4357
"BULLOCH|HAGIN",1081,577,14,1056,552,37,529,454,373,2504,1677
"BULLOCH|LEEFIELD",630,112,13,615,111,23,307,248,62,1042,750
"BULLOCH|LOCKHART",385,150,3,376,150,10,176,170,90,748,543
"BULLOCH|NEVILS",740,169,12,729,162,18,371,308,109,1352,922
"BULLOCH|PITTMAN PARK",993,1726,75,983,1670,106,456,398,822,6115,2803
"BULLOCH|PORTAL",840,309,10,823,304,22,416,343,205,1837,1165
"BULLOCH|REGISTER",411,217,10,406,210,13,172,201,126,1034,640
"BULLOCH|SINKHOLE",298,60,2,294,57,5,159,114,43,511,362
"BULLOCH|STATESBORO",1906,2073,59,1921,1976,89,902,864,1241,6913,4056
"BULLOCH|STILSON",1193,236,11,1166,239,26,633,435,167,2231,1442
"BURKE|ALEXANDER",158,113,1,159,104,6,100,45,74,390,273
"BURKE|BLAKENEY",165,237,1,165,230,2,94,50,132,689,406
"BURKE|FOUR POINTS",1086,503,10,1080,481,25,643,350,289,2620,1617
"BURKE|GIRARD",232,242,3,229,227,9,145,73,142,739,479
"BURKE|GOUGH",116,189,2,113,189,7,65,42,127,439,308
"BURKE|GREENSCUT",412,271,4,402,261,14,228,145,175,1062,691
"BURKE|KEYSVILLE",119,141,3,111,141,7,69,41,75,489,267
"BURKE|MIDVILLE",122,181,2,129,168,5,54,57,112,497,307
"BURKE|MUNNERLYN",116,81,2,112,80,4,68,39,52,302,198
"BURKE|NORTH WAYNESBORO",482,1296,9,500,1239,24,258,174,766,3000,1798
"BURKE|SARDIS",392,257,4,391,244,6,210,133,163,1061,657
"BURKE|SCOTTS CROSSROADS",63,128,0,67,121,1,30,26,78,297,192
"BURKE|SOUTH WAYNESBORO",1281,1007,26,1303,955,35,714,485,605,3345,2318
"BURKE|ST. CLAIR",173,143,0,171,140,4,93,66,94,450,317
"BURKE|TELFAIR",378,315,6,372,306,11,196,142,215,1159,708
"BURKE|VIDETTE",105,105,2,103,103,4,51,48,59,318,215
"BUTTS|BUTTS COUNTY ADMINISTRATION JUDICIAL CENTER",8406,3274,91,8329,3129,215,4541,3191,2207,17915,11829
"CALHOUN|ARLINGTON",121,348,2,118,343,6,58,52,212,697,470
"CALHOUN|EDISON",64,243,1,69,230,4,37,23,145,530,298
"CALHOUN|EDISON-ARLINGTON",161,234,1,164,225,2,91,66,158,610,406
"CALHOUN|LEARY",227,291,5,234,275,9,133,78,204,730,516
"CALHOUN|MORGAN",350,144,2,348,138,7,191,140,100,670,504
"CAMDEN|EAST KINGSLAND",2825,1604,100,2783,1491,184,1232,1049,576,7658,4552
"CAMDEN|HARRIETTS BLUFF",1075,299,25,1053,281,48,498,388,119,2095,1404
"CAMDEN|HISTORIC KINGSLAND",1743,1375,74,1699,1295,147,686,639,472,5968,3222
"CAMDEN|NORTH ST MARYS",1048,628,53,1004,600,100,455,363,194,4079,1732
"CAMDEN|SOUTH ST MARYS",1013,546,21,1003,516,38,442,425,236,2483,1567
"CAMDEN|ST. MARYS",2037,1243,88,2001,1164,165,911,748,424,6217,3402
"CAMDEN|TARBORO",491,192,7,481,181,14,191,223,76,1035,697
"CAMDEN|WAVERLY",887,348,9,877,331,21,394,374,174,1634,1238
"CAMDEN|WEST KINGSLAND",1506,485,46,1469,448,80,536,670,148,3456,2025
"CAMDEN|WEST SAINT MARYS",1786,708,33,1794,640,65,911,701,284,3561,2539
"CAMDEN|WOODBINE",842,540,14,825,520,33,376,334,264,2111,1398
"CANDLER|JACK STRICKLAND COMMUNITY CENTER",3133,1269,29,3077,1233,60,1555,1251,778,6723,4422
"CARROLL|BETHANY",1580,1063,50,1544,1040,83,825,594,699,4878,2691
"CARROLL|BONNER",1327,1035,36,1353,979,53,742,523,641,3852,2441
"CARROLL|BOWDON",1483,493,19,1453,470,51,815,545,350,3362,2012
"CARROLL|CARROLL EMC",645,343,9,640,316,22,340,240,244,1532,998
"CARROLL|CATHERINE HARDY",801,1427,46,796,1356,92,395,306,864,4473,2290
"CARROLL|CENTER POINT",1172,161,10,1171,144,18,686,420,117,1785,1338
"CARROLL|CLEM",2083,613,33,2052,591,68,1149,768,424,3724,2685
"CARROLL|FAIRFIELD",2203,801,27,2175,759,67,1243,804,588,4138,3041
"CARROLL|KANSAS",787,68,6,775,68,19,430,295,52,1178,853
"CARROLL|LAKESHORE",591,440,15,574,426,31,291,245,298,1730,1051
"CARROLL|MARS HILL",1402,309,30,1390,294,45,782,530,211,2458,1750
"CARROLL|MIDWAY",1982,738,32,1936,720,74,1029,795,516,4392,2768
"CARROLL|MT HOLLY",744,228,6,726,219,26,391,273,155,1600,979
"CARROLL|MT ZION",1445,292,15,1434,268,36,767,567,195,2680,1769
"CARROLL|NEVA LOMASON",992,737,42,992,692,62,544,350,480,2710,1748
"CARROLL|OAK GROVE",843,253,19,836,236,32,425,353,163,1692,1140
"CARROLL|OLD CAMP",1216,437,24,1229,397,40,666,465,278,2365,1707
"CARROLL|ROOPVILLE",1864,334,29,1860,302,50,1027,729,236,3244,2245
"CARROLL|SHILOH",886,188,11,874,183,21,515,302,130,1594,1071
"CARROLL|TABERNACLE",718,410,25,727,391,27,407,272,274,1703,1149
"CARROLL|TEMPLE CITY",1566,781,33,1534,768,65,818,553,481,3904,2393
"CARROLL|TEMPLE COUNTY",2150,506,38,2089,489,76,1117,830,343,4458,2716
"CARROLL|TYUS",1169,188,9,1164,179,13,667,421,134,1944,1383
"CARROLL|UWG",668,597,25,705,550,24,411,241,302,2230,1304
"CARROLL|VR GOLD DUST",2357,1029,51,2276,1001,123,1217,889,691,5632,3444
"CARROLL|VR POWELL PARK",2071,2129,84,2012,2087,135,1062,787,1392,7524,4304
"CARROLL|VR SPORTS COMPLEX",1479,421,19,1455,401,40,799,576,265,3011,1928
"CARROLL|WHITESBURG",1243,205,18,1215,213,34,598,543,159,2237,1477
"CATOOSA|BLACKSTOCK",1088,208,19,1055,205,43,554,379,74,2079,1330
"CATOOSA|BOYNTON",3501,996,70,3441,937,145,1934,1131,350,6372,4589
"CATOOSA|CATOOSA KEITH",1532,329,39,1476,326,64,833,484,127,2800,1901
"CATOOSA|CHAMBERS",1641,351,34,1624,338,46,930,534,155,2671,2036
"CATOOSA|FT OGLETHORPE",1989,701,33,1922,669,93,1057,627,204,4520,2738
"CATOOSA|GRAYSVILLE",2431,656,51,2391,614,91,1309,800,213,4858,3152
"CATOOSA|LAKEVIEW",1654,485,36,1584,467,93,795,570,156,3936,2189
"CATOOSA|POPLAR SPRINGS",2433,582,43,2375,562,85,1304,814,220,4462,3074
"CATOOSA|RINGGOLD",4080,1327,82,4009,1247,162,2277,1349,513,8000,5515
"CATOOSA|WESTSIDE",2966,904,57,2884,862,111,1598,932,246,6504,3959
"CATOOSA|WOODSTATION",1852,393,30,1810,372,71,986,618,157,3112,2282
"CHARLTON|FOLKSTON",1768,935,35,1761,849,77,556,865,288,4303,2741
"CHARLTON|GA BEND",332,21,2,318,25,4,106,152,6,607,354
"CHARLTON|HOMELAND",502,87,4,489,82,12,166,230,26,955,595
"CHARLTON|RACEPOND",194,20,1,187,22,1,78,86,6,288,217
"CHARLTON|ST. GEORGE",418,22,1,401,22,6,124,190,4,734,443
"CHARLTON|WINOKUR",205,18,1,201,16,4,65,98,4,334,223
"CHATHAM|1ST BAPTIST CHURCH OF POOLER",955,1008,35,931,995,52,510,329,632,3644,2004
"CHATHAM|BEACH HIGH SCHOOL",114,525,12,112,527,14,73,21,366,1562,660
"CHATHAM|BIBLE BAPTIST CHURCH",219,1364,20,214,1346,29,121,60,1008,2844,1615
"CHATHAM|BLOOMINGDALE COMMUNITY CENTER",1388,369,19,1343,366,44,747,474,248,2914,1780
"CHATHAM|BURKE DAY PUBLIC SAFETY BLDG",677,473,17,697,437,21,414,244,351,1592,1164
"CHATHAM|BUTLER ELEMENTARY SC",17,938,6,26,914,8,5,3,747,1451,964
"CHATHAM|BUTLER PRESBYTERIAN CHURCH ED BLDG",73,900,15,67,875,22,30,26,645,2267,979
"CHATHAM|CARVER HEIGHTS COMM",14,989,7,23,957,17,5,3,747,1969,1016
"CHATHAM|CENTRAL CHURCH OF CHRIST",854,704,29,865,670,36,478,324,561,2149,1628
"CHATHAM|CHRIST COMMUNITY CHURCH AT MORNINGSIDE",220,1343,22,233,1296,38,121,76,954,3043,1614
"CHATHAM|CHRIST MEMORIAL BAPTIST CHURCH",332,907,16,315,868,38,166,103,598,2438,1265
"CHATHAM|COASTAL CATHEDRAL",1467,3038,63,1454,2943,107,791,501,2105,7531,4586
"CHATHAM|COASTAL CATHEDRAL MISSION CAMPUS",164,842,12,165,818,17,83,51,610,2053,1025
"CHATHAM|COASTAL GA BOTANICAL GARDENS",995,2093,50,952,2082,83,570,280,1442,5904,3161
"CHATHAM|COMPASSION CHRISTIAN, HENDERSON",705,979,26,700,960,33,397,230,622,3217,1722
"CHATHAM|COOPER CENTER",78,743,0,73,733,8,37,26,552,1743,827
"CHATHAM|CRUSADER COMMUNITY CENTER",773,1171,25,795,1132,35,477,239,883,2931,1981
"CHATHAM|ELI WHITNEY COMPLEX",341,697,15,348,663,26,198,127,474,1736,1050
"CHATHAM|ELKS LODGE",260,788,16,242,766,37,133,83,483,2236,1078
"CHATHAM|FELLOWSHIP OF LOVE COMMUNITY CHURCH",101,1292,18,104,1253,35,48,29,914,2744,1417
"CHATHAM|FERGUSON AVE BAPTIST",1500,593,24,1494,572,30,864,546,403,3054,2140
"CHATHAM|FIRST AFRICAN BAPTIST CHURCH",62,790,10,67,767,15,27,18,602,1687,861
"CHATHAM|FIRST BAPTIST CHURCH OF GARDEN CITY",494,407,10,472,400,29,273,156,293,1686,913
"CHATHAM|FIRST BAPTIST CHURCH OF THE ISLAND",1226,531,28,1228,523,29,760,393,371,2379,1803
"CHATHAM|FIRST PRESBYTERIAN CHURCH",952,1597,32,973,1543,47,607,323,1254,3569,2561
"CHATHAM|GEORGETOWN ELEMENTARY",1370,1559,60,1359,1531,56,805,441,1050,4624,2994
"CHATHAM|GEORGIA TECH, SAVANNAH CAMPUS",175,300,10,168,295,16,87,59,179,868,486
"CHATHAM|GRACE UNITED METHODIST CHURCH",629,587,10,635,553,20,370,219,418,1846,1235
"CHATHAM|HELLENIC CENTER",172,827,19,171,800,32,99,56,532,2080,1029
"CHATHAM|HOLY SPIRIT LUTHERAN CHURCH",163,1478,27,160,1442,47,92,53,1054,3148,1677
"CHATHAM|IMMANUEL BAPTIST CHURCH",336,722,15,333,689,33,185,112,480,2038,1054
"CHATHAM|ISLANDS CHRISTIAN CH",1684,873,35,1698,804,46,996,628,584,3486,2553
"CHATHAM|ISLANDS HIGH SCHOOL ANNEX",1044,647,26,1002,652,35,582,362,429,2677,1727
"CHATHAM|ISLE OF HOPE BAPTIST",1067,537,16,1113,478,16,675,391,380,1964,1647
"CHATHAM|J E A",595,949,32,593,925,37,346,210,705,2394,1598
"CHATHAM|JONESVILLE BAPTIST CHURCH",102,1909,26,106,1858,41,45,27,1394,3811,2045
"CHATHAM|LAKE SHORE COMMUNITY CENTER",448,1468,22,427,1453,47,223,149,971,3368,1947
"CHATHAM|LARGO-TIBET ELEMENTA",396,1327,22,382,1284,50,218,141,890,3366,1776
"CHATHAM|LIBERTY CITY COMMUNITY CENTER",54,1594,9,61,1552,27,11,19,1254,2678,1675
"CHATHAM|LIGHTHOUSE BAPTIST CHURCH",1222,608,23,1221,578,39,748,390,427,2641,1873
"CHATHAM|MIGHTY 8TH MUSEUM",1000,1150,36,968,1140,51,520,367,728,3451,2188
"CHATHAM|MOSES JACKSON CENTER",23,672,11,20,658,17,12,3,495,1503,712
"CHATHAM|NEW COV 7 DAY ADV CH",525,846,14,523,821,29,300,175,566,2940,1382
"CHATHAM|NEW GENERATIONS CATHEDRAL",300,885,21,272,871,46,172,74,607,2380,1217
"CHATHAM|OGLETHORPE CHARTER ACADEMY",344,1185,6,329,1166,25,173,125,933,2506,1547
"CHATHAM|PB EDWARDS GYMNASIUM",509,249,14,499,243,22,302,147,158,1385,779
"CHATHAM|POOLER RECREATION CENTER GYMNASIUM",1727,2050,64,1706,1984,95,952,602,1359,5979,3848
"CHATHAM|PROGRESSIVE REC CTR",901,1654,58,862,1636,83,487,269,1092,4869,2625
"CHATHAM|RALPH MARK GILBERT CIVIL RIGHTS MUSEUM",186,444,10,192,418,14,109,65,257,1697,643
"CHATHAM|RESURRECTION OF OUR LORD CATHOLIC CHURCH",53,1186,8,44,1160,20,21,11,899,2523,1252
"CHATHAM|RICE CREEK SCHOOL",546,973,30,529,964,44,282,193,632,2844,1558
"CHATHAM|RIVER POINTE",161,716,21,171,688,20,97,56,473,1967,861
"CHATHAM|ROTHWELL BAPTIST CHURCH",1650,1113,39,1630,1069,72,947,565,681,4741,2820
"CHATHAM|SAINT FRANCIS EPISCOPAL CHURCH",1125,601,36,1111,577,54,675,359,409,2458,1780
"CHATHAM|SALVATION ARMY",256,1742,27,252,1696,50,131,75,1281,3778,2034
"CHATHAM|SAVANNAH FIRE STATION #14",289,497,17,277,489,27,145,98,297,1437,805
"CHATHAM|SAVANNAH FIRST SEVENTH DAY ADVENTIST CHURCH",1002,1708,57,961,1682,92,502,339,1022,4954,2777
"CHATHAM|SAVANNAH HIGH SCHOOL",65,537,8,70,517,13,36,20,348,1354,617
"CHATHAM|SAVANNAH PRIMITIVE BAPTIST CHURCH",304,817,16,285,792,34,169,99,556,2033,1141
"CHATHAM|SEED CHURCH",198,1057,23,185,1022,45,89,58,723,3205,1278
"CHATHAM|SILK HOPE BAPTIST CHURCH",573,305,14,552,291,30,330,180,185,2070,901
"CHATHAM|SKIDAWAY COMMUNITY CHURCH",1383,746,19,1476,651,11,853,575,565,2655,2174
"CHATHAM|SKIDAWAY ISLAND METHODIST CHURCH",1939,1125,20,2034,995,22,1116,878,859,3835,3120
"CHATHAM|SOUTHSIDE BAPTIST CH",162,707,12,158,693,19,86,54,523,1564,884
"CHATHAM|SOUTHSIDE FIRE TRAINING CENTER",1288,775,27,1287,750,32,737,492,557,2740,2100
"CHATHAM|ST PETERS EPISCOPAL",1354,618,16,1400,553,17,791,558,473,2473,2011
"CHATHAM|ST. LUKE UNITED METHODIST CHURCH",785,488,19,779,481,19,488,262,346,1788,1295
"CHATHAM|ST. THOMAS EPISCOPAL CHURCH",626,300,17,643,279,18,384,230,201,1140,944
"CHATHAM|TEMPLE MICKVE ISRAEL",410,709,13,437,655,19,240,157,476,1907,1150
"CHATHAM|THE CONNEXION CHURCH",511,785,22,501,779,27,313,145,599,1989,1331
"CHATHAM|THE LIGHT CHURCH",437,469,18,419,454,40,231,157,313,1714,936
"CHATHAM|THE SANCTUARY",596,424,14,585,413,23,330,221,293,1533,1036
"CHATHAM|THUNDERBOLT MUN COMP",524,628,18,503,625,30,312,158,463,1845,1178
"CHATHAM|TOMPKINS RECREATION CENTER",26,509,7,24,490,17,6,3,382,1198,544
"CHATHAM|TRINITY LUTHERAN CHURCH",979,1269,35,947,1254,63,589,305,828,3780,2304
"CHATHAM|TYBEE OLD SCHOOL CAFE",769,487,10,769,475,13,457,274,400,1833,1279
"CHATHAM|W W LAW CENTER",115,707,25,126,686,26,66,43,488,1854,860
"CHATHAM|WEST BROAD STREET YMCA",36,639,12,38,620,21,9,6,443,1791,696
"CHATHAM|WEST CHATHAM BAPTIST CHURCH",802,880,29,792,851,43,443,280,578,2639,1713
"CHATHAM|WHITE BLUFF PRESBYTERIAN CHURCH",401,751,24,383,736,47,207,145,479,2179,1198
"CHATHAM|WILLIAMS COURT APTS",123,823,26,121,797,36,55,43,561,2042,981
"CHATHAM|WILMINGTON ISLAND PRESBYTERIAN CHURCH",1497,669,35,1520,634,29,916,540,455,2856,2219
"CHATHAM|WILMINGTON ISLAND UNITED METHODIST CHURCH",1568,907,28,1569,853,56,913,548,601,3656,2518
"CHATHAM|WINDSOR FOREST BAPTIST CHURCH SCHOOL",984,760,32,994,737,37,610,341,559,2389,1788
"CHATHAM|WINDSOR HALL",435,790,32,422,785,33,236,142,575,2179,1266
"CHATHAM|WOODLAWN BAPTIST CHURCH",311,433,9,297,435,12,180,93,299,1477,759
"CHATTAHOOCHEE|ACTIVITY CENTER",880,667,35,850,636,60,388,372,410,4346,1586
"CHATTOOGA|DIRTTOWN",598,114,8,578,119,18,282,212,95,923,723
"CHATTOOGA|HAYWOOD",100,15,1,97,16,2,47,40,10,173,115
"CHATTOOGA|LYERLY",875,199,25,837,201,40,418,305,149,1583,1099
"CHATTOOGA|MENLO",962,184,6,928,190,26,491,342,110,1557,1167
"CHATTOOGA|SUBLIGNA",348,37,0,336,38,4,181,127,22,503,386
