"GEOID20","pop","precinct_2020","precinct_2024"
"130390106041035",9,"CAMDEN|SOUTH ST MARYS","CAMDEN|SOUTH ST MARYS"
"132437902001010",38,"RANDOLPH|CUTHBERT/COURTHOUSE","RANDOLPH|CUTHBERT/COURTHOUSE"
"131230805003020",107,"GILMER|YUKON","GILMER|YUKON"
"131230803011063",0,"GILMER|TOWN CREEK","GILMER|TOWN CREEK"
"130990904003037",20,"EARLY|CUBA","EARLY|CUBA"
"131770201021005",0,"LEE|#1 CHOKEE","LEE|#1 CHOKEE"
"131770202001078",18,"LEE|#3 CJC","LEE|#3 CJC"
"132731204003014",5,"TERRELL|DAWSON","TERRELL|DAWSON"
"130390104031008",37,"CAMDEN|WEST SAINT MARYS","CAMDEN|WEST SAINT MARYS"
"131390002031042",26,"HALL|BIG HICKORY","HALL|BIG HICKORY"
"131390002041014",86,"HALL|BIG HICKORY","HALL|BIG HICKORY"
"130311106023036",0,"BULLOCH|CHURCH","BULLOCH|CHURCH"
"130311108001086",0,"BULLOCH|SINKHOLE","BULLOCH|SINKHOLE"
"131230802003058",101,"GILMER|ELLIJAY SOUTH","GILMER|ELLIJAY SOUTH"
"131510702151017",27,"HENRY|MT. BETHEL","HENRY|MT. BETHEL"
"131510702091012",29,"HENRY|LAKE DOW","HENRY|LAKE DOW"
"131510705051023",0,"HENRY|SOUTH HAMPTON","HENRY|SOUTH HAMPTON"
"131030302052058",262,"EFFINGHAM|4A","EFFINGHAM|4A"
"131030302071009",0,"EFFINGHAM|1B","EFFINGHAM|1B"
"131210105211008",82,"FULTON|SC27","FULTON|SC27"
"131339505002012",42,"GREENE|WHITE PLAINS","GREENE|WHITE PLAINS"
"130199705003001",7,"BERRIEN|NASHVILLE","BERRIEN|NASHVILLE"
"131370004002059",12,"HABERSHAM|HABERSHAM SOUTH","HABERSHAM|HABERSHAM SOUTH"
"131370006043000",0,"HABERSHAM|HABERSHAM SOUTH","HABERSHAM|HABERSHAM SOUTH"
"131370002041032",9,"HABERSHAM|HABERSHAM NORTH","HABERSHAM|HABERSHAM NORTH"
"132731204003058",32,"TERRELL|DAWSON","TERRELL|DAWSON"
"132799705001012",7,"TOOMBS|15361 LYONS","TOOMBS|15361 LYONS"
"131099703002036",0,"EVANS|VETERANS COMM CTR","EVANS|VETERAN'S COMM CTR"
"130311104011021",3,"BULLOCH|STATESBORO","BULLOCH|STATESBORO"
"132437902001032",5,"RANDOLPH|COLEMAN","RANDOLPH|COLEMAN"
"130939701003087",0,"DOOLY|PINEHURST","DOOLY|PINEHURST"
"130279606002018",8,"BROOKS|DIXIE","BROOKS|DIXIE"
"130759602003010",0,"COOK|SPARKS","COOK|SPARKS"
"130759603012007",17,"COOK|SPARKS","COOK|SPARKS"
"130759603012040",0,"COOK|SPARKS","COOK|SPARKS"
"131099702003024",116,"EVANS|VETERANS COMM CTR","EVANS|VETERAN'S COMM CTR"
"130311107011010",59,"BULLOCH|EMIT","BULLOCH|EMIT"
"130490101011075",6,"CHARLTON|HOMELAND","CHARLTON|HOMELAND"
"130490101011220",9,"CHARLTON|HOMELAND","CHARLTON|HOMELAND"
"132890602003039",0,"TWIGGS|SHADY GROVE/TARVERS","TWIGGS|SHADY GROVE/TARVERS"
"131030304031011",372,"EFFINGHAM|1D","EFFINGHAM|1D"
"131030303083003",0,"EFFINGHAM|5B","EFFINGHAM|5C"
"131030303071033",9,"EFFINGHAM|5B","EFFINGHAM|5B"
"131390007031002",254,"HALL|GAINESVILLE II","HALL|GAINESVILLE II"
"131390008001020",100,"HALL|GAINESVILLE II","HALL|GAINESVILLE II"
"131390006022080",0,"HALL|GLADE","HALL|GLADE"
"131390015011040",36,"HALL|FLOWERY BRANCH I","HALL|FLOWERY BRANCH I"
"131390011011080",297,"HALL|GAINESVILLE IV","HALL|GAINESVILLE IV"
"131030302052063",6,"EFFINGHAM|4A","EFFINGHAM|4A"
"131030303073008",95,"EFFINGHAM|5A","EFFINGHAM|5A"
"131210105284002",427,"FULTON|FA01A","FULTON|FA01A"
"130131801032010",291,"BARROW|02","BARROW|2"
"130059702013072",0,"BACON|DOUGLAS","BACON|DOUGLAS"
"130719701012046",21,"COLQUITT|NORMAN PARK","COLQUITT|NORMAN PARK"
"130591403003011",219,"CLARKE|2A","CLARKE|2A"
"130590019001014",12,"CLARKE|5C","CLARKE|5C"
"131530211142004",133,"HOUSTON|BMS","HOUSTON|BMS"
"131530211164012",0,"HOUSTON|ANNX","HOUSTON|ANNX"
"131530211153017",29,"HOUSTON|BMS","HOUSTON|BMS"
"131530211153013",69,"HOUSTON|BMS","HOUSTON|BMS"
"131530209001002",59,"HOUSTON|HHPC","HOUSTON|HHPC"
"131530211191004",102,"HOUSTON|ANNX","HOUSTON|ANNX"
"131530211251003",306,"HOUSTON|FMMS","HOUSTON|FMMS"
"131530211083019",12,"HOUSTON|VHS","HOUSTON|VHS"
"131530213004016",71,"HOUSTON|ROZR","HOUSTON|ROZR"
"131530202003002",481,"HOUSTON|HHPC","HOUSTON|HHPC"
"131530212043028",158,"HOUSTON|CGTC","HOUSTON|CGTC"
"131530211153060",11,"HOUSTON|BMS","HOUSTON|BMS"
"131530211083004",32,"HOUSTON|VHS","HOUSTON|VHS"
"131390006022056",9,"HALL|GAINESVILLE I","HALL|GAINESVILLE I"
"130210137011030",109,"BIBB|VINEVILLE 1","BIBB|VINEVILLE 1"
"130210127001003",37,"BIBB|GODFREY 3","BIBB|GODFREY 3"
"130210140003038",23,"BIBB|VINEVILLE 3","BIBB|VINEVILLE 3"
