"year","st","district","party","candidates","total_votes","leader","leader_votes","leader_share","second","second_share","runoff","runoff_winner","leader_won_runoff","top_two_state"
2006,"IL","13","R",2,66464,"Biggert, Judy",52900,79.59,"Hart, Bob",20.41,FALSE,NA,NA,FALSE
2006,"IL","14","D",2,22831,"Laesch, Jonathan ""John""",15022,65.8,"Kanhai-Zamora, Ruben",34.2,FALSE,NA,NA,FALSE
2006,"IL","17","R",3,31490,"Zinga, Andrea",13287,42.19,"Mowen, Jim",41.16,FALSE,NA,NA,FALSE
2006,"IL","19","D",2,33390,"Stover, Danny L.",20555,61.56,"Roberts, Vic",38.44,FALSE,NA,NA,FALSE
2006,"IL","2","R",2,6558,"Belin, Robert",3829,58.39,"Schug, Howard",41.61,FALSE,NA,NA,FALSE
2006,"IL","3","D",3,81550,"Lipinski, Daniel William",44401,54.45,"Kelly, John T.",25.65,FALSE,NA,NA,FALSE
2006,"IL","3","R",2,17845,"Wardingley, Raymond G.",12603,70.62,"Jones, Arthur J.",29.38,FALSE,NA,NA,FALSE
2006,"IL","5","D",3,64653,"Emanuel, Rahm",53727,83.1,"Fredrickson, Mark Arnold",9.36,FALSE,NA,NA,FALSE
2006,"IL","6","D",3,32575,"Duckworth, L. Tammy",14283,43.85,"Cegelis, Christine",40.4,FALSE,NA,NA,FALSE
2006,"IL","7","D",3,86854,"Davis, Danny K.",77287,88.98,"Ascot, Jim",7.65,FALSE,NA,NA,FALSE
2006,"IL","8","R",6,58450,"McSweeney, David",25085,42.92,"Salvi, Kathy",33.14,FALSE,NA,NA,FALSE
2006,"IL","9","R",2,15867,"Shannon, Michael P.",13482,84.97,"Ribeiro, Simon M.",15.03,FALSE,NA,NA,FALSE
2006,"IN","1","R",4,19210,"Leyva, Mark J.",8416,43.81,"Holtz, Richard (Ric)",24.78,FALSE,NA,NA,FALSE
2006,"IN","2","D",2,36869,"Donnelly, Joe",30589,82.97,"Francis, Steve",17.03,FALSE,NA,NA,FALSE
2006,"IN","2","R",2,35855,"Chocola, J. Christopher",25139,70.11,"Zirkle, Tony",29.89,FALSE,NA,NA,FALSE
2006,"IN","3","D",4,18910,"Hayhurst, Thomas E.",12556,66.4,"Boyd, Kevin",13.19,FALSE,NA,NA,FALSE
2006,"IN","3","R",2,55294,"Souder, Mark E.",39449,71.34,"Larsen, William",28.66,FALSE,NA,NA,FALSE
2006,"IN","4","D",3,14783,"Sanders, David Avram",7522,50.88,"Cornstuble, Rick",25.89,FALSE,NA,NA,FALSE
2006,"IN","4","R",2,69494,"Buyer, Steve",50695,72.95,"Campbell, Mike",27.05,FALSE,NA,NA,FALSE
2006,"IN","5","D",4,18324,"Carr, Katherine Fox",7039,38.41,"Clements, Michael",25.88,FALSE,NA,NA,FALSE
