"state","n","b_vap","se_vap","p_vap","b_vep","se_vep","p_vep","fit_vap","fit_vep","nc_first","nc_last","rate_vap_first","rate_vap_last","rate_vep_first","rate_vep_last","sign_flip","divergence"
"Idaho",10,-0.269723,0.0817733,0.0108844,-0.154826,0.0864415,0.111052,-9.71003,-5.57373,1.5,4.4,67.9236,54.9504,69.0469,59.0266,FALSE,0.114897
"New Mexico",10,0.0188427,0.094661,0.847186,0.128564,0.107835,0.267332,0.678337,4.62832,2.3,6.9,50.8907,49.8754,52.301,54.1879,FALSE,0.109722
"Massachusetts",10,0.0892226,0.0600992,0.175951,0.195516,0.0609381,0.0124536,3.21201,7.03857,4,8.9,58.9615,60.9662,61.4182,67.0407,FALSE,0.106293
"Oregon",10,0.0118009,0.0958858,0.905085,0.114443,0.104354,0.304695,0.424834,4.11993,2.2,6.3,61.3567,61.886,62.8429,66.3791,FALSE,0.102642
"Illinois",10,-0.0457589,0.0940877,0.639766,0.0544782,0.0964174,0.587548,-1.64732,1.96121,4.1,8.5,57.8091,56.5319,60.3718,62.0717,TRUE,0.100237
"Nebraska",10,0.031655,0.0664911,0.646748,0.130306,0.0671844,0.0884108,1.13958,4.69102,0.8,5.5,56.7302,58.8261,57.4815,62.8924,FALSE,0.098651
"New York",10,0.0107653,0.0619976,0.866462,0.108019,0.068684,0.154435,0.387549,3.88867,6.8,12,47.9569,49.9007,51.6336,57.0862,FALSE,0.0972535
"Utah",10,-0.357507,0.115378,0.0146976,-0.261315,0.115807,0.0540197,-12.8702,-9.40735,2.1,6.9,64.6388,52.8872,66.0253,56.9741,FALSE,0.0961914
"Kansas",10,-0.0703643,0.0773476,0.389557,0.0208537,0.0794975,0.799704,-2.53312,0.750733,1.1,5.2,56.7513,53.9123,57.4665,57.5307,TRUE,0.091218
"California",10,-0.0551623,0.0626941,0.404587,0.0358911,0.0701725,0.622837,-1.98584,1.29208,10.8,16.4,48.9251,47.0678,54.9886,56.5941,TRUE,0.0910535
"District of Columbia",10,0.552599,0.0874003,0.00022719,0.643538,0.0944973,0.000136409,19.8936,23.1674,4.5,8.4,35.3137,55.0574,37.2247,60.1062,FALSE,0.0909388
"Arkansas",10,-0.0762132,0.0660853,0.282096,0.00809714,0.0678632,0.907967,-2.74368,0.291497,0.5,3.8,51.5461,49.4176,52.0293,52.7756,TRUE,0.0843104
"Connecticut",10,-0.0824315,0.0760079,0.309736,-0.000318217,0.0807336,0.996952,-2.96753,-0.0114558,3.8,7.8,60.9863,58.176,63.9061,63.5327,FALSE,0.0821133
"Iowa",10,0.141147,0.0887479,0.150402,0.22063,0.091213,0.0419255,5.08131,7.94269,0.7,3.6,62.946,65.1422,63.6201,68.5095,FALSE,0.0794828
"Wisconsin",10,0.132269,0.12208,0.310174,0.210221,0.127532,0.137887,4.76167,7.56795,1,3.2,67.4329,66.2389,68.4455,69.526,FALSE,0.0779521
"Louisiana",10,0.0930481,0.0438495,0.0666188,0.165424,0.0414639,0.00400764,3.34973,5.95525,1.1,2.7,53.202,56.9345,53.9604,60.062,FALSE,0.0723755
"Oklahoma",10,-0.119503,0.0996759,0.264865,-0.0485342,0.104204,0.653803,-4.30212,-1.74723,1.1,4.7,52.2296,48.8881,53.1575,52.1782,FALSE,0.0709691
"South Carolina",10,0.478249,0.0748302,0.000211122,0.545185,0.0793224,0.000127968,17.217,19.6267,0.6,3.4,40.4127,54.1852,41.0539,56.7477,FALSE,0.0669363
"Tennessee",10,0.079345,0.0847635,0.376627,0.145715,0.0891779,0.140904,2.85642,5.24575,0.5,3.5,48.7522,48.5775,49.2161,51.1159,FALSE,0.0663701
"Alabama",10,0.257894,0.0789589,0.0114212,0.323455,0.0817969,0.00421012,9.28419,11.6444,0.4,2.5,48.7429,56.3086,49.2003,58.8241,FALSE,0.0655611
"Alaska",10,0.0659305,0.123853,0.60896,0.129386,0.133131,0.359579,2.3735,4.6579,2,4.1,57.1465,57.4559,58.6377,61.0491,FALSE,0.0634556
"Kentucky",10,0.179915,0.0710993,0.0352295,0.242097,0.074784,0.0119261,6.47693,8.71549,0.5,2.4,49.9435,56.0853,50.5454,58.6176,FALSE,0.062182
"Missouri",10,0.111451,0.093683,0.268285,0.17253,0.0968427,0.112684,4.01225,6.21109,0.7,2.5,58.7921,59.6411,59.4887,62.1822,FALSE,0.0610789
"Pennsylvania",10,0.272258,0.0939178,0.0199253,0.330282,0.0977782,0.00967208,9.80129,11.8902,1.2,3.7,51.9836,60.9558,52.6646,63.612,FALSE,0.0580242
"Indiana",10,-0.0701494,0.0902203,0.459217,-0.0126467,0.0934841,0.895731,-2.52538,-0.45528,0.8,3.7,57.703,53.9152,58.2693,56.2741,FALSE,0.0575027
"Mississippi",10,0.138129,0.106883,0.232318,0.187638,0.112435,0.133698,4.97264,6.75496,0.4,1.4,51.9018,53.3143,52.374,55.1655,FALSE,0.0495088
"Michigan",10,0.179902,0.104011,0.121946,0.228229,0.10773,0.0669783,6.47648,8.21624,1.9,3.7,60.0131,61.8035,61.3205,64.5276,FALSE,0.0483265
"South Dakota",10,-0.203144,0.0958981,0.0669992,-0.156836,0.0960827,0.141259,-7.31318,-5.64611,0.4,2.5,67.3049,56.8343,67.6639,58.8881,FALSE,0.0463073
"Rhode Island",10,-0.0661415,0.084613,0.456903,-0.0206093,0.0816055,0.806985,-2.38109,-0.741935,4.3,7.1,58.6271,54.6792,61.608,59.0857,FALSE,0.0455322
"Wyoming",10,0.121826,0.0787282,0.160348,0.166657,0.0794916,0.06931,4.38575,5.99965,0.9,2.4,53.4225,57.3359,54.0987,59.5421,FALSE,0.0448308
"New Hampshire",10,0.447381,0.0976172,0.00179491,0.48956,0.101367,0.00130532,16.1057,17.6242,1.6,2.9,57.179,68.7266,58.1374,70.9693,FALSE,0.0421794
"Ohio",10,0.225937,0.0936329,0.0423095,0.263269,0.0960968,0.0254641,8.13371,9.47768,1.1,2.4,55.3959,60.882,56.111,62.747,FALSE,0.0373323
"North Dakota",10,-0.141066,0.0792738,0.11304,-0.113357,0.08036,0.196038,-5.07838,-4.08085,0.6,2.2,64.7861,59.3886,65.2129,60.9169,FALSE,0.0277091
"Hawaii",10,-0.124711,0.0508136,0.0396707,-0.0974318,0.0584944,0.134344,-4.4896,-3.50754,6.9,9.1,43.5816,38.2719,46.8829,42.3307,FALSE,0.0272794
"West Virginia",10,-0.100329,0.0775496,0.231855,-0.082197,0.079192,0.329647,-3.61185,-2.95909,0.5,1.1,52.8224,49.1161,53.2049,50.1647,FALSE,0.0181321
"Montana",10,-0.114857,0.0579511,0.0827979,-0.100177,0.0591249,0.128653,-4.13483,-3.60636,0.7,1.2,65.0885,60.9232,65.6346,61.9547,FALSE,0.0146798
"Vermont",10,0.0987755,0.0957706,0.332534,0.110955,0.0984241,0.292285,3.55592,3.99437,1.6,2.2,57.7816,62.28,58.7211,63.681,FALSE,0.0121791
"Maine",10,0.149303,0.0962146,0.159317,0.158488,0.0973055,0.142012,5.37491,5.70556,1.3,1.8,64.5501,69.304,65.4003,70.5743,FALSE,0.00918473
