"district","election","year","share_old","share_new"
33,"ag-2022",2022,0.743349,0.730761
34,"ag-2022",2022,0.578523,0.503685
35,"ag-2022",2022,0.741356,0.466625
36,"ag-2022",2022,0.316953,0.377302
37,"ag-2022",2022,0.796928,0.844698
38,"ag-2022",2022,0.387396,0.387608
1,"compt-2018",2018,0.253144,0.262458
2,"compt-2018",2018,0.336589,0.341589
3,"compt-2018",2018,0.371249,0.363149
4,"compt-2018",2018,0.327948,0.360765
5,"compt-2018",2018,0.367574,0.390236
6,"compt-2018",2018,0.349162,0.362627
7,"compt-2018",2018,0.612073,0.616655
8,"compt-2018",2018,0.34007,0.38942
9,"compt-2018",2018,0.771933,0.48647
10,"compt-2018",2018,0.36114,0.386973
11,"compt-2018",2018,0.27483,0.324366
12,"compt-2018",2018,0.375856,0.384232
13,"compt-2018",2018,0.251628,0.258972
14,"compt-2018",2018,0.34754,0.373429
15,"compt-2018",2018,0.543059,0.542679
16,"compt-2018",2018,0.710301,0.711035
17,"compt-2018",2018,0.356885,0.386052
18,"compt-2018",2018,0.742792,0.823916
19,"compt-2018",2018,0.247236,0.247236
20,"compt-2018",2018,0.670817,0.710953
21,"compt-2018",2018,0.346696,0.372327
22,"compt-2018",2018,0.367886,0.36062
23,"compt-2018",2018,0.454271,0.442326
24,"compt-2018",2018,0.361335,0.365657
25,"compt-2018",2018,0.316816,0.40369
26,"compt-2018",2018,0.352021,0.354033
27,"compt-2018",2018,0.370022,0.377858
28,"compt-2018",2018,0.579008,0.658436
29,"compt-2018",2018,0.743788,0.736474
30,"compt-2018",2018,0.780916,0.787957
31,"compt-2018",2018,0.347655,0.360555
32,"compt-2018",2018,0.620938,0.410567
33,"compt-2018",2018,0.768911,0.717662
34,"compt-2018",2018,0.647096,0.528127
35,"compt-2018",2018,0.738,0.470766
36,"compt-2018",2018,0.32786,0.393044
37,"compt-2018",2018,0.732783,0.798494
38,"compt-2018",2018,0.339148,0.345542
1,"gov-2018",2018,0.245098,0.254498
2,"gov-2018",2018,0.326336,0.332319
3,"gov-2018",2018,0.356336,0.349308
4,"gov-2018",2018,0.313865,0.345392
5,"gov-2018",2018,0.351305,0.3735
6,"gov-2018",2018,0.334417,0.347578
7,"gov-2018",2018,0.604237,0.6114
8,"gov-2018",2018,0.328977,0.380055
9,"gov-2018",2018,0.741559,0.46517
10,"gov-2018",2018,0.353061,0.376353
11,"gov-2018",2018,0.266741,0.316738
12,"gov-2018",2018,0.362562,0.373194
13,"gov-2018",2018,0.247258,0.25447
14,"gov-2018",2018,0.330425,0.354279
15,"gov-2018",2018,0.501012,0.497928
16,"gov-2018",2018,0.678419,0.679165
17,"gov-2018",2018,0.347376,0.375319
18,"gov-2018",2018,0.721951,0.79381
19,"gov-2018",2018,0.244121,0.244121
20,"gov-2018",2018,0.628449,0.669144
21,"gov-2018",2018,0.337751,0.362145
22,"gov-2018",2018,0.355519,0.34967
23,"gov-2018",2018,0.429239,0.419342
24,"gov-2018",2018,0.347076,0.351056
25,"gov-2018",2018,0.303902,0.388567
26,"gov-2018",2018,0.337925,0.340102
27,"gov-2018",2018,0.341204,0.365486
28,"gov-2018",2018,0.534759,0.603598
29,"gov-2018",2018,0.714199,0.71051
30,"gov-2018",2018,0.750357,0.753771
31,"gov-2018",2018,0.335852,0.347024
32,"gov-2018",2018,0.601639,0.395801
33,"gov-2018",2018,0.746416,0.698578
34,"gov-2018",2018,0.581367,0.472819
35,"gov-2018",2018,0.714461,0.439951
36,"gov-2018",2018,0.313285,0.375886
37,"gov-2018",2018,0.719674,0.785361
38,"gov-2018",2018,0.335535,0.341087
1,"gov-2022",2022,0.219606,0.228118
2,"gov-2022",2022,0.369675,0.375976
3,"gov-2022",2022,0.400264,0.380349
4,"gov-2022",2022,0.335357,0.378099
5,"gov-2022",2022,0.358431,0.390833
6,"gov-2022",2022,0.346831,0.3769
7,"gov-2022",2022,0.642966,0.659384
8,"gov-2022",2022,0.325807,0.357845
9,"gov-2022",2022,0.766389,0.434562
10,"gov-2022",2022,0.376232,0.40067
11,"gov-2022",2022,0.253801,0.331745
12,"gov-2022",2022,0.391759,0.38894
13,"gov-2022",2022,0.242956,0.250684
14,"gov-2022",2022,0.325553,0.375089
15,"gov-2022",2022,0.46907,0.468456
16,"gov-2022",2022,0.64731,0.648429
17,"gov-2022",2022,0.344247,0.392302
18,"gov-2022",2022,0.743886,0.81891
19,"gov-2022",2022,0.224058,0.224058
20,"gov-2022",2022,0.671402,0.707567
21,"gov-2022",2022,0.382538,0.395635
22,"gov-2022",2022,0.396774,0.384467
23,"gov-2022",2022,0.447545,0.447748
24,"gov-2022",2022,0.416058,0.415567
25,"gov-2022",2022,0.312506,0.378001
26,"gov-2022",2022,0.379219,0.378485
27,"gov-2022",2022,0.351617,0.391472
28,"gov-2022",2022,0.526976,0.552977
29,"gov-2022",2022,0.696165,0.714474
30,"gov-2022",2022,0.776788,0.774856
31,"gov-2022",2022,0.377159,0.377818
32,"gov-2022",2022,0.650792,0.419554
33,"gov-2022",2022,0.738928,0.722938
34,"gov-2022",2022,0.567197,0.493608
35,"gov-2022",2022,0.738883,0.466924
36,"gov-2022",2022,0.316334,0.375304
37,"gov-2022",2022,0.783183,0.83528
38,"gov-2022",2022,0.384912,0.386114
1,"ltgov-2018",2018,0.287893,0.294704
2,"ltgov-2018",2018,0.362016,0.369043
3,"ltgov-2018",2018,0.400756,0.393153
4,"ltgov-2018",2018,0.360575,0.393185
5,"ltgov-2018",2018,0.390236,0.418384
6,"ltgov-2018",2018,0.376174,0.389423
7,"ltgov-2018",2018,0.655288,0.66517
8,"ltgov-2018",2018,0.360232,0.410502
9,"ltgov-2018",2018,0.781206,0.494417
10,"ltgov-2018",2018,0.400966,0.426883
11,"ltgov-2018",2018,0.306352,0.359827
12,"ltgov-2018",2018,0.40041,0.408974
13,"ltgov-2018",2018,0.291034,0.298132
14,"ltgov-2018",2018,0.366425,0.391641
15,"ltgov-2018",2018,0.551918,0.554876
16,"ltgov-2018",2018,0.703032,0.703784
17,"ltgov-2018",2018,0.393825,0.423231
18,"ltgov-2018",2018,0.759711,0.83242
19,"ltgov-2018",2018,0.300831,0.300831
20,"ltgov-2018",2018,0.664787,0.704098
21,"ltgov-2018",2018,0.381094,0.402173
22,"ltgov-2018",2018,0.397045,0.390418
23,"ltgov-2018",2018,0.471961,0.462758
24,"ltgov-2018",2018,0.403095,0.40369
25,"ltgov-2018",2018,0.344235,0.426281
26,"ltgov-2018",2018,0.380947,0.382793
27,"ltgov-2018",2018,0.396752,0.410542
28,"ltgov-2018",2018,0.581602,0.660878
29,"ltgov-2018",2018,0.741334,0.741657
30,"ltgov-2018",2018,0.78825,0.788857
31,"ltgov-2018",2018,0.381134,0.390059
32,"ltgov-2018",2018,0.648327,0.443592
33,"ltgov-2018",2018,0.771939,0.735068
34,"ltgov-2018",2018,0.645098,0.53993
35,"ltgov-2018",2018,0.746315,0.477394
36,"ltgov-2018",2018,0.350549,0.416734
37,"ltgov-2018",2018,0.766191,0.823901
38,"ltgov-2018",2018,0.386394,0.390631
1,"ltgov-2022",2022,0.224577,0.232667
2,"ltgov-2022",2022,0.369679,0.376551
3,"ltgov-2022",2022,0.407669,0.3871
4,"ltgov-2022",2022,0.3439,0.386259
5,"ltgov-2022",2022,0.36428,0.399117
6,"ltgov-2022",2022,0.353677,0.385698
7,"ltgov-2022",2022,0.646866,0.663759
8,"ltgov-2022",2022,0.328326,0.359767
9,"ltgov-2022",2022,0.766323,0.429115
10,"ltgov-2022",2022,0.381863,0.407503
11,"ltgov-2022",2022,0.2566,0.335766
12,"ltgov-2022",2022,0.401196,0.397752
13,"ltgov-2022",2022,0.249358,0.256914
14,"ltgov-2022",2022,0.329607,0.377794
15,"ltgov-2022",2022,0.461917,0.459176
16,"ltgov-2022",2022,0.63291,0.633885
17,"ltgov-2022",2022,0.346912,0.397636
18,"ltgov-2022",2022,0.741168,0.818425
19,"ltgov-2022",2022,0.230137,0.230137
20,"ltgov-2022",2022,0.660146,0.698585
21,"ltgov-2022",2022,0.385352,0.395689
22,"ltgov-2022",2022,0.3983,0.386468
23,"ltgov-2022",2022,0.444136,0.444662
24,"ltgov-2022",2022,0.433964,0.431173
25,"ltgov-2022",2022,0.323427,0.387282
26,"ltgov-2022",2022,0.386549,0.385931
27,"ltgov-2022",2022,0.353219,0.395186
28,"ltgov-2022",2022,0.51826,0.546238
29,"ltgov-2022",2022,0.685832,0.707418
30,"ltgov-2022",2022,0.781904,0.779165
31,"ltgov-2022",2022,0.382307,0.381227
32,"ltgov-2022",2022,0.659671,0.42954
33,"ltgov-2022",2022,0.739422,0.726577
34,"ltgov-2022",2022,0.550289,0.48527
35,"ltgov-2022",2022,0.734368,0.457954
36,"ltgov-2022",2022,0.318768,0.377828
37,"ltgov-2022",2022,0.789826,0.838563
38,"ltgov-2022",2022,0.391834,0.392265
1,"pres-2016",2016,0.253813,0.261327
2,"pres-2016",2016,0.333439,0.340219
3,"pres-2016",2016,0.361478,0.348753
4,"pres-2016",2016,0.320004,0.355046
5,"pres-2016",2016,0.350471,0.380483
6,"pres-2016",2016,0.337668,0.351765
7,"pres-2016",2016,0.657167,0.667652
8,"pres-2016",2016,0.333576,0.394583
9,"pres-2016",2016,0.794914,0.484529
10,"pres-2016",2016,0.360259,0.389095
11,"pres-2016",2016,0.2801,0.315961
12,"pres-2016",2016,0.364653,0.374974
13,"pres-2016",2016,0.231397,0.237247
14,"pres-2016",2016,0.352238,0.370228
15,"pres-2016",2016,0.568638,0.570436
16,"pres-2016",2016,0.723113,0.723779
17,"pres-2016",2016,0.35251,0.380497
18,"pres-2016",2016,0.769824,0.847424
19,"pres-2016",2016,0.245805,0.245805
20,"pres-2016",2016,0.669572,0.712442
21,"pres-2016",2016,0.352499,0.371474
22,"pres-2016",2016,0.372112,0.367148
23,"pres-2016",2016,0.479116,0.463348
24,"pres-2016",2016,0.373799,0.373469
25,"pres-2016",2016,0.307893,0.397027
26,"pres-2016",2016,0.3385,0.342435
27,"pres-2016",2016,0.387402,0.378325
28,"pres-2016",2016,0.600188,0.68853
29,"pres-2016",2016,0.756353,0.750674
30,"pres-2016",2016,0.789539,0.788813
31,"pres-2016",2016,0.340139,0.35934
32,"pres-2016",2016,0.63714,0.408772
33,"pres-2016",2016,0.767314,0.726712
34,"pres-2016",2016,0.688157,0.565803
35,"pres-2016",2016,0.724638,0.473573
36,"pres-2016",2016,0.327843,0.396536
37,"pres-2016",2016,0.743753,0.805627
38,"pres-2016",2016,0.35963,0.361964
1,"pres-2020",2020,0.267935,0.278396
2,"pres-2020",2020,0.384522,0.391031
3,"pres-2020",2020,0.426767,0.411118
4,"pres-2020",2020,0.368517,0.409562
5,"pres-2020",2020,0.386493,0.417848
6,"pres-2020",2020,0.378688,0.401361
7,"pres-2020",2020,0.650745,0.659868
8,"pres-2020",2020,0.362273,0.406788
9,"pres-2020",2020,0.770024,0.456377
10,"pres-2020",2020,0.404362,0.424715
11,"pres-2020",2020,0.29536,0.347389
12,"pres-2020",2020,0.407852,0.410108
13,"pres-2020",2020,0.268836,0.275908
14,"pres-2020",2020,0.35533,0.390987
15,"pres-2020",2020,0.485452,0.488029
16,"pres-2020",2020,0.67987,0.680918
17,"pres-2020",2020,0.385507,0.422458
18,"pres-2020",2020,0.746072,0.82175
19,"pres-2020",2020,0.265482,0.265482
20,"pres-2020",2020,0.668192,0.704472
21,"pres-2020",2020,0.40002,0.415033
22,"pres-2020",2020,0.418621,0.412452
23,"pres-2020",2020,0.463573,0.463652
24,"pres-2020",2020,0.437284,0.437195
25,"pres-2020",2020,0.341988,0.419692
26,"pres-2020",2020,0.40599,0.406234
27,"pres-2020",2020,0.386341,0.412422
28,"pres-2020",2020,0.535638,0.548586
29,"pres-2020",2020,0.685792,0.71806
30,"pres-2020",2020,0.787204,0.787189
31,"pres-2020",2020,0.396834,0.409151
32,"pres-2020",2020,0.667616,0.448959
33,"pres-2020",2020,0.752992,0.72827
34,"pres-2020",2020,0.578431,0.514897
35,"pres-2020",2020,0.730326,0.490399
36,"pres-2020",2020,0.340018,0.406908
37,"pres-2020",2020,0.769097,0.818712
38,"pres-2020",2020,0.408072,0.40945
1,"pres-2024",2024,0.241804,0.250454
2,"pres-2024",2024,0.379646,0.384335
3,"pres-2024",2024,0.397328,0.380086
4,"pres-2024",2024,0.334623,0.37417
5,"pres-2024",2024,0.363102,0.390798
6,"pres-2024",2024,0.355862,0.383637
7,"pres-2024",2024,0.606933,0.620597
8,"pres-2024",2024,0.328437,0.360016
9,"pres-2024",2024,0.723809,0.399677
10,"pres-2024",2024,0.374213,0.385389
11,"pres-2024",2024,0.270715,0.326135
12,"pres-2024",2024,0.385706,0.379213
13,"pres-2024",2024,0.258769,0.26668
14,"pres-2024",2024,0.328078,0.377139
15,"pres-2024",2024,0.410026,0.409925
16,"pres-2024",2024,0.581058,0.583147
17,"pres-2024",2024,0.352197,0.390284
18,"pres-2024",2024,0.701899,0.778624
19,"pres-2024",2024,0.239144,0.239144
20,"pres-2024",2024,0.607567,0.644365
21,"pres-2024",2024,0.380523,0.389525
22,"pres-2024",2024,0.40045,0.386717
23,"pres-2024",2024,0.421575,0.425129
24,"pres-2024",2024,0.421128,0.418076
25,"pres-2024",2024,0.316221,0.378264
26,"pres-2024",2024,0.381252,0.379373
27,"pres-2024",2024,0.350429,0.392788
28,"pres-2024",2024,0.463249,0.447737
29,"pres-2024",2024,0.60322,0.654197
30,"pres-2024",2024,0.73795,0.738998
31,"pres-2024",2024,0.382144,0.389318
32,"pres-2024",2024,0.621638,0.40943
33,"pres-2024",2024,0.672824,0.666667
34,"pres-2024",2024,0.477699,0.448875
35,"pres-2024",2024,0.670711,0.447155
36,"pres-2024",2024,0.314049,0.373619
37,"pres-2024",2024,0.751437,0.788507
38,"pres-2024",2024,0.394683,0.393479
1,"sc-2016",2016,0.253557,0.258045
2,"sc-2016",2016,0.29852,0.302263
3,"sc-2016",2016,0.31472,0.314019
4,"sc-2016",2016,0.291241,0.316229
5,"sc-2016",2016,0.335214,0.355237
6,"sc-2016",2016,0.326539,0.331761
7,"sc-2016",2016,0.58603,0.5903
8,"sc-2016",2016,0.314494,0.369778
9,"sc-2016",2016,0.76719,0.472746
10,"sc-2016",2016,0.327768,0.348525
11,"sc-2016",2016,0.267737,0.293373
12,"sc-2016",2016,0.339001,0.348478
13,"sc-2016",2016,0.223459,0.228692
14,"sc-2016",2016,0.348716,0.359971
15,"sc-2016",2016,0.563182,0.570231
16,"sc-2016",2016,0.694537,0.695321
17,"sc-2016",2016,0.339841,0.357022
18,"sc-2016",2016,0.737785,0.823754
19,"sc-2016",2016,0.231843,0.231843
20,"sc-2016",2016,0.645079,0.691585
21,"sc-2016",2016,0.311266,0.33291
22,"sc-2016",2016,0.336273,0.330353
23,"sc-2016",2016,0.449889,0.430732
24,"sc-2016",2016,0.309352,0.313345
25,"sc-2016",2016,0.295433,0.388542
26,"sc-2016",2016,0.301572,0.307338
27,"sc-2016",2016,0.385561,0.370078
28,"sc-2016",2016,0.590094,0.687063
29,"sc-2016",2016,0.736153,0.727774
30,"sc-2016",2016,0.762781,0.77428
31,"sc-2016",2016,0.311644,0.333615
32,"sc-2016",2016,0.57158,0.365326
33,"sc-2016",2016,0.741773,0.672866
34,"sc-2016",2016,0.682109,0.55081
35,"sc-2016",2016,0.700043,0.456774
36,"sc-2016",2016,0.31737,0.382182
37,"sc-2016",2016,0.678501,0.756015
38,"sc-2016",2016,0.303024,0.307365
1,"sc-2018",2018,0.188029,0.195561
2,"sc-2018",2018,0.259514,0.264185
3,"sc-2018",2018,0.287086,0.279961
4,"sc-2018",2018,0.250588,0.278683
5,"sc-2018",2018,0.28296,0.303856
6,"sc-2018",2018,0.2687,0.280279
7,"sc-2018",2018,0.519218,0.524939
8,"sc-2018",2018,0.261241,0.304796
9,"sc-2018",2018,0.685528,0.388877
10,"sc-2018",2018,0.283569,0.303693
11,"sc-2018",2018,0.207674,0.248716
12,"sc-2018",2018,0.290827,0.298565
13,"sc-2018",2018,0.188695,0.194477
14,"sc-2018",2018,0.265577,0.287887
15,"sc-2018",2018,0.438768,0.440301
16,"sc-2018",2018,0.601632,0.602597
17,"sc-2018",2018,0.277183,0.303348
18,"sc-2018",2018,0.655514,0.748703
19,"sc-2018",2018,0.185843,0.185843
20,"sc-2018",2018,0.563626,0.605954
21,"sc-2018",2018,0.268261,0.289935
22,"sc-2018",2018,0.287885,0.280814
23,"sc-2018",2018,0.359839,0.349225
24,"sc-2018",2018,0.282131,0.285178
25,"sc-2018",2018,0.241317,0.314508
26,"sc-2018",2018,0.272309,0.273964
27,"sc-2018",2018,0.29009,0.300011
28,"sc-2018",2018,0.471818,0.547417
29,"sc-2018",2018,0.650923,0.644973
30,"sc-2018",2018,0.695853,0.701931
31,"sc-2018",2018,0.269111,0.279601
32,"sc-2018",2018,0.524079,0.322476
33,"sc-2018",2018,0.680534,0.625908
34,"sc-2018",2018,0.537393,0.427372
35,"sc-2018",2018,0.643761,0.371933
36,"sc-2018",2018,0.250447,0.305153
37,"sc-2018",2018,0.643215,0.717216
38,"sc-2018",2018,0.266287,0.271027
1,"sc-2020",2020,0.261,0.27
2,"sc-2020",2020,0.3601,0.3651
3,"sc-2020",2020,0.3875,0.3787
4,"sc-2020",2020,0.3403,0.3736
5,"sc-2020",2020,0.3744,0.3992
6,"sc-2020",2020,0.3643,0.3818
7,"sc-2020",2020,0.6152,0.62
8,"sc-2020",2020,0.3476,0.3914
9,"sc-2020",2020,0.7592,0.4545
10,"sc-2020",2020,0.3757,0.3913
11,"sc-2020",2020,0.2878,0.3306
12,"sc-2020",2020,0.3827,0.3849
13,"sc-2020",2020,0.2551,0.2618
14,"sc-2020",2020,0.3441,0.3761
15,"sc-2020",2020,0.4944,0.497
16,"sc-2020",2020,0.6678,0.6688
17,"sc-2020",2020,0.3671,0.3977
18,"sc-2020",2020,0.7289,0.8115
19,"sc-2020",2020,0.2507,0.2507
20,"sc-2020",2020,0.6533,0.6914
21,"sc-2020",2020,0.366,0.384
22,"sc-2020",2020,0.3903,0.3837
23,"sc-2020",2020,0.4489,0.4453
24,"sc-2020",2020,0.388,0.391
25,"sc-2020",2020,0.3261,0.4072
26,"sc-2020",2020,0.3726,0.3741
27,"sc-2020",2020,0.3791,0.3975
28,"sc-2020",2020,0.5463,0.5831
29,"sc-2020",2020,0.6896,0.7117
30,"sc-2020",2020,0.7746,0.7814
31,"sc-2020",2020,0.3686,0.3848
32,"sc-2020",2020,0.632,0.4213
33,"sc-2020",2020,0.7409,0.7036
34,"sc-2020",2020,0.6006,0.5212
35,"sc-2020",2020,0.7125,0.4759
36,"sc-2020",2020,0.3284,0.3932
37,"sc-2020",2020,0.7319,0.7908
38,"sc-2020",2020,0.3689,0.3718
1,"senator-2018",2018,0.270569,0.281633
2,"senator-2018",2018,0.375844,0.383174
3,"senator-2018",2018,0.42049,0.405869
4,"senator-2018",2018,0.368262,0.406064
5,"senator-2018",2018,0.39712,0.427866
6,"senator-2018",2018,0.380957,0.401149
7,"senator-2018",2018,0.674791,0.685144
8,"senator-2018",2018,0.367674,0.420645
9,"senator-2018",2018,0.795957,0.504578
10,"senator-2018",2018,0.410114,0.43692
11,"senator-2018",2018,0.302147,0.360149
12,"senator-2018",2018,0.41707,0.425978
13,"senator-2018",2018,0.279855,0.287572
14,"senator-2018",2018,0.369587,0.399597
15,"senator-2018",2018,0.55872,0.556919
16,"senator-2018",2018,0.746128,0.746832
17,"senator-2018",2018,0.389942,0.429177
18,"senator-2018",2018,0.774252,0.844916
19,"senator-2018",2018,0.279798,0.279798
20,"senator-2018",2018,0.697162,0.733851
21,"senator-2018",2018,0.397053,0.420628
22,"senator-2018",2018,0.411504,0.403526
23,"senator-2018",2018,0.491582,0.48215
24,"senator-2018",2018,0.42641,0.427923
25,"senator-2018",2018,0.349965,0.429435
26,"senator-2018",2018,0.399778,0.400726
27,"senator-2018",2018,0.399738,0.416213
28,"senator-2018",2018,0.594128,0.662672
29,"senator-2018",2018,0.761066,0.758076
30,"senator-2018",2018,0.804225,0.802354
31,"senator-2018",2018,0.39446,0.402424
32,"senator-2018",2018,0.671743,0.455985
33,"senator-2018",2018,0.7904,0.759569
34,"senator-2018",2018,0.657071,0.554302
35,"senator-2018",2018,0.76913,0.498586
36,"senator-2018",2018,0.352018,0.417891
37,"senator-2018",2018,0.786169,0.841786
38,"senator-2018",2018,0.397158,0.401189
1,"senator-2020",2020,0.261379,0.270681
2,"senator-2020",2020,0.363739,0.36889
3,"senator-2020",2020,0.392484,0.382314
4,"senator-2020",2020,0.343926,0.378624
5,"senator-2020",2020,0.372412,0.398197
6,"senator-2020",2020,0.363646,0.382262
7,"senator-2020",2020,0.617746,0.623605
8,"senator-2020",2020,0.348575,0.390769
9,"senator-2020",2020,0.753849,0.447747
10,"senator-2020",2020,0.380738,0.397214
11,"senator-2020",2020,0.285202,0.332445
12,"senator-2020",2020,0.383959,0.3857
13,"senator-2020",2020,0.255059,0.261687
14,"senator-2020",2020,0.344166,0.376396
15,"senator-2020",2020,0.47594,0.479901
16,"senator-2020",2020,0.673368,0.674463
17,"senator-2020",2020,0.369706,0.402875
18,"senator-2020",2020,0.726842,0.806969
19,"senator-2020",2020,0.249281,0.249281
20,"senator-2020",2020,0.644098,0.68156
21,"senator-2020",2020,0.370332,0.386382
22,"senator-2020",2020,0.39262,0.386568
23,"senator-2020",2020,0.444125,0.442001
24,"senator-2020",2020,0.391874,0.394265
25,"senator-2020",2020,0.326637,0.405189
26,"senator-2020",2020,0.374923,0.376411
27,"senator-2020",2020,0.37532,0.398955
28,"senator-2020",2020,0.53418,0.561846
29,"senator-2020",2020,0.678992,0.705282
30,"senator-2020",2020,0.767444,0.773825
31,"senator-2020",2020,0.377962,0.392032
32,"senator-2020",2020,0.63238,0.422277
33,"senator-2020",2020,0.735285,0.700649
34,"senator-2020",2020,0.579083,0.508541
35,"senator-2020",2020,0.710728,0.468265
36,"senator-2020",2020,0.32859,0.393106
37,"senator-2020",2020,0.735913,0.793079
38,"senator-2020",2020,0.374463,0.376853
1,"senator-2024",2024,0.25252,0.26118
2,"senator-2024",2024,0.402169,0.406244
3,"senator-2024",2024,0.426761,0.4097
4,"senator-2024",2024,0.358854,0.399103
5,"senator-2024",2024,0.391562,0.419226
6,"senator-2024",2024,0.382106,0.412108
7,"senator-2024",2024,0.636747,0.64945
8,"senator-2024",2024,0.353634,0.384277
9,"senator-2024",2024,0.750717,0.440103
10,"senator-2024",2024,0.391171,0.401924
11,"senator-2024",2024,0.288652,0.345241
12,"senator-2024",2024,0.412114,0.406295
13,"senator-2024",2024,0.274037,0.282007
14,"senator-2024",2024,0.349401,0.399939
15,"senator-2024",2024,0.448075,0.45193
16,"senator-2024",2024,0.607381,0.60899
17,"senator-2024",2024,0.370681,0.410758
18,"senator-2024",2024,0.733141,0.803831
19,"senator-2024",2024,0.25251,0.25251
20,"senator-2024",2024,0.648352,0.684308
21,"senator-2024",2024,0.399959,0.409719
22,"senator-2024",2024,0.427737,0.41504
23,"senator-2024",2024,0.454872,0.457731
24,"senator-2024",2024,0.443741,0.441856
25,"senator-2024",2024,0.340323,0.402904
26,"senator-2024",2024,0.405129,0.403331
27,"senator-2024",2024,0.37564,0.414549
28,"senator-2024",2024,0.508065,0.499384
29,"senator-2024",2024,0.658851,0.696333
30,"senator-2024",2024,0.767932,0.769089
31,"senator-2024",2024,0.402219,0.408914
32,"senator-2024",2024,0.654551,0.436497
33,"senator-2024",2024,0.715949,0.705749
34,"senator-2024",2024,0.531433,0.490264
35,"senator-2024",2024,0.704471,0.480456
36,"senator-2024",2024,0.33712,0.39548
37,"senator-2024",2024,0.770522,0.811642
38,"senator-2024",2024,0.418803,0.419282
1,"trea-2022",2022,0.215416,0.223519
2,"trea-2022",2022,0.345194,0.350072
3,"trea-2022",2022,0.368389,0.352707
4,"trea-2022",2022,0.311876,0.350127
5,"trea-2022",2022,0.339648,0.366318
6,"trea-2022",2022,0.327703,0.35428
7,"trea-2022",2022,0.608545,0.621533
8,"trea-2022",2022,0.304805,0.335751
9,"trea-2022",2022,0.750154,0.410469
10,"trea-2022",2022,0.349227,0.370847
11,"trea-2022",2022,0.241701,0.312821
12,"trea-2022",2022,0.367925,0.363898
13,"trea-2022",2022,0.232349,0.239702
14,"trea-2022",2022,0.312845,0.35904
15,"trea-2022",2022,0.45756,0.456961
16,"trea-2022",2022,0.630755,0.63195
17,"trea-2022",2022,0.327133,0.370473
18,"trea-2022",2022,0.718184,0.804455
19,"trea-2022",2022,0.210564,0.210564
20,"trea-2022",2022,0.649843,0.688738
