"GEOID20","boe5","pop","pop_black","pop_white","vap","vap_black","vap_white","reg","reg_black","x_km","y_km","area_km2"
"131530201123010",1,361,106,191,307,76,176,114,37,14.9113,37.8385,0.36237
"131530201123011",1,15,3,1,10,3,0,5,2,15.3678,37.6845,0.04168
"131530201123012",1,31,9,13,21,5,12,5,1,13.9482,38.3976,0.01973
"131530201123013",1,36,12,12,31,8,11,2,0,14.0446,38.4452,0.01297
"131530201123014",1,359,60,263,314,51,235,99,32,13.9028,38.0191,0.28091
"131530201123015",1,89,22,48,80,20,42,21,10,14.0897,37.6319,0.09558
"131530201121000",1,0,0,0,0,0,0,0,0,14.6624,41.1481,0.02102
"131530201121001",1,19,2,12,18,1,12,5,0,14.1051,41.2081,0.73626
"131530201121002",1,0,0,0,0,0,0,0,0,13.5666,41.2283,0.02335
"131530201121004",1,170,120,32,109,76,25,158,103,14.0604,40.7123,0.21799
"131530201121005",1,37,18,6,26,15,2,20,10,14.0175,40.7084,0.01684
"131530201121006",1,38,23,10,33,20,9,21,16,13.8552,40.7145,0.01721
"131530201121007",1,23,12,9,20,12,8,12,5,14.6141,40.8162,0.02982
"131530201121009",1,7,0,7,4,0,4,0,0,14.6313,40.6413,0.05574
"131530201121010",1,0,0,0,0,0,0,0,0,14.7939,40.6059,0.00446
"131530201121011",1,7,2,3,7,2,3,0,0,14.8936,40.2104,0.01526
"131530201121012",1,40,11,24,24,4,18,2,0,14.1582,40.0549,0.5332
"131530201121014",1,69,26,29,60,22,27,20,9,14.6459,40.4512,0.02611
"131530201121016",1,48,22,20,34,16,12,27,16,13.6731,40.668,0.02964
"131530201121018",1,112,1,110,93,0,93,35,0,14.1669,39.3592,1.21766
"131530201121019",1,33,10,16,23,5,16,10,5,14.594,38.9266,0.05566
"131530201121021",1,41,16,24,26,10,16,8,4,14.9778,39.9715,0.02899
"131530201121022",1,48,6,37,44,6,34,15,3,14.8462,39.9398,0.04654
"131530201121023",1,5,5,0,5,5,0,5,0,14.7621,39.912,0.01035
"131530201121024",1,84,5,68,70,3,58,18,0,14.9479,39.2365,0.45733
"131530201121026",1,21,7,2,17,5,1,0,0,15.2121,39.5264,0.08327
"131530201121027",1,0,0,0,0,0,0,0,0,13.5052,38.6716,0.00064
