"unit_id","unit_name","state","office","year_from","year_to","votes_dem_from","votes_gop_from","votes_dem_to","votes_gop_to"
"13115","Floyd","Georgia","Governor",2022,2026,7855,23930,NA,NA
"13117","Forsyth","Georgia","Governor",2022,2026,27434,74116,NA,NA
"13119","Franklin","Georgia","Governor",2022,2026,948,7734,NA,NA
"13121","Fulton","Georgia","Governor",2022,2026,289085,128167,NA,NA
"13123","Gilmer","Georgia","Governor",2022,2026,2010,11952,NA,NA
"13125","Glascock","Georgia","Governor",2022,2026,89,1211,NA,NA
"13127","Glynn","Georgia","Governor",2022,2026,10779,22245,NA,NA
"13129","Gordon","Georgia","Governor",2022,2026,2743,16003,NA,NA
"13131","Grady","Georgia","Governor",2022,2026,2422,5884,NA,NA
"13133","Greene","Georgia","Governor",2022,2026,3060,7402,NA,NA
"13135","Gwinnett","Georgia","Governor",2022,2026,164051,133076,NA,NA
"13137","Habersham","Georgia","Governor",2022,2026,2322,14513,NA,NA
"13139","Hall","Georgia","Governor",2022,2026,16299,56573,NA,NA
"13141","Hancock","Georgia","Governor",2022,2026,2313,1073,NA,NA
"13143","Haralson","Georgia","Governor",2022,2026,1166,10398,NA,NA
"13145","Harris","Georgia","Governor",2022,2026,4008,12924,NA,NA
"13147","Hart","Georgia","Governor",2022,2026,2039,8426,NA,NA
"13149","Heard","Georgia","Governor",2022,2026,568,3858,NA,NA
"13151","Henry","Georgia","Governor",2022,2026,58643,36392,NA,NA
"13153","Houston","Georgia","Governor",2022,2026,23928,34842,NA,NA
"13155","Irwin","Georgia","Governor",2022,2026,702,2695,NA,NA
"13157","Jackson","Georgia","Governor",2022,2026,5420,26223,NA,NA
"13159","Jasper","Georgia","Governor",2022,2026,1286,5237,NA,NA
"13161","Jeff Davis","Georgia","Governor",2022,2026,646,3865,NA,NA
"13163","Jefferson","Georgia","Governor",2022,2026,3089,3162,NA,NA
"13165","Jenkins","Georgia","Governor",2022,2026,871,1893,NA,NA
"13167","Johnson","Georgia","Governor",2022,2026,867,2504,NA,NA
"13169","Jones","Georgia","Governor",2022,2026,3657,8583,NA,NA
"13171","Lamar","Georgia","Governor",2022,2026,1963,5736,NA,NA
"13173","Lanier","Georgia","Governor",2022,2026,691,1932,NA,NA
"13175","Laurens","Georgia","Governor",2022,2026,5973,12508,NA,NA
"13177","Lee","Georgia","Governor",2022,2026,3413,10094,NA,NA
"13179","Liberty","Georgia","Governor",2022,2026,9235,6069,NA,NA
"13181","Lincoln","Georgia","Governor",2022,2026,992,2966,NA,NA
"13183","Long","Georgia","Governor",2022,2026,1443,2944,NA,NA
"13185","Lowndes","Georgia","Governor",2022,2026,13275,21256,NA,NA
"13187","Lumpkin","Georgia","Governor",2022,2026,2070,10525,NA,NA
"13193","Macon","Georgia","Governor",2022,2026,2209,1551,NA,NA
"13195","Madison","Georgia","Governor",2022,2026,2500,9955,NA,NA
"13197","Marion","Georgia","Governor",2022,2026,954,1868,NA,NA
"13189","McDuffie","Georgia","Governor",2022,2026,2978,5283,NA,NA
"13191","McIntosh","Georgia","Governor",2022,2026,1923,3570,NA,NA
"13199","Meriwether","Georgia","Governor",2022,2026,3160,5704,NA,NA
"13201","Miller","Georgia","Governor",2022,2026,462,1689,NA,NA
"13205","Mitchell","Georgia","Governor",2022,2026,2829,4197,NA,NA
"13207","Monroe","Georgia","Governor",2022,2026,3315,10314,NA,NA
"13209","Montgomery","Georgia","Governor",2022,2026,670,2545,NA,NA
"13211","Morgan","Georgia","Governor",2022,2026,2473,7764,NA,NA
"13213","Murray","Georgia","Governor",2022,2026,1160,10290,NA,NA
"13215","Muscogee","Georgia","Governor",2022,2026,35149,23925,NA,NA
"13217","Newton","Georgia","Governor",2022,2026,23531,19094,NA,NA
"13219","Oconee","Georgia","Governor",2022,2026,5783,16553,NA,NA
"13221","Oglethorpe","Georgia","Governor",2022,2026,1766,4998,NA,NA
"13223","Paulding","Georgia","Governor",2022,2026,22427,43992,NA,NA
"13225","Peach","Georgia","Governor",2022,2026,4431,5542,NA,NA
"13227","Pickens","Georgia","Governor",2022,2026,2041,12937,NA,NA
"13229","Pierce","Georgia","Governor",2022,2026,674,6462,NA,NA
"13231","Pike","Georgia","Governor",2022,2026,1075,8303,NA,NA
"13233","Polk","Georgia","Governor",2022,2026,2427,11117,NA,NA
"13235","Pulaski","Georgia","Governor",2022,2026,905,2452,NA,NA
"13237","Putnam","Georgia","Governor",2022,2026,2497,7689,NA,NA
"13239","Quitman","Georgia","Governor",2022,2026,350,555,NA,NA
"13241","Rabun","Georgia","Governor",2022,2026,1415,6766,NA,NA
"13243","Randolph","Georgia","Governor",2022,2026,1317,1243,NA,NA
"13245","Richmond","Georgia","Governor",2022,2026,42130,21602,NA,NA
"13247","Rockdale","Georgia","Governor",2022,2026,24756,9938,NA,NA
"13249","Schley","Georgia","Governor",2022,2026,339,1526,NA,NA
"13251","Screven","Georgia","Governor",2022,2026,1872,3422,NA,NA
"13253","Seminole","Georgia","Governor",2022,2026,773,2255,NA,NA
"13255","Spalding","Georgia","Governor",2022,2026,9146,15090,NA,NA
"13257","Stephens","Georgia","Governor",2022,2026,1501,7818,NA,NA
"13259","Stewart","Georgia","Governor",2022,2026,895,673,NA,NA
"13261","Sumter","Georgia","Governor",2022,2026,4650,4921,NA,NA
"13263","Talbot","Georgia","Governor",2022,2026,1628,1214,NA,NA
"13265","Taliaferro","Georgia","Governor",2022,2026,477,327,NA,NA
"13267","Tattnall","Georgia","Governor",2022,2026,1359,5123,NA,NA
"13269","Taylor","Georgia","Governor",2022,2026,1069,2137,NA,NA
"13271","Telfair","Georgia","Governor",2022,2026,960,2433,NA,NA
"13273","Terrell","Georgia","Governor",2022,2026,1840,1795,NA,NA
"13275","Thomas","Georgia","Governor",2022,2026,6138,11062,NA,NA
"13277","Tift","Georgia","Governor",2022,2026,3546,9418,NA,NA
"13279","Toombs","Georgia","Governor",2022,2026,1920,6522,NA,NA
"13281","Towns","Georgia","Governor",2022,2026,1052,6066,NA,NA
"13283","Treutlen","Georgia","Governor",2022,2026,677,1764,NA,NA
"13285","Troup","Georgia","Governor",2022,2026,8262,14864,NA,NA
"13287","Turner","Georgia","Governor",2022,2026,1083,1994,NA,NA
"13289","Twiggs","Georgia","Governor",2022,2026,1542,1980,NA,NA
"13291","Union","Georgia","Governor",2022,2026,2070,12123,NA,NA
"13293","Upson","Georgia","Governor",2022,2026,2969,7096,NA,NA
"13295","Walker","Georgia","Governor",2022,2026,3505,18414,NA,NA
"13297","Walton","Georgia","Governor",2022,2026,9573,32567,NA,NA
"13299","Ware","Georgia","Governor",2022,2026,2828,7855,NA,NA
"13301","Warren","Georgia","Governor",2022,2026,1081,1063,NA,NA
"13303","Washington","Georgia","Governor",2022,2026,3665,4098,NA,NA
"13305","Wayne","Georgia","Governor",2022,2026,1796,8170,NA,NA
"13307","Webster","Georgia","Governor",2022,2026,425,708,NA,NA
"13309","Wheeler","Georgia","Governor",2022,2026,501,1318,NA,NA
"13311","White","Georgia","Governor",2022,2026,1618,10999,NA,NA
"13313","Whitfield","Georgia","Governor",2022,2026,5874,20919,NA,NA
"13315","Wilcox","Georgia","Governor",2022,2026,613,1998,NA,NA
"13317","Wilkes","Georgia","Governor",2022,2026,1583,2545,NA,NA
"13319","Wilkinson","Georgia","Governor",2022,2026,1673,2366,NA,NA
"13321","Worth","Georgia","Governor",2022,2026,1716,5649,NA,NA
