"fips","county","lon","lat","x","y","pop","dem","gop","total","margin_from","dem_to","gop_to","margin_to","swing"
"13061","Clay",-85.0146,31.635,-153.097,-117.005,2848,553,570,1126,1.5138,NA,NA,NA,NA
"13063","Clayton",-84.3612,33.5516,-89.2274,94.8933,297595,72399,11306,84136,-72.9861,NA,NA,NA,NA
"13065","Clinch",-82.7444,31.0213,62.5849,-186.037,6749,433,1668,2114,58.7815,NA,NA,NA,NA
"13067","Cobb",-84.558,33.9418,-107.025,138.368,766149,161872,147698,312215,-4.57861,NA,NA,NA,NA
"13069","Coffee",-82.8384,31.5157,53.3203,-131.249,43092,3021,8818,11905,48.9653,NA,NA,NA,NA
"13071","Colquitt",-83.7679,31.1797,-35.0574,-168.602,45898,2684,9860,12598,57.2066,NA,NA,NA,NA
"13073","Columbia",-82.1753,33.5147,113.732,91.0485,156010,20617,43437,64572,35.6262,NA,NA,NA,NA
"13075","Cook",-83.4238,31.1484,-2.26925,-172.135,17229,1387,4138,5557,49.7919,NA,NA,NA,NA
"13077","Coweta",-84.7335,33.378,-124.025,76.0061,146158,17847,45376,63726,43.5427,NA,NA,NA,NA
"13079","Crawford",-83.9302,32.7067,-49.6847,0.868541,12130,1171,3633,4835,51.249,NA,NA,NA,NA
"13081","Crisp",-83.778,31.9493,-35.7247,-83.2267,20128,2013,4296,6322,36.1864,NA,NA,NA,NA
"13083","Dade",-85.4979,34.8812,-191.841,243.878,16251,807,4969,5844,72.0568,NA,NA,NA,NA
"13085","Dawson",-84.1022,34.4002,-64.5674,188.86,26798,1827,12010,13978,73.5925,NA,NA,NA,NA
"13087","Decatur",-84.57,30.8898,-111.849,-200.197,29367,3191,5659,8883,27.887,NA,NA,NA,NA
"13089","DeKalb",-84.2476,33.7902,-78.4742,121.282,764382,241901,54522,298229,-63.2134,NA,NA,NA,NA
"13091","Dodge",-83.1737,32.2124,21.3226,-54.0794,19925,1518,5087,6630,54.0348,NA,NA,NA,NA
"13093","Dooly",-83.7807,32.1702,-35.8916,-58.7224,11208,1416,1860,3286,13.5531,NA,NA,NA,NA
"13095","Dougherty",-84.1712,31.5741,-73.1772,-124.644,85790,18091,8524,26709,-35.9459,NA,NA,NA,NA
"13097","Douglas",-84.7355,33.7246,-123.735,114.463,144237,32858,19719,52930,-24.99,NA,NA,NA,NA
"13099","Early",-84.9199,31.3356,-144.593,-150.336,10854,1576,2321,3908,19.1173,NA,NA,NA,NA
"13101","Echols",-83.0503,30.7123,33.4931,-220.437,3697,94,956,1065,82.0952,NA,NA,NA,NA
"13103","Effingham",-81.2998,32.2873,197.713,-43.8423,64769,5603,19553,25398,55.454,NA,NA,NA,NA
"13105","Elbert",-82.8805,34.1284,47.9137,158.606,19637,1916,5369,7324,47.3988,NA,NA,NA,NA
"13107","Emanuel",-82.3064,32.5866,102.615,-12.054,22768,2024,5505,7562,46.2346,NA,NA,NA,NA
"13109","Evans",-81.9066,32.1687,140.775,-57.9641,10774,882,2467,3361,47.3276,NA,NA,NA,NA
"13111","Fannin",-84.3129,34.9029,-83.4638,244.761,25319,1796,10752,12637,71.3739,NA,NA,NA,NA
"13113","Fayette",-84.5132,33.4281,-103.48,81.3325,119194,25769,34116,60346,13.9384,NA,NA,NA,NA
"13115","Floyd",-85.1833,34.2562,-164.237,174.043,98584,7855,23930,32078,50.5742,NA,NA,NA,NA
"13117","Forsyth",-84.1502,34.1905,-69.1417,165.621,251283,27434,74116,102446,45.9695,NA,NA,NA,NA
"13119","Franklin",-83.1864,34.3781,19.649,186.212,23424,948,7734,8739,78.1617,NA,NA,NA,NA
"13121","Fulton",-84.3962,33.8325,-92.1857,126.095,1066710,289085,128167,419884,-38.5661,NA,NA,NA,NA
"13123","Gilmer",-84.4861,34.6751,-99.5523,219.643,31353,2010,11952,14086,71.2076,NA,NA,NA,NA
"13125","Glascock",-82.6097,33.2366,73.6268,59.8175,2884,89,1211,1305,86.3077,NA,NA,NA,NA
"13127","Glynn",-81.4862,31.2026,182.325,-164.484,84499,10779,22245,33279,34.7202,NA,NA,NA,NA
"13129","Gordon",-84.9078,34.4982,-138.48,200.497,57544,2743,16003,18907,70.7351,NA,NA,NA,NA
"13131","Grady",-84.2124,30.8818,-77.6754,-201.394,26236,2422,5884,8341,41.6807,NA,NA,NA,NA
"13133","Greene",-83.1794,33.5352,20.4835,92.7005,18915,3060,7402,10508,41.5026,NA,NA,NA,NA
"13135","Gwinnett",-84.0532,33.9541,-60.3617,139.341,957062,164051,133076,299482,-10.4248,NA,NA,NA,NA
"13137","Habersham",-83.5414,34.5657,-12.9761,207.004,46031,2322,14513,16990,72.4146,NA,NA,NA,NA
"13139","Hall",-83.8476,34.2694,-41.2213,174.214,203136,16299,56573,73516,55.2668,NA,NA,NA,NA
"13141","Hancock",-83.0132,33.2548,36.0219,61.6309,8735,2313,1073,3402,-36.6214,NA,NA,NA,NA
"13143","Haralson",-85.1847,33.7607,-165.283,119.079,29919,1166,10398,11651,79.834,NA,NA,NA,NA
"13145","Harris",-84.8943,32.6975,-140.039,0.7077,34668,4008,12924,17039,52.6577,NA,NA,NA,NA
"13147","Hart",-82.965,34.3555,40.0185,183.77,25828,2039,8426,10560,61.032,NA,NA,NA,NA
"13149","Heard",-85.1167,33.308,-159.797,68.7458,11412,568,3858,4463,74.3335,NA,NA,NA,NA
"13151","Henry",-84.1746,33.4703,-71.9753,85.7332,240712,58643,36392,95568,-23.4135,NA,NA,NA,NA
"13153","Houston",-83.6637,32.5658,-24.7493,-14.8648,163633,23928,34842,59210,18.5707,NA,NA,NA,NA
"13155","Irwin",-83.2799,31.6043,11.3961,-121.552,9666,702,2695,3418,58.6694,NA,NA,NA,NA
"13157","Jackson",-83.599,34.1295,-18.3581,158.628,75907,5420,26223,31881,65.7428,NA,NA,NA,NA
"13159","Jasper",-83.7265,33.3583,-30.3763,73.0906,14588,1286,5237,6574,60.5703,NA,NA,NA,NA
"13161","Jeff Davis",-82.6003,31.8478,75.6578,-94.2667,14779,646,3865,4543,71.3589,NA,NA,NA,NA
"13163","Jefferson",-82.4081,33.069,92.5748,41.3726,15709,3089,3162,6278,1.16781,NA,NA,NA,NA
"13165","Jenkins",-81.9472,32.7899,136.016,10.8981,8674,871,1893,2774,36.9754,NA,NA,NA,NA
"13167","Johnson",-82.6845,32.6994,67.0537,0.162582,9189,867,2504,3383,48.5613,NA,NA,NA,NA
"13169","Jones",-83.5502,32.9612,-14.039,28.9923,28347,3657,8583,12312,40.2451,NA,NA,NA,NA
"13171","Lamar",-84.1544,33.0842,-70.3978,42.875,18500,1963,5736,7755,49.0064,NA,NA,NA,NA
"13173","Lanier",-83.0976,31.0373,28.8591,-184.409,9877,691,1932,2638,47.3122,NA,NA,NA,NA
"13175","Laurens",-82.9254,32.5175,44.5677,-20.1514,49570,5973,12508,18550,35.3606,NA,NA,NA,NA
"13177","Lee",-84.1771,31.6806,-73.6523,-112.828,33163,3413,10094,13587,49.4632,NA,NA,NA,NA
"13179","Liberty",-81.5777,31.8288,172.424,-95.1903,65256,9235,6069,15415,-20.6874,NA,NA,NA,NA
"13181","Lincoln",-82.4455,33.7806,88.3836,120.298,7690,992,2966,3982,49.8737,NA,NA,NA,NA
"13183","Long",-81.7317,31.7759,157.949,-101.297,16168,1443,2944,4426,34.2147,NA,NA,NA,NA
"13185","Lowndes",-83.2814,30.8603,11.3382,-204.072,118251,13275,21256,34760,23.1126,NA,NA,NA,NA
"13187","Lumpkin",-83.9882,34.5245,-54.0038,202.576,33488,2070,10525,12737,67.1298,NA,NA,NA,NA
"13193","Macon",-84.0395,32.3241,-60.1798,-41.5255,12082,2209,1551,3778,-17.5,NA,NA,NA,NA
"13195","Madison",-83.2403,34.1013,14.7336,155.498,30120,2500,9955,12554,59.8555,NA,NA,NA,NA
"13197","Marion",-84.5246,32.3826,-105.768,-34.6602,7498,954,1868,2846,32.3884,NA,NA,NA,NA
"13189","McDuffie",-82.4687,33.4596,86.5411,84.6609,21632,2978,5283,8317,27.9022,NA,NA,NA,NA
"13191","McIntosh",-81.4057,31.4801,189.423,-133.565,10975,1923,3570,5517,29.9836,NA,NA,NA,NA
"13199","Meriwether",-84.6754,33.0166,-119.104,35.8449,20613,3160,5704,8908,28.7004,NA,NA,NA,NA
"13201","Miller",-84.7383,31.1604,-127.561,-169.995,6000,462,1689,2164,57.0432,NA,NA,NA,NA
"13205","Mitchell",-84.1712,31.2182,-73.4601,-164.125,21755,2829,4197,7052,19.4705,NA,NA,NA,NA
"13207","Monroe",-83.9091,33.037,-47.533,37.5112,27957,3315,10314,13718,51.3537,NA,NA,NA,NA
"13209","Montgomery",-82.5295,32.1733,82.0587,-58.1011,8610,670,2545,3226,58.3204,NA,NA,NA,NA
"13211","Morgan",-83.4857,33.6,-7.95145,99.8724,20097,2473,7764,10326,51.6851,NA,NA,NA,NA
"13213","Murray",-84.7916,34.7817,-127.405,231.792,39973,1160,10290,11533,79.738,NA,NA,NA,NA
"13215","Muscogee",-84.9289,32.4956,-143.607,-21.6462,206922,35149,23925,59462,-18.9999,NA,NA,NA,NA
"13217","Newton",-83.898,33.5706,-46.2226,96.707,112483,23531,19094,42876,-10.4094,NA,NA,NA,NA
"13219","Oconee",-83.4641,33.877,-5.9291,130.598,41799,5783,16553,22478,48.2181,NA,NA,NA,NA
"13221","Oglethorpe",-83.1474,33.9189,23.3497,135.269,14825,1766,4998,6811,47.7824,NA,NA,NA,NA
"13223","Paulding",-84.8142,33.9139,-130.749,135.558,168661,22427,43992,67004,32.4681,NA,NA,NA,NA
"13225","Peach",-83.8228,32.5891,-39.6692,-12.2247,27981,4431,5542,10039,11.1401,NA,NA,NA,NA
"13227","Pickens",-84.436,34.4558,-95.1984,195.275,33216,2041,12937,15086,72.7467,NA,NA,NA,NA
"13229","Pierce",-82.2424,31.313,110.158,-153.275,19716,674,6462,7177,81.1099,NA,NA,NA,NA
"13231","Pike",-84.3666,33.1048,-90.1774,45.3232,18889,1075,8303,9431,77.074,NA,NA,NA,NA
"13233","Polk",-85.1746,34.0109,-163.886,146.814,42853,2427,11117,13640,64.1613,NA,NA,NA,NA
"13235","Pulaski",-83.479,32.2734,-7.43476,-47.3318,9855,905,2452,3374,46.0828,NA,NA,NA,NA
"13237","Putnam",-83.3355,33.3197,6.0072,68.7663,22047,2497,7689,10237,50.9719,NA,NA,NA,NA
"13239","Quitman",-85.0781,31.8596,-158.728,-91.9986,2235,350,555,906,22.6519,NA,NA,NA,NA
"13241","Rabun",-83.407,34.8797,-0.644454,241.827,16883,1415,6766,8262,65.4077,NA,NA,NA,NA
"13243","Randolph",-84.7581,31.7586,-128.602,-103.63,6425,1317,1243,2565,-2.89062,NA,NA,NA,NA
"13245","Richmond",-82.0519,33.4279,125.318,81.5635,206607,42130,21602,64156,-32.2099,NA,NA,NA,NA
"13247","Rockdale",-84.0192,33.6421,-57.4251,104.706,93570,24756,9938,34908,-42.7106,NA,NA,NA,NA
"13249","Schley",-84.3066,32.2418,-85.3984,-50.4734,4547,339,1526,1876,63.6461,NA,NA,NA,NA
"13251","Screven",-81.6298,32.7222,165.848,3.84301,14067,1872,3422,5313,29.2784,NA,NA,NA,NA
"13253","Seminole",-84.8667,30.9679,-140.092,-191.183,9147,773,2255,3045,48.9432,NA,NA,NA,NA
"13255","Spalding",-84.2716,33.2589,-81.1736,62.3524,67306,9146,15090,24395,24.5255,NA,NA,NA,NA
"13257","Stephens",-83.2897,34.5584,10.1238,206.196,26784,1501,7818,9400,67.7862,NA,NA,NA,NA
"13259","Stewart",-84.758,32.0686,-128.158,-69.2395,5314,895,673,1573,-14.1582,NA,NA,NA,NA
"13261","Sumter",-84.2224,32.0614,-77.6187,-70.5546,29616,4650,4921,9605,2.83147,NA,NA,NA,NA
"13263","Talbot",-84.583,32.7007,-110.863,0.69405,5733,1628,1214,2864,-14.5672,NA,NA,NA,NA
"13265","Taliaferro",-82.8861,33.569,47.6968,96.5353,1559,477,327,807,-18.6567,NA,NA,NA,NA
"13267","Tattnall",-82.0585,32.0365,126.647,-72.8263,22842,1359,5123,6527,58.0685,NA,NA,NA,NA
"13269","Taylor",-84.2097,32.5591,-76.0049,-15.3479,7816,1069,2137,3216,33.3125,NA,NA,NA,NA
"13271","Telfair",-82.895,32.0193,47.6875,-75.4109,12477,960,2433,3413,43.4129,NA,NA,NA,NA
"13273","Terrell",-84.429,31.772,-97.4291,-102.489,9185,1840,1795,3656,-1.23796,NA,NA,NA,NA
"13275","Thomas",-83.948,30.8693,-52.3978,-202.949,45798,6138,11062,17287,28.6279,NA,NA,NA,NA
"13277","Tift",-83.5139,31.4551,-10.8193,-138.111,41344,3546,9418,13044,45.2947,NA,NA,NA,NA
"13279","Toombs",-82.3687,32.1855,97.2035,-56.6186,27030,1920,6522,8486,54.5131,NA,NA,NA,NA
"13281","Towns",-83.7829,34.94,-34.9911,248.58,12493,1052,6066,7180,70.4411,NA,NA,NA,NA
"13283","Treutlen",-82.5892,32.3873,76.2456,-34.4085,6406,677,1764,2449,44.5309,NA,NA,NA,NA
"13285","Troup",-85.0297,33.0381,-152.154,38.6805,69426,8262,14864,23256,28.548,NA,NA,NA,NA
"13287","Turner",-83.6383,31.7028,-22.5775,-110.615,9006,1083,1994,3099,29.6068,NA,NA,NA,NA
"13289","Twiggs",-83.4167,32.7023,-1.5657,0.251889,8022,1542,1980,3540,12.4361,NA,NA,NA,NA
"13291","Union",-84.0048,34.8775,-55.3122,241.735,24632,2070,12123,14312,70.8307,NA,NA,NA,NA
"13293","Upson",-84.3253,32.9072,-86.5118,23.3683,27700,2969,7096,10135,41.0035,NA,NA,NA,NA
"13295","Walker",-85.2931,34.8387,-173.196,238.817,67654,3505,18414,22117,68.0186,NA,NA,NA,NA
"13297","Walton",-83.7853,33.796,-35.6702,121.672,96673,9573,32567,42452,54.5657,NA,NA,NA,NA
"13299","Ware",-82.3838,31.227,96.7878,-162.957,36251,2828,7855,10752,47.0561,NA,NA,NA,NA
"13301","Warren",-82.6616,33.4067,68.6612,78.6505,5215,1081,1063,2157,-0.839552,NA,NA,NA,NA
"13303","Washington",-82.7756,32.9643,58.3469,29.5012,19988,3665,4098,7794,5.57774,NA,NA,NA,NA
"13305","Wayne",-81.9166,31.6106,140.7,-119.89,30144,1796,8170,10025,63.9575,NA,NA,NA,NA
"13307","Webster",-84.5618,32.0524,-109.663,-71.2507,2348,425,708,1136,24.9779,NA,NA,NA,NA
"13309","Wheeler",-82.7562,32.1475,60.7087,-61.1166,7471,501,1318,1826,44.9148,NA,NA,NA,NA
"13311","White",-83.7437,34.5996,-31.5345,210.815,28003,1618,10999,12730,74.3521,NA,NA,NA,NA
"13313","Whitfield",-84.9663,34.7936,-143.375,233.335,102864,5874,20919,27014,56.1527,NA,NA,NA,NA
"13315","Wilcox",-83.4092,31.9755,-0.868564,-80.3806,8766,613,1998,2621,53.0448,NA,NA,NA,NA
"13317","Wilkes",-82.7527,33.7572,59.9467,117.491,9565,1583,2545,4148,23.3043,NA,NA,NA,NA
"13319","Wilkinson",-83.2392,32.844,15.0416,15.9859,8877,1673,2366,4056,17.1577,NA,NA,NA,NA
"13321","Worth",-83.8592,31.5453,-43.5824,-128.011,20784,1716,5649,7395,53.4012,NA,NA,NA,NA
