"upper","year","term","runoff","winner","winner_party","winner_side","sen_dem","sen_rep","abbrev","pres_r","pres_winner","sen_r","gap","split"
"VERMONT",2004,"full",FALSE,"Patrick J. Leahy","Democrat","D",216972,75398,"VT",39.699,"D",25.789,-13.91,FALSE
"WASHINGTON",2004,"full",FALSE,"Patty Murray","Democrat","D",1549708,1204584,"WA",46.353,"D",43.735,-2.618,FALSE
"WISCONSIN",2004,"full",FALSE,"Russell D. Feingold","Democrat","D",1632697,1301183,"WI",49.808,"D",44.35,-5.458,FALSE
"ALASKA",2008,"full",FALSE,"Mark Begich","Democrat","D",151767,147814,"AK",61.065,"R",49.34,-11.725,TRUE
"ALABAMA",2008,"full",FALSE,"Jeff Sessions","Republican","R",752391,1305383,"AL",60.891,"R",63.437,2.546,FALSE
"ARKANSAS",2008,"full",FALSE,"Mark L. Pryor","Democrat","D",804678,NA,"AR",60.172,"R",NA,NA,TRUE
"COLORADO",2008,"full",FALSE,"Mark Udall","Democrat","D",1230994,990755,"CO",45.449,"D",44.593,-0.856,FALSE
"DELAWARE",2008,"full",FALSE,"Joseph R. Biden, Jr.","Democrat","D",257539,140595,"DE",37.362,"D",35.313,-2.049,FALSE
"GEORGIA",2008,"full",FALSE,"Saxby Chambliss","Republican","R",1757393,1867097,"GA",52.628,"R",51.513,-1.115,FALSE
"IOWA",2008,"full",FALSE,"Tom Harkin","Democrat","D",941665,560006,"IA",45.151,"D",37.292,-7.859,FALSE
"IDAHO",2008,"full",FALSE,"Jim Risch","Republican","R",219903,371744,"ID",63.025,"R",62.832,-0.193,FALSE
"ILLINOIS",2008,"full",FALSE,"Richard J. Durbin","Democrat","D",3615844,1520621,"IL",37.266,"D",29.604,-7.662,FALSE
"KANSAS",2008,"full",FALSE,"Pat Roberts","Republican","R",441399,727121,"KS",57.612,"R",62.226,4.614,FALSE
"KENTUCKY",2008,"full",FALSE,"Mitch McConnell","Republican","R",847005,953816,"KY",58.233,"R",52.966,-5.267,FALSE
"LOUISIANA",2008,"full",FALSE,"Mary L. Landrieu","Democrat","D",988298,867177,"LA",59.457,"R",46.736,-12.721,TRUE
"MASSACHUSETTS",2008,"full",FALSE,"John F. Kerry","Democrat","D",1971974,926044,"MA",36.803,"D",31.954,-4.849,FALSE
"MAINE",2008,"full",FALSE,"Susan M. Collins","Republican","R",279510,444300,"ME",41.17,"D",61.384,20.214,TRUE
"MICHIGAN",2008,"full",FALSE,"Carl Levin","Democrat","D",3038386,1641070,"MI",41.629,"D",35.07,-6.559,FALSE
"MINNESOTA",2008,"full",FALSE,"Al Franken","Democratic-Farmer-Labor","D",1212629,1212317,"MN",44.771,"D",49.994,5.223,FALSE
"MISSISSIPPI",2008,"unexpired",FALSE,"Thad Cochran","Republican","R",480915,766111,"MS",56.642,"R",61.435,4.793,FALSE
"MONTANA",2008,"full",FALSE,"Max Baucus","Democrat","D",348289,129369,"MT",51.169,"R",27.084,-24.085,TRUE
"NORTH CAROLINA",2008,"full",FALSE,"Kay Hagan","Democrat","D",2249311,1887510,"NC",49.834,"D",45.627,-4.207,FALSE
"NEBRASKA",2008,"full",FALSE,"Mike Johanns","Republican","R",317456,455854,"NE",57.609,"R",58.948,1.339,FALSE
"NEW HAMPSHIRE",2008,"full",FALSE,"Jeanne Shaheen","Democrat","D",358438,314403,"NH",45.131,"D",46.728,1.597,FALSE
"NEW JERSEY",2008,"full",FALSE,"Frank R. Lautenberg","Democrat","D",1951218,1461025,"NJ",42.135,"D",42.817,0.682,FALSE
"NEW MEXICO",2008,"full",FALSE,"Tom Udall","Democrat","D",505128,318522,"NM",42.335,"D",38.672,-3.663,FALSE
"OKLAHOMA",2008,"full",FALSE,"James M. Inhofe","Republican","R",527736,763375,"OK",65.645,"R",59.125,-6.52,FALSE
"OREGON",2008,"full",FALSE,"Jeff Merkley","Democrat","D",864392,805159,"OR",41.586,"D",48.226,6.64,FALSE
"RHODE ISLAND",2008,"full",FALSE,"Jack Reed","Democrat","D",320644,116174,"RI",35.802,"D",26.596,-9.206,FALSE
"SOUTH CAROLINA",2008,"full",FALSE,"Lindsey Graham","Republican","R",790621,1076534,"SC",54.544,"R",57.656,3.112,FALSE
"SOUTH DAKOTA",2008,"full",FALSE,"Tim Johnson","Democrat","D",237889,142784,"SD",54.296,"R",37.508,-16.788,TRUE
"TENNESSEE",2008,"full",FALSE,"Lamar Alexander","Republican","R",767236,1579477,"TN",57.631,"R",67.306,9.675,FALSE
"TEXAS",2008,"full",FALSE,"John Cornyn","Republican","R",3389365,4337469,"TX",55.936,"R",56.135,0.199,FALSE
"VIRGINIA",2008,"full",FALSE,"Mark R. Warner","Democrat","D",2369327,1228830,"VA",46.817,"D",34.152,-12.665,FALSE
"WEST VIRGINIA",2008,"full",FALSE,"John D. Rockefeller IV","Democrat","D",447560,254629,"WV",56.674,"R",36.262,-20.412,TRUE
"WYOMING",2008,"unexpired",FALSE,"Michael B. Enzi","Republican","R",66202,189046,"WY",66.562,"R",74.064,7.502,FALSE
"ARIZONA",2012,"full",FALSE,"Jeff Flake","Republican","R",1036542,1104457,"AZ",54.613,"R",51.586,-3.027,FALSE
"CALIFORNIA",2012,"full",FALSE,"Dianne Feinstein","Democrat","D",7864624,4713887,"CA",38.127,"D",37.476,-0.651,FALSE
"CONNECTICUT",2012,"full",FALSE,"Christopher S. Murphy","Democrat","D",792983,604569,"CT",41.227,"D",43.259,2.032,FALSE
"DELAWARE",2012,"full",FALSE,"Thomas R. Carper","Democrat","D",265415,115700,"DE",40.553,"D",30.358,-10.195,FALSE
"FLORIDA",2012,"full",FALSE,"Bill Nelson","Democrat","D",4523451,3458267,"FL",49.558,"D",43.327,-6.231,FALSE
"HAWAII",2012,"full",FALSE,"Mazie K. Hirono","Democrat","D",269489,160994,"HI",28.296,"D",37.398,9.102,FALSE
"INDIANA",2012,"full",FALSE,"Joe Donnelly","Democrat","D",1281181,1133621,"IN",55.2,"R",46.945,-8.255,TRUE
"MASSACHUSETTS",2012,"full",FALSE,"Elizabeth A. Warren","Democrat","D",1696346,1458048,"MA",38.214,"D",46.223,8.009,FALSE
"MARYLAND",2012,"full",FALSE,"Benjamin L. Cardin","Democrat","D",1474028,693291,"MD",36.678,"D",31.988,-4.69,FALSE
"MAINE",2012,"full",FALSE,"Angus King","Independent for Maine","I",92900,215399,"ME",42.14,"D",69.867,27.727,TRUE
"MICHIGAN",2012,"full",FALSE,"Debbie Stabenow","Democrat","D",2735826,1767386,"MI",45.199,"D",39.247,-5.952,FALSE
"MINNESOTA",2012,"full",FALSE,"Amy Klobuchar","Democrat","D",1854595,867974,"MN",46.059,"D",31.881,-14.178,FALSE
"MISSOURI",2012,"full",FALSE,"Claire McCaskill","Democrat","D",1494125,1066159,"MO",54.779,"R",41.642,-13.137,TRUE
"MISSISSIPPI",2012,"full",FALSE,"Roger F. Wicker","Republican","R",503467,709626,"MS",55.802,"R",58.497,2.695,FALSE
"MONTANA",2012,"full",FALSE,"Jon Tester","Democrat","D",236123,218051,"MT",57.034,"R",48.01,-9.024,TRUE
"NORTH DAKOTA",2012,"full",FALSE,"Heidi Heitkamp","Democratic-Nonpartisan League","D",161337,158401,"ND",60.111,"R",49.541,-10.57,TRUE
"NEBRASKA",2012,"full",FALSE,"Deb Fischer","Republican","R",332979,455593,"NE",61.129,"R",57.774,-3.355,FALSE
"NEW JERSEY",2012,"full",FALSE,"Robert Menendez","Democrat","D",1987680,1329534,"NJ",41.048,"D",40.08,-0.968,FALSE
"NEW MEXICO",2012,"full",FALSE,"Martin Heinrich","Democrat","D",395717,351260,"NM",44.705,"D",47.024,2.319,FALSE
"NEVADA",2012,"full",FALSE,"Dean Heller","Republican","R",446080,457656,"NV",46.592,"D",50.64,4.048,TRUE
"NEW YORK",2012,"full",FALSE,"Kirsten E. Gillibrand","Democrat","D",4420043,1514647,"NY",35.724,"D",25.522,-10.202,FALSE
"OHIO",2012,"full",FALSE,"Sherrod Brown","Democrat","D",2762690,2435712,"OH",48.486,"D",46.855,-1.631,FALSE
"PENNSYLVANIA",2012,"full",FALSE,"Robert P. Casey, Jr.","Democrat","D",3021364,2509132,"PA",47.268,"D",45.369,-1.899,FALSE
"RHODE ISLAND",2012,"full",FALSE,"Sheldon Whitehouse","Democrat","D",271034,146222,"RI",35.983,"D",35.044,-0.939,FALSE
"TENNESSEE",2012,"full",FALSE,"Bob Corker","Republican","R",705882,1506443,"TN",60.351,"R",68.093,7.742,FALSE
"TEXAS",2012,"full",FALSE,"Ted Cruz","Republican","R",3194927,4440137,"TX",58.008,"R",58.155,0.147,FALSE
"UTAH",2012,"full",FALSE,"Orrin G. Hatch","Republican","R",301873,657608,"UT",74.626,"R",68.538,-6.088,FALSE
"VIRGINIA",2012,"full",FALSE,"Timothy M. Kaine","Democrat","D",2010067,1785542,"VA",48.033,"D",47.042,-0.991,FALSE
"VERMONT",2012,"full",FALSE,"Bernard Sanders","Independent","I",NA,72898,"VT",31.753,"D",NA,NA,TRUE
"WASHINGTON",2012,"full",FALSE,"Maria Cantwell","Democrat","D",1855493,1213924,"WA",42.372,"D",39.549,-2.823,FALSE
"WISCONSIN",2012,"full",FALSE,"Tammy Baldwin","Democrat","D",1547104,1380126,"WI",46.537,"D",47.148,0.611,FALSE
"WEST VIRGINIA",2012,"full",FALSE,"Joe Manchin III","Democrat","D",399898,240787,"WV",63.674,"R",37.583,-26.091,TRUE
"WYOMING",2012,"full",FALSE,"John Barrasso","Republican","R",53019,185250,"WY",71.161,"R",77.748,6.587,FALSE
"ALASKA",2016,"full",FALSE,"Lisa Murkowski","Republican","R",36200,138149,"AK",58.386,"R",79.237,20.851,FALSE
"ALABAMA",2016,"full",FALSE,"Richard C. Shelby","Republican","R",748709,1335104,"AL",64.374,"R",64.07,-0.304,FALSE
"ARKANSAS",2016,"full",FALSE,"John Boozman","Republican","R",400602,661984,"AR",64.285,"R",62.299,-1.986,FALSE
"ARIZONA",2016,"full",FALSE,"John McCain","Republican","R",1031245,1359267,"AZ",51.89,"R",56.861,4.971,FALSE
"CALIFORNIA",2016,"full",FALSE,"Kamala D. Harris","Democrat","D",7542753,NA,"CA",33.872,"D",NA,NA,FALSE
"COLORADO",2016,"full",FALSE,"Michael F. Bennet","Democrat","D",1370710,1215318,"CO",47.317,"D",46.996,-0.321,FALSE
"CONNECTICUT",2016,"full",FALSE,"Richard Blumenthal","Democrat","D",920766,552621,"CT",42.858,"D",37.507,-5.351,FALSE
"FLORIDA",2016,"full",FALSE,"Marco Rubio","Republican","R",4122088,4835191,"FL",50.619,"R",53.981,3.362,FALSE
"GEORGIA",2016,"full",FALSE,"Johnny Isakson","Republican","R",1599726,2135806,"GA",52.661,"R",57.175,4.514,FALSE
"HAWAII",2016,"full",FALSE,"Brian Schatz","Democrat","D",306604,92653,"HI",32.559,"D",23.206,-9.353,FALSE
"IOWA",2016,"full",FALSE,"Chuck Grassley","Republican","R",549460,926007,"IA",55.064,"R",62.76,7.696,FALSE
"IDAHO",2016,"full",FALSE,"Mike Crapo","Republican","R",188249,449017,"ID",68.31,"R",70.46,2.15,FALSE
"ILLINOIS",2016,"full",FALSE,"Tammy Duckworth","Democrat","D",3012940,2184692,"IL",40.98,"D",42.032,1.052,FALSE
"INDIANA",2016,"full",FALSE,"Todd C. Young","Republican","R",1158947,1423991,"IN",60.117,"R",55.131,-4.986,FALSE
"KANSAS",2016,"full",FALSE,"Jerry Moran","Republican","R",379740,732376,"KS",61.111,"R",65.854,4.743,FALSE
"KENTUCKY",2016,"full",FALSE,"Rand Paul","Republican","R",813246,1090177,"KY",65.671,"R",57.275,-8.396,FALSE
"LOUISIANA",2016,"full",TRUE,"John Kennedy","Republican","R",347816,536191,"LA",60.172,"R",60.655,NA,FALSE
"MARYLAND",2016,"full",FALSE,"Chris Van Hollen","Democrat","D",1659907,972557,"MD",35.984,"D",36.945,0.961,FALSE
"MISSOURI",2016,"full",FALSE,"Roy Blunt","Republican","R",1300200,1378458,"MO",59.819,"R",51.461,-8.358,FALSE
"NORTH CAROLINA",2016,"full",FALSE,"Richard Burr","Republican","R",2128165,2395376,"NC",51.904,"R",52.954,1.05,FALSE
"NORTH DAKOTA",2016,"full",FALSE,"John Hoeven","Republican","R",58116,268788,"ND",69.809,"R",82.222,12.413,FALSE
"NEW HAMPSHIRE",2016,"full",FALSE,"Maggie Hassan","Democrat","D",354649,353632,"NH",49.803,"D",49.928,0.125,FALSE
"NEVADA",2016,"full",FALSE,"Catherine Cortez Masto","Democrat","D",521994,495079,"NV",48.706,"D",48.677,-0.029,FALSE
"NEW YORK",2016,"full",FALSE,"Charles E. Schumer","Democrat","D",4784220,1723927,"NY",38.228,"D",26.489,-11.739,FALSE
"OHIO",2016,"full",FALSE,"Rob Portman","Republican","R",1996908,3118567,"OH",54.268,"R",60.963,6.695,FALSE
"OKLAHOMA",2016,"full",FALSE,"James Lankford","Republican","R",355911,980892,"OK",69.305,"R",73.376,4.071,FALSE
"OREGON",2016,"full",FALSE,"Ron Wyden","Democrat","D",1105119,651106,"OR",43.844,"D",37.074,-6.77,FALSE
"PENNSYLVANIA",2016,"full",FALSE,"Patrick J. Toomey","Republican","R",2865012,2951702,"PA",50.376,"R",50.745,0.369,FALSE
"SOUTH CAROLINA",2016,"full",FALSE,"Tim Scott","Republican","R",704540,1241609,"SC",57.46,"R",63.798,6.338,FALSE
"SOUTH DAKOTA",2016,"full",FALSE,"John R. Thune","Republican","R",104140,265516,"SD",65.972,"R",71.828,5.856,FALSE
"UTAH",2016,"full",FALSE,"Mike Lee","Republican","R",301858,760220,"UT",62.383,"R",71.579,9.196,FALSE
"VERMONT",2016,"full",FALSE,"Patrick J. Leahy","Democrat","D",192243,103637,"VT",34.814,"D",35.027,0.213,FALSE
"WASHINGTON",2016,"full",FALSE,"Patty Murray","Democrat","D",1913979,1329338,"WA",41.213,"D",40.987,-0.226,FALSE
"WISCONSIN",2016,"full",FALSE,"Ron Johnson","Republican","R",1380335,1479471,"WI",50.408,"R",51.733,1.325,FALSE
"ALASKA",2020,"full",FALSE,"Dan Sullivan","Republican","R",146068,191112,"AK",55.262,"R",56.68,1.418,FALSE
"ALABAMA",2020,"full",FALSE,"Tommy Tuberville","Republican","R",920478,1392076,"AL",62.911,"R",60.196,-2.715,FALSE
"ARKANSAS",2020,"full",FALSE,"Tom Cotton","Republican","R",NA,793871,"AR",64.212,"R",NA,NA,FALSE
"ARIZONA",2020,"unexpired",FALSE,"Mark Kelly","Democrat","D",1716467,1637661,"AZ",49.843,"D",48.825,-1.018,FALSE
"COLORADO",2020,"full",FALSE,"John W. Hickenlooper","Democrat","D",1731114,1429492,"CO",43.062,"D",45.228,2.166,FALSE
"DELAWARE",2020,"full",FALSE,"Christopher A. Coons","Democrat","D",291804,186054,"DE",40.373,"D",38.935,-1.438,FALSE
"GEORGIA",2020,"full",TRUE,"Jon Ossoff","Democrat","D",2269923,2214979,"GA",49.872,"D",49.387,NA,FALSE
"GEORGIA",2020,"unexpired",TRUE,"Raphael Warnock","Democrat","D",2289113,2195841,"GA",49.872,"D",48.96,NA,FALSE
"IOWA",2020,"full",FALSE,"Joni Ernst","Republican","R",754859,864997,"IA",54.183,"R",53.4,-0.783,FALSE
"IDAHO",2020,"full",FALSE,"James E. Risch","Republican","R",285864,538446,"ID",65.877,"R",65.321,-0.556,FALSE
"ILLINOIS",2020,"full",FALSE,"Richard J. Durbin","Democrat","D",3278930,2319870,"IL",41.341,"D",41.435,0.094,FALSE
"KANSAS",2020,"full",FALSE,"Roger W. Marshall","Republican","R",571530,727962,"KS",57.493,"R",56.019,-1.474,FALSE
"KENTUCKY",2020,"full",FALSE,"Mitch McConnell","Republican","R",816257,1233315,"KY",63.2,"R",60.174,-3.026,FALSE
"LOUISIANA",2020,"full",FALSE,"Bill Cassidy","Republican","R",394049,1228908,"LA",59.464,"R",75.72,16.256,FALSE
"MASSACHUSETTS",2020,"full",FALSE,"Edward J. Markey","Democrat","D",2357809,1177765,"MA",32.884,"D",33.312,0.428,FALSE
"MAINE",2020,"full",FALSE,"Susan M. Collins","Republican","R",347223,417645,"ME",45.33,"D",54.604,9.274,TRUE
"MICHIGAN",2020,"full",FALSE,"Gary C. Peters","Democrat","D",2734568,2642233,"MI",48.586,"D",49.141,0.555,FALSE
"MINNESOTA",2020,"full",FALSE,"Tina Smith","Democrat","D",1566522,1398145,"MN",46.36,"D",47.16,0.8,FALSE
"MISSISSIPPI",2020,"full",FALSE,"Cindy Hyde-Smith","Republican","R",578691,709511,"MS",58.381,"R",55.078,-3.303,FALSE
"MONTANA",2020,"full",FALSE,"Steve Daines","Republican","R",272463,333174,"MT",58.397,"R",55.012,-3.385,FALSE
"NORTH CAROLINA",2020,"full",FALSE,"Thom Tillis","Republican","R",2569965,2665598,"NC",50.684,"R",50.913,0.229,FALSE
"NEBRASKA",2020,"full",FALSE,"Ben Sasse","Republican","R",227191,583507,"NE",59.784,"R",71.976,12.192,FALSE
"NEW HAMPSHIRE",2020,"full",FALSE,"Jeanne Shaheen","Democrat","D",450778,326229,"NH",46.252,"D",41.985,-4.267,FALSE
"NEW JERSEY",2020,"full",FALSE,"Cory A. Booker","Democrat","D",2541178,1817052,"NJ",41.929,"D",41.692,-0.237,FALSE
"NEW MEXICO",2020,"full",FALSE,"Ben Ray Luján","Democrat","D",474483,418483,"NM",44.482,"D",46.864,2.382,FALSE
"OKLAHOMA",2020,"full",FALSE,"James M. Inhofe","Republican","R",509763,979140,"OK",66.94,"R",65.763,-1.177,FALSE
"OREGON",2020,"full",FALSE,"Jeff Merkley","Democrat","D",1321047,912814,"OR",41.693,"D",40.863,-0.83,FALSE
"RHODE ISLAND",2020,"full",FALSE,"Jack Reed","Democrat","D",328574,164855,"RI",39.401,"D",33.41,-5.991,FALSE
"SOUTH CAROLINA",2020,"full",FALSE,"Lindsey Graham","Republican","R",1110828,1369137,"SC",55.927,"R",55.208,-0.719,FALSE
"SOUTH DAKOTA",2020,"full",FALSE,"Mike Rounds","Republican","R",143987,276232,"SD",63.435,"R",65.735,2.3,FALSE
"TENNESSEE",2020,"full",FALSE,"Bill Hagerty","Republican","R",1040691,1840926,"TN",61.828,"R",63.885,2.057,FALSE
"TEXAS",2020,"full",FALSE,"John Cornyn","Republican","R",4888764,5962983,"TX",52.831,"R",54.95,2.119,FALSE
"VIRGINIA",2020,"full",FALSE,"Mark R. Warner","Democrat","D",2466500,1934199,"VA",44.845,"D",43.952,-0.893,FALSE
"WEST VIRGINIA",2020,"full",FALSE,"Shelley Moore Capito","Republican","R",210309,547454,"WV",69.799,"R",72.246,2.447,FALSE
"WYOMING",2020,"full",FALSE,"Cynthia M. Lummis","Republican","R",72766,198100,"WY",72.48,"R",73.136,0.656,FALSE
"ARIZONA",2024,"full",FALSE,"Ruben Gallego","Democrat","D",1676335,1595761,"AZ",52.794,"R",48.769,-4.025,TRUE
"CALIFORNIA",2024,"full",FALSE,"Adam B. Schiff","Democrat","D",9036252,6312594,"CA",39.6,"D",41.127,1.527,FALSE
"CALIFORNIA",2024,"unexpired",FALSE,"Adam B. Schiff","Democrat","D",8837051,6204637,"CA",39.6,"D",41.25,1.65,FALSE
"CONNECTICUT",2024,"full",FALSE,"Christopher Murphy","Democrat","D",953646,678256,"CT",42.622,"D",41.562,-1.06,FALSE
"DELAWARE",2024,"full",FALSE,"Lisa Blunt Rochester","Democrat","D",283298,197753,"DE",42.521,"D",41.109,-1.412,FALSE
"FLORIDA",2024,"full",FALSE,"Rick Scott","Republican","R",4603077,5977706,"FL",56.611,"R",56.496,-0.115,FALSE
"HAWAII",2024,"full",FALSE,"Mazie K. Hirono","Democrat","D",324194,160075,"HI",38.22,"D",33.055,-5.165,FALSE
"INDIANA",2024,"full",FALSE,"Jim Banks","Republican","R",1097061,1659416,"IN",59.652,"R",60.201,0.549,FALSE
"MASSACHUSETTS",2024,"full",FALSE,"Elizabeth Warren","Democrat","D",2041668,1365440,"MA",37.045,"D",40.076,3.031,FALSE
"MARYLAND",2024,"full",FALSE,"Angela Alsobrooks","Democrat","D",1650912,1294344,"MD",35.245,"D",43.947,8.702,FALSE
"MAINE",2024,"full",FALSE,"Angus S. King, Jr.","Independent","I",88891,284338,"ME",46.464,"D",76.183,29.719,TRUE
"MICHIGAN",2024,"full",FALSE,"Elissa Slotkin","Democrat","D",2712686,2693680,"MI",50.721,"R",49.824,-0.897,TRUE
"MINNESOTA",2024,"full",FALSE,"Amy Klobuchar","Democrat","D",1792441,1291712,"MN",47.828,"D",41.882,-5.946,FALSE
"MISSOURI",2024,"full",FALSE,"Josh Hawley","Republican","R",1243728,1651907,"MO",59.337,"R",57.048,-2.289,FALSE
"MISSISSIPPI",2024,"full",FALSE,"Roger F. Wicker","Republican","R",451981,763420,"MS",61.573,"R",62.812,1.239,FALSE
"MONTANA",2024,"full",FALSE,"Tim Sheehy","Republican","R",276305,319682,"MT",60.289,"R",53.639,-6.65,FALSE
"NORTH DAKOTA",2024,"full",FALSE,"Kevin Cramer","Republican","R",121602,241569,"ND",68.696,"R",66.517,-2.179,FALSE
"NEBRASKA",2024,"full",FALSE,"Deb Fischer","Republican","R",NA,499124,"NE",60.42,"R",NA,NA,FALSE
"NEBRASKA",2024,"unexpired",FALSE,"Pete Ricketts","Republican","R",349902,585103,"NE",60.42,"R",62.578,2.158,FALSE
"NEW JERSEY",2024,"full",FALSE,"Andy Kim","Democrat","D",2161491,1773589,"NJ",46.986,"D",45.071,-1.915,FALSE
"NEW MEXICO",2024,"full",FALSE,"Martin Heinrich","Democrat","D",497333,405978,"NM",46.929,"D",44.943,-1.986,FALSE
"NEVADA",2024,"full",FALSE,"Jacky Rosen","Democrat","D",701105,677046,"NV",51.58,"R",49.127,-2.453,TRUE
"NEW YORK",2024,"full",FALSE,"Kirsten E. Gillibrand","Democrat","D",4318903,2917044,"NY",43.655,"D",40.313,-3.342,FALSE
"OHIO",2024,"full",FALSE,"Bernie Moreno","Republican","R",2650949,2857383,"OH",55.657,"R",51.874,-3.783,FALSE
"PENNSYLVANIA",2024,"full",FALSE,"Dave McCormick","Republican","R",3384180,3399295,"PA",50.863,"R",50.111,-0.752,FALSE
"RHODE ISLAND",2024,"full",FALSE,"Sheldon Whitehouse","Democrat","D",294665,196039,"RI",42.919,"D",39.951,-2.968,FALSE
"TENNESSEE",2024,"full",FALSE,"Marsha Blackburn","Republican","R",1027461,1918743,"TN",65.061,"R",65.126,0.065,FALSE
"TEXAS",2024,"full",FALSE,"Ted Cruz","Republican","R",5031249,5990741,"TX",56.939,"R",54.353,-2.586,FALSE
"UTAH",2024,"full",FALSE,"John R. Curtis","Republican","R",464515,914700,"UT",61.105,"R",66.32,5.215,FALSE
"VIRGINIA",2024,"full",FALSE,"Tim Kaine","Democrat","D",2417115,2019911,"VA",47.049,"D",45.524,-1.525,FALSE
"VERMONT",2024,"full",FALSE,"Bernard Sanders","Independent","I",NA,116512,"VT",33.615,"D",NA,NA,TRUE
"WASHINGTON",2024,"full",FALSE,"Maria Cantwell","Democrat","D",2252577,1549187,"WA",40.535,"D",40.749,0.214,FALSE
"WISCONSIN",2024,"full",FALSE,"Tammy Baldwin","Democrat","D",1672777,1643996,"WI",50.437,"R",49.566,-0.871,TRUE
"WEST VIRGINIA",2024,"full",FALSE,"Jim Justice","Republican","R",207548,514079,"WV",71.344,"R",71.239,-0.105,FALSE
"WYOMING",2024,"full",FALSE,"John Barrasso","Republican","R",63727,198418,"WY",73.479,"R",75.69,2.211,FALSE
