"from_state","to_state","est","moe","lo","hi","sig","flag"
"Arkansas","Alaska",,,,,FALSE,"N"
"California","Alaska",1950,807,1143,2757,TRUE,""
"Colorado","Alaska",1526,788,738,2314,TRUE,""
"Connecticut","Alaska",,,,,FALSE,"N"
"Delaware","Alaska",0,172,0,172,FALSE,""
"District of Columbia","Alaska",0,172,0,172,FALSE,""
"Florida","Alaska",1069,680,389,1749,TRUE,""
"Georgia","Alaska",948,777,171,1725,TRUE,""
"Hawaii","Alaska",551,318,233,869,TRUE,""
"Idaho","Alaska",350,307,43,657,TRUE,""
"Illinois","Alaska",0,172,0,172,FALSE,""
"Indiana","Alaska",267,282,0,549,FALSE,""
"Iowa","Alaska",0,172,0,172,FALSE,""
"Kansas","Alaska",96,146,0,242,FALSE,""
"Kentucky","Alaska",0,172,0,172,FALSE,""
"Louisiana","Alaska",489,503,0,992,FALSE,""
"Maine","Alaska",,,,,FALSE,"N"
"Maryland","Alaska",0,172,0,172,FALSE,""
"Massachusetts","Alaska",1834,2327,0,4161,FALSE,""
"Michigan","Alaska",493,430,63,923,TRUE,""
"Minnesota","Alaska",562,497,65,1059,TRUE,""
"Mississippi","Alaska",,,,,FALSE,"N"
"Missouri","Alaska",937,1053,0,1990,FALSE,""
"Montana","Alaska",149,136,13,285,TRUE,""
"Nebraska","Alaska",0,172,0,172,FALSE,""
"Nevada","Alaska",655,596,59,1251,TRUE,""
"New Hampshire","Alaska",,,,,FALSE,"N"
"New Jersey","Alaska",320,318,2,638,TRUE,""
"New Mexico","Alaska",381,370,11,751,TRUE,""
"New York","Alaska",709,1031,0,1740,FALSE,""
"North Carolina","Alaska",361,301,60,662,TRUE,""
"North Dakota","Alaska",0,172,0,172,FALSE,""
"Ohio","Alaska",102,132,0,234,FALSE,""
"Oklahoma","Alaska",779,691,88,1470,TRUE,""
"Oregon","Alaska",791,520,271,1311,TRUE,""
"Pennsylvania","Alaska",494,434,60,928,TRUE,""
"Rhode Island","Alaska",0,172,0,172,FALSE,""
"South Carolina","Alaska",1982,1350,632,3332,TRUE,""
"South Dakota","Alaska",347,355,0,702,FALSE,""
"Tennessee","Alaska",1893,879,1014,2772,TRUE,""
"Texas","Alaska",2685,1187,1498,3872,TRUE,""
"Utah","Alaska",219,276,0,495,FALSE,""
"Vermont","Alaska",,,,,FALSE,"N"
"Virginia","Alaska",1338,911,427,2249,TRUE,""
"Washington","Alaska",2597,1264,1333,3861,TRUE,""
"West Virginia","Alaska",,,,,FALSE,"N"
"Wisconsin","Alaska",556,419,137,975,TRUE,""
"Wyoming","Alaska",446,586,0,1032,FALSE,""
"Puerto Rico","Alaska",48,101,0,149,FALSE,""
"Alabama","Arizona",3139,2909,230,6048,TRUE,""
"Alaska","Arizona",2522,1549,973,4071,TRUE,""
"Arkansas","Arizona",542,335,207,877,TRUE,""
"California","Arizona",52383,6890,45493,59273,TRUE,""
"Colorado","Arizona",10284,2531,7753,12815,TRUE,""
"Connecticut","Arizona",930,916,14,1846,TRUE,""
"Delaware","Arizona",237,299,0,536,FALSE,""
"District of Columbia","Arizona",96,99,0,195,FALSE,""
"Florida","Arizona",6929,2734,4195,9663,TRUE,""
"Georgia","Arizona",3218,1467,1751,4685,TRUE,""
"Hawaii","Arizona",1354,990,364,2344,TRUE,""
"Idaho","Arizona",5130,2437,2693,7567,TRUE,""
"Illinois","Arizona",9445,2340,7105,11785,TRUE,""
"Indiana","Arizona",5273,3072,2201,8345,TRUE,""
"Iowa","Arizona",4596,2154,2442,6750,TRUE,""
"Kansas","Arizona",463,348,115,811,TRUE,""
"Kentucky","Arizona",849,939,0,1788,FALSE,""
"Louisiana","Arizona",1656,740,916,2396,TRUE,""
"Maine","Arizona",439,362,77,801,TRUE,""
"Maryland","Arizona",601,507,94,1108,TRUE,""
"Massachusetts","Arizona",1113,600,513,1713,TRUE,""
"Michigan","Arizona",7691,3101,4590,10792,TRUE,""
"Minnesota","Arizona",6126,1268,4858,7394,TRUE,""
"Mississippi","Arizona",471,551,0,1022,FALSE,""
"Missouri","Arizona",3235,1460,1775,4695,TRUE,""
"Montana","Arizona",4304,2162,2142,6466,TRUE,""
"Nebraska","Arizona",2129,943,1186,3072,TRUE,""
"Nevada","Arizona",6026,2172,3854,8198,TRUE,""
"New Hampshire","Arizona",426,476,0,902,FALSE,""
"New Jersey","Arizona",2380,1462,918,3842,TRUE,""
"New Mexico","Arizona",7401,2551,4850,9952,TRUE,""
"New York","Arizona",5077,1804,3273,6881,TRUE,""
"North Carolina","Arizona",9435,5922,3513,15357,TRUE,""
"North Dakota","Arizona",916,603,313,1519,TRUE,""
"Ohio","Arizona",8866,3901,4965,12767,TRUE,""
"Oklahoma","Arizona",205,220,0,425,FALSE,""
"Oregon","Arizona",4336,1646,2690,5982,TRUE,""
"Pennsylvania","Arizona",2959,1332,1627,4291,TRUE,""
"Rhode Island","Arizona",0,237,0,237,FALSE,""
"South Carolina","Arizona",2858,1755,1103,4613,TRUE,""
"South Dakota","Arizona",1674,870,804,2544,TRUE,""
"Tennessee","Arizona",2341,1305,1036,3646,TRUE,""
"Texas","Arizona",10306,2404,7902,12710,TRUE,""
"Utah","Arizona",7366,2624,4742,9990,TRUE,""
"Vermont","Arizona",288,268,20,556,TRUE,""
"Virginia","Arizona",3996,1816,2180,5812,TRUE,""
"Washington","Arizona",17601,3256,14345,20857,TRUE,""
"West Virginia","Arizona",,,,,FALSE,"N"
"Wisconsin","Arizona",5018,1728,3290,6746,TRUE,""
"Wyoming","Arizona",189,219,0,408,FALSE,""
"Puerto Rico","Arizona",,,,,FALSE,"N"
"Alabama","Arkansas",1597,826,771,2423,TRUE,""
"Alaska","Arkansas",755,863,0,1618,FALSE,""
"Arizona","Arkansas",1746,1143,603,2889,TRUE,""
"California","Arkansas",1676,1069,607,2745,TRUE,""
"Colorado","Arkansas",2030,1052,978,3082,TRUE,""
"Connecticut","Arkansas",0,213,0,213,FALSE,""
"Delaware","Arkansas",,,,,FALSE,"N"
"District of Columbia","Arkansas",0,213,0,213,FALSE,""
"Florida","Arkansas",4434,1771,2663,6205,TRUE,""
"Georgia","Arkansas",774,809,0,1583,FALSE,""
"Hawaii","Arkansas",867,676,191,1543,TRUE,""
"Idaho","Arkansas",946,737,209,1683,TRUE,""
"Illinois","Arkansas",1926,969,957,2895,TRUE,""
"Indiana","Arkansas",705,824,0,1529,FALSE,""
"Iowa","Arkansas",2411,1330,1081,3741,TRUE,""
"Kansas","Arkansas",1391,1143,248,2534,TRUE,""
"Kentucky","Arkansas",825,661,164,1486,TRUE,""
"Louisiana","Arkansas",3183,1163,2020,4346,TRUE,""
"Maine","Arkansas",,,,,FALSE,"N"
"Maryland","Arkansas",372,364,8,736,TRUE,""
"Massachusetts","Arkansas",,,,,FALSE,"N"
"Michigan","Arkansas",478,526,0,1004,FALSE,""
"Minnesota","Arkansas",618,546,72,1164,TRUE,""
"Mississippi","Arkansas",2005,1159,846,3164,TRUE,""
"Missouri","Arkansas",4434,1780,2654,6214,TRUE,""
"Montana","Arkansas",0,213,0,213,FALSE,""
"Nebraska","Arkansas",134,127,7,261,TRUE,""
"Nevada","Arkansas",585,430,155,1015,TRUE,""
"New Hampshire","Arkansas",0,213,0,213,FALSE,""
"New Jersey","Arkansas",597,597,0,1194,FALSE,""
"New Mexico","Arkansas",3624,2000,1624,5624,TRUE,""
"New York","Arkansas",790,580,210,1370,TRUE,""
"North Carolina","Arkansas",722,534,188,1256,TRUE,""
"North Dakota","Arkansas",,,,,FALSE,"N"
"Ohio","Arkansas",453,371,82,824,TRUE,""
"Oklahoma","Arkansas",3227,1098,2129,4325,TRUE,""
"Oregon","Arkansas",755,999,0,1754,FALSE,""
"Pennsylvania","Arkansas",1119,1102,17,2221,TRUE,""
"Rhode Island","Arkansas",0,213,0,213,FALSE,""
"South Carolina","Arkansas",609,694,0,1303,FALSE,""
"South Dakota","Arkansas",0,213,0,213,FALSE,""
"Tennessee","Arkansas",2579,1147,1432,3726,TRUE,""
"Texas","Arkansas",10842,2476,8366,13318,TRUE,""
"Utah","Arkansas",359,382,0,741,FALSE,""
"Vermont","Arkansas",0,213,0,213,FALSE,""
"Virginia","Arkansas",756,603,153,1359,TRUE,""
"Washington","Arkansas",1307,1375,0,2682,FALSE,""
"West Virginia","Arkansas",436,360,76,796,TRUE,""
"Wisconsin","Arkansas",665,532,133,1197,TRUE,""
"Wyoming","Arkansas",76,92,0,168,FALSE,""
"Puerto Rico","Arkansas",,,,,FALSE,"N"
"Alabama","California",1440,735,705,2175,TRUE,""
"Alaska","California",3022,1823,1199,4845,TRUE,""
"Arizona","California",28174,4463,23711,32637,TRUE,""
"Arkansas","California",2462,1049,1413,3511,TRUE,""
"Colorado","California",15781,3397,12384,19178,TRUE,""
"Connecticut","California",4853,1483,3370,6336,TRUE,""
"Delaware","California",149,144,5,293,TRUE,""
"District of Columbia","California",2128,808,1320,2936,TRUE,""
"Florida","California",15988,3031,12957,19019,TRUE,""
"Georgia","California",6863,2164,4699,9027,TRUE,""
"Hawaii","California",9923,2644,7279,12567,TRUE,""
"Idaho","California",6509,1562,4947,8071,TRUE,""
"Illinois","California",19953,5236,14717,25189,TRUE,""
"Indiana","California",7654,3693,3961,11347,TRUE,""
"Iowa","California",1147,543,604,1690,TRUE,""
"Kansas","California",1924,854,1070,2778,TRUE,""
"Kentucky","California",919,791,128,1710,TRUE,""
"Louisiana","California",4078,1478,2600,5556,TRUE,""
"Maine","California",1860,1028,832,2888,TRUE,""
"Maryland","California",8901,2151,6750,11052,TRUE,""
"Massachusetts","California",15720,3343,12377,19063,TRUE,""
"Michigan","California",5317,1632,3685,6949,TRUE,""
"Minnesota","California",3533,1394,2139,4927,TRUE,""
"Mississippi","California",1778,1348,430,3126,TRUE,""
"Missouri","California",5144,1672,3472,6816,TRUE,""
"Montana","California",2531,925,1606,3456,TRUE,""
"Nebraska","California",1615,1020,595,2635,TRUE,""
"Nevada","California",21133,4646,16487,25779,TRUE,""
"New Hampshire","California",700,329,371,1029,TRUE,""
"New Jersey","California",9653,2769,6884,12422,TRUE,""
"New Mexico","California",2695,1031,1664,3726,TRUE,""
"New York","California",24927,3680,21247,28607,TRUE,""
"North Carolina","California",8873,2194,6679,11067,TRUE,""
"North Dakota","California",466,441,25,907,TRUE,""
"Ohio","California",6471,2777,3694,9248,TRUE,""
"Oklahoma","California",2694,1455,1239,4149,TRUE,""
"Oregon","California",17954,4037,13917,21991,TRUE,""
"Pennsylvania","California",9266,2532,6734,11798,TRUE,""
"Rhode Island","California",1458,1002,456,2460,TRUE,""
"South Carolina","California",6955,1938,5017,8893,TRUE,""
"South Dakota","California",697,388,309,1085,TRUE,""
"Tennessee","California",7972,3477,4495,11449,TRUE,""
"Texas","California",45447,6640,38807,52087,TRUE,""
"Utah","California",8564,2267,6297,10831,TRUE,""
"Vermont","California",403,280,123,683,TRUE,""
"Virginia","California",18100,4368,13732,22468,TRUE,""
"Washington","California",26956,4931,22025,31887,TRUE,""
"West Virginia","California",1037,729,308,1766,TRUE,""
"Wisconsin","California",4050,1636,2414,5686,TRUE,""
"Wyoming","California",1036,585,451,1621,TRUE,""
"Puerto Rico","California",1572,665,907,2237,TRUE,""
"Alabama","Colorado",2028,705,1323,2733,TRUE,""
"Alaska","Colorado",3700,1512,2188,5212,TRUE,""
"Arizona","Colorado",9762,2707,7055,12469,TRUE,""
"Arkansas","Colorado",577,554,23,1131,TRUE,""
"California","Colorado",19717,3479,16238,23196,TRUE,""
"Connecticut","Colorado",1822,886,936,2708,TRUE,""
"Delaware","Colorado",,,,,FALSE,"N"
"District of Columbia","Colorado",,,,,FALSE,"N"
"Florida","Colorado",12564,3529,9035,16093,TRUE,""
"Georgia","Colorado",3896,1574,2322,5470,TRUE,""
"Hawaii","Colorado",1815,1836,0,3651,FALSE,""
"Idaho","Colorado",2345,1075,1270,3420,TRUE,""
"Illinois","Colorado",4552,1348,3204,5900,TRUE,""
"Indiana","Colorado",3212,1612,1600,4824,TRUE,""
"Iowa","Colorado",2142,911,1231,3053,TRUE,""
"Kansas","Colorado",1737,749,988,2486,TRUE,""
"Kentucky","Colorado",1441,793,648,2234,TRUE,""
"Louisiana","Colorado",1780,1219,561,2999,TRUE,""
"Maine","Colorado",285,364,0,649,FALSE,""
"Maryland","Colorado",2138,1195,943,3333,TRUE,""
"Massachusetts","Colorado",2050,861,1189,2911,TRUE,""
"Michigan","Colorado",2538,1060,1478,3598,TRUE,""
"Minnesota","Colorado",2816,1140,1676,3956,TRUE,""
"Mississippi","Colorado",495,694,0,1189,FALSE,""
"Missouri","Colorado",3746,1516,2230,5262,TRUE,""
"Montana","Colorado",864,462,402,1326,TRUE,""
"Nebraska","Colorado",3243,1345,1898,4588,TRUE,""
"Nevada","Colorado",1823,1020,803,2843,TRUE,""
"New Hampshire","Colorado",454,344,110,798,TRUE,""
"New Jersey","Colorado",1423,699,724,2122,TRUE,""
"New Mexico","Colorado",5593,1771,3822,7364,TRUE,""
"New York","Colorado",3792,1352,2440,5144,TRUE,""
"North Carolina","Colorado",5537,2093,3444,7630,TRUE,""
"North Dakota","Colorado",535,464,71,999,TRUE,""
"Ohio","Colorado",3306,1412,1894,4718,TRUE,""
"Oklahoma","Colorado",5402,3244,2158,8646,TRUE,""
"Oregon","Colorado",2363,1213,1150,3576,TRUE,""
"Pennsylvania","Colorado",3623,1301,2322,4924,TRUE,""
"Rhode Island","Colorado",,,,,FALSE,"N"
"South Carolina","Colorado",958,476,482,1434,TRUE,""
"South Dakota","Colorado",390,250,140,640,TRUE,""
"Tennessee","Colorado",3653,2007,1646,5660,TRUE,""
"Texas","Colorado",27574,4594,22980,32168,TRUE,""
"Utah","Colorado",5387,1847,3540,7234,TRUE,""
"Vermont","Colorado",225,211,14,436,TRUE,""
"Virginia","Colorado",8039,4554,3485,12593,TRUE,""
"Washington","Colorado",6188,1802,4386,7990,TRUE,""
"West Virginia","Colorado",389,419,0,808,FALSE,""
"Wisconsin","Colorado",2273,995,1278,3268,TRUE,""
"Wyoming","Colorado",1491,645,846,2136,TRUE,""
"Puerto Rico","Colorado",0,224,0,224,FALSE,""
"Alabama","Connecticut",801,945,0,1746,FALSE,""
"Alaska","Connecticut",,,,,FALSE,"N"
"Arizona","Connecticut",,,,,FALSE,"N"
"Arkansas","Connecticut",0,225,0,225,FALSE,""
"California","Connecticut",4237,2318,1919,6555,TRUE,""
"Colorado","Connecticut",758,501,257,1259,TRUE,""
"Delaware","Connecticut",0,225,0,225,FALSE,""
"District of Columbia","Connecticut",,,,,FALSE,"N"
"Florida","Connecticut",6040,2007,4033,8047,TRUE,""
"Georgia","Connecticut",2684,948,1736,3632,TRUE,""
"Hawaii","Connecticut",396,465,0,861,FALSE,""
"Idaho","Connecticut",0,225,0,225,FALSE,""
"Illinois","Connecticut",1044,483,561,1527,TRUE,""
"Indiana","Connecticut",801,721,80,1522,TRUE,""
"Iowa","Connecticut",309,375,0,684,FALSE,""
"Kansas","Connecticut",366,367,0,733,FALSE,""
"Kentucky","Connecticut",319,381,0,700,FALSE,""
"Louisiana","Connecticut",,,,,FALSE,"N"
"Maine","Connecticut",671,479,192,1150,TRUE,""
"Maryland","Connecticut",353,291,62,644,TRUE,""
"Massachusetts","Connecticut",11612,2586,9026,14198,TRUE,""
"Michigan","Connecticut",230,249,0,479,FALSE,""
"Minnesota","Connecticut",127,141,0,268,FALSE,""
"Mississippi","Connecticut",,,,,FALSE,"N"
"Missouri","Connecticut",806,1060,0,1866,FALSE,""
"Montana","Connecticut",0,225,0,225,FALSE,""
"Nebraska","Connecticut",,,,,FALSE,"N"
"Nevada","Connecticut",893,816,77,1709,TRUE,""
"New Hampshire","Connecticut",3295,1250,2045,4545,TRUE,""
"New Jersey","Connecticut",5628,1617,4011,7245,TRUE,""
"New Mexico","Connecticut",0,225,0,225,FALSE,""
"New York","Connecticut",25095,4459,20636,29554,TRUE,""
"North Carolina","Connecticut",2597,1468,1129,4065,TRUE,""
"North Dakota","Connecticut",0,225,0,225,FALSE,""
"Ohio","Connecticut",1491,655,836,2146,TRUE,""
"Oklahoma","Connecticut",,,,,FALSE,"N"
"Oregon","Connecticut",823,386,437,1209,TRUE,""
"Pennsylvania","Connecticut",2175,835,1340,3010,TRUE,""
"Rhode Island","Connecticut",2143,790,1353,2933,TRUE,""
"South Carolina","Connecticut",1027,603,424,1630,TRUE,""
"South Dakota","Connecticut",0,225,0,225,FALSE,""
"Tennessee","Connecticut",606,506,100,1112,TRUE,""
"Texas","Connecticut",1462,627,835,2089,TRUE,""
"Utah","Connecticut",0,225,0,225,FALSE,""
"Vermont","Connecticut",835,566,269,1401,TRUE,""
"Virginia","Connecticut",578,475,103,1053,TRUE,""
"Washington","Connecticut",697,421,276,1118,TRUE,""
"West Virginia","Connecticut",0,225,0,225,FALSE,""
"Wisconsin","Connecticut",1103,553,550,1656,TRUE,""
"Wyoming","Connecticut",0,225,0,225,FALSE,""
"Puerto Rico","Connecticut",821,641,180,1462,TRUE,""
"Alabama","Delaware",477,611,0,1088,FALSE,""
"Alaska","Delaware",0,208,0,208,FALSE,""
"Arizona","Delaware",,,,,FALSE,"N"
"Arkansas","Delaware",708,951,0,1659,FALSE,""
"California","Delaware",1439,815,624,2254,TRUE,""
"Colorado","Delaware",329,324,5,653,TRUE,""
"Connecticut","Delaware",258,242,16,500,TRUE,""
"District of Columbia","Delaware",526,456,70,982,TRUE,""
"Florida","Delaware",1574,1286,288,2860,TRUE,""
"Georgia","Delaware",1595,1979,0,3574,FALSE,""
"Hawaii","Delaware",0,208,0,208,FALSE,""
"Idaho","Delaware",0,208,0,208,FALSE,""
"Illinois","Delaware",,,,,FALSE,"N"
"Indiana","Delaware",250,430,0,680,FALSE,""
"Iowa","Delaware",325,501,0,826,FALSE,""
"Kansas","Delaware",0,208,0,208,FALSE,""
"Kentucky","Delaware",0,208,0,208,FALSE,""
"Louisiana","Delaware",,,,,FALSE,"N"
"Maine","Delaware",76,108,0,184,FALSE,""
"Maryland","Delaware",7026,2233,4793,9259,TRUE,""
"Massachusetts","Delaware",122,119,3,241,TRUE,""
"Michigan","Delaware",721,778,0,1499,FALSE,""
"Minnesota","Delaware",0,208,0,208,FALSE,""
"Mississippi","Delaware",,,,,FALSE,"N"
"Missouri","Delaware",,,,,FALSE,"N"
"Montana","Delaware",0,208,0,208,FALSE,""
"Nebraska","Delaware",0,208,0,208,FALSE,""
"Nevada","Delaware",0,208,0,208,FALSE,""
"New Hampshire","Delaware",,,,,FALSE,"N"
"New Jersey","Delaware",3404,1047,2357,4451,TRUE,""
"New Mexico","Delaware",0,208,0,208,FALSE,""
"New York","Delaware",2684,1027,1657,3711,TRUE,""
"North Carolina","Delaware",451,442,9,893,TRUE,""
"North Dakota","Delaware",0,208,0,208,FALSE,""
"Ohio","Delaware",,,,,FALSE,"N"
"Oklahoma","Delaware",,,,,FALSE,"N"
"Oregon","Delaware",,,,,FALSE,"N"
"Pennsylvania","Delaware",6673,1661,5012,8334,TRUE,""
"Rhode Island","Delaware",0,208,0,208,FALSE,""
"South Carolina","Delaware",814,552,262,1366,TRUE,""
"South Dakota","Delaware",0,208,0,208,FALSE,""
"Tennessee","Delaware",865,1178,0,2043,FALSE,""
"Texas","Delaware",1250,1120,130,2370,TRUE,""
"Utah","Delaware",0,208,0,208,FALSE,""
"Vermont","Delaware",,,,,FALSE,"N"
"Virginia","Delaware",1854,915,939,2769,TRUE,""
"Washington","Delaware",0,208,0,208,FALSE,""
"West Virginia","Delaware",,,,,FALSE,"N"
"Wisconsin","Delaware",,,,,FALSE,"N"
"Wyoming","Delaware",0,208,0,208,FALSE,""
"Puerto Rico","Delaware",,,,,FALSE,"N"
"Alabama","District of Columbia",,,,,FALSE,"N"
"Alaska","District of Columbia",,,,,FALSE,"N"
"Arizona","District of Columbia",636,452,184,1088,TRUE,""
"Arkansas","District of Columbia",446,501,0,947,FALSE,""
"California","District of Columbia",4559,1174,3385,5733,TRUE,""
"Colorado","District of Columbia",2351,1968,383,4319,TRUE,""
"Connecticut","District of Columbia",1583,1003,580,2586,TRUE,""
"Delaware","District of Columbia",679,520,159,1199,TRUE,""
"Florida","District of Columbia",1174,578,596,1752,TRUE,""
"Georgia","District of Columbia",1415,961,454,2376,TRUE,""
"Hawaii","District of Columbia",,,,,FALSE,"N"
"Idaho","District of Columbia",0,247,0,247,FALSE,""
"Illinois","District of Columbia",2821,1669,1152,4490,TRUE,""
"Indiana","District of Columbia",218,292,0,510,FALSE,""
"Iowa","District of Columbia",76,98,0,174,FALSE,""
"Kansas","District of Columbia",186,240,0,426,FALSE,""
"Kentucky","District of Columbia",,,,,FALSE,"N"
"Louisiana","District of Columbia",846,461,385,1307,TRUE,""
"Maine","District of Columbia",209,234,0,443,FALSE,""
"Maryland","District of Columbia",6926,1523,5403,8449,TRUE,""
"Massachusetts","District of Columbia",1818,613,1205,2431,TRUE,""
"Michigan","District of Columbia",463,359,104,822,TRUE,""
"Minnesota","District of Columbia",460,340,120,800,TRUE,""
"Mississippi","District of Columbia",,,,,FALSE,"N"
"Missouri","District of Columbia",,,,,FALSE,"N"
"Montana","District of Columbia",,,,,FALSE,"N"
"Nebraska","District of Columbia",296,345,0,641,FALSE,""
"Nevada","District of Columbia",503,434,69,937,TRUE,""
"New Hampshire","District of Columbia",180,217,0,397,FALSE,""
"New Jersey","District of Columbia",2547,899,1648,3446,TRUE,""
"New Mexico","District of Columbia",889,727,162,1616,TRUE,""
"New York","District of Columbia",3117,916,2201,4033,TRUE,""
"North Carolina","District of Columbia",1392,689,703,2081,TRUE,""
"North Dakota","District of Columbia",,,,,FALSE,"N"
"Ohio","District of Columbia",1239,705,534,1944,TRUE,""
"Oklahoma","District of Columbia",283,278,5,561,TRUE,""
"Oregon","District of Columbia",289,225,64,514,TRUE,""
"Pennsylvania","District of Columbia",3843,2232,1611,6075,TRUE,""
"Rhode Island","District of Columbia",279,357,0,636,FALSE,""
"South Carolina","District of Columbia",149,164,0,313,FALSE,""
"South Dakota","District of Columbia",0,247,0,247,FALSE,""
"Tennessee","District of Columbia",936,826,110,1762,TRUE,""
"Texas","District of Columbia",1447,800,647,2247,TRUE,""
"Utah","District of Columbia",264,338,0,602,FALSE,""
"Vermont","District of Columbia",0,247,0,247,FALSE,""
"Virginia","District of Columbia",7200,2204,4996,9404,TRUE,""
"Washington","District of Columbia",456,333,123,789,TRUE,""
"West Virginia","District of Columbia",0,247,0,247,FALSE,""
"Wisconsin","District of Columbia",526,323,203,849,TRUE,""
"Wyoming","District of Columbia",0,247,0,247,FALSE,""
"Puerto Rico","District of Columbia",113,159,0,272,FALSE,""
"Alabama","Florida",11110,3108,8002,14218,TRUE,""
"Alaska","Florida",2693,1896,797,4589,TRUE,""
"Arizona","Florida",9255,2344,6911,11599,TRUE,""
"Arkansas","Florida",4633,2564,2069,7197,TRUE,""
"California","Florida",36194,5759,30435,41953,TRUE,""
"Colorado","Florida",9951,2110,7841,12061,TRUE,""
"Connecticut","Florida",9767,2747,7020,12514,TRUE,""
"Delaware","Florida",1581,994,587,2575,TRUE,""
"District of Columbia","Florida",1878,889,989,2767,TRUE,""
"Georgia","Florida",34388,6124,28264,40512,TRUE,""
"Hawaii","Florida",3966,2243,1723,6209,TRUE,""
"Idaho","Florida",1019,630,389,1649,TRUE,""
"Illinois","Florida",24410,4381,20029,28791,TRUE,""
"Indiana","Florida",14906,3336,11570,18242,TRUE,""
"Iowa","Florida",1724,999,725,2723,TRUE,""
"Kansas","Florida",4722,1935,2787,6657,TRUE,""
"Kentucky","Florida",9372,3044,6328,12416,TRUE,""
"Louisiana","Florida",4215,1576,2639,5791,TRUE,""
"Maine","Florida",3261,1999,1262,5260,TRUE,""
"Maryland","Florida",16358,3488,12870,19846,TRUE,""
"Massachusetts","Florida",21834,4803,17031,26637,TRUE,""
"Michigan","Florida",18558,4612,13946,23170,TRUE,""
"Minnesota","Florida",8506,2785,5721,11291,TRUE,""
"Mississippi","Florida",4724,3591,1133,8315,TRUE,""
"Missouri","Florida",8080,2426,5654,10506,TRUE,""
"Montana","Florida",244,277,0,521,FALSE,""
"Nebraska","Florida",1017,824,193,1841,TRUE,""
"Nevada","Florida",9338,3210,6128,12548,TRUE,""
"New Hampshire","Florida",1730,909,821,2639,TRUE,""
"New Jersey","Florida",22646,4042,18604,26688,TRUE,""
"New Mexico","Florida",2076,1285,791,3361,TRUE,""
"New York","Florida",50661,6714,43947,57375,TRUE,""
"North Carolina","Florida",25865,5677,20188,31542,TRUE,""
"North Dakota","Florida",901,496,405,1397,TRUE,""
"Ohio","Florida",19342,3542,15800,22884,TRUE,""
"Oklahoma","Florida",3466,2011,1455,5477,TRUE,""
"Oregon","Florida",2825,1169,1656,3994,TRUE,""
