"state","fips","piece","is_state","pop1","pop_total","in_est","in_moe","out_est","out_moe","net","net_moe","net_sig","in_per1k","out_per1k","net_per1k","sig_in_n","sig_out_n","within_est","abroad_est","abroad_moe","abroad_per1k","foreignorigin_est","born_state_est","born_state_moe","born_state_pct","born_otherstate_est","born_otherstate_pct","born_foreign_est","born_foreign_moe","born_foreign_pct","born_pr_est","born_pr_pct","born_island_est","lat","lon","mx","my"
"New Jersey","34","conus",TRUE,9401301,9500851,150849,11279,214762,11235,-63913,15919.8,TRUE,16.0455,22.8439,-6.79831,31,40,584009,90730,9234,9.65079,90178,4793603,30268,50.4545,2096662,22.0681,2492810,26459,26.2378,114332,1.20339,3444,40.4382,-74.4245,830.378,414.348
"New Mexico","35","conus",TRUE,2109233,2130256,54241,5272,61085,6727,-6844,8546.73,FALSE,25.716,28.9608,-3.24478,24,30,172219,11340,3685,5.37636,10844,1094103,16645,51.3602,795972,37.3651,238020,11338,11.1733,1239,0.058162,922,34.6078,-106.332,341.057,269.549
"New York","36","conus",TRUE,19665817,19867248,285304,14460,415449,18304,-130145,23326.6,TRUE,14.5076,21.1254,-6.61783,44,47,1381992,169541,11106,8.6211,167914,12234137,45335,61.5794,2497469,12.5708,4897143,43017,24.6493,231192,1.16368,7307,41.4718,-74.5908,823.302,434.03
"North Carolina","37","conus",TRUE,10921083,11046024,299782,14105,241195,15896,58587,21251.7,TRUE,27.4498,22.0853,5.36458,47,46,945773,86461,10108,7.91689,85629,5796787,34620,52.4785,3998314,36.1969,1202392,23720,10.8853,41922,0.379521,6609,35.5387,-79.675,769.863,301.607
"North Dakota","38","conus",TRUE,787926,796568,27348,3869,21106,2877,6242,4821.44,TRUE,34.7088,26.7868,7.92206,15,16,77964,5699,2430,7.23291,5549,480241,8039,60.2888,266520,33.4585,48584,5381,6.09917,584,0.0733145,639,47.3395,-99.445,462.023,516.483
"Ohio","39","conus",TRUE,11759272,11883304,197890,10555,177575,11526,20315,15628.7,TRUE,16.8284,15.1008,1.72757,45,44,1131337,54262,6604,4.6144,53617,8825863,29928,74.2711,2283081,19.2125,730599,19674,6.14811,42062,0.353959,1699,40.4386,-82.7969,706.651,391.461
"Oklahoma","40","conus",TRUE,4049509,4095393,107523,7142,73623,7485,33900,10345.7,TRUE,26.5521,18.1807,8.37139,36,34,440056,21735,4351,5.36732,21450,2419460,15868,59.0776,1358037,33.1601,309761,9641,7.56365,5664,0.138302,2471,35.6069,-96.8542,495.088,280.563
"Oregon","41","conus",TRUE,4236108,4272371,118547,8898,112955,8852,5592,12551.2,FALSE,27.9849,26.6648,1.32008,36,36,408402,23558,5041,5.56124,23558,1941659,19238,45.4469,1844852,43.181,479184,12672,11.2159,1590,0.0372159,5086,44.7535,-122.588,138.167,516.375
"Pennsylvania","42","conus",TRUE,12953158,13078751,234593,14143,251701,12352,-17108,18777.5,FALSE,18.1109,19.4316,-1.32076,46,51,1006480,63878,8252,4.93146,60469,9101777,37353,69.5921,2647322,20.2414,1187294,32290,9.07804,140233,1.07222,2125,40.4435,-76.9652,793.03,406.353
"Puerto Rico","72","pr",FALSE,3188457,3203295,24476,3864,38257,5631,-13781,6829.25,TRUE,7.67644,11.9986,-4.32215,11,17,131375,5778,2093,1.81216,5778,2938033,13089,91.7191,167144,5.21788,95279,8094,2.97441,0,0,950,18.2829,-66.3489,442.574,55.2778
