"congress","year","chamber","state","district_code","bioname","party","dim1","dim2"
46,1879,"House","NY",27,"LAPHAM, Elbridge Gerry","Republican",0.447,-0.285
46,1879,"House","MI",6,"BREWER, Mark Spencer","Republican",0.442,0.29
46,1879,"House","NH",3,"FARR, Evarts Worcester","Republican",0.442,0.136
46,1879,"House","WI",2,"CASWELL, Lucien Bonaparte","Republican",0.442,-0.027
46,1879,"House","PA",15,"OVERTON, Edward, Jr.","Republican",0.44,-0.263
46,1879,"House","NJ",7,"BRIGHAM, Lewis Alexander","Republican",0.439,-0.1
46,1879,"House","CT",3,"WAIT, John Turner","Republican",0.437,-0.494
46,1879,"House","ME",3,"LINDSEY, Stephen Decatur","Republican",0.433,-0.453
46,1879,"House","NY",33,"VAN AERNAM, Henry","Republican",0.433,-0.021
46,1879,"House","OH",18,"UPDEGRAFF, Jonathan Taylor","Republican",0.429,0.108
46,1879,"House","IL",5,"HAWK, Robert Moffett Allison","Republican",0.426,0.192
46,1879,"House","NY",17,"WOOD, Walter Abbott","Republican",0.426,-0.241
46,1879,"House","OH",12,"NEAL, Henry Safford","Republican",0.425,0.394
46,1879,"House","OH",20,"TOWNSEND, Amos","Republican",0.425,-0.228
46,1879,"House","MA",8,"CLAFLIN, William","Republican",0.424,-0.536
46,1879,"House","MI",9,"HUBBELL, Jay Abel","Republican",0.42,0.057
46,1879,"House","OH",2,"YOUNG, Thomas Lowry","Republican",0.417,-0.021
46,1879,"House","PA",16,"MITCHELL, John Inscho","Republican",0.415,-0.277
46,1879,"House","IL",2,"DAVIS, George Royal","Republican",0.412,-0.047
46,1879,"House","PA",18,"FISHER, Horatio Gates","Republican",0.411,-0.236
46,1879,"House","IL",14,"CANNON, Joseph Gurney","Republican",0.41,0.281
46,1879,"House","MA",2,"HARRIS, Benjamin Winslow","Republican",0.41,-0.601
46,1879,"House","IL",3,"BARBER, Hiram, Jr.","Republican",0.409,-0.004
46,1879,"House","MA",9,"RICE, William Whitney","Republican",0.407,-0.677
46,1879,"House","OH",16,"McKINLEY, William, Jr.","Republican",0.405,-0.051
46,1879,"House","NJ",5,"VOORHIS, Charles Henry","Republican",0.404,-0.275
46,1879,"House","NJ",1,"ROBESON, George Maxwell","Republican",0.401,-0.064
46,1879,"House","PA",24,"SHALLENBERGER, William Shadrack","Republican",0.401,0.024
46,1879,"House","RI",1,"ALDRICH, Nelson Wilmarth","Republican",0.401,-0.811
46,1879,"House","MA",1,"CRAPO, William Wallace","Republican",0.399,-0.67
46,1879,"House","NE",1,"VALENTINE, Edward Kimble","Republican",0.399,0.273
46,1879,"House","NY",25,"HISCOCK, Frank","Republican",0.399,-0.546
46,1879,"House","WI",8,"POUND, Thaddeus Coleman","Republican",0.398,-0.009
46,1879,"House","IA",5,"CLARK, Rush","Republican",0.397,0.16
46,1879,"House","PA",2,"O'NEILL, Charles","Republican",0.396,-0.147
46,1879,"House","MI",2,"WILLITS, Edwin","Republican",0.394,-0.09
46,1879,"House","NJ",6,"BLAKE, John Lauris","Republican",0.394,-0.294
46,1879,"House","IL",7,"HAYES, Philip Cornelius","Republican",0.393,0.266
46,1879,"House","PA",4,"KELLEY, William Darrah","Republican",0.391,0.168
46,1879,"House","NY",31,"CROWLEY, Richard","Republican",0.39,-0.722
46,1879,"House","NY",14,"FERDON, John William","Republican",0.39,-0.274
46,1879,"House","NY",29,"RICHARDSON, David Plunket","Republican",0.39,-0.019
46,1879,"House","MA",10,"NORCROSS, Amasa","Republican",0.389,-0.539
46,1879,"House","IL",18,"THOMAS, John Robert","Republican",0.388,0.3
46,1879,"House","OH",17,"MONROE, James","Republican",0.388,-0.653
46,1879,"House","IL",4,"SHERWIN, John Crocker","Republican",0.387,0.043
46,1879,"House","ME",2,"FRYE, William Pierce","Republican",0.387,-0.432
46,1879,"House","NH",1,"HALL, Joshua Gilman","Republican",0.384,0.277
46,1879,"House","IN",5,"BROWNE, Thomas McLelland","Republican",0.383,0.592
46,1879,"House","IA",1,"McCOID, Moses Ayers","Republican",0.381,0.32
46,1879,"House","IA",8,"SAPP, William Fletcher","Republican",0.379,0.402
46,1879,"House","IL",10,"MARSH, Benjamin Franklin","Republican",0.377,0.778
46,1879,"House","WI",1,"WILLIAMS, Charles Grandison","Republican",0.372,-0.156
46,1879,"House","CA",2,"PAGE, Horace Francis","Republican",0.371,-0.139
46,1879,"House","NV",1,"DAGGETT, Rollin Mallory","Republican",0.364,0.894
46,1879,"House","NY",24,"MASON, Joseph","Republican",0.361,-0.617
46,1879,"House","WI",3,"HAZELTON, George Cochrane","Republican",0.358,-0.013
46,1879,"House","KS",3,"RYAN, Thomas","Republican",0.355,0.562
46,1879,"House","PA",5,"HARMER, Alfred Crout","Republican",0.355,-0.156
46,1879,"House","MI",7,"CONGER, Omar Dwight","Republican",0.354,-0.016
46,1879,"House","CA",4,"PACHECO, Romualdo","Republican",0.353,-0.092
46,1879,"House","MA",6,"LORING, George Bailey","Republican",0.352,-0.685
46,1879,"House","NY",16,"BAILEY, John Mosher","Republican",0.351,-0.49
46,1879,"House","IA",2,"PRICE, Hiram","Republican",0.346,-0.229
46,1879,"House","NY",23,"PRESCOTT, Cyrus Dan","Republican",0.345,0.122
46,1879,"House","NY",22,"MILLER, Warner","Republican",0.342,-0.26
46,1879,"House","IL",6,"HENDERSON, Thomas Jefferson","Republican",0.339,0.217
46,1879,"House","NY",8,"McCOOK, Anson George","Republican",0.336,-0.471
46,1879,"House","FL",2,"BISBEE, Horatio, Jr.","Republican",0.335,-0.459
46,1879,"House","OH",1,"BUTTERWORTH, Benjamin","Republican",0.328,-0.151
46,1879,"House","CA",1,"DAVIS, Horace","Republican",0.325,-0.234
46,1879,"House","NY",30,"VAN VOORHIS, John","Republican",0.325,-0.301
46,1879,"House","TN",2,"HOUK, Leonidas Campbell","Republican",0.325,0.048
46,1879,"House","IN",10,"CALKINS, William Henry","Republican",0.323,0.491
46,1879,"House","KS",2,"HASKELL, Dudley Chase","Republican",0.32,0.469
46,1879,"House","IA",3,"UPDEGRAFF, Thomas","Republican",0.315,0.345
46,1879,"House","MD",6,"URNER, Milton George","Republican",0.31,-0.018
46,1879,"House","PA",23,"BAYNE, Thomas McKee","Republican",0.309,0.022
46,1879,"House","PA",9,"SMITH, Abraham Herr","Republican",0.309,-0.369
46,1879,"House","MA",11,"ROBINSON, George Dexter","Republican",0.307,-0.531
46,1879,"House","CT",1,"HAWLEY, Joseph Roswell","Republican",0.304,-0.753
46,1879,"House","KS",1,"ANDERSON, John Alexander","Republican",0.299,0.954
46,1879,"House","IN",13,"BAKER, John Harris","Republican",0.297,0.513
46,1879,"House","NY",13,"KETCHAM, John Henry","Republican",0.297,-0.083
46,1879,"House","MN",1,"DUNNELL, Mark Hill","Republican",0.295,0.169
46,1879,"House","OH",19,"GARFIELD, James Abram","Republican",0.292,-0.325
46,1879,"House","IL",9,"BOYD, Thomas Alexander","Republican",0.29,0.117
46,1879,"House","MA",3,"FIELD, Walbridge Abner","Republican",0.283,-0.872
46,1879,"House","NY",11,"MORTON, Levi Parsons","Republican",0.281,-0.392
46,1879,"House","MN",3,"WASHBURN, William Drew","Republican",0.263,-0.26
46,1879,"House","VA",4,"JORGENSEN, Joseph","Republican",0.245,-0.19
46,1879,"House","PA",26,"DICK, Samuel Bernard","Republican",0.243,-0.499
46,1879,"House","NY",7,"EINSTEIN, Edwin","Republican",0.241,-0.566
46,1879,"House","IN",9,"ORTH, Godlove Stein","Republican",0.233,-0.59
46,1879,"House","NY",3,"CHITTENDEN, Simeon Baldwin","Republican",0.223,-0.812
46,1879,"House","NC",1,"MARTIN, Joseph John","Republican",0.193,0.154
46,1879,"House","CO",1,"BELFORD, James Burns","Republican",0.178,0.237
46,1879,"House","IL",8,"FORT, Greenbury Lafayette","Republican",0.166,0.244
46,1879,"House","PA",14,"KILLINGER, John Weinland","Republican",0.143,-0.237
46,1879,"House","MA",4,"MORSE, Leopold","Democrat",-0.117,-0.993
46,1879,"House","IL",13,"STEVENSON, Adlai Ewing","Democrat",-0.165,0.874
46,1879,"House","PA",17,"COFFROTH, Alexander Hamilton","Democrat",-0.185,0.234
46,1879,"House","GA",8,"STEPHENS, Alexander Hamilton","Democrat",-0.2,0.591
46,1879,"House","MO",2,"WELLS, Erastus","Democrat",-0.205,-0.108
46,1879,"House","PA",19,"BELTZHOOVER, Frank Eckels","Democrat",-0.206,-0.541
46,1879,"House","CT",2,"PHELPS, James","Democrat",-0.208,-0.092
46,1879,"House","NY",4,"BLISS, Archibald Meserole","Democrat",-0.21,-0.978
46,1879,"House","PA",13,"RYON, John Walker","Democrat",-0.216,-0.049
46,1879,"House","WI",4,"DEUSTER, Peter Victor","Democrat",-0.224,-0.288
46,1879,"House","PA",21,"WISE, Morgan Ringland","Democrat",-0.229,0.017
46,1879,"House","IN",4,"NEW, Jeptha Dudley","Democrat",-0.232,0.201
46,1879,"House","WI",6,"BOUCK, Gabriel","Democrat",-0.233,0.172
46,1879,"House","NY",1,"COVERT, James Way","Democrat",-0.236,-0.972
46,1879,"House","NY",32,"SCOVILLE, Jonathan","Democrat",-0.236,-0.487
46,1879,"House","IN",3,"BICKNELL, George Augustus","Democrat",-0.244,-0.055
46,1879,"House","OH",15,"GEDDES, George Washington","Democrat",-0.251,0.481
46,1879,"House","LA",3,"ACKLEN, Joseph Hayes","Democrat",-0.256,-0.165
46,1879,"House","OH",13,"WARNER, Adoniram Judson","Democrat",-0.256,0.123
46,1879,"House","PA",11,"KLOTZ, Robert","Democrat",-0.261,-0.181
46,1879,"House","PA",10,"BACHMAN, Reuben Knecht","Democrat",-0.265,-0.363
46,1879,"House","NY",9,"WOOD, Fernando","Democrat",-0.27,-0.371
46,1879,"House","OH",5,"LE FEVRE, Benjamin","Democrat",-0.281,0.436
46,1879,"House","OH",10,"EWING, Thomas","Democrat",-0.282,0.139
46,1879,"House","MD",4,"McLANE, Robert Milligan","Democrat",-0.286,0.014
46,1879,"House","IN",6,"MYERS, William Ralph","Democrat",-0.287,0.558
46,1879,"House","OH",6,"HILL, William David","Democrat",-0.287,-0.05
46,1879,"House","IL",19,"TOWNSHEND, Richard Wellington","Democrat",-0.294,0.622
46,1879,"House","WV",1,"WILSON, Benjamin","Democrat",-0.294,-0.033
46,1879,"House","SC",1,"RICHARDSON, John Smythe","Democrat",-0.297,0.051
46,1879,"House","NJ",4,"CLARK, Alvah Augustus","Democrat",-0.298,-0.63
46,1879,"House","MD",2,"TALBOTT, Joshua Frederick Cockey","Democrat",-0.299,-0.478
46,1879,"House","PA",3,"RANDALL, Samuel Jackson","Democrat",-0.3,-0.051
46,1879,"House","OH",9,"CONVERSE, George Leroy","Democrat",-0.306,0.006
46,1879,"House","SC",3,"AIKEN, David Wyatt","Democrat",-0.308,-0.075
46,1879,"House","PA",8,"CLYMER, Hiester","Democrat",-0.314,-0.357
46,1879,"House","MS",6,"CHALMERS, James Ronald","Democrat",-0.316,0.295
46,1879,"House","NJ",2,"SMITH, Hezekiah Bradley","Democrat",-0.317,-0.236
46,1879,"House","LA",5,"KING, John Floyd","Democrat",-0.318,-0.276
46,1879,"House","NY",5,"MULLER, Nicholas","Democrat",-0.32,-0.737
46,1879,"House","LA",2,"ELLIS, Ezekiel John","Democrat",-0.321,-0.368
46,1879,"House","MO",13,"BUCKNER, Aylett Hawes","Democrat",-0.324,-0.093
46,1879,"House","IL",12,"SPRINGER, William McKendree","Democrat",-0.325,0.186
46,1879,"House","TX",6,"UPSON, Christopher Columbus","Democrat",-0.327,-0.099
46,1879,"House","NY",6,"COX, Samuel Sullivan","Democrat",-0.332,-0.268
46,1879,"House","OH",11,"DICKEY, Henry Luther","Democrat",-0.34,0.031
46,1879,"House","LA",6,"ROBERTSON, Edward White","Democrat",-0.341,-0.084
46,1879,"House","IL",11,"SINGLETON, James Washington","Democrat",-0.344,0.263
46,1879,"House","IN",12,"COLERICK, Walpole Gillespie","Democrat",-0.345,0.826
46,1879,"House","OH",14,"ATHERTON, Gibson","Democrat",-0.345,0.221
46,1879,"House","NC",1,"YEATES, Jesse Johnson","Democrat",-0.35,0.055
46,1879,"House","WI",5,"BRAGG, Edward Stuyvesant","Democrat",-0.352,-0.205
46,1879,"House","MN",2,"POEHLER, Henry","Democrat",-0.355,-0.456
46,1879,"House","MD",3,"KIMMEL, William","Democrat",-0.359,-0.469
46,1879,"House","VA",9,"RICHMOND, James Buchanan","Democrat",-0.36,0.165
46,1879,"House","MO",6,"WADDILL, James Richard","Democrat",-0.361,0.179
46,1879,"House","NJ",3,"ROSS, Miles","Democrat",-0.361,-0.929
46,1879,"House","CA",3,"BERRY, Campbell Polson","Democrat",-0.362,0.722
46,1879,"House","TN",10,"YOUNG, Hiram Casey","Democrat",-0.362,-0.062
46,1879,"House","LA",1,"GIBSON, Randall Lee","Democrat",-0.363,-0.604
46,1879,"House","IN",8,"HOSTETLER, Abraham Jonathan (Abram)","Democrat",-0.365,0.487
46,1879,"House","OH",3,"McMAHON, John A.","Democrat",-0.365,-0.129
46,1879,"House","OH",8,"FINLEY, Ebenezer Byron","Democrat",-0.368,0.197
46,1879,"House","SC",2,"O'CONNOR, Michael Patrick","Democrat",-0.37,-0.09
46,1879,"House","OH",7,"HURD, Frank Hunt","Democrat",-0.372,-0.928
46,1879,"House","MO",1,"CLARDY, Martin Linn","Democrat",-0.375,-0.031
46,1879,"House","VA",2,"GOODE, John, Jr.","Democrat",-0.375,-0.115
46,1879,"House","NY",12,"HUTCHINS, Waldo","Democrat",-0.378,-0.428
46,1879,"House","GA",1,"NICHOLLS, John Calhoun","Democrat",-0.382,-0.186
46,1879,"House","SC",5,"TILLMAN, George Dionysius","Democrat",-0.391,-0.261
46,1879,"House","WV",3,"KENNA, John Edward","Democrat",-0.392,-0.122
46,1879,"House","AR",4,"GUNTER, Thomas Montague","Democrat",-0.393,0.14
46,1879,"House","MO",12,"HATCH, William Henry","Democrat",-0.395,0.312
46,1879,"House","DE",1,"MARTIN, Edward Livingston","Democrat",-0.397,-0.637
46,1879,"House","MO",3,"FROST, Richard Graham","Democrat",-0.398,-0.14
46,1879,"House","IL",17,"MORRISON, William Ralls","Democrat",-0.402,-0.426
46,1879,"House","MD",5,"HENKLE, Eli Jones","Democrat",-0.403,-0.252
46,1879,"House","WV",2,"MARTIN, Benjamin Franklin","Democrat",-0.403,0.131
46,1879,"House","IN",2,"COBB, Thomas Reed","Democrat",-0.406,0.44
46,1879,"House","VA",6,"TUCKER, John Randolph","Democrat",-0.406,-0.328
46,1879,"House","AL",4,"SHELLEY, Charles Miller","Democrat",-0.408,-0.333
46,1879,"House","MD",1,"HENRY, Daniel Maynadier","Democrat",-0.408,-0.463
46,1879,"House","NC",8,"VANCE, Robert Brank","Democrat",-0.408,0.221
46,1879,"House","SC",4,"EVINS, John Hamilton","Democrat",-0.412,-0.396
46,1879,"House","VA",8,"HUNTON, Eppa","Democrat",-0.416,-0.007
46,1879,"House","TN",5,"BRIGHT, John Morgan","Democrat",-0.422,0.097
46,1879,"House","MO",10,"ROTHWELL, Gideon Frank","Democrat",-0.423,0.389
46,1879,"House","VA",1,"BEALE, Richard Lee Turberville","Democrat",-0.425,-0.022
46,1879,"House","TX",2,"CULBERSON, David Browning","Democrat",-0.428,0.073
46,1879,"House","AR",2,"SLEMONS, William Ferguson","Democrat",-0.429,0.126
46,1879,"House","TN",1,"TAYLOR, Robert Love","Democrat",-0.431,-0.169
46,1879,"House","KY",5,"WILLIS, Albert Shelby","Democrat",-0.435,0.027
46,1879,"House","MS",3,"MONEY, Hernando De Soto","Democrat",-0.435,-0.222
46,1879,"House","MS",4,"SINGLETON, Otho Robards","Democrat",-0.435,0.123
46,1879,"House","TN",6,"HOUSE, John Ford","Democrat",-0.435,0.295
46,1879,"House","VA",7,"HARRIS, John Thomas","Democrat",-0.435,-0.048
46,1879,"House","MO",5,"BLAND, Richard Parks","Democrat",-0.439,0.203
46,1879,"House","KY",10,"PHISTER, Elijah Conner","Democrat",-0.441,0.079
46,1879,"House","AR",3,"CRAVENS, Jordan Edgar","Democrat",-0.442,-0.127
46,1879,"House","FL",2,"HULL, Noble Andrew","Democrat",-0.443,-0.069
46,1879,"House","MS",1,"MULDROW, Henry Lowndes","Democrat",-0.45,0.082
46,1879,"House","AR",1,"DUNN, Poindexter","Democrat",-0.454,-0.061
46,1879,"House","AL",6,"LEWIS, Burwell Boykin","Democrat",-0.455,-0.074
46,1879,"House","MS",5,"HOOKER, Charles Edward","Democrat",-0.457,-0.182
46,1879,"House","IL",16,"SPARKS, William Andrew Jackson","Democrat",-0.458,0.292
46,1879,"House","GA",6,"BLOUNT, James Henderson","Democrat",-0.459,-0.083
46,1879,"House","NC",4,"DAVIS, Joseph Jonathan","Democrat",-0.463,0.157
46,1879,"House","OR",1,"WHITEAKER, John","Democrat",-0.465,-0.214
46,1879,"House","MS",2,"MANNING, Vannoy Hartrog (Van)","Democrat",-0.466,-0.003
46,1879,"House","FL",1,"DAVIDSON, Robert Hamilton McWhorta","Democrat",-0.468,-0.196
46,1879,"House","TX",4,"MILLS, Roger Quarles","Democrat",-0.471,0
46,1879,"House","GA",2,"SMITH, William Ephraim","Democrat",-0.474,-0.076
46,1879,"House","LA",4,"ELAM, Joseph Barton","Democrat",-0.477,0.123
46,1879,"House","KY",8,"THOMPSON, Philip Burton, Jr.","Democrat",-0.483,0.158
46,1879,"House","MO",4,"DAVIS, Lowndes Henry","Democrat",-0.483,0.313
46,1879,"House","VA",3,"JOHNSTON, Joseph Eggleston","Democrat",-0.485,-0.476
46,1879,"House","KY",9,"TURNER, Thomas","Democrat",-0.487,0.408
46,1879,"House","TN",7,"WHITTHORNE, Washington Curran","Democrat",-0.49,-0.014
46,1879,"House","KY",6,"CARLISLE, John Griffin","Democrat",-0.491,-0.456
46,1879,"House","AL",2,"HERBERT, Hilary Abner","Democrat",-0.492,-0.346
46,1879,"House","MO",11,"CLARK, John Bullock, Jr.","Democrat",-0.499,0.15
46,1879,"House","TX",1,"REAGAN, John Henninger","Democrat",-0.5,0.041
46,1879,"House","TN",8,"ATKINS, John DeWitt Clinton","Democrat",-0.501,-0.053
46,1879,"House","GA",3,"COOK, Philip","Democrat",-0.502,-0.108
46,1879,"House","TN",9,"SIMONTON, Charles Bryson","Democrat",-0.507,0.099
46,1879,"House","AL",7,"FORNEY, William Henry","Democrat",-0.51,-0.006
46,1879,"House","AL",5,"WILLIAMS, Thomas","Democrat",-0.513,0.152
46,1879,"House","GA",5,"HAMMOND, Nathaniel Job","Democrat",-0.524,-0.17
46,1879,"House","KY",7,"BLACKBURN, Joseph Clay Stiles","Democrat",-0.53,-0.04
46,1879,"House","TX",3,"WELLBORN, Olin","Democrat",-0.537,0.158
46,1879,"House","NY",15,"LOUNSBERY, William","Democrat",-0.54,-0.842
46,1879,"House","AL",1,"HERNDON, Thomas Hord","Democrat",-0.542,-0.566
46,1879,"House","KY",2,"McKENZIE, James Andrew","Democrat",-0.542,0.596
46,1879,"House","KY",4,"KNOTT, James Proctor","Democrat",-0.548,-0.124
46,1879,"House","KY",3,"CALDWELL, John William","Democrat",-0.554,0.334
46,1879,"House","NC",5,"SCALES, Alfred Moore","Democrat",-0.563,-0.207
46,1879,"House","TN",3,"DIBRELL, George Gibbs","Democrat",-0.563,0.28
46,1879,"House","MO",7,"PHILIPS, John Finis","Democrat",-0.567,0.112
46,1879,"House","VA",5,"CABELL, George Craighead","Democrat",-0.572,0.168
46,1879,"House","NC",2,"KITCHIN, William Hodges","Democrat",-0.574,0.146
46,1879,"House","NC",6,"STEELE, Walter Leak","Democrat",-0.574,0.163
46,1879,"House","TN",4,"McMILLIN, Benton","Democrat",-0.586,0.228
46,1879,"House","NC",7,"ARMFIELD, Robert Franklin","Democrat",-0.604,-0.202
46,1879,"House","AL",3,"SAMFORD, William James","Democrat",-0.617,0.297
46,1879,"House","AL",6,"CLEMENTS, Newton Nash","Democrat",-0.672,0.217
46,1879,"Senate","MI",0,"CHANDLER, Zachariah","Republican",0.601,0.059
46,1879,"Senate","NH",0,"BELL, Charles Henry","Republican",0.554,-0.832
46,1879,"Senate","CT",0,"PLATT, Orville Hitchcock","Republican",0.433,-0.901
46,1879,"Senate","MN",0,"McMILLAN, Samuel James Renwick","Republican",0.422,-0.096
46,1879,"Senate","NH",0,"BLAIR, Henry William","Republican",0.384,-0.314
46,1879,"Senate","NE",0,"SAUNDERS, Alvin","Republican",0.369,0.631
46,1879,"Senate","CO",0,"HILL, Nathaniel Peter","Republican",0.366,0.264
46,1879,"Senate","MI",0,"BALDWIN, Henry Porter","Republican",0.345,-0.194
46,1879,"Senate","MA",0,"HOAR, George Frisbie","Republican",0.329,-0.394
46,1879,"Senate","NH",0,"ROLLINS, Edward Henry","Republican",0.325,-0.327
46,1879,"Senate","MN",0,"WINDOM, William","Republican",0.319,-0.065
46,1879,"Senate","MI",0,"FERRY, Thomas White","Republican",0.315,0.134
46,1879,"Senate","IA",0,"ALLISON, William Boyd","Republican",0.314,-0.187
46,1879,"Senate","MS",0,"BRUCE, Blanche Kelso","Republican",0.314,0.936
46,1879,"Senate","WI",0,"CAMERON, Angus","Republican",0.314,0.13
46,1879,"Senate","VT",0,"MORRILL, Justin Smith","Republican",0.311,-0.773
46,1879,"Senate","NY",0,"CONKLING, Roscoe","Republican",0.306,-0.39
46,1879,"Senate","RI",0,"ANTHONY, Henry Bowen","Republican",0.286,-0.725
46,1879,"Senate","MA",0,"DAWES, Henry Laurens","Republican",0.285,-0.243
46,1879,"Senate","VT",0,"EDMUNDS, George Franklin","Republican",0.274,-0.962
46,1879,"Senate","WI",0,"CARPENTER, Matthew Hale","Republican",0.273,0.128
46,1879,"Senate","IA",0,"KIRKWOOD, Samuel Jordan","Republican",0.27,0.282
46,1879,"Senate","ME",0,"BLAINE, James Gillespie","Republican",0.269,0.106
46,1879,"Senate","NE",0,"PADDOCK, Algernon Sidney","Republican",0.248,0.542
46,1879,"Senate","LA",0,"KELLOGG, William Pitt","Republican",0.245,0.729
46,1879,"Senate","RI",0,"BURNSIDE, Ambrose Everett","Republican",0.218,-0.323
46,1879,"Senate","IL",0,"LOGAN, John Alexander","Republican",0.215,0.336
46,1879,"Senate","PA",0,"CAMERON, James Donald","Republican",0.214,0.139
46,1879,"Senate","NV",0,"JONES, John Percival","Republican",0.204,0.232
46,1879,"Senate","KS",0,"INGALLS, John James","Republican",0.196,0.429
46,1879,"Senate","KS",0,"PLUMB, Preston B.","Republican",0.196,0.826
46,1879,"Senate","ME",0,"HAMLIN, Hannibal","Republican",0.195,-0.981
46,1879,"Senate","NV",0,"SHARON, William","Republican",0.163,0.486
46,1879,"Senate","CO",0,"TELLER, Henry Moore","Republican",0.161,0.485
46,1879,"Senate","CA",0,"BOOTH, Newton","Republican",0.104,-0.118
46,1879,"Senate","IN",0,"McDONALD, Joseph Ewing","Democrat",-0.296,-0.144
46,1879,"Senate","GA",0,"BROWN, Joseph Emerson","Democrat",-0.312,-0.486
46,1879,"Senate","IN",0,"VOORHEES, Daniel Wolsey","Democrat",-0.313,0.143
46,1879,"Senate","GA",0,"HILL, Benjamin Harvey","Democrat",-0.323,-0.181
46,1879,"Senate","FL",0,"JONES, Charles William","Democrat",-0.353,0.055
46,1879,"Senate","AR",0,"GARLAND, Augustus Hill","Democrat",-0.365,0.298
46,1879,"Senate","NY",0,"KERNAN, Francis","Democrat",-0.365,-0.853
46,1879,"Senate","CT",0,"EATON, William Wallace","Democrat",-0.37,-0.764
46,1879,"Senate","MS",0,"LAMAR, Lucius Quintus Cincinnatus","Democrat",-0.374,-0.013
46,1879,"Senate","OH",0,"THURMAN, Allen Granberry","Democrat",-0.374,-0.246
46,1879,"Senate","GA",0,"GORDON, John Brown","Democrat",-0.376,0.145
46,1879,"Senate","NJ",0,"McPHERSON, John Rhoderic","Democrat",-0.387,-0.885
46,1879,"Senate","FL",0,"CALL, Wilkinson","Democrat",-0.397,0.158
46,1879,"Senate","SC",0,"BUTLER, Matthew Calbraith","Democrat",-0.407,-0.285
46,1879,"Senate","NJ",0,"RANDOLPH, Theodore Fitz","Democrat",-0.408,-0.661
46,1879,"Senate","DE",0,"BAYARD, Thomas Francis, Sr.","Democrat",-0.412,-0.656
46,1879,"Senate","NC",0,"RANSOM, Matt Whitaker","Democrat",-0.417,-0.086
46,1879,"Senate","WV",0,"DAVIS, Henry Gassaway","Democrat",-0.419,-0.438
46,1879,"Senate","VA",0,"JOHNSTON, John Warfield","Democrat",-0.42,0.069
46,1879,"Senate","MD",0,"GROOME, James Black","Democrat",-0.423,-0.546
46,1879,"Senate","OH",0,"PENDLETON, George Hunt","Democrat",-0.423,-0.149
46,1879,"Senate","MD",0,"WHYTE, William Pinkney","Democrat",-0.425,-0.815
46,1879,"Senate","AL",0,"MORGAN, John Tyler","Democrat",-0.43,-0.22
46,1879,"Senate","AL",0,"PUGH, James Lawrence","Democrat",-0.437,0.078
