"county_fips","state_name","county_name","total_votes_20","total_votes_24","r20","r24","swing","flipped"
"01095","Alabama","Marshall County",39655,40277,84.81,86.11,1.3,FALSE
"01097","Alabama","Mobile County",183164,174545,56.02,58.3,2.28,FALSE
"01099","Alabama","Monroe County",10668,9799,57.98,61.63,3.65,FALSE
"01101","Alabama","Montgomery County",99139,89375,34.05,34.47,0.42,FALSE
"01103","Alabama","Morgan County",53722,53369,74.98,76.55,1.57,FALSE
"01105","Alabama","Perry County",5230,4457,25.75,28.56,2.81,FALSE
"01107","Alabama","Pickens County",9668,8898,58.17,61.73,3.56,FALSE
"01109","Alabama","Pike County",13841,13214,58.8,62.67,3.87,FALSE
"01111","Alabama","Randolph County",10837,11075,79.53,82.58,3.05,FALSE
"01113","Alabama","Russell County",21329,20679,46.77,49.16,2.39,FALSE
"01115","Alabama","St. Clair County",44441,43440,82.36,82.29,-0.07,FALSE
"01117","Alabama","Shelby County",114950,114043,70.55,70.66,0.11,FALSE
"01119","Alabama","Sumter County",6291,5297,25.58,29.28,3.7,FALSE
"01121","Alabama","Talladega County",35663,33175,62.86,66.97,4.11,FALSE
"01123","Alabama","Tallapoosa County",20991,19980,71.86,74.95,3.09,FALSE
"01125","Alabama","Tuscaloosa County",90172,84879,57.51,60.3,2.79,FALSE
"01127","Alabama","Walker County",31170,29747,84.32,86.13,1.81,FALSE
"01129","Alabama","Washington County",8876,8430,74.4,77.81,3.41,FALSE
"01131","Alabama","Wilcox County",5903,5260,31.17,34.2,3.03,FALSE
"01133","Alabama","Winston County",11284,11129,91.28,92.02,0.74,FALSE
"04001","Arizona","Apache County",35183,32019,32.94,40.4,7.46,FALSE
"04003","Arizona","Cochise County",60473,58923,59.97,61.71,1.74,FALSE
"04005","Arizona","Coconino County",73346,70067,37.7,39.92,2.22,FALSE
"04007","Arizona","Gila County",27678,27648,67.27,68.97,1.7,FALSE
"04009","Arizona","Graham County",14996,15183,72.71,74.3,1.59,FALSE
"04011","Arizona","Greenlee County",3688,3308,67.3,70.75,3.45,FALSE
"04012","Arizona","La Paz County",7460,7624,69.64,72.25,2.61,FALSE
"04013","Arizona","Maricopa County",2069475,2053945,48.89,51.76,2.87,TRUE
"04015","Arizona","Mohave County",104705,110450,75.98,78.06,2.08,FALSE
"04017","Arizona","Navajo County",51783,50706,54.19,58.69,4.5,FALSE
"04019","Arizona","Pima County",520735,513176,40.52,42.33,1.81,FALSE
"04021","Arizona","Pinal County",185037,209552,58.77,61.14,2.37,FALSE
"04023","Arizona","Santa Cruz County",19561,19121,32.04,40.6,8.56,FALSE
"04025","Arizona","Yavapai County",143280,149402,64.85,67.1,2.25,FALSE
"04027","Arizona","Yuma County",69926,68195,53.15,60.3,7.15,FALSE
"05001","Arkansas","Arkansas County",6292,5547,70.3,72.44,2.14,FALSE
"05003","Arkansas","Ashley County",7926,7030,72.31,74.36,2.05,FALSE
"05005","Arkansas","Baxter County",21007,20954,77.36,78.92,1.56,FALSE
"05007","Arkansas","Benton County",119912,128595,63.65,63.86,0.21,FALSE
"05009","Arkansas","Boone County",17114,17112,81.67,83.03,1.36,FALSE
"05011","Arkansas","Bradley County",3654,3209,65.79,69.72,3.93,FALSE
"05013","Arkansas","Calhoun County",2182,2092,77.35,81.54,4.19,FALSE
"05015","Arkansas","Carroll County",11797,11538,64.86,66.21,1.35,FALSE
"05017","Arkansas","Chicot County",4103,3490,43.67,48,4.33,FALSE
"05019","Arkansas","Clark County",8395,7657,57.31,60.47,3.16,FALSE
"05021","Arkansas","Clay County",5183,4967,80.94,81.39,0.45,FALSE
"05023","Arkansas","Cleburne County",12680,12739,83.86,84.52,0.66,FALSE
"05025","Arkansas","Cleveland County",3600,3374,81.5,84.25,2.75,FALSE
"05027","Arkansas","Columbia County",8616,7940,66.15,68.52,2.37,FALSE
"05029","Arkansas","Conway County",8685,8541,68.53,70.64,2.11,FALSE
"05031","Arkansas","Craighead County",38511,37242,68.19,69.17,0.98,FALSE
"05033","Arkansas","Crawford County",24091,23834,78.96,79.66,0.7,FALSE
"05035","Arkansas","Crittenden County",16367,14681,46.27,48.84,2.57,FALSE
"05037","Arkansas","Cross County",6942,6534,73.62,74.32,0.7,FALSE
"05039","Arkansas","Dallas County",2649,2324,62.03,65,2.97,FALSE
"05041","Arkansas","Desha County",4164,3505,48.79,52.43,3.64,TRUE
"05043","Arkansas","Drew County",6908,6365,64.19,67.22,3.03,FALSE
"05045","Arkansas","Faulkner County",54428,54465,65.23,66.57,1.34,FALSE
"05047","Arkansas","Franklin County",7129,6971,81.37,81.92,0.55,FALSE
"05049","Arkansas","Fulton County",5119,5043,79.28,81.68,2.4,FALSE
"05051","Arkansas","Garland County",44199,42327,67.42,68.54,1.12,FALSE
"05053","Arkansas","Grant County",8200,8078,84.27,85,0.73,FALSE
"05055","Arkansas","Greene County",16100,15820,80.56,81.13,0.57,FALSE
"05057","Arkansas","Hempstead County",6848,6089,67.65,70.25,2.6,FALSE
"05059","Arkansas","Hot Spring County",12557,12283,74.91,76.6,1.69,FALSE
"05061","Arkansas","Howard County",4834,4473,71.53,73.71,2.18,FALSE
"05063","Arkansas","Independence County",14512,14011,80.04,80.39,0.35,FALSE
"05065","Arkansas","Izard County",5810,5925,81.94,83.65,1.71,FALSE
"05067","Arkansas","Jackson County",5091,4775,72.47,74.79,2.32,FALSE
"05069","Arkansas","Jefferson County",25158,21608,38.86,39.81,0.95,FALSE
"05071","Arkansas","Johnson County",9498,9059,75.24,76.25,1.01,FALSE
"05073","Arkansas","Lafayette County",2679,2325,67.68,69.48,1.8,FALSE
"05075","Arkansas","Lawrence County",5857,5692,80.88,82.68,1.8,FALSE
"05077","Arkansas","Lee County",2848,2520,47.47,48.18,0.71,FALSE
"05079","Arkansas","Lincoln County",3875,3372,72.56,75.48,2.92,FALSE
"05081","Arkansas","Little River County",5177,4899,75.19,77.55,2.36,FALSE
"05083","Arkansas","Logan County",8225,8205,80.66,81.77,1.11,FALSE
"05085","Arkansas","Lonoke County",30662,30620,77.39,77.38,-0.01,FALSE
"05087","Arkansas","Madison County",7351,7501,78.35,79.79,1.44,FALSE
"05089","Arkansas","Marion County",7503,7851,79.07,80.58,1.51,FALSE
"05091","Arkansas","Miller County",16529,15803,73.74,75.86,2.12,FALSE
"05093","Arkansas","Mississippi County",12342,10717,61.55,66.08,4.53,FALSE
"05095","Arkansas","Monroe County",2816,2433,57.39,58.02,0.63,FALSE
"05097","Arkansas","Montgomery County",3873,3707,80.65,82.24,1.59,FALSE
"05099","Arkansas","Nevada County",3358,2907,66.47,70.22,3.75,FALSE
"05101","Arkansas","Newton County",3998,3770,81.83,82.63,0.8,FALSE
"05103","Arkansas","Ouachita County",9629,8626,56.99,59.71,2.72,FALSE
"05105","Arkansas","Perry County",4627,4584,77.47,79.41,1.94,FALSE
"05107","Arkansas","Phillips County",6242,4938,40.02,43.24,3.22,FALSE
"05109","Arkansas","Pike County",4246,4358,84.53,86.99,2.46,FALSE
"05111","Arkansas","Poinsett County",7521,7079,80.6,82.27,1.67,FALSE
"05113","Arkansas","Polk County",8490,8288,84.95,85.92,0.97,FALSE
"05115","Arkansas","Pope County",24432,24191,75.8,76.75,0.95,FALSE
"05117","Arkansas","Prairie County",3495,3200,80.99,83.38,2.39,FALSE
"05119","Arkansas","Pulaski County",169956,153924,38.45,38.65,0.2,FALSE
"05121","Arkansas","Randolph County",6812,6636,81.51,82.51,1,FALSE
"05123","Arkansas","St. Francis County",7108,5979,47.36,49.62,2.26,FALSE
"05125","Arkansas","Saline County",56959,57609,71.12,70.52,-0.6,FALSE
"05127","Arkansas","Scott County",3551,3384,85.98,87.27,1.29,FALSE
"05129","Arkansas","Searcy County",4019,3869,85.13,86.61,1.48,FALSE
"05131","Arkansas","Sebastian County",47140,45452,68.29,69.23,0.94,FALSE
"05133","Arkansas","Sevier County",5202,4714,77.68,81.4,3.72,FALSE
"05135","Arkansas","Sharp County",7566,7437,80.94,81.96,1.02,FALSE
"05137","Arkansas","Stone County",5938,6030,79.64,81.53,1.89,FALSE
"05139","Arkansas","Union County",16607,15448,65.23,67.01,1.78,FALSE
"05141","Arkansas","Van Buren County",7807,7621,79.11,80.74,1.63,FALSE
"05143","Arkansas","Washington County",94266,97158,52.01,53.44,1.43,FALSE
"05145","Arkansas","White County",30885,30837,80.18,81.29,1.11,FALSE
"05147","Arkansas","Woodruff County",2476,2318,64.32,66.56,2.24,FALSE
"05149","Arkansas","Yell County",6741,6477,80.28,80.93,0.65,FALSE
"06001","California","Alameda County",769864,669800,18.08,21.99,3.91,FALSE
"06003","California","Alpine County",741,738,33.89,33.66,-0.23,FALSE
"06005","California","Amador County",22302,22402,62.49,64.3,1.81,FALSE
"06007","California","Butte County",102042,94523,49.14,51.61,2.47,TRUE
"06009","California","Calaveras County",27164,26479,62.18,64.42,2.24,FALSE
"06011","California","Colusa County",7951,7021,58.47,64.49,6.02,FALSE
"06013","California","Contra Costa County",581230,528904,26.86,30.37,3.51,FALSE
"06015","California","Del Norte County",11452,10564,58.01,58.44,0.43,FALSE
"06017","California","El Dorado County",116138,111890,54.5,56.16,1.66,FALSE
"06019","California","Fresno County",364809,325994,46.01,52.25,6.24,TRUE
"06021","California","Glenn County",11292,10442,63.87,67.93,4.06,FALSE
"06023","California","Humboldt County",68828,64228,32.72,35.14,2.42,FALSE
"06025","California","Imperial County",56718,54025,37.55,50.44,12.89,TRUE
"06027","California","Inyo County",9481,8951,49.92,51.54,1.62,TRUE
"06029","California","Kern County",305226,283246,55.22,60.8,5.58,FALSE
"06031","California","Kings County",43858,41501,56.28,61.77,5.49,FALSE
"06033","California","Lake County",28800,26759,46.76,50.71,3.95,TRUE
"06035","California","Lassen County",11985,11371,76.22,77.67,1.45,FALSE
"06037","California","Los Angeles County",4263443,3728427,27.44,32.99,5.55,FALSE
"06039","California","Madera County",53722,54624,55.91,60.65,4.74,FALSE
"06041","California","Marin County",155801,144113,16.1,17.16,1.06,FALSE
"06043","California","Mariposa County",10280,9509,59.27,60.83,1.56,FALSE
"06045","California","Mendocino County",43336,39216,31.55,36,4.45,FALSE
"06047","California","Merced County",90541,86392,44.57,52.24,7.67,TRUE
"06049","California","Modoc County",4338,4016,73,74.1,1.1,FALSE
"06051","California","Mono County",6737,6064,38.51,39.44,0.93,FALSE
"06053","California","Monterey County",163883,146718,28.89,34.6,5.71,FALSE
"06055","California","Napa County",72122,65549,29.33,32.02,2.69,FALSE
"06057","California","Nevada County",64738,62132,42.41,43.66,1.25,FALSE
"06059","California","Orange County",1521725,1390965,45.39,48.63,3.24,FALSE
"06061","California","Placer County",235017,234809,53.4,54.38,0.98,FALSE
"06063","California","Plumas County",11256,10067,58.56,58.75,0.19,FALSE
"06065","California","Riverside County",996156,940405,45.94,50.65,4.71,TRUE
"06067","California","Sacramento County",718290,656626,37.05,39.79,2.74,FALSE
"06069","California","San Benito County",28821,27649,37.53,43.53,6,FALSE
"06071","California","San Bernardino County",840931,761714,44.55,51.1,6.55,TRUE
"06073","California","San Diego County",1601722,1477786,38.35,41.35,3,FALSE
"06075","California","San Francisco County",443458,402964,12.98,16.2,3.22,FALSE
"06077","California","San Joaquin County",288443,263671,42.91,50.46,7.55,TRUE
"06079","California","San Luis Obispo County",159681,150766,43.3,44.4,1.1,FALSE
"06081","California","San Mateo County",374138,330510,20.59,23.97,3.38,FALSE
"06083","California","Santa Barbara County",200288,184715,33.59,36.24,2.65,FALSE
"06085","California","Santa Clara County",850522,750433,25.78,29.23,3.45,FALSE
"06087","California","Santa Cruz County",144796,134135,19.08,21.69,2.61,FALSE
"06089","California","Shasta County",92900,88900,66.96,68.7,1.74,FALSE
"06091","California","Sierra County",1930,1754,61,62.45,1.45,FALSE
"06093","California","Siskiyou County",23450,21489,58.08,59.94,1.86,FALSE
"06095","California","Solano County",205831,189834,34.49,38.16,3.67,FALSE
"06097","California","Sonoma County",268252,251426,23.62,26.1,2.48,FALSE
"06099","California","Stanislaus County",214876,197472,49.6,55.63,6.03,TRUE
"06101","California","Sutter County",42640,39336,58.39,66.09,7.7,FALSE
"06103","California","Tehama County",28721,26532,68.23,71.39,3.16,FALSE
"06105","California","Trinity County",6258,5645,52.79,54.88,2.09,FALSE
"06107","California","Tulare County",146832,138271,53.99,60.6,6.61,FALSE
"06109","California","Tuolumne County",30401,28810,59.63,61.2,1.57,FALSE
"06111","California","Ventura County",422698,387595,39.22,42.22,3,FALSE
"06113","California","Yolo County",97264,92589,28.76,31.2,2.44,FALSE
"06115","California","Yuba County",29787,30070,61.15,63.29,2.14,FALSE
"08001","Colorado","Adams County",236735,233336,41.62,45.37,3.75,FALSE
"08003","Colorado","Alamosa County",7808,7519,50.36,55.57,5.21,FALSE
"08005","Colorado","Arapahoe County",350183,325451,37.35,39.65,2.3,FALSE
"08007","Colorado","Archuleta County",9144,9355,58.13,57.2,-0.93,FALSE
"08009","Colorado","Baca County",2225,2004,85.49,85.98,0.49,FALSE
"08011","Colorado","Bent County",2274,2189,67.25,69.87,2.62,FALSE
"08013","Colorado","Boulder County",206111,196150,21.08,21.35,0.27,FALSE
"08014","Colorado","Broomfield County",46632,46817,35.91,35.32,-0.59,FALSE
"08015","Colorado","Chaffee County",13717,14416,46.5,43.02,-3.48,FALSE
"08017","Colorado","Cheyenne County",1136,1055,88.35,89.6,1.25,FALSE
"08019","Colorado","Clear Creek County",6548,6101,43.32,41.45,-1.87,FALSE
"08021","Colorado","Conejos County",4333,4104,53.85,59.17,5.32,FALSE
"08023","Colorado","Costilla County",2094,2080,36.11,42.39,6.28,FALSE
"08025","Colorado","Crowley County",1750,1706,74.41,74.47,0.06,FALSE
"08027","Colorado","Custer County",3634,3867,68.99,68.5,-0.49,FALSE
"08029","Colorado","Delta County",19370,19476,68.96,68.23,-0.73,FALSE
"08031","Colorado","Denver County",393827,363076,18.61,21.16,2.55,FALSE
"08033","Colorado","Dolores County",1449,1419,76.15,76.8,0.65,FALSE
"08035","Colorado","Douglas County",231599,243758,53.68,53.58,-0.1,FALSE
"08037","Colorado","Eagle County",29140,27798,34.73,37.46,2.73,FALSE
"08039","Colorado","Elbert County",18983,20417,75.75,76.13,0.38,FALSE
"08041","Colorado","El Paso County",378849,380813,55.6,55.04,-0.56,FALSE
"08043","Colorado","Fremont County",25557,25467,70.39,69.7,-0.69,FALSE
"08045","Colorado","Garfield County",30904,30372,48.82,48.93,0.11,FALSE
"08047","Colorado","Gilpin County",4186,4129,45.19,43.41,-1.78,FALSE
"08049","Colorado","Grand County",9870,9883,50.9,50.41,-0.49,FALSE
"08051","Colorado","Gunnison County",11190,10939,34.37,34.88,0.51,FALSE
"08053","Colorado","Hinsdale County",632,606,58.06,56.37,-1.69,FALSE
"08055","Colorado","Huerfano County",4406,4438,51.48,54.42,2.94,FALSE
"08057","Colorado","Jackson County",876,834,79.56,78.56,-1,FALSE
"08059","Colorado","Jefferson County",377357,361504,40.46,39.99,-0.47,FALSE
"08061","Colorado","Kiowa County",903,863,89.03,87.94,-1.09,FALSE
"08063","Colorado","Kit Carson County",3871,3698,82.61,84.72,2.11,FALSE
"08065","Colorado","Lake County",3961,3911,39.39,41.45,2.06,FALSE
"08067","Colorado","La Plata County",35667,35681,40.92,40.41,-0.51,FALSE
"08069","Colorado","Larimer County",224338,225482,42.04,40.94,-1.1,FALSE
"08071","Colorado","Las Animas County",7961,7792,55.06,56.92,1.86,FALSE
"08073","Colorado","Lincoln County",2651,2571,81.96,82.87,0.91,FALSE
"08075","Colorado","Logan County",10532,10162,78.48,78.92,0.44,FALSE
"08077","Colorado","Mesa County",90622,91600,64.34,62.45,-1.89,FALSE
"08079","Colorado","Mineral County",756,753,57.39,56.81,-0.58,FALSE
"08081","Colorado","Moffat County",7026,6671,82.5,82.11,-0.39,FALSE
"08083","Colorado","Montezuma County",15500,15136,61.46,60.77,-0.69,FALSE
"08085","Colorado","Montrose County",24922,25617,68.57,66.66,-1.91,FALSE
"08087","Colorado","Morgan County",13744,13458,71.22,74.92,3.7,FALSE
"08089","Colorado","Otero County",9576,8925,61.49,63.57,2.08,FALSE
"08091","Colorado","Ouray County",4020,4098,40.01,39.18,-0.83,FALSE
"08093","Colorado","Park County",12290,12044,58.78,58.51,-0.27,FALSE
"08095","Colorado","Phillips County",2485,2354,80.11,82.09,1.98,FALSE
"08097","Colorado","Pitkin County",11957,11167,23.62,27.39,3.77,FALSE
"08099","Colorado","Prowers County",5561,5144,73.33,75.75,2.42,FALSE
"08101","Colorado","Pueblo County",88299,85107,49.12,52.63,3.51,TRUE
"08103","Colorado","Rio Blanco County",3691,3690,84.51,82.43,-2.08,FALSE
"08105","Colorado","Rio Grande County",6305,6194,59.46,61.88,2.42,FALSE
"08107","Colorado","Routt County",16876,16335,35.89,35.73,-0.16,FALSE
"08109","Colorado","Saguache County",3389,3400,42.86,48.06,5.2,FALSE
"08111","Colorado","San Juan County",563,588,37.13,33.33,-3.8,FALSE
"08113","Colorado","San Miguel County",5147,4804,22.45,24.64,2.19,FALSE
"08115","Colorado","Sedgwick County",1446,1358,78.83,78.74,-0.09,FALSE
"08117","Colorado","Summit County",18479,17542,29.64,30.84,1.2,FALSE
"08119","Colorado","Teller County",16939,16326,68.05,68.19,0.14,FALSE
"08121","Colorado","Washington County",3008,2806,87.55,88.1,0.55,FALSE
"08123","Colorado","Weld County",166968,179854,59.27,60.76,1.49,FALSE
"08125","Colorado","Yuma County",4981,4663,83.95,83.4,-0.55,FALSE
"10001","Delaware","Kent County",87025,88141,47.93,48.98,1.05,FALSE
"10003","Delaware","New Castle County",287633,275917,31.18,33.46,2.28,FALSE
"10005","Delaware","Sussex County",129352,147639,55.69,55.55,-0.14,FALSE
"11001","District of Columbia","District of Columbia",344356,40463,5.53,5.28,-0.25,FALSE
"12001","Florida","Alachua County",142604,136548,36.23,39.35,3.12,FALSE
"12003","Florida","Baker County",14059,14977,85.4,86.71,1.31,FALSE
"12005","Florida","Bay County",93024,97775,72.07,73.94,1.87,FALSE
"12007","Florida","Bradford County",13632,13932,76.58,78.75,2.17,FALSE
"12009","Florida","Brevard County",360764,361449,58.32,60.52,2.2,FALSE
"12011","Florida","Broward County",957672,874526,35.02,41.44,6.42,FALSE
"12013","Florida","Calhoun County",6526,6428,81.35,84.02,2.67,FALSE
"12015","Florida","Charlotte County",116340,123674,63.41,67.1,3.69,FALSE
"12017","Florida","Citrus County",93208,98233,70.69,73.09,2.4,FALSE
"12019","Florida","Clay County",124405,126806,68.8,69.81,1.01,FALSE
"12021","Florida","Collier County",207818,216363,62.42,66.64,4.22,FALSE
"12023","Florida","Columbia County",33042,33592,72.78,75.27,2.49,FALSE
"12027","Florida","DeSoto County",12659,12488,66.12,71.6,5.48,FALSE
"12029","Florida","Dixie County",8167,8148,83.2,85.4,2.2,FALSE
"12031","Florida","Duval County",492820,471268,48.07,50.74,2.67,TRUE
"12033","Florida","Escambia County",170372,162754,57.68,59.88,2.2,FALSE
"12035","Florida","Flagler County",71716,79963,60.45,64.21,3.76,FALSE
"12037","Florida","Franklin County",6849,6758,68.8,72.09,3.29,FALSE
"12039","Florida","Gadsden County",23762,21868,31.61,34.54,2.93,FALSE
"12041","Florida","Gilchrist County",9685,10686,82.28,84.31,2.03,FALSE
"12043","Florida","Glades County",5193,5279,73.2,76.75,3.55,FALSE
"12045","Florida","Gulf County",8163,8697,75.49,77.24,1.75,FALSE
"12047","Florida","Hamilton County",5830,5733,66.03,69.65,3.62,FALSE
"12049","Florida","Hardee County",8485,8143,72.71,78.35,5.64,FALSE
"12051","Florida","Hendry County",12940,13460,61.6,69.32,7.72,FALSE
"12053","Florida","Hernando County",108922,110687,65.24,68.66,3.42,FALSE
"12055","Florida","Highlands County",52170,51905,67.31,70.5,3.19,FALSE
"12057","Florida","Hillsborough County",712063,671981,46.52,51.55,5.03,TRUE
"12059","Florida","Holmes County",9068,9116,89.74,90.28,0.54,FALSE
"12061","Florida","Indian River County",97484,99015,60.87,63.76,2.89,FALSE
"12063","Florida","Jackson County",22419,22098,69.6,73.18,3.58,FALSE
"12065","Florida","Jefferson County",8451,8502,53.47,59.37,5.9,FALSE
"12067","Florida","Lafayette County",3658,3756,85.98,88.2,2.22,FALSE
"12069","Florida","Lake County",211314,226781,60.11,62.43,2.32,FALSE
"12071","Florida","Lee County",393899,392519,59.66,64.29,4.63,FALSE
"12073","Florida","Leon County",162929,156800,35.69,38.99,3.3,FALSE
"12075","Florida","Levy County",23145,24377,72.97,75.27,2.3,FALSE
"12077","Florida","Liberty County",3561,3490,80.4,83.66,3.26,FALSE
"12079","Florida","Madison County",9380,9156,59.81,64.51,4.7,FALSE
"12081","Florida","Manatee County",216958,228856,58.09,61.84,3.75,FALSE
"12083","Florida","Marion County",204376,214101,63.07,65.93,2.86,FALSE
"12085","Florida","Martin County",98726,98291,62.38,65.66,3.28,FALSE
"12086","Florida","Miami-Dade County",1156816,1094093,46.31,55.77,9.46,TRUE
"12087","Florida","Monroe County",48029,44327,54.01,59.24,5.23,FALSE
"12089","Florida","Nassau County",58811,65621,73.23,73.66,0.43,FALSE
"12091","Florida","Okaloosa County",116373,113634,69.97,71.46,1.49,FALSE
"12093","Florida","Okeechobee County",15954,16058,72.32,77.04,4.72,FALSE
"12095","Florida","Orange County",647403,607191,38.32,43.11,4.79,FALSE
"12097","Florida","Osceola County",172436,172776,43.03,50.73,7.7,TRUE
"12099","Florida","Palm Beach County",773158,745697,43.57,49.62,6.05,FALSE
"12101","Florida","Pasco County",301970,318463,60.14,62.74,2.6,FALSE
"12103","Florida","Pinellas County",559715,517058,49.89,52.64,2.75,TRUE
"12105","Florida","Polk County",343256,348922,57.29,60.43,3.14,FALSE
"12107","Florida","Putnam County",36373,36272,70.79,74.06,3.27,FALSE
"12109","Florida","St. Johns County",176622,197452,63.47,65.82,2.35,FALSE
"12111","Florida","St. Lucie County",172169,185131,50.79,54.56,3.77,FALSE
"12113","Florida","Santa Rosa County",106928,112424,73.7,75.72,2.02,FALSE
"12115","Florida","Sarasota County",270575,277857,55.26,59.16,3.9,FALSE
"12117","Florida","Seminole County",260815,253720,48.59,51.8,3.21,TRUE
"12119","Florida","Sumter County",92485,105217,68.14,68.91,0.77,FALSE
"12121","Florida","Suwannee County",21057,21891,78.54,80.64,2.1,FALSE
"12123","Florida","Taylor County",10127,9997,77.12,79.98,2.86,FALSE
"12125","Florida","Union County",6245,6231,82.98,84.33,1.35,FALSE
"12127","Florida","Volusia County",307439,310495,57.1,60.97,3.87,FALSE
"12129","Florida","Wakulla County",18404,19856,70.64,72.36,1.72,FALSE
"12131","Florida","Walton County",43711,49601,76.12,79.12,3,FALSE
"12133","Florida","Washington County",12327,12584,80.8,82.89,2.09,FALSE
"13001","Georgia","Appling County",8390,8334,78.64,81.25,2.61,FALSE
"13003","Georgia","Atkinson County",3155,3057,73.6,77.05,3.45,FALSE
"13005","Georgia","Bacon County",4667,4839,86.54,86.65,0.11,FALSE
"13007","Georgia","Baker County",1555,1476,57.91,59.95,2.04,FALSE
"13009","Georgia","Baldwin County",18251,18825,49.34,51.11,1.77,TRUE
"13011","Georgia","Banks County",8801,10519,89.32,89.17,-0.15,FALSE
"13013","Georgia","Barrow County",37921,43934,71.94,70.35,-1.59,FALSE
"13015","Georgia","Bartow County",50464,57547,75.7,75.63,-0.07,FALSE
"13017","Georgia","Ben Hill County",6564,6501,63.21,66.06,2.85,FALSE
"13019","Georgia","Berrien County",7743,8068,83.49,84.98,1.49,FALSE
"13021","Georgia","Bibb County",70714,69181,37.96,38.73,0.77,FALSE
"13023","Georgia","Bleckley County",5708,6044,76.74,77.77,1.03,FALSE
"13025","Georgia","Brantley County",7749,8500,90.9,91.32,0.42,FALSE
"13027","Georgia","Brooks County",7101,7210,60.42,63.43,3.01,FALSE
"13029","Georgia","Bryan County",21335,24651,67.88,68.27,0.39,FALSE
"13031","Georgia","Bulloch County",30090,32657,62.04,64.57,2.53,FALSE
"13033","Georgia","Burke County",10683,11070,50.9,54.69,3.79,FALSE
"13035","Georgia","Butts County",11771,13019,71.97,72.67,0.7,FALSE
"13037","Georgia","Calhoun County",2198,2056,42.22,43.84,1.62,FALSE
