"year","band","vap","pct_voted","pct_registered","voters"
1980,"45 to 64 Years",43569,69.3,75.8,30193.3
1980,"65 Years and Over",24094,65.1,74.6,15685.2
1982,"Total",165483,48.5,64.1,80259.3
1982,"18 to 24 Years",28823,24.8,42.4,7148.1
1982,"25 to 44 Years",66882,45.4,61.5,30364.4
1982,"45 to 64 Years",44180,62.2,75.6,27480
1982,"65 Years and Over",25598,59.9,75.2,15333.2
1984,"Total",169963,59.9,68.3,101807.8
1984,"18 to 24 Years",27976,40.8,51.3,11414.2
1984,"25 to 44 Years",71023,58.4,66.6,41477.4
1984,"45 to 64 Years",44307,69.8,76.6,30926.3
1984,"65 Years and Over",26658,67.7,76.9,18047.5
1986,"Total",173890,46,64.3,79989.4
1986,"18 to 24 Years",26425,21.9,42,5787.1
1986,"25 to 44 Years",74927,41.4,61.1,31019.8
1986,"45 to 64 Years",44826,58.7,74.8,26312.9
1986,"65 Years and Over",27712,60.9,76.9,16876.6
1988,"Total",178098,57.4,66.6,102228.3
1988,"18 to 24 Years",25569,36.2,48.2,9256
1988,"25 to 44 Years",77864,54,63,42046.6
1988,"45 to 64 Years",45862,67.9,75.5,31140.3
1988,"65 Years and Over",28803,68.8,78.4,19816.5
1990,"Total",182118,45,62.2,81953.1
1990,"18 to 24 Years",24831,20.4,39.9,5065.5
1990,"25 to 44 Years",80541,40.7,58.4,32780.2
1990,"45 to 64 Years",46871,55.8,71.4,26154
1990,"65 Years and Over",29875,60.3,76.5,18014.6
1992,"Total",185684,61.3,68.2,113824.3
1992,"18 to 24 Years",24371,42.8,52.5,10430.8
1992,"25 to 44 Years",81319,58.3,64.8,47409
1992,"45 to 64 Years",49147,70,75.3,34402.9
1992,"65 Years and Over",30846,70.1,78,21623
1994,"Total",190267,45,62.5,85620.1
1994,"18 to 24 Years",25183,20.1,42.3,5061.8
1994,"25 to 44 Years",83006,39.4,57.9,32704.4
1994,"45 to 64 Years",50934,56.7,71.7,28879.6
1994,"65 Years and Over",31144,61.3,76.3,19091.3
1996,"Total",193652,54.2,65.9,104959.4
1996,"18 to 24 Years",24650,32.4,48.8,7986.6
1996,"25 to 44 Years",83393,49.2,61.9,41029.4
1996,"45 to 64 Years",53721,64.4,73.5,34596.3
1996,"65 Years and Over",31888,67,77,21365
1998,"Total",198228,41.9,62.1,83057.5
1998,"18 to 24 Years",25537,16.6,39.2,4239.1
1998,"25 to 44 Years",82993,34.8,57.7,28881.6
1998,"45 to 64 Years",57436,53.6,71.1,30785.7
1998,"65 Years and Over",32263,59.5,75.4,19196.5
2000,"Total",202609,54.7,63.9,110827.1
2000,"18 to 24 Years",26712,32.3,45.4,8628
2000,"25 to 44 Years",81780,49.8,59.6,40726.4
2000,"45 to 64 Years",61352,64.1,71.2,39326.6
2000,"65 Years and Over",32765,67.6,76.1,22149.1
2002,"Total",210421,42.3,60.9,89008.1
2002,"18 to 24 Years",27377,17.2,38.2,4708.8
2002,"25 to 44 Years",82228,34.1,55.4,28039.7
2002,"45 to 64 Years",66924,53.1,69.4,35536.6
2002,"65 Years and Over",33892,61,75.8,20674.1
2004,"Total",215694,58.3,65.9,125749.6
2004,"18 to 24 Years",27808,41.9,51.5,11651.6
2004,"25 to 44 Years",82133,52.2,60.1,42873.4
2004,"45 to 64 Years",71014,66.6,72.7,47295.3
2004,"65 Years and Over",34738,68.9,76.9,23934.5
2006,"Total",220603,43.6,61.6,96182.9
2006,"18 to 24 Years",27774,19.9,41.6,5527
2006,"25 to 44 Years",82002,34.4,55,28208.7
2006,"45 to 64 Years",75006,54.3,69.6,40728.3
2006,"65 Years and Over",35821,60.5,75.4,21671.7
2008,"Total",225499,58.2,64.9,131240.4
2008,"18 to 24 Years",28263,44.3,53.4,12520.5
2008,"25 to 44 Years",81701,51.9,59,42402.8
2008,"45 to 64 Years",78078,65,70.4,50750.7
2008,"65 Years and Over",37458,68.1,75,25508.9
2010,"Total",229690,41.8,59.8,96010.4
2010,"18 to 24 Years",28924,19.6,41.8,5669.1
2010,"25 to 44 Years",81101,32.2,53.5,26114.5
2010,"45 to 64 Years",80700,51.1,66.3,41237.7
2010,"65 Years and Over",38966,58.9,72.5,22951
2012,"Total",235248,56.5,65.1,132915.1
2012,"18 to 24 Years",29878,38,49.4,11353.6
2012,"25 to 44 Years",80770,49.5,59.3,39981.2
2012,"45 to 64 Years",82087,63.4,70.4,52043.2
2012,"65 Years and Over",42514,69.7,76.9,29632.3
2014,"Total",239874,38.5,59.3,92351.5
2014,"18 to 24 Years",29658,15.9,39.1,4715.6
2014,"25 to 44 Years",81886,28.3,52.7,23173.7
2014,"45 to 64 Years",82772,46,65.4,38075.1
2014,"65 Years and Over",45558,57.5,73,26195.8
2016,"Total",245502,56,64.2,137481.1
2016,"18 to 24 Years",29320,39.4,50.8,11552.1
2016,"25 to 44 Years",83698,49,58.1,41012
2016,"45 to 64 Years",83799,61.7,68.5,51704
2016,"65 Years and Over",48684,68.4,75.3,33299.9
2018,"Total",249748,49,61.3,122376.5
2018,"18 to 24 Years",28993,30.1,45.7,8726.9
2018,"25 to 44 Years",85554,40.4,54.6,34563.8
2018,"45 to 64 Years",83277,55,66.1,45802.3
2018,"65 Years and Over",51925,63.8,73.3,33128.2
2020,"Total",252274,61.3,66.7,154644
2020,"18 to 24 Years",28659,48,55.8,13756.3
2020,"25 to 44 Years",86429,55,61.6,47535.9
2020,"45 to 64 Years",81912,65.5,69.9,53652.4
2020,"65 Years and Over",55273,71.9,75.8,39741.3
2022,"Total",255457,47.7,63.2,121853
2022,"18 to 24 Years",28794,25.6,45.6,7371.3
2022,"25 to 44 Years",87220,38.7,57.7,33754.1
2022,"45 to 64 Years",82023,53.2,67.1,43636.2
2022,"65 Years and Over",57420,64.6,74.7,37093.3
2024,"Total",260363,59.3,66.8,154395.3
2024,"18 to 24 Years",29986,43.9,53.5,13163.9
2024,"25 to 44 Years",88765,52.4,61.5,46512.9
2024,"45 to 64 Years",81204,63.2,69.8,51320.9
2024,"65 Years and Over",60408,71.7,77.1,43312.5
