"fips","spread_pct"
"16039",0.575981
"48399",0.573268
"48413",0.573066
"08091",0.57267
"27087",0.572484
"36061",0.57132
"01129",0.571091
"08019",0.571006
"53045",0.570879
"36027",0.570251
"13305",0.569454
"30071",0.56926
"54067",0.568763
"12119",0.568425
"40151",0.567655
"28117",0.566572
"48495",0.566419
"13101",0.566343
"40141",0.565291
"51001",0.565276
"56017",0.565217
"39145",0.564448
"30097",0.564061
"22045",0.563677
"35003",0.562852
"13049",0.560835
"30007",0.559421
"20201",0.559365
"38085",0.558659
"51036",0.557985
"35031",0.557258
"48219",0.557038
"28143",0.556931
"17151",0.555703
"05101",0.555247
"28011",0.554309
"29199",0.554017
"31013",0.553315
"13231",0.551442
"38083",0.551181
"30021",0.550314
"08061",0.550206
"41059",0.550191
"17153",0.549774
"31133",0.549451
"17187",0.547467
"46073",0.547112
"17023",0.546022
"29129",0.544725
"13289",0.544373
"31091",0.544218
"23015",0.544082
"30035",0.54407
"28069",0.543663
"05109",0.543425
"12065",0.542769
"31101",0.542299
"20077",0.541247
"13243",0.540798
"40069",0.540697
"20073",0.538811
"01105",0.5386
"51685",0.538201
"15007",0.537569
"48377",0.537459
"37127",0.537151
"27081",0.536385
"17155",0.536097
"21045",0.532882
"54063",0.532344
"51045",0.531589
"10001",0.530972
"40053",0.529738
"31135",0.529661
"19009",0.529568
"21189",0.528435
"31181",0.527704
"46063",0.527506
"13149",0.527454
"38101",0.527097
"05141",0.526082
"54053",0.5259
"08103",0.525015
"49017",0.524374
"13287",0.524203
"46087",0.524017
"30055",0.523865
"41055",0.521648
"20137",0.521415
"27151",0.520408
"29215",0.520271
"30083",0.52019
"26083",0.519358
"30101",0.518859
"48277",0.518279
"39141",0.517616
"39169",0.517522
"51007",0.517358
"31075",0.517241
"46059",0.516963
"24047",0.516777
"05017",0.516334
"38051",0.516078
"18119",0.515823
"16047",0.512464
"13003",0.512454
"37167",0.512416
"47017",0.509989
"13319",0.509569
"17057",0.509485
"31169",0.508854
"26023",0.508681
"05071",0.508142
"40003",0.507881
"15001",0.5075
"26071",0.507091
"48471",0.506546
"30039",0.505802
"48077",0.50412
"31015",0.503074
"46051",0.502845
"40005",0.502653
"36103",0.502525
"47183",0.502482
"45037",0.502188
"48109",0.501596
"05133",0.500539
"02070",0.500417
"37041",0.500326
"28093",0.499704
"37129",0.499203
"46007",0.499119
"13021",0.498845
"16071",0.498807
"48403",0.498058
"06031",0.497905
"42071",0.497466
"24043",0.497432
"20161",0.497175
"17105",0.496624
"41021",0.496278
"30009",0.495367
"20001",0.49497
"37191",0.494822
"19151",0.49477
"39081",0.49454
"30003",0.493941
"20069",0.493653
"20023",0.492984
"36013",0.492086
"26029",0.492085
"45081",0.491699
"27117",0.491506
"48331",0.491478
"50001",0.4914
"46025",0.490449
"21181",0.490323
"48107",0.48962
"06021",0.489498
"31071",0.489396
"38019",0.48913
"17045",0.487922
"05019",0.487782
"47181",0.487537
"04017",0.486375
"37103",0.486224
"12039",0.48497
"21021",0.4846
"49023",0.483052
"56007",0.482337
"17117",0.481836
"02100",0.480538
"54065",0.479658
"48379",0.479655
