"fips","published","distinct","spread_pct"
"48121",13,9,17.238
"12089",13,9,17.2036
"22023",9,9,17.2035
"45057",13,9,17.1861
"46075",9,9,16.9903
"31171",9,9,16.9867
"40087",9,9,16.8973
"13029",9,9,16.8722
"37141",12,9,16.8449
"37053",9,9,16.8376
"49021",10,9,16.8332
"06091",9,9,16.8139
"51075",9,9,16.7438
"17003",9,9,16.7274
"48031",9,9,16.6998
"48393",9,9,16.4937
"31091",9,8,16.485
"12083",13,9,16.3304
"46119",9,9,16.1861
"47119",13,9,16.1854
"05007",13,9,16.1718
"08111",9,8,15.9562
"08057",9,9,15.9028
"39159",12,9,15.8988
"46021",9,9,15.882
"35011",9,8,15.8569
"28135",9,9,15.7931
"05107",9,9,15.7655
"48187",13,9,15.7296
"48185",9,9,15.6896
"12081",13,9,15.6719
"48087",9,9,15.6377
"48263",9,8,15.6208
"08027",9,9,15.5635
"10005",13,9,15.5499
"48243",9,9,15.3389
"13297",13,9,15.3005
"30057",9,9,15.2304
"45083",13,9,15.227
"28119",9,9,15.2205
"06035",9,9,15.2055
"31115",9,9,15.188
"08039",9,9,15.1863
"01003",13,9,15.174
"13011",9,9,15.099
"13271",9,9,15.0855
"48053",9,9,15.068
"30079",9,7,14.9649
"12015",13,9,14.9048
"08123",13,9,14.7987
"16021",9,9,14.7721
"47105",9,9,14.7654
"13103",13,9,14.717
"49049",13,9,14.6861
"01105",9,9,14.6748
"16017",9,9,14.5884
"72049",4,4,14.4917
"16045",9,9,14.4805
"46069",9,8,14.265
"46095",9,9,14.1788
"48221",12,9,14.1558
"49023",9,9,14.1446
"48377",9,9,14.1435
"22065",9,9,14.1109
"30019",9,9,14.0886
"12071",13,9,14.0881
"48051",9,9,13.9277
"16003",9,9,13.8041
"16051",9,9,13.7972
"30065",9,9,13.7764
"40145",13,9,13.6753
"54003",13,9,13.6624
"37091",9,9,13.6075
"13133",9,9,13.6004
"18059",13,9,13.5794
"30061",9,9,13.5707
"47125",13,9,13.5087
"51109",9,9,13.4843
"18011",13,9,13.4467
"05041",9,9,13.4085
"13259",9,9,13.3907
"12053",13,9,13.3391
"22107",9,9,13.3286
"12041",9,9,13.32
"16081",9,9,13.3092
"13223",13,9,13.2505
"31183",9,8,13.2231
"13291",9,9,13.195
"37109",13,9,13.1611
"37097",13,9,13.1413
"47149",13,9,13.1375
"13207",9,9,13.1093
"13117",13,9,13.1013
"47095",9,9,13.0513
"41055",9,9,13.018
"48447",9,9,12.9957
"45037",9,9,12.9831
"12129",9,9,12.9828
"48433",9,9,12.9602
"28133",9,9,12.9378
"28157",9,9,12.9106
"49003",9,9,12.9042
"46081",9,9,12.8042
"39041",13,9,12.7715
"54047",9,9,12.703
"12113",13,9,12.6803
"48181",13,9,12.6343
"12075",9,9,12.6298
"32023",9,9,12.6273
"30089",9,9,12.5444
"20083",9,9,12.5338
"48173",9,8,12.5307
"05017",9,9,12.4748
"13057",13,9,12.4027
"12005",13,9,12.3783
"31069",9,8,12.2902
"16055",13,9,12.2728
"48039",13,9,12.0514
"48493",9,9,12.0504
"16015",9,9,12.0266
"29113",10,9,11.9788
"47153",9,9,11.9478
"37179",13,9,11.9455
"30103",9,9,11.9171
"48227",9,9,11.8891
"30053",9,9,11.8864
"08035",13,9,11.8847
"48413",9,9,11.8571
"01089",13,9,11.8489
"41013",9,9,11.8415
"48095",9,9,11.8104
"37037",13,9,11.7975
"13171",9,9,11.7425
"22127",9,9,11.7372
"18057",13,9,11.7353
"13227",9,9,11.712
"24021",13,9,11.6827
"16041",9,9,11.6622
"40083",9,9,11.6597
"20071",9,8,11.6564
"49051",9,9,11.6477
"48165",9,9,11.6422
"31073",9,8,11.6176
"28021",9,8,11.5963
"28053",9,9,11.5589
"12017",13,9,11.5212
"47175",9,9,11.5071
"37183",13,9,11.4817
"31083",9,9,11.4739
"12067",9,9,11.4422
"45005",9,9,11.4282
"37025",13,9,11.4226
"13217",13,9,11.4036
"37085",13,9,11.365
"46089",9,9,11.3636
"28143",9,9,11.3579
"46033",9,9,11.3562
"28151",9,9,11.3337
"46073",9,9,11.3279
"48325",9,9,11.292
"48379",9,9,11.2908
"16071",9,9,11.2291
"27171",13,9,11.2142
"13053",9,9,11.2032
"46057",9,9,11.2029
"49025",9,9,11.1899
"48237",9,9,11.1785
"45055",13,9,11.176
"16001",13,9,11.1501
"48329",13,9,11.1208
"48467",10,9,11.1114
"18063",13,9,11.064
"47121",9,9,11.025
"46017",9,9,10.9929
"13139",13,9,10.9746
"45045",13,9,10.9663
"16033",9,9,10.9541
"47117",9,9,10.9322
"51800",13,9,10.918
"47187",13,9,10.9075
"48153",9,9,10.8981
"51177",13,9,10.8728
"13211",9,9,10.8667
"37125",13,9,10.8489
"32019",9,9,10.8453
"17101",9,9,10.8309
"40013",9,9,10.8202
"21227",13,9,10.8177
"37105",12,9,10.7917
"51101",9,9,10.7356
"37119",13,9,10.7346
"13015",13,9,10.7053
"13151",13,9,10.685
"31085",9,7,10.6638
"48211",9,9,10.6377
"48425",9,9,10.6325
"12021",13,9,10.6283
"16085",9,9,10.5604
"12115",13,9,10.5472
"05143",13,9,10.4788
"13265",9,8,10.4598
"47165",13,9,10.4399
"51600",9,9,10.4288
"30029",13,9,10.4211
"16075",9,9,10.4083
"13231",9,9,10.4051
"05087",9,9,10.3965
"48015",9,9,10.3881
"13119",9,9,10.3746
"51033",9,9,10.3217
"16019",13,9,10.3115
"28051",9,9,10.3114
"51027",9,9,10.2983
"48137",9,9,10.2921
"51099",9,9,10.2847
"01047",9,9,10.2702
"48205",9,9,10.2653
"53069",9,9,10.2606
"13143",9,9,10.225
"30025",9,9,10.2147
"45035",13,9,10.2115
"48499",9,9,10.2097
"29219",9,9,10.2086
"48125",9,9,10.1889
"51137",9,9,10.1839
"37043",9,9,10.1479
"17093",13,9,10.1141
"72055",4,4,10.086
"28083",9,9,10.0473
"12065",9,9,10.0081
"16087",9,9,9.99741
"02170",13,9,9.9936
"01063",9,9,9.98599
"20129",9,9,9.98542
"47003",9,9,9.98498
"13221",9,9,9.96649
"13239",9,8,9.94404
"54059",9,9,9.93241
"29133",9,9,9.92602
"12045",9,9,9.91031
"22035",9,9,9.8907
"13147",9,9,9.88512
"53043",9,9,9.88149
"45091",13,9,9.87921
"30081",9,9,9.86374
"05147",9,9,9.83736
"47147",13,9,9.81104
"22025",9,9,9.80586
"47111",9,9,9.79286
"51047",9,9,9.78913
"13039",9,9,9.78834
"48105",9,9,9.74576
"48235",9,9,9.73735
"12019",13,9,9.71856
"51179",13,9,9.71821
"28011",9,9,9.70895
"48147",9,9,9.70839
"37167",11,9,9.70798
"31165",9,9,9.69089
"16009",9,9,9.68753
"51069",13,9,9.67235
"29155",9,9,9.66832
"48217",9,9,9.66256
"13045",13,9,9.64163
"06069",13,9,9.63586
"31071",9,9,9.63473
"48337",9,9,9.63307
"21209",9,9,9.62867
"12121",9,9,9.62637
"30059",9,9,9.59289
"04027",13,9,9.58124
"13153",13,9,9.55986
"13077",13,9,9.55567
"05095",9,9,9.54657
"01131",9,9,9.5452
"30043",9,9,9.5431
"05039",9,9,9.54101
"53037",9,9,9.5404
"19181",9,9,9.53934
"47049",9,9,9.53154
"12127",13,9,9.5273
"31153",13,9,9.52411
"49039",9,9,9.52214
"49005",13,9,9.47439
"29225",9,9,9.46718
"06061",13,9,9.4442
"47089",9,9,9.43956
"29143",9,9,9.43691
"42053",9,9,9.43688
"01085",9,9,9.43488
"38053",9,9,9.41285
"51041",13,9,9.40455
"12009",13,9,9.3992
"40025",9,9,9.375
"21131",9,9,9.36735
"48281",9,9,9.35875
"31105",9,9,9.34971
"06115",13,9,9.34368
"21151",13,9,9.34353
"48027",13,9,9.33379
"30031",13,9,9.33276
"38017",13,9,9.31742
"20033",9,9,9.31507
"20047",9,9,9.30952
"01081",13,9,9.29951
"48127",9,9,9.23077
"48349",9,9,9.22159
"13137",9,9,9.22128
"29043",13,9,9.20238
"47169",9,9,9.18957
"47057",9,9,9.17674
"48013",9,9,9.15469
"13195",9,9,9.15277
"47041",9,9,9.13455
"37001",13,9,9.1268
"49029",9,9,9.12351
"28027",9,9,9.11214
"05077",9,9,9.09194
"48295",9,9,9.05035
"46107",9,9,9.03176
"48299",9,9,9.0224
"22063",13,9,9.01662
"45013",13,9,9.01322
"48373",9,9,9.00512
"20187",9,9,8.95594
"08033",9,9,8.95344
"12055",13,9,8.95232
"47135",9,9,8.90861
"48019",9,9,8.90453
"49033",9,9,8.90262
"48229",9,9,8.8969
"30039",9,9,8.88464
"40057",9,9,8.85827
"47141",13,9,8.84058
"48155",9,8,8.83165
"46011",9,9,8.82158
"13073",13,9,8.81558
"54037",9,9,8.81113
"30037",9,8,8.78754
"30009",9,9,8.78414
"38033",9,9,8.77483
"48453",13,9,8.77007
"38085",9,9,8.76534
"38105",9,9,8.75811
"02188",9,9,8.75772
"48471",13,9,8.74979
"48163",9,9,8.73463
"48507",9,9,8.71717
"24035",9,9,8.71657
"02060",9,9,8.7146
"53045",13,9,8.71355
"17153",9,9,8.69483
"12057",13,9,8.6673
"38011",9,9,8.66402
"13219",9,9,8.65837
"16053",9,9,8.65261
"48381",13,9,8.64779
"47035",10,9,8.64555
"47173",9,9,8.63869
"48011",9,9,8.63636
"16083",13,9,8.62322
"08115",9,9,8.62139
"21003",9,9,8.57295
"46055",9,9,8.56531
"12061",13,9,8.56313
"27059",9,9,8.5207
"54013",9,9,8.52025
"49027",9,9,8.51533
"13179",13,9,8.50341
"37029",9,9,8.50199
"41017",13,9,8.49854
"56011",9,9,8.49465
"02070",9,9,8.49153
"37129",13,9,8.45019
"13093",9,9,8.43582
"13031",13,9,8.41183
"21133",9,9,8.40984
"30011",9,9,8.40336
"13123",9,9,8.39972
"37093",9,9,8.37739
"42023",9,9,8.37685
"17059",9,9,8.37634
"46099",13,9,8.37224
"47185",9,9,8.36823
"48423",13,9,8.36273
"18081",13,9,8.334
"13035",9,9,8.33272
"05001",9,9,8.31934
"47031",9,9,8.31798
"46105",9,9,8.30608
"22067",9,9,8.30497
"37071",13,9,8.29866
"21215",9,9,8.29603
"53017",9,9,8.28653
"13187",9,9,8.26469
"54109",9,9,8.248
"05125",13,9,8.2378
"12027",9,9,8.2286
"16065",9,9,8.22697
"28015",9,9,8.2264
"12043",9,9,8.22155
"54005",9,8,8.1962
"28049",13,9,8.18297
"08014",13,9,8.18072
"48459",9,9,8.17158
"21119",9,9,8.16903
"21095",9,9,8.1572
"45063",13,9,8.1442
"30055",9,9,8.14081
"46003",9,9,8.13995
"29510",13,9,8.13872
"56023",9,9,8.13503
"48431",9,9,8.10627
"22115",9,9,8.09759
"48363",9,9,8.08028
"12095",13,9,8.06555
"22123",9,9,8.06306
"05045",13,9,8.05201
"29165",13,9,8.05157
"45007",13,9,8.0512
"51107",13,9,8.04338
"48007",9,9,8.02417
"51145",9,9,8.01448
"21025",9,9,8.01348
"37177",9,9,8.00113
"53051",9,9,7.98921
"22081",9,9,7.98767
"37131",9,9,7.95892
"13145",9,9,7.95064
"47043",9,9,7.94722
"01115",13,9,7.93638
"16049",9,9,7.91648
"05003",9,9,7.90724
"08011",9,9,7.88261
"08091",9,9,7.88224
"05093",9,9,7.87365
"18019",13,9,7.86962
"28039",9,9,7.86525
"48029",13,9,7.84996
"48107",9,9,7.84425
"16037",9,9,7.83003
"21201",9,9,7.80856
"13237",9,9,7.8071
"54015",9,9,7.80333
"37063",13,9,7.80267
"12047",9,9,7.79266
"51630",9,9,7.78469
"54101",9,9,7.78372
"53041",13,9,7.77634
"48213",13,9,7.76342
"53005",13,9,7.74438
"48357",9,9,7.74123
"20149",9,9,7.73928
"47047",9,9,7.73668
"17071",9,9,7.72552
"05123",9,9,7.71706
"48197",9,9,7.70956
"22007",9,9,7.70383
"27163",13,9,7.69515
"29037",13,9,7.67571
"35043",13,9,7.6696
"05069",13,9,7.64234
"22027",9,9,7.62313
"31015",9,9,7.61589
"53039",9,9,7.6158
"36005",13,9,7.61349
"05073",9,9,7.61023
"27019",13,9,7.59318
"27141",13,9,7.58105
"13125",9,8,7.5772
"47107",9,9,7.55871
"10001",13,9,7.55085
"16023",9,7,7.54581
"51820",9,9,7.52369
"37039",9,9,7.50892
"12031",13,9,7.50826
"40043",9,9,7.4978
"28149",9,9,7.49208
"38103",9,9,7.49194
"16063",9,9,7.47814
"21013",9,9,7.47751
"01035",9,9,7.46307
"31017",9,9,7.46217
"02290",9,9,7.45445
"01117",13,9,7.44995
"56027",9,9,7.44167
"72093",4,4,7.44108
"48135",13,9,7.44069
"46125",9,9,7.44041
"38091",9,9,7.43316
"47101",9,9,7.42938
"04025",13,9,7.42936
"29185",9,9,7.42783
"53025",13,9,7.42762
"28033",13,9,7.42631
"40051",9,9,7.42288
"48041",13,9,7.42276
"45003",13,9,7.42087
"47123",9,9,7.41806
"13281",9,9,7.41438
"12029",9,9,7.41213
"54085",9,9,7.39972
"40131",13,9,7.39748
"04015",13,9,7.3774
"21015",13,9,7.37496
"20025",9,8,7.37212
"46071",9,9,7.36623
"49047",9,9,7.35897
"54045",9,9,7.35375
"13205",9,9,7.34275
"35061",13,9,7.34152
"48047",9,9,7.33803
"39097",9,9,7.33213
"20199",9,9,7.32505
"20095",9,9,7.32488
"16073",9,9,7.3188
"01043",13,9,7.31845
"32003",13,9,7.3146
"54105",9,9,7.31383
"51093",9,9,7.30863
"30045",9,9,7.30805
"56033",9,9,7.30724
"38095",9,9,7.30594
"16031",9,9,7.30386
"48097",9,9,7.30078
"32033",9,9,7.28895
"22095",9,9,7.28737
"48195",9,9,7.27682
"13305",9,9,7.27502
"53065",9,9,7.27027
"22005",13,9,7.26546
"08007",9,9,7.26269
"21211",9,9,7.25953
"05011",9,9,7.25677
"29229",9,9,7.25433
"08061",9,9,7.2314
"21113",9,9,7.22873
"13191",9,9,7.22329
"37059",9,9,7.22277
"01125",13,9,7.21844
"53047",9,9,7.21645
"51079",9,9,7.21377
"42041",13,9,7.19046
"39129",9,9,7.17711
"13129",9,9,7.17492
"37133",13,9,7.17302
"17061",9,9,7.17158
"02275",9,8,7.16929
"45019",13,9,7.16506
"01119",9,9,7.16231
"08001",13,9,7.15725
"51051",9,9,7.15488
"48407",9,9,7.14867
"31155",9,9,7.14708
"48305",9,9,7.14642
"16043",9,9,7.14633
"39045",13,9,7.14572
"30091",9,9,7.13514
"48287",9,9,7.13332
"48477",9,9,7.12234
"22093",9,9,7.12114
"16079",9,9,7.1196
"21195",9,9,7.11715
"53021",13,9,7.1132
"47145",9,9,7.11212
"42103",9,9,7.10578
"30047",9,9,7.10415
"26085",9,9,7.08542
"47093",13,9,7.07142
"16011",9,9,7.06312
"51193",9,9,7.05554
"13173",9,9,7.05074
"47007",9,9,7.04774
"28069",9,9,7.04592
"21213",9,9,7.04252
"54019",9,9,7.0416
"31149",9,9,7.0412
"38001",9,9,7.03297
"54043",9,9,7.02061
"48119",9,9,7.01257
"13097",13,9,6.98217
"45073",13,9,6.97463
"51165",13,9,6.97076
"01087",9,9,6.96768
"48439",13,9,6.96088
"08025",9,9,6.94583
"01023",9,9,6.94184
"25015",13,9,6.93354
"13007",9,9,6.93306
"46103",13,9,6.92256
"28089",13,9,6.92187
"06039",13,9,6.92146
"47065",13,9,6.91932
"48461",9,9,6.91617
"27155",9,9,6.90065
"17013",9,9,6.89883
"26119",9,9,6.88884
"72113",8,8,6.88427
"45077",13,9,6.883
"37113",9,9,6.88214
"72097",8,8,6.88102
"48201",13,9,6.87943
"13225",9,9,6.8782
"28071",9,9,6.878
"04013",13,9,6.87425
"22049",9,9,6.87129
"21225",9,9,6.86929
"01031",9,9,6.86531
"39165",13,9,6.85315
"22029",9,9,6.85133
"29141",9,9,6.84718
"51735",9,9,6.84622
"13135",13,9,6.83568
"22077",9,9,6.83022
"40059",9,9,6.81954
"29085",9,9,6.80009
"47009",13,9,6.79878
"12093",9,9,6.78746
"48383",9,9,6.77966
"54071",9,9,6.76908
"47063",12,9,6.76757
"35023",9,9,6.76317
"37057",13,9,6.75983
"49057",13,9,6.75261
"48167",13,9,6.74974
"35059",9,9,6.7443
"37147",13,9,6.74334
"20171",9,9,6.74027
"47087",9,9,6.73833
"02016",9,9,6.72935
"51095",13,9,6.71219
"39009",9,9,6.70537
"12133",9,9,6.70163
"08015",9,9,6.69675
"53011",13,9,6.69493
"47051",9,9,6.69387
"06063",9,9,6.68843
"01067",9,9,6.68153
"47177",9,9,6.67017
"16007",9,9,6.66765
"46019",9,9,6.64769
"20101",9,9,6.64537
"06075",13,9,6.63977
"16067",9,9,6.62564
"30049",13,9,6.62543
"31161",9,9,6.62136
"35031",13,9,6.61722
"20163",9,8,6.61307
"28131",9,9,6.60425
"51678",9,9,6.60087
"47011",13,9,6.5994
"51011",9,9,6.59795
"51049",9,9,6.59776
"54095",9,9,6.59759
"48063",9,9,6.59193
"29227",9,9,6.58683
"02063",9,9,6.58589
"17109",9,9,6.58544
"38075",9,9,6.56566
"21193",9,9,6.56557
"47001",13,9,6.55935
"22013",9,9,6.5575
"22101",9,9,6.55586
"38079",9,9,6.5558
"51065",9,9,6.54702
"45059",13,9,6.54159
"13243",9,9,6.53545
"46047",9,9,6.53542
"37015",9,9,6.53411
"21079",9,9,6.53046
"13309",9,9,6.52576
"25019",9,9,6.52527
"48025",9,9,6.52314
"42059",9,9,6.51898
"12023",13,9,6.5174
"12003",9,9,6.50368
"22055",13,9,6.50361
"30001",9,9,6.49208
"22017",13,9,6.48483
"34029",13,9,6.48449
"29147",9,9,6.47629
"47179",13,9,6.46747
"31087",9,9,6.46388
"54009",9,9,6.46374
"20141",9,9,6.46355
"16013",9,9,6.46236
"47015",9,9,6.45267
"72137",8,8,6.44738
"24017",13,9,6.44646
"22119",9,9,6.44609
"02013",9,8,6.44273
"16057",9,9,6.43907
"48283",9,9,6.43216
"54007",9,9,6.43206
"13311",9,9,6.4291
"35003",9,8,6.42801
"48161",9,9,6.40527
"37099",9,9,6.38899
"12099",13,9,6.37285
"06077",13,9,6.36174
"48247",9,9,6.3528
"02240",9,9,6.34487
"47127",9,9,6.34393
"46137",9,9,6.3332
"28063",9,9,6.3272
"20189",9,9,6.31579
"30085",9,9,6.31202
"48171",9,9,6.2993
"16077",9,9,6.28803
"02150",9,9,6.28688
"47099",9,9,6.28171
"13081",9,9,6.27071
"30067",9,9,6.2699
"40129",9,9,6.26977
"20121",9,9,6.26932
"22105",13,9,6.26406
"48435",9,9,6.2628
"31045",9,9,6.26267
"40085",9,9,6.2616
"21005",9,9,6.25966
"05057",9,9,6.25
"48483",9,9,6.24632
"51595",9,9,6.23156
"16047",9,9,6.22644
"30075",9,9,6.2259
"49001",9,9,6.22306
"13155",9,9,6.21751
"16059",9,9,6.20722
"13233",9,9,6.20029
"12086",13,9,6.18941
"51750",9,9,6.18306
"48093",9,9,6.18071
"48303",13,9,6.17988
"45065",9,8,6.17719
"31063",9,9,6.17702
"51085",13,9,6.17661
"38037",9,9,6.16759
"17125",9,9,6.15501
"01095",13,9,6.1408
"29167",9,9,6.13915
"48223",9,9,6.13624
"26083",9,9,6.12992
"29015",9,9,6.1269
"21159",9,9,6.12603
"38019",9,9,6.12081
"54103",9,9,6.11798
"12037",9,9,6.11712
"06047",13,9,6.09231
"47143",9,9,6.08713
"32017",9,8,6.08696
"29069",9,9,6.07513
"37035",13,9,6.06445
"48215",13,9,6.06284
"05031",13,9,6.05522
"46121",9,9,6.05258
"04023",9,9,6.02875
"47161",9,9,6.02535
"48289",9,9,6.01989
"06015",9,9,6.01423
"37159",13,9,6.00402
"20063",9,9,6.00214
"08069",13,9,5.99589
"21153",9,9,5.99086
"48131",9,9,5.9894
"29059",9,9,5.98613
"47133",9,9,5.98226
"72087",4,4,5.97952
"45061",9,9,5.97729
"01021",9,9,5.97594
"28097",9,9,5.97105
"20081",9,9,5.96897
"46025",9,9,5.95386
"05139",9,9,5.94977
"01001",9,9,5.94477
"27139",13,9,5.94213
"49041",9,9,5.94033
"26135",9,9,5.92686
"37061",9,9,5.92581
"51720",9,9,5.92532
"06051",9,9,5.91378
"55025",13,9,5.91167
"21219",9,9,5.90503
"12107",13,9,5.90089
"35057",9,9,5.90062
"22109",13,9,5.88919
"36081",13,9,5.88809
"48009",9,9,5.88749
"22121",9,9,5.88399
"55109",13,9,5.88241
"28103",9,9,5.87896
"49011",13,9,5.87472
"31151",9,9,5.86823
"47139",9,9,5.86274
"41031",9,9,5.85859
"13113",13,9,5.85509
"20147",9,9,5.85424
"36087",13,9,5.8512
"51003",13,9,5.84508
"22103",13,9,5.84326
"13149",9,9,5.83587
"01011",9,9,5.83478
"29145",9,9,5.8285
"32031",13,9,5.81641
"53061",13,9,5.81539
"13241",9,9,5.81513
"20119",9,9,5.79604
"45049",9,9,5.79394
"28013",9,9,5.78987
"01029",9,9,5.78585
"49013",9,9,5.77771
"48411",9,9,5.76561
"21237",9,9,5.76058
"54087",9,9,5.74705
"20145",9,9,5.74261
"54021",9,9,5.73443
"55001",9,9,5.73281
"13255",13,9,5.7266
"13075",9,9,5.7262
"01099",9,9,5.71713
"28109",9,9,5.71231
"53023",9,8,5.71192
"16005",13,9,5.70908
"48059",9,9,5.70647
"01025",9,9,5.70547
"37115",9,9,5.69326
"22071",13,9,5.68268
"53049",9,9,5.67804
"48275",9,9,5.67376
"12091",13,9,5.67152
"38005",9,9,5.66502
"51043",9,9,5.65699
"29183",13,9,5.65582
"30095",9,9,5.65079
"01013",9,9,5.63579
"28073",13,9,5.62735
"47037",13,9,5.62418
"29047",13,9,5.62121
"46127",9,8,5.62004
"48233",9,9,5.61511
"48395",9,9,5.6057
"01091",9,9,5.5988
"37083",9,9,5.59331
"32027",9,9,5.59264
"72057",4,4,5.59003
"29039",9,9,5.58477
"36047",13,9,5.57208
"40045",9,9,5.55993
"19087",9,9,5.55935
"36097",9,9,5.55804
"48441",13,9,5.55581
"53055",9,9,5.55496
"29153",9,9,5.5386
"20203",9,8,5.53488
"47159",9,9,5.53358
"08085",9,9,5.53051
"36061",13,9,5.5269
"37089",13,9,5.52564
"20075",9,9,5.521
"13247",13,9,5.52044
"12117",13,9,5.50399
"40095",9,9,5.49985
"28001",9,9,5.49882
"46031",9,9,5.49811
"53059",9,9,5.49372
"49055",9,9,5.48204
"55113",9,9,5.48127
"48455",9,9,5.48002
"21029",13,9,5.46533
"48253",9,9,5.46474
"13051",13,9,5.46408
"27003",13,9,5.45905
"37149",9,9,5.45463
"17127",9,9,5.44818
"01019",9,9,5.44429
"13289",9,9,5.43938
"22075",9,9,5.43848
"21181",9,9,5.43465
"13267",9,9,5.43157
"38031",9,9,5.41814
"48099",13,9,5.41623
"20067",9,9,5.4105
"26107",9,9,5.40879
"48193",9,9,5.40323
"21035",9,9,5.40321
"13229",9,9,5.39395
"08109",9,9,5.39216
"45009",9,9,5.39002
"21027",9,9,5.3853
"51790",9,9,5.38413
"38083",9,8,5.38117
"51187",9,9,5.3767
"12077",9,9,5.37648
"17047",9,8,5.37462
"13049",9,9,5.37307
"16035",9,9,5.37226
"23031",13,9,5.37148
"47067",9,9,5.37102
"54051",9,9,5.36786
"19153",13,9,5.3577
"12125",9,9,5.3566
"38049",9,9,5.35055
"12001",13,9,5.35023
"33003",9,9,5.34821
"05025",9,9,5.34591
"51061",13,9,5.34227
"17067",9,9,5.33521
"06065",13,9,5.32768
"34039",13,9,5.3248
"21167",9,9,5.3217
"72151",4,4,5.30486
"21143",9,9,5.30097
"01107",9,9,5.29626
"21179",9,9,5.29407
"45069",9,9,5.29132
"47059",13,9,5.28911
"48159",9,9,5.2847
"53001",9,9,5.28202
"48017",9,9,5.28109
"48115",9,9,5.27673
"30111",13,9,5.26892
"08075",9,9,5.26533
"08089",9,9,5.26118
"37067",13,9,5.26115
"54039",13,9,5.2607
"47029",9,9,5.2601
"08049",9,9,5.25582
"02158",9,9,5.25561
"41069",9,9,5.25253
"13181",9,9,5.25148
"20093",9,9,5.25006
"40139",9,9,5.24991
"27069",9,9,5.24567
"23001",13,9,5.24436
"34013",13,9,5.23238
"02122",9,9,5.22994
"47081",9,9,5.22903
"12011",13,9,5.22653
"05065",9,9,5.22041
"04009",9,9,5.21097
"22045",13,9,5.20718
"72015",4,4,5.20299
"20175",9,9,5.20182
"48073",9,9,5.19902
"51091",9,9,5.19591
"29019",13,9,5.19583
"48111",9,9,5.19532
"54025",9,9,5.1911
"48331",9,9,5.1908
"38015",13,9,5.18736
"23005",13,9,5.18438
"36045",13,9,5.18048
"42029",13,9,5.179
"45089",9,9,5.1696
"54099",9,8,5.15545
"19103",13,9,5.1518
"46041",9,9,5.14855
"26009",9,9,5.14617
"48309",13,9,5.14264
"27057",9,9,5.14104
"05103",9,9,5.13606
"17183",13,9,5.13255
"28007",9,9,5.13176
"51153",13,9,5.11804
"54029",9,9,5.11241
"18003",13,9,5.09285
"01111",9,9,5.09001
"08093",9,9,5.08845
"27087",9,9,5.08381
"17193",9,9,5.07916
"29211",9,9,5.07858
"13095",13,9,5.07573
"48479",13,9,5.07105
"56019",9,9,5.06286
"41049",9,8,5.06269
"22069",9,9,5.05066
"27071",9,9,5.04794
"54075",9,9,5.04622
"55013",9,9,5.03397
"56001",9,9,5.03207
"29209",9,9,5.02174
