"name","rank","count","pctwhite","pctblack","pctapi","pctaian","pct2prace","pcthispanic"
"LEWIS",29,531781,58.23,34.84,0.56,1.2,2.58,2.58
"ROBINSON",30,529821,48.7,44.93,0.46,0.53,2.77,2.61
"WALKER",31,523129,58.66,35.05,0.45,0.87,2.55,2.41
"YOUNG",32,484447,66.26,24.67,3.03,0.79,2.66,2.58
"ALLEN",33,482607,67.59,26.17,0.54,0.86,2.38,2.47
"KING",34,465422,70.16,22.76,1.23,0.98,2.31,2.55
"WRIGHT",35,458980,65.8,28.23,0.51,0.69,2.41,2.36
"SCOTT",36,439530,60.21,32.92,0.51,1.18,2.59,2.58
"TORRES",37,437813,5.35,0.57,1.43,0.2,0.28,92.16
"NGUYEN",38,437645,0.95,0.12,96.45,0.03,1.83,0.63
"HILL",39,434827,64.36,29.12,0.53,0.97,2.51,2.51
"FLORES",40,433969,4.87,0.42,2.08,0.34,0.36,91.94
"GREEN",41,430182,56.84,36.97,0.44,0.64,2.47,2.64
"ADAMS",42,427865,74.02,19.9,0.56,0.79,2.16,2.57
"NELSON",43,424958,77.66,15.97,0.67,1.16,2,2.55
"BAKER",44,419586,79.83,14.44,0.56,0.87,2.02,2.28
"HALL",45,407076,72.65,21.59,0.64,0.65,2.22,2.25
"RIVERA",46,391114,5.4,0.95,2.04,0.18,0.37,91.06
"CAMPBELL",47,386157,73.66,20.47,0.53,0.71,2.13,2.49
"MITCHELL",48,384486,61.02,32.5,0.48,1.04,2.5,2.47
"CARTER",49,376966,58.2,35.59,0.45,0.78,2.65,2.34
"ROBERTS",50,376774,77.27,16.72,0.61,0.85,2.15,2.4
"GOMEZ",51,365655,5.12,0.75,1.01,0.26,0.26,92.6
"PHILLIPS",52,360802,76.69,17.09,0.58,1.03,2.17,2.44
"EVANS",53,355593,68.39,25.72,0.47,0.74,2.3,2.39
"TURNER",54,348627,64.25,30.13,0.42,0.6,2.38,2.23
"DIAZ",55,347636,5.19,0.65,1.19,0.16,0.25,92.56
"PARKER",56,336221,69.17,24.79,0.54,0.88,2.35,2.26
"CRUZ",57,334201,5.17,0.8,5.19,0.27,0.7,87.88
"EDWARDS",58,332423,62.13,31.63,0.5,0.77,2.47,2.5
"COLLINS",59,329770,71.61,22.43,0.49,0.77,2.23,2.47
"REYES",60,327904,4.41,0.59,5.58,0.24,0.59,88.58
"STEWART",61,324957,69.17,24.86,0.48,0.77,2.24,2.49
"MORRIS",62,318884,73.59,20.08,0.57,0.98,2.24,2.55
"MORALES",63,311777,4.63,0.57,1.18,0.17,0.21,93.23
"MURPHY",64,308417,83.11,11.53,0.58,0.68,1.76,2.34
"COOK",65,302589,81.8,12.55,0.57,0.92,1.98,2.17
"ROGERS",66,302261,75.4,18.53,0.54,0.82,2.1,2.62
"GUTIERREZ",67,293218,4.57,0.24,1.4,0.25,0.2,93.33
"ORTIZ",68,286899,4.96,0.64,0.67,0.37,0.25,93.11
"MORGAN",69,286280,76.07,17.27,0.54,1.24,2.1,2.78
"COOPER",70,280791,67.93,26.13,0.5,0.74,2.31,2.4
"PETERSON",71,278297,84.39,10.09,0.66,0.74,1.72,2.4
"BAILEY",72,277845,72.45,22,0.5,0.62,2.16,2.28
"REED",73,277030,71.29,22.63,0.51,1.05,2.3,2.22
"KELLY",74,267394,78.09,16.22,0.64,0.54,1.81,2.69
"HOWARD",75,264826,64.31,29.49,0.5,0.87,2.46,2.37
"RAMOS",76,263464,6.49,0.98,4.89,0.19,0.65,86.79
"KIM",77,262352,2.52,0.39,94.47,0.02,1.96,0.65
"COX",78,261231,82.62,12.07,0.5,0.67,1.82,2.33
"WARD",79,260464,75.58,18.5,0.49,0.91,2.08,2.44
"RICHARDSON",80,259798,59.7,33.63,0.48,1.1,2.44,2.65
"WATSON",81,252579,66.03,27.9,0.53,0.82,2.3,2.41
"BROOKS",82,251663,60.22,33.47,0.48,0.79,2.56,2.48
"CHAVEZ",83,250898,5.02,0.21,0.65,0.94,0.23,92.96
"WOOD",84,250715,88.72,5.57,0.66,0.84,1.79,2.42
"JAMES",85,249379,51.58,38.86,1.27,2.58,2.64,3.08
"BENNETT",86,247599,76.56,17.53,0.53,0.88,1.99,2.5
"GRAY",87,246116,68.68,25.13,0.54,0.91,2.33,2.41
"MENDOZA",88,242771,4.11,0.35,4.91,0.24,0.42,89.97
"RUIZ",89,238234,5.17,0.44,1.03,0.22,0.24,92.89
"HUGHES",90,236271,78.39,16.13,0.5,0.53,1.97,2.47
"PRICE",91,235251,73.93,20.51,0.51,0.66,2.14,2.24
"ALVAREZ",92,233983,5.18,0.6,1.16,0.38,0.23,92.45
"CASTILLO",93,230420,4.92,0.72,3.04,0.59,0.46,90.26
"SANDERS",94,230374,60.78,32.97,0.41,0.84,2.43,2.57
"PATEL",95,229973,2.1,0.38,94.78,0.65,1.65,0.44
"MYERS",96,229895,84.5,10.54,0.5,0.55,1.8,2.1
"LONG",97,229374,79.88,12.1,2.48,1.32,1.97,2.24
"ROSS",98,229368,68.96,24.46,0.61,0.9,2.32,2.75
"FOSTER",99,227764,69.65,23.94,0.55,0.88,2.33,2.65
"JIMENEZ",100,227118,3.84,0.29,1.49,0.2,0.21,93.97
"POWELL",101,224874,67.2,27.12,0.46,0.62,2.29,2.31
"JENKINS",102,222653,57.76,36.78,0.39,0.57,2.42,2.07
"PERRY",103,221741,68.32,25.2,0.57,0.81,2.43,2.67
"RUSSELL",104,221558,77.05,16.69,0.57,1.05,2.18,2.46
"SULLIVAN",105,220990,87.73,7.13,0.6,0.57,1.59,2.39
"BELL",106,220599,61.11,32.35,0.55,1.01,2.51,2.46
"COLEMAN",107,219070,49.43,44.6,0.4,0.53,2.79,2.25
"BUTLER",108,218847,62.36,31.54,0.45,0.84,2.45,2.35
"HENDERSON",109,218393,59.63,33.98,0.45,0.86,2.56,2.51
"BARNES",110,218241,64.81,29.28,0.48,0.75,2.35,2.33
"GONZALES",111,214758,9.83,0.99,3.8,0.76,0.56,84.06
"FISHER",112,214703,82.58,11.79,0.55,0.76,1.89,2.43
"VASQUEZ",113,212781,5.06,0.51,0.73,0.29,0.24,93.17
"SIMMONS",114,210182,57.91,36.15,0.47,0.67,2.52,2.29
"ROMERO",115,208614,8.65,0.5,1.3,0.69,0.37,88.5
"JORDAN",116,208403,61.44,30.73,0.55,0.72,2.45,4.11
"PATTERSON",117,205423,67.27,26.8,0.47,0.68,2.35,2.43
"ALEXANDER",118,204621,58.19,34.04,1.24,0.7,2.66,3.17
"HAMILTON",119,201746,70.21,23.71,0.54,0.8,2.29,2.45
"GRAHAM",120,201159,70.02,23.99,0.51,0.8,2.13,2.55
"REYNOLDS",121,200247,81.08,13.21,0.52,0.71,2.02,2.45
"GRIFFIN",122,198406,63.77,30.81,0.44,0.47,2.28,2.21
"WALLACE",123,197276,69.24,24.7,0.51,0.77,2.31,2.47
"MORENO",124,196925,6.09,0.43,0.67,0.37,0.22,92.23
"WEST",125,195818,75.48,18.48,0.49,0.83,2.27,2.45
"COLE",126,195289,75.33,18.89,0.55,0.72,2.1,2.41
"HAYES",127,194246,69.38,24.69,0.49,0.81,2.34,2.29
"BRYANT",128,192773,58.46,35.58,0.39,0.89,2.47,2.21
"HERRERA",129,192711,4.92,0.36,0.96,0.51,0.22,93.03
"GIBSON",130,190667,72.14,21.78,0.46,0.97,2.34,2.31
"ELLIS",131,188968,70.36,23.47,0.54,0.66,2.24,2.73
"TRAN",132,188498,1.35,0.1,96,0.03,1.7,0.81
"MEDINA",133,188497,5.69,0.6,1.92,0.3,0.33,91.16
"AGUILAR",134,186512,4.03,0.26,1.64,0.52,0.23,93.32
"STEVENS",135,185674,81.44,11.82,0.64,1.33,2.04,2.74
"MURRAY",136,184910,74.92,19.29,0.57,0.6,2.02,2.6
"FORD",137,184832,62.05,32,0.45,0.61,2.52,2.37
"CASTRO",138,184134,7.29,0.66,3.74,0.24,0.64,87.42
"MARSHALL",139,183922,66.03,27.51,0.58,0.96,2.34,2.58
"OWENS",140,182719,65.85,28.41,0.36,0.75,2.47,2.17
"HARRISON",141,181091,68.66,24.45,0.52,1.39,2.27,2.7
"FERNANDEZ",142,180842,8.77,1.15,5.38,0.18,0.93,83.58
"MCDONALD",143,180497,76.65,17.28,0.55,0.78,2.01,2.73
"WOODS",144,177425,58.3,35.3,0.42,0.88,2.74,2.35
"WASHINGTON",145,177386,5.17,87.53,0.3,0.68,3.78,2.54
"KENNEDY",146,176865,80.82,13.63,0.62,0.61,1.87,2.45
"WELLS",147,176230,74,20,0.49,0.87,2.22,2.41
"VARGAS",148,173835,5.41,0.42,0.85,0.18,0.22,92.92
"HENRY",149,170964,61.43,30.68,0.84,1.87,2.34,2.84
"CHEN",150,169580,1.4,0.3,96.12,0.02,1.64,0.52
"FREEMAN",151,169149,65.5,28.34,0.52,0.95,2.38,2.3
"WEBB",152,168878,75.53,19.08,0.46,0.66,1.99,2.29
"TUCKER",153,167446,70.01,24.17,0.45,0.78,2.25,2.35
"GUZMAN",154,167044,4.11,0.42,1.29,0.15,0.27,93.77
"BURNS",155,165925,80.26,14.06,0.59,0.78,1.83,2.48
"CRAWFORD",156,164457,68.56,25.65,0.49,0.75,2.3,2.24
"OLSON",157,164035,94.76,0.4,0.66,0.72,1.43,2.03
"SIMPSON",158,163181,70.78,23.09,0.53,0.78,2.3,2.53
"PORTER",159,163054,68.57,25.4,0.55,0.72,2.31,2.45
"HUNTER",160,162440,60.78,32.69,0.48,1.02,2.63,2.41
"GORDON",161,161833,64.25,29.15,0.62,0.68,2.26,3.04
"MENDEZ",162,161717,4.48,0.78,0.48,0.24,0.18,93.83
"SILVA",163,161633,32.61,2.03,2.01,0.39,1.62,61.34
"SHAW",164,160400,72.07,21.19,1.48,0.75,2.15,2.36
"SNYDER",165,160262,94.07,1.46,0.59,0.52,1.45,1.92
"MASON",166,160213,68.82,25.1,0.53,0.76,2.38,2.41
"DIXON",167,159480,54.25,39.26,0.43,0.96,2.61,2.49
"MUNOZ",168,158483,4.89,0.3,0.91,0.21,0.21,93.48
"HUNT",169,158421,73.57,16.93,0.61,4.23,2.35,2.31
"HICKS",170,158320,67.37,26.88,0.42,0.98,2.23,2.13
"HOLMES",171,156780,56.79,37.28,0.42,0.76,2.37,2.38
"PALMER",172,156601,75.08,18.57,0.55,0.81,2.11,2.87
"WAGNER",173,155795,92.47,2.6,0.58,0.54,1.4,2.41
"BLACK",174,154738,74.63,19,0.53,1.44,2.08,2.33
"ROBERTSON",175,153666,73.42,20.61,0.52,0.89,2.11,2.46
"BOYD",176,153469,63.18,30.77,0.51,1.02,2.36,2.16
"ROSE",177,153397,82.08,11.61,0.72,0.64,1.99,2.96
"STONE",178,153329,85.95,8.13,0.65,0.95,1.93,2.39
"SALAZAR",179,152703,5.62,0.27,1.69,0.46,0.3,91.65
"FOX",180,152334,88.08,6.06,0.56,1.03,1.84,2.42
"WARREN",181,152147,70.08,23.94,0.55,0.84,2.26,2.33
"MILLS",182,151942,77.5,16.77,0.51,0.82,2.06,2.33
"MEYER",183,150895,94.84,0.52,0.71,0.29,1.37,2.28
"RICE",184,149500,77.63,16.74,0.57,0.74,1.99,2.33
"SCHMIDT",185,147034,95.15,0.37,0.61,0.34,1.19,2.34
"GARZA",186,147005,6.66,0.24,0.17,0.28,0.15,92.49
"DANIELS",187,146570,54.67,38.54,0.51,0.91,2.68,2.7
"FERGUSON",188,146426,74.83,19.19,0.6,0.62,2.23,2.53
"NICHOLS",189,145584,82.42,11.88,0.52,0.76,1.99,2.43
"STEPHENS",190,144646,73.9,20.31,0.46,0.67,2.12,2.54
"SOTO",191,144451,5.15,0.48,0.44,0.26,0.22,93.45
"WEAVER",192,143837,84.41,9.99,0.52,1.09,1.87,2.12
"RYAN",193,143452,91.65,3.02,0.89,0.43,1.46,2.55
"GARDNER",194,142894,75.01,19.4,0.56,0.7,2.04,2.29
"PAYNE",195,142601,71.55,22.63,0.45,0.58,2.37,2.42
"GRANT",196,142277,55.36,37.91,0.52,1.08,2.35,2.79
"DUNN",197,141427,80.08,14.39,0.75,0.59,1.94,2.25
"KELLEY",198,140693,83.78,10.8,0.55,0.66,2.03,2.18
"SPENCER",199,139951,69.41,23.22,0.76,1.47,2.48,2.67
"HAWKINS",200,139751,61.08,32.75,0.48,0.69,2.5,2.5
"ARNOLD",201,138893,81.27,13.34,0.57,0.55,1.87,2.41
"PIERCE",202,138629,80.98,12.86,0.53,1.06,2.1,2.47
"VAZQUEZ",203,138322,3.53,0.35,0.18,0.06,0.12,95.75
"HANSEN",204,137977,94.22,0.53,0.74,0.49,1.47,2.54
"PETERS",205,137513,82.86,10.41,0.98,1.33,1.86,2.55
"SANTOS",206,137232,20.06,2.31,13.32,0.27,1.85,62.2
"HART",207,137184,80.54,13.64,0.56,0.73,2.01,2.52
"BRADLEY",208,136720,69.12,25.09,0.44,0.82,2.19,2.34
"KNIGHT",209,136713,72.31,21.61,0.52,0.9,2.17,2.5
"ELLIOTT",210,135765,81.62,12.96,0.54,0.66,2,2.21
"CUNNINGHAM",211,135718,73.16,21.18,0.53,0.48,2.07,2.58
"DUNCAN",212,135187,76.39,17.33,0.52,0.99,2.21,2.55
"ARMSTRONG",213,135044,72.39,21.01,0.58,0.93,2.31,2.79
"HUDSON",214,134963,66.88,27.42,0.46,0.84,2.2,2.2
"CARROLL",215,134317,82.95,11.48,0.61,0.67,1.92,2.36
"LANE",216,134227,77.14,16.88,0.61,0.92,2.12,2.33
"RILEY",217,133872,72.79,21.27,0.51,0.87,2.08,2.48
"ANDREWS",218,133799,71.78,21.58,0.78,1.09,2.2,2.57
"ALVARADO",219,133501,4.29,0.33,0.53,0.23,0.2,94.42
"RAY",220,133171,74.97,17.54,1.94,0.93,2.05,2.56
"DELGADO",221,132985,5.57,0.72,0.8,0.19,0.25,92.47
"BERRY",222,132812,70.66,23.11,0.56,0.8,2.34,2.53
"PERKINS",223,131440,69.45,24.6,0.53,0.73,2.33,2.37
"HOFFMAN",224,131401,94.08,1.26,0.63,0.56,1.34,2.12
"JOHNSTON",225,131373,91.62,2.41,0.68,0.83,1.84,2.62
"MATTHEWS",226,131303,63.37,30.67,0.62,0.58,2.36,2.39
"PENA",227,130776,5.34,0.52,1.09,0.31,0.24,92.5
"RICHARDS",228,130529,78.67,14.86,0.66,1.04,1.96,2.81
"CONTRERAS",229,130164,4.19,0.21,0.55,0.25,0.16,94.64
"WILLIS",230,130152,62.22,31.07,0.51,1.33,2.55,2.31
"CARPENTER",231,129898,86.21,8.49,0.57,0.68,1.87,2.18
"LAWRENCE",232,129699,68.87,24.65,0.74,0.93,2.3,2.5
"SANDOVAL",233,128948,5.29,0.21,0.55,1.77,0.25,91.93
"GUERRERO",234,128677,4.55,0.33,2.2,0.22,0.43,92.27
"GEORGE",235,128625,66.47,18.46,7.62,2.24,2.04,3.16
"CHAPMAN",236,127939,79.51,14.62,0.57,0.81,2.03,2.47
"RIOS",237,127794,4.99,0.44,0.43,0.32,0.22,93.61
"ESTRADA",238,127470,4.58,0.43,1.66,0.2,0.28,92.86
"ORTEGA",239,127256,4.77,0.29,1.15,0.43,0.25,93.11
"WATKINS",240,127083,62.03,32.27,0.42,0.64,2.56,2.09
"GREENE",241,126101,67.7,26.54,0.48,0.73,2.34,2.21
"NUNEZ",242,125350,5.28,0.67,0.83,0.26,0.23,92.72
"WHEELER",243,125058,80.96,13.29,0.5,0.93,1.97,2.35
"VALDEZ",244,124995,6.29,0.48,3.35,0.65,0.56,88.66
"HARPER",245,124461,67.9,26.22,0.49,0.72,2.36,2.31
"BURKE",246,122877,85.93,8.76,0.68,0.54,1.68,2.41
"LARSON",247,122587,94.79,0.49,0.74,0.62,1.41,1.95
"SANTIAGO",248,122212,5.41,1.31,4.5,0.14,0.58,88.06
"MALDONADO",249,121526,4.97,0.5,0.4,0.19,0.23,93.71
"MORRISON",250,121130,79.11,14.82,0.61,0.98,1.99,2.49
"FRANKLIN",251,120621,54.38,38.76,0.54,0.83,2.78,2.7
"CARLSON",252,120552,94.83,0.46,0.77,0.49,1.38,2.07
"AUSTIN",253,119706,67.47,26.01,0.61,0.8,2.34,2.78
"DOMINGUEZ",254,119304,5.04,0.38,1.03,0.25,0.21,93.09
"CARR",255,119076,73.61,20.82,0.49,0.59,2.08,2.41
"LAWSON",256,119053,73.84,20.74,0.43,0.65,2.15,2.2
"JACOBS",257,118614,74.28,16.71,0.59,3.75,2.16,2.52
"OBRIEN",258,118557,93.85,1.29,0.76,0.37,1.42,2.32
"LYNCH",259,117708,82.3,11.74,0.59,1.07,1.78,2.52
"SINGH",260,116749,4.29,4.48,82.77,1.15,4.81,2.5
"VEGA",261,116673,5.53,0.56,0.73,0.22,0.29,92.68
"BISHOP",262,116618,84.44,10.14,0.61,0.57,1.86,2.37
"MONTGOMERY",263,115953,67.86,26.23,0.59,0.61,2.37,2.35
"OLIVER",264,115900,64.19,27.45,0.68,0.74,2.43,4.52
"JENSEN",265,115679,93.97,0.44,0.73,0.82,1.4,2.64
"HARVEY",266,115662,68,25,0.52,1.71,2.25,2.52
"WILLIAMSON",267,114959,77.17,17.41,0.5,0.7,1.94,2.27
"GILBERT",268,114940,77.8,15.92,0.57,0.69,2.04,2.98
"DEAN",269,114030,76.61,16.82,1.06,0.68,2.2,2.63
"SIMS",270,113374,54.29,39.89,0.41,0.55,2.62,2.24
"ESPINOZA",271,112154,4.03,0.23,0.38,0.27,0.17,94.91
"HOWELL",272,112041,79.48,15.08,0.46,0.72,1.8,2.46
"LI",273,111786,1.49,0.19,96.78,0.02,0.89,0.63
"WONG",274,111371,3.48,0.79,86.49,0.04,5.2,4
"REID",275,111360,59.83,34.1,0.61,0.56,2.28,2.62
"HANSON",276,111144,92.11,2.85,0.7,0.67,1.55,2.11
"LE",277,110967,1.49,0.23,95.59,0.03,1.92,0.75
"MCCOY",278,110744,66.88,26.71,0.46,0.89,2.43,2.64
"GARRETT",279,110697,69.96,24.45,0.44,0.6,2.34,2.2
"BURTON",280,110529,67.32,27.06,0.53,0.51,2.25,2.34
"FULLER",281,110116,73.22,21.06,0.6,0.63,2.16,2.33
"WANG",282,109883,2.59,0.29,95.24,0.02,1.5,0.35
"WEBER",283,109433,94.29,1.29,0.63,0.36,1.25,2.18
"WELCH",284,108987,83.47,10.44,0.54,1.11,1.9,2.55
"ROJAS",285,108421,4.12,0.37,0.76,0.12,0.16,94.46
"LUCAS",286,107690,69.1,18.51,1.63,0.52,2.19,8.05
"MARQUEZ",287,107533,5.1,0.54,2.83,0.37,0.46,90.7
"FIELDS",288,107522,57.66,35.78,0.39,1.24,2.66,2.28
"PARK",289,106696,23.34,0.79,72.98,0.16,1.74,1
"YANG",290,106033,1.03,0.2,96.81,0.02,1.5,0.45
"LITTLE",291,105936,70.11,24.26,0.44,1.26,1.93,2.01
"BANKS",292,105833,39.27,54.51,0.36,0.43,2.98,2.45
"PADILLA",293,105365,6.15,0.4,2.1,0.79,0.41,90.16
"DAY",294,105091,83.08,10.44,1.02,1.08,1.97,2.4
"WALSH",295,105079,94.48,1.11,0.65,0.23,1.35,2.2
"BOWMAN",296,105007,80.82,13.62,0.48,0.8,2.05,2.23
"SCHULTZ",297,104888,94.81,0.7,0.59,0.41,1.28,2.22
"LUNA",298,104518,8.15,0.4,1.84,0.41,0.41,88.78
"FOWLER",299,104515,81.41,12.89,0.48,0.96,2.1,2.16
"MEJIA",300,104057,3.37,0.45,1.33,0.14,0.2,94.51
"DAVIDSON",301,103930,84.38,10.08,0.65,0.65,1.88,2.35
"ACOSTA",302,103418,6.96,0.62,2.26,0.26,0.43,89.48
"BREWER",303,103318,81.3,12.64,0.42,1.35,2.09,2.19
"MAY",304,103306,83.55,9.57,1.22,0.73,1.89,3.04
"HOLLAND",305,102538,76.77,17.67,0.46,0.57,2.16,2.37
"JUAREZ",306,101949,3.42,0.22,0.39,0.16,0.15,95.66
"NEWMAN",307,101931,83.03,11.08,0.61,0.69,1.99,2.6
"PEARSON",308,101836,72.14,22.51,0.56,0.41,2.14,2.24
"CURTIS",309,101801,77.9,15.84,0.53,1.03,2.13,2.57
"CORTEZ",310,101694,6,0.7,2.92,0.29,0.44,89.65
"DOUGLAS",311,101458,58.62,34.67,0.52,0.7,2.69,2.8
"SCHNEIDER",312,101290,95.35,0.43,0.59,0.27,1.2,2.16
"JOSEPH",313,100959,29.59,54.19,9.76,0.99,2.49,2.98
"BARRETT",314,100104,80.7,13.4,0.67,0.62,1.96,2.65
"NAVARRO",315,99807,6.66,0.38,4.04,0.23,0.55,88.14
"FIGUEROA",316,98468,4.93,0.84,1,0.15,0.26,92.82
"KELLER",317,98268,91.4,3.86,0.57,0.46,1.45,2.26
"AVILA",318,97314,7.02,0.43,1.11,0.23,0.26,90.96
"WADE",319,97040,64.94,29.08,0.47,0.74,2.44,2.34
"MOLINA",320,96979,5.82,0.51,2.28,0.64,0.42,90.32
"STANLEY",321,96867,78.79,15.1,0.74,1.16,1.95,2.27
"HOPKINS",322,96810,73.56,20.66,0.48,0.92,2.25,2.14
"CAMPOS",323,96111,7.11,0.39,1.38,0.21,0.39,90.52
"BARNETT",324,95681,76.44,17.47,0.43,0.9,2.2,2.56
"BATES",325,95622,75.35,18.9,0.55,0.76,2.03,2.41
"CHAMBERS",326,94988,65.7,28.5,0.45,0.58,2.29,2.47
"CALDWELL",327,93944,68.05,26.18,0.42,0.74,2.32,2.29
"BECK",328,93786,90.27,4.53,0.74,0.63,1.66,2.17
"LAMBERT",329,93678,83.66,9.88,0.59,1.3,1.77,2.79
"MIRANDA",330,93628,12.32,1.34,4.21,0.42,0.75,80.97
"BYRD",331,92904,59.01,34.59,0.36,1.3,2.64,2.11
"CRAIG",332,92507,79.03,15.15,0.61,0.78,2.06,2.37
"AYALA",333,92463,4.37,0.54,0.47,0.2,0.18,94.25
"LOWE",334,92260,73.04,19.35,1.68,0.96,2.41,2.56
"FRAZIER",335,92152,56.1,37.36,0.4,1.36,2.51,2.27
"POWERS",336,91970,89.6,5.15,0.65,0.55,1.65,2.39
"NEAL",337,91694,62.1,31.84,0.6,0.68,2.61,2.16
"LEONARD",338,91475,80.38,14.07,0.59,0.77,1.77,2.42
"GREGORY",339,91384,78.64,15.56,0.57,0.75,1.99,2.49
"CARRILLO",340,91129,5.13,0.24,0.68,0.36,0.24,93.33
"SUTTON",341,90964,72.77,21.7,0.48,0.68,2.24,2.13
"FLEMING",342,90677,71.71,22.76,0.62,0.52,2.21,2.19
"RHODES",343,90670,74.76,20.04,0.48,0.62,1.92,2.17
"SHELTON",344,90517,73.49,20.64,0.47,0.67,2.5,2.23
"SCHWARTZ",345,90071,95.93,0.44,0.57,0.21,0.96,1.89
"NORRIS",346,89796,79.88,14.41,0.52,0.94,2.04,2.2
"JENNINGS",347,89700,70.87,23.06,0.7,0.66,2.25,2.45
"WATTS",348,89649,68.62,25.52,0.48,0.77,2.35,2.26
"DURAN",349,89401,9.93,0.54,1.23,0.78,0.41,87.11
"WALTERS",350,89376,82.92,11.29,0.65,0.82,1.69,2.63
"COHEN",351,89091,88.89,5.97,0.66,0.11,1.08,3.29
"MCDANIEL",352,88728,76.18,18.35,0.43,0.64,2.05,2.35
"MORAN",353,88615,64.14,2.43,0.7,0.79,1.13,30.81
"PARKS",354,88586,69.39,24.91,0.59,0.67,2.38,2.06
"STEELE",355,88230,78.25,15.6,0.53,1.15,2.02,2.43
"VAUGHN",356,88060,71.52,22.67,0.44,0.75,2.34,2.27
"BECKER",357,87859,94.89,0.52,0.66,0.34,1.26,2.33
"HOLT",358,87531,79.38,14.85,0.57,0.87,2.24,2.1
"DELEON",359,87414,6.64,1.04,8.31,0.21,0.74,83.06
"BARKER",360,87162,86.48,7.83,0.68,0.65,1.92,2.44
"TERRY",361,87000,66.28,27.34,0.56,0.7,2.44,2.68
"HALE",362,86618,82.23,11.41,0.54,1.19,2.21,2.42
"LEON",363,86363,9.99,2.95,1.04,0.37,0.44,85.21
"HAIL",364,86240,73.14,21.6,0.37,0.53,2.09,2.27
"BENSON",365,86081,77.85,16.24,0.79,0.77,1.95,2.41
"HAYNES",366,85974,61.08,33.19,0.42,0.58,2.25,2.47
"HORTON",367,85195,69.99,24.3,0.52,0.69,2.27,2.23
"MILES",368,84942,61.33,32.35,0.49,0.78,2.61,2.44
"LYONS",369,84516,74.88,19.17,0.5,1.01,2.1,2.34
"PHAM",370,84320,0.9,0.2,96.33,0.03,1.81,0.72
"GRAVES",371,84179,69.64,24.19,0.48,0.71,2.38,2.6
"BUSH",372,84018,71.73,22.44,0.57,0.82,2.15,2.29
"THORNTON",373,83967,67.42,27.08,0.46,0.62,2.34,2.06
"WOLFE",374,83928,90.77,3.6,0.52,1.37,1.66,2.09
"WARNER",375,83781,84.22,10.24,0.65,0.61,1.87,2.41
"CABRERA",376,83621,4.47,0.41,3.52,0.12,0.45,91.02
"MCKINNEY",377,83616,68.84,25.18,0.4,0.88,2.37,2.34
"MANN",378,83510,80.39,9.9,3.61,1.32,2.12,2.66
"ZIMMERMAN",379,83265,93.84,2.32,0.52,0.3,1.18,1.85
"DAWSON",380,83182,68.3,25.88,0.64,0.57,2.29,2.33
"LARA",381,83067,5.67,0.37,1.14,0.3,0.24,92.28
"FLETCHER",382,83063,72.86,20.92,0.58,0.74,2.3,2.6
"PAGE",383,82992,75.12,18.93,0.66,0.65,2.02,2.62
"MCCARTHY",384,82950,92.29,3.25,0.68,0.27,1.27,2.24
"LOVE",385,82873,56.49,37.03,0.54,0.51,2.9,2.53
"ROBLES",386,82458,5.07,0.43,2.05,0.36,0.3,91.78
"CERVANTES",387,82161,3.31,0.16,0.91,0.18,0.14,95.31
