"group","cand_id","cand_name","office","office_st","party","ttl_receipts"
132,"H6FL08213","GRAYSON, ALAN MARK","House","FL","DEM",832018
132,"S2FL00581","GRAYSON, ALAN MARK","Senate","FL","DEM",832018
132,"S6FL00376","GRAYSON, ALAN MARK","Senate","FL","DEM",832018
131,"H4NC06052","WALKER, BRADLEY MARK MR.","House","NC","REP",826948
131,"S2NC00307","WALKER, BRADLEY MARK MR.","Senate","NC","REP",826948
129,"H8WY00148","LUMMIS, CYNTHIA MARIE","House","WY","REP",805806
129,"S0WY00137","LUMMIS, CYNTHIA MARIE MRS.","Senate","WY","REP",805806
128,"H0FL23090","SPALDING, CARLA A","House","FL","REP",759650
128,"H6FL18121","SPALDING, CARLA ARLENE","House","FL","REP",759650
117,"H4OK05199","HORN, MADISON","House","OK","DEM",591404
117,"S2OK00152","HORN, MADISON","Senate","OK","DEM",591404
116,"H2NY23152","FRATTO, MARIO","House","NY","REP",560050
116,"H4NY24115","FRATTO, MARIO","House","NY","REP",560050
112,"H4NH02373","MANSHARAMANI, VIKRAM","House","NH","REP",539919
112,"S2NH00272","MANSHARAMANI, VIKRAM","Senate","NH","REP",539919
111,"H4OH07056","KUCINICH, DENNIS","House","OH","UN",538887
111,"H6OH23033","KUCINICH, DENNIS J","House","OH","UN",538887
100,"H8OH15050","MILLER, ADAM CLAY","House","OH","DEM",476225
100,"H4OH15083","MILLER, ADAM CLAY","House","OH","DEM",476225
89,"H0MN06051","JUDE, TAD","House","MN","REP",380144
89,"H4MN03159","JUDE, TAD","House","MN","REP",380144
88,"H4MD03248","DOMINGUEZ, JUAN","House","MD","DEM",379860
88,"S4MD00350","DOMINGUEZ, JUAN","Senate","MD","DEM",379860
75,"H2OH15202","HWANG, THOMAS","House","OH","REP",254000
75,"H4OH02289","HWANG, TOM","House","OH","REP",254000
70,"H4KS02107","BOYDA, NANCY E","House","KS","DEM",245108
70,"H4KS02206","BOYDA, NANCY E","House","KS","DEM",245108
57,"H0MD07171","HILL, TERRI","House","MD","DEM",206276
57,"H4MD03172","HILL, TERRI","House","MD","DEM",206276
50,"H4LA06229","GUILLORY, ELBERT LEE","House","LA","REP",192851
50,"H4LA06237","GUILLORY, ELBERT LEE","House","LA","REP",192851
46,"H0MD07197","KLACIK, KIMBERLY","House","MD","REP",169861
46,"H4MD02265","KLACIK, KIMBERLY","House","MD","REP",169861
43,"H2OH08082","HEIMLICH, PHIL","House","OH","REP",166961
43,"H8OH02058","HEIMLICH, PHILIP MURRAY","House","OH","REP",166961
38,"H0CT04229","GOLDSTEIN, MICHAEL","House","CT","REP",156511
38,"H4CT04163","GOLDSTEIN, MICHAEL","House","CT","REP",156511
33,"S2IN00166","MCCRAY, VALERIE L DR","Senate","IN","DEM",142090
33,"P00010660","MCCRAY, VALERIE LIN DR.","President","00","IND",142090
30,"H4MI08226","HUDSON, ANTHONY JASON","House","MI","REP",141048
30,"P40008765","HUDSON, ANTHONY JASON","President","00","REP",141048
27,"H4TX06224","LOVE, JOHN BENARD III","House","TX","DEM",135301
27,"S0TX00308","LOVE, JOHN BENARD III","Senate","TX","DEM",135301
22,"H4UT01132","CAMPBELL, BILL","House","UT","DEM",124000
22,"H2UT01276","CAMPBELL, WILLIAM","House","UT","REP",124000
17,"H4WA05200","DANSEL, BRIAN","House","WA","REP",112660
17,"H4WA05218","DANSEL, BRIAN","House","WA","REP",112660
15,"H4MN03084","HARRIS, RON","House","MN","DEM",108667
15,"H4MN03092","HARRIS, RON","House","MN","DEM",108667
15,"H4MN03100","HARRIS, RON","House","MN","DEM",108667
11,"H4SD01047","MCNEAL, JUSTIN SHAD MR","House","SD","REP",104938
11,"H4SD01054","MCNEAL, JUSTIN SHAD MR","House","SD","REP",104938
134,"H2CA25259","THAKUR, ALBERT 'BURT'","House","CA","REP",86526
134,"H4TX03114","THAKUR, ALBERT BURT","House","TX","REP",86526
122,"H4MO01167","ASHBY, STEPHAN BLAKE","House","MO","OTH",63833.2
122,"P40003170","ASHBY, STEPHAN BLAKE","President","00","LIB",63833.2
113,"H6GA03170","EKPETE KAMA, ULOMA","House","GA","REP",54190.8
113,"H6GA03188","EKPETE KAMA, ULOMA","House","GA","REP",54190.8
113,"H6GA14052","EKPETE KAMA, ULOMA","House","GA","REP",54190.8
113,"H4LA02129","EKPETE KAMA, ULOMA","House","LA","DEM",54190.8
113,"H4LA02137","EKPETE KAMA, ULOMA","House","LA","DEM",54190.8
113,"H4FL01262","EKPETE KAMA, ULOMA DR.","House","FL","REP",54190.8
113,"H6GA14045","EKPETE, ULOMA","House","GA","REP",54190.8
113,"H4GA02110","KAMA, ULOMA S. DR.","House","GA","DEM",54190.8
108,"S4WI00173","ANDERSON, PHILLIP NORMAN","Senate","WI","IND",52739
108,"S6WI00152","ANDERSON, PHILLIP NORMAN","Senate","WI","LIB",52739
105,"H4NJ08105","JASEY, KYLE FORT","House","NJ","DEM",51350.3
105,"S4NJ00425","JASEY, KYLE FORT","Senate","NJ","DEM",51350.3
104,"H6MN06074","BACHMANN, MICHELE","House","MN","REP",50177.2
104,"P20002978","BACHMANN, MICHELE","President","00","REP",50177.2
102,"S2CA00872","LIEW, SARAH DR.","Senate","CA","REP",48420
102,"H0CA33216","LIEW, SARAH SUN DR.","House","CA","REP",48420
93,"S0TN00342","BRADSHAW, MARQUITA","Senate","TN","DEM",39727.7
93,"S4TN00542","BRADSHAW, MARQUITA","Senate","TN","DEM",39727.7
92,"H8PA18181","LAMB, CONOR","House","PA","DEM",39385.4
92,"S2PA00562","LAMB, CONOR","Senate","PA","DEM",39385.4
91,"H6FL01366","SALZMAN, MICHELLE","House","FL","REP",39246.2
91,"H6FL01374","SALZMAN, MICHELLE","House","FL","REP",39246.2
87,"S2MO00726","LONG, BILLY","Senate","MO","REP",35977.3
87,"H0MO07113","LONG, BILLY MR.","House","MO","REP",35977.3
86,"P00007823","LEE, HUHNKIE","President","00","IND",34330
86,"S2AK00135","LEE, HUHNKIE","Senate","AK","IND",34330
85,"H2FL13139","SCHNEIDER, JAN","House","FL","DEM",32722.8
85,"H4FL16161","SCHNEIDER, JAN","House","FL","DEM",32722.8
83,"H4TN04155","FAPARUSI, YOMI DR. SR.","House","TN","REP",32066.4
83,"H4TN05152","FAPARUSI, YOMI FAPAS DR","House","TN","IND",32066.4
81,"H8FL10066","DARIUS, WADESON","House","FL","DEM",30107.5
81,"H4FL10149","DARIUS, WADESON WADE","House","FL","DEM",30107.5
76,"H4TN08099","MILLS, JOHN JOHN","House","TN","REP",25780
76,"H6FL01143","MILLS, RALPH JOHN III","House","FL","REP",25780
71,"H4CA20207","STOLL, MATTHEW","House","CA","REP",24845
71,"H2CA22249","STOLL, MATTHEW","House","CA","REP",24845
68,"H2TX06384","CASTRO, JOHN ANTHONY","House","TX","REP",23998.7
68,"P40007312","CASTRO, JOHN ANTHONY","President","00","REP",23998.7
68,"S0TX00357","CASTRO, JOHN ANTHONY","Senate","TX","REP",23998.7
67,"S8TN00352","FINCHER, STEPHEN","Senate","TN","REP",23909
67,"H0TN08246","FINCHER, STEVE MR.","House","TN","REP",23909
59,"H2RI01202","WATERS, ALLEN","House","RI","REP",21583
59,"H4RI01141","WATERS, ALLEN","House","RI","REP",21583
59,"S4RI00069","WATERS, ALLEN","Senate","RI","DEM",21583
59,"S6RI00262","WATERS, ALLEN","Senate","RI","REP",21583
56,"H0OH11072","MANDEL, JOSHUA A","House","OH","REP",20613.2
56,"S2OH00170","MANDEL, JOSHUA A.","Senate","OH","REP",20613.2
55,"H0OR03174","HARBOUR, JOANNA","House","OR","REP",20339.5
55,"H4OR03218","HARBOUR, JOANNA","House","OR","REP",20339.5
45,"H4FL03136","STEVENS, ALEC","House","FL","REP",16900
45,"H4FL03144","STEVENS, ALEC","House","FL","REP",16900
42,"H4FL07145","FERNANDEZ, HILSIA TATIANA","House","FL","DEM",16624.4
42,"H2FL07289","FERNANDEZ, HLSIA","House","FL","DEM",16624.4
39,"S4NY00271","SALEM, KHALED","Senate","NY","DEM",16000
39,"S0NY00667","SALEM, KHALED MR","Senate","NY","DEM",16000
36,"H2NJ11186","DEGROOT, PAUL","House","NJ","REP",15000
36,"H4CA47226","SMITH, WILLIAM","House","CA","NOP",15000
35,"H0PA17115","PARNELL, RICHARD SEAN","House","PA","REP",14791.8
35,"S2PA00505","PARNELL, RICHARD SEAN","Senate","PA","REP",14791.8
31,"H2CA36447","REISS, JONATHAN","House","CA","REP",14156.2
31,"S4CA00670","REISS, JONATHAN","Senate","CA","REP",14156.2
26,"H2FL10358","BROWN, CORRINE","House","FL","DEM",12500
26,"H2NY16073","CASANOVA DOMINGUEZ, MANUEL IGNACIO","House","NY","DEM",12500
25,"S2NV00399","CONRAD, WILLIAM ""BILL""","Senate","NV","REP",12476
25,"S4NV00296","CONRAD, WILLIAM BRYAN","Senate","NV","REP",12476
21,"S6IL00391","BENNETT, DOUGLAS","Senate","IL","REP",12000
21,"H8IL10115","BENNETT, DOUGLAS R 1963","House","IL","REP",12000
16,"H4AZ08074","SPREITZER, JEREMY","House","AZ","DEM",11215.2
16,"H2AZ08201","SPREITZER, JEREMY","House","AZ","IND",11215.2
16,"H2AZ08193","SPREITZER, JEREMY","House","AZ","W",11215.2
10,"H2MD08175","GLUCK , GEORGE","House","MD","DEM",10291
10,"H4MD06449","GLUCK, GEORGE","House","MD","DEM",10291
10,"H4MD06456","GLUCK, GEORGE","House","MD","DEM",10291
9,"H4CO03415","HERNANDEZ, FRANK","House","CO","IND",10000
9,"H4CA11198","MIKELS, MARJORIE MS","House","CA","DEM",10000
9,"H6CA41166","MIKELS, MARJORIE MUSSER","House","CA","DEM",10000
9,"P00016253","SCURLOCK, FRANK MIALS","President","00","IND",10000
141,"H0MO04086","HARTZLER, VICKY","House","MO","REP",9817.91
141,"S2MO00593","HARTZLER, VICKY J","Senate","MO","REP",9817.91
140,"H2VA07147","BARVE, GARY","House","VA","REP",9516.64
140,"S4VA00320","BARVE, GARY","Senate","VA","REP",9516.64
136,"H6WI08163","NELSON, TOM","House","WI","DEM",9090
136,"S0WI00247","NELSON, TOM","Senate","WI","DEM",9090
133,"H4WA05184","GUENTHER, JOHN","House","WA","REP",8368.35
133,"S4WA00607","GUENTHER, JOHN","Senate","WA","REP",8368.35
133,"S2WA00510","GUENTHER, JOHN","Senate","WA","REP",8368.35
130,"H4SC01073","SANFORD, MARSHALL C. HON.","House","SC","REP",8079.91
130,"P00013649","SANFORD, MARSHALL HON","President","00","REP",8079.91
126,"H8OK05109","HORN, KENDRA","House","OK","DEM",7142.12
126,"S2OK00228","HORN, KENDRA","Senate","OK","DEM",7142.12
120,"S4CA00704","ROSE, JOHN","Senate","CA","DEM",6317.73
120,"S4CA00712","ROSE, JOHN DAVID","Senate","CA","DEM",6317.73
118,"H6WV01111","JACKSON, LARRY","House","WV","REP",6000
119,"H4CO03290","KARPAS, DAVID M MR.","House","CO","REP",6000
118,"H8MA03072","KOH, DANIEL ARRIGG","House","MA","DEM",6000
119,"P40010647","LANG, TRAVIS KEITH","President","00","REP",6000
106,"H2NC06106","GANORKAR, MAHESH","House","NC","UN",5139.75
106,"H4NC02150","GANORKAR, MAHESH","House","NC","UN",5139.75
103,"H2UT04072","HUNSAKER, JAKE","House","UT","REP",5000
103,"H2IL08161","KOPSAFTIS, PETER","House","IL","REP",5000
103,"H2AZ06247","NORTON, ELIJAH","House","AZ","REP",5000
103,"H4TN07166","OGLES, BRANDON THOMAS","House","TN","REP",5000
96,"H2CA14220","SINGH, MAJOR","House","CA","NPA",4201
96,"S4CA00761","SINGH, MAJOR","Senate","CA","NOP",4201
95,"H2TX30129","MANNING, ZACHARIAH C.","House","TX","DEM",4060.11
95,"H4TX32048","MANNING, ZACHARIAH C.","House","TX","DEM",4060.11
95,"S4TX00714","MANNING, ZACHARIAH C.","Senate","TX","DEM",4060.11
94,"H0PA04279","BARNETTE, KATHY","House","PA","REP",4000
94,"S2PA00489","BARNETTE, KATHY","Senate","PA","REP",4000
79,"S4MA00325","GRIFFIN, BRANDON JAMES","Senate","MA","OTH",2999.01
79,"S4MA00333","GRIFFIN, BRANDON JAMES","Senate","MA","OTH",2999.01
51,"P40019523","BELL, DOUGLAS","President","00","IND",1991.31
51,"P40019507","BELL, DOUGLAS MR","President","00","IND",1991.31
37,"S4NM00191","ROBERTS, JOHN THOMAS","Senate","NM","REP",1537
37,"S4NM00209","ROBERTS, JOHN THOMAS","Senate","NM","REP",1537
18,"S2UT00385","WESTON, JOHN","Senate","UT","DEM",1150
18,"H0UT02302","WESTON, JOHN KAEL MR","House","UT","DEM",1150
8,"H2OR06108","ALONSO LEON, TERESA","House","OR","DEM",1000
8,"H2NC11155","BEACH-FERRARA, JASMINE","House","NC","DEM",1000
7,"H8WA05193","BROWN, LISA","House","WA","DEM",1000
7,"H8WI01123","BRYCE, RANDY","House","WI","DEM",1000
8,"H0NH01282","MOWERS, MATT","House","NH","REP",1000
7,"H6NC04037","PRICE, DAVID","House","NC","DEM",1000
8,"H8FL00034","TADDEO, ANNETTE","House","FL","DEM",1000
107,"H8AZ02201","MARTIN, BRANDON RAY","House","AZ","REP",520
107,"H8RI01092","WYSOCKI, FREDERICK","House","RI","REP",520
80,"H4MN02193","KOURY, JAKE MARIUS MR","House","MN","UN",300
80,"H0FL13133","MAKKI, AMANDA","House","FL","REP",300
73,"H2CA52188","GEFFENEY, TYLER","House","CA","REP",250
74,"H0CA20122","GORMAN, JEFF","House","CA","REP",250
74,"H4MI13259","HAWKINS, SHAKIRA","House","MI","DEM",250
73,"H2CA22181","MAGSIG, NATHAN","House","CA","REP",250
74,"H2MD02343","MORGAN, YURIPZY","House","MD","REP",250
69,"H2NC04192","COWDEN, ANTHONY 'TONY'","House","NC","REP",240
69,"H2SC05094","ECKERT, KEVIN","House","SC","DEM",240
64,"S2NY00382","DRIGGERS, CALVIN","Senate","NY","REP",231.33
64,"S2FL00557","DRIGGERS, CALVIN JOB","Senate","FL","REP",231.33
63,"H4TX25083","DEJEAN, JOEL F.","House","TX","DEM",230.63
63,"H2TX38098","DEJEAN, JOEL F. MR.","House","TX","IND",230.63
61,"H2CO07170","AADLAND, ERIK","House","CO","REP",222.82
61,"S2CO00175","AADLAND, ERIK","Senate","CO","REP",222.82
52,"H2NY12197","ABDELHAMID, RANA","House","NY","DEM",200
54,"S6TX00305","ALLEN, KEITH","Senate","TX","REP",200
54,"H4VA07143","BRAT, DAVID ALAN","House","VA","REP",200
53,"S2MO00742","HARRIS, RONALD","Senate","MO","DEM",200
53,"H2MO06194","HARRIS, RONALD WILLIAM","House","MO","DEM",200
52,"S2AZ00299","VICTOR, MARC J","Senate","AZ","LIB",200
54,"P40011579","WASHINGTON, JOHN III","President","00","DEM",200
40,"P40010100","COLLINS, JOSEPH","President","00","REP",165
40,"H2MO03159","KARLEN, JONATHAN","House","MO","DEM",165
6,"H4CA33135","CARR, ELAN S.","House","CA","REP",100
5,"S2ID00145","CLEVELAND, SCOTT OH","Senate","ID","UN",100
5,"H4CA47143","GRIFFIN, JAMES BRIAN MR.","House","CA","REP",100
5,"H4FL11089","GROVES, RALPH","House","FL","LIB",100
4,"H2IL06132","KASPAR, SCOTT RICHARD","House","IL","REP",100
6,"H6CA44145","NAVARRO, OMAR","House","CA","REP",100
3,"H2MT02084","OLSZEWSKI, AL","House","MT","REP",100
3,"H2CA30275","RHODES, AARIKA SAMONE","House","CA","DEM",100
5,"H4WA03130","SAUILE ROHMAN, JOHN","House","WA","IND",100
4,"H2CA16159","SOLOMON, BENJAMIN THOMAS MR","House","CA","REP",100
3,"H2TX32166","SWAD, ANTONIO","House","TX","REP",100
127,"S2IN00299","SCENIAK, JAMES","Senate","IN","LIB",75
127,"S2IN00307","SCENIAK, JAMES","Senate","IN","LIB",75
127,"S2MO00866","VENABLE, PAUL","Senate","MO","CON",75
114,"H2OH05062","SWARTZ, CRAIG STEPHEN","House","OH","DEM",55
114,"H2TX04132","THOMAS, DANIEL M.","House","TX","REP",55
99,"P40007650","RUOHO, MICHAEL JEFFREY","President","00","REP",45
99,"S4MN00486","RUOHO, MIKE","Senate","MN","REP",45
90,"H0WA10067","HEWETT, DON","House","WA","REP",39.57
90,"H2WA10063","HEWETT, DON","House","WA","REP",39.57
90,"H4WA10044","HEWETT, DON MR","House","WA","REP",39.57
60,"H2FL23260","TROUT, W MICHAEL","House","FL","DEM",22.17
60,"H2FL21066","TROUT, W. MICHAEL ""MIKE""","House","FL","FL",22.17
2,"H2CO05141","GOENAGA-TORRES, SANTIAGO DAVID","House","CO","DEM",10
2,"H0MD05225","PALOMBI, CHRISTOPHER","House","MD","REP",10
125,"H0IN04170","ROKITA, THEODORE EDWARD","House","IN","REP",7.47
125,"S8IN00189","ROKITA, THEODORE EDWARD","Senate","IN","REP",7.47
1,"H0IL15186","DUNCAN, DARREN","House","IL","REP",0.42
1,"H2TX35029","NARVAIZ, SUSAN","House","TX","REP",0.42
