"institution","variable","year","n","great_deal","only_some","hardly_any"
"Executive branch of federal government","confed",1988,960,18.1,54.2,27.7
"Executive branch of federal government","confed",1989,984,22.3,56.2,21.5
"Executive branch of federal government","confed",1990,869,25.2,51.4,23.4
"Executive branch of federal government","confed",1991,990,28.1,50.5,21.4
"Executive branch of federal government","confed",1993,1020,11.9,53.2,34.9
"Executive branch of federal government","confed",1994,1961,11.8,52.5,35.7
"Executive branch of federal government","confed",1996,1856,10.7,45.5,43.7
"Executive branch of federal government","confed",1998,1845,14.3,49.1,36.6
"Executive branch of federal government","confed",2000,1805,14.8,50.3,34.9
"Executive branch of federal government","confed",2002,891,28.4,51.3,20.3
"Executive branch of federal government","confed",2004,862,21.2,47.8,31
"Executive branch of federal government","confed",2006,1941,16.3,45.8,37.9
"Executive branch of federal government","confed",2008,1332,10.6,50.5,39
"Executive branch of federal government","confed",2010,1346,17.6,46,36.3
"Executive branch of federal government","confed",2012,1307,13.6,49.7,36.7
"Executive branch of federal government","confed",2014,1653,11.1,44.3,44.6
"Executive branch of federal government","confed",2016,1916,13,44.4,42.5
"Executive branch of federal government","confed",2018,1533,13.7,43.2,43.1
"Executive branch of federal government","confed",2021,2658,13.2,43.3,43.5
"Executive branch of federal government","confed",2022,2330,9.9,42.5,47.6
"Executive branch of federal government","confed",2024,2145,12.1,41.6,46.4
"U.S. Supreme Court","conjudge",1973,1447,32,52.7,15.3
"U.S. Supreme Court","conjudge",1974,1415,34.4,50.2,15.3
"U.S. Supreme Court","conjudge",1975,1421,32.5,48.6,18.9
"U.S. Supreme Court","conjudge",1976,1407,36.3,47.6,16.1
"U.S. Supreme Court","conjudge",1977,1460,36.8,52.1,11.1
"U.S. Supreme Court","conjudge",1978,1458,30.8,54.3,14.9
"U.S. Supreme Court","conjudge",1980,1381,26.4,52.8,20.8
"U.S. Supreme Court","conjudge",1982,1783,32.2,55.6,12.2
"U.S. Supreme Court","conjudge",1983,1534,29.4,56.9,13.7
"U.S. Supreme Court","conjudge",1984,943,37.5,50.2,12.3
"U.S. Supreme Court","conjudge",1986,1405,32.7,53.2,14.1
"U.S. Supreme Court","conjudge",1987,1736,39.7,49.6,10.6
"U.S. Supreme Court","conjudge",1988,948,37.4,52.3,10.3
"U.S. Supreme Court","conjudge",1989,984,37.1,52.6,10.3
"U.S. Supreme Court","conjudge",1990,860,36.7,49.7,13.5
"U.S. Supreme Court","conjudge",1991,967,40,47,13
"U.S. Supreme Court","conjudge",1993,1009,31.6,53.8,14.6
"U.S. Supreme Court","conjudge",1994,1935,32,51.7,16.3
"U.S. Supreme Court","conjudge",1996,1820,30.2,51,18.8
"U.S. Supreme Court","conjudge",1998,1809,33.6,51.6,14.8
"U.S. Supreme Court","conjudge",2000,1772,35.2,51.5,13.3
"U.S. Supreme Court","conjudge",2002,879,39.1,50.5,10.4
"U.S. Supreme Court","conjudge",2004,858,32.1,52.6,15.3
"U.S. Supreme Court","conjudge",2006,1916,34.5,50.5,15
"U.S. Supreme Court","conjudge",2008,1325,31.3,54.5,14.2
"U.S. Supreme Court","conjudge",2010,1335,31.6,51.9,16.5
"U.S. Supreme Court","conjudge",2012,1295,30.1,54.5,15.4
"U.S. Supreme Court","conjudge",2014,1641,24.2,55.5,20.3
"U.S. Supreme Court","conjudge",2016,1915,27.4,53.6,19
"U.S. Supreme Court","conjudge",2018,1519,33.3,52.4,14.3
"U.S. Supreme Court","conjudge",2021,2662,25.8,52.8,21.5
"U.S. Supreme Court","conjudge",2022,2327,17.7,46.5,35.9
"U.S. Supreme Court","conjudge",2024,2145,18.6,44.8,36.7
"Press","conpress",1973,1477,23.2,62.4,14.5
"Press","conpress",1974,1463,26.1,56.1,17.7
"Press","conpress",1975,1442,25.2,55.9,18.9
"Press","conpress",1976,1463,28.8,52.8,18.4
"Press","conpress",1977,1493,25.3,59,15.7
"Press","conpress",1978,1501,21.1,59,19.9
"Press","conpress",1980,1424,23.6,59.5,16.9
"Press","conpress",1982,1805,18.7,60.6,20.7
"Press","conpress",1983,1564,13.8,60.3,25.9
"Press","conpress",1984,959,18.8,59.8,21.3
"Press","conpress",1986,1438,19.4,54.4,26.2
"Press","conpress",1987,1769,18.3,56.8,24.9
"Press","conpress",1988,961,19.7,54.9,25.4
"Press","conpress",1989,1002,17.9,54.7,27.4
"Press","conpress",1990,867,15.7,58.3,26
"Press","conpress",1991,993,17.1,53.6,29.3
"Press","conpress",1993,1032,11.1,48.7,40.2
"Press","conpress",1994,1970,10.8,49.5,39.7
"Press","conpress",1996,1867,11.3,47.9,40.8
"Press","conpress",1998,1862,9.4,47,43.5
"Press","conpress",2000,1837,10.5,47.5,42
"Press","conpress",2002,899,10.6,48.2,41.2
"Press","conpress",2004,873,9.6,47.5,42.9
"Press","conpress",2006,1965,10.4,49,40.7
"Press","conpress",2008,1348,8.9,46,45.1
"Press","conpress",2010,1355,11.1,46.6,42.3
"Press","conpress",2012,1310,9.4,44.3,46.3
"Press","conpress",2014,1663,7.8,47.8,44.4
"Press","conpress",2016,1937,8,41.8,50.2
"Press","conpress",2018,1548,13.4,41,45.5
"Press","conpress",2021,2654,10.3,41.7,48.1
"Press","conpress",2022,2342,7.1,38.3,54.6
"Press","conpress",2024,2142,7.5,37.5,55
"Television","contv",1973,1480,18.6,59.2,22.2
"Television","contv",1974,1464,23.7,58.7,17.5
"Television","contv",1975,1451,18.9,57.8,23.3
"Television","contv",1976,1464,18.8,53.8,27.4
"Television","contv",1977,1502,18,56.3,25.7
"Television","contv",1978,1498,15.8,52.7,31.5
"Television","contv",1980,1442,16.5,54.9,28.6
"Television","contv",1982,1822,15.1,58,27
"Television","contv",1983,1566,12.8,56.3,30.9
"Television","contv",1984,965,13.2,57.4,29.3
"Television","contv",1986,1438,15.6,55.8,28.6
"Television","contv",1987,1781,11.3,60.2,28.4
"Television","contv",1988,978,15.1,58.5,26.4
"Television","contv",1989,1008,14.9,54.5,30.6
"Television","contv",1990,886,15.1,58.1,26.8
"Television","contv",1991,1005,16,53.8,30.2
"Television","contv",1993,1042,11.8,51.7,36.5
"Television","contv",1994,1982,10.5,50.5,39
"Television","contv",1996,1881,11.3,46.4,42.3
"Television","contv",1998,1876,10.9,51.2,37.9
"Television","contv",2000,1854,10.5,47.3,42.3
"Television","contv",2002,904,9.5,48.4,42
"Television","contv",2004,873,10.5,47.5,42
"Television","contv",2006,1966,9.4,49.5,41.1
"Television","contv",2008,1349,9.3,51.6,39.1
"Television","contv",2010,1363,13.1,51.6,35.3
"Television","contv",2012,1309,10.4,48.4,41.2
"Television","contv",2014,1664,10.2,49.2,40.6
"Television","contv",2016,1938,9.1,47.2,43.7
"Television","contv",2018,1545,8.6,49.6,41.8
"Television","contv",2021,2660,9,49.5,41.5
"Television","contv",2022,2336,7.7,44.5,47.8
"Television","contv",2024,2154,8.2,43.7,48.1
"Major companies","conbus",1973,1400,30.7,57.2,12.1
"Major companies","conbus",1974,1430,32.3,52.5,15.2
"Major companies","conbus",1975,1401,21,56.2,22.8
"Major companies","conbus",1976,1416,21.7,55.5,22.8
"Major companies","conbus",1977,1465,27.2,59.9,12.9
"Major companies","conbus",1978,1461,21.6,61.7,16.7
"Major companies","conbus",1980,1386,28.2,56.7,15.1
"Major companies","conbus",1982,1756,24,61.7,14.3
"Major companies","conbus",1983,1529,24.8,60.4,14.8
"Major companies","conbus",1984,947,33,58.8,8.2
"Major companies","conbus",1986,1411,26.6,63.7,9.7
"Major companies","conbus",1987,1730,31.6,58.8,9.6
"Major companies","conbus",1988,948,26,62.3,11.7
"Major companies","conbus",1989,973,25.9,63.5,10.5
"Major companies","conbus",1990,864,27,61.2,11.8
"Major companies","conbus",1991,966,20.6,65.7,13.7
"Major companies","conbus",1993,1012,21.6,65,13.4
"Major companies","conbus",1994,1941,26.6,63.8,9.6
"Major companies","conbus",1996,1844,24.6,61.8,13.6
"Major companies","conbus",1998,1821,28.3,58.4,13.4
"Major companies","conbus",2000,1812,29.6,59.8,10.6
"Major companies","conbus",2002,893,18.1,65.3,16.5
"Major companies","conbus",2004,858,18.1,63.6,18.3
"Major companies","conbus",2006,1936,18.6,63.2,18.2
"Major companies","conbus",2008,1333,16.1,67.1,16.8
"Major companies","conbus",2010,1339,13.6,62.3,24.1
"Major companies","conbus",2012,1303,18.7,62,19.3
"Major companies","conbus",2014,1655,19.3,62.8,17.9
"Major companies","conbus",2016,1926,18.7,64.1,17.2
"Major companies","conbus",2018,1528,20.6,65.1,14.3
"Major companies","conbus",2021,2656,16.7,60.2,23.1
"Major companies","conbus",2022,2318,15,63.8,21.2
"Major companies","conbus",2024,2139,15,60.7,24.3
"Banks and financial institutions","confinan",1975,1444,32.7,56.1,11.2
"Banks and financial institutions","confinan",1976,1456,39,50.5,10.4
"Banks and financial institutions","confinan",1977,1499,41.6,49.4,9
"Banks and financial institutions","confinan",1978,1507,31.4,56.1,12.5
"Banks and financial institutions","confinan",1980,1423,33.6,50.3,16.1
"Banks and financial institutions","confinan",1982,1806,26.5,56.6,16.9
"Banks and financial institutions","confinan",1983,1561,24,60.2,15.8
"Banks and financial institutions","confinan",1984,953,30.9,57.7,11.3
"Banks and financial institutions","confinan",1986,1440,21,61.1,17.9
"Banks and financial institutions","confinan",1987,1774,28.3,57.2,14.5
"Banks and financial institutions","confinan",1988,971,27.9,58.3,13.8
"Banks and financial institutions","confinan",1989,997,19,60.7,20.3
"Banks and financial institutions","confinan",1990,878,17.6,59.6,22.8
"Banks and financial institutions","confinan",1991,993,12.3,52.8,34.9
"Banks and financial institutions","confinan",1993,1031,14.4,56.5,29.1
"Banks and financial institutions","confinan",1994,1977,18.9,61.1,20
"Banks and financial institutions","confinan",1996,1873,25.2,58,16.8
"Banks and financial institutions","confinan",1998,1864,26.9,56,17.1
"Banks and financial institutions","confinan",2000,1841,30.6,55.6,13.8
"Banks and financial institutions","confinan",2002,899,23.5,58.7,17.8
"Banks and financial institutions","confinan",2004,866,29.7,57.3,13
"Banks and financial institutions","confinan",2006,1961,30.8,56,13.3
"Banks and financial institutions","confinan",2008,1350,19.7,59.9,20.5
"Banks and financial institutions","confinan",2010,1364,11.2,47.5,41.3
"Banks and financial institutions","confinan",2012,1325,11.8,51.6,36.6
"Banks and financial institutions","confinan",2014,1677,15.7,52.5,31.9
"Banks and financial institutions","confinan",2016,1946,13.8,54.4,31.8
"Banks and financial institutions","confinan",2018,1550,20.1,57.5,22.4
"Banks and financial institutions","confinan",2021,2660,19.4,57.2,23.4
"Banks and financial institutions","confinan",2022,2353,18.1,59,22.9
"Banks and financial institutions","confinan",2024,2164,17,58.3,24.6
"Medicine","conmedic",1973,1482,54.9,39.2,5.9
"Medicine","conmedic",1974,1460,62.4,33.1,4.4
"Medicine","conmedic",1975,1465,52.4,39.9,7.7
"Medicine","conmedic",1976,1472,54.9,35.7,9.4
"Medicine","conmedic",1977,1509,53.9,40.3,5.8
"Medicine","conmedic",1978,1515,47.3,43,9.7
"Medicine","conmedic",1980,1445,54.1,38.1,7.8
"Medicine","conmedic",1982,1831,45.9,47,7.1
"Medicine","conmedic",1983,1574,52.7,40.6,6.7
"Medicine","conmedic",1984,968,51,43.5,5.4
"Medicine","conmedic",1986,1447,48.5,44.3,7.3
"Medicine","conmedic",1987,1792,53.1,41.3,5.6
"Medicine","conmedic",1988,984,53.5,40.7,5.8
"Medicine","conmedic",1989,1015,48.2,44.4,7.4
"Medicine","conmedic",1990,889,45.6,47.3,7.1
"Medicine","conmedic",1991,1000,49.1,43.2,7.7
"Medicine","conmedic",1993,1039,40.9,50.6,8.5
"Medicine","conmedic",1994,1989,43.2,46.4,10.4
"Medicine","conmedic",1996,1899,45.9,45.4,8.7
"Medicine","conmedic",1998,1875,46.3,44.9,8.9
"Medicine","conmedic",2000,1860,45.5,45.2,9.3
"Medicine","conmedic",2002,907,38.6,49.9,11.5
"Medicine","conmedic",2004,873,37.4,49.5,13
"Medicine","conmedic",2006,1973,40.8,48.7,10.5
"Medicine","conmedic",2008,1359,39.4,50,10.6
"Medicine","conmedic",2010,1363,42.5,46.6,10.9
"Medicine","conmedic",2012,1327,40.2,49.8,10
"Medicine","conmedic",2014,1676,39.1,49.6,11.3
"Medicine","conmedic",2016,1942,36.7,50.4,12.9
"Medicine","conmedic",2018,1554,38.8,49.5,11.8
"Medicine","conmedic",2021,2662,37.7,53,9.3
"Medicine","conmedic",2022,2355,33.5,50.4,16.1
"Medicine","conmedic",2024,2159,26.3,53.9,19.8
"Scientific community","consci",1973,1353,41.1,52.3,6.6
"Scientific community","consci",1974,1324,50.6,41.6,7.7
"Scientific community","consci",1975,1328,42,50.7,7.4
"Scientific community","consci",1976,1314,47.9,43.6,8.5
"Scientific community","consci",1977,1403,44.2,50.4,5.4
"Scientific community","consci",1978,1401,40.8,50.9,8.4
"Scientific community","consci",1980,1322,44.4,47.8,7.8
"Scientific community","consci",1982,1664,43.3,50.2,6.5
"Scientific community","consci",1983,1492,44.9,48.9,6.1
"Scientific community","consci",1984,920,49.9,44.1,6
"Scientific community","consci",1986,1379,42.9,50,7.1
"Scientific community","consci",1987,1677,47.8,45.4,6.8
"Scientific community","consci",1988,914,43.2,51.2,5.7
"Scientific community","consci",1989,937,45.2,47.9,6.9
"Scientific community","consci",1990,819,42.2,50.7,7.2
"Scientific community","consci",1991,941,43.8,48.9,7.3
"Scientific community","consci",1993,962,40.4,51.9,7.6
"Scientific community","consci",1994,1896,41.1,51.4,7.5
"Scientific community","consci",1996,1763,43.3,48.3,8.4
"Scientific community","consci",1998,1760,43.9,47.1,8.9
"Scientific community","consci",2000,1739,45.3,46.6,8.1
"Scientific community","consci",2002,857,40.5,50.2,9.3
"Scientific community","consci",2004,845,42.6,50.6,6.8
"Scientific community","consci",2006,1890,44.1,49.6,6.3
"Scientific community","consci",2008,1301,40.2,53.8,6
"Scientific community","consci",2010,1306,42.9,50.8,6.3
"Scientific community","consci",2012,1264,42.3,50.5,7.1
"Scientific community","consci",2014,1623,43,49.4,7.6
"Scientific community","consci",2016,1884,43.6,50.6,5.8
"Scientific community","consci",2018,1506,47.6,46.4,6
"Scientific community","consci",2021,2654,47.9,45,7.2
"Scientific community","consci",2022,2314,39,48.2,12.7
"Scientific community","consci",2024,2121,36.3,51.7,12
"Organized religion","conclerg",1973,1442,35.7,47.9,16.5
"Organized religion","conclerg",1974,1450,45.2,43.6,11.2
"Organized religion","conclerg",1975,1390,25.7,51,23.3
"Organized religion","conclerg",1976,1397,31.5,48.9,19.6
"Organized religion","conclerg",1977,1475,39.8,48,12.2
"Organized religion","conclerg",1978,1468,31.4,50.4,18.2
"Organized religion","conclerg",1980,1409,36.8,44.6,18.6
"Organized religion","conclerg",1982,1793,32.9,51.4,15.7
"Organized religion","conclerg",1983,1532,29.7,50.8,19.5
"Organized religion","conclerg",1984,945,31.3,49,19.7
"Organized religion","conclerg",1986,1417,25.5,53,21.5
"Organized religion","conclerg",1987,1754,29.6,50,20.4
"Organized religion","conclerg",1988,967,20.5,49.3,30.2
"Organized religion","conclerg",1989,995,21.8,47.2,31
"Organized religion","conclerg",1990,857,23.3,49.9,26.8
"Organized religion","conclerg",1991,990,25.8,53.9,20.3
"Organized religion","conclerg",1993,1018,23.2,50.2,26.6
"Organized religion","conclerg",1994,1957,25.1,52.7,22.2
"Organized religion","conclerg",1996,1831,27,53.1,19.9
"Organized religion","conclerg",1998,1844,28.2,52.5,19.3
"Organized religion","conclerg",2000,1809,28.9,52,19.1
"Organized religion","conclerg",2002,896,19.3,56.7,23.9
"Organized religion","conclerg",2004,856,24,53.3,22.7
"Organized religion","conclerg",2006,1930,25,52.4,22.6
"Organized religion","conclerg",2008,1336,20.2,53.7,26
"Organized religion","conclerg",2010,1319,19.6,55,25.4
"Organized religion","conclerg",2012,1285,20.7,55.3,24
"Organized religion","conclerg",2014,1636,19.8,56.1,24.1
"Organized religion","conclerg",2016,1914,19.8,52.9,27.3
"Organized religion","conclerg",2018,1513,22.2,52.7,25.2
"Organized religion","conclerg",2021,2650,14.7,51.3,34
"Organized religion","conclerg",2022,2306,15.5,50.1,34.4
"Organized religion","conclerg",2024,2122,15.5,49.6,34.9
"Education","coneduc",1973,1474,37.2,54.7,8.1
"Education","coneduc",1974,1460,49.7,41.8,8.5
"Education","coneduc",1975,1462,31.7,55.4,12.9
"Education","coneduc",1976,1459,38.4,45.7,15.9
"Education","coneduc",1977,1512,40.3,51,8.6
"Education","coneduc",1978,1507,28.8,55.8,15.5
"Education","coneduc",1980,1436,30.1,56.9,13
"Education","coneduc",1982,1818,34,53,13
"Education","coneduc",1983,1566,29.6,56,14.4
"Education","coneduc",1984,956,29,60.7,10.3
"Education","coneduc",1986,1444,28.6,60.1,11.2
"Education","coneduc",1987,1790,34.1,56.6,9.3
"Education","coneduc",1988,976,30.3,60.7,9
"Education","coneduc",1989,1015,30.6,58.8,10.5
"Education","coneduc",1990,880,27.2,59.5,13.3
"Education","coneduc",1991,999,30.9,55.1,14
"Education","coneduc",1993,1035,22.7,57.8,19.5
"Education","coneduc",1994,1982,26.5,56.2,17.3
"Education","coneduc",1996,1900,24,57.5,18.6
"Education","coneduc",1998,1881,27.4,55.6,17
"Education","coneduc",2000,1869,27.7,56.4,15.9
"Education","coneduc",2002,906,26.8,57.7,15.5
"Education","coneduc",2004,874,29.2,56.6,14.2
"Education","coneduc",2006,1978,28.6,56.4,15
"Education","coneduc",2008,1353,29.9,54.9,15.2
"Education","coneduc",2010,1363,28.5,56.2,15.2
"Education","coneduc",2012,1327,25.4,58.8,15.8
"Education","coneduc",2014,1677,25.5,55.8,18.6
"Education","coneduc",2016,1948,26.3,56,17.7
"Education","coneduc",2018,1545,25.2,57.3,17.5
"Education","coneduc",2021,2658,17.8,60.8,21.4
"Education","coneduc",2022,2350,18.8,56.7,24.5
"Education","coneduc",2024,2164,19.8,54.5,25.8
"Military","conarmy",1973,1457,32.7,50.1,17.2
"Military","conarmy",1974,1444,40.9,45,14.1
"Military","conarmy",1975,1418,36.2,48.2,15.5
"Military","conarmy",1976,1399,42.3,43.5,14.2
"Military","conarmy",1977,1478,36.4,52.2,11.4
"Military","conarmy",1978,1472,31.7,55.3,13.1
"Military","conarmy",1980,1406,29.5,53,17.5
"Military","conarmy",1982,1805,31,53.5,15.5
"Military","conarmy",1983,1548,31.4,55.1,13.5
"Military","conarmy",1984,950,37.1,49.5,13.4
"Military","conarmy",1986,1429,32.3,54.4,13.3
"Military","conarmy",1987,1754,36.7,50.3,13
"Military","conarmy",1988,963,36.4,50.6,13
"Military","conarmy",1989,990,34.3,52.2,13.5
"Military","conarmy",1990,873,34.7,50.5,14.8
"Military","conarmy",1991,996,63.1,31.3,5.6
"Military","conarmy",1993,1034,42.3,45.8,11.9
"Military","conarmy",1994,1954,39.4,48.2,12.3
"Military","conarmy",1996,1861,40.9,48.7,10.5
"Military","conarmy",1998,1853,38.2,49,12.8
"Military","conarmy",2000,1818,42,48.3,9.7
"Military","conarmy",2002,898,57.7,35.2,7.1
"Military","conarmy",2004,871,58.3,33.7,7.9
"Military","conarmy",2006,1957,48.3,39.2,12.5
"Military","conarmy",2008,1346,51.6,37.4,10.9
"Military","conarmy",2010,1356,54.4,36.4,9.2
"Military","conarmy",2012,1317,56.1,35.8,8.1
"Military","conarmy",2014,1670,51.9,38.9,9.2
"Military","conarmy",2016,1937,54,38.5,7.4
"Military","conarmy",2018,1542,62.2,31,6.8
"Military","conarmy",2021,2656,46.8,41.9,11.4
"Military","conarmy",2022,2350,46.7,41.4,12
"Military","conarmy",2024,2155,43.3,45,11.6
"Organized labor","conlabor",1973,1433,16.2,56.9,26.9
"Organized labor","conlabor",1974,1440,19.8,54.7,25.5
"Organized labor","conlabor",1975,1393,10.3,58.4,31.2
"Organized labor","conlabor",1976,1376,12.9,51.8,35.3
"Organized labor","conlabor",1977,1465,14.9,52.9,32.2
"Organized labor","conlabor",1978,1450,11.9,48.9,39.2
"Organized labor","conlabor",1980,1381,15.3,53.3,31.4
"Organized labor","conlabor",1982,1767,14,53.9,32.1
"Organized labor","conlabor",1983,1531,9.3,50.4,40.2
"Organized labor","conlabor",1984,954,9.1,54.1,36.8
"Organized labor","conlabor",1986,1386,9.4,50.1,40.5
"Organized labor","conlabor",1987,1708,11.2,53.5,35.3
"Organized labor","conlabor",1988,941,11.3,52.6,36.1
"Organized labor","conlabor",1989,966,10.2,54.5,35.3
"Organized labor","conlabor",1990,851,11.6,55.4,33
"Organized labor","conlabor",1991,948,12.8,50.6,36.6
"Organized labor","conlabor",1993,980,8.4,57.9,33.7
"Organized labor","conlabor",1994,1891,11.6,55.1,33.3
"Organized labor","conlabor",1996,1761,13.1,54,32.9
"Organized labor","conlabor",1998,1752,12.8,55.8,31.4
"Organized labor","conlabor",2000,1701,14.5,56.1,29.4
"Organized labor","conlabor",2002,861,13,62.8,24.1
"Organized labor","conlabor",2004,830,13.8,56.8,29.4
"Organized labor","conlabor",2006,1878,12.9,58.2,28.9
"Organized labor","conlabor",2008,1304,13,58.8,28.2
"Organized labor","conlabor",2010,1300,12.9,59.3,27.8
"Organized labor","conlabor",2012,1256,12.2,56.8,31
"Organized labor","conlabor",2014,1613,12.5,57.7,29.8
"Organized labor","conlabor",2016,1874,14.1,62.3,23.6
"Organized labor","conlabor",2018,1488,13.8,65.2,21
"Organized labor","conlabor",2021,2648,12.7,62.4,24.9
"Organized labor","conlabor",2022,2276,16.6,57.9,25.5
"Organized labor","conlabor",2024,1060,17.5,59.2,23.3
