"mode","house","senate","n","share"
"shared",300,58,17,0.00085
"shared",304,58,21,0.00105
"shared",308,58,5,0.00025
"shared",312,58,10,0.0005
"shared",316,58,1,0.00005
"shared",320,58,5,0.00025
"shared",324,58,1,0.00005
"shared",328,58,2,0.0001
"shared",332,58,2,0.0001
"shared",336,58,2,0.0001
"shared",248,59,1,0.00005
"shared",256,59,3,0.00015
"shared",260,59,1,0.00005
"shared",264,59,4,0.0002
"shared",268,59,7,0.00035
"shared",272,59,10,0.0005
"shared",276,59,19,0.00095
"shared",280,59,12,0.0006
"shared",284,59,13,0.00065
"shared",288,59,15,0.00075
"shared",292,59,12,0.0006
"shared",296,59,20,0.001
"shared",300,59,19,0.00095
"shared",304,59,15,0.00075
"shared",308,59,5,0.00025
"shared",312,59,5,0.00025
"shared",316,59,5,0.00025
"shared",320,59,5,0.00025
"shared",324,59,1,0.00005
"shared",332,59,2,0.0001
"shared",340,59,1,0.00005
"shared",344,59,1,0.00005
"shared",264,60,3,0.00015
"shared",268,60,1,0.00005
"shared",272,60,1,0.00005
"shared",276,60,4,0.0002
"shared",280,60,4,0.0002
"shared",284,60,3,0.00015
"shared",288,60,8,0.0004
"shared",292,60,7,0.00035
"shared",296,60,13,0.00065
"shared",300,60,10,0.0005
"shared",304,60,9,0.00045
"shared",308,60,8,0.0004
"shared",312,60,7,0.00035
"shared",316,60,4,0.0002
"shared",320,60,3,0.00015
"shared",324,60,1,0.00005
"shared",328,60,2,0.0001
"shared",340,60,1,0.00005
"shared",344,60,1,0.00005
"shared",264,61,1,0.00005
"shared",268,61,1,0.00005
"shared",272,61,2,0.0001
"shared",284,61,1,0.00005
"shared",288,61,5,0.00025
"shared",292,61,4,0.0002
"shared",296,61,5,0.00025
"shared",300,61,6,0.0003
"shared",304,61,4,0.0002
"shared",308,61,3,0.00015
"shared",312,61,6,0.0003
"shared",316,61,3,0.00015
"shared",320,61,2,0.0001
"shared",324,61,4,0.0002
"shared",328,61,2,0.0001
"shared",332,61,2,0.0001
"shared",336,61,3,0.00015
"shared",344,61,1,0.00005
"shared",284,62,1,0.00005
"shared",288,62,2,0.0001
"shared",292,62,2,0.0001
"shared",296,62,1,0.00005
"shared",300,62,1,0.00005
"shared",304,62,3,0.00015
"shared",308,62,1,0.00005
"shared",316,62,2,0.0001
"shared",320,62,4,0.0002
"shared",324,62,2,0.0001
"shared",328,62,2,0.0001
"shared",332,62,3,0.00015
"shared",344,62,1,0.00005
"shared",348,62,1,0.00005
"shared",316,63,2,0.0001
"shared",320,63,1,0.00005
"shared",336,63,2,0.0001
"shared",288,64,1,0.00005
"separate",224,37,1,0.00005
"separate",236,38,1,0.00005
"separate",252,38,1,0.00005
"separate",184,39,1,0.00005
"separate",208,39,1,0.00005
"separate",224,39,1,0.00005
