"t","tp","fp","fn","tn","tpr","fpr","prec"
0,17701,32070,0,0,1,1,0.35565
0.001,17384,28749,317,3321,0.98209,0.89645,0.37682
0.002,17377,27652,324,4418,0.9817,0.86224,0.38591
0.003,17360,26818,341,5252,0.98074,0.83623,0.39296
0.004,17345,26047,356,6023,0.97989,0.81219,0.39973
0.005,17331,25420,370,6650,0.9791,0.79264,0.40539
0.006,17317,24886,384,7184,0.97831,0.77599,0.41033
0.007,17299,24408,402,7662,0.97729,0.76109,0.41477
0.008,17287,23971,414,8099,0.97661,0.74746,0.419
0.009,17263,23655,438,8415,0.97526,0.73761,0.42189
0.01,17249,23318,452,8752,0.97446,0.7271,0.4252
0.011,17235,22980,466,9090,0.97367,0.71656,0.42857
0.012,17215,22692,486,9378,0.97254,0.70758,0.43138
0.013,17206,22442,495,9628,0.97204,0.69978,0.43397
0.014,17193,22216,508,9854,0.9713,0.69273,0.43627
0.015,17177,21957,524,10113,0.9704,0.68466,0.43893
0.016,17156,21729,545,10341,0.96921,0.67755,0.4412
0.017,17140,21531,561,10539,0.96831,0.67138,0.44323
0.018,17129,21358,572,10712,0.96769,0.66598,0.44506
0.019,17119,21164,582,10906,0.96712,0.65993,0.44717
0.02,17103,21001,598,11069,0.96622,0.65485,0.44885
0.021,17094,20847,607,11223,0.96571,0.65005,0.45054
0.022,17084,20702,617,11368,0.96514,0.64553,0.45213
0.023,17075,20567,626,11503,0.96463,0.64132,0.45362
0.024,17058,20421,643,11649,0.96367,0.63676,0.45513
0.025,17042,20269,659,11801,0.96277,0.63202,0.45676
0.026,17032,20097,669,11973,0.96221,0.62666,0.45872
0.027,17018,19953,683,12117,0.96141,0.62217,0.46031
0.028,17006,19799,695,12271,0.96074,0.61737,0.46206
0.029,16988,19675,713,12395,0.95972,0.6135,0.46336
0.03,16976,19553,725,12517,0.95904,0.6097,0.46473
0.031,16965,19434,736,12636,0.95842,0.60599,0.46608
0.032,16948,19272,753,12798,0.95746,0.60094,0.46792
0.033,16929,19139,772,12931,0.95639,0.59679,0.46936
0.034,16912,19007,789,13063,0.95543,0.59267,0.47084
0.035,16891,18853,810,13217,0.95424,0.58787,0.47255
0.036,16867,18714,834,13356,0.95288,0.58354,0.47405
0.037,16850,18596,851,13474,0.95192,0.57986,0.47537
0.038,16830,18486,871,13584,0.95079,0.57643,0.47655
0.039,16814,18350,887,13720,0.94989,0.57219,0.47816
0.04,16798,18214,903,13856,0.94899,0.56795,0.47978
0.041,16788,18095,913,13975,0.94842,0.56423,0.48127
0.042,16774,17942,927,14128,0.94763,0.55946,0.48318
0.043,16756,17818,945,14252,0.94661,0.5556,0.48464
0.044,16738,17685,963,14385,0.9456,0.55145,0.48624
0.045,16713,17570,988,14500,0.94418,0.54786,0.4875
0.046,16692,17449,1009,14621,0.943,0.54409,0.48891
0.047,16665,17286,1036,14784,0.94147,0.53901,0.49085
0.048,16649,17181,1052,14889,0.94057,0.53573,0.49214
0.049,16629,17055,1072,15015,0.93944,0.53181,0.49368
0.05,16619,16944,1082,15126,0.93887,0.52834,0.49516
0.051,16602,16859,1099,15211,0.93791,0.52569,0.49616
0.052,16594,16752,1107,15318,0.93746,0.52236,0.49763
0.053,16577,16659,1124,15411,0.9365,0.51946,0.49877
0.054,16559,16580,1142,15490,0.93548,0.51699,0.49968
0.055,16530,16496,1171,15574,0.93385,0.51437,0.50051
0.056,16518,16420,1183,15650,0.93317,0.512,0.50149
0.057,16500,16313,1201,15757,0.93215,0.50867,0.50285
0.058,16485,16207,1216,15863,0.9313,0.50536,0.50425
0.059,16473,16100,1228,15970,0.93063,0.50203,0.50573
0.06,16459,16011,1242,16059,0.92983,0.49925,0.5069
0.061,16429,15923,1272,16147,0.92814,0.49651,0.50782
0.062,16399,15828,1302,16242,0.92644,0.49355,0.50886
0.063,16388,15757,1313,16313,0.92582,0.49133,0.50981
0.064,16369,15652,1332,16418,0.92475,0.48806,0.5112
0.065,16350,15566,1351,16504,0.92368,0.48538,0.51228
0.066,16329,15452,1372,16618,0.92249,0.48182,0.5138
0.067,16306,15382,1395,16688,0.92119,0.47964,0.51458
0.068,16284,15291,1417,16779,0.91995,0.4768,0.51572
0.069,16269,15217,1432,16853,0.9191,0.47449,0.51671
0.07,16251,15123,1450,16947,0.91808,0.47156,0.51798
0.071,16237,15026,1464,17044,0.91729,0.46854,0.51937
0.072,16217,14944,1484,17126,0.91616,0.46598,0.52043
0.073,16199,14848,1502,17222,0.91515,0.46299,0.52176
0.074,16173,14764,1528,17306,0.91368,0.46037,0.52277
0.075,16155,14684,1546,17386,0.91266,0.45787,0.52385
0.076,16134,14601,1567,17469,0.91147,0.45529,0.52494
0.077,16107,14493,1594,17577,0.90995,0.45192,0.52637
0.078,16082,14398,1619,17672,0.90854,0.44896,0.52762
0.079,16054,14294,1647,17776,0.90695,0.44571,0.529
0.08,16039,14231,1662,17839,0.90611,0.44375,0.52986
0.081,16016,14149,1685,17921,0.90481,0.44119,0.53095
0.082,15991,14046,1710,18024,0.9034,0.43798,0.53238
0.083,15971,13986,1730,18084,0.90227,0.43611,0.53313
0.084,15950,13883,1751,18187,0.90108,0.4329,0.53464
0.085,15934,13795,1767,18275,0.90018,0.43015,0.53597
0.086,15911,13721,1790,18349,0.89888,0.42785,0.53695
0.087,15893,13629,1808,18441,0.89786,0.42498,0.53834
0.088,15875,13547,1826,18523,0.89684,0.42242,0.53956
0.089,15856,13497,1845,18573,0.89577,0.42086,0.54018
0.09,15837,13435,1864,18635,0.8947,0.41893,0.54103
0.091,15823,13371,1878,18699,0.8939,0.41693,0.54199
0.092,15796,13285,1905,18785,0.89238,0.41425,0.54317
0.093,15773,13210,1928,18860,0.89108,0.41191,0.54422
0.094,15748,13146,1953,18924,0.88967,0.40992,0.54503
0.095,15731,13105,1970,18965,0.88871,0.40864,0.54553
0.096,15713,13029,1988,19041,0.88769,0.40627,0.54669
0.097,15693,12972,2008,19098,0.88656,0.40449,0.54746
0.098,15662,12898,2039,19172,0.88481,0.40218,0.54839
0.099,15641,12851,2060,19219,0.88362,0.40072,0.54896
0.1,15603,12763,2098,19307,0.88148,0.39797,0.55006
0.101,15590,12703,2111,19367,0.88074,0.3961,0.55102
0.102,15561,12647,2140,19423,0.8791,0.39436,0.55165
0.103,15536,12575,2165,19495,0.87769,0.39211,0.55267
0.104,15507,12495,2194,19575,0.87605,0.38962,0.55378
0.105,15476,12430,2225,19640,0.8743,0.38759,0.55458
0.106,15446,12348,2255,19722,0.87261,0.38503,0.55573
0.107,15430,12284,2271,19786,0.8717,0.38304,0.55676
0.108,15412,12212,2289,19858,0.87069,0.38079,0.55792
0.109,15386,12144,2315,19926,0.86922,0.37867,0.55888
0.11,15368,12078,2333,19992,0.8682,0.37661,0.55994
0.111,15342,12028,2359,20042,0.86673,0.37505,0.56054
0.112,15315,11968,2386,20102,0.86521,0.37318,0.56134
0.113,15294,11914,2407,20156,0.86402,0.3715,0.56211
0.114,15269,11842,2432,20228,0.86261,0.36925,0.5632
0.115,15249,11787,2452,20283,0.86148,0.36754,0.56403
0.116,15213,11736,2488,20334,0.85944,0.36595,0.56451
0.117,15185,11689,2516,20381,0.85786,0.36448,0.56504
0.118,15166,11614,2535,20456,0.85679,0.36215,0.56632
0.119,15150,11578,2551,20492,0.85588,0.36102,0.56682
0.12,15117,11523,2584,20547,0.85402,0.35931,0.56745
0.121,15091,11462,2610,20608,0.85255,0.35741,0.56834
0.122,15074,11419,2627,20651,0.85159,0.35606,0.56898
0.123,15054,11325,2647,20745,0.85046,0.35313,0.57068
0.124,15025,11274,2676,20796,0.84882,0.35154,0.57131
0.125,14999,11201,2702,20869,0.84735,0.34927,0.57248
0.126,14978,11154,2723,20916,0.84617,0.3478,0.57317
0.127,14959,11095,2742,20975,0.84509,0.34596,0.57415
0.128,14932,11046,2769,21024,0.84357,0.34443,0.57479
0.129,14914,10993,2787,21077,0.84255,0.34278,0.57567
0.13,14883,10944,2818,21126,0.8408,0.34125,0.57626
0.131,14835,10863,2866,21207,0.83809,0.33873,0.57728
0.132,14810,10792,2891,21278,0.83668,0.33651,0.57847
0.133,14783,10727,2918,21343,0.83515,0.33449,0.5795
0.134,14755,10659,2946,21411,0.83357,0.33237,0.58059
0.135,14737,10610,2964,21460,0.83255,0.33084,0.58141
0.136,14713,10565,2988,21505,0.8312,0.32944,0.58205
0.137,14696,10516,3005,21554,0.83024,0.32791,0.5829
0.138,14669,10469,3032,21601,0.82871,0.32644,0.58354
0.139,14648,10413,3053,21657,0.82752,0.3247,0.58449
0.14,14612,10348,3089,21722,0.82549,0.32267,0.58542
0.141,14577,10293,3124,21777,0.82351,0.32095,0.58613
0.142,14549,10230,3152,21840,0.82193,0.31899,0.58715
0.143,14529,10179,3172,21891,0.8208,0.3174,0.58803
0.144,14511,10119,3190,21951,0.81978,0.31553,0.58916
0.145,14486,10045,3215,22025,0.81837,0.31322,0.59052
0.146,14456,10006,3245,22064,0.81668,0.312,0.59096
0.147,14427,9964,3274,22106,0.81504,0.3107,0.59149
0.148,14391,9909,3310,22161,0.813,0.30898,0.59222
0.149,14359,9856,3342,22214,0.8112,0.30733,0.59298
0.15,14344,9810,3357,22260,0.81035,0.30589,0.59386
0.151,14308,9718,3393,22352,0.80832,0.30302,0.59552
0.152,14278,9677,3423,22393,0.80662,0.30175,0.59603
0.153,14256,9623,3445,22447,0.80538,0.30006,0.59701
0.154,14225,9547,3476,22523,0.80363,0.29769,0.59839
0.155,14203,9491,3498,22579,0.80238,0.29595,0.59943
0.156,14177,9462,3524,22608,0.80092,0.29504,0.59973
0.157,14151,9420,3550,22650,0.79945,0.29373,0.60036
0.158,14123,9360,3578,22710,0.79786,0.29186,0.60141
0.159,14101,9327,3600,22743,0.79662,0.29083,0.60189
0.16,14059,9236,3642,22834,0.79425,0.288,0.60352
0.161,14038,9183,3663,22887,0.79306,0.28634,0.60454
0.162,14019,9135,3682,22935,0.79199,0.28485,0.60547
0.163,13987,9080,3714,22990,0.79018,0.28313,0.60636
0.164,13965,9040,3736,23030,0.78894,0.28188,0.60704
0.165,13935,9008,3766,23062,0.78724,0.28089,0.60737
0.166,13913,8963,3788,23107,0.786,0.27948,0.60819
0.167,13889,8921,3812,23149,0.78464,0.27817,0.6089
0.168,13862,8869,3839,23201,0.78312,0.27655,0.60983
0.169,13840,8830,3861,23240,0.78188,0.27534,0.6105
0.17,13827,8791,3874,23279,0.78114,0.27412,0.61133
0.171,13811,8756,3890,23314,0.78024,0.27303,0.612
0.172,13792,8712,3909,23358,0.77917,0.27166,0.61287
0.173,13770,8692,3931,23378,0.77792,0.27103,0.61304
0.174,13746,8632,3955,23438,0.77657,0.26916,0.61426
0.175,13724,8597,3977,23473,0.77532,0.26807,0.61485
0.176,13700,8564,4001,23506,0.77397,0.26704,0.61534
0.177,13669,8504,4032,23566,0.77222,0.26517,0.61647
0.178,13638,8461,4063,23609,0.77046,0.26383,0.61713
0.179,13590,8388,4111,23682,0.76775,0.26155,0.61835
0.18,13566,8363,4135,23707,0.7664,0.26077,0.61863
0.181,13542,8330,4159,23740,0.76504,0.25974,0.61915
0.182,13515,8294,4186,23776,0.76352,0.25862,0.6197
0.183,13490,8244,4211,23826,0.7621,0.25706,0.62069
0.184,13464,8204,4237,23866,0.76063,0.25582,0.62138
0.185,13436,8157,4265,23913,0.75905,0.25435,0.62224
0.186,13418,8115,4283,23955,0.75804,0.25304,0.62314
0.187,13390,8091,4311,23979,0.75645,0.25229,0.62334
0.188,13371,8046,4330,24024,0.75538,0.25089,0.62432
0.189,13346,8006,4355,24064,0.75397,0.24964,0.62505
0.19,13326,7972,4375,24098,0.75284,0.24858,0.62569
0.191,13291,7902,4410,24168,0.75086,0.2464,0.62714
0.192,13266,7836,4435,24234,0.74945,0.24434,0.62866
0.193,13242,7797,4459,24273,0.74809,0.24312,0.6294
0.194,13211,7759,4490,24311,0.74634,0.24194,0.63
0.195,13184,7716,4517,24354,0.74482,0.2406,0.63081
0.196,13161,7689,4540,24381,0.74352,0.23976,0.63122
0.197,13117,7646,4584,24424,0.74103,0.23842,0.63175
0.198,13090,7607,4611,24463,0.73951,0.2372,0.63246
0.199,13067,7572,4634,24498,0.73821,0.23611,0.63312
0.2,13045,7540,4656,24530,0.73696,0.23511,0.63371
0.201,13026,7509,4675,24561,0.73589,0.23414,0.63433
0.202,13012,7476,4689,24594,0.7351,0.23312,0.6351
0.203,12994,7431,4707,24639,0.73408,0.23171,0.63618
0.204,12964,7399,4737,24671,0.73239,0.23071,0.63664
0.205,12938,7348,4763,24722,0.73092,0.22912,0.63778
0.206,12916,7317,4785,24753,0.72968,0.22816,0.63836
0.207,12895,7276,4806,24794,0.72849,0.22688,0.63928
0.208,12877,7235,4824,24835,0.72747,0.2256,0.64026
0.209,12857,7207,4844,24863,0.72634,0.22473,0.6408
0.21,12835,7185,4866,24885,0.7251,0.22404,0.64111
0.211,12813,7147,4888,24923,0.72386,0.22286,0.64193
0.212,12795,7110,4906,24960,0.72284,0.2217,0.6428
0.213,12757,7062,4944,25008,0.72069,0.22021,0.64368
0.214,12742,7023,4959,25047,0.71985,0.21899,0.64467
0.215,12726,6981,4975,25089,0.71894,0.21768,0.64576
0.216,12692,6948,5009,25122,0.71702,0.21665,0.64623
0.217,12652,6914,5049,25156,0.71476,0.21559,0.64663
0.218,12632,6882,5069,25188,0.71363,0.21459,0.64733
0.219,12607,6850,5094,25220,0.71222,0.2136,0.64794
0.22,12590,6824,5111,25246,0.71126,0.21278,0.6485
0.221,12567,6789,5134,25281,0.70996,0.21169,0.64926
0.222,12546,6763,5155,25307,0.70877,0.21088,0.64975
0.223,12516,6732,5185,25338,0.70708,0.20992,0.65025
0.224,12495,6710,5206,25360,0.70589,0.20923,0.65061
0.225,12471,6670,5230,25400,0.70454,0.20798,0.65153
0.226,12448,6643,5253,25427,0.70324,0.20714,0.65203
0.227,12428,6604,5273,25466,0.70211,0.20592,0.65301
0.228,12409,6568,5292,25502,0.70103,0.2048,0.6539
0.229,12378,6552,5323,25518,0.69928,0.2043,0.65388
0.23,12363,6524,5338,25546,0.69844,0.20343,0.65458
0.231,12345,6497,5356,25573,0.69742,0.20259,0.65519
0.232,12315,6451,5386,25619,0.69572,0.20115,0.65624
0.233,12290,6422,5411,25648,0.69431,0.20025,0.6568
0.234,12256,6384,5445,25686,0.69239,0.19906,0.65751
0.235,12233,6360,5468,25710,0.69109,0.19832,0.65794
0.236,12205,6314,5496,25756,0.68951,0.19688,0.65905
0.237,12185,6289,5516,25781,0.68838,0.1961,0.65958
0.238,12157,6261,5544,25809,0.6868,0.19523,0.66006
0.239,12137,6223,5564,25847,0.68567,0.19404,0.66106
0.24,12116,6196,5585,25874,0.68448,0.1932,0.66164
0.241,12085,6151,5616,25919,0.68273,0.1918,0.6627
0.242,12064,6121,5637,25949,0.68154,0.19086,0.6634
0.243,12037,6099,5664,25971,0.68002,0.19018,0.66371
0.244,12017,6054,5684,26016,0.67889,0.18877,0.66499
0.245,11992,6021,5709,26049,0.67748,0.18775,0.66574
0.246,11975,5995,5726,26075,0.67652,0.18693,0.66639
0.247,11942,5964,5759,26106,0.67465,0.18597,0.66693
0.248,11909,5938,5792,26132,0.67279,0.18516,0.66728
0.249,11890,5907,5811,26163,0.67171,0.18419,0.66809
0.25,11870,5872,5831,26198,0.67058,0.1831,0.66903
0.251,11849,5844,5852,26226,0.6694,0.18223,0.6697
0.252,11827,5820,5874,26250,0.66815,0.18148,0.6702
0.253,11804,5795,5897,26275,0.66685,0.1807,0.67072
0.254,11773,5754,5928,26316,0.6651,0.17942,0.67171
0.255,11758,5725,5943,26345,0.66426,0.17852,0.67254
0.256,11730,5688,5971,26382,0.66267,0.17736,0.67344
0.257,11706,5661,5995,26409,0.66132,0.17652,0.67404
0.258,11687,5639,6014,26431,0.66025,0.17583,0.67454
0.259,11664,5609,6037,26461,0.65895,0.1749,0.67527
0.26,11642,5581,6059,26489,0.6577,0.17403,0.67596
0.261,11627,5549,6074,26521,0.65686,0.17303,0.67693
0.262,11610,5531,6091,26539,0.6559,0.17247,0.67732
0.263,11583,5509,6118,26561,0.65437,0.17178,0.67769
0.264,11564,5488,6137,26582,0.6533,0.17113,0.67816
0.265,11543,5477,6158,26593,0.65211,0.17078,0.6782
0.266,11529,5462,6172,26608,0.65132,0.17031,0.67854
0.267,11509,5441,6192,26629,0.65019,0.16966,0.679
0.268,11476,5414,6225,26656,0.64832,0.16882,0.67946
0.269,11452,5389,6249,26681,0.64697,0.16804,0.68001
0.27,11428,5366,6273,26704,0.64561,0.16732,0.68048
0.271,11407,5342,6294,26728,0.64443,0.16657,0.68106
0.272,11381,5328,6320,26742,0.64296,0.16614,0.68113
0.273,11356,5302,6345,26768,0.64155,0.16533,0.68171
0.274,11330,5269,6371,26801,0.64008,0.1643,0.68257
0.275,11299,5239,6402,26831,0.63833,0.16336,0.68321
0.276,11277,5223,6424,26847,0.63708,0.16286,0.68345
0.277,11252,5188,6449,26882,0.63567,0.16177,0.68443
0.278,11231,5165,6470,26905,0.63448,0.16105,0.68498
0.279,11207,5143,6494,26927,0.63313,0.16037,0.68544
0.28,11183,5122,6518,26948,0.63177,0.15971,0.68586
0.281,11156,5094,6545,26976,0.63025,0.15884,0.68652
0.282,11134,5072,6567,26998,0.629,0.15815,0.68703
0.283,11114,5044,6587,27026,0.62787,0.15728,0.68783
0.284,11090,5026,6611,27044,0.62652,0.15672,0.68814
0.285,11076,5003,6625,27067,0.62573,0.156,0.68885
0.286,11042,4989,6659,27081,0.62381,0.15557,0.68879
0.287,11019,4959,6682,27111,0.62251,0.15463,0.68964
0.288,10995,4922,6706,27148,0.62115,0.15348,0.69077
0.289,10970,4894,6731,27176,0.61974,0.1526,0.6915
0.29,10948,4878,6753,27192,0.6185,0.1521,0.69177
0.291,10922,4857,6779,27213,0.61703,0.15145,0.69219
0.292,10893,4823,6808,27247,0.61539,0.15039,0.69312
0.293,10868,4794,6833,27276,0.61398,0.14949,0.69391
0.294,10844,4784,6857,27286,0.61262,0.14917,0.69388
0.295,10826,4766,6875,27304,0.6116,0.14861,0.69433
0.296,10798,4750,6903,27320,0.61002,0.14811,0.69449
0.297,10775,4736,6926,27334,0.60872,0.14768,0.69467
0.298,10756,4711,6945,27359,0.60765,0.1469,0.69542
0.299,10727,4698,6974,27372,0.60601,0.14649,0.69543
0.3,10705,4668,6996,27402,0.60477,0.14556,0.69635
0.301,10689,4644,7012,27426,0.60386,0.14481,0.69712
0.302,10673,4620,7028,27450,0.60296,0.14406,0.6979
0.303,10650,4607,7051,27463,0.60166,0.14365,0.69804
0.304,10621,4589,7080,27481,0.60002,0.14309,0.69829
0.305,10600,4568,7101,27502,0.59884,0.14244,0.69884
0.306,10573,4547,7128,27523,0.59731,0.14178,0.69927
0.307,10544,4526,7157,27544,0.59567,0.14113,0.69967
0.308,10529,4511,7172,27559,0.59483,0.14066,0.70007
0.309,10507,4494,7194,27576,0.59358,0.14013,0.70042
0.31,10486,4466,7215,27604,0.5924,0.13926,0.70131
0.311,10462,4453,7239,27617,0.59104,0.13885,0.70144
0.312,10435,4421,7266,27649,0.58951,0.13785,0.70241
0.313,10406,4401,7295,27669,0.58788,0.13723,0.70278
0.314,10378,4368,7323,27702,0.58629,0.1362,0.70378
0.315,10356,4350,7345,27720,0.58505,0.13564,0.7042
0.316,10334,4331,7367,27739,0.58381,0.13505,0.70467
0.317,10309,4306,7392,27764,0.5824,0.13427,0.70537
0.318,10279,4286,7422,27784,0.5807,0.13365,0.70573
0.319,10258,4271,7443,27799,0.57952,0.13318,0.70604
0.32,10239,4250,7462,27820,0.57844,0.13252,0.70667
0.321,10215,4220,7486,27850,0.57709,0.13159,0.70766
0.322,10191,4201,7510,27869,0.57573,0.13099,0.7081
0.323,10175,4177,7526,27893,0.57483,0.13025,0.70896
0.324,10155,4153,7546,27917,0.5737,0.1295,0.70974
0.325,10123,4120,7578,27950,0.57189,0.12847,0.71074
0.326,10104,4104,7597,27966,0.57082,0.12797,0.71115
0.327,10085,4070,7616,28000,0.56974,0.12691,0.71247
0.328,10064,4057,7637,28013,0.56856,0.1265,0.7127
0.329,10037,4045,7664,28025,0.56703,0.12613,0.71275
0.33,10016,4028,7685,28042,0.56584,0.1256,0.71319
0.331,9994,4008,7707,28062,0.5646,0.12498,0.71376
0.332,9966,3996,7735,28074,0.56302,0.1246,0.71379
0.333,9940,3973,7761,28097,0.56155,0.12389,0.71444
0.334,9914,3940,7787,28130,0.56008,0.12286,0.71561
0.335,9887,3926,7814,28144,0.55856,0.12242,0.71577
0.336,9871,3895,7830,28175,0.55765,0.12145,0.71706
0.337,9853,3879,7848,28191,0.55664,0.12095,0.71752
0.338,9821,3859,7880,28211,0.55483,0.12033,0.71791
0.339,9805,3833,7896,28237,0.55392,0.11952,0.71895
0.34,9787,3820,7914,28250,0.55291,0.11911,0.71926
0.341,9760,3796,7941,28274,0.55138,0.11837,0.71998
0.342,9737,3783,7964,28287,0.55008,0.11796,0.72019
0.343,9712,3752,7989,28318,0.54867,0.11699,0.72133
0.344,9685,3732,8016,28338,0.54714,0.11637,0.72185
0.345,9661,3716,8040,28354,0.54579,0.11587,0.72221
0.346,9634,3705,8067,28365,0.54426,0.11553,0.72224
0.347,9610,3687,8091,28383,0.54291,0.11497,0.72272
0.348,9584,3672,8117,28398,0.54144,0.1145,0.72299
0.349,9563,3659,8138,28411,0.54025,0.11409,0.72326
0.35,9530,3648,8171,28422,0.53839,0.11375,0.72317
0.351,9496,3632,8205,28438,0.53647,0.11325,0.72334
0.352,9468,3612,8233,28458,0.53489,0.11263,0.72385
0.353,9436,3589,8265,28481,0.53308,0.11191,0.72445
0.354,9419,3577,8282,28493,0.53212,0.11154,0.72476
0.355,9402,3558,8299,28512,0.53116,0.11094,0.72546
0.356,9378,3535,8323,28535,0.5298,0.11023,0.72624
0.357,9356,3512,8345,28558,0.52856,0.10951,0.72707
0.358,9323,3496,8378,28574,0.52669,0.10901,0.72728
0.359,9308,3477,8393,28593,0.52585,0.10842,0.72804
0.36,9276,3463,8425,28607,0.52404,0.10798,0.72816
0.361,9258,3443,8443,28627,0.52302,0.10736,0.72892
0.362,9223,3429,8478,28641,0.52104,0.10692,0.72898
0.363,9199,3410,8502,28660,0.51969,0.10633,0.72956
0.364,9172,3398,8529,28672,0.51816,0.10596,0.72967
0.365,9152,3378,8549,28692,0.51703,0.10533,0.73041
0.366,9132,3363,8569,28707,0.5159,0.10486,0.73085
0.367,9116,3339,8585,28731,0.515,0.10412,0.73191
0.368,9099,3313,8602,28757,0.51404,0.10331,0.73308
0.369,9071,3296,8630,28774,0.51246,0.10278,0.73348
0.37,9052,3274,8649,28796,0.51138,0.10209,0.73438
0.371,9026,3253,8675,28817,0.50991,0.10143,0.73508
0.372,9008,3239,8693,28831,0.5089,0.101,0.73553
0.373,8991,3217,8710,28853,0.50794,0.10031,0.73648
0.374,8968,3204,8733,28866,0.50664,0.09991,0.73677
0.375,8951,3194,8750,28876,0.50568,0.09959,0.73701
0.376,8927,3182,8774,28888,0.50432,0.09922,0.73722
0.377,8894,3167,8807,28903,0.50246,0.09875,0.73742
0.378,8882,3150,8819,28920,0.50178,0.09822,0.7382
0.379,8859,3123,8842,28947,0.50048,0.09738,0.73936
0.38,8837,3111,8864,28959,0.49924,0.09701,0.73962
0.381,8809,3091,8892,28979,0.49766,0.09638,0.74025
0.382,8786,3077,8915,28993,0.49636,0.09595,0.74062
0.383,8754,3059,8947,29011,0.49455,0.09539,0.74105
0.384,8727,3036,8974,29034,0.49302,0.09467,0.7419
0.385,8704,3025,8997,29045,0.49172,0.09432,0.74209
0.386,8683,3011,9018,29059,0.49054,0.09389,0.74252
0.387,8651,2994,9050,29076,0.48873,0.09336,0.74289
0.388,8631,2984,9070,29086,0.4876,0.09305,0.74309
0.389,8616,2971,9085,29099,0.48675,0.09264,0.74359
0.39,8591,2946,9110,29124,0.48534,0.09186,0.74465
0.391,8567,2927,9134,29143,0.48398,0.09127,0.74535
0.392,8549,2906,9152,29164,0.48297,0.09061,0.74631
0.393,8526,2894,9175,29176,0.48167,0.09024,0.74658
0.394,8514,2883,9187,29187,0.48099,0.0899,0.74704
0.395,8476,2864,9225,29206,0.47884,0.0893,0.74744
0.396,8456,2851,9245,29219,0.47771,0.0889,0.74786
0.397,8433,2842,9268,29228,0.47641,0.08862,0.74794
0.398,8424,2830,9277,29240,0.47591,0.08824,0.74853
0.399,8395,2813,9306,29257,0.47427,0.08771,0.74902
0.4,8360,2799,9341,29271,0.47229,0.08728,0.74917
0.401,8340,2782,9361,29288,0.47116,0.08675,0.74987
0.402,8312,2760,9389,29310,0.46958,0.08606,0.75072
0.403,8289,2752,9412,29318,0.46828,0.08581,0.75075
0.404,8265,2733,9436,29337,0.46692,0.08522,0.7515
0.405,8241,2722,9460,29348,0.46557,0.08488,0.75171
0.406,8220,2709,9481,29361,0.46438,0.08447,0.75213
0.407,8207,2700,9494,29370,0.46365,0.08419,0.75245
0.408,8194,2686,9507,29384,0.46291,0.08375,0.75313
0.409,8175,2676,9526,29394,0.46184,0.08344,0.75339
0.41,8157,2654,9544,29416,0.46082,0.08276,0.75451
0.411,8137,2646,9564,29424,0.45969,0.08251,0.75461
0.412,8126,2640,9575,29430,0.45907,0.08232,0.75478
0.413,8099,2629,9602,29441,0.45754,0.08198,0.75494
0.414,8078,2621,9623,29449,0.45636,0.08173,0.75502
0.415,8054,2610,9647,29460,0.455,0.08138,0.75525
0.416,8043,2588,9658,29482,0.45438,0.0807,0.75656
0.417,8022,2578,9679,29492,0.45319,0.08039,0.75679
0.418,8000,2560,9701,29510,0.45195,0.07983,0.75758
0.419,7987,2554,9714,29516,0.45122,0.07964,0.75771
0.42,7970,2540,9731,29530,0.45026,0.0792,0.75833
0.421,7952,2532,9749,29538,0.44924,0.07895,0.75849
0.422,7930,2524,9771,29546,0.448,0.0787,0.75856
0.423,7904,2512,9797,29558,0.44653,0.07833,0.75883
0.424,7893,2504,9808,29566,0.44591,0.07808,0.75916
0.425,7878,2492,9823,29578,0.44506,0.07771,0.75969
0.426,7849,2477,9852,29593,0.44342,0.07724,0.76012
0.427,7834,2469,9867,29601,0.44257,0.07699,0.76036
0.428,7808,2457,9893,29613,0.44111,0.07661,0.76064
0.429,7787,2445,9914,29625,0.43992,0.07624,0.76104
0.43,7778,2436,9923,29634,0.43941,0.07596,0.7615
0.431,7745,2425,9956,29645,0.43755,0.07562,0.76155
0.432,7717,2415,9984,29655,0.43596,0.0753,0.76165
0.433,7686,2402,10015,29668,0.43421,0.0749,0.7619
0.434,7672,2392,10029,29678,0.43342,0.07459,0.76232
0.435,7654,2380,10047,29690,0.4324,0.07421,0.76281
0.436,7634,2363,10067,29707,0.43128,0.07368,0.76363
0.437,7613,2353,10088,29717,0.43009,0.07337,0.7639
0.438,7592,2344,10109,29726,0.4289,0.07309,0.76409
0.439,7582,2332,10119,29738,0.42834,0.07272,0.76478
0.44,7562,2315,10139,29755,0.42721,0.07219,0.76562
0.441,7548,2304,10153,29766,0.42642,0.07184,0.76614
0.442,7530,2287,10171,29783,0.4254,0.07131,0.76704
0.443,7510,2279,10191,29791,0.42427,0.07106,0.76719
0.444,7486,2269,10215,29801,0.42291,0.07075,0.7674
0.445,7441,2251,10260,29819,0.42037,0.07019,0.76775
0.446,7420,2239,10281,29831,0.41919,0.06982,0.7682
0.447,7395,2228,10306,29842,0.41777,0.06947,0.76847
0.448,7360,2217,10341,29853,0.4158,0.06913,0.76851
0.449,7346,2210,10355,29860,0.415,0.06891,0.76873
0.45,7327,2201,10374,29869,0.41393,0.06863,0.769
0.451,7305,2187,10396,29883,0.41269,0.06819,0.7696
0.452,7281,2171,10420,29899,0.41133,0.0677,0.77031
