"first","last","state","district","senate","party_raw","party","party_side","faction_code","incumbent","open_seat","contested","prim_result","prim_share","experience","female","immigration","the Affordable Care Act","Benghazi","taxes","the minimum wage","gun control","abortion","climate change","the NSA","same-sex marriage","the debt and deficit","the Keystone pipeline","regulation","defense spending","silent_on"
"Gary","Palmer","AL","6",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"runoff",19.73,FALSE,FALSE,4,2,4,2,4,2,2,4,4,2,2,4,4,4,8
"Tom","Vigneulle","AL","6",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",2.54,FALSE,FALSE,2,2,2,3,4,2,2,3,4,4,2,4,2,2,4
"Scott","Beason","AL","6",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",15.29,TRUE,FALSE,2,2,4,2,4,2,2,4,2,2,2,4,4,4,6
"Will","Brooke","AL","6",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"lost",13.89,FALSE,FALSE,4,2,4,3,4,4,2,4,4,4,2,4,2,4,9
"Chad","Mathis","AL","6",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",15.25,FALSE,FALSE,2,2,4,2,4,2,2,4,2,4,2,4,2,4,6
"Tamara Harris","Johnson","AL","7",FALSE,"D","D","Democrat",100,FALSE,0,TRUE,"lost",16.09,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Terri","Sewell","AL","7",FALSE,"D","D","Democrat",77,TRUE,0,TRUE,"won",83.91,TRUE,TRUE,1,1,4,1,1,4,4,4,2,1,2,4,4,4,7
"Jeff","Sessions","AL","SEN",TRUE,"R","R","Republican",22,TRUE,NA,FALSE,"won",100,TRUE,FALSE,2,2,4,2,4,2,2,3,4,2,2,1,2,4,4
"Rick","Crawford","AR","1",FALSE,"R","R","Republican",11,TRUE,0,FALSE,"won",100,TRUE,FALSE,4,2,4,2,4,4,4,2,4,4,2,4,2,4,9
"Jackie","McPherson","AR","1",FALSE,"D","D","Democrat",100,FALSE,0,FALSE,"won",100,TRUE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Patrick","Hays","AR","2",FALSE,"D","D","Democrat",88,FALSE,1,FALSE,"won",100,TRUE,FALSE,4,4,4,4,4,2,4,3,4,4,1,1,4,4,10
"French","Hill","AR","2",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"won",55.1,FALSE,FALSE,4,2,4,3,4,2,4,4,4,4,2,4,4,4,10
"Conrad","Reynolds","AR","2",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",22.1,FALSE,FALSE,4,2,4,2,4,2,2,4,4,4,2,4,2,4,8
"Ann","Clemmer","AR","2",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",22.8,TRUE,TRUE,2,2,4,2,4,2,2,4,4,2,2,4,2,4,6
"Steve","Womack","AR","3",FALSE,"R","R","Republican",44,TRUE,0,FALSE,"won",100,TRUE,FALSE,3,3,4,3,4,4,2,3,4,4,2,4,2,2,6
"James Lee","Witt","AR","4",FALSE,"D","D","Democrat",77,FALSE,1,FALSE,"won",100,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Bruce","Westerman","AR","4",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"won",54.3,TRUE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Tommy","Moll","AR","4",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"lost",45.7,FALSE,FALSE,4,2,4,2,4,2,2,4,4,2,2,4,2,4,7
"Mark","Pryor","AR","SEN",TRUE,"D","D","Democrat",77,TRUE,NA,FALSE,"won",100,TRUE,FALSE,3,4,4,1,2,3,3,4,4,3,2,4,3,3,5
"Tom","Cotton","AR","SEN",TRUE,"R","R","Republican",22,FALSE,NA,FALSE,"won",100,TRUE,FALSE,4,2,2,2,4,2,4,2,1,4,2,1,2,2,4
"Andy","Tobin","AZ","1",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",35.7,TRUE,FALSE,2,2,4,2,4,2,2,2,4,4,2,4,2,4,6
"Ann","Kirkpatrick","AZ","1",FALSE,"D","D","Democrat",88,TRUE,0,FALSE,"won",98.6,TRUE,TRUE,1,3,4,1,4,2,1,1,4,4,2,4,4,4,7
"Adam","Kwasman","AZ","1",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",29,TRUE,FALSE,2,2,4,3,4,2,2,2,4,4,2,4,2,4,6
"Gary","Kiehne","AZ","1",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"lost",34.9,FALSE,FALSE,2,2,4,2,4,2,2,2,4,4,2,4,2,4,6
"Ron","Barber","AZ","2",FALSE,"D","D","Democrat",77,TRUE,0,FALSE,"won",98.6,TRUE,FALSE,1,3,4,1,1,2,1,3,3,1,2,4,2,4,3
"Martha","McSally","AZ","2",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"won",69.1,FALSE,TRUE,3,2,4,2,4,4,4,2,2,4,2,4,2,3,6
"Chuck","Wooten","AZ","2",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",22.8,FALSE,FALSE,2,2,4,4,4,2,2,4,2,4,2,4,2,2,6
"Shelly","Kais","AZ","2",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"lost",7.8,FALSE,TRUE,3,2,4,2,4,2,4,4,4,4,2,4,2,2,7
"Raul","Grijalva","AZ","3",FALSE,"D","D","Democrat",66,TRUE,0,FALSE,"won",97.6,TRUE,FALSE,1,1,4,1,1,1,1,1,2,1,2,2,4,1,2
"Gabriela","Saucedo Mercer","AZ","3",FALSE,"R","R","Republican",22,FALSE,0,FALSE,"won",98.4,FALSE,TRUE,2,2,4,2,4,2,2,4,2,2,2,1,2,2,3
"Paul","Gosar","AZ","4",FALSE,"R","R","Republican",22,TRUE,0,FALSE,"won",99.2,TRUE,FALSE,2,2,2,2,2,2,2,2,2,2,2,1,2,3,0
"Mikel","Weisser","AZ","4",FALSE,"D","D","Democrat",66,FALSE,0,FALSE,"won",97.4,FALSE,FALSE,1,3,4,1,4,3,4,1,4,1,1,4,4,1,6
"James","Woods","AZ","5",FALSE,"D","D","Democrat",66,FALSE,0,FALSE,"won",98.8,FALSE,FALSE,2,3,4,1,1,1,1,4,4,1,4,4,4,4,7
"Matt","Salmon","AZ","5",FALSE,"R","R","Republican",22,TRUE,0,FALSE,"won",99.1,TRUE,FALSE,2,2,2,2,4,2,2,2,2,4,2,1,2,4,3
"John","Williamson","AZ","6",FALSE,"D","D","Democrat",66,FALSE,0,FALSE,"won",98.9,FALSE,FALSE,1,1,4,4,4,4,4,4,4,4,2,4,1,4,10
"David","Schweikert","AZ","6",FALSE,"R","R","Republican",44,TRUE,0,FALSE,"won",98.8,TRUE,FALSE,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1
"Jarrett","Maupin","AZ","7",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"lost",7.2,TRUE,FALSE,1,4,4,4,1,4,4,1,4,1,4,4,1,4,9
"Ruben","Gallego","AZ","7",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"won",48.7,TRUE,FALSE,1,1,4,4,1,1,1,1,4,1,4,2,4,2,5
"Randy","Camacho","AZ","7",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",7.6,FALSE,FALSE,1,4,4,4,4,4,4,4,4,4,4,4,4,4,13
"Mary Rose","Wilcox","AZ","7",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",36.1,TRUE,TRUE,1,1,4,4,1,1,1,1,4,1,4,4,2,4,6
"Clair","Van Steenwyk","AZ","8",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",26.7,TRUE,FALSE,3,2,2,3,4,2,3,2,2,4,2,1,2,4,3
"Trent","Franks","AZ","8",FALSE,"R","R","Republican",22,TRUE,0,TRUE,"won",73.1,TRUE,FALSE,1,2,2,2,4,2,2,3,4,2,2,1,2,2,2
"Wendy","Rogers","AZ","9",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",60.33,FALSE,TRUE,2,2,4,2,4,4,4,3,4,4,2,1,2,4,7
"Kyrsten","Sinema","AZ","9",FALSE,"D","D","Democrat",77,TRUE,0,FALSE,"won",98.8,TRUE,TRUE,1,1,2,1,1,4,1,1,2,1,2,4,2,4,3
"Andrew","Walter","AZ","9",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",30.2,FALSE,FALSE,1,2,4,3,4,2,2,4,4,4,2,4,2,4,7
"Gregory","Cheadle","CA","1",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",9.9,FALSE,FALSE,2,2,4,2,4,2,2,4,2,4,4,4,2,4,7
"Doug","LaMalfa","CA","1",FALSE,"R","R","Republican",22,TRUE,0,TRUE,"won",53.4,TRUE,FALSE,2,2,2,2,2,2,4,4,2,2,2,1,2,4,3
"Heidi","Hall","CA","1",FALSE,"D","D","Democrat",88,FALSE,0,TRUE,"won",30.1,FALSE,TRUE,1,3,4,1,4,4,4,1,4,4,2,4,4,4,9
"Dan","Levine","CA","1",FALSE,"D","D","Democrat",100,FALSE,0,TRUE,"lost",6.5,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Jeff","Denham","CA","10",FALSE,"R","R","Republican",22,TRUE,0,TRUE,"won",58.9,TRUE,FALSE,1,2,4,2,4,4,4,4,4,4,2,4,2,4,9
"Mike","Barkley","CA","10",FALSE,"D","D","Democrat",66,FALSE,0,TRUE,"lost",14.7,FALSE,FALSE,1,3,4,3,1,1,3,4,4,1,3,4,3,3,4
"Michael","Eggman","CA","10",FALSE,"D","D","Democrat",77,FALSE,0,TRUE,"won",26.4,FALSE,FALSE,1,4,4,3,1,4,4,1,4,4,2,4,2,4,8
"Ki","Ingersol","CA","11",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",2.3,FALSE,FALSE,4,3,4,1,4,4,4,4,4,4,4,4,4,4,12
"Mark","Desaulnier","CA","11",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"won",58.8,TRUE,FALSE,1,4,4,4,4,1,4,4,4,4,4,4,4,4,12
"Tue","Phan","CA","11",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"won",27.9,FALSE,FALSE,1,4,4,4,4,4,4,4,4,4,4,4,4,4,13
"Tony","Daysog","CA","11",FALSE,"D","D","Democrat",88,FALSE,1,TRUE,"lost",3.4,TRUE,FALSE,4,4,4,4,4,4,1,4,2,4,2,4,4,4,11
"Cheryl","Sudduth","CA","11",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",4.8,FALSE,TRUE,4,3,4,4,4,4,4,4,4,4,4,4,4,4,13
"Jason","Ramey","CA","11",FALSE,"No Party Preference","No Party Preference","Third party",99,FALSE,1,TRUE,"lost",2.6,FALSE,FALSE,2,3,4,3,4,2,1,4,4,1,4,4,4,4,8
"David","Peterson","CA","12",FALSE,"D","D","Democrat",77,FALSE,0,TRUE,"lost",3.5,FALSE,FALSE,4,3,4,4,4,4,4,1,2,1,4,1,1,1,7
"Jim","Welles","CA","12",FALSE,"No Party Preference","No Party Preference","Third party",99,FALSE,0,TRUE,"lost",80,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"John","Dennis","CA","12",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"won",11.9,FALSE,FALSE,4,2,4,2,4,4,4,4,2,4,2,4,2,4,9
"Nancy","Pelosi","CA","12",FALSE,"D","D","Democrat",77,TRUE,0,TRUE,"won",73.6,TRUE,TRUE,1,1,2,1,1,1,1,1,3,1,1,3,1,3,0
"A.J.","Thorsson","CA","12",FALSE,"No Party Preference","No Party Preference","Third party",99,FALSE,0,TRUE,"lost",1.2,FALSE,FALSE,1,3,4,1,4,2,1,1,2,1,2,3,4,4,4
"Michael","Steger","CA","12",FALSE,"D","D","Democrat",100,FALSE,0,TRUE,"lost",1.4,FALSE,FALSE,4,2,4,4,4,4,4,3,2,4,4,4,4,3,10
"Frank","Lara","CA","12",FALSE,"Peace and Freedom","Peace and Freedom","Third party",99,FALSE,0,TRUE,"lost",1.9,FALSE,FALSE,1,3,4,1,1,4,1,1,2,1,4,4,4,1,5
"Barry","Hermanson","CA","12",FALSE,"Green","Green","Third party",99,FALSE,0,TRUE,"lost",5.7,FALSE,FALSE,1,3,4,4,1,4,4,1,2,4,4,2,1,1,6
"Dakin","Sundeen","CA","13",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",10.2,FALSE,FALSE,4,2,4,3,4,4,4,4,2,4,4,4,4,4,11
"Barbara","Lee","CA","13",FALSE,"D","D","Democrat",66,TRUE,0,TRUE,"won",82.6,TRUE,TRUE,1,1,4,4,1,1,1,1,2,1,2,4,4,1,4
"Larry","Allen","CA","13",FALSE,"Peace and Freedom","Peace and Freedom","Third party",99,FALSE,0,TRUE,"lost",2.3,FALSE,FALSE,4,4,4,4,4,4,4,4,2,4,4,4,4,4,13
"Justin","Jelincic","CA","13",FALSE,"D","D","Democrat",88,FALSE,0,TRUE,"lost",4.9,FALSE,FALSE,4,3,4,3,4,4,4,4,4,4,2,4,4,4,11
"Robin","Chew","CA","14",FALSE,"R","R","Republican",11,FALSE,0,FALSE,"won",22.6,FALSE,FALSE,3,3,4,4,4,4,4,1,4,4,2,4,3,1,8
"Jackie","Speier","CA","14",FALSE,"D","D","Democrat",77,TRUE,0,FALSE,"won",77.4,TRUE,TRUE,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0
"Eric","Swalwell","CA","15",FALSE,"D","D","Democrat",77,TRUE,0,TRUE,"won",49.1,TRUE,FALSE,1,1,4,3,1,1,1,1,2,4,2,2,4,4,4
"Hugh","Bussell","CA","15",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"won",25.7,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Ellen","Corbett","CA","15",FALSE,"D","D","Democrat",77,FALSE,0,TRUE,"lost",25.2,TRUE,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Mel","Levey","CA","16",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",7.9,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Job","Melton","CA","16",FALSE,"D","D","Democrat",100,FALSE,0,TRUE,"lost",4.1,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Johnny","Tacherra","CA","16",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",21.7,FALSE,FALSE,2,2,4,3,4,2,4,4,4,4,4,4,2,4,9
"Joanna","Garcia-Botelho","CA","16",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",6.6,FALSE,TRUE,4,2,4,4,4,4,4,2,4,4,4,4,4,4,12
"Jim","Costa","CA","16",FALSE,"D","D","Democrat",77,TRUE,0,TRUE,"won",44.3,TRUE,FALSE,1,1,4,4,4,4,4,1,4,1,2,1,4,3,7
"Steve","Crass","CA","16",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",15.4,FALSE,FALSE,1,2,4,4,4,4,4,4,4,4,4,4,2,4,11
"Vanila","Singh","CA","17",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",17,FALSE,TRUE,4,3,4,2,4,4,4,4,2,4,4,4,4,4,11
"Ro","Khanna","CA","17",FALSE,"D","D","Democrat",66,FALSE,0,TRUE,"won",28,FALSE,FALSE,1,3,4,1,1,1,1,1,3,1,2,2,3,4,2
"Joel","VanLandingham","CA","17",FALSE,"R","R","Republican",100,FALSE,0,TRUE,"lost",6.8,FALSE,FALSE,1,4,4,4,4,4,4,4,4,4,4,4,4,4,13
"Mike","Honda","CA","17",FALSE,"D","D","Democrat",66,TRUE,0,TRUE,"won",48.2,TRUE,FALSE,1,1,4,1,1,1,1,1,2,1,4,2,3,4,3
"Oscar","Braun","CA","18",FALSE,"R","R","Republican",100,FALSE,0,TRUE,"lost",1.8,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Richard","Fox","CA","18",FALSE,"R","R","Republican",55,FALSE,0,TRUE,"won",22.5,FALSE,FALSE,4,2,4,2,4,4,1,2,4,1,2,4,2,4,7
"Bruce","Anderson","CA","18",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"lost",8,FALSE,FALSE,4,3,4,3,4,4,4,4,4,4,4,4,4,4,12
"Anna","Eshoo","CA","18",FALSE,"D","D","Democrat",77,TRUE,0,TRUE,"won",67.6,TRUE,TRUE,1,1,4,1,1,1,1,1,2,1,3,2,1,4,2
"Robert","Murray","CA","19",FALSE,"D","D","Democrat",100,FALSE,0,FALSE,"won",24,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Zoe","Lofgren","CA","19",FALSE,"D","D","Democrat",77,TRUE,0,FALSE,"won",76,TRUE,TRUE,1,1,4,4,1,1,1,3,2,1,2,4,4,4,5
"Andy","Caffrey","CA","2",FALSE,"D","D","Democrat",100,FALSE,0,TRUE,"lost",9.8,FALSE,FALSE,1,3,1,1,1,1,1,1,3,1,1,2,4,1,1
"Jared","Huffman","CA","2",FALSE,"D","D","Democrat",66,TRUE,0,TRUE,"won",67.9,TRUE,FALSE,1,3,1,1,1,1,1,1,2,1,4,2,1,1,1
"Dale","Mensing","CA","2",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",22.3,FALSE,FALSE,4,2,4,4,4,4,4,4,4,4,4,4,4,4,13
"Sam","Farr","CA","20",FALSE,"D","D","Democrat",66,TRUE,0,FALSE,"won",73.8,TRUE,FALSE,1,1,4,1,1,1,4,1,4,1,1,2,4,4,5
"Ronald","Kabat","CA","20",FALSE,"No Party Preference","No Party Preference","Third party",99,FALSE,0,FALSE,"won",26.2,FALSE,FALSE,3,3,4,3,4,4,4,2,4,4,4,4,2,4,9
"Amanda","Renteria","CA","21",FALSE,"D","D","Democrat",77,FALSE,0,TRUE,"won",25.6,FALSE,TRUE,1,4,4,4,4,4,4,4,4,4,4,4,4,4,13
"John","Hernandez","CA","21",FALSE,"D","D","Democrat",77,FALSE,0,TRUE,"lost",11.5,FALSE,FALSE,4,4,4,4,4,4,1,3,4,4,4,4,4,4,12
"David","Valadao","CA","21",FALSE,"R","R","Republican",11,TRUE,0,TRUE,"won",63,TRUE,FALSE,1,3,4,3,4,4,4,2,4,4,2,1,2,4,7
"Devin","Nunes","CA","22",FALSE,"R","R","Republican",11,TRUE,0,TRUE,"won",67.9,TRUE,FALSE,4,2,2,3,4,4,4,4,4,4,2,4,2,4,9
"John","Catano","CA","22",FALSE,"R","R","Republican",100,FALSE,0,TRUE,"lost",7.2,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"SUZANNA ""SAM""","AGUILERA-MARRERO","CA","22",FALSE,"D","D","Democrat",66,FALSE,0,TRUE,"won",24.9,FALSE,TRUE,1,4,4,4,4,4,4,4,4,4,4,4,4,4,13
"Kevin","McCarthy","CA","23",FALSE,"R","R","Republican",11,TRUE,0,FALSE,"won",99.1,TRUE,FALSE,3,2,4,2,4,4,4,3,4,4,2,1,2,4,7
"Dale","Franciso","CA","24",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"lost",11.7,TRUE,FALSE,2,2,4,2,4,4,4,4,4,4,2,1,4,4,9
"Sandra","Marshall","CA","24",FALSE,"D","D","Democrat",66,FALSE,0,TRUE,"lost",3.5,FALSE,TRUE,4,3,4,4,4,4,4,1,4,4,3,4,4,1,10
"Brad","Allen","CA","24",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",7,FALSE,FALSE,2,2,4,3,4,4,4,2,4,4,2,1,2,4,7
"Justin","Fareed","CA","24",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"lost",15.3,FALSE,FALSE,3,2,4,2,4,4,4,4,4,4,2,4,4,4,10
"Chris","Mitchum","CA","24",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"won",15.8,FALSE,FALSE,2,2,4,2,4,4,4,4,4,4,2,4,2,4,9
"Paul","Coyne","CA","24",FALSE,"D","D","Democrat",88,FALSE,0,TRUE,"lost",1.6,FALSE,FALSE,1,4,4,3,4,4,2,4,4,4,2,4,4,1,9
"Alexis","Stuart","CA","24",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",50,FALSE,TRUE,4,2,4,2,4,4,4,4,4,4,4,4,2,4,11
"Steve","Isakson","CA","24",FALSE,"No Party Preference","No Party Preference","Third party",99,FALSE,0,TRUE,"lost",90,FALSE,FALSE,4,1,4,4,4,3,4,3,4,4,4,4,4,4,11
"Lois","Capps","CA","24",FALSE,"D","D","Democrat",77,TRUE,0,TRUE,"won",43.7,TRUE,TRUE,1,1,4,4,1,1,1,1,4,1,4,2,4,1,5
"Navraj","Singh","CA","25",FALSE,"R","R","Republican",100,FALSE,1,TRUE,"lost",1.1,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Steve","Knight","CA","25",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"won",28.4,TRUE,FALSE,4,4,4,2,4,2,4,4,4,4,4,4,2,4,11
"David","Bruce","CA","25",FALSE,"Libertarian","Libertarian","Third party",99,FALSE,1,TRUE,"lost",1.9,FALSE,FALSE,1,2,4,4,4,2,4,4,4,1,4,4,4,4,10
"Evan","Thomas","CA","25",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",9.5,FALSE,FALSE,1,4,4,4,4,4,4,4,4,4,4,4,4,4,13
"Lee","Rogers","CA","25",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",22.2,FALSE,FALSE,4,3,4,4,1,1,4,4,4,4,4,4,4,4,11
"Michael","Mussack","CA","25",FALSE,"No Party Preference","No Party Preference","Third party",99,FALSE,1,TRUE,"lost",1.4,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
