"bioguide","name","last","state","cd","party","start","end","black","hisp","both"
"V000129","David G. Valadao","Valadao","CA",22,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"O000019","Jay Obernolte","Obernolte","CA",23,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001112","Salud O. Carbajal","Carbajal","CA",24,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"R000599","Raul Ruiz","Ruiz","CA",25,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"B001285","Julia Brownley","Brownley","CA",26,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000061","Mike Garcia","Garcia","CA",27,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"C001080","Judy Chu","Chu","CA",28,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001097","Tony Cárdenas","Cárdenas","CA",29,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"S001150","Adam B. Schiff","Schiff","CA",30,"Democrat",2023-01-03,2024-12-08,FALSE,FALSE,FALSE
"N000179","Grace F. Napolitano","Napolitano","CA",31,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"S000344","Brad Sherman","Sherman","CA",32,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"A000371","Pete Aguilar","Aguilar","CA",33,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"G000585","Jimmy Gomez","Gomez","CA",34,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"T000474","Norma J. Torres","Torres","CA",35,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"L000582","Ted Lieu","Lieu","CA",36,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000400","Sydney Kamlager-Dove","Kamlager-Dove","CA",37,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"S001156","Linda T. Sánchez","Sánchez","CA",38,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"T000472","Mark Takano","Takano","CA",39,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000397","Young Kim","Kim","CA",40,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C000059","Ken Calvert","Calvert","CA",41,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000598","Robert Garcia","Garcia","CA",42,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"W000187","Maxine Waters","Waters","CA",43,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"B001300","Nanette Diaz Barragán","Barragán","CA",44,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"S001135","Michelle Steel","Steel","CA",45,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001110","J. Luis Correa","Correa","CA",46,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"P000618","Katie Porter","Porter","CA",47,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"I000056","Darrell Issa","Issa","CA",48,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000593","Mike Levin","Levin","CA",49,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"P000608","Scott H. Peters","Peters","CA",50,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000305","Sara Jacobs","Jacobs","CA",51,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"V000130","Juan Vargas","Vargas","CA",52,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"D000197","Diana DeGette","DeGette","CO",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"N000191","Joe Neguse","Neguse","CO",2,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"B000825","Lauren Boebert","Boebert","CO",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001297","Ken Buck","Buck","CO",4,"Republican",2023-01-03,2024-03-22,FALSE,FALSE,FALSE
"L000604","Greg Lopez","Lopez","CO",4,"Republican",2024-07-08,2025-01-03,FALSE,TRUE,FALSE
"L000564","Doug Lamborn","Lamborn","CO",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001121","Jason Crow","Crow","CO",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000620","Brittany Pettersen","Pettersen","CO",7,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001134","Yadira Caraveo","Caraveo","CO",8,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"L000557","John B. Larson","Larson","CT",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001069","Joe Courtney","Courtney","CT",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000216","Rosa L. DeLauro","DeLauro","CT",3,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001047","James A. Himes","Himes","CT",4,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001081","Jahana Hayes","Hayes","CT",5,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"B001303","Lisa Blunt Rochester","Blunt Rochester","DE",0,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"G000578","Matt Gaetz","Gaetz","FL",1,"Republican",2023-01-03,2024-11-13,FALSE,FALSE,FALSE
"D000628","Neal P. Dunn","Dunn","FL",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001039","Kat Cammack","Cammack","FL",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001314","Aaron Bean","Bean","FL",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"R000609","John H. Rutherford","Rutherford","FL",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000823","Michael Waltz","Waltz","FL",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001216","Cory Mills","Mills","FL",7,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000599","Bill Posey","Posey","FL",8,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001200","Darren Soto","Soto","FL",9,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"F000476","Maxwell Frost","Frost","FL",10,"Democrat",2023-01-03,2025-01-03,TRUE,TRUE,TRUE
"W000806","Daniel Webster","Webster","FL",11,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001257","Gus M. Bilirakis","Bilirakis","FL",12,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000596","Anna Paulina Luna","Luna","FL",13,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"C001066","Kathy Castor","Castor","FL",14,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000597","Laurel M. Lee","Lee","FL",15,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001260","Vern Buchanan","Buchanan","FL",16,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001214","W. Gregory Steube","Steube","FL",17,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000472","Scott Franklin","Franklin","FL",18,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000032","Byron Donalds","Donalds","FL",19,"Republican",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"C001127","Sheila Cherfilus-McCormick","Cherfilus-McCormick","FL",20,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"M001199","Brian J. Mast","Mast","FL",21,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"F000462","Lois Frankel","Frankel","FL",22,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001217","Jared Moskowitz","Moskowitz","FL",23,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000808","Frederica S. Wilson","Wilson","FL",24,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"W000797","Debbie Wasserman Schultz","Wasserman Schultz","FL",25,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000600","Mario Diaz-Balart","Diaz-Balart","FL",26,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"S000168","Maria Elvira Salazar","Salazar","FL",27,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"G000593","Carlos A. Gimenez","Gimenez","FL",28,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"C001103","Earl L. ""Buddy"" Carter","Carter","GA",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B000490","Sanford D. Bishop, Jr.","Bishop","GA",2,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"F000465","A. Drew Ferguson IV","Ferguson","GA",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000288","Henry C. ""Hank"" Johnson, Jr.","Johnson","GA",4,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"W000788","Nikema Williams","Williams","GA",5,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"M001218","Richard McCormick","McCormick","GA",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001208","Lucy McBath","McBath","GA",7,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"S001189","Austin Scott","Scott","GA",8,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001116","Andrew S. Clyde","Clyde","GA",9,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001129","Mike Collins","Collins","GA",10,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000583","Barry Loudermilk","Loudermilk","GA",11,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"A000372","Rick W. Allen","Allen","GA",12,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001157","David Scott","Scott","GA",13,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"G000596","Marjorie Taylor Greene","Greene","GA",14,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001055","Ed Case","Case","HI",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000487","Jill N. Tokuda","Tokuda","HI",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001215","Mariannette Miller-Meeks","Miller-Meeks","IA",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001091","Ashley Hinson","Hinson","IA",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"N000193","Zachary Nunn","Nunn","IA",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000446","Randy Feenstra","Feenstra","IA",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000469","Russ Fulcher","Fulcher","ID",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001148","Michael K. Simpson","Simpson","ID",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000309","Jonathan L. Jackson","Jackson","IL",1,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"K000385","Robin L. Kelly","Kelly","IL",2,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"R000617","Delia C. Ramirez","Ramirez","IL",3,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"G000586","Jesús G. ""Chuy"" García","García","IL",4,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"Q000023","Mike Quigley","Quigley","IL",5,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001117","Sean Casten","Casten","IL",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000096","Danny K. Davis","Davis","IL",7,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"K000391","Raja Krishnamoorthi","Krishnamoorthi","IL",8,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001145","Janice D. Schakowsky","Schakowsky","IL",9,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001190","Bradley Scott Schneider","Schneider","IL",10,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000454","Bill Foster","Foster","IL",11,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001295","Mike Bost","Bost","IL",12,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001315","Nikki Budzinski","Budzinski","IL",13,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"U000040","Lauren Underwood","Underwood","IL",14,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"M001211","Mary E. Miller","Miller","IL",15,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000585","Darin LaHood","LaHood","IL",16,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001225","Eric Sorensen","Sorensen","IL",17,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001214","Frank J. Mrvan","Mrvan","IN",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"Y000067","Rudy Yakym III","Yakym","IN",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001299","Jim Banks","Banks","IN",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001307","James R. Baird","Baird","IN",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S000929","Victoria Spartz","Spartz","IN",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000615","Greg Pence","Pence","IN",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001072","André Carson","Carson","IN",7,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"B001275","Larry Bucshon","Bucshon","IN",8,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001093","Erin Houchin","Houchin","IN",9,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M000871","Tracey Mann","Mann","KS",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000266","Jake LaTurner","LaTurner","KS",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000629","Sharice Davids","Davids","KS",3,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"E000298","Ron Estes","Estes","KS",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001108","James Comer","Comer","KY",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000558","Brett Guthrie","Guthrie","KY",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001220","Morgan McGarvey","McGarvey","KY",3,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001184","Thomas Massie","Massie","KY",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"R000395","Harold Rogers","Rogers","KY",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001282","Andy Barr","Barr","KY",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001176","Steve Scalise","Scalise","LA",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001125","Troy A. Carter","Carter","LA",2,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"H001077","Clay Higgins","Higgins","LA",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000299","Mike Johnson","Johnson","LA",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000595","Julia Letlow","Letlow","LA",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000577","Garret Graves","Graves","LA",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"N000015","Richard E. Neal","Neal","MA",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M000312","James P. McGovern","McGovern","MA",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000482","Lori Trahan","Trahan","MA",3,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"A000148","Jake Auchincloss","Auchincloss","MA",4,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001101","Katherine M. Clark","Clark","MA",5,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001196","Seth Moulton","Moulton","MA",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000617","Ayanna Pressley","Pressley","MA",7,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"L000562","Stephen F. Lynch","Lynch","MA",8,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000375","William R. Keating","Keating","MA",9,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001052","Andy Harris","Harris","MD",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"R000576","C. A. Dutch Ruppersberger","Ruppersberger","MD",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001168","John P. Sarbanes","Sarbanes","MD",3,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"I000058","Glenn Ivey","Ivey","MD",4,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"H000874","Steny H. Hoyer","Hoyer","MD",5,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000483","David J. Trone","Trone","MD",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M000687","Kweisi Mfume","Mfume","MD",7,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"R000606","Jamie Raskin","Raskin","MD",8,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000597","Chellie Pingree","Pingree","ME",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000592","Jared F. Golden","Golden","ME",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001301","Jack Bergman","Bergman","MI",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001194","John R. Moolenaar","Moolenaar","MI",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001221","Hillary J. Scholten","Scholten","MI",3,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001058","Bill Huizenga","Huizenga","MI",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000798","Tim Walberg","Walberg","MI",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000624","Debbie Dingell","Dingell","MI",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001208","Elissa Slotkin","Slotkin","MI",7,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000380","Daniel T. Kildee","Kildee","MI",8,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001136","Lisa C. McClain","McClain","MI",9,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000307","John James","James","MI",10,"Republican",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"S001215","Haley M. Stevens","Stevens","MI",11,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000481","Rashida Tlaib","Tlaib","MI",12,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000488","Shri Thanedar","Thanedar","MI",13,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000475","Brad Finstad","Finstad","MN",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001119","Angie Craig","Craig","MN",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000616","Dean Phillips","Phillips","MN",3,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001143","Betty McCollum","McCollum","MN",4,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"O000173","Ilhan Omar","Omar","MN",5,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"E000294","Tom Emmer","Emmer","MN",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000470","Michelle Fischbach","Fischbach","MN",7,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001212","Pete Stauber","Stauber","MN",8,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001224","Cori Bush","Bush","MO",1,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"W000812","Ann Wagner","Wagner","MO",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000569","Blaine Luetkemeyer","Luetkemeyer","MO",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"A000379","Mark Alford","Alford","MO",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001061","Emanuel Cleaver","Cleaver","MO",5,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"G000546","Sam Graves","Graves","MO",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001316","Eric Burlison","Burlison","MO",7,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001195","Jason Smith","Smith","MO",8,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000388","Trent Kelly","Kelly","MS",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000193","Bennie G. Thompson","Thompson","MS",2,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"G000591","Michael Guest","Guest","MS",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"E000235","Mike Ezell","Ezell","MS",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"Z000018","Ryan K. Zinke","Zinke","MT",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"R000103","Matthew M. Rosendale, Sr.","Rosendale","MT",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000230","Donald G. Davis","Davis","NC",1,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
