"key","stfips","geoid","state","cd","geoname","pop_total","pop_black_low","pop_black_high","pop_hisp","pop_total_moe","pop_black_low_moe","pop_hisp_moe","vap_total","vap_black_low","vap_black_high","vap_hisp","vap_total_moe","vap_black_low_moe","vap_hisp_moe","cvap_total","cvap_black_low","cvap_black_high","cvap_hisp","cvap_total_moe","cvap_black_low_moe","cvap_hisp_moe","r_white","r_black","r_api","r_aian","r_2prace","r_hisp","state_abb","bioguide","name","party","black","hisp","both","dem_pct","rep_pct","dpres","pop_black_low_pct","pop_black_high_pct","pop_hisp_pct","pop_black_low_pct_moe","pop_hisp_pct_moe","vap_black_low_pct","vap_black_high_pct","vap_hisp_pct","vap_black_low_pct_moe","vap_hisp_pct_moe","cvap_black_low_pct","cvap_black_high_pct","cvap_hisp_pct","cvap_black_low_pct_moe","cvap_hisp_pct_moe","minority_pct"
"CA-05","06","5001800US0605","California",5,"Congressional District 5 (118th Congress), California",764590,17045,27970,201945,5258,1303,4172,597345,13880,20340,138520,3730,1092,2677,563905,13240,19615,119560,3840,1085,2458,465035,17045,47220,4230,29105,201945,"CA","M001177","Tom McClintock","Republican",FALSE,FALSE,FALSE,42.7,55,43.71,2.2293,3.65817,26.4122,0.169727,0.514534,2.32362,3.40507,23.1893,0.182232,0.424112,2.34791,3.47842,21.2022,0.191743,0.411283,25.5129
"CA-06","06","5001800US0606","California",6,"Congressional District 6 (118th Congress), California",755795,69625,92690,174115,5629,2979,4082,576670,52455,66075,118135,4420,2217,2458,514960,51090,64580,94695,4877,2186,2775,369265,69625,95615,2475,44700,174115,"CA","B001287","Ami Bera","Democrat",FALSE,FALSE,FALSE,57.9,39.4,59.51,9.21215,12.2639,23.0373,0.388137,0.512116,9.09619,11.458,20.4857,0.378074,0.396266,9.92116,12.5408,18.3888,0.41397,0.509959,29.5819
"CA-07","06","5001800US0607","California",7,"Congressional District 7 (118th Congress), California",757895,75705,98820,206055,5442,3320,4209,585065,59775,73470,144015,4508,2425,2693,529945,58670,72220,118325,4456,2364,2402,246615,75705,185050,1730,42745,206055,"CA","M001163","Doris O. Matsui","Democrat",FALSE,FALSE,FALSE,67.4,30.3,68.99,9.98885,13.0387,27.1878,0.432144,0.519911,10.2168,12.5576,24.6152,0.406939,0.419399,11.071,13.6278,22.3278,0.436263,0.412544,34.832
"CA-08","06","5001800US0608","California",8,"Congressional District 8 (118th Congress), California",751025,107115,129310,272805,3286,2513,3502,586340,86230,99730,191380,3111,1833,2321,495430,84375,97340,129285,3992,1803,2599,189685,107115,140655,1605,39160,272805,"CA","G000559","John Garamendi","Democrat",FALSE,FALSE,FALSE,76,22,77.55,14.2625,17.2178,36.3244,0.328739,0.438375,14.7065,17.0089,32.6398,0.302723,0.355953,17.0307,19.6476,26.0955,0.337062,0.480611,47.3462
"CA-09","06","5001800US0609","California",9,"Congressional District 9 (118th Congress), California",767050,52435,67700,323125,1971,1577,1614,565395,40490,48855,217495,1640,884,1142,482870,39580,47430,160665,3158,878,2590,227950,52435,133180,2005,28360,323125,"CA","H001090","Josh Harder","Democrat",FALSE,FALSE,FALSE,55.2,42.6,56.44,6.83593,8.82602,42.1257,0.204841,0.180438,7.16137,8.64086,38.4678,0.154965,0.168365,8.19682,9.82252,33.2729,0.173747,0.490252,45.6292
"CA-10","06","5001800US0610","California",10,"Congressional District 10 (118th Congress), California",756740,39215,53045,135790,3175,1948,3143,583700,30410,38780,94735,2841,1470,2201,521630,29390,37515,76505,3824,1527,2047,368845,39215,171180,1285,40425,135790,"CA","D000623","Mark DeSaulnier","Democrat",FALSE,FALSE,FALSE,68.6,29.3,70.07,5.1821,7.00967,17.9441,0.2565,0.408454,5.20987,6.64382,16.2301,0.250562,0.36871,5.63426,7.19188,14.6665,0.289808,0.377407,21.44
"CA-11","06","5001800US0611","California",11,"Congressional District 11 (118th Congress), California",723465,37285,50140,105560,3572,1291,1915,628805,31970,40655,84520,3004,1060,1400,543395,30440,38760,62575,3416,1092,1574,308460,37285,231910,1480,38775,105560,"CA","P000197","Nancy Pelosi","Democrat",FALSE,FALSE,FALSE,86.3,11.7,88.06,5.15367,6.93054,14.5909,0.176623,0.254707,5.08425,6.46544,13.4414,0.166815,0.213183,5.60182,7.13293,11.5156,0.197849,0.280469,18.5256
"CA-12","06","5001800US0612","California",12,"Congressional District 12 (118th Congress), California",746725,115380,134715,176275,1620,2789,3791,609470,95305,107655,127765,2412,2071,2649,521165,90235,102265,85610,3456,1956,2415,256365,115380,155595,2010,41100,176275,"CA","L000551","Barbara Lee","Democrat",TRUE,FALSE,FALSE,89.3,8.6,91.22,15.4515,18.0408,23.6064,0.37199,0.505094,15.6374,17.6637,20.9633,0.334121,0.426649,17.3141,19.6224,16.4267,0.35732,0.4504,36.6007
"CA-13","06","5001800US0613","California",13,"Congressional District 13 (118th Congress), California",779050,22305,30465,511860,5258,1588,4162,549800,17165,21965,338150,3914,1130,3081,429045,16840,21530,229875,4450,1137,3882,172010,22305,53065,1995,17805,511860,"CA","D000633","John S. Duarte","Republican",FALSE,TRUE,FALSE,54.3,43.4,55.58,2.8631,3.91053,65.7031,0.20292,0.29794,3.12204,3.99509,61.5042,0.204324,0.349748,3.925,5.01812,53.5783,0.261862,0.71404,64.6262
"CA-14","06","5001800US0614","California",14,"Congressional District 14 (118th Congress), California",743390,41265,53605,183000,2692,2522,3640,586805,33810,41580,133990,2932,1929,2684,473405,31710,39335,97375,3591,1950,2715,194205,41265,293480,1660,29770,183000,"CA","S001193","Eric Swalwell","Democrat",FALSE,FALSE,FALSE,71.7,26.2,73.24,5.55092,7.21089,24.617,0.338661,0.481466,5.76171,7.08583,22.8338,0.327466,0.442935,6.69828,8.30895,20.5691,0.408764,0.551873,28.5955
