"BD","R","sigma","p"
0.3,0.145,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000938446
0.35,0.145,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000946669
0.4,0.145,0.005,0.0000000000626584
0.45,0.145,0.005,1
0.3,0.15,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000194202
0.35,0.15,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000535977
0.4,0.15,0.005,0.00000000202237
0.45,0.15,0.005,1
0.3,0.155,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000390636
0.35,0.155,0.005,0.00000000000000000000000000000000000000000000000000000000000000000265649
0.4,0.155,0.005,0.0000000503534
0.45,0.155,0.005,1
0.3,0.16,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000761016
0.35,0.16,0.005,0.0000000000000000000000000000000000000000000000000000000000000114507
0.4,0.16,0.005,0.000000958871
0.45,0.16,0.005,1
0.3,0.165,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143047
0.35,0.165,0.005,0.0000000000000000000000000000000000000000000000000000000000426349
0.4,0.165,0.005,0.0000138487
0.45,0.165,0.005,1
0.3,0.17,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000258416
0.35,0.17,0.005,0.000000000000000000000000000000000000000000000000000000136154
0.4,0.17,0.005,0.000150488
0.45,0.17,0.005,1
0.3,0.175,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044681
0.35,0.175,0.005,0.000000000000000000000000000000000000000000000000000370199
0.4,0.175,0.005,0.00122154
0.45,0.175,0.005,1
0.3,0.18,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000736247
0.35,0.18,0.005,0.000000000000000000000000000000000000000000000000850486
0.4,0.18,0.005,0.00736349
0.45,0.18,0.005,1
0.3,0.185,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115099
0.35,0.185,0.005,0.00000000000000000000000000000000000000000000163789
0.4,0.185,0.005,0.0328481
0.45,0.185,0.005,1
0.3,0.19,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000169912
0.35,0.19,0.005,0.00000000000000000000000000000000000000000262247
0.4,0.19,0.005,0.108496
0.45,0.19,0.005,1
0.3,0.195,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002357
0.35,0.195,0.005,0.00000000000000000000000000000000000000346127
0.4,0.195,0.005,0.267261
0.45,0.195,0.005,1
0.3,0.2,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030567
0.35,0.2,0.005,0.00000000000000000000000000000000000373256
0.4,0.2,0.005,0.5
0.45,0.2,0.005,1
0.3,0.205,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000368621
0.35,0.205,0.005,0.00000000000000000000000000000000325857
0.4,0.205,0.005,0.735303
0.45,0.205,0.005,1
0.3,0.21,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000411072
0.35,0.21,0.005,0.0000000000000000000000000000022811
0.4,0.21,0.005,0.897212
0.45,0.21,0.005,1
0.3,0.215,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000421437
0.35,0.215,0.005,0.00000000000000000000000000126782
0.4,0.215,0.005,0.971987
0.45,0.215,0.005,1
0.3,0.22,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000394801
0.35,0.22,0.005,0.000000000000000000000000553737
0.4,0.22,0.005,0.994828
0.45,0.22,0.005,1
0.3,0.225,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000335806
0.35,0.225,0.005,0.000000000000000000000188045
0.4,0.225,0.005,0.999372
0.45,0.225,0.005,1
0.3,0.23,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000257619
0.35,0.23,0.005,0.0000000000000000000491072
0.4,0.23,0.005,0.999951
0.45,0.23,0.005,1
0.3,0.235,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177022
0.35,0.235,0.005,0.00000000000000000975015
0.4,0.235,0.005,0.999998
0.45,0.235,0.005,1
0.3,0.24,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108165
0.35,0.24,0.005,0.00000000000000145464
0.4,0.24,0.005,1
0.45,0.24,0.005,1
0.3,0.245,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000583254
0.35,0.245,0.005,0.000000000000161112
0.4,0.245,0.005,1
0.45,0.245,0.005,1
0.3,0.25,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275362
0.35,0.25,0.005,0.0000000000130839
0.4,0.25,0.005,1
0.45,0.25,0.005,1
0.3,0.255,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000112883
0.35,0.255,0.005,0.00000000076929
0.4,0.255,0.005,1
0.45,0.255,0.005,1
0.3,0.26,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000039836
0.35,0.26,0.005,0.000000032331
0.4,0.26,0.005,1
0.45,0.26,0.005,1
0.3,0.265,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000119927
0.35,0.265,0.005,0.000000958871
0.4,0.265,0.005,1
0.45,0.265,0.005,1
0.3,0.27,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000305103
0.35,0.27,0.005,0.0000198182
0.4,0.27,0.005,1
0.45,0.27,0.005,1
0.3,0.275,0.005,0.000000000000000000000000000000000000000000000000000000000000000000649501
0.35,0.275,0.005,0.000282089
0.4,0.275,0.005,1
0.45,0.275,0.005,1
0.3,0.28,0.005,0.0000000000000000000000000000000000000000000000000000000000000114507
0.35,0.28,0.005,0.0027366
0.4,0.28,0.005,1
0.45,0.28,0.005,1
0.3,0.285,0.005,0.000000000000000000000000000000000000000000000000000000000165396
0.35,0.285,0.005,0.0179569
0.4,0.285,0.005,1
0.45,0.285,0.005,1
0.3,0.29,0.005,0.00000000000000000000000000000000000000000000000000000193533
0.35,0.29,0.005,0.0794988
0.4,0.29,0.005,1
0.45,0.29,0.005,1
0.3,0.295,0.005,0.0000000000000000000000000000000000000000000000000181305
0.35,0.295,0.005,0.239094
0.4,0.295,0.005,1
0.45,0.295,0.005,1
0.3,0.3,0.005,0.00000000000000000000000000000000000000000000013432
0.35,0.3,0.005,0.5
0.4,0.3,0.005,1
0.45,0.3,0.005,1
0.3,0.305,0.005,0.000000000000000000000000000000000000000000776897
0.35,0.305,0.005,0.76406
0.4,0.305,0.005,1
0.45,0.305,0.005,1
0.3,0.31,0.005,0.00000000000000000000000000000000000000346127
0.35,0.31,0.005,0.92637
0.4,0.31,0.005,1
0.45,0.31,0.005,1
0.3,0.315,0.005,0.0000000000000000000000000000000000117128
0.35,0.315,0.005,0.98573
0.4,0.315,0.005,1
0.45,0.315,0.005,1
0.3,0.32,0.005,0.0000000000000000000000000000000296664
0.35,0.32,0.005,0.998365
0.4,0.32,0.005,1
0.45,0.32,0.005,1
0.3,0.325,0.005,0.0000000000000000000000000000553863
0.35,0.325,0.005,0.999894
0.4,0.325,0.005,1
0.45,0.325,0.005,1
0.3,0.33,0.005,0.0000000000000000000000000750124
0.35,0.33,0.005,0.999996
0.4,0.33,0.005,1
0.45,0.33,0.005,1
0.3,0.335,0.005,0.0000000000000000000000724812
0.35,0.335,0.005,1
0.4,0.335,0.005,1
0.45,0.335,0.005,1
0.3,0.34,0.005,0.0000000000000000000491072
0.35,0.34,0.005,1
0.4,0.34,0.005,1
0.45,0.34,0.005,1
0.3,0.345,0.005,0.0000000000000000229119
0.35,0.345,0.005,1
0.4,0.345,0.005,1
0.45,0.345,0.005,1
0.3,0.35,0.005,0.00000000000000722523
0.35,0.35,0.005,1
0.4,0.35,0.005,1
0.45,0.35,0.005,1
0.3,0.355,0.005,0.0000000000015105
0.35,0.355,0.005,1
0.4,0.355,0.005,1
0.45,0.355,0.005,1
0.3,0.36,0.005,0.000000000205226
0.35,0.36,0.005,1
0.4,0.36,0.005,1
0.45,0.36,0.005,1
0.3,0.365,0.005,0.000000017758
0.35,0.365,0.005,1
0.4,0.365,0.005,1
0.45,0.365,0.005,1
0.3,0.37,0.005,0.000000958871
0.35,0.37,0.005,1
0.4,0.37,0.005,1
0.45,0.37,0.005,1
0.3,0.375,0.005,0.0000316712
0.35,0.375,0.005,1
0.4,0.375,0.005,1
0.45,0.375,0.005,1
0.3,0.38,0.005,0.000628091
0.35,0.38,0.005,1
0.4,0.38,0.005,1
0.45,0.38,0.005,1
0.3,0.385,0.005,0.00736349
0.35,0.385,0.005,1
0.4,0.385,0.005,1
0.45,0.385,0.005,1
0.3,0.39,0.005,0.0505708
0.35,0.39,0.005,1
0.4,0.39,0.005,1
0.45,0.39,0.005,1
0.3,0.395,0.005,0.204275
0.35,0.395,0.005,1
0.4,0.395,0.005,1
0.45,0.395,0.005,1
0.3,0.4,0.005,0.5
0.35,0.4,0.005,1
0.4,0.4,0.005,1
0.45,0.4,0.005,1
0.3,0.405,0.005,0.79964
0.35,0.405,0.005,1
0.4,0.405,0.005,1
0.45,0.405,0.005,1
0.3,0.41,0.005,0.954954
0.35,0.41,0.005,1
0.4,0.41,0.005,1
0.45,0.41,0.005,1
0.3,0.415,0.005,0.994828
0.35,0.415,0.005,1
0.4,0.415,0.005,1
0.45,0.415,0.005,1
0.3,0.42,0.005,0.999718
0.35,0.42,0.005,1
0.4,0.42,0.005,1
0.45,0.42,0.005,1
0.3,0.425,0.005,0.999993
0.35,0.425,0.005,1
0.4,0.425,0.005,1
0.45,0.425,0.005,1
0.3,0.43,0.005,1
0.35,0.43,0.005,1
0.4,0.43,0.005,1
0.45,0.43,0.005,1
0.3,0.435,0.005,1
0.35,0.435,0.005,1
0.4,0.435,0.005,1
0.45,0.435,0.005,1
0.3,0.44,0.005,1
0.35,0.44,0.005,1
0.4,0.44,0.005,1
0.45,0.44,0.005,1
0.3,0.445,0.005,1
0.35,0.445,0.005,1
0.4,0.445,0.005,1
0.45,0.445,0.005,1
0.3,0.45,0.005,1
0.35,0.45,0.005,1
0.4,0.45,0.005,1
0.45,0.45,0.005,1
0.3,0.455,0.005,1
0.35,0.455,0.005,1
0.4,0.455,0.005,1
0.45,0.455,0.005,1
0.3,0.46,0.005,1
0.35,0.46,0.005,1
0.4,0.46,0.005,1
0.45,0.46,0.005,1
0.3,0.465,0.005,1
0.35,0.465,0.005,1
0.4,0.465,0.005,1
0.45,0.465,0.005,1
0.3,0.47,0.005,1
0.35,0.47,0.005,1
0.4,0.47,0.005,1
0.45,0.47,0.005,1
0.3,0.475,0.005,1
0.35,0.475,0.005,1
0.4,0.475,0.005,1
0.45,0.475,0.005,1
0.3,0.48,0.005,0.999968
0.35,0.48,0.005,0.999968
0.4,0.48,0.005,0.999968
0.45,0.48,0.005,0.999968
0.3,0.485,0.005,0.99865
0.35,0.485,0.005,0.99865
0.4,0.485,0.005,0.99865
0.45,0.485,0.005,0.99865
0.3,0.49,0.005,0.97725
0.35,0.49,0.005,0.97725
0.4,0.49,0.005,0.97725
0.45,0.49,0.005,0.97725
0.3,0.495,0.005,0.841345
0.35,0.495,0.005,0.841345
0.4,0.495,0.005,0.841345
0.45,0.495,0.005,0.841345
0.3,0.5,0.005,0.5
0.35,0.5,0.005,0.5
0.4,0.5,0.005,0.5
0.45,0.5,0.005,0.5
0.3,0.505,0.005,0.158655
0.35,0.505,0.005,0.158655
0.4,0.505,0.005,0.158655
0.45,0.505,0.005,0.158655
0.3,0.51,0.005,0.0227501
0.35,0.51,0.005,0.0227501
0.4,0.51,0.005,0.0227501
0.45,0.51,0.005,0.0227501
0.3,0.515,0.005,0.0013499
0.35,0.515,0.005,0.0013499
0.4,0.515,0.005,0.0013499
0.45,0.515,0.005,0.0013499
0.3,0.52,0.005,0.0000316712
0.35,0.52,0.005,0.0000316712
0.4,0.52,0.005,0.0000316712
0.45,0.52,0.005,0.0000316712
0.3,0.525,0.005,0.000000286652
0.35,0.525,0.005,0.000000286652
0.4,0.525,0.005,0.000000286652
0.45,0.525,0.005,0.000000286652
0.3,0.53,0.005,0.000000000986588
0.35,0.53,0.005,0.000000000986588
0.4,0.53,0.005,0.000000000986588
0.45,0.53,0.005,0.000000000986588
0.3,0.535,0.005,0.00000000000127981
0.35,0.535,0.005,0.00000000000127981
0.4,0.535,0.005,0.00000000000127981
0.45,0.535,0.005,0.00000000000127981
0.3,0.54,0.005,0.000000000000000622096
0.35,0.54,0.005,0.000000000000000622096
0.4,0.54,0.005,0.000000000000000622096
0.45,0.54,0.005,0.000000000000000622096
0.3,0.545,0.005,0.000000000000000000112859
0.35,0.545,0.005,0.000000000000000000112859
0.4,0.545,0.005,0.000000000000000000112859
0.45,0.545,0.005,0.000000000000000000112859
0.3,0.55,0.005,0.00000000000000000000000761985
0.35,0.55,0.005,0.00000000000000000000000761985
0.4,0.55,0.005,0.00000000000000000000000761985
0.45,0.55,0.005,0.00000000000000000000000761985
0.3,0.555,0.005,0.000000000000000000000000000191066
0.35,0.555,0.005,0.000000000000000000000000000191066
0.4,0.555,0.005,0.000000000000000000000000000191066
0.3,0.56,0.005,0.00000000000000000000000000000000177648
0.35,0.56,0.005,0.00000000000000000000000000000000177648
0.4,0.56,0.005,0.00000000000000000000000000000000177648
0.3,0.565,0.005,0.00000000000000000000000000000000000000611716
0.35,0.565,0.005,0.00000000000000000000000000000000000000611716
0.4,0.565,0.005,0.00000000000000000000000000000000000000611716
0.3,0.57,0.005,0.00000000000000000000000000000000000000000000779354
0.35,0.57,0.005,0.00000000000000000000000000000000000000000000779354
0.4,0.57,0.005,0.00000000000000000000000000000000000000000000779354
0.3,0.575,0.005,0.00000000000000000000000000000000000000000000000000367097
0.35,0.575,0.005,0.00000000000000000000000000000000000000000000000000367097
0.4,0.575,0.005,0.00000000000000000000000000000000000000000000000000367097
0.3,0.58,0.005,0.000000000000000000000000000000000000000000000000000000000638875
0.35,0.58,0.005,0.000000000000000000000000000000000000000000000000000000000638875
0.4,0.58,0.005,0.000000000000000000000000000000000000000000000000000000000638875
0.3,0.585,0.005,0.00000000000000000000000000000000000000000000000000000000000000004106
0.35,0.585,0.005,0.00000000000000000000000000000000000000000000000000000000000000004106
0.4,0.585,0.005,0.00000000000000000000000000000000000000000000000000000000000000004106
0.3,0.59,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000974095
0.35,0.59,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000974095
0.4,0.59,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000974095
0.3,0.595,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000852722
0.35,0.595,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000852722
0.4,0.595,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000852722
0.3,0.6,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275362
0.35,0.6,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275362
0.4,0.6,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275362
